original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.","Qual olho é o olho dele?
Qual o membro que se encontra
Próximo O Espelho?
pois nenhum dos dois é mais claro
Nem uma cor diferente
do que o outro,
Nem conhece um estranho
neste arranjo
de perna e perna e
braço e assim por diante.
para sua mente
É a indicação
de um reflexo espelhado
Em algum lugar ao longo da linha
do que chamamos de espinha.",en_XX,pt_XX,2
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?","Sentiu-se em modéstia
Sua pessoa era
meio espelho,
Por que ele deveria
ser duplicado?
o vidro deve esticar
no meio do seu meio,
Ou melhor, abaixo da borda.
mas ele está em dúvida
Quanto a qual lado está dentro ou fora
do espelho.
Há pouca margem de erro,
Mas também não há provas.
E se metade de sua cabeça estiver refletida,
Ele pensa que pode ser afetado.",en_XX,pt_XX,2
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.","Todas as noites ele deve
ser transportado através de túneis artificiais e sonhos recorrentes.
assim como os laços se repetem abaixo de seu trem, estes
seu cérebro apressado. ele não se atreve a olhar pela janela,
para o terceiro trilho, a corrente ininterrupta de veneno,
ele o considera como uma doença
ele herdou a susceptibilidade a. ele tem que manter
suas mãos em seus bolsos, como outros devem usar silenciadores.",en_XX,pt_XX,2
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.","Eu sonhei que morto, e meditando,
Deitei-me sobre uma sepultura, ou cama,
(pelo menos, algum bower frio e bem construído).
no coração frio, seu pensamento final
congelados, desenhados imensos e claros,
rígido e ocioso como eu estava lá;
e nós permanecemos inalterados juntos
por um ano, um minuto, uma hora.
De repente houve uma moção,
como surpreendente, lá, em todos os sentidos
como uma explosão. então ele caiu
insistente, cauteloso rastejando
na região do coração,
Me empurrando de um sono desesperado.
Eu levantei minha cabeça. uma leve erva daninha jovem
tinha empurrado através do coração e sua
A cabeça verde estava balançando a cabeça no peito.
(Tudo isso estava no escuro.)
cresceu um centímetro como uma folha de grama;
Em seguida, uma folha disparada para fora de seu lado
uma bandeira acenando e, em seguida,
Duas folhas se moviam como um semáforo.
o caule cresceu grosso. as raízes nervosas
para cada lado; a cabeça graciosa
mudou de posição misteriosamente,
Já que não havia sol nem lua
para chamar sua atenção jovem.
O coração arraigado começou a mudar
(não beat) e, em seguida, ele se separa
e da qual rompeu uma inundação de água.
dois rios desciam dos lados,
um à direita, um à esquerda,
dois riachos, meio córregos,
(as costelas feitas delas duas cascatas)
com certeza, suave como vidro,
passou pelos finos grãos negros da terra.
A erva daninha foi quase varrida;
Ele lutava com suas folhas,
Levantando-os franjados com gotas pesadas.
Algumas gotas caíram sobre o meu rosto
E nos meus olhos, para que eu pudesse ver
(ou, naquele lugar preto, pensei que eu vi)
Cada gota contém uma luz,
uma cena pequena e iluminada;
o córrego desfolhado foi feito
própria de imagens de corrida.
(como se um rio carregasse todos os
As cenas que uma vez refletiram
em suas águas, e não flutuando
superfícies momentâneas.)
A erva daninha estava no coração decepado.
O que você está fazendo aí? – perguntei.
ele levantou a cabeça todo molhado gotejando
(com meus próprios pensamentos?)
E então respondeu: Eu cresci, ele disse:
mas para dividir seu coração novamente.",en_XX,pt_XX,2
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.","mais lentamente caindo à vista
e descascando-se em faces pontilhadas,
escurecimento, condensando toda a sua luz;
Apesar de todos os sonhos
esbanjado sobre ele com aquele olhar,
sofre nossos usos e abusos,
afunda através da deriva dos corpos,
afunda através da deriva das classes
à noite para o mendigo no parque
Quem, cansado, sem lâmpada ou livro
prepara estudos estupendos:
o evento flamejante
Todos os dias em infinito
Inesgotável assentimento.",en_XX,pt_XX,2
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.","Preciso de um espelho virgem
Ninguém jamais olhou,
que nunca olhou para ninguém,
para piscar os olhos dos espíritos
e me ajude a reconhecê-los.
O lojista me ofereceu
uma caixa de pequenos espelhos,
Mas cada vez que eu pego um
Um vizinho olhou por cima do meu ombro
E então esse foi estragado –
mimada, isto é, por qualquer coisa
mas as meninas para olhar em suas bocas,
para examinar seus dentes e sorrisos.",en_XX,pt_XX,2
"because i didn’t know enough.
why didn’t i know enough of something?
greek drama or astronomy? the books
i’d read were full of blanks;
the poems — well, i tried
reciting to my iris-beds,
“they flash upon that inward eye,
which is the bliss...” the bliss of what?
one of the first things that i did
when i got back was look it up.","pois eu sabia muito pouco.
por que eu não entendia bem de alguma coisa?
teatro grego, astronomia? os livros
que eu lera estavam cheios de lacunas;
os poemas — bem que eu tentava
recitar para os meus canteiros de íris.
“seu lume brilha no olho interior
que é a ventura...” a ventura do quê?
uma das primeiras coisas que fiz
quando voltei foi consultar o livro.","porque eu não sabia o suficiente.
Por que eu não sabia o suficiente de alguma coisa?
drama grego ou astronomia? os livros
Eu tinha lido que estava cheio de espaços em branco;
os poemas – bem, eu tentei
recitando aos meus leitos de íris,
""eles piscam sobre aquele olho interior,
Qual é a bem-aventurança...” a bem-aventurança de quê?
Uma das primeiras coisas que eu fiz
Quando regressei, era só olhar para cima.",en_XX,pt_XX,2
"weary with toil, i haste me to my bed,
the dear repose for limbs with travel tired;
but then begins a journey in my head
to work my mind, when body’s work’s expir’d:
for then my thoughts — from far where i abide —
intend a zealous pilgrimage to thee,
and keep my drooping eyelids open wide,
looking on darkness which the blind do see:
save that my soul’s imaginary sight
presents thy shadow to my sightless view,
which, like a jewel hung in ghastly night,
makes black night beauteous and her old face new.
lo! thus, by day my limbs, by night my mind,
for thee, and for myself no quiet find.","lanço-me ao leito, exausto da fadiga,
repousa o corpo ao fim da caminhada;
mais eis que a outra jornada a mente obriga
quando é do corpo a obrigação passada.
a ti meu pensamento — na distância —
em santa romaria então me leva,
e fico, as frouxas pálpebras em ânsia,
olhando, como os cegos veem na treva.
e a vista de minh’alma ali desvenda
aos olhos sem visão tua figura,
que igual a joia erguida em noite horrenda,
renova a velha face à noite escura.
ai! que de dia o corpo, à noite a alma,
por tua e minha culpa não têm calma.","cansado de labuta, apresso-me a ir para a minha cama,
o querido repouso para membros com viagens cansadas;
Mas então começa uma viagem na minha cabeça
para trabalhar minha mente, quando o trabalho do corpo expirar:
para os meus pensamentos – de longe onde eu permaneço –
uma peregrinação zelosa a ti,
e mantém abertas as minhas pálpebras caídas,
A escuridão que os cegos vêem:
salvar a visão imaginária da minha alma
apresenta tua sombra à minha vista sem visão,
que, como uma jóia pendurada na noite assustadora,
torna a noite negra bela e seu velho rosto novo.
Assim, de dia, meus membros, de noite, minha mente,
para ti, e para mim não encontrar tranqila.",en_XX,pt_XX,2
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.","- definir todas as persianas, para que o dia entre
Como um mar ou um din!
não deixe um recanto de sombra inútil compelir
pensamentos da noite, ou dizer
A mente está comparando que algumas coisas são tristes,
Para este dia todos estão contentes!
'tis morn, 'tis open morn, o sol pleno é
Ressuscitado do Abismo
onde a noite passada estava para além da borda invisível
do horizonte dim.
Agora a noiva está acordando. lo! ela começa
Para sentir que o dia está em casa
cuja noite muito próxima colocará dois corações diferentes
tão perto quanto a carne pode deixá-los vir.
Adivinhe como ela se alegra em seu temido ir, nem ope
seus olhos por medo de temer sua alegria.
Agora é a chegada dolorosa de todas as esperanças.
com o meio-pensamento que ela escassamente sabe como brincar.
Deixe-a esperar um momento ou um dia
e prepare-se para a briga
para os quais seus pensamentos nunca se prepararam!
Com a chegada do dia real, ela está meio irritada.
Embora ela deseje o que quer, ela ainda permanece.
Seus sonhos, porém, fundidos, são
na lenta beira do sono, que obstinadamente
A esperança precisa das coisas remotamente mar.",en_XX,pt_XX,2
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.","parte das janelas do conjunto de pequenas cortinas
visão mais do que luz para omitir!
olhar para os campos gerais, como brilhante eles mentem
Sob o céu azul,
sem nuvens, e o início do calor
Faz a visão meio mal-trata!
a noiva acordou. lo! ela sente seu tremor
coração melhor todo o seu despertar!
seus seios estão com a frieza do medo interior agarrada
e mais sentida em seu crescido,
que por mãos que não as suas serão tocadas
e acharão lábios sugando sua coroa brotada.",en_XX,pt_XX,2
