original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"que olho é o seu?
que membro jaz
ao lado do espelho?
pois nenhum é mais claro
nem tem cor diferente
do outro,
nem encontra um estranho
nessa disposição
de perna e perna e
braço e assim por diante.
para sua mente
é a indicação
de uma reflexão espelhada
em algum ponto da linha
do que chamamos coluna.",2.0
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Ele sentia em modéstia,
Seu ser era
Meio espelho,
Por que deveria
Ser dobrado?
O espelho deve se estender
Pelo meio,
Ou melhor, pela borda.
Mas ele está em dúvida
Sobre qual lado está dentro ou fora
Do espelho.
Há pouco espaço para erro,
Mas não há prova, também.
E se metade de sua cabeça é refletida,
Pensa, ele pensa, a mente pode ser afetada.",2.0
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.",en_XX,pt_XX,"cada noite ele deve
ser carregado através de túneis artificiais e sonhar sonhos recorrentes.
assim como os trilhos se repetem sob seu trem, esses sustentam
seu cérebro em fuga. ele não ousa olhar pela janela,
pois o terceiro trilho, o sopro ininterrupto de veneno,
corre ali ao lado. ele o considera uma doença
que herdou a suscetibilidade para. ele precisa manter
suas mãos nos bolsos, assim como outros usam cachecóis.",2.0
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.",en_XX,pt_XX,"Sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
No frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
De súbito, algo se moveu,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
Olhei. Do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(Tudo isso era no escuro.)
Cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um sinal.
O caule engrossou. As raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
O coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d'água.
Dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
A erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
Caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(Como rio que levasse as cenas
todas nele já refletidas
encerradas n'água, não flutuando
nas superfícies efêmeras.)
Perguntei à erva: que fazes
neste coração partido?
Ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: Cresço, para partir
teu coração outra vez.",2.0
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,"mais lentamente caindo em vista
e chovendo em rostos pontilhados,
escurecendo, condensando toda a luz;
apesar de todos os sonhos
desperdiçados nele com esse olhar,
sofre nossos usos e abusos,
afunda através da multidão de corpos,
afunda através da multidão de classes
até a noite ao mendigo no parque
que, cansado, sem lâmpada ou livro
prepara estupendos estudos:
o evento ígneo
de cada dia em interminável
interminável assentimento.",2.0
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.",en_XX,pt_XX,"Preciso de um espelho virgem
Nunca visto por alguém,
Que nunca tenha olhado para ninguém,
Para refletir os olhos dos espíritos
E me ajudar a reconhecê-los.
O comerciante me ofereceu
Uma caixa de pequenos espelhos,
Mas toda vez que eu pegava um
Um vizinho olhava por cima do meu ombro
E então aquele estava estragado —
Estragado, isto é, para tudo
Menos para as meninas olharem suas bocas,
Para examinarem seus dentes e sorrisos.",2.0
"because i didn’t know enough.
why didn’t i know enough of something?
greek drama or astronomy? the books
i’d read were full of blanks;
the poems — well, i tried
reciting to my iris-beds,
“they flash upon that inward eye,
which is the bliss...” the bliss of what?
one of the first things that i did
when i got back was look it up.","pois eu sabia muito pouco.
por que eu não entendia bem de alguma coisa?
teatro grego, astronomia? os livros
que eu lera estavam cheios de lacunas;
os poemas — bem que eu tentava
recitar para os meus canteiros de íris.
“seu lume brilha no olho interior
que é a ventura...” a ventura do quê?
uma das primeiras coisas que fiz
quando voltei foi consultar o livro.",en_XX,pt_XX,"porque eu não sabia o bastante.
por que não sabia o bastante de algo?
tragédia grega ou astronomia? os livros
que li estavam cheios de lacunas;
os poemas — bem, eu tentei
recitar para as minhas canteiras de íris,
""eles relampejam sobre aquele olho interior,
que é a bem-aventurança..."" a bem-aventurança de quê?
uma das primeiras coisas que fiz
quando retornei foi procurar saber.",2.0
"weary with toil, i haste me to my bed,
the dear repose for limbs with travel tired;
but then begins a journey in my head
to work my mind, when body’s work’s expir’d:
for then my thoughts — from far where i abide —
intend a zealous pilgrimage to thee,
and keep my drooping eyelids open wide,
looking on darkness which the blind do see:
save that my soul’s imaginary sight
presents thy shadow to my sightless view,
which, like a jewel hung in ghastly night,
makes black night beauteous and her old face new.
lo! thus, by day my limbs, by night my mind,
for thee, and for myself no quiet find.","lanço-me ao leito, exausto da fadiga,
repousa o corpo ao fim da caminhada;
mais eis que a outra jornada a mente obriga
quando é do corpo a obrigação passada.
a ti meu pensamento — na distância —
em santa romaria então me leva,
e fico, as frouxas pálpebras em ânsia,
olhando, como os cegos veem na treva.
e a vista de minh’alma ali desvenda
aos olhos sem visão tua figura,
que igual a joia erguida em noite horrenda,
renova a velha face à noite escura.
ai! que de dia o corpo, à noite a alma,
por tua e minha culpa não têm calma.",en_XX,pt_XX,"Cansado do trabalho, eu me apresso a minha cama,
o caro repouso para membros viajados;
mas então começa uma jornada em minha mente,
para trabalhar meu espírito, quando o corpo descansa:
pois então meus pensamentos — de longe onde habito —
intentam uma zelosa peregrinação até ti,
e mantêm meus pálidos olhos bem abertos,
olhando a escuridão que os cegos enxergam:
salvo que a visão imaginária de minha alma
apresenta teu vulto à minha vista cega,
que, como uma joia suspensa na noite sinistra,
torna a negra noite bela e renova seu rosto velho.
Eis! assim, de dia meus membros, de noite minha mente,
por ti, e por mim mesmo, não encontro repouso.",2.0
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.",en_XX,pt_XX,"Abra todas as persianas, que o dia entre
como mar ou estrondo!
Não deixe sombra inútil se deter
pensamentos da noite, ou dizer
que a mente compara e acha tristeza,
pois hoje tudo é festa!
É manhã, manhã aberta, o sol já
rompeu do abismo.
Onde ontem à noite estava além do
limite invisível do horizonte sombrio.
Agora a noiva desperta. Olha!
Sente que o dia é seu.
Cuja noite muito próxima põe
dois corações a bater quase como a carne os permite.
Adivinha como se alegra com a temida partida, e nem
abre os olhos de medo de temer sua alegria.
Agora é a dolorosa chegada de todas as esperanças.
Com meia-pensamento ela mal sabe brincar.
Oh, que espere um momento ou um dia
e se prepare para a contenda
para a qual seus pensamentos nunca plenamente se preparam!
Com a chegada do dia real ela está meio irada.
Embora deseje o que quer, ainda assim permanece.
Seus sonhos ainda fundidos
na lenta borda do sono, que ociosamente
desfaz a esperança precisa das coisas remotas.",2.0
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.",en_XX,pt_XX,"Partindo das janelas, cortinas pequenas se erguem,
Visão mais que luz, exclui-se!
Olha os campos gerais, quão brilhantes jazem
Sob o amplo céu azul,
Sem nuvens, e o começo do calor
A visão maltrata, quase tortura!
A noiva despertou. Eis! Ela sente o coração tremendo,
Melhorando todo o seu despertar!
Seios com frio da ansiedade apertados,
Sensações mais em seu ser,
Que por mãos outras que não as suas serão tocados
E encontrarão lábios sugando sua coroa em botão.",2.0
