original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"but he’s resigned
to such economical design.
if the glass slips
he’s in a fix —
only one leg etc. but
while it stays put
he can walk and run
and his hands can clasp one
another. the uncertainty
he says he
finds exhilarating. he loves
that sense of constant re-adjustment.
he wishes to be quoted as saying at present:
“half is enough.”","mas ele aceita sem problema
a parcimônia do esquema.
se o espelho escorregar
vai ser de amargar —
só uma perna etc. mas por ora
está apoiado na escora,
e ele anda e corre e pega a mão
com a outra. a sensação
de incerteza o deixa feliz,
ele diz.
afirma também que gosta
de estar sempre a se reajustar.
no momento, eis o que tem a declarar:
“metade basta.”","mas ele desistiu.
para um design tão económico.
se o vidro cair
ele está numa situação difícil.
apenas uma perna, etc. mas
enquanto permaneça em pé
ele pode andar e correr
e as suas mãos conseguem agarrar uma
outra. a incerteza
ele diz que
parece estimulante. Ele adora
esse sentido de constante reajustamento.
Ele quer ser citado a dizer agora:
"""" metade é suficiente """".",en_XX,pt_XX,1.0
"iv / o breath
beneath that loved and celebrated breast;
silent, bored really blindly veined,
grieves, maybe lives and lets
live, passes bets,
something moving but invisibly,
and with what clamor why restrained
i cannot fathom even a ripple.
(see the thin flying of nine black hairs
four around one five the other nipple,
flying almost intolerably on your own breath.)
equivocal, but what we have in common’s bound to be there,
whatever we must own equivalents for,
something that maybe i could bargain with
and make a separate peace beneath
within if never with.","iv / fôlego
sob aquele peito amado e célebre,
calado, no fundo entediado com veias cegas,
sofre, talvez viva e deixe correr
o barco, sem pagar para ver,
algo a mover-se mas invisível,
e com clamor só que contido
nenhum tremor tudo tranquilo.
(vê o voo fino de nove pelos negros
quatro em torno de um cinco do outro mamilo,
voo quase insuportável no vento do teu próprio hálito.)
ambíguo, mas o que temos em comum tem que estar lá,
seja lá o que havemos de ter de equivalente,
algo com que eu talvez possa entrar num acordo
um tratado de paz debaixo
dentro dele já que jamais com ele.","iv / o respiração
por baixo do peito amado e celebrado,
silencioso, aborrecido, mesmo escondido,
tristezas, talvez vidas e deixa
a viver, passa apostas,
algo em movimento mas invisível,
e com o que aclamação por que estava preso
Não consigo compreender nem um derrame.
(vejam o lento voo de nove cabelos pretos
quatro à volta de umas cinco e do outro pubis.
a voar quase intoleravelmente com a sua própria respiração.)
É equivocado, mas o que temos em comum tem de estar lá,
para qualquer coisa que tenhamos que ter equivalentes,
algo com o qual talvez pudesse negociar
e fazer uma paz separada por baixo
dentro se nunca com.",en_XX,pt_XX,1.0
"from fairest creatures we desire increase,
that thereby beauty’s rose might never die,
but as the riper should by time decease,
his tender heir might bear his memory:
but thou, contracted to thine own bright eyes,
feed’st thy light’s flame with self-substantial fuel,
making a famine where abundance lies,
thyself thy foe, to thy sweet self too cruel.
thou that art now the world’s fresh ornament
and only herald to the gaudy spring,
within thine own bud buriest thy content
and, tender churl, mak’st waste in niggarding.
pity the world, or else this glutton be,
to eat the world’s due, by the grave and thee.","dos seres ímpares ansiamos prole
para que a flor do belo não se extinga,
e se a rosa madura o tempo colhe,
fresco botão sua memória vinga.
mas tu, que só com os olhos teus contrais,
nutres o ardor com as próprias energias
causando fome onde a abundância jaz,
cruel rival, que o próprio ser crucias.
tu, que do mundo és hoje o galardão,
arauto da festiva natureza,
matas o teu prazer inda em botão
e, sovina, esperdiças na avareza.
piedade, senão ides, tu e o fundo
do chão, comer o que é devido ao mundo.","de criaturas mais justas que gostamos de aumentar,
que assim a rosa da beleza possa nunca morrer,
Mas como o adulto deve desaparecer no tempo,
que o seu herdeiro querido possa suportar a sua memória:
Mas tu, que estás contra os teus próprios olhos brilhantes,
Alimentas a chama da tua luz com combustível autosuficiente,
Fazer uma fome onde reside a abundância,
"""" Tu próprio, o teu inimigo, """" para o teu querido, cruel demais.
Tu que és agora o novo ornamento do mundo
e apenas sinalizar para a primavera descolorida,
dentro do teu próprio cogumelo, enterram o teu conteúdo
e, como uma minúscula agitação, o mais grande desperdício da humilhação.
pena o mundo, ou seja que este gordo seja,
para comer o que é preciso do mundo, pelo tú e pela sepultura.",en_XX,pt_XX,1.0
"when forty winters shall besiege thy brow,
and dig deep trenches in thy beauty’s field,
thy youth’s proud livery, so gaz’d on now,
will be a tatter’d weed, of small worth held:
then being ask’d where all thy beauty lies,
where all the treasure of thy lusty days,
to say, within thine own deep-sunken eyes,
were an all-eating shame and thriftless praise.
how much more praise deserv’d thy beauty’s use,
if thou couldst answer, ‘this fair child of mine
shall sum my count, and make my old excuse,’
proving his beauty by succession thine!
this were to be new made when thou art old,
and see thy blood warm when thou feel’st it cold.","quando no assédio de quarenta invernos
se cavarem as linhas de teu rosto,
da juventude os teus galões supernos
pobres andrajos se tiverem posto,
se então te perguntarem pelo fausto
de teus dias de glória e de beleza,
dizer que tudo jaz no olhar exausto,
opróbrio fora, encômio sem grandeza.
mais mérito terias nessa usança
se pudesses dizer: “meu filho há-de
saldar-me a dívida, exculpar-me a idade”,
provando que a beleza é tua herança.
fora tornar em novo as coisas velhas
e ver o sangue quente enquanto engelhas.","Quando quarenta invernos te rodeiam a cara,
e cavar fosas profundas no campo da tua beleza,
a roupa da tua juventude orgulhosa, então olhou agora,
será uma erva semelhada, sem grande valor,
e depois foi perguntado onde está toda a tua beleza,
onde todo o tesouro dos teus dias bonitos,
para dizer, dentro dos teus próprios olhos escurados,
eram uma vergonha omnipresente e um engraçamento imprudente.
quão mais elogio servia a tua beleza,
se puderes responder: """" Este meu filho fermoso
"""" Vou resumir o meu registo e fazer a minha antiga desculpa, """"
provando a sua beleza pela sua sucessão!
Isto seria feito de novo quando fores velho,
e ver o teu sangue quente quando se sente frio.",en_XX,pt_XX,1.0
"not from the stars do i my judgment pluck;
and yet methinks i have astronomy,
but not to tell of good or evil luck,
of plagues, of dearths, or seasons’ quality;
nor can i fortune to brief minutes tell,
pointing to each his thunder, rain, and wind,
or say with princes if it shall go well,
by oft predict that i in heaven find:
but from thine eyes my knowledge i derive,
and, constant stars, in them i read such art
as ‘truth and beauty shall together thrive,
if from thyself to store thou wouldst convert;’
or else of thee this i prognosticate:
‘thy end is truth’s and beauty’s doom and date.’","dos astros não retiro entendimento
embora eu tenha cá de astronomia,
mas não para prever a sorte, o intento
das estações, ou fome, epidemia;
nem sei dizer o que será do instante,
prever a alguém quer chuva, ou vento, ou raio;
se tudo há-de sorrir ao governante
segundo as predições que aos céus extraio.
de teus olhos provêm meus atributos
e, astros constantes, leio ali tal arte:
“que a verdade e a beleza darão frutos
se em ti deixas de tanto reservar-te”;
ou um vaticínio sobre ti revelo:
“teu fim põe termo ao verdadeiro e ao belo.”","Não retiro a minha justiça das estrelas;
E no entanto, eu penso que tenho astronomia,
mas não para falar de boa ou má sorte,
de pestes, de escassez ou de qualidade das estações;
nem posso contar em minutos,
apontando para cada um o seu som, a chuva e o vento,
ou dizer com os Príncipes se vai correr bem,
de frequentemente prever que eu no céu encontro:
Mas, dos teus olhos, extraio a minha sabedoria,
e, estrelas constantes, nelas eu li arte
como a verdade e a beleza irão prosperar juntas,
"""" Se tivéssemos que nos afastar, """"
ou outro do teu que eu prognóstico:
""O seu fim é o destino e a data da verdade e da beleza.""",en_XX,pt_XX,1.0
"when i consider every thing that grows
holds in perfection but a little moment,
that this huge stage presenteth nought but shows
whereon the stars in secret influence comment;
when i perceive that men as plants increase,
cheered and check’d e’en by the self-same sky,
vaunt in their youthful sap, at height decrease,
and wear their brave state out of memory;
then the conceit of this inconstant stay
sets you most rich in youth before my sight,
where wasteful time debateth with decay,
to change your day of youth to sullied night;
and, all in war with time for love of you,
as he takes from you, i engraft you new.","quando observo que tudo quanto cresce
desfruta a perfeição de um só momento,
que neste palco imenso se obedece
à secreta influição do firmamento;
quando percebo que ao homem, como à planta,
esmaga o mesmo céu que lhe deu glória,
que se ergue em seiva e, no ápice, aquebranta
e um dia enfim se apaga da memória:
esse conceito da inconstante sina
mais jovem faz-te ao meu olhar agora,
quando o tempo se alia com a ruína
para tornar em noite a tua aurora.
e crua guerra contra o tempo enfrento,
pois tudo que te toma eu te acrescento.","quando considero tudo o que cresce
segura em perfeição mas num momento,
que este palco enorme não apresenta nada,
em que as estrelas em segredo influenciam o comentário;
quando percebo que os homens aumentam como plantas,
encolheram-se e verificaram-se pelo mesmo céu,
assombram-se no seu sapo jovem, à diminuição da altura,
e não se lembram do seu estado de coragem;
e depois a conceção de esta inconstancia
Coloca-vos mais ricos na juventude à minha vista,
onde o tempo desperdiçado se debate com a decadência,
para mudar o teu dia de juventude para uma noite desgarrada;
e, em guerra com o tempo pelo amor por vós,
como ele retira de vós, eu vos enxerto uma nova.",en_XX,pt_XX,1.0
"who will believe my verse in time to come,
if it were fill’d with your most high deserts?
though yet, heaven knows, it is but as a tomb
which hides your life and shows not half your parts.
if i could write the beauty of your eyes
and in fresh numbers number all your graces,
the age to come would say, ‘this poet lies;
such heavenly touches ne’er touch’d earthly faces.’
so should my papers, yellow’d with their age,
be scorn’d, like old men of less truth than tongue,
and your true rights be term’d a poet’s rage
and stretched metre of an antique song:
but were some child of yours alive that time,
you should live twice, — in it and in my rime.","um dia crer nos versos meus quem há-de
se eu neles derramar teus dons mais puros?
no entanto sabe o céu que eles são muros
que a tua vida ocultam por metade.
dissera o que de teu olhar emana,
teus dons em nova métrica medira,
que acharia o porvir então: “mentira!
tais tratos não retratam face humana.”
que mofem pois deste papel fanado
qual de velhos loquazes, e a teu ente
chamem de pura exaltação da mente
e a meu verso exageros do passado.
mas se chegar a tua estirpe a tanto,
em dobro hás-de viver: nela e em meu canto.","que acreditarão no meu versículo no futuro,
se fosse cheia de desertos mais altos?
No entanto, o céu sabe que é apenas como um túmulo
que esconde a vossa vida e não mostra metade das vossas partes.
se pudesse escrever a beleza dos teus olhos
e num número novo, todos os vossos bens,
A próxima era diria: """" Este poeta mente.
""Tal coisa do céu toca caras terrestres que nunca foram tocadas.""
assim como os meus artigos, amarelos com a sua idade,
serem scorrados, como idosos com menos verdade do que língua,
e os vossos verdadeiros direitos sejam definidos como a raiva de um poeta
e um metro esticado de uma canção antiga:
mas eram alguma das vossas crianças vivas nessa altura,
deviam viver duas vezes, — nele e no meu crime.",en_XX,pt_XX,1.0
"shall i compare thee to a summer’s day?
thou art more lovely and more temperate:
rough winds do shake the darling buds of may,
and summer’s lease hath all too short a date:
sometime too hot the eye of heaven shines,
and often is his gold complexion dimm’d:
and every fair from fair sometime declines,
by chance, or nature’s changing course untrimm’d;
but thy eternal summer shall not fade,
nor lose possession of that fair thou ow’st,
nor shall death brag thou wander’st in his shade,
when in eternal lines to time thou grow’st;
so long as men can breathe, or eyes can see,
so long lives this, and this gives life to thee.","devo igualar-te a um dia de verão?
mais afável e belo é o teu semblante:
o vento esfolha maio inda em botão,
dura o termo estival um breve instante.
muitas vezes a luz do céu calcina,
mas o áureo tom também perde a clareza:
de seu belo a beleza enfim declina,
ao léu ou pelas leis da natureza.
só teu verão eterno não se acaba
nem a posse de tua formosura;
de impor-te a sombra a morte não se gaba
pois que esta estrofe eterna ao tempo dura.
enquanto houver viventes nesta lida,
há-de viver meu verso e te dar vida.",""""" Vou compará-los com um dia de verão?
"""" És mais amável e mais moderado.
os ventos duros agitam os corações queridos do mês de maio,
e o aluguer de verão tem uma data demasiado curta:
Às vezes, o olho do céu brilha demasiado quente,
e muitas vezes a sua complexão de ouro é dimm’d:
e cada feriado a partir de uma feria de algum tempo desce,
por acaso, ou a mudança do curso da natureza sem ser tentada;
mas o teu verão eterno não desaparecerá,
e não perdem a posse da beleza que têm,
e a morte não te gabará de que tu camássemos na sombra dele,
quando crescem em linhas eternas a tempo.
Enquanto os homens conseguem respirar, ou os olhos conseguem ver,
"""" Longe vida isto, ""e isto dá vida a ti.""",en_XX,pt_XX,1.0
"devouring time, blunt thou the lion’s paws,
and make the earth devour her own sweet brood;
pluck the keen teeth from the fierce tiger’s jaws,
and burn the long-liv’d phœnix in her blood;
make glad and sorry seasons as thou fleets,
and do whate’er thou wilt, swift-footed time,
to the wide world and all her fading sweets;
but i forbid thee one most heinous crime:
o! carve not with thy hours my love’s fair brow,
nor draw no lines there with thine antique pen;
him in thy course untainted do allow
for beauty’s pattern to succeeding men.
yet, do thy worst, old time: despite thy wrong,
my love shall in my verse ever live young.","tempo voraz, ao leão cegas as garras
e à terra fazes devorar seus genes;
ao tigre as presas hórridas desgarras
e ardes no próprio sangue a eterna fênix.
pelo caminho vão teus pés ligeiros
alegres, tristes estações deixando;
impões-te ao mundo e aos gozos passageiros,
mas proíbo-te um crime mais nefando:
de meu amor não vinques o semblante
nem nele imprimas o teu traço duro.
oh! permite que intacto siga avante
como padrão do belo no futuro.
ou antes, velho tempo, sê perverso:
pois jovem sempre há-de o manter meu verso.","devorando o tempo, desfaz as pernas do leão,
e fazer com que a terra devore o seu próprio pão doce,
remover os dentes gordos dos maxilares do tigre feroz,
e queimar o fénix de vida longa no sangue dela;
Façam as estações felizes e tristes enquanto as vossas flotas,
e façam o que quiserem, em tempo rápido,
para o mundo inteiro e todos os seus belos desaparecidos;
mas eu te proibio um crime muito horrível:
o! Não carvam com as tuas horas a cara bonita da minha amor,
"""" E não traga lá nenhumas linhas com a tua caneta antiga.
o que não está no teu curso, permitam.
para o padrão da beleza para os homens que seguem.
Mas, façam o pior do vosso velho tempo: apesar do vosso mal,
"""" O meu amor, """" no meu versículo, """" irá viver sempre jovem.",en_XX,pt_XX,1.0
"my glass shall not persuade me i am old,
so long as youth and thou are of one date;
but when in thee time’s furrows i behold,
then look i death my days should expiate.
for all that beauty that doth cover thee
is but the seemly raiment of my heart,
which in thy breast doth live, as thine in me:
how can i then, be elder than thou art?
o! therefore, love, be of thyself so wary
as i, not for myself, but for thee will;
bearing thy heart, which i will keep so chary
as tender nurse her babe from faring ill.
presume not on thy heart when mine is slain;
thou gav’st me thine, not to give back again.","o espelho não me prova que envelheço
enquanto andares par com a mocidade;
mas se de rugas vir teu rosto impresso,
já sei que a morte a minha vida invade.
pois toda essa beleza que te veste
vem de meu coração, que é teu espelho;
o meu vive em teu peito, e o teu me deste:
por isso como posso ser mais velho?
portanto, amor, tenhas de ti cuidado
que eu, não por mim, antes por ti, terei;
levar teu coração, tão desvelado
qual ama guarda o doce infante, eu hei.
e nem penses em volta, morto o meu,
pois para sempre é que me deste o teu.","O meu vidro não me irá convencer de que sou velho,
desde que fores jovem e tens uma data,
"""" Mas quando eu vejo, """" no teu tempo, """"
Então vejam eu morrer os meus dias deviam expirar.
por toda a beleza que te cobre
é apenas o vestido aparente do meu coração,
que vive no teu peito, como o teu em mim.
Então como é que eu posso ser mais velho do que você?
"""" Então, amor, """" tem cuidado com si mesmo
como eu, não por mim próprio, mas por ti.
"""" Tendo o teu coração, """" que eu guardo bem
como a enfermeira que protege o bebé de enfermar.
"""" Não presume no teu coração quando o meu é morto;
Tu dáches-me o teu, para não me devolver outra vez.",en_XX,pt_XX,1.0
