original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.","a terra está em água; tem sombra verde.
sombras, ou são superficiales, nas suas bordas
que mostra a linha de longas listas de algas marítimas
onde as ervas pendem ao azul simples do verde.
ou a terra inclina-se para levantar o mar debaixo,
a desenhar sem perturbação à sua volta?
ao longo da parede fina e fina de areia
Será que a terra está a afastar-se ao mar debaixo?
a sombra da Terra Nova está plana e ainda.
o amarelo do Labrador, onde o Eskimo moony
com petróleo. Podemos tocar nestas encantadoras baies,
sob um vidro como se fossem esperadas a florescer,
ou como se providenciassem uma gaiola limpa para peixes invisíveis.
os nomes de cidades costeiras acabam por chegar ao mar,
os nomes das cidades atravessam as montanhas vizinhos
— a impressora aqui experimenta a mesma excitação
como quando a emoção ultrapassa a sua causa.
estas peninsulas captam a água entre o polegar e o dedo
como as mulheres a sentirem a regularidade dos bens de quinta.
As águas projetadas são mais tranquilas do que a terra.
emprestando a terra com a sua própria confirmação das ondas:
e o saco de Noruega corre para o Sul em agitação,
profiles investigam o mar, onde está a terra.
são atribuídos, ou os países podem escolher as suas cores?
— o que melhor se adapta ao carácter ou às águas indígenas.
a topografia não mostra favoritos; o norte está tão próximo do oeste.
mais delicados do que os historiadores são as cores dos cartografadores.",en_XX,pt_XX,0
"alone on the railroad track
i walked with pounding heart.
the ties were too close together
or maybe too far apart.
the scenery was impoverished:
scrub-pine and oak; beyond
its mingled gray-green foliage
i saw the little pond
where the dirty hermit lives,
lie like an old tear
holding onto its injuries
lucidly year after year.
the hermit shot off his shot-gun
and the tree by his cabin shook.
over the pond went a ripple.
the pet hen went chook-chook.
“love should be put into action!”
screamed the old hermit.
across the pond an echo
tried and tried to confirm it.","sozinha nos trilhos eu ia,
coração aos saltos no peito.
o espaço entre os dormentes
era excessivo, ou muito estreito.
paisagem empobrecida:
carvalhos, pinheiros franzinos;
e além da folhagem cinzenta
vi luzir ao longe o laguinho
onde vive o eremita sujo,
como uma lágrima translúcida
a conter seus sofrimentos
ao longo dos anos, lúcida.
o eremita deu um tiro
e uma árvore balançou.
o laguinho estremeceu.
sua galinha cacarejou.
bradou o velho eremita:
“amor tem que ser posto em prática!”
ao longe, um eco esboçou
sua adesão, não muito enfática.","sozinha na pista de ferrocarril
Eu caminhava com um coração a bater.
os laços estavam demasiado próximos uns dos outros
ou talvez demasiado distantes.
a paisagem estava empobrecida:
pinha e alven; além
as suas folhas minúsculas de verde cinzento
Eu vi o pequeno lago
onde vive o desalojado sujo,
Mentir como uma tua lágrimas
agarrando-se às suas feridas
lucidamente ano após ano.
o hermit disparou da sua pistola
e a árvore à sua cabina tremou.
sobre o lago ocorreu uma onda.
a galinha de estimação morou-morou.
""O amor deve ser aplicado!""
gritou o idoso hermita.
ao longo do lago, um eco
tentei confirmá-lo.",en_XX,pt_XX,0
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.","a lembrar-se do fio de Belle Isle ou
um porto do norte do Labrador,
antes de se tornar professor
um avô pintou uma grande imagem.
a afastar-se a quilómetros por cada lado
num céu fluído, silencioso
sobrevolam-se falais azules pálidos
a centenas de pés de altura,
as bases assustadas por pequenos arcos,
as entradas às cavernas
a correr pelo nível de uma baía
mascaradas por ondas perfeitas.
no meio daquele chão silencioso
encontra uma flota de pequenos navios negros,
de pontas quadradas, de barcos cobertos, sem movimento,
as suas palhinhas como fósforos queimados.",en_XX,pt_XX,0
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.","e em cima deles, em alturas elevadas.
Rangos semi-translúcentes,
são escritos centenas de pássaros negros finos
penduradas nos bancos.
um pode ouvir o seu choro, o seu choro,
o único som que existe
exceto os sinais ocasionais.
como um grande animal acuático respira.
na luz cor-de-rosa
o pequeno sol vermelho roda, roda,
redondo e redondo e redondo na mesma altura
num pôr-do-sol perpétuo, completo, consolante,
enquanto os navios a consideram.
aparentemente eles chegaram ao seu destino.
Seria difícil dizer o que os levou lá,
commerce ou contemplação.",en_XX,pt_XX,0
"here, above,
cracks in the buildings are filled with battered moonlight.
the whole shadow of man is only as big as his hat.
it lies at his feet like a circle for a doll to stand on,
and he makes an inverted pin, the point magnetized to the moon.
he does not see the moon; he observes only her vast properties,
feeling the queer light on his hands, neither warm nor cold,
of a temperature impossible to record in thermometers.","aqui no alto
o luar amassado penetra nas fendas dos prédios.
a sombra do homem, pequena como o seu chapéu,
jaz a seus pés, um disco onde cabe um boneco,
e ele é um alfinete com a ponta imantada para a lua.
ele não vê a lua: observa suas vastas qualidades,
sente nas mãos a luz estranha, nem quente nem fria,
de uma temperatura que os termômetros não medem.","aqui, acima,
as fendas nos edifícios estão cheias de luz lunar batida.
toda a sombra do homem é tão grande quanto o seu chapéu.
Está nos seus pés como um círculo para que uma boneca esteja sobre,
e ele faz uma pincha invertida, o ponto magnificado para a lua.
Ele não vê a lua; observa apenas as suas enormes propriedades,
sentindo a luz querida nas suas mãos, nem quente nem frio,
de uma temperatura impossível de registar em termómetros.",en_XX,pt_XX,0
"but when the man-moth
pays his rare, although occasional, visits to the surface,
the moon looks rather different to him. he emerges
from an opening under the edge of one of the sidewalks
and nervously begins to scale the faces of the buildings.
he thinks the moon is a small hole at the top of the sky,
proving the sky quite useless for protection.
he trembles, but must investigate as high as he can climb.","mas quando o homem-mariposa
sobe à superfície, o que só faz raramente,
a lua lhe parece coisa bem diversa. ele
emerge de uma abertura junto ao meio-fio
e põe-se a escalar, nervoso, as faces dos prédios.
pensa que a lua é um furo pequeno no céu,
prova de que o céu não serve como proteção.
embora trema, tem que subir para investigar.","mas quando o homem-moth
paga as suas raras, embora ocasionais, visitas à superfície,
a lua parece-lhe muito diferente. Ele surge
de uma abertura por baixo do limite de um dos passeios
e começa nervosamente a escalar as caras dos edifícios.
Ele pensa que a Lua é um pequeno buraco no topo do céu,
demonstrando que o céu não serve para proteção.
ele trembe, mas tem que investigar o mais alto que pode escalar.",en_XX,pt_XX,0
"then he returns
to the pale subways of cement he calls his home. he flits,
he flutters, and cannot get aboard the silent trains
fast enough to suit him. the doors close swiftly.
the man-moth always seats himself facing the wrong way
and the train starts at once at its full, terrible speed,
without a shift in gears or a gradation of any sort.
he cannot tell the rate at which he travels backwards.","então retorna
aos túneis subterrâneos onde mora. saltita,
hesita, e sempre entra no vagão menos depressa
do que pretende. as portas fecham rápido.
ele se senta sempre de frente para o lado errado
e o trem sai a toda, com uma pressa terrível,
sem trocar marcha, sem transição alguma. ele não sabe
a que velocidade está indo para trás.","e depois volta
para os jardimes de cimento pálidos que ele chama de casa. Ele voa,
ele fluttua, e não consegue embarcar nos comboios silenciosos
o suficientemente rápido para o acolher. As portas fecham rapidamente.
o homem-muto sempre se senta a enfrentar o caminho errado
e o comboio começa de imediato à sua velocidade terrível.
sem mudança de gears ou de qualquer tipo de classificação.
ele não sabe a taxa a que regressa.",en_XX,pt_XX,0
"earliest morning, switching all the tracks
that cross the sky from cinder star to star,
coupling the ends of streets
to trains of light,
now draw us into daylight in our beds;
and clear away what presses on the brain:
put out the neon shapes
that float and swell and glare
down the gray avenue between the eyes
in pinks and yellows, letters and twitching signs.
hang-over moons, wane, wane!
from the window i see
an immense city, carefully revealed,
made delicate by over-workmanship,
detail upon detail,
cornice upon façade
reaching so languidly up into
a weak white sky, it seems to waver there.
(where it has slowly grown
in skies of water-glass
from fused beads of iron and copper crystals,
the little chemical garden in a jar
trembles and stands again,
pale blue, blue-green, and brick.)","a madrugada, desviando todos os trilhos
que riscam o céu das brasas às estrelas,
ligando os fins das ruas
a trilhas luminosas,
traz a luz do dia a nossas camas;
e leva embora o que nos pesa na mente:
apaga as formas de néon
que pairam e pulsam e doem
pela avenida cinzenta entre os olhos
em rosa e amarelo, letras a latejar.
ó luas de ressaca, minguai,
minguai! da janela vejo
uma cidade imensa, revelada com cuidado,
delicada por excesso de desvelo,
detalhe por detalhe,
cornija por fachada
a se estender, toda lânguida, até
um céu branco e débil, e nele hesitar.
(onde cresceu bem lenta
em céus de copo d’água
de contas de ferro e cristais de cobre
fundidos, “jardinzinho” químico num pote
tremendo um pouco, azul--claro, verde-azulado, brique.)","da manhã mais cedo, trocando todos os traços
que atravessam o céu de uma estrela à outra,
ligação das pontas das ruas
para os trenes de luz,
Agora atraem-nos à luz do dia nas nossas camas;
e limpar o que pressiona o cérebro:
colocarem as formas de neon
que flutuam e flutuam e brilham
pela via cinzenta entre os olhos
em rosas e amarelos, letras e sinais de vibração.
"""" Moiões suspensos, desvanece, desvanece! """"
da janela que vejo
uma cidade enorme, cuidadosamente revelada,
Tornados delicados por excesso de trabalho,
detalhe por detalhe,
cornice em fachada
a aproximar-se
um céu branco fraco, parece ondeirar ali.
(que cresceu lentamente
nos céus de vidro de água
de contas fundidas de ferro e cristais de cobre,
o pequeno jardim químico num frasco
trembe e se ergue novamente,
azul pálido, azul-verde, e tijolo.)",en_XX,pt_XX,0
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.","os sparros começam rapidamente o seu jogo.
depois, no ocidente, """" boom """" e uma nuvem de fumo.
""Boom!"" e a bola explosiva
de flores novamente.
(e todos os empregados que trabalham nas fábricas
onde tal som diz """" perigo """", ou uma vez disse """" morte """",
Turn in their sleep and feel
os cabelos curtos a bristlar
no pescoço do pescoço.) a nuvem de fumo sai.
uma camisa é retirada de uma linha de roupas parecida a um fío.
ao longo da rua por baixo
vem o carro de água
a lançar o seu ventilador de neve hissante
peelings e jornais. a água seca
luz-seca, escuro-quente, o padrão
do melone de água fresco.
ouço os frutos da greve matinal
de paredes de pedra e salas e camas de ferro,
cascatas dispersas ou agrupadas,
Alarmes para o esperado:
queer cupids de todas as pessoas que levantam-se,
cuja refeição da tarde eles preparam todo o dia,
"""" Vou comer bem """".
no seu coração, no seu, e no seu,
Então, enviem-lhes sobre o vosso negócio de forma afectuosa,
arrasando nas ruas os seus únicos amores.
"""" Torná-los apenas com rosas,
ser leve como o hélio,
para sempre, há uma, ou várias, manhãs,
cuja cabeça caiu sobre o limite da cama,
cujo rosto está virado
para que a imagem de
a cidade cresce para os seus olhos abertos
invertido e distorcido. Não. Quero dizer
distorcidos e revelados,
se ele o vê de todo.",en_XX,pt_XX,0
"at six o’clock we were waiting for coffee,
waiting for coffee and the charitable crumb
that was going to be served from a certain balcony,
— like kings of old, or like a miracle.
it was still dark. one foot of the sun
steadied itself on a long ripple in the river.
the first ferry of the day had just crossed the river.
it was so cold we hoped that the coffee
would be very hot, seeing that the sun
was not going to warm us; and that the crumb
would be a loaf each, buttered, by a miracle.
at seven a man stepped out on the balcony.
he stood for a minute alone on the balcony
looking over our heads toward the river.
a servant handed him the makings of a miracle,
consisting of one lone cup of coffee
and one roll, which he proceeded to crumb,
his head, so to speak, in the clouds — along with the sun.
was the man crazy? what under the sun
was he trying to do, up there on his balcony!
each man received one rather hard crumb,
which some flicked scornfully into the river,
and, in a cup, one drop of the coffee.
some of us stood around, waiting for the miracle.
i can tell what i saw next; it was not a miracle.
a beautiful villa stood in the sun
and from its doors came the smell of hot coffee.
in front, a baroque white plaster balcony
added by birds, who nest along the river,
— i saw it with one eye close to the crumb —
and galleries and marble chambers. my crumb
my mansion, made for me by a miracle,
through ages, by insects, birds, and the river
working the stone. every day, in the sun,
at breakfast time i sit on my balcony
with my feet up, and drink gallons of coffee.
we licked up the crumb and swallowed the coffee.
a window across the river caught the sun
as if the miracle were working, on the wrong balcony.","às seis, estávamos à espera do café,
à espera do café e da caridosa migalha
que seriam servidos de uma certa varanda
— como por reis de outrora, ou por milagre.
ainda estava escuro. um dos pés do sol
se apoiava numa longa ondulação do rio.
a primeira barca do dia já cruzara o rio.
tal era o frio que ansiávamos por café
quentíssimo — pois pelo visto o sol
não ia aquecer-nos — e uma migalha
que fosse um pão para cada um, como um milagre.
às sete um homem apareceu na varanda.
ficou a sós por um minuto na varanda
olhando não para nós, mas para o rio.
um criado deu-lhe material para um milagre,
ou seja, uma única xícara de café
e um pão, que ele reduziu a migalhas,
com a cabeça nas nuvens, tal qual o sol.
seria um louco? parado ali, ao sol,
que estava ele fazendo na varanda?
cada um recebeu uma mísera migalha,
que uns, com desprezo, jogaram no rio,
e, numa xícara, uma gota de café.
alguns de nós ficamos, à espera do milagre.
digo o que vi em seguida: não foi milagre.
era um belo casarão, aberto ao sol,
de onde vinha um cheiro quente de café.
à frente, uma estrutura barroca, uma varanda
de gesso branco, feita pelas aves do rio
— foi o que vi ao olhar de perto a migalha —
galerias e salões de mármore. minha migalha,
uma mansão, feita para mim por milagre,
ao longo dos tempos, pelas aves, pelo rio
a lavrar a pedra. todos os dias, ao sol,
pela manhã, me instalo na varanda,
os pés para cima, e bebo litros de café.
engolimos a migalha e a gota de café.
além-rio, uma janela refletia o sol
como se o milagre fosse em outra varanda.","às 6 da manhã estávamos à espera de café,
à espera do café e da crusta de caridade
que iria ser servido de um certo balcão,
— como reis dos tempos passados, ou como um milagre.
Ainda estava escuro. Um metro do sol
stabilizou-se numa longa onda no rio.
o primeiro barco do dia tinha acabado de atravessar o rio.
Era tão frio que esperamos que o café
seria muito quente, ver que o sol
não nos iria aquecer; e que a crusta
seria um pão cada um, coberto, por um milagre.
aos sete anos, um homem entrou no balcão.
ele ficou sozinha por um minuto no balcão
olhando para cima das nossas cabeças para o rio.
Um servo deu-lhe as manufaturas de um milagre,
com um copo único de café
e um rolo, que ele encolheu,
a cabeça, por assim dizer, nas nuvens — juntamente com o sol.
Era o homem louco? O que é que no sol
que ele estava a tentar fazer, lá em cima do seu balcón!
Cada um recebeva uma crusta bastante forte,
que alguns viraram no rio com vergonha,
e, numa taça, uma gota de café.
alguns de nós estávamos à volta, à espera do milagre.
Posso dizer o que vi depois; não foi um milagre.
uma bela vila estava no sol
e das suas portas veio o cheiro de um café quente.
em frente, um balcão de barroco de vidro branco
juntadas por pássaros que nidificam ao longo do rio,
— vi-o com um olho perto da crusta —
e galerias e salas de mármol. a minha crusta
a minha mansão, feita para mim por um milagre,
através de gerações, por insetos, pássaros e o rio
a trabalhar na pedra. todos os dias, no sol,
à hora do pequeno-almoço sento-me no meu balcón
com os pés levantados, e beber litros de café.
cobrimos a fatia e engolimos o café.
uma janela ao longo do rio apanhou o sol
como se o milagre estivesse a funcionar, no balcão errado.",en_XX,pt_XX,0
