original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"que <unk> o <unk> o <unk> o <unk> que <unk> o <unk>
que os membros são mentiras que o membro reside que o membro
A seguir o <unk> a seguir ao <unk> a seguir a <unk>
para não é mais clara para não é mais claro por nenhum
ou uma cor diferente de cor diferente ou de uma cor diferente
do que a <unk> <unk> do que a <unk> <unk> do que
ou se <unk> um estranho de estranhos ou de encontrar um estranho
neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo
das pernas e das pernas e das pernas e das pernas e
<unk> e assim tão <unk> , etc .
para a mente da sua mente para a sua mente para a
<unk> a indicação de uma <unk> a indicação de uma <unk> a
de um reflexo <unk> de um reflexo <unk> de um reflexo <unk>
algures ao longo da linha da linha algures ao longo da linha
daquilo a que chamamos o <unk> <unk> do que chamamos <unk> <unk>",2.0
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Sentia-se em <unk> <unk> em <unk> ele sentiu em <unk> ele sentiu em
era a pessoa dele que era a pessoa dele era a sua pessoa
metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade
porque é que ele devia ter razão para ele ter razão para ele
Sejam <unk> <unk> ser <unk> .
O vidro deve esticar o <unk> tem que esticar o vidro tem que
desce pelo seu <unk> <unk> pela sua <unk> em baixo pela sua <unk>
ou em vez do <unk> <unk> em vez do <unk> <unk> ou em
mas <unk> em duvidar de dúvida ,
como a <unk> ou fora de fora para fora ou fora de fora
do <unk> <unk> do <unk> dos <unk> <unk> do <unk> <unk> do <unk>
<unk> <unk> para <unk> <unk> para <unk> <unk> <unk> <unk> <unk> <unk> <unk>
mas <unk> não <unk> <unk> <unk> não <unk> <unk> mas não <unk> <unk>
e se metade das suas <unk> <unk> <unk> <unk> e se metade das
<unk> que se <unk> pode ser <unk> <unk> pode ser <unk> de <unk>",2.0
"up the façades,
his shadow dragging like a photographer’s cloth behind him,
he climbs fearfully, thinking that this time he will manage
to push his small head through that round clean opening
and be forced through, as from a tube, in black scrolls on the light.
(man, standing below him, has no such illusions.)
but what the man-moth fears most he must do, although
he fails, of course, and falls back scared but quite unhurt.","sobe as fachadas,
medroso, arrastando como um pano de fotógrafo
sua sombra, e pensa que dessa vez vai conseguir
meter a cabeça naquele furo bem redondo
e sair, como de um tubo, em dobras negras na luz.
(o homem, lá embaixo, não tem tais ilusões.)
porém o homem-mariposa tem de fazer o que mais teme,
e fracassa, é claro: cai, assustado, mas ileso.",en_XX,pt_XX,"<unk> o <unk> <unk> em cima do <unk> .
a sua sombra a limpar como um pano <unk> atrás de <unk> <unk> por trás de <unk> <unk> por trás de <unk>
<unk> a pensar que , desta vez , vai gerir este momento de que ele vai gerir a forma como ele vai
para empurrar a cabeça <unk> através daquela abertura limpa redonda para aquela abertura limpa redonda .
e ser forçada a ser <unk> como uma <unk> em <unk> negros no <unk> <unk> na <unk> <unk> na <unk> <unk> .
<unk> em baixo não tem tanta <unk> assim tão <unk> não tem tão <unk> <unk> em <unk> , não tem tão <unk>
mas o que os medos de <unk> mais ele têm de fazer é <unk> embora tenha de se <unk> embora os medos
Ele <unk> de <unk> e de volta sem medo muito <unk> mas muito <unk> <unk> mas muito <unk> <unk> mas muito <unk>",2.0
"if you catch him,
hold up a flashlight to his eye. it’s all dark pupil,
an entire night itself, whose haired horizon tightens
as he stares back, and closes up the eye. then from the lids
one tear, his only possession, like the bee’s sting, slips.
slyly he palms it, and if you’re not paying attention
he’ll swallow it. however, if you watch, he’ll hand it over,
cool as from underground springs and pure enough to drink.","se você o pegar,
aponte uma lanterna para o seu olho. é só pupila,
uma pequena noite, cujo horizonte estreito
se aperta quando ele olha, e fecha-se. então uma só lágrima,
seu único pertence, como o ferrão da abelha, brota.
discreto, ele a colhe e, se você se distrair,
engole. mas se você olhar, ele a entrega,
fresca como água de fonte, potável de tão pura.",en_XX,pt_XX,"se <unk> a <unk> <unk> se <unk> <unk> <unk> se <unk> <unk> <unk> se <unk> <unk> <unk> se <unk> a <unk>
<unk> uma lanterna para o seu <unk> <unk> todos os <unk> escuros <unk> todos os <unk> escuros .
Uma noite inteira <unk> cujo horizonte de <unk> <unk> <unk> <unk> num horizonte de <unk> cuja <unk> do horizonte de <unk>
<unk> a <unk> e fecha o <unk> depois da <unk> da <unk> da <unk> .
Um <unk> a <unk> como a <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
<unk> que <unk> <unk> e se <unk> não prestar atenção a prestar atenção a atenção , se não prestar atenção a
<unk> engolir <unk> se <unk> a mão <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Tão bem como as fontes <unk> e o suficiente para <unk> de forma perfeita para <unk> <unk> .",2.0
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,"Mais devagar a descer para a vista de vista de vista para a vista de
e <unk> em <unk> <unk> <unk> em <unk> <unk> e <unk> em <unk> <unk> <unk>
<unk> <unk> todos os seus <unk> <unk> o seu <unk> <unk> <unk> todos os seus
apesar de todos os sonhos em todos os sonhos de todos os sonhos em todos
<unk> com ele com aquele <unk> com aquele <unk> , com aquele <unk> , com
<unk> os nossos usos e <unk> <unk> a sofrer os nossos usos e <unk> <unk>
<unk> através da <unk> de <unk> <unk> através da <unk> de <unk> <unk> através da
<unk> através das aulas das aulas de aulas <unk> pelas aulas de <unk> pelas aulas
para a <unk> no parque , no parque , para a <unk> , no parque
<unk> <unk> sem lâmpada ou livros <unk> <unk> sem candeeiro ou livros <unk> <unk> sem
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
O <unk> <unk> é o incidente <unk> do incidente <unk> .
de todos os dias em infindável <unk> em infindável <unk> em infinitas todos os dias
intermináveis <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas",2.0
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.",en_XX,pt_XX,"&quot; Preciso de um espelho virgem &quot; precisa de um espelho virgem &quot; .
Nunca <unk> <unk> <unk> <unk>
A <unk> nunca olhou para trás para o <unk> <unk> em <unk> <unk> nunca olhou para
para acabar com os olhos <unk> <unk> os olhos <unk> para finalizar os olhos <unk> <unk>
<unk> a reconhecer <unk> <unk> <unk> e ajudar-me a reconhecer <unk> <unk> .
A <unk> <unk> a <unk> <unk> a <unk> <unk> a <unk> <unk> .
uma caixa de pequenas <unk> <unk> uma caixa de pequenas <unk> <unk> uma caixa de <unk>
Mas cada vez <unk> uma em cima de um em cima , mas cada vez <unk>
Um vizinho olhou sobre o ombro do ombro .
e depois aquela foi estragada — e então aquela foi estragada —
<unk> que <unk> para qualquer coisa <unk> para qualquer coisa de que <unk> para qualquer coisa
mas as raparigas para olhar para as suas bocas <unk> <unk> .
para examinar os dentes e <unk> os dentes e <unk> para examinar os dentes e <unk>",2.0
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.",en_XX,pt_XX,"<unk> todos os <unk> que o dia vem no dia em que entra no dia em que
como um mar ou um <unk> ou uma <unk> de um mar ou de uma <unk> de
Não deixem um <unk> de <unk> <unk> <unk> <unk> não <unk> <unk> <unk> <unk> <unk> <unk> <unk>
dos pensamentos ou contam os pensamentos dos <unk> ou contam os pensamentos da <unk> ou dos pensamentos
A <unk> que compara que algumas coisas são <unk> <unk> que são <unk> <unk> .
para este dia todos são <unk> <unk> por este dia todos são <unk> <unk> por este dia
<unk> <unk> <unk> o sol completo é o total que é o sol completo é o que
<unk> do abismo de fora do abismo aumentou de fora para fora do abismo aumentou de fora
onde <unk> na noite passada para além do nó invisível para além do nó invisível para além
do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte
agora é a <unk> <unk> que começa começa a começar a ser a <unk> <unk> que começa
para sentir que o dia é casa para casa para casa .
cujas noites <unk> vão colocar dois corações diferentes ?
para se <unk> à medida que a carne pode ajudá-los a <unk> a <unk> <unk> <unk> <unk>
Imaginem como ela <unk> nos seus <unk> <unk> nem <unk> <unk> <unk> ,
Os olhos dela por medo do medo do seu <unk> <unk> com o seu <unk> de <unk>
Agora é a <unk> <unk> de todas as <unk> <unk> de todas as <unk> <unk> .
com o <unk> que ela escasso sabe como <unk> a <unk> a <unk> a <unk> a <unk>
<unk> deixou esperar um momento ou um dia ou um dia de um dia ou um dia
para a batalha para a batalha para a batalha e preparar para a batalha para a batalha
que os seus pensamentos não se <unk> bem em <unk> para que os seus pensamentos não <unk>
com a <unk> <unk> <unk> metade <unk> <unk> metade <unk> <unk> metade <unk> <unk> metade <unk> <unk>
Apesar de ela desejar o que ela ainda <unk> <unk> <unk> <unk> <unk> <unk> ainda <unk> <unk>
Os seus sonhos ainda <unk> que os seus sonhos ainda <unk> são os seus sonhos <unk> os
<unk> o <unk> lento do <unk> que <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a esperança exata de as coisas <unk> remotamente <unk> <unk> à distância de uma <unk> <unk> de",2.0
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.",en_XX,pt_XX,"<unk> das janelas que as pequenas <unk> põem as pequenas cortinas que <unk> as pequenas cortinas
a visão mais do que a luz para <unk> <unk> mais do que a luz para
Olhem para os <unk> gerais que eles mentem quão brilhante eles mentem em que eles mentem
sob a <unk> azul ampla sob o extremo <unk> azul .
<unk> e o início do calor do calor do calor .
A visão é a meia <unk> <unk> que faz a vista a meio <unk> .
A <unk> <unk> <unk> sente a <unk> a abanar a abanar a <unk> a <unk> <unk>
<unk> melhor todo o seu <unk> <unk> melhor todo o seu <unk> <unk> .
As mamas são <unk> em <unk> <unk> <unk> reutilizável <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e mais sentia-me na sua <unk> <unk> .
que por mãos <unk> por as mãos do que a dela .
e vai encontrar lábios a mamar os seus <unk> <unk> <unk> os seus <unk> <unk> <unk>",2.0
"lo! the thought of the bridegroom's hands already
feels her about where even her hands are shy,
and her thoughts shrink till they become unready
she gathers up her body and still doth lie.
she vaguely lets her eyes feel opening.
in a fringed mist each thing
looms, and the present day is truly clear
but to her sense of fear.
like a hue, light lies on her lidded sight,
and she half hates the inevitable light.","eis! já as maõs-imagens do noivo sente
tocar mesmo onde as dela se acanham,
e seu pensar se encolhe até a indistinção.
ela soergue o corpo, deita-se contudo.
vagamente deixa os olhos sentir-se abrindo.
em franjada névoa cada coisa
imerge, e o presente dia é mesmo claro
menos ao seu senso-receio.
qual matiz, luz lhe jaz sobre pálpebras,
e quase odeia a inevitável luz.",en_XX,pt_XX,"<unk> o pensamento das mãos <unk> já as <unk> as <unk> do pensamento das mãos <unk>
A sensação de que até as suas mãos são <unk> de que as mãos são <unk>
e os seus pensamentos diminui até se tornarem <unk> em <unk> e os seus pensamentos <unk>
Ela <unk> o seu corpo e ainda <unk> <unk> <unk> <unk> .
Ela faz com que os olhos <unk> que os olhos se sentem <unk> <unk> <unk> ,
<unk> numa <unk> <unk> cada coisa em <unk> <unk> em <unk> <unk> <unk> em <unk> <unk>
<unk> e o presente do presente é muito claro , claro , é claro .
mas para o seu sentido de <unk> <unk> , mas para o seu sentido de <unk>
como uma luz <unk> na sua <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e metade odeia o inevitável <unk> inevitável e ela metade de ela odeia o inevitável <unk>",2.0
"open the windows and the doors all wide
lest aught of night abide
or, like a ship's trail in the sea, survive
what made it there to live!
she lies in bed half waiting that her wish
grow bolder or more rich
to make her rise, or poorer, to oust fear,
and she rise as a common day were here.
that she would be a bride in bed with man
the parts where she is woman do insist
and send up messages that shame doth ban
from being dreamed but in a shapeless mist.","abram janelas e as portas de todo.
que nada da noite fique,
ou, qual rasto de barco no mar, resista
ao que a fez viver ali!
no leito fica, como à espera que o desejo
cresça mais, audaz e fértil
para erguê-la, ou tão tênue que expulse o medo,
e ela se erga como se comum fôsse o dia.
que se tornaria noiva na cama com homem
suas partes de mulher insistem
e mandam acima mensagens que o pudor proíbe
serem sonhadas salvo em vaga névoa.",en_XX,pt_XX,"<unk> as janelas e as portas de todo o tamanho de uma ampla gama de janelas ,
<unk> <unk> da noite responde à <unk> <unk> de <unk> <unk> de <unk> <unk> <unk> de <unk>
<unk> como um rasto de <unk> na <unk> sobreviver sobreviver sobreviver a sobreviver como um rasto de
O que fez com que o <unk> lá <unk> para <unk> o que lá passou para <unk>
<unk> na cama à espera que o desejo dela estivesse à espera que o seu desejo ,
<unk> mais ricos ou mais ricos mais ricos ou mais ricos .
para fazer com que os <unk> ou <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e ela cresce como um dia comum eram <unk> <unk> <unk> .
que ela seria uma noiva na cama com homem de homem com homem de homem que ela
<unk> as partes onde ela é a mulher a insistir que é a mulher a insistir que
e enviar mensagens que <unk> <unk> <unk> proibir a proibição de uma <unk> e de enviar mensagens
de ser julgado mas numa <unk> <unk> <unk> em <unk> <unk> .",2.0
