original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"que <unk> o <unk> o <unk> o <unk> que <unk> o <unk>
que os membros são mentiras que o membro reside que o membro
A seguir o <unk> a seguir ao <unk> a seguir a <unk>
para não é mais clara para não é mais claro por nenhum
ou uma cor diferente de cor diferente ou de uma cor diferente
do que a <unk> <unk> do que a <unk> <unk> do que
ou se <unk> um estranho de estranhos ou de encontrar um estranho
neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo
das pernas e das pernas e das pernas e das pernas e
<unk> e assim tão <unk> , etc .
para a mente da sua mente para a sua mente para a
<unk> a indicação de uma <unk> a indicação de uma <unk> a
de um reflexo <unk> de um reflexo <unk> de um reflexo <unk>
algures ao longo da linha da linha algures ao longo da linha
daquilo a que chamamos o <unk> <unk> do que chamamos <unk> <unk>",2.0
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Sentia-se em <unk> <unk> em <unk> ele sentiu em <unk> ele sentiu em
era a pessoa dele que era a pessoa dele era a sua pessoa
metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade
porque é que ele devia ter razão para ele ter razão para ele
Sejam <unk> <unk> ser <unk> .
O vidro deve esticar o <unk> tem que esticar o vidro tem que
desce pelo seu <unk> <unk> pela sua <unk> em baixo pela sua <unk>
ou em vez do <unk> <unk> em vez do <unk> <unk> ou em
mas <unk> em duvidar de dúvida ,
como a <unk> ou fora de fora para fora ou fora de fora
do <unk> <unk> do <unk> dos <unk> <unk> do <unk> <unk> do <unk>
<unk> <unk> para <unk> <unk> para <unk> <unk> <unk> <unk> <unk> <unk> <unk>
mas <unk> não <unk> <unk> <unk> não <unk> <unk> mas não <unk> <unk>
e se metade das suas <unk> <unk> <unk> <unk> e se metade das
<unk> que se <unk> pode ser <unk> <unk> pode ser <unk> de <unk>",2.0
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.",en_XX,pt_XX,"cada noite tem que cada noite , para cada noite que ele deve precisar de cada noite ,
<unk> através de túneis artificiais e <unk> <unk> <unk> <unk> <unk> <unk> <unk> .
Tal como os laços <unk> por baixo dos seus <unk> , estas <unk> sem saída na sua <unk>
<unk> que ele não se <unk> o <unk> <unk> o <unk> de <unk> que não se <unk> a
para a terceira <unk> da <unk> <unk> da <unk> <unk> de <unk> <unk> de <unk> <unk> de <unk>
<unk> ao lado de <unk> que ele se encontra como uma doença de doença ,
Ele <unk> a <unk> que tem que manter manter manter que ele continue a manter a <unk> que
As mãos dele no seu <unk> como outros têm de usar <unk> <unk> ,",2.0
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.",en_XX,pt_XX,"<unk> que <unk> e <unk> <unk>
&quot; <unk> um <unk> &quot; ou &quot; <unk> &quot; .
<unk> <unk> e <unk> <unk> <unk> e <unk> <unk> <unk> e <unk> <unk>
no seu pensamento final o seu pensamento final o seu pensamento final o
<unk> <unk> <unk> enormes e <unk> <unk> .
<unk> e <unk> como &lt; i &gt; i &amp; gt ; i &amp; gt ; i
<unk> <unk> juntos em conjunto .
para uma <unk> <unk> uma <unk> <unk> uma <unk> <unk> uma <unk> <unk> por uma <unk>
de repente havia uma <unk> de <unk> de repente .
como <unk> <unk> a todos os sentidos em todo o sentido de <unk>
como um <unk> depois , deixou de cair como um <unk> depois ,
para <unk> <unk> <unk> de forma correta para <unk> <unk> de forma correta
na região do <unk> <unk> na região do <unk> <unk> na região do
<unk> de <unk> desesperado <unk> de <unk> desesperada <unk> <unk> de <unk> <unk>
&quot; <unk> <unk> &quot; um ligeiro jovem <unk> <unk> <unk> &quot; .
<unk> por todo o coração e pelo seu coração .
A cabeça verde estava a <unk> na <unk> <unk> na <unk> <unk> .
<unk> isto estava na <unk> <unk> na <unk> .
cresceu uma polegada como uma <unk> de <unk> de <unk> <unk> que cresceu uma <unk> de
<unk> uma folha de folha fora do seu lado fora do seu lado .
uma <unk> <unk> e depois uma <unk> <unk> e depois uma <unk> <unk>
duas folhas se <unk> como uma <unk> de <unk>
os <unk> cresceram as raízes nervosas as raízes nervosas <unk> as raízes nervosas <unk> as raízes
<unk> a cada <unk> a cabeça <unk> <unk> .
mudou a sua posição <unk> <unk> a sua posição <unk> mudou a sua
Desde que não havia sol nem lua nem a lua .
para apanhar os jovens <unk> <unk> para apanhar os seus jovens <unk> <unk>
O coração enraizado começou a mudar a mudança do coração enraizado a mudar
<unk> <unk> e depois <unk> em <unk> <unk> e depois <unk> em <unk> <unk> e depois
A partir daí quebrou uma inundação de <unk> de <unk> <unk> e dela .
<unk> os dois rios do <unk> <unk> do <unk> .
Um à <unk> a um dos <unk> para o <unk> <unk> para o <unk> .
Duas <unk> <unk> <unk> <unk> <unk> dois <unk> <unk> <unk> dois <unk> <unk>
<unk> costelas <unk> duas <unk> <unk> dois <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
que <unk> <unk> tão suave como <unk> <unk> como <unk> <unk> que <unk>
<unk> os grãos negros <unk> de <unk> <unk> de <unk> <unk> por os <unk> <unk> de
A erva quase <unk> <unk> <unk> quase <unk> <unk> .
<unk> com o seu <unk> <unk> com o seu <unk> .
<unk> com uma <unk> pesada com uma <unk> pesada <unk> de <unk> <unk>
<unk> umas gotas na minha cara .
e na minha <unk> de forma a que o &quot; <unk> &quot; pudesse ver que via
<unk> naquela <unk> preta pensou &quot; <unk> <unk> &quot; <unk> <unk> <unk> <unk> <unk> ,
que cada gota continha uma <unk> <unk> que cada gota continha uma <unk>
Um <unk> <unk> <unk> <unk> uma <unk> <unk> , uma <unk> <unk> <unk>
<unk> o fluxo de <unk> foi feito o <unk> .
de <unk> <unk> de <unk> <unk> de <unk> <unk> de <unk> <unk> de
<unk> se um rio devia transportar todas as <unk> de um rio a transportar todas as
As cenas que se <unk> outrora refletia que se refletia uma vez refletido as cenas que
<unk> no seu <unk> e não em flutuar a flutuar na sua <unk> e não na
numa <unk> momentânea em <unk> momentânea em <unk> momentânea em <unk> momentânea em
A erva <unk> no <unk> <unk> na <unk> <unk> .
O que é que estão a fazer <unk> <unk> <unk> <unk> <unk> <unk> ?
<unk> a cabeça de todo o <unk> molhado .
<unk> o meu <unk> <unk> o meu <unk> <unk> o meu <unk> <unk>
<unk> <unk> &quot; <unk> &quot; <unk> <unk> <unk> &quot; <unk> &quot; .
mas para dividir o vosso coração <unk> <unk> ?",2.0
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,"Mais devagar a descer para a vista de vista de vista para a vista de
e <unk> em <unk> <unk> <unk> em <unk> <unk> e <unk> em <unk> <unk> <unk>
<unk> <unk> todos os seus <unk> <unk> o seu <unk> <unk> <unk> todos os seus
apesar de todos os sonhos em todos os sonhos de todos os sonhos em todos
<unk> com ele com aquele <unk> com aquele <unk> , com aquele <unk> , com
<unk> os nossos usos e <unk> <unk> a sofrer os nossos usos e <unk> <unk>
<unk> através da <unk> de <unk> <unk> através da <unk> de <unk> <unk> através da
<unk> através das aulas das aulas de aulas <unk> pelas aulas de <unk> pelas aulas
para a <unk> no parque , no parque , para a <unk> , no parque
<unk> <unk> sem lâmpada ou livros <unk> <unk> sem candeeiro ou livros <unk> <unk> sem
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
O <unk> <unk> é o incidente <unk> do incidente <unk> .
de todos os dias em infindável <unk> em infindável <unk> em infinitas todos os dias
intermináveis <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas <unk> infinitas",2.0
"i need a virgin mirror
no one’s ever looked at,
that’s never looked back at anyone,
to flash up the spirits’ eyes
and help me recognize them.
the storekeeper offered me
a box of little mirrors,
but each time i picked one up
a neighbor looked over my shoulder
and then that one was spoiled —
spoiled, that is, for anything
but the girls to look at their mouths in,
to examine their teeth and smiles.","preciso de um espelho virgem
um que ninguém nunca olhou,
que nunca olhou pra ninguém,
pra olhar nos olhos dos espíritos
e reconhecer cada um.
na loja me deram uma caixa
cheia de espelhos novos,
mas cada um que eu pegava
alguém trás de mim se mirava
e pronto, estragava o espelho,
que agora só servia mesmo
pra moça ficar se olhando,
vendo os dentes e o sorriso.",en_XX,pt_XX,"&quot; Preciso de um espelho virgem &quot; precisa de um espelho virgem &quot; .
Nunca <unk> <unk> <unk> <unk>
A <unk> nunca olhou para trás para o <unk> <unk> em <unk> <unk> nunca olhou para
para acabar com os olhos <unk> <unk> os olhos <unk> para finalizar os olhos <unk> <unk>
<unk> a reconhecer <unk> <unk> <unk> e ajudar-me a reconhecer <unk> <unk> .
A <unk> <unk> a <unk> <unk> a <unk> <unk> a <unk> <unk> .
uma caixa de pequenas <unk> <unk> uma caixa de pequenas <unk> <unk> uma caixa de <unk>
Mas cada vez <unk> uma em cima de um em cima , mas cada vez <unk>
Um vizinho olhou sobre o ombro do ombro .
e depois aquela foi estragada — e então aquela foi estragada —
<unk> que <unk> para qualquer coisa <unk> para qualquer coisa de que <unk> para qualquer coisa
mas as raparigas para olhar para as suas bocas <unk> <unk> .
para examinar os dentes e <unk> os dentes e <unk> para examinar os dentes e <unk>",2.0
"because i didn’t know enough.
why didn’t i know enough of something?
greek drama or astronomy? the books
i’d read were full of blanks;
the poems — well, i tried
reciting to my iris-beds,
“they flash upon that inward eye,
which is the bliss...” the bliss of what?
one of the first things that i did
when i got back was look it up.","pois eu sabia muito pouco.
por que eu não entendia bem de alguma coisa?
teatro grego, astronomia? os livros
que eu lera estavam cheios de lacunas;
os poemas — bem que eu tentava
recitar para os meus canteiros de íris.
“seu lume brilha no olho interior
que é a ventura...” a ventura do quê?
uma das primeiras coisas que fiz
quando voltei foi consultar o livro.",en_XX,pt_XX,"Porque os <unk> <unk> sabem <unk> <unk> porque os <unk> <unk> sabem <unk> <unk> porque
&quot; Porquê <unk> &quot; sabe o suficiente de <unk> &quot; <unk> &quot; de <unk> &quot;
<unk> de <unk> ou <unk> os livros dos livros <unk> os livros <unk> ou <unk>
<unk> ler estavam cheios de <unk> cheios de <unk> <unk> de <unk> <unk> <unk> <unk>
os poemas — <unk> <unk> tentaram tentado os poemas — <unk> <unk> tentou <unk> ,
<unk> à minha <unk> <unk> para o meu <unk> <unk> à <unk> para a <unk>
<unk> flash com aquele <unk> em direção a essa <unk> em direção a esse <unk>
que é a <unk> da <unk> de <unk> <unk> de <unk> que é a <unk>
Uma das primeiras coisas que &quot; <unk> &quot; fez foi uma das primeiras coisas que
Quando o &quot; <unk> &quot; voltou foi olhar para o <unk> <unk> , quando o",2.0
"weary with toil, i haste me to my bed,
the dear repose for limbs with travel tired;
but then begins a journey in my head
to work my mind, when body’s work’s expir’d:
for then my thoughts — from far where i abide —
intend a zealous pilgrimage to thee,
and keep my drooping eyelids open wide,
looking on darkness which the blind do see:
save that my soul’s imaginary sight
presents thy shadow to my sightless view,
which, like a jewel hung in ghastly night,
makes black night beauteous and her old face new.
lo! thus, by day my limbs, by night my mind,
for thee, and for myself no quiet find.","lanço-me ao leito, exausto da fadiga,
repousa o corpo ao fim da caminhada;
mais eis que a outra jornada a mente obriga
quando é do corpo a obrigação passada.
a ti meu pensamento — na distância —
em santa romaria então me leva,
e fico, as frouxas pálpebras em ânsia,
olhando, como os cegos veem na treva.
e a vista de minh’alma ali desvenda
aos olhos sem visão tua figura,
que igual a joia erguida em noite horrenda,
renova a velha face à noite escura.
ai! que de dia o corpo, à noite a alma,
por tua e minha culpa não têm calma.",en_XX,pt_XX,"♪ <unk> com <unk> ♪ <unk> para o meu <unk> ♪ <unk> para a minha <unk> ♪ <unk>
O querido descanso para os membros de viagem de viagem de viagem de viagem de viagem de viagem
mas depois começa uma viagem na minha cabeça na minha cabeça , mas depois começa uma viagem na
para trabalhar a minha <unk> quando <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
Por fim , os meus pensamentos — de longe onde se <unk> —
<unk> uma peregrinação <unk> para <unk> <unk> a <unk> uma peregrinação <unk> para <unk> uma peregrinação <unk> para
e manter a minha <unk> <unk> aberta a <unk> <unk> <unk> e manter a minha <unk> <unk> aberta
<unk> na escuridão que os cegos fazem <unk> <unk> <unk> <unk> a olhar para a escuridão que os
<unk> a visão <unk> <unk> de que a minha visão <unk> <unk> <unk> .
♪ <unk> a sombra ♪ para o meu <unk> <unk> ♪ <unk> ♪ <unk> ♪ apresenta uma sombra
<unk> como uma <unk> <unk> em <unk> <unk> <unk> <unk> <unk> em <unk> <unk> como uma <unk> <unk>
faz com que a noite negra <unk> e a sua velha cara <unk> <unk> <unk> e a sua
<unk> <unk> por dia , a minha <unk> <unk> pela minha <unk> <unk> , a minha <unk> <unk>
para mim mesmo para a <unk> e para mim mesmo sem <unk> <unk> <unk> para não <unk> <unk>",2.0
"set ope all shutters, that the day come in
like a sea or a din!
let not a nook of useless shade compel
thoughts of the night, or tell
the mind's comparing that some things are sad,
for this day all are glad!
'tis morn, 'tis open morn, the full sun is
risen from out the abyss
where last night lay beyond the unseen rim
of the horizon dim.
now is the bride awaking. lo! she starts
to feel the day is home
whose too-near night will put two different hearts
to beat as near as flesh can let them come.
guess how she joys in her feared going, nor opes
her eyes for fear of fearing at her joy.
now is the pained arrival of all hopes.
with the half-thought she scarce knows how to toy.
oh, let her wait a moment or a day
and prepare for the fray
for which her thoughts not ever quite prepare!
with the real day's arrival she's half wroth.
though she wish what she wants, she yet doth stay.
her dreams yet merged are
in the slow verge of sleep, which idly doth
the accurate hope of things remotely mar.","abram-se as janelas e que entre o dia
como um mar de ruído!
nem reste um canto de vã sombra a compelir
pensares noturnos, ou contar
ao cotêjo da mente que há coisas tão tristes
neste dia de tanta alegria.
é manhã, manhã aberta, o pleno sol
ascendeu do abismo
onde à noite estêve além do inviso arco
do horizonte fôsco.
vai despertando a noiva. eis!
começa a sentir que entra o dia
cuja noite tão logo fará dois diferentes corações
bater tão perto quanto a carne o permitir.
pensai quanto se alegra no temido ir-se,
nem abre os olhos de medo de temer a alegria.
já é a vinda dorida de toda a esperança.
com tal pressentir ela nem sabe bem brincar.
oh, deixai que espere um instante, um dia
p'ra dispor-se a esta luta
à qual seu pensar nem sempre se dispôs!
vindo o dia realmente, está quase irada.
se ela anela o que quer, assim mesmo fica.
seus sonhos 'inda imersos são
na tarda margem do sono, que em vão
a precisa espera das coisas vagamente mancha.",en_XX,pt_XX,"<unk> todos os <unk> que o dia vem no dia em que entra no dia em que
como um mar ou um <unk> ou uma <unk> de um mar ou de uma <unk> de
Não deixem um <unk> de <unk> <unk> <unk> <unk> não <unk> <unk> <unk> <unk> <unk> <unk> <unk>
dos pensamentos ou contam os pensamentos dos <unk> ou contam os pensamentos da <unk> ou dos pensamentos
A <unk> que compara que algumas coisas são <unk> <unk> que são <unk> <unk> .
para este dia todos são <unk> <unk> por este dia todos são <unk> <unk> por este dia
<unk> <unk> <unk> o sol completo é o total que é o sol completo é o que
<unk> do abismo de fora do abismo aumentou de fora para fora do abismo aumentou de fora
onde <unk> na noite passada para além do nó invisível para além do nó invisível para além
do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte <unk> do horizonte
agora é a <unk> <unk> que começa começa a começar a ser a <unk> <unk> que começa
para sentir que o dia é casa para casa para casa .
cujas noites <unk> vão colocar dois corações diferentes ?
para se <unk> à medida que a carne pode ajudá-los a <unk> a <unk> <unk> <unk> <unk>
Imaginem como ela <unk> nos seus <unk> <unk> nem <unk> <unk> <unk> ,
Os olhos dela por medo do medo do seu <unk> <unk> com o seu <unk> de <unk>
Agora é a <unk> <unk> de todas as <unk> <unk> de todas as <unk> <unk> .
com o <unk> que ela escasso sabe como <unk> a <unk> a <unk> a <unk> a <unk>
<unk> deixou esperar um momento ou um dia ou um dia de um dia ou um dia
para a batalha para a batalha para a batalha e preparar para a batalha para a batalha
que os seus pensamentos não se <unk> bem em <unk> para que os seus pensamentos não <unk>
com a <unk> <unk> <unk> metade <unk> <unk> metade <unk> <unk> metade <unk> <unk> metade <unk> <unk>
Apesar de ela desejar o que ela ainda <unk> <unk> <unk> <unk> <unk> <unk> ainda <unk> <unk>
Os seus sonhos ainda <unk> que os seus sonhos ainda <unk> são os seus sonhos <unk> os
<unk> o <unk> lento do <unk> que <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a esperança exata de as coisas <unk> remotamente <unk> <unk> à distância de uma <unk> <unk> de",2.0
"part from the windows the small curtains set
sight more than light to omit!
look on the general fields, how bright they lie
under the broad blue sky,
cloudless, and the beginning of the heat
does the sight half ill-treat!
the bride hath wakened. lo! she feels her shaking
heart better all her waking!
her breasts are with fear's coldness inward clutched
and more felt on her grown,
that will by hands other than hers be touched
and will find lips sucking their budded crown.","separai nas janelas as leves cortinas:
desvelam mais que a luz omitem!
olhai o extenso campo, quão brilhante jaz
sob o amplo céu azul
sem nuvens, e o começo do calor
já faz quase mal à vista!
a noiva está acordando. eis! pressente o palpitar
do coração enquanto acorda!
seus seios são por frio receio contraídos,
mais cientes de no seu desabrochar
que mãos outras que as dela os tocarão
e terão lábios sorvendo as flóreas pontas.",en_XX,pt_XX,"<unk> das janelas que as pequenas <unk> põem as pequenas cortinas que <unk> as pequenas cortinas
a visão mais do que a luz para <unk> <unk> mais do que a luz para
Olhem para os <unk> gerais que eles mentem quão brilhante eles mentem em que eles mentem
sob a <unk> azul ampla sob o extremo <unk> azul .
<unk> e o início do calor do calor do calor .
A visão é a meia <unk> <unk> que faz a vista a meio <unk> .
A <unk> <unk> <unk> sente a <unk> a abanar a abanar a <unk> a <unk> <unk>
<unk> melhor todo o seu <unk> <unk> melhor todo o seu <unk> <unk> .
As mamas são <unk> em <unk> <unk> <unk> reutilizável <unk> <unk> <unk> <unk> <unk> <unk> <unk>
e mais sentia-me na sua <unk> <unk> .
que por mãos <unk> por as mãos do que a dela .
e vai encontrar lábios a mamar os seus <unk> <unk> <unk> os seus <unk> <unk> <unk>",2.0
