original_poem,translated_poem,src_lang,tgt_lang,topic
"up the façades,
his shadow dragging like a photographer’s cloth behind him,
he climbs fearfully, thinking that this time he will manage
to push his small head through that round clean opening
and be forced through, as from a tube, in black scrolls on the light.
(man, standing below him, has no such illusions.)
but what the man-moth fears most he must do, although
he fails, of course, and falls back scared but quite unhurt.","sobe as fachadas,
medroso, arrastando como um pano de fotógrafo
sua sombra, e pensa que dessa vez vai conseguir
meter a cabeça naquele furo bem redondo
e sair, como de um tubo, em dobras negras na luz.
(o homem, lá embaixo, não tem tais ilusões.)
porém o homem-mariposa tem de fazer o que mais teme,
e fracassa, é claro: cai, assustado, mas ileso.",en_XX,pt_XX,1
"each night he must
be carried through artificial tunnels and dream recurrent dreams.
just as the ties recur beneath his train, these underlie
his rushing brain. he does not dare look out the window,
for the third rail, the unbroken draught of poison,
runs there beside him. he regards it as a disease
he has inherited the susceptibility to. he has to keep
his hands in his pockets, as others must wear mufflers.","toda noite ele é levado
por túneis artificiais, e sonha sonhos recorrentes
que lhe passam sob o sono como os dormentes
sob o trem. não ousa olhar pela janela, para não ver
o terceiro trilho, frasco intato de veneno,
a seu lado, como um mal a que ele é suscetível
por hereditariedade. tem de andar sempre
com as mãos nos bolsos, como quem usa um cachecol.",en_XX,pt_XX,1
"if you catch him,
hold up a flashlight to his eye. it’s all dark pupil,
an entire night itself, whose haired horizon tightens
as he stares back, and closes up the eye. then from the lids
one tear, his only possession, like the bee’s sting, slips.
slyly he palms it, and if you’re not paying attention
he’ll swallow it. however, if you watch, he’ll hand it over,
cool as from underground springs and pure enough to drink.","se você o pegar,
aponte uma lanterna para o seu olho. é só pupila,
uma pequena noite, cujo horizonte estreito
se aperta quando ele olha, e fecha-se. então uma só lágrima,
seu único pertence, como o ferrão da abelha, brota.
discreto, ele a colhe e, se você se distrair,
engole. mas se você olhar, ele a entrega,
fresca como água de fonte, potável de tão pura.",en_XX,pt_XX,1
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.",en_XX,pt_XX,1
"but in between
a little cock is seen
carved on a dim column in the travertine
explained by gallus canit;
flet petrus underneath it.
there is inescapable hope, the pivot;
yes, and there peter’s tears
run down our chanticleer’s
sides and gem his spurs.
tear-encrusted thick
as a medieval relic
he waits. poor peter, heart-sick,
still cannot guess
those cock-a-doodles yet might bless,
his dreadful rooster come to mean forgiveness,
a new weathervane
on basilica and barn,
and that outside the lateran
there would always be
a bronze cock on a porphyry
pillar so the people and the pope might see
that even the prince
of the apostles long since
had been forgiven, and to convince
all the assembly
that “deny deny deny”
is not all the roosters cry.","mas no intervalo
entre os dois homens sem fala,
talhado numa coluna, vê-se um galo,
e, como lembrete,
a inscrição gallus canit; flet
petrus. porém o episódio promete
esperança: pedro chora,
e suas lágrimas escorrem
galo abaixo, e perlam suas esporas.
lavado em pranto, qual
uma relíquia medieval,
ele espera. pedro, coitado, mal
sonha que esses tão
temidos cocorocós hão
de tornar-se um dos emblemas do perdão,
um cata-vento
no alto de cada templo,
e que diante do latrão haverá sempre
sobre um pilar
um galo de bronze, a lembrar
ao papa e a quem por lá possa passar
que até a fraqueza
do primeiro príncipe da igreja
foi perdoada, e para que finalmente veja
mesmo o mais cego
que “cocorocó” tem outro emprego
além do simples “eu nego, nego, e nego”.",en_XX,pt_XX,1
"more slowly falling into sight
and showering into stippled faces,
darkening, condensing all his light;
in spite of all the dreaming
squandered upon him with that look,
suffers our uses and abuses,
sinks through the drift of bodies,
sinks through the drift of classes
to evening to the beggar in the park
who, weary, without lamp or book
prepares stupendous studies:
the fiery event
of every day in endless
endless assent.","mais lentamente, aparecem
os rostos sarapintados,
condensam sua luz, e a escurecem;
apesar de tantos sonhos
gastos nela em tal olhar,
atura nosso uso e abuso,
mergulha no fluxo de corpos,
mergulha no fluxo de classes
até chegar ao mendigo exausto
sem livro, sem luz, no lusco-fusco,
imerso em estupendos estudos:
este incandescente evento
de cada dia em constante
constante consentimento.",en_XX,pt_XX,1
"i / conversation
the tumult in the heart
keeps asking questions.
and then it stops and undertakes to answer
in the same tone of voice.
no one could tell the difference.
uninnocent, these conversations start,
and then engage the senses,
only half-meaning to.
and then there is no choice,
and then there is no sense;
until a name
and all its connotations are the same.","i / conversação
o tumulto no coração
faz um monte de perguntas.
depois para e passa a dar respostas
no mesmo tom de voz.
impossível ver a diferença.
desinocentes, as conversas começam,
depois envolvem os sentidos,
meio a contragosto.
depois não há mais escolha,
depois não há mais sentido;
até que some
a diferença entre sentido e nome.",en_XX,pt_XX,1
"just so the christians, hard as nails,
tiny as nails, and glinting,
in creaking armor, came and found it all,
not unfamiliar:
no lovers’ walks, no bowers,
no cherries to be picked, no lute music,
but corresponding, nevertheless,
to an old dream of wealth and luxury
already out of style when they left home —
wealth, plus a brand-new pleasure.
directly after mass, humming perhaps
l’homme armé or some such tune,
they ripped away into the hanging fabric,
each out to catch an indian for himself —
those maddening little women who kept calling,
calling to each other (or had the birds waked up?)
and retreating, always retreating, behind it.","e foi assim que os cristãos, duros e pequenos
como pregos de ferro, e reluzentes,
armaduras a ranger, encontraram uma cena que já era
de certo modo familiar:
nem alamedas suaves, caramanchões,
cerejeiras carregadas nem alaúdes,
mas assim mesmo algo que lembrava
um sonho antigo de riqueza e luxo
já saindo de moda lá na europa —
riqueza, e mais um prazer novinho em folha.
logo depois da missa, talvez cantarolando
l’homme armé ou outro tema assim,
enlouquecidos, rasgaram a tapeçaria
e cada um foi atrás de uma índia —
aquelas mulherezinhas irritantes
gritando uma pra outra (ou foram as aves que acordaram?)
e se embrenhando, se embrenhando no desenho.",en_XX,pt_XX,1
"she complimented me
in a language i didn’t know;
but when she blew cigar smoke
into my ears and nostrils
i understood, like a dog,
although i can’t speak it yet.
they showed me room after room
and took me from here to belém
and back again in a minute.
in fact, i’m not sure where i went,
but miles, under the river.","falou comigo umas coisas
nalguma língua estrangeira;
mas quando soprou fumaça
nos meus ouvidos, na hora
entendi, feito um cachorro,
mesmo sem saber falar.
me mostraram as salas todas,
me levaram até belém
e voltamos num minuto.
nem sei direito aonde fui,
mas fui longe, e por den’d’água.",en_XX,pt_XX,1
"babies with pointed heads
wound round and round with string;
black, naked women with necks
wound round and round with wire
like the necks of light bulbs.
their breasts were horrifying.
i read it right straight through.
i was too shy to stop.
and then i looked at the cover:
the yellow margins; the date.
suddenly, from inside,
came an oh! of pain
— aunt consuelo’s voice —
not very loud or long.
i wasn’t at all surprised;
even then i knew she was
a foolish, timid woman.
i might have been embarrassed,
but wasn’t. what took me
completely by surprise
was that it was me:
my voice, in my mouth.
without thinking at all
i was my foolish aunt,
i — we — were falling, falling,
our eyes glued to the cover
of the national geographic,
february, 1918.","bebês com cabeças pontudas
com espirais de barbante;
mulheres negras e nuas
com espirais no pescoço
tal como se fossem lâmpadas.
seus peitos eram medonhos.
li a revista todinha,
sem coragem de parar.
então olhei para a capa:
a borda amarela, a data.
de repente, lá de dentro
veio um grito, ai!, de dor
— voz da tia consuelo —
não muito alto, nem comprido.
eu não me surpreendi:
já sabia que ela era
uma mulher boba e medrosa.
não senti vergonha alguma,
embora tivesse motivo.
o que me espantou por completo
foi sentir que era eu:
minha voz, na minha boca.
sem pensar, eu era agora
a boboca da minha tia,
eu — nós — caíamos, olhando
a capa da national geographic
de fevereiro de mil
novecentos e dezoito.",en_XX,pt_XX,1
"i said to myself: three days
and you’ll be seven years old.
i was saying it to stop
the sensation of falling off
the round, turning world
into cold, blue-black space.
but i felt: you are an i,
you are an elizabeth,
you are one of them.
why should you be one, too?
i scarcely dared to look
to see what it was i was.
i gave a sidelong glance
— i couldn’t look any higher —
at shadowy gray knees,
trousers and skirts and boots
and different pairs of hands
lying under the lamps.
i knew that nothing stranger
had ever happened, that nothing
stranger could ever happen.
why should i be my aunt,
or me, or anyone?
what similarities —
boots, hands, the family voice
i felt in my throat, or even
the national geographic
and those awful hanging breasts —
held us all together
or made us all just one?
how — i didn’t know any
word for it — how “unlikely”...
how had i come to be here,
like them, and overhear
a cry of pain that could have
got loud and worse but hadn’t?","eu pensei: daqui a três dias
você vai fazer sete anos,
pra afastar a sensação
de estar caindo, caindo
do mundo redondo, a rodar,
no espaço escuro e gelado.
mas pensei: você é um eu,
você é uma elizabeth,
você é uma delas, também.
mas por quê, por quê? eu mal
tinha coragem de olhar
para ver o que eu era, mesmo.
dei uma olhada de esguelha
— não dava pra ver mais de cima —
naqueles joelhos cinzentos,
calças e saias e botas
e pares de mãos diferentes
pousadas sob os abajures.
eu sabia: nada tão estranho
jamais acontecera, e nunca
voltaria a acontecer.
por que eu era minha tia,
ou eu, ou quem quer que fosse?
que semelhanças — as botas,
as mãos, a voz da família
que eu sentia na garganta,
ou a national geographic
e os peitos caídos, horrendos —
nos mantinham todas juntas
ou nos tornavam uma só?
que coisa — eu não conhecia
a palavra — mais “improvável”...
como eu fora parar ali,
como elas, pra escutar
um grito de dor que podia
ter sido maior, mas não foi?",en_XX,pt_XX,1
"the knife there on the shelf —
it reeked of meaning, like a crucifix.
it lived. how many years did i
beg it, implore it, not to break?
i knew each nick and scratch by heart,
the bluish blade, the broken tip,
the lines of wood-grain on the handle...
now it won’t look at me at all.
the living soul has dribbled away.
my eyes rest on it and pass on.
the local museum’s asked me to
leave everything to them:
the flute, the knife, the shrivelled shoes,
my shedding goatskin trousers
(moths have got in the fur),
the parasol that took me such a time
remembering the way the ribs should go.
it still will work but, folded up,
looks like a plucked and skinny fowl.
how can anyone want such things?
— and friday, my dear friday, died of measles
seventeen years ago come march.","aquela faca ali na prateleira —
era tão prenhe de significado quanto um crucifixo.
era uma coisa viva. quantos anos não passei
pedindo a ela, implorando, que não quebrasse?
eu conhecia de cor cada arranhão,
a lâmina azulada, a ponta quebrada,
os veios da madeira do cabo...
agora ela nem olha mais para mim.
sua alma viva esboroou-se.
meus olhos pousam nela e seguem adiante.
o museu daqui me pediu
que eu lhe deixasse tudo em testamento:
a flauta, a faca, esses sapatos murchos,
as calças de camurça a descascar
(o couro está cheio de traças),
a sombrinha que me deu tanto trabalho
lembrar para que lado viram as varetas.
ainda funciona, mas dobrada como está
parece uma galinha magra depenada.
como que alguém pode querer coisas assim?
— e sexta-feira, meu querido sexta-feira, morreu de sarampo,
vai fazer dezessete anos agora em março.",en_XX,pt_XX,1
