original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"liberdade
aqui nesta praia onde
não há nenhum vestígio de impureza
aqui onde há somente
ondas tombando ininterruptamente
puro espaço e lúcida unidade
aqui o tempo apaixonadamente
encontra a própria liberdade","liberté
ici sur cette plage
il n'y a aucune trace d'impureté
ici où il y a seulement
des vagues qui se brisent sans répit
espace pur et unité lucide
ici le temps avec passion
trouve sa propre liberté",pt_XX,fr_XX,"liberté
ici sur cette plage où
il n'y a aucune trace d'impureté
ici où il n'y a que
vagues s'écrasant sans interruption
espace pur et unité lucide
ici le temps passionnément
trouve sa propre liberté",1
"a queda do império
perguntei ao vento
onde foi encontrar
mago sopro encanto
nau da vela em cruz
foi nas ondas do mar
do mundo inteiro
terras da perdição
parco império mil almas
por pau de canela e mazagão
pata de negreiro
tira e foge à morte
que a sorte é de quem
a terra amou
e no peito guardou
cheiro da mata eterna
laranja luanda
sempre em flor.","la chute de l’empire
j’ai demandé au vent
où avait-il trouvé
la magie souffle enchantement
vaisseau à la voile en croix
c’était sur les vagues de la mer
du monde entier
terres de perdition
modeste empire mille âmes
pour bâton de cannelle et mazagan
patte de négrier
prend et fuit la mort
car la chance est de qui
la terre a aimé
et dans le cœur a gardé
l'odeur de forêt éternelle
l'orange luanda
toujours en fleur.",pt_XX,fr_XX,"la chute de l'empire
J'ai demandé au vent
où as-tu trouvé
charme de souffle de magicien
navire à voiles croisées
C'était dans les vagues de la mer
du monde entier
terres de perdition
empire clairsemé mille âmes
avec du bâton de cannelle et de la pâte d'amande
patte d'esclave
prendre et échapper à la mort
que la chance appartient à ceux qui
la terre a aimé
et dans sa poitrine il gardait
l'odeur de la forêt éternelle
orange luanda
toujours en fleur.",1
"porque não me vês joana
pois sabes que meu desejo
cresce quando não te vejo
cresce se estou na cidade
e não me deixa no mato
não sei se me resguarde
e de tudo me recato
não me custa tão barato
o dia em que te não vejo
que não morra de desejo","pourquoi ne veux-tu pas me voir joana
car tu sais que mon désir
grandit quand je ne te vois pas
il grandit si je suis en ville
et il me suit dans les champs
je ne sais si je dois me protéger
et de tout m’éloigner
ce n’est pas si bon marché
le jour que je ne te vois
que je meure de désir",pt_XX,fr_XX,"pourquoi ne me vois-tu pas Joana
parce que tu sais que mon désir
grandit quand je ne te vois pas
grandit si je suis en ville
et ne me laisse pas dans la brousse
Je ne sais pas si ça me protège
et je suis timide à propos de tout
Ça ne me coûte pas si cher
le jour où je ne te vois pas
qui ne meurt pas de désir",1
"amigo, queredes vos ir? -si, mia senhor, ca nom poss'al fazer, ca seria meu mal e vosso; por end'a partir mi convem d'aqueste logar; mais que gram coita d'endurar me será, pois m'é sem vós vir!
amigu', e de mim que será? -bem, senhor bõa e de prez; e pois m'eu fôr daquesta vez, o vosso mui bem se passará; mas morte m'é de m'alongar de vós e ir-m'alhur morar. mais pois é vós ũa vez ja!
amigu', eu sem vós morrerei. nom o queirades esso, senhor, mas pois u vós fôrdes, nom fôr o que morrerá, eu serei; mas quer'eu ant'o meu passar ca assi do voss'aventurar, ca eu sem vós de morrer hei!
queredes-m', amigo, matar? nom, mia senhor, mais por guardar vós, mato-mi que m'o busquei.","mon ami, voulez-vous partir ?
oui, ma dame, je ne peux pas faire autrement, puisque cela serait un malheur pour vous et pour moi, je dois quitter cet endroit; mais quel grand chagrin je vais devoir endurer, car sans vous voir je resterai!
mon ami, que vais-je devenir ?
eh bien, ma bonne et honnête dame, cette fois quand je partirai votre bien aimé disparaîtra; mais je vais mourir si je m'éloigne de vous et loin je vais rester eh bien, si pour vous il en est ainsi!
mon ami, sans vous je vais mourir. non, ne veuillez pas cela, seigneur car là où vous allez, je n'irai pas celui qui mourira, çá sera moi; mais je préfère ma mort plutôt que votre malheur car sans vous moi aussi je mourrai!
mon ami, vous voulez me tuer ?
non, ma dame pour vous garder je me tue car c'est moi qui l'a cherché",pt_XX,fr_XX,"ami, tu veux y aller ? -Oui, monseigneur, je ne peux pas faire cela, ce serait mon malheur et le vôtre ; il me convient donc de quitter cet endroit ; Quel grand fardeau ce sera pour moi de supporter, puisque c'est sans que tu viennes !
mon ami, et moi ? -Eh bien, monsieur, bon et précieux ; et puisque je suis parti cette fois, le vôtre ira très bien ; mais la mort, pour moi, c'est te quitter et aller vivre ailleurs. mais c'est ton tour maintenant !
ami, je mourrai sans toi. Je ne veux pas cela, monsieur, mais si vous l'êtes, je ne serai pas celui qui mourra ; Mais je veux passer mon temps ici sans toi, alors je mourrai sans toi !
Veux-tu me tuer, mon ami ? Non, mon seigneur, mais pour vous protéger, je me tuerai, comme je l'ai cherché moi-même.",1
"cessem do sábio grego e do troiano
as navegações grandes que fizeram;
cale-se de alexandro e de trajano
a fama das vitórias que tiveram;
que eu canto o peito ilustre lusitano,
a quem netuno e marte obedeceram.
cesse tudo o que a musa antiga canta,
que outro valor mais alto se alevanta.","qu’on cesse de vanter les vastes entreprises,
les navigations des grecs et des troyens;
qu'on cesse de parler des nations qu’ont soumises,
alexandre et trajan, ces demi-dieux païens;
je chante les enfants de la lusitanie,
qui de neptune et mars se firent obéir,
que des vieux temps la muse entende et s’humilie,
devant de plus hauts faits, tout éclat doit pâlir.",pt_XX,fr_XX,"cessez le sage grec et le troyen
les grands voyages qu’ils ont faits ;
tais-toi à propos d'Alexandro et de Trajan
la renommée des victoires qu’ils ont remportées ;
que je chante l'illustre poitrine lusitanienne,
à qui Neptune et Mars obéissaient.
cesse tout ce que chante l'ancienne muse,
qu'une autre valeur supérieure surgit.",1
"e vós, tágides minhas, pois criado
tendes em mim um novo engenho ardente,
se sempre em verso humilde celebrado
foi de mim vosso rio alegremente,
dai-me agora um som alto e sublimado,
um estilo grandíloquo e corrente,
porque de vossas águas febo ordene
que não tenham inveja às de hipocrene.","beles nymphes du tage, à vos ondes limpides,
si j’adressai jadis mes vers et mon encens,
et si toujours pour vous, de gloire plus avide
une nouvelle ardeur vient embraser mes sens,
que votre feu divin protège mon poème.
daignez rendre mon style élégant cl pompeux,
c’est l'ordre de phébus; i llippocrène lui même
ne pourra surpasser vos ilots majestueux.",pt_XX,fr_XX,"et vous, mes tagides, pour avoir créé
tu as en moi un nouveau génie ardent,
si toujours célébré en vers humbles
ta rivière s'est éloignée de moi joyeusement,
donne-moi maintenant un son fort et sublime,
un style grandiloquent et actuel,
car de tes eaux Phébus commande
qu'ils n'envient pas ceux d'Hippocrène.",1
"e vós, ó bem nascida segurança
da lusitana antiga liberdade,
e não menos certíssima esperança
de aumento da pequena cristandade;
vós, ó novo temor da maura lança,
maravilha fatal da nossa idade,
dada ao mundo por deus, que todo o mande,
para do mundo a deus dar parte grande","et vous, qui maintenez la si douce assurance
de notre nationale et vieille liberté,
vous, sur qui i occident a formé l’espérance
d’étendre les confins de la chréliennelé;
vous dont le maure apprend à craindre la colère,
défenseur de la loi, merveille de nos temps,
que dieu mit en ce monde, afin que de la terre,
vous puissiez lui conter les grands événements.",pt_XX,fr_XX,"et toi, ô sécurité bien née
de l'ancienne liberté lusitanienne,
et un espoir non moins certain
de l'augmentation du petit christianisme ;
toi, oh nouvelle peur de la lance maléfique,
merveille fatale de notre époque,
donné au monde par Dieu, qui commande à tous,
donner une grande partie du monde à Dieu",1
"vós, poderoso rei, cujo alto império
o sol, logo em nascendo, vê primeiro;
vê-o também no meio do hemisfério,
e quando desce o deixa derradeiro;
vós, que esperamos jugo e vitupério
do torpe ismaelita cavaleiro,
do turco oriental e do gentio
que inda bebe o licor do santo rio","vous, puissant souverain, dont le royaume immense
au lever du soleil s’éclaire le premier,
au bout de l'horizon l'aperçoit qui s’avance
et le dernier de tous assiste à son coucher;
qui sémerez l’effroi dans les déserts arides,
où bondit d’ismaël le cavalier sans frein,
chez le lurc d orient et les païens perfides
qui s'abreuvent encor dans les eaux du jourdain",pt_XX,fr_XX,"toi, puissant roi, dont le haut empire
le soleil, dès qu'il se lève, voit le premier ;
on le voit aussi au milieu de l'hémisphère,
et quand il descend, il le laisse définitif ;
vous qui attendez le joug et l'opprobre
du vil chevalier ismaélite,
des Turcs de l'Est et des Gentils
qui boit encore la liqueur du fleuve sacré",1
"inclinai por um pouco a majestade
que nesse tenro gesto vos contemplo,
que já se mostra qual na inteira idade,
quando subindo ireis ao eterno templo;
os olhos da real benignidade
ponde no chão: vereis um novo exemplo
de amor dos pátrios feitos valerosos,
em versos divulgado numerosos.","daignez diminuer, pour que l'on vous contemple
cet air majestueux qui jette même éclat
que lors qu'en vos vieux ans, vous prendrez place au temple
où vivent a jamais les héros de l'etat.
abaissant vos regards de la grandeur royale
sur um de vos sujets, daignez les arrêter;
et vous apercevrez la gloire nationale
m'inspirant de nouveau des vers pour la chanter;",pt_XX,fr_XX,"incline-toi un peu devant ta majesté
que dans ce geste tendre je te contemple,
qui se présente déjà comme une époque entière,
quand tu monteras, tu iras au temple éternel ;
les yeux de la vraie gentillesse
posez-le sur le sol : vous verrez un nouvel exemple
de l'amour des patriotes rendus vaillants,
dans des vers publiés en nombre.",1
"vereis amor da pátria, não movido
de prémio vil, mas alto e quase eterno;
que não é prémio vil ser conhecido
por um pregão do ninho meu paterno.
ouvi: vereis o nome engrandecido
daqueles de quem sois senhor superno,
e julgareis qual é mais excelente,
se ser do mundo rei, se de tal gente.","vous verrez professer l'amour de la patrie,
sans l’appât dégradant d'un intérêt vénal,
est-il un prix plus beau que céder à l’envie
de chanter les exploits de son berceau natal?
du peuple généreux dont vous êtes le maître
vous verrez exalter le nom et les hauts faits
et pourrez dire alors, ce qu'il voudrait mieux être
le roi du monde entier, on bien de tels sujets.",pt_XX,fr_XX,"vous verrez l'amour du pays, non ému
d’une récompense vile mais élevée et presque éternelle ;
que ce n'est pas une mince affaire d'être connu
par un cri de mon nid paternel.
écoutez : vous verrez le nom agrandi
de ceux dont tu es le seigneur suprême,
et vous jugerez lequel est le plus excellent,
s'il est roi du monde, s'il est roi de tels gens.",1
"por estes vos darei um nuno fero,
que fez ao rei o ao reino tal serviço,
um egas, e um d. fuas, que de homero
a cítara para eles só cobiço.
pois pelos doze pares dar-vos quero
os doze de inglaterra, e o seu magriço.
dou-vos também aquele ilustre gama,
que para si de eneias toma a fama.","pour ceux-ci, je vous donne un nuno téméraire,
qui rendit à son roi des services si grands,
un egas, un fuas, pour qui le luth d’homére
n’a point de trop beaux sons, d’assez nobles accents.
vous pourrez opposer aux douze pairs de france
les douze d’albion, magriço valeureux,
et puis vient un cama, dont l’illustre constance
d’enée a pris pour lui le renom glorieux.",pt_XX,fr_XX,"pour ceux-là je te donnerai un nuno féroce,
qui a rendu un tel service au roi et au royaume,
un egas et un d. fuas, celui d'Homère
Je ne convoite que la cithare pour eux.
car par les douze paires je veux te donner
les douze d'Angleterre, et son maigre.
Je vous donne également cette illustre gamme,
qui s'approprie la renommée d'Énée.",1
"pois se a troco de carlos, rei de frança,
ou de césar, quereis igual memória,
vede o primeiro afonso, cuja lança
escura faz qualquer estranha glória;
e aquele que a seu reino a segurança
deixou, com a grande e próspera vitória;
outro joane, invicto cavaleiro,
o quarto e quinto afonsos e o terceiro.","si vous voulez des noms rivalisant en gloire,
charlemagne ou césar, vous aurez a choisir,
entre alphonse premier, de glorieuse mémoire;
(quel éclat supérieur pourrait donc obscurcir
un roi dont la victoire a contraint le barbare
des pays qu’il souillait à faire l’abandon)
et jean, ce chevalier d’un courage si rare;
puis alphonse trois, quatre et cinquième du nom.",pt_XX,fr_XX,"car si en échange de Charles, roi de France,
ou de César, tu veux le même souvenir,
voir le premier Afonso, dont la lance
l'obscurité rend toute gloire étrange ;
et celui qui donne la sécurité à son royaume
à gauche, avec la grande et prospère victoire ;
une autre joane, chevalier invaincu,
le quatrième et le cinquième afonsos et le troisième.",1
"nem deixarão meus versos esquecidos
aqueles que, nos reinos lá da aurora,
se fizeram por armas tão subidos,
vossa bandeira sempre vencedora:
um pacheco fortíssimo, e os temidos
almeidas, por quem sempre o tejo chora,
albuquerque terríbil, castro forte,
e outros em quem poder não teve a morte.","mon poème et mes vers rappelleront encore
tous ceux qui s’illustrant en des climats nouveaux
poussèrent leurs succès jusques où nail l’aurore,
et firent tant de fois triompher vos drapeaux.
un pacheco vaillant, des almeidas sans crainte,
(sur leur destin le tage a versé bien des pleurs)
le terrible albuquerque, et castro, à la foi sainte
et d’autres que la mort épargne en ses rigueurs.",pt_XX,fr_XX,"et ils ne laisseront pas mes vers oubliés
ceux qui, dans les royaumes de l'aube,
s'ils se sont élevés si haut par les armes,
ton drapeau toujours gagnant :
un pacheco très fort, et le redouté
almeidas, pour qui le Tage pleure toujours,
terrible albuquerque, fort castro,
et d’autres sur lesquels la mort n’avait aucun pouvoir.",1
"em vós se vem da olímpica morada,
dos dois avós as almas cá famosas;
uma, na paz angélica dourada,
outra, pelas batalhas sanguinosas.
em vós esperam ver-se renovada
sua memória e obras valerosas;
e lá vos tem lugar, no fim da idade,
no templo da suprema eternidade.","en vous, l'on voit uni par un rare assemblage,
les diverses vertus de deux de vos ayeux,
l’une, ne craignant rien, mais pacifique et sage,
l'autre, ne respirant que projets belliqueux.
en vous nous espérons devoir la renaissance
de ces règnes fameux, temps de prospérité,
et du peuple la voix vous proclame d'avance
digne de partager leur immortalité.",pt_XX,fr_XX,"en toi vient de la demeure olympique,
des deux grands-parents les âmes célèbres ici ;
un, dans la paix angélique dorée,
une autre, par des batailles sanglantes.
en toi ils espèrent se voir renouvelés
sa mémoire et ses vaillantes œuvres ;
et là vous avez une place, à la fin des temps,
dans le temple de l'éternité suprême.",1
"mas enquanto este tempo passa lento
de regerdes os povos, que o desejam,
dai vós favor ao novo atrevimento,
para que estes meus versos vossos sejam;
e vereis ir cortando o salso argento
os vossos argonautas, por que vejam
que são vistos de vós no mar irado,
e costumai-vos já a ser invocado.","tandis que votre règne, en merveilles fertile
sur votre peuple heureux s’écoule lentement
daignez favoriser ma tâche difficile,
accordez a mes vers un suffrage éclatant;
qu'en sillonnant les ilots de la plaine argentée
vos argonautes soient dans la conviction
que votre œil les suivra sur la mer irritée;
puis habituez-vous à l’invocation.",pt_XX,fr_XX,"mais pendant que ce temps passe lentement
pour gouverner les peuples qui le désirent,
accorde la faveur à la nouvelle audace,
afin que ces versets soient les vôtres ;
et vous verrez le persil argenté être coupé
vos Argonautes, parce que vous voyez
que tu vois dans la mer en colère,
et vous êtes déjà habitué à être invoqué.",1
"deixam dos sete céus o regimento,
que do poder mais alto lhe foi dado,
alto poder, que só co'o pensamento
governa o céu, a terra e o mar irado.
ali se acharam juntos, num momento,
os que habitam o arcturo congelado
e os que o austro tem e as partes onde
a aurora nasce e o claro sol se esconde.","vers le septième ciel, ils laissent dépassée
la milice d'elus qu’y place l'eternel,
etre supérieur dont la seule pensée
fait obéir la terre, et la mer cl le ciel.
là se sont réunis, dévorant la distance
les habitants du pôle aux frimais rigoureux.
el ceux de l’anlarclique, et d’où le jour s’élance,
el ceux où le soleil dans l'onde éteint ses feux.",pt_XX,fr_XX,"quitte le régiment des sept cieux,
que du plus haut pouvoir lui a été donné,
une puissance élevée, qui ne peut être obtenue qu'avec la pensée
règne sur le ciel, la terre et la mer en colère.
là, ils se retrouvèrent ensemble, en un instant,
ceux qui habitent l'arcturus gelé
et ceux que l'autrichien possède et les parties où
l'aube se lève et le soleil clair se couche.",1
"já lhe foi (bem o vistes) concedido,
c'um poder tão singelo e tão pequeno,
tomar ao mouro forte e guarnecido
toda a terra que rega o tejo ameno.
pois contra o castelhano tão temido
sempre alcançou favor do céu sereno.
assim que sempre, enfim, com fama e glória,
teve os troféus pendentes da vitória.","«jadis vous l'avez vu, petit et misérable
«combattre hardiment de ses faibles recours
«et chasser le païen, puissant et formidable
«des pays fortunés où le tage a son cours;
«plus lard de la castille aux puissantes armées
«braver avec succès la haine et le courroux,
«et remporter souvent de glorieux trophées
«sur ces altiers voisins de lui toujours jaloux.",pt_XX,fr_XX,"cela lui a déjà été accordé (vous l'avez bien vu),
avec un pouvoir si simple et si petit,
prendre le Maure fort et garni
toute la terre qui arrose le doux Tage.
car contre le redoutable castillan
a toujours obtenu la faveur du ciel serein.
comme toujours, enfin, avec gloire et renommée,
avait les trophées de la victoire en attente.",1
"prometido lhe está do fado eterno,
cuja alta lei não pode ser quebrada,
que tenham longos tempos o governo
do mar que vê do sol a roxa entrada.
nas águas tem passado o duro inverno;
a gente vem perdida e trabalhada.
já parece bem feito que lhe seja
mostrada a nova terra que deseja.","«vous savez comme moi que par les destinées,
«et rien ne briserait leurs arrêts rigoureux,
«ils seront souverains pendant longues années
«des mers que le soleil empourpre de ses feux.
«ils ont passé déjà le rude hiver sur l'onde;
«ils sont las, épuisés de travaux et d’efforts;
«ne méritent-ils point qu’on leur montre ce monde,
«dont leurs yeux inquiets cherchent en vain les ports?",pt_XX,fr_XX,"promis par le destin éternel,
dont la loi suprême ne peut être violée,
que le gouvernement a de longs délais
de la mer qui voit l'entrée violette du soleil.
l'hiver rigoureux est passé dans les eaux ;
nous arrivons perdus et énervés.
Cela semble déjà bien fait que ce soit le cas
montré la nouvelle terre qu'il désire.",1
"estas palavras júpiter dizia,
quando os deuses por ordem respondendo,
na sentença um do outro diferia,
razões diversas dando e recebendo.
o padre baco ali não consentia
no que júpiter disse, conhecendo
que esquecerão seus feitos no oriente
se lá passar a lusitana gente.","a peine jupiter eut tenu ce langage,
qu’il s’élève au conseil un débat orageux;
chacun prend un parti, diffère et se partage
allègue ses motifs.—le plus impétueux
etait surtout bacchus. ce dieu parle et s’agite;
au vœu de jupiter il ne peut consentir,
sachant qu’en orient, on l’oubliera bien vite,
si les fiers lusilains peuvent y parvenir.",pt_XX,fr_XX,"ces mots que Jupiter a dit,
lorsque les dieux répondent par ordre,
dans la phrase l'un de l'autre différait,
diverses raisons de donner et de recevoir.
Le père Bacchus n'y consentit pas
dans ce que Jupiter a dit, sachant
qui oubliera ses actes à l'est
si les Portugais passent par là.",1
"ouvido tinha aos fados que viria
uma gente fortíssima de espanha
pelo mar alto, a qual sujeitaria
da índia tudo quanto dóris banha,
e com novas vitórias venceria
a fama antiga, ou sua ou fosse estranha.
altamente lhe dói perder a glória
de que nisa celebra inda a memória.","il a vu dans le sort des preuves menaçantes
que d'espagne il viendrait des hommes aguerris,
qui par la haute mer, à travers les tourmentes,
soumettraient à leur joug tous les lieux que boris
arrose de ses ilots sur la côte indienne;
il sait qu’on oubliera pour ces nouveaux venus,
toute gloire passée, et regrette la sienne
que nysée en ses chants ne célébrera plus.",pt_XX,fr_XX,"J'avais entendu parler du destin qui allait arriver
un peuple très fort d'Espagne
par la haute mer, ce qui soumettrait
de l'Inde tout ce que Doris baigne,
et avec de nouvelles victoires je gagnerais
l'ancienne renommée, qu'elle soit la sienne ou celle d'un inconnu.
cela lui fait très mal de perdre sa gloire
dont Nisa célèbre encore la mémoire.",1
"vê que já teve o indo sojugado
e nunca lhe tirou fortuna ou caso
por vencedor da índia ser cantado
de quantos bebem a água de parnaso.
teme agora que seja sepultado
seu tão célebre nome em negro vaso
de água do esquecimento, se lá chegam
os fortes portugueses que navegam.","dans les temps reculés, il a subjugue l’inde;
soit fortune ou hasard, ce fait a mérité
que tous les sectateurs buvant aux eaux du pindc,
comme son conquérant l’aient seul toujours chanté.
ce litre glorieux et qui l’immortalise,
les flots noirs de l’oubli l’éteindraient à jamais,
si celle région élail enfin soumise
a des navigateurs tels que les portugais.",pt_XX,fr_XX,"voir qu'il a déjà été subjugué
et ne lui a jamais enlevé sa fortune ni son cas
pour que le vainqueur de l'Inde soit chanté
de ceux qui boivent l'eau du Parnasse.
il craint maintenant d'être enterré
ton nom célèbre dans un vase noir
de l'eau de l'oubli, s'ils y arrivent
les forts portugais qui naviguent.",1
"estas causas moviam citereia,
e mais, porque das parcas claro entende
que há-de ser celebrada, a clara deia,
onde a gente belígera se estende.
assim que, um, pela infâmia que arreceia,
e o outro, pelas honras que pretende,
debatem e na porfia permanecem;
a qualquer seus amigos favorecem.","ces raisons excilaient la reine de cythère;
el puis ne sait-elle pas qu’il arrive toujours
que là où s’établit une race guerrière
on voit fleurir son culte et les tendres amours?
ainsi l'un pour sauver sa gloire chancelante,
et l'autre dans l’espoir d’augmenter ses autels,
pendent la discussion acharnée el bruyante;
tant l'on combat partout pour des buts personnels.",pt_XX,fr_XX,"ces causes ont ému Cytheria,
et de plus, grâce aux fées, il est clair à comprendre
ce qui doit être célébré, la claire deia,
où les peuples belligérants se sont dispersés.
de sorte que, l'un, pour l'infamie qu'il craint,
et l'autre, pour les honneurs qu'il recherche,
ils débattent et restent en lice ;
à n'importe quelle faveur de vos amis.",1
"a viseira do elmo de diamante
alevantando um pouco, mui seguro,
por dar seu parecer se pôs diante
de júpiter, armado, forte e duro;
e dando uma pancada penetrante
co'o conto do bastão no sólio puro,
o céu tremeu, e apolo, de torvado,
um pouco a luz perdeu, como enfiado.","du casque en diamant qui recouvrait sa tête,
la visière est levée et montre cet œil fier,
qui des combats sanglants dirige la tempête;
d'un pas ferme il s’avance, et devant jupiter,
pour donner son avis, il s’arrête terrible;
alors frappant son dard d'un bras si vigoureux
qu'il ébranla le ciel, et qu'un effroi visible
altéra d'apollon les rayons lumineux",pt_XX,fr_XX,"la visière du casque de diamant
soulevant un peu, très sûr,
pour donner son avis, il s'est présenté devant
de Jupiter, armé, fort et dur ;
et donnant un coup pénétrant
avec l'histoire du bâton sur le solide pur,
le ciel trembla, et Apollon, dans l'angoisse,
un peu la lumière perdue, comme coincée.",1
"e disse assim: ó padre, a cujo império
tudo aquilo obedece que criaste:
se esta gente que busca outro hemisfério,
cuja valia e obras tanto amaste,
não queres que padeçam vitupério,
como há já tanto tempo que ordenaste,
não onças mais, pois és juiz direito,
razões de quem parece que é suspeito.","«maître des dieux, dit il, qui d’un amour de père
«gouverne ces humains dont lu fus créateur,
«si des mortels, cherchant un nouvel hémisphère,
«ont su par leur audace et leur haute valeur,
«mériter de ta part et secours et refuge,
«pourquoi laisser l'envie après eux s’acharner?
«a quoi sert d’écouter, quand lu dois être juge,
«tous ces motifs suspects qu’on ose te donner?",pt_XX,fr_XX,"et dit ainsi : Ô père, à l'empire duquel
tout obéit à ce que tu as créé :
si ces gens qui recherchent un autre hémisphère,
dont tu as tant aimé la valeur et les œuvres,
tu ne veux pas qu'ils souffrent de reproches,
comme vous l'avez commandé depuis si longtemps,
plus de jaguars, car tu es un juge juste,
raisons pour lesquelles quelqu'un semble suspect.",1
