original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"por receio de quem espia
cheio de inveja a roer
não veio naquele dia,
p'ra assim traída não ser
p'la luz que no rosto esplende,
p'las jóias a tilintar,
e pelo perfume do âmbar
a que o corpo lhe rescende:
é que ao rosto, com o manto,
tapá-lo ainda poderia,
e as jóias, entretanto,
facilmente as tiraria
mas a fragrância do encanto
para ocultá-la, que faria?","par crainte de celui qui guette
plein de l’envie qui ronge
ce jour-là elle n'est pas venue,
pour ne pas être trahie
par le resplendissement de son visage,
par le tintement des bijoux,
et par le parfum de l'ambre
que de son corps s’exhale :
c’est que le visage, avec le voile,
elle pourrait encore le cacher,
et les bijoux, entretemps,
elle pourrait facilement les retirer,
mais la fragrance de la beauté,
comment pourrait-elle l’occulter?","# De peur de qui espionne #
Pleine d'envie de rugir
Il n'est pas venu ce jour-là.
♪ tellement trahi pour ne pas être ♪
Pour la lumière qui brille dans le visage,
Pour que les bijoux chatouillent,
et par l'odeur de l'ambre
vers lequel le corps descend de lui:
C'est juste, au visage, avec le manteau,
Le couvrir pourrait encore,
et les bijoux, en attendant,
Je les enlèverais facilement.
mais le parfum du charme
Pour la cacher, qu'est-ce que tu ferais?",pt,fr,1
"liberdade
aqui nesta praia onde
não há nenhum vestígio de impureza
aqui onde há somente
ondas tombando ininterruptamente
puro espaço e lúcida unidade
aqui o tempo apaixonadamente
encontra a própria liberdade","liberté
ici sur cette plage
il n'y a aucune trace d'impureté
ici où il y a seulement
des vagues qui se brisent sans répit
espace pur et unité lucide
ici le temps avec passion
trouve sa propre liberté","Liberté
ici sur cette plage où
Il n'y a aucune trace d'impureté.
ici où il n'y a que
Les vagues tombent de façon ininterrompue
espace pur et unité lucide
ici le temps passionnément
Trouvez votre propre liberté",pt,fr,1
"porque não me vês joana
pois sabes que meu desejo
cresce quando não te vejo
cresce se estou na cidade
e não me deixa no mato
não sei se me resguarde
e de tudo me recato
não me custa tão barato
o dia em que te não vejo
que não morra de desejo","pourquoi ne veux-tu pas me voir joana
car tu sais que mon désir
grandit quand je ne te vois pas
il grandit si je suis en ville
et il me suit dans les champs
je ne sais si je dois me protéger
et de tout m’éloigner
ce n’est pas si bon marché
le jour que je ne te vois
que je meure de désir","♪ parce que tu ne me vois pas ♪
Car tu sais que mon désir
♪ Grandit quand je ne te vois pas ♪
Grandit si je suis en ville.
Et ça ne me laisse pas dans les bois.
Je ne sais pas si vous me protégerez.
Et je suis désolé pour tout.
Ça ne me coûte pas si cher.
le jour où je ne te vois pas
qui ne meurt pas du désir",pt,fr,1
"as armas e os barões assinalados
que, da ocidental praia lusitana,
por mares nunca de antes navegados
passaram ainda além da taprobana,
em perigos e guerras esforçados,
mais do que prometia a força humana,
e entre gente remota edificaram
novo reino, que tanto sublimaram;
e também as memórias gloriosas
daqueles reis que foram dilatando
a fé, o império, e as terras viciosas
de áfrica e de ásia andaram devastando,
e aqueles que por obras valerosas
se vão da lei da morte libertando:
cantando espalharei por toda parte,
se a tanto me ajudar o engenho e arte.","o vous, hommes vaillants des plages lusilainos
qui, partis d occident, avez par vos exploits,
soumis bien au delà des côtes africaines
des mers qu’on sillonnait pour la première fois;
o vous, que méprisant les vents et les tempêtes
a travers les dangers, les combats de géants,
arvînles à poser, pour prix de vos conquêtes,
d un empire nouveau les premiers fondements;
aous aussi, puissants rois, mémoires glorieuses.
dont cent peuples divers reconnurent la loi,
font les armes au loin, toujours victorieuses
en asie, en afrique, étendirent la foi;
vous tous enfin, héros dont la gloire sublime
dompta même l’oubli dont menace la mort:
oui, je vous chanterai, si le feu qui m’anime.
en si noble sujet seconde mon essorl.","Les armes et les barons marqués
que, de la plage lusitanienne ouest,
par les mers jamais auparavant navigué
ils passèrent au-delà du tacrovan,
dans les périls et les guerres,
plus que je n'avais promis la force humaine,
Et parmi les gens qui étaient loin, ils bâtirent
un nouveau royaume qu'ils ont exalté,
et aussi les souvenirs glorieux
des rois qui ont été dilatés
la foi, l'empire et les terres vicieuses
l'Afrique et l'Asie ont ravagé,
et ceux qui, par leur vaillante action,
s'ils sortent de la loi de la mort en libérant:
Chantez, je vais m'étendre partout,
Si tu m'aides tant d'art et d'ingéniosité.",pt,fr,1
"cessem do sábio grego e do troiano
as navegações grandes que fizeram;
cale-se de alexandro e de trajano
a fama das vitórias que tiveram;
que eu canto o peito ilustre lusitano,
a quem netuno e marte obedeceram.
cesse tudo o que a musa antiga canta,
que outro valor mais alto se alevanta.","qu’on cesse de vanter les vastes entreprises,
les navigations des grecs et des troyens;
qu'on cesse de parler des nations qu’ont soumises,
alexandre et trajan, ces demi-dieux païens;
je chante les enfants de la lusitanie,
qui de neptune et mars se firent obéir,
que des vieux temps la muse entende et s’humilie,
devant de plus hauts faits, tout éclat doit pâlir.","..............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
les grandes navigations qu'ils ont faites;
Taisez-vous à propos d'Alexandro et Trajan
la renommée des victoires qu'ils ont eues;
que je chante l'illustre sein lusitanien,
A qui je suis petit-fils et un mardi ont obéi.
cesser tout ce que l'ancienne muse chante,
qu'une autre valeur plus élevée augmente.",pt,fr,1
"e vós, tágides minhas, pois criado
tendes em mim um novo engenho ardente,
se sempre em verso humilde celebrado
foi de mim vosso rio alegremente,
dai-me agora um som alto e sublimado,
um estilo grandíloquo e corrente,
porque de vossas águas febo ordene
que não tenham inveja às de hipocrene.","beles nymphes du tage, à vos ondes limpides,
si j’adressai jadis mes vers et mon encens,
et si toujours pour vous, de gloire plus avide
une nouvelle ardeur vient embraser mes sens,
que votre feu divin protège mon poème.
daignez rendre mon style élégant cl pompeux,
c’est l'ordre de phébus; i llippocrène lui même
ne pourra surpasser vos ilots majestueux.","Et vous, prenez mon cœur, parce que je suis un serviteur.
Tu as en moi un nouvel appareil de feu,
si toujours dans l'humble verset célébré
C'était de moi ta rivière joyeusement,
Maintenant donne-moi un son fort et sublime,
un style grandiloque et actuel,
Car je vous commanderai hors de vos eaux.
qui ne sont pas jaloux de l'hypocone.",pt,fr,1
"dai-me uma fúria grande e sonorosa,
e não de agreste avena ou frauta ruda,
mas de tuba canora e belicosa,
que o peito acende e a cor ao gesto muda;
dai-me igual canto aos feitos da famosa
gente vossa, que a marte tanto ajuda;
que se espalhe e se cante no universo,
se tão sublime preço cabe em verso.","que je sois possédé d'une rage guerrière,
rejetez les pipeaux, et la ilûle de pan,
et prêlez-moi la trompe éclatante cl sévérc
qui fait frémir les cœurs et bouillonner le sang.
que mon chant inspiré devienne l'interprète
des preux aimés par vous, et de mars favoris,
que dans tout l’ünivers leur gloire se transmette,
si l'on trouve des mois dignes de tels récits.","Donne-moi une grande et saine fureur,
Et pas d'avoine brute ou de fraude grossière,
mais du tuba canoneux et belliqueux,
que la poitrine s'allume et que la couleur du geste change;
donne-moi un chant égal aux actions du célèbre
Votre peuple, que les Mars vous aident tant;
qui s'étend et chante dans l'univers,
Si tel est le prix sublime correspond au verset.",pt,fr,1
"vós, tenro e novo ramo florescente
de uma árvore, de cristo mais amada
que nenhuma nascida no ocidente,
cesárea ou cristianíssima chamada
(vede-o no vosso escudo, que presente
vos mostra a vitória já passada,
na qual vos deu por armas e deixou
as que ele para si na cruz tomou)","vous, lige encor bien jeune cl pourtant florissante
d'un arbre à qui le christ a promis son soutien,
et que de surpasser nul autre ne se vante,
qu'il ail nom césarée, ou même très chrétien,
voyez voire ecusson; cinq slygmales s’y placent,
d'une victoire insigne, immortel souvenir;
il n’est rien ici bas que ces armes n'effacent,
le christ, sur sa croix, a voulu les choisir.’","Toi, jeune et nouvelle branche florissante
d'un arbre, du Christ le plus aimé
que personne n'est né à l'ouest,
césarienne ou chrétienne soi-disant
(Voyez dans votre bouclier, quel cadeau
Montrez-vous la victoire déjà passée,
dans lequel il t'a donné des armes et est parti
ceux qu'il a pris pour lui-même sur la croix)",pt,fr,1
"vós, poderoso rei, cujo alto império
o sol, logo em nascendo, vê primeiro;
vê-o também no meio do hemisfério,
e quando desce o deixa derradeiro;
vós, que esperamos jugo e vitupério
do torpe ismaelita cavaleiro,
do turco oriental e do gentio
que inda bebe o licor do santo rio","vous, puissant souverain, dont le royaume immense
au lever du soleil s’éclaire le premier,
au bout de l'horizon l'aperçoit qui s’avance
et le dernier de tous assiste à son coucher;
qui sémerez l’effroi dans les déserts arides,
où bondit d’ismaël le cavalier sans frein,
chez le lurc d orient et les païens perfides
qui s'abreuvent encor dans les eaux du jourdain","Toi, puissant roi, dont le haut empire
le soleil voit d'abord quand il se lève;
le voir aussi au milieu de l'hémisphère,
Et quand il descend, il le quitte enfin;
Toi, qui attends le jus et l'opprobre
du chevalier Ismaélite rusé,
de la Turquie orientale et des Gentils
qui l'inda boit la liqueur de la rivière sainte",pt,fr,1
"vereis amor da pátria, não movido
de prémio vil, mas alto e quase eterno;
que não é prémio vil ser conhecido
por um pregão do ninho meu paterno.
ouvi: vereis o nome engrandecido
daqueles de quem sois senhor superno,
e julgareis qual é mais excelente,
se ser do mundo rei, se de tal gente.","vous verrez professer l'amour de la patrie,
sans l’appât dégradant d'un intérêt vénal,
est-il un prix plus beau que céder à l’envie
de chanter les exploits de son berceau natal?
du peuple généreux dont vous êtes le maître
vous verrez exalter le nom et les hauts faits
et pourrez dire alors, ce qu'il voudrait mieux être
le roi du monde entier, on bien de tels sujets.","Vous verrez l'amour de la patrie, pas déplacé.
d'une récompense infâme, mais haute et presque éternelle;
qui n'est pas un prix vil à connaître
pour un signe de nid, mon père.
J'ai entendu: vous verrez le nom grossi
parmi ceux dont vous êtes le souverain seigneur,
Et vous jugerez ce qui est le plus excellent,
Si vous êtes du monde royal, si vous êtes de tels gens.",pt,fr,1
"por estes vos darei um nuno fero,
que fez ao rei o ao reino tal serviço,
um egas, e um d. fuas, que de homero
a cítara para eles só cobiço.
pois pelos doze pares dar-vos quero
os doze de inglaterra, e o seu magriço.
dou-vos também aquele ilustre gama,
que para si de eneias toma a fama.","pour ceux-ci, je vous donne un nuno téméraire,
qui rendit à son roi des services si grands,
un egas, un fuas, pour qui le luth d’homére
n’a point de trop beaux sons, d’assez nobles accents.
vous pourrez opposer aux douze pairs de france
les douze d’albion, magriço valeureux,
et puis vient un cama, dont l’illustre constance
d’enée a pris pour lui le renom glorieux.","Je te donnerai un nuage maléfique pour ceux-là.
qui a fait un tel service au roi pour le royaume,
un egas, et un d. fuas, ça comme un homer
La citara pour eux, je ne convoite que.
Car par les douze paires, je te veux.
les douze d'Angleterre, et son maigre.
Je vous donne aussi cette belle gamme,
que pour vous, il faut la célébrité.",pt,fr,1
