original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"fragmento de tempo
enquanto lá fora estoura
o sol do meio-dia
entre as paredes antigas
o tempo desfia sombrio
e lentamente
o seu rosário de horas.
o tempo descansa a cabeça
sobre almofadas de cetim branco
ou de veludo bordado.
o tempo sorri nos móveis enfeitados
com paninhos de organdi
debruados com perlé dourado.
há os tempos que se escondem
nas gavetas misteriosas e secretas
os que cochilam em poltronas de palhinha
vigiados por retratos redondos na parede.
tempos que se diluem na frágil linha
traçada entre o passado e o presente
que vivem nos sonhos
e dormem nas lembranças
enquanto lá fora estoura
o sol do meio-dia.","fragment du temps
alors qu’éclate dehors
le soleil de midi
entre les vieux murs
le temps egrène obscur et lentement
son chapelet des heures.
le temps repose sa tête
sur des coussins de satin blanc
ou de velours brodé.
le temps sourit dans le mobilier garni
de napperons organdi
ourlés de perlé doré.
il y a les temps qui se cachent
dans des tiroirs mystérieux et secrets
ceux qui sommeillent dans des fauteuils paillés
surveillés par les portraits ronds du mur.
les temps qui se diluent dans la ligne fragile
tracée entre le passé et le présent
qui vivent dans les rêves
et dorment dans les pensées
alors qu’éclate dehors
le soleil de midi.",pt_XX,fr_XX,"Fragment de temps
alors qu'au-dehors éclate
le soleil du midi
entre les murs anciens
le temps défile sombre
et lentement
son chapelet d'heures.
le temps repose sa tête
sur des coussins de satin blanc
ou de velours brodé.
le temps sourit dans les meubles ornés
de petits napperons en organdi
doublés de perlé doré.
il y a des temps qui se cachent
dans les tiroirs mystérieux et secrets
ceux qui piquent un somme dans des fauteuils de paille
surveillés par des portraits ronds au mur.
des temps qui se dissipent dans la fragile ligne
tracée entre passé et présent
qui vivent dans les rêves
et dorment dans les souvenirs
alors qu'au-dehors éclate
le soleil du midi.",0
"mar português
ó mar salgado, quanto do teu sal
são lágrimas de portugal!
por te cruzarmos, quantas mães choraram,
quantos filhos em vão rezaram!
quantas noivas ficaram por casar
para que fosses nosso, ó mar!
valeu a pena? tudo vale a pena
se a alma não é pequena.
quem quer passar além do bojador
tem que passar além da dor.
deus ao mar o perigo e o abismo deu,
mas nele é que espelhou o céu.","mer du portugal
oh mer salée, dans ton sel
combien de larmes du portugal!
parce nous t’avons sillonnée, combien de mères ont pleuré,
combien d’enfants ont en vain prié!
combien de fiancées n’ont pu se marier
pour que tu sois à nous, oh mer!
cela a-t-il valu la peine? tout vaut la peine
si l’esprit n’est pas mesquin.
qui veut aller au-delà du bojador
doit dépasser la douleur.
c’est à la mer que dieu a donné le péril et l’abîme,
mais c’est sur elle qu’il fait resplendir le ciel.",pt_XX,fr_XX,"mer portugais

ô mer salé, combien de ton sel
sont des larmes du portugal !
pour te traverser, combien de mères ont pleuré,
combien d'enfants ont prié en vain !
combien de vierges sont restées sans mari
pour que tu sois le nôtre, ô mer !
en valait-il la peine ? tout vaut la peine
si l'âme n'est pas petite.
qui veut passer au-delà du cap bojador
doit passer au-delà de la douleur.
dieu a donné au mer le danger et l'abîme,
mais c'est en lui qu'il a reflété le ciel.",0
"o teu retrato
deus fez a noite com o teu olhar,
deus fez as ondas com os teus cabelos;
com a tua coragem fez castelos
que pôs, como defesa, à beira-mar.
com um sorriso teu, fez o luar
(que é sorriso de noite, ao viandante)
e eu que andava pelo mundo, errante,
já não ando perdido em alto-mar!
do céu de portugal fez a tua alma!
e ao ver-te sempre assim, tão pura e calma,
da minha noite, eu fiz a claridade!
ó meu anjo de luz e de esperança,
será em ti afinal que descansa
o triste fim da minha mocidade!","ton portrait
dieu a fait la nuit avec ton regard,
dieu a fait les vagues avec tes cheveux;
avec ton courage il a fait des châteaux
qu’il a posé, en défense, au bord de la mer.
avec un de tes sourires, il a fait le clair de lune
(qui est un sourire de nuit, pour le voyageur)
et moi qui parcourais le monde, en errant,
je ne me retrouve plus perdu en haute mer!
avec le ciel du portugal il a fait ton âme
et en te voyant toujours ainsi, si pure et calme,
de ma nuit, j’en ai fait la clarté!
oh mon ange de lumière et d’espoir,
serait-ce en toi que, en fin de compte, repose
la triste fin de ma jeunesse!",pt_XX,fr_XX,"votre portrait

dieu a fait la nuit avec ton regard,
dieu a fait les vagues avec tes cheveux ;
avec ta bravoure il a fait des châteaux
qu'il a mis, comme défense, à la bord de mer.
avec un sourire à toi, il a fait le clair de lune
(qu'est sourire de nuit, au voyageur)
et moi qui errais par le monde, errant,
je ne vagabonde plus en pleine mer !
du ciel du portugal il a fait ton âme !
et en te voyant toujours ainsi, si pure et calme,
de ma nuit, j'ai fait la clarté !
ô mon ange de lumière et d'espoir,
sera-t-il en toi finalement que je repose
le triste déclin de ma jeunesse ?",0
"amar
eu quero amar, amar perdidamente!
amar só por amar: aqui... além...
mais este e aquele, o outro e toda a gente...
amar! amar! e não amar ninguém!
recordar? esquecer? indiferente!
prender ou desprender? é mal? é bem?
quem disser que se pode amar alguém
durante a vida inteira é porque mente!
há uma primavera em cada vida:
é preciso cantá-la assim florida,
pois se deus nos deu voz, foi pra cantar!
e se um dia hei-de ser pó, cinza e nada
que seja a minha noite uma alvorada,
que me saiba perder ... pra me encontrar..","aimer
je veux aimer, aimer éperdument!
aimer juste pour aimer: ici... lá-bas...
et celui-ci e celui-là, l’autre et tout le monde...
aimer! aimer! et n’aimer personne!
me rappeler? oublier? indifférente!
m’attacher ou delaisser? est-ce mal? est-ce bien?
si quelqu’un dit qu’on peut aimer quelqu’un
pendant toute une vie c’est qu’il ment!
il y a un printemps en chaque vie:
il faut la chanter ainsi fleurie,
car si dieu nous a donné la voix, c’est pour chanter!
et si un jour je serai poussière, cendre et plus rien
que ma nuit soit une aurore,
que je sache me perdre ... pour me retrouver...",pt_XX,fr_XX,"aimer
je veux aimer, aimer follement !
aimer pour aimer: ici... là-bas...
cet un, l'autre, celui-là et toute la gente...
aimer! aimer! et ne pas aimer personne !
se souvenir ? oublier ? indifférent !
capturer ou libérer ? est-ce mal ? est-ce bien ?
qui dit qu'on peut aimer une personne
pendant toute la vie ment !
il y a un printemps dans chaque vie :
il faut chanter cette vie en fleur,
car si dieu nous a donné la voix, c'est pour chanter !
et si un jour je vais être poussière, cendre et rien
que ma nuit soit un matin,
que je sache me perdre... pour me retrouver...",0
"as duas flores
são duas flores unidas
são duas rosas nascidas
talvez do mesmo arrebol,
vivendo,no mesmo galho,
da mesma gota de orvalho,
do mesmo raio de sol.
unidas, bem como as penas
das duas asas pequenas
de um passarinho do céu...
como um casal de rolinhas,
como a tribo de andorinhas
da tarde no frouxo véu.
unidas, bem como os prantos,
que em parelha descem tantos
das profundezas do olhar...
como o suspiro e o desgosto,
como as covinhas do rosto,
como as estrelas do mar.
unidas... ai quem pudera
numa eterna primavera
viver, qual vive esta flor.
juntar as rosas da vida
na rama verde e florida,
na verde rama do amor!","les deux fleurs
ce sont deux fleurs unies
ce sont deux roses nées
peut-être du même rougeoyant
sur la même branche, vivant,
de la même goutte de rosée,
du même rayon de soleil.
unies, aussi comme les plumes
des deux petites ailes
d’un oiseau du ciel...
comme un couple de tourterelles
comme la tribu d’hirondelles
du soir dans le voile relâché.
unies, aussi comme les sanglots,
qui par paires descendent tant
des profondeurs du regard....
comme le soupir et le chagrin,
comme les petits creux des joues,
comme les étoiles de mer.
unies... heureux celui qui pourrait
dans un éternel printemps
vivre, comme cette fleur.
assembler les roses de la vie
sur le feuillage vert et fleuri
le vert feuillage de l’amour!",pt_XX,fr_XX,"Les deux fleurs
Ces deux fleurs sont unies
C'est deux roses nées
Talvez du même aube,
Vivant, sur le même rameau,
De la même goutte de rosée,
Du même rayon de soleil.
Unies, comme les plumes
Des deux petites ailes
D'un oiseau du ciel...
Comme un couple de colombeaux,
Comme la tribu des hirondelles
Du soir dans le léger voile.
Unies, comme les pleurs,
Qui descendent en pareil
Des profondeurs du regard...
Comme le soupir et le chagrin,
Comme les fossettes du visage,
Comme les étoiles de la mer.
Unies... ah qui pourrait
Dans un éternel printemps
Vivre, comme vit cette fleur.
Joindre les roses de la vie
Dans la branche verte et fleurie,
Dans la verte branche de l'amour !",0
"ditoso seja aquele que somente
ditoso seja aquele que somente
se queixa de amorosas esquivanças;
pois por elas não perde as esperanças
de poder nalgum tempo ser contente.
ditoso seja quem, estando ausente,
não sente mais que a pena das lembranças,
porque, inda mais que se tema de mudanças,
menos se teme a dor quando se sente.
ditoso seja, enfim, qualquer estado,
onde enganos, desprezos e isenção
trazem o coração atormentado.
mas triste de quem se sente magoado
de erros em que não pode haver perdão,
sem ficar na alma a mágoa do pecado.","bienheureux soit celui qui seulement
bienheureux soit celui qui seulement
ne se plaint que d’amoureuses irrévérences;
car pour elles il ne perdra les espérances
de pouvoir un jour être content.
bienheureux celui qui, en étant absent,
ne ressent que la peine des souvenirs,
car même si l’on craint les changements,
on craindra moins la douleur lorsqu’on la ressent
bienheureuse soit, enfin, toute situation,
où tromperies, dédains, et exemption
conserveront un coeur tourmenté.
mais malheureux est celui qui se sent offensé
par des erreurs où il ne peut y avoir de pardon
sans qu’en l’âme il ne reste l’angoisse du pêché.",pt_XX,fr_XX,"Heureux soit celui qui ne se plaint
que d'amourables évasions ;
car pour elles il ne perd pas l'espoir
d'être un jour quelque peu content.
Heureux soit celui qui, étant absent,
ne ressent que le poids des souvenirs,
car, même s'il craint encore des changements,
la douleur est moins crainte lorsqu'elle est sentie.
Heureux soit, enfin, tout état,
où des erreurs, des mépris et l'absence
tourmentent le cœur de leurs tourments.
Mais triste est celui qui est blessé
d'erreurs sans pardon possible,
sans que la douleur du péché reste en l'âme.",0
"viagem
aparelhei o barco da ilusão
e reforcei a fé de marinheiro.
era longe o meu sonho, e traiçoeiro
o mar...
(só nos é concedida
esta vida
que temos;
e é nela que é preciso
procurar
o velho paraíso
que perdemos).
prestes, larguei a vela
e disse adeus ao cais, à paz tolhida.
desmedida,
a revolta imensidão
transforma dia a dia a embarcação
numa errante e alada sepultura...
mas corto as ondas sem desanimar.
em qualquer aventura,
o que importa é partir, não é chegar.","voyage
j’ai appareillé le bateau de l’illusion
et la foi de marin j’ai renforcée.
il était loin mon rêve, et sournois
l’océan ...
(seule nous est donnée
cette vie
que nous avons;
et c’est là que nous devons
rechercher
le vieux paradis
que nous avons perdu).
rapidement, j’ai laché la voile
et dis adieu au quai, à la paix ankylosée.
démesurée,
l’immensité en révolte
transforme tous les jours le bateau
en une tombe errante et ailée...
mais je fends les vagues sans me décourager.
dans toute aventure,
ce qui importe c’est de partir, ce n’est pas d’arriver.",pt_XX,fr_XX,"Voyage
j'ai équipé le bateau de l'illusion
et renforcé la foi de marin.
mon rêve était loin, et traître
la mer...
(seule la vie
que nous avons
nous est accordée ;
et c'est en elle qu'il faut
chercher
le vieux paradis
perdu).
résolu, j'ai hissé la voile
et dit adieu au quai, à la paix limitée.
démesurée,
la révolte immensité
transforme, jour après jour, l'embarcation
en une errante et ailée sépulture...
mais je fendis les vagues sans me décourager.
dans toute aventure,
ce qui compte c'est de partir, pas d'arriver.",0
"noivado
vês, querida, o horizonte ardendo em chamas?
além desses outeiros
vai descambando o sol, e à terra envia
os raios derradeiros;
a tarde, como noiva que enrubesce,
traz no rosto um véu mole e transparente;
no fundo azul a estrela do poente
já tímida aparece.
como um bafo suavíssimo da noite,
vem sussurrando o vento,
as árvores agita e imprime às folhas
o beijo sonolento.
a flor ajeita o cálix: cedo espera
o orvalho, e entanto exala o doce aroma;
do leito do oriente a noite assoma;
como uma sombra austera.
vem tu, agora, ó filha de meus sonhos,
vem, minha flor querida;
vem contemplar o céu, página santa
que amor a ler convida;
da tua solidão rompe as cadeias;
desce do teu sombrio e mudo asilo;
encontrarás aqui o amor tranqüilo...
que esperas? que receias?
olha o templo de deus, pomposo e grande;
lá do horizonte oposto
a lua, como lâmpada, já surge
a alumiar teu rosto;
os círios vão arder no altar sagrado,
estrelinhas do céu que um anjo acende;
olha como de bálsamos rescende
a c'roa do noivado.
irão buscar-te em meio do caminho
as minhas esperanças;
e voltarão contigo, entrelaçadas
nas tuas longas tranças;
no entanto eu preparei teu leito à sombra
do limoeiro em flor; colhi contente
folhas com que alastrei o solo ardente
de verde e mole alfombra.
pelas ondas do tempo arrebatados,
até à morte iremos,
soltos ao longo do baixel da vida
os esquecidos remos.
firmes, entre o fragor da tempestade,
gozaremos o bem que amor encerra,
passaremos assim do sol da terra
ao sol da eternidade.","fiançailles
tu vois, ma chérie, brûler l'horizon en flammes?
au-delà de ces collines
le soleil s’abaisse et à la terre envoie
les rayons ultimes;
le soir, tel une mariée qui s’empourpre,
il porte sur le visage un voile doux et transparent;
sur fond bleu l’étoile du couchant
déjà timide apparaît.
comme un tendre souffle de la nuit,
vient le vent en chuchotant,
il agite les arbres et influe aux feuilles
le baiser somnolent.
la fleur ajuste le calice: elle attend de bonne heure
la rosée, et pendant ce temps elle exhale le doux arôme;
du lit de l’orient la nuit se prône;
comme une ombre austère.
viens toi, maintenant, ô fille de mes rêves,
viens, ma chère fleur;
viens contempler le ciel, page sacrée
qui invite à lire l’amour;
de ta solitude romp les chaînes;
descend de ton sombre et muet asile;
tu trouveras ici l'amour tranquille ...
qu’ attends-tu? de quoi as-tu peur?
regarde le temple de dieu, majestueux et grand;
dans l’autre extrémité de l’horizon
la lune, telle une lampe, surgit
et illumine ton visage;
les bougies brûleront sur l'autel sacré,
petites étoiles célestes qu’un ange allume;
regarde comme de baumes elle est parfumée
la couronne des fiançailles.
elles iront te chercher à mi-chemin
mes esperances;
et reviendront avec toi, entrelacées
dans tes longues tresses;
cependant, j’ai préparé ton lit à l'ombre
du citronnier en fleur; j’ai ramassé content
des feuilles que j’ai répandues sur le sol ardent
en un tapis vert et mou.
par les vagues du temps extasiés,
jusqu’à la mort nous irons ;
dénoués de la barque de la vie
les rames oubliés.
fermes, parmi le bruit de la tempête,
nous profiterons du bien que l’amour enferme,
nous passerons ainsi du soleil de la terre
au soleil de l'éternité.",pt_XX,fr_XX,"Noivado
Voy, chérie, l'horizon rougeoyant de flammes ?
Au-delà de ces collines,
Le soleil s'en va et envoie à la terre
Les derniers rayons ;
Le soir, comme une mariée qui rougit,
Amène sur son visage
Un voile mou et transparent ;
Dans le fond bleu, l'étoile du couchant
Apparaît déjà, timide.
Comme une haleine suave du soir,
Vient souffler le vent,
Agite les arbres et imprime aux feuilles
Un baiser somnolent.
La fleur ajuste son calice : elle attend bientôt
La rosée, et exhale en attendant
Un doux parfum ; du lit de l'orient
La nuit surgit, comme une ombre austère.
Viens, maintenant, ô fille de mes rêves,
Viens, ma fleur chérie ;
Viens contempler le ciel, page sainte
Que l'amour invite à lire ;
Débarrasse-toi de tes chaînes solitaires ;
Descends de ton sombre et muet asile ;
Tu trouveras ici l'amour tranquille...
Que attends-tu ? Que crains-tu ?
Regarde le temple de dieu, imposant et grand ;
De l'horizon opposé
La lune, comme une lampe, surgit déjà
Pour éclairer ton visage ;
Les cierges vont brûler sur l'autel sacré,
Étoiles du ciel qu'un ange allume ;
Regarde comme elle exhale des baumes
La couronne de l'engagement.
Mes espérances vont te chercher au milieu du chemin ;
Elles reviendront avec toi, entrelacées
Dans tes longues tresses ;
Pourtant, j'ai préparé ton lit à l'ombre
De la lime en fleur ; content, j'ai cueilli
Des feuilles avec lesquelles j'ai tapissé le sol ardent
De vert et de douce moquette.
Portés par les vagues du temps,
Jusqu'à la mort nous irons,
Les rames oubliées du bateau de la vie
Sont abandonnées.
Forts, au milieu du bruit de la tempête,
Nous jouirons du bien que l'amour renferme,
Nous passerons ainsi du soleil de la terre
Au soleil de l'éternité.",0
"paisagem
passavam pelo ar aves repentinas,
o cheiro da terra era fundo e amargo,
e ao longe as cavalgadas do mar largo
sacudiam na areia as suas crinas.
era o céu azul, o campo verde, a terra escura,
era a carne das árvores elástica e dura,
eram as gotas de sangue da resina
e as folhas em que a luz se descombina.
eram os caminhos num ir lento,
eram as mãos profundas do vento
era o livre e luminoso chamamento
da asa dos espaços fugitiva.
eram os pinheirais onde o céu poisa,
era o peso e era a cor de cada coisa,
a sua quietude, secretamente viva,
e a sua exalação afirmativa.
era a verdade e a força do mar largo,
cuja voz, quando se quebra, sobe,
era o regresso sem fim e a claridade
das praias onde a direito o vento corre.","paysage
les oiseaux passaient hâtifs dans les airs,
l'odeur de la terre était dense et amère,
et au loin les cavalcades de l’immense mer
secouaient sur le sable leurs crinières.
c’était le ciel bleu, la campagne verte, la terre brune,
c’était la chair des arbres élastique et dure,
c’étaient les gouttes de sang de la résine
et les feuilles où la lumière se dissocie.
c’étaient les chemins d’un marcher lent,
c’étaient les mains profondes du vent
c’était le libre appel lumineux
de l’aile des espaces fuyant.
c’étaient les pins où le ciel se pose,
c’était le poids et la couleur de chaque chose,
sa quiétude, secrètement vivante,
et son exhalation affirmante.
c’était la vérité et la force de la mer imense,
dont la voix quand elle se brise, remonte,
c’était le retour éternel et la clarté
des plages que le vent parcourt d’emblée.",pt_XX,fr_XX,"paysage
passaient par l'air des oiseaux soudains,
l'odeur de la terre était profonde et amère,
et de loin les cavalcades de la mer vaste
secouaient sur le sable leurs crinières.
c'était le ciel bleu, le champ vert, la terre sombre,
c'était la chair des arbres élastique et dure,
étaient les gouttes de sang de la résine
et les feuilles où la lumière se décline.
étaient les chemins dans un aller lent,
étaient les mains profondes du vent
c'était l'appel libre et lumineux
de l'aile des espaces fugitifs.
étaient les pins où le ciel repose,
c'était le poids et la couleur de chaque chose,
sa quiétude, secrètement vive,
et son exhalaison affirmative.
c'était la vérité et la force de la mer vaste,
dont la voix, lorsqu'elle se brise, monte,
c'était le retour sans fin et la clarté
des plages où le vent droit souffle.",0
"equívoco
vê como floresce
pontualmente
a magnólia
adivinhando na minha sede
a urgência da cor.
respiro
a seda rósea das suas pétalas
e é de ti que me embriago
desfio o vento nos dedos
para tecer à pressa
primaveras.
e passeio nelas
de mão dada
com a tua sombra
até que a magnólia
perca a derradeira pétala
no frio escuro do chão
lembrando-me
que ainda é inverno.","équivoque
vois comme il fleurit
ponctuellement
le magnolia
en devinant dans ma soif
l'urgence de la couleur.
je respire
la soie rosée de ses pétales
et c’est de toi que je m’enivre
j’effile le vent dans mes doigts
pour tisser à la hâte
des printemps.
en eux je me promène
main dans la main
avec ton ombre
jusqu'à ce que le magnolia
perde sa dernière pétale
sur le froid sombre du sol
me rappelant
que c’est encore l'hiver.",pt_XX,fr_XX,"erreur
voyez comment la magnolier
fleurit ponctuellement
adivinhando dans ma soif
l'urgence de la couleur.
je respire
la soie rose de ses pétales
et c'est de toi que je m'embriague
je défile le vent dans mes doigts
pour tisser à toute allure
des printemps.
et je m'y promène
la main dans la main
avec ta ombre
jusqu'à ce que la magnolier
perde sa dernière pétale
dans le froid sombre du sol
me rappelant
que l'hiver est encore là.",0
