original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"liberdade
aqui nesta praia onde
não há nenhum vestígio de impureza
aqui onde há somente
ondas tombando ininterruptamente
puro espaço e lúcida unidade
aqui o tempo apaixonadamente
encontra a própria liberdade","liberté
ici sur cette plage
il n'y a aucune trace d'impureté
ici où il y a seulement
des vagues qui se brisent sans répit
espace pur et unité lucide
ici le temps avec passion
trouve sa propre liberté",pt_XX,fr_XX,"liberté

ici sur cette plage où
il n'y a pas de trace d'impureté
ici où il n'y a que
des vagues tombant sans interruption
espace pur et unité limpide
ici le temps passionnément
trouve sa propre liberté",1
"e vós, tágides minhas, pois criado
tendes em mim um novo engenho ardente,
se sempre em verso humilde celebrado
foi de mim vosso rio alegremente,
dai-me agora um som alto e sublimado,
um estilo grandíloquo e corrente,
porque de vossas águas febo ordene
que não tenham inveja às de hipocrene.","beles nymphes du tage, à vos ondes limpides,
si j’adressai jadis mes vers et mon encens,
et si toujours pour vous, de gloire plus avide
une nouvelle ardeur vient embraser mes sens,
que votre feu divin protège mon poème.
daignez rendre mon style élégant cl pompeux,
c’est l'ordre de phébus; i llippocrène lui même
ne pourra surpasser vos ilots majestueux.",pt_XX,fr_XX,"et vous, Tégides, puisque j'ai en moi
un nouvel esprit ardent, que vous avez créé,
si toujours j'ai célébré votre fleuve avec des vers modestes,
donnez-moi maintenant un son élevé et sublime,
un style grandiloquent et abondant,
car Phébus commande que vos eaux,
n'ont pas à avoir honte des sources d' Hippocrene.",1
"vós, poderoso rei, cujo alto império
o sol, logo em nascendo, vê primeiro;
vê-o também no meio do hemisfério,
e quando desce o deixa derradeiro;
vós, que esperamos jugo e vitupério
do torpe ismaelita cavaleiro,
do turco oriental e do gentio
que inda bebe o licor do santo rio","vous, puissant souverain, dont le royaume immense
au lever du soleil s’éclaire le premier,
au bout de l'horizon l'aperçoit qui s’avance
et le dernier de tous assiste à son coucher;
qui sémerez l’effroi dans les déserts arides,
où bondit d’ismaël le cavalier sans frein,
chez le lurc d orient et les païens perfides
qui s'abreuvent encor dans les eaux du jourdain",pt_XX,fr_XX,"vous, puissant roi, dont l'empire immense
le soleil, à peine né, contemple
puis l'atteint au zénith de sa course,
et quand il se couche, il l'illumine;
vous, à qui nous confions notre chance
contre le vil cavalier ismaélite,
contre le Turc d'Orient et le païen
qui boit encore le liquide sacré",1
"ouvi: que não vereis com vãs façanhas,
fantásticas, fingidas, mentirosas,
louvar os vossos, como nas estranhas
musas, de engrandecer-se desejosas:
as verdadeiras vossas são tamanhas
que excedem as sonhadas, fabulosas,
que excedem rodamonte e o vão rugeiro
e orlando, inda que fora verdadeiro.","voyez, ce ne sont point des promesses meuleuses
de fantastiques faits, inventés à plaisir,
comme chez l’elrangcr. dont les muses flatteuses
trouvent le vrai trop simple et veulent l’embellir.
c’est ici le réel qui surpasse la fable
el tout le merveilleux qu’on avait pu songer,
el roland, quand bien même il serait véritable,
el le fort rodomont, et le bouillant roger.",pt_XX,fr_XX,"J'ai entendu: vous ne verrez pas avec des exploits vains,
fantaisistes, feints, mensongers,
louer vos propres héros, comme dans des muses étranges
désirant s'agrandir :
vos véritables exploits sont si grands
qu'ils surpassent les rêvés, les fabuleux,
qu'ils surpassent Roland et le faux chevalier
et Orlando, même s'il avait été vrai.",1
"pois se a troco de carlos, rei de frança,
ou de césar, quereis igual memória,
vede o primeiro afonso, cuja lança
escura faz qualquer estranha glória;
e aquele que a seu reino a segurança
deixou, com a grande e próspera vitória;
outro joane, invicto cavaleiro,
o quarto e quinto afonsos e o terceiro.","si vous voulez des noms rivalisant en gloire,
charlemagne ou césar, vous aurez a choisir,
entre alphonse premier, de glorieuse mémoire;
(quel éclat supérieur pourrait donc obscurcir
un roi dont la victoire a contraint le barbare
des pays qu’il souillait à faire l’abandon)
et jean, ce chevalier d’un courage si rare;
puis alphonse trois, quatre et cinquième du nom.",pt_XX,fr_XX,"car vous préférez pour charles, roi de france,
ou césar, une mémoire équivalente,
voyez le premier affonso, dont la lance
obscurcit toute étrange gloire présente ;
et celui qui à son royaume a la garantie
laissée, avec la grande et prospère victoire ;
un autre joane, invincible chevalier,
le quatrième et cinquième affonsos, et le troisième.",1
"nem deixarão meus versos esquecidos
aqueles que, nos reinos lá da aurora,
se fizeram por armas tão subidos,
vossa bandeira sempre vencedora:
um pacheco fortíssimo, e os temidos
almeidas, por quem sempre o tejo chora,
albuquerque terríbil, castro forte,
e outros em quem poder não teve a morte.","mon poème et mes vers rappelleront encore
tous ceux qui s’illustrant en des climats nouveaux
poussèrent leurs succès jusques où nail l’aurore,
et firent tant de fois triompher vos drapeaux.
un pacheco vaillant, des almeidas sans crainte,
(sur leur destin le tage a versé bien des pleurs)
le terrible albuquerque, et castro, à la foi sainte
et d’autres que la mort épargne en ses rigueurs.",pt_XX,fr_XX,"mes vers ne seront jamais oubliés
par ceux qui, dans les royaumes de l'aurore,
ont atteint par les armes les sommets
de votre drapeau, toujours vainqueur :
un pacheco très-fort, et les redoutés
almeidas, pour qui le Tage en pleure toujours,
albuquerque terrible, castro fort,
et d'autres où la mort n'a pas eu de pouvoir.",1
"mas enquanto este tempo passa lento
de regerdes os povos, que o desejam,
dai vós favor ao novo atrevimento,
para que estes meus versos vossos sejam;
e vereis ir cortando o salso argento
os vossos argonautas, por que vejam
que são vistos de vós no mar irado,
e costumai-vos já a ser invocado.","tandis que votre règne, en merveilles fertile
sur votre peuple heureux s’écoule lentement
daignez favoriser ma tâche difficile,
accordez a mes vers un suffrage éclatant;
qu'en sillonnant les ilots de la plaine argentée
vos argonautes soient dans la conviction
que votre œil les suivra sur la mer irritée;
puis habituez-vous à l’invocation.",pt_XX,fr_XX,"pendant que ce temps s'écoule lentement
à régner sur les peuples qui le désirent,
accordez-vous un soutien audacieux,
pour que mes vers deviennent vos plaisirs ;
et vous verrez vos Argo francs, hardis,
couper l'argent salé, pour que les marins
soient vus par vous sur la mer en colère,
et accoutumez-vous déjà à être invoqué.",1
"deixam dos sete céus o regimento,
que do poder mais alto lhe foi dado,
alto poder, que só co'o pensamento
governa o céu, a terra e o mar irado.
ali se acharam juntos, num momento,
os que habitam o arcturo congelado
e os que o austro tem e as partes onde
a aurora nasce e o claro sol se esconde.","vers le septième ciel, ils laissent dépassée
la milice d'elus qu’y place l'eternel,
etre supérieur dont la seule pensée
fait obéir la terre, et la mer cl le ciel.
là se sont réunis, dévorant la distance
les habitants du pôle aux frimais rigoureux.
el ceux de l’anlarclique, et d’où le jour s’élance,
el ceux où le soleil dans l'onde éteint ses feux.",pt_XX,fr_XX,"ils laissent des sept cieux le régiment,
que du pouvoir le plus haut leur fut donné,
pouvoir élevé, qu'avec la pensée seule
il gouverne le ciel, la terre et la mer en colère.
alors ils se trouvèrent ensemble, en un instant,
ceux qui habitent l'Arcturo gelé
et ceux qui ont l'Austral et les parties où
l'aurore naît et le clair soleil se cache.",1
"prometido lhe está do fado eterno,
cuja alta lei não pode ser quebrada,
que tenham longos tempos o governo
do mar que vê do sol a roxa entrada.
nas águas tem passado o duro inverno;
a gente vem perdida e trabalhada.
já parece bem feito que lhe seja
mostrada a nova terra que deseja.","«vous savez comme moi que par les destinées,
«et rien ne briserait leurs arrêts rigoureux,
«ils seront souverains pendant longues années
«des mers que le soleil empourpre de ses feux.
«ils ont passé déjà le rude hiver sur l'onde;
«ils sont las, épuisés de travaux et d’efforts;
«ne méritent-ils point qu’on leur montre ce monde,
«dont leurs yeux inquiets cherchent en vain les ports?",pt_XX,fr_XX,"C'est promis par le Destin éternel,
dont la haute loi ne peut être rompue,
qu'ils règnent longtemps sur la mer immense
qui voit le soleil à son entrée pourpre.
L'hiver rude a passé dans les eaux troubles ;
le peuple vient épuisé et éprouvé.
Il semble déjà juste qu'on lui montre
la terre nouvelle qu'il désire tant.",1
"estas palavras júpiter dizia,
quando os deuses por ordem respondendo,
na sentença um do outro diferia,
razões diversas dando e recebendo.
o padre baco ali não consentia
no que júpiter disse, conhecendo
que esquecerão seus feitos no oriente
se lá passar a lusitana gente.","a peine jupiter eut tenu ce langage,
qu’il s’élève au conseil un débat orageux;
chacun prend un parti, diffère et se partage
allègue ses motifs.—le plus impétueux
etait surtout bacchus. ce dieu parle et s’agite;
au vœu de jupiter il ne peut consentir,
sachant qu’en orient, on l’oubliera bien vite,
si les fiers lusilains peuvent y parvenir.",pt_XX,fr_XX,"Jupiter ces mots prononçait,
Lorsque les dieux, par ordre répondant,
Dans la sentence un de l'autre différant,
Diverses raisons donnant et recevant.
Le père Bacchus s'y opposait,
Sur ce que Jupiter disait, connaissant
Qu'ils oublieront ses exploits à l'Orient
S'ils laissent passer la Lusitanienne gent.",1
"vê que já teve o indo sojugado
e nunca lhe tirou fortuna ou caso
por vencedor da índia ser cantado
de quantos bebem a água de parnaso.
teme agora que seja sepultado
seu tão célebre nome em negro vaso
de água do esquecimento, se lá chegam
os fortes portugueses que navegam.","dans les temps reculés, il a subjugue l’inde;
soit fortune ou hasard, ce fait a mérité
que tous les sectateurs buvant aux eaux du pindc,
comme son conquérant l’aient seul toujours chanté.
ce litre glorieux et qui l’immortalise,
les flots noirs de l’oubli l’éteindraient à jamais,
si celle région élail enfin soumise
a des navigateurs tels que les portugais.",pt_XX,fr_XX,"Vois qu'avez eu l'Inde soumise
Et n'en avez pas perdu gloire ou chance,
Pour être chanté vainqueur de l'Inde
De ceux qui boivent l'eau de Parnasse.
Craignez maintenant d'être oublié
Si ton nom si célèbre est dans un vase noir
De l'eau de l'oubli, s'ils atteignent
Les forts Portugais qui naviguent.",1
