original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"por receio de quem espia
cheio de inveja a roer
não veio naquele dia,
p'ra assim traída não ser
p'la luz que no rosto esplende,
p'las jóias a tilintar,
e pelo perfume do âmbar
a que o corpo lhe rescende:
é que ao rosto, com o manto,
tapá-lo ainda poderia,
e as jóias, entretanto,
facilmente as tiraria
mas a fragrância do encanto
para ocultá-la, que faria?","par crainte de celui qui guette
plein de l’envie qui ronge
ce jour-là elle n'est pas venue,
pour ne pas être trahie
par le resplendissement de son visage,
par le tintement des bijoux,
et par le parfum de l'ambre
que de son corps s’exhale :
c’est que le visage, avec le voile,
elle pourrait encore le cacher,
et les bijoux, entretemps,
elle pourrait facilement les retirer,
mais la fragrance de la beauté,
comment pourrait-elle l’occulter?","C'est la crainte de ceux qui souffrent.
Je suis enchanté de rire.
Il n'a pas eu ce jour.
Je ne suis pas traitée de ce genre.
Il y a lumière dans la face.
Jeunesses.
Parmi les autres choses, c'est le parfum du sombre.
Il y a lieu d'y réfléchir.
C'est ce qu'il faut faire.
On peut encore le peindre.
Et les jewelry, en attendant.
Je ne sais pas.
Mais la fraction de l'enchantement.
Pour cela, ce que je ferais?",pt_XX,fr_XX,1
"liberdade
aqui nesta praia onde
não há nenhum vestígio de impureza
aqui onde há somente
ondas tombando ininterruptamente
puro espaço e lúcida unidade
aqui o tempo apaixonadamente
encontra a própria liberdade","liberté
ici sur cette plage
il n'y a aucune trace d'impureté
ici où il y a seulement
des vagues qui se brisent sans répit
espace pur et unité lucide
ici le temps avec passion
trouve sa propre liberté","Liberté.
Here, on this beach.
Il n'y a pas de trace d'impurité.
Ce n'est qu'il y a lieu.
Dessineux, dessineux, dessineux.
Toute place et toute unité.
Here, time passionately.
Il trouve sa liberté.",pt_XX,fr_XX,1
"porque não me vês joana
pois sabes que meu desejo
cresce quando não te vejo
cresce se estou na cidade
e não me deixa no mato
não sei se me resguarde
e de tudo me recato
não me custa tão barato
o dia em que te não vejo
que não morra de desejo","pourquoi ne veux-tu pas me voir joana
car tu sais que mon désir
grandit quand je ne te vois pas
il grandit si je suis en ville
et il me suit dans les champs
je ne sais si je dois me protéger
et de tout m’éloigner
ce n’est pas si bon marché
le jour que je ne te vois
que je meure de désir","Je ne suis pas Joanne.
Je ne sais pas si j'ai besoin d'un soutien.
C'est le moment où je ne vois pas le monde.
Je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois que je crois
Il n'y a pas d'enfants dans la maison.
Je ne sais pas si j'ai regardé.
Je me souviens de tout ce que je fais.
Cen't coûte moi cher.
Le jour où je ne vois pas vous.
Ce n'est pas la mort.",pt_XX,fr_XX,1
"as armas e os barões assinalados
que, da ocidental praia lusitana,
por mares nunca de antes navegados
passaram ainda além da taprobana,
em perigos e guerras esforçados,
mais do que prometia a força humana,
e entre gente remota edificaram
novo reino, que tanto sublimaram;
e também as memórias gloriosas
daqueles reis que foram dilatando
a fé, o império, e as terras viciosas
de áfrica e de ásia andaram devastando,
e aqueles que por obras valerosas
se vão da lei da morte libertando:
cantando espalharei por toda parte,
se a tanto me ajudar o engenho e arte.","o vous, hommes vaillants des plages lusilainos
qui, partis d occident, avez par vos exploits,
soumis bien au delà des côtes africaines
des mers qu’on sillonnait pour la première fois;
o vous, que méprisant les vents et les tempêtes
a travers les dangers, les combats de géants,
arvînles à poser, pour prix de vos conquêtes,
d un empire nouveau les premiers fondements;
aous aussi, puissants rois, mémoires glorieuses.
dont cent peuples divers reconnurent la loi,
font les armes au loin, toujours victorieuses
en asie, en afrique, étendirent la foi;
vous tous enfin, héros dont la gloire sublime
dompta même l’oubli dont menace la mort:
oui, je vous chanterai, si le feu qui m’anime.
en si noble sujet seconde mon essorl.","Les armes et les barons, signals de guerre.
Que, de la côte, de la côte, de la côte.
Il s'agit d'un navire à bord d'une mer jamais vu.
On a plateau, on un plateau, on un plateau.
Dans les dangers, dans les guerres.
Plus que promette la force humaine.
Entreprises, les gens d'affaires, ils ont construit.
Le nouveau regain d'épanouissement.
Et aussi les souvenirs glorieux.
De cessation, de cessation, de cessation.
La foi, l'empire et les terres vicieuses.
d'Afrique et d'Asie ont été dévaillants.
Les gens d'affaires, c'est-à-dire.
S'ils vont de la loi de la mort en libérant.
En chantant, je me suis déplacée.
si c'est le genre et l'art qui m'amène.",pt_XX,fr_XX,1
"cessem do sábio grego e do troiano
as navegações grandes que fizeram;
cale-se de alexandro e de trajano
a fama das vitórias que tiveram;
que eu canto o peito ilustre lusitano,
a quem netuno e marte obedeceram.
cesse tudo o que a musa antiga canta,
que outro valor mais alto se alevanta.","qu’on cesse de vanter les vastes entreprises,
les navigations des grecs et des troyens;
qu'on cesse de parler des nations qu’ont soumises,
alexandre et trajan, ces demi-dieux païens;
je chante les enfants de la lusitanie,
qui de neptune et mars se firent obéir,
que des vieux temps la muse entende et s’humilie,
devant de plus hauts faits, tout éclat doit pâlir.","Cessances de la sagesse et du troïon.
Les grands voyages qu'ils ont fait.
Il y a lieu d'aller et de durer.
La réputation des victoires qu'ils ont obtenues.
Je chant l'illustration du Luxembourg.
qu'ils ont respecté.
Tout ce qu'elle chante, l'ancienne muse cesse de chanter.
que d'autres valeurs s'abaissent.",pt_XX,fr_XX,1
"e vós, tágides minhas, pois criado
tendes em mim um novo engenho ardente,
se sempre em verso humilde celebrado
foi de mim vosso rio alegremente,
dai-me agora um som alto e sublimado,
um estilo grandíloquo e corrente,
porque de vossas águas febo ordene
que não tenham inveja às de hipocrene.","beles nymphes du tage, à vos ondes limpides,
si j’adressai jadis mes vers et mon encens,
et si toujours pour vous, de gloire plus avide
une nouvelle ardeur vient embraser mes sens,
que votre feu divin protège mon poème.
daignez rendre mon style élégant cl pompeux,
c’est l'ordre de phébus; i llippocrène lui même
ne pourra surpasser vos ilots majestueux.","Et vous, c'est moi, c'est moi, c'est moi.
J'ai un nouvel esprit d'entreprise.
Si l'on veut dire, on l'on veut dire, on l'on veut dire.
J'ai été votre rivage joyeusement.
Don't jeter un coup d'œil.
Il s'agit d'un style grandillé.
Il y a lieu d'encourager les gens d'affaires.
qui n'ont pas envie d'être hypocrétaire.",pt_XX,fr_XX,1
"dai-me uma fúria grande e sonorosa,
e não de agreste avena ou frauta ruda,
mas de tuba canora e belicosa,
que o peito acende e a cor ao gesto muda;
dai-me igual canto aos feitos da famosa
gente vossa, que a marte tanto ajuda;
que se espalhe e se cante no universo,
se tão sublime preço cabe em verso.","que je sois possédé d'une rage guerrière,
rejetez les pipeaux, et la ilûle de pan,
et prêlez-moi la trompe éclatante cl sévérc
qui fait frémir les cœurs et bouillonner le sang.
que mon chant inspiré devienne l'interprète
des preux aimés par vous, et de mars favoris,
que dans tout l’ünivers leur gloire se transmette,
si l'on trouve des mois dignes de tels récits.","Il me fait une profonde et sombre rage.
Non pas de la viande ou de la fraute rude.
Il s'agit d'un casque de canoe et de bique.
Le chest se lit et la couleur du geste change.
Il y a lieu d'accorder avec les faits du fameux.
Vos gens, merci beaucoup.
qui s'étend et chant dans le universe.
si ce prix sublime est versé.",pt_XX,fr_XX,1
"vós, tenro e novo ramo florescente
de uma árvore, de cristo mais amada
que nenhuma nascida no ocidente,
cesárea ou cristianíssima chamada
(vede-o no vosso escudo, que presente
vos mostra a vitória já passada,
na qual vos deu por armas e deixou
as que ele para si na cruz tomou)","vous, lige encor bien jeune cl pourtant florissante
d'un arbre à qui le christ a promis son soutien,
et que de surpasser nul autre ne se vante,
qu'il ail nom césarée, ou même très chrétien,
voyez voire ecusson; cinq slygmales s’y placent,
d'une victoire insigne, immortel souvenir;
il n’est rien ici bas que ces armes n'effacent,
le christ, sur sa croix, a voulu les choisir.’","Vous, tenro et nouveau ramo florissant.
De l'arbre, de la criste, de la criste, de la criste.
Aucune n'est née de l'Ouest.
C'est une femme chrétienne, c'est une femme chrétienne.
(Laughter) (Applause) (Applause)
Je vous montre la victoire passée.
dans lequel vous avez donné des armes et où vous avez laissé des armes.
qu'il aperçue de la croix.",pt_XX,fr_XX,1
"vós, poderoso rei, cujo alto império
o sol, logo em nascendo, vê primeiro;
vê-o também no meio do hemisfério,
e quando desce o deixa derradeiro;
vós, que esperamos jugo e vitupério
do torpe ismaelita cavaleiro,
do turco oriental e do gentio
que inda bebe o licor do santo rio","vous, puissant souverain, dont le royaume immense
au lever du soleil s’éclaire le premier,
au bout de l'horizon l'aperçoit qui s’avance
et le dernier de tous assiste à son coucher;
qui sémerez l’effroi dans les déserts arides,
où bondit d’ismaël le cavalier sans frein,
chez le lurc d orient et les païens perfides
qui s'abreuvent encor dans les eaux du jourdain","C'est vous, le roi, le roi de l'empire.
Le soleil est tout à la naissance.
On l'aperçoit également dans l'hémisphère.
Quand il y a, il y a.
Vous, qui attendez à la musique et à la musique, vous attendez à la musique.
De la petite émilie cavalière, c'est-à-dire.
C'est le cas de la Turquie.
Il y a lieu de boire au Saint-Laurent.",pt_XX,fr_XX,1
"vereis amor da pátria, não movido
de prémio vil, mas alto e quase eterno;
que não é prémio vil ser conhecido
por um pregão do ninho meu paterno.
ouvi: vereis o nome engrandecido
daqueles de quem sois senhor superno,
e julgareis qual é mais excelente,
se ser do mundo rei, se de tal gente.","vous verrez professer l'amour de la patrie,
sans l’appât dégradant d'un intérêt vénal,
est-il un prix plus beau que céder à l’envie
de chanter les exploits de son berceau natal?
du peuple généreux dont vous êtes le maître
vous verrez exalter le nom et les hauts faits
et pourrez dire alors, ce qu'il voudrait mieux être
le roi du monde entier, on bien de tels sujets.","Je suis mort, je suis mort, je suis mort.
de prémio vil, mais haut et presque etern.
Ce n'est pas un privil d'être connu.
par un préfet de mon père.
Je l'ai entendu.
De ceux-ci, c'est le plus grand.
Et vous jugez qui est plus excellent.
Si vous êtes le roi du monde, si vous êtes le roi du monde.",pt_XX,fr_XX,1
