original_poem,translated_poem,src_lang,tgt_lang,topic
"por receio de quem espia
cheio de inveja a roer
não veio naquele dia,
p'ra assim traída não ser
p'la luz que no rosto esplende,
p'las jóias a tilintar,
e pelo perfume do âmbar
a que o corpo lhe rescende:
é que ao rosto, com o manto,
tapá-lo ainda poderia,
e as jóias, entretanto,
facilmente as tiraria
mas a fragrância do encanto
para ocultá-la, que faria?","par crainte de celui qui guette
plein de l’envie qui ronge
ce jour-là elle n'est pas venue,
pour ne pas être trahie
par le resplendissement de son visage,
par le tintement des bijoux,
et par le parfum de l'ambre
que de son corps s’exhale :
c’est que le visage, avec le voile,
elle pourrait encore le cacher,
et les bijoux, entretemps,
elle pourrait facilement les retirer,
mais la fragrance de la beauté,
comment pourrait-elle l’occulter?",pt_XX,fr_XX,1
"liberdade
aqui nesta praia onde
não há nenhum vestígio de impureza
aqui onde há somente
ondas tombando ininterruptamente
puro espaço e lúcida unidade
aqui o tempo apaixonadamente
encontra a própria liberdade","liberté
ici sur cette plage
il n'y a aucune trace d'impureté
ici où il y a seulement
des vagues qui se brisent sans répit
espace pur et unité lucide
ici le temps avec passion
trouve sa propre liberté",pt_XX,fr_XX,1
"porque não me vês joana
pois sabes que meu desejo
cresce quando não te vejo
cresce se estou na cidade
e não me deixa no mato
não sei se me resguarde
e de tudo me recato
não me custa tão barato
o dia em que te não vejo
que não morra de desejo","pourquoi ne veux-tu pas me voir joana
car tu sais que mon désir
grandit quand je ne te vois pas
il grandit si je suis en ville
et il me suit dans les champs
je ne sais si je dois me protéger
et de tout m’éloigner
ce n’est pas si bon marché
le jour que je ne te vois
que je meure de désir",pt_XX,fr_XX,1
"as armas e os barões assinalados
que, da ocidental praia lusitana,
por mares nunca de antes navegados
passaram ainda além da taprobana,
em perigos e guerras esforçados,
mais do que prometia a força humana,
e entre gente remota edificaram
novo reino, que tanto sublimaram;
e também as memórias gloriosas
daqueles reis que foram dilatando
a fé, o império, e as terras viciosas
de áfrica e de ásia andaram devastando,
e aqueles que por obras valerosas
se vão da lei da morte libertando:
cantando espalharei por toda parte,
se a tanto me ajudar o engenho e arte.","o vous, hommes vaillants des plages lusilainos
qui, partis d occident, avez par vos exploits,
soumis bien au delà des côtes africaines
des mers qu’on sillonnait pour la première fois;
o vous, que méprisant les vents et les tempêtes
a travers les dangers, les combats de géants,
arvînles à poser, pour prix de vos conquêtes,
d un empire nouveau les premiers fondements;
aous aussi, puissants rois, mémoires glorieuses.
dont cent peuples divers reconnurent la loi,
font les armes au loin, toujours victorieuses
en asie, en afrique, étendirent la foi;
vous tous enfin, héros dont la gloire sublime
dompta même l’oubli dont menace la mort:
oui, je vous chanterai, si le feu qui m’anime.
en si noble sujet seconde mon essorl.",pt_XX,fr_XX,1
"cessem do sábio grego e do troiano
as navegações grandes que fizeram;
cale-se de alexandro e de trajano
a fama das vitórias que tiveram;
que eu canto o peito ilustre lusitano,
a quem netuno e marte obedeceram.
cesse tudo o que a musa antiga canta,
que outro valor mais alto se alevanta.","qu’on cesse de vanter les vastes entreprises,
les navigations des grecs et des troyens;
qu'on cesse de parler des nations qu’ont soumises,
alexandre et trajan, ces demi-dieux païens;
je chante les enfants de la lusitanie,
qui de neptune et mars se firent obéir,
que des vieux temps la muse entende et s’humilie,
devant de plus hauts faits, tout éclat doit pâlir.",pt_XX,fr_XX,1
"e vós, tágides minhas, pois criado
tendes em mim um novo engenho ardente,
se sempre em verso humilde celebrado
foi de mim vosso rio alegremente,
dai-me agora um som alto e sublimado,
um estilo grandíloquo e corrente,
porque de vossas águas febo ordene
que não tenham inveja às de hipocrene.","beles nymphes du tage, à vos ondes limpides,
si j’adressai jadis mes vers et mon encens,
et si toujours pour vous, de gloire plus avide
une nouvelle ardeur vient embraser mes sens,
que votre feu divin protège mon poème.
daignez rendre mon style élégant cl pompeux,
c’est l'ordre de phébus; i llippocrène lui même
ne pourra surpasser vos ilots majestueux.",pt_XX,fr_XX,1
"dai-me uma fúria grande e sonorosa,
e não de agreste avena ou frauta ruda,
mas de tuba canora e belicosa,
que o peito acende e a cor ao gesto muda;
dai-me igual canto aos feitos da famosa
gente vossa, que a marte tanto ajuda;
que se espalhe e se cante no universo,
se tão sublime preço cabe em verso.","que je sois possédé d'une rage guerrière,
rejetez les pipeaux, et la ilûle de pan,
et prêlez-moi la trompe éclatante cl sévérc
qui fait frémir les cœurs et bouillonner le sang.
que mon chant inspiré devienne l'interprète
des preux aimés par vous, et de mars favoris,
que dans tout l’ünivers leur gloire se transmette,
si l'on trouve des mois dignes de tels récits.",pt_XX,fr_XX,1
"vós, tenro e novo ramo florescente
de uma árvore, de cristo mais amada
que nenhuma nascida no ocidente,
cesárea ou cristianíssima chamada
(vede-o no vosso escudo, que presente
vos mostra a vitória já passada,
na qual vos deu por armas e deixou
as que ele para si na cruz tomou)","vous, lige encor bien jeune cl pourtant florissante
d'un arbre à qui le christ a promis son soutien,
et que de surpasser nul autre ne se vante,
qu'il ail nom césarée, ou même très chrétien,
voyez voire ecusson; cinq slygmales s’y placent,
d'une victoire insigne, immortel souvenir;
il n’est rien ici bas que ces armes n'effacent,
le christ, sur sa croix, a voulu les choisir.’",pt_XX,fr_XX,1
"vós, poderoso rei, cujo alto império
o sol, logo em nascendo, vê primeiro;
vê-o também no meio do hemisfério,
e quando desce o deixa derradeiro;
vós, que esperamos jugo e vitupério
do torpe ismaelita cavaleiro,
do turco oriental e do gentio
que inda bebe o licor do santo rio","vous, puissant souverain, dont le royaume immense
au lever du soleil s’éclaire le premier,
au bout de l'horizon l'aperçoit qui s’avance
et le dernier de tous assiste à son coucher;
qui sémerez l’effroi dans les déserts arides,
où bondit d’ismaël le cavalier sans frein,
chez le lurc d orient et les païens perfides
qui s'abreuvent encor dans les eaux du jourdain",pt_XX,fr_XX,1
"vereis amor da pátria, não movido
de prémio vil, mas alto e quase eterno;
que não é prémio vil ser conhecido
por um pregão do ninho meu paterno.
ouvi: vereis o nome engrandecido
daqueles de quem sois senhor superno,
e julgareis qual é mais excelente,
se ser do mundo rei, se de tal gente.","vous verrez professer l'amour de la patrie,
sans l’appât dégradant d'un intérêt vénal,
est-il un prix plus beau que céder à l’envie
de chanter les exploits de son berceau natal?
du peuple généreux dont vous êtes le maître
vous verrez exalter le nom et les hauts faits
et pourrez dire alors, ce qu'il voudrait mieux être
le roi du monde entier, on bien de tels sujets.",pt_XX,fr_XX,1
"por estes vos darei um nuno fero,
que fez ao rei o ao reino tal serviço,
um egas, e um d. fuas, que de homero
a cítara para eles só cobiço.
pois pelos doze pares dar-vos quero
os doze de inglaterra, e o seu magriço.
dou-vos também aquele ilustre gama,
que para si de eneias toma a fama.","pour ceux-ci, je vous donne un nuno téméraire,
qui rendit à son roi des services si grands,
un egas, un fuas, pour qui le luth d’homére
n’a point de trop beaux sons, d’assez nobles accents.
vous pourrez opposer aux douze pairs de france
les douze d’albion, magriço valeureux,
et puis vient un cama, dont l’illustre constance
d’enée a pris pour lui le renom glorieux.",pt_XX,fr_XX,1
"pois se a troco de carlos, rei de frança,
ou de césar, quereis igual memória,
vede o primeiro afonso, cuja lança
escura faz qualquer estranha glória;
e aquele que a seu reino a segurança
deixou, com a grande e próspera vitória;
outro joane, invicto cavaleiro,
o quarto e quinto afonsos e o terceiro.","si vous voulez des noms rivalisant en gloire,
charlemagne ou césar, vous aurez a choisir,
entre alphonse premier, de glorieuse mémoire;
(quel éclat supérieur pourrait donc obscurcir
un roi dont la victoire a contraint le barbare
des pays qu’il souillait à faire l’abandon)
et jean, ce chevalier d’un courage si rare;
puis alphonse trois, quatre et cinquième du nom.",pt_XX,fr_XX,1
"nem deixarão meus versos esquecidos
aqueles que, nos reinos lá da aurora,
se fizeram por armas tão subidos,
vossa bandeira sempre vencedora:
um pacheco fortíssimo, e os temidos
almeidas, por quem sempre o tejo chora,
albuquerque terríbil, castro forte,
e outros em quem poder não teve a morte.","mon poème et mes vers rappelleront encore
tous ceux qui s’illustrant en des climats nouveaux
poussèrent leurs succès jusques où nail l’aurore,
et firent tant de fois triompher vos drapeaux.
un pacheco vaillant, des almeidas sans crainte,
(sur leur destin le tage a versé bien des pleurs)
le terrible albuquerque, et castro, à la foi sainte
et d’autres que la mort épargne en ses rigueurs.",pt_XX,fr_XX,1
"em vós se vem da olímpica morada,
dos dois avós as almas cá famosas;
uma, na paz angélica dourada,
outra, pelas batalhas sanguinosas.
em vós esperam ver-se renovada
sua memória e obras valerosas;
e lá vos tem lugar, no fim da idade,
no templo da suprema eternidade.","en vous, l'on voit uni par un rare assemblage,
les diverses vertus de deux de vos ayeux,
l’une, ne craignant rien, mais pacifique et sage,
l'autre, ne respirant que projets belliqueux.
en vous nous espérons devoir la renaissance
de ces règnes fameux, temps de prospérité,
et du peuple la voix vous proclame d'avance
digne de partager leur immortalité.",pt_XX,fr_XX,1
"mas enquanto este tempo passa lento
de regerdes os povos, que o desejam,
dai vós favor ao novo atrevimento,
para que estes meus versos vossos sejam;
e vereis ir cortando o salso argento
os vossos argonautas, por que vejam
que são vistos de vós no mar irado,
e costumai-vos já a ser invocado.","tandis que votre règne, en merveilles fertile
sur votre peuple heureux s’écoule lentement
daignez favoriser ma tâche difficile,
accordez a mes vers un suffrage éclatant;
qu'en sillonnant les ilots de la plaine argentée
vos argonautes soient dans la conviction
que votre œil les suivra sur la mer irritée;
puis habituez-vous à l’invocation.",pt_XX,fr_XX,1
