original_poem,translated_poem,src_lang,tgt_lang,topic
"vós, tenro e novo ramo florescente
de uma árvore, de cristo mais amada
que nenhuma nascida no ocidente,
cesárea ou cristianíssima chamada
(vede-o no vosso escudo, que presente
vos mostra a vitória já passada,
na qual vos deu por armas e deixou
as que ele para si na cruz tomou)","vous, lige encor bien jeune cl pourtant florissante
d'un arbre à qui le christ a promis son soutien,
et que de surpasser nul autre ne se vante,
qu'il ail nom césarée, ou même très chrétien,
voyez voire ecusson; cinq slygmales s’y placent,
d'une victoire insigne, immortel souvenir;
il n’est rien ici bas que ces armes n'effacent,
le christ, sur sa croix, a voulu les choisir.’",pt_XX,fr_XX,2
"isto dizendo, o mouro se tornou
a seus batéis com toda a companhia;
do capitão e gente se apartou
com mostras de devida cortesia.
nisto febo nas águas encerrou,
co'o carro de cristal, o claro dia,
dando cargo à irmã, que alumiasse
o largo mundo, enquanto repousasse.","disant ces mots, le maure et tout son entourage,
regagnent leurs canots, mais en quittant le bord
ils font au capitaine ainsi qu a l’équipage,
des signes bienveillants et du meilleur accord.
alors phébus ayant achevé sa carrière,
dans son char de cristal s’abîmait dans les îlots,
et déjà de sa sœur, la plus douce lumière
le remplaçait pendant qu’il se livre au repos.",pt_XX,fr_XX,2
"e mais lhe diz também, que ver deseja
os livros de sua lei, preceito eu fé,
para ver se conforme à sua seja,
ou se são dos de cristo, como crê.
e porque tudo note e tudo veja,
ao capitão pedia que lhe dê
mostra das fortes armas de que usavam,
quando co'os inimigos pelejavam.","il demandait à voir les livres vénérables,
de la religion sacrés et pieux gardiens,
pour juger s’ils étaient à leurs dogmes semblables,
ou si plutôt ils sont, comme il le croit, chrétiens.
el pour vérifier de secrètes alarmes,
priait le commandant qu’à ses yeux on montrât
l'arsenal des vaisseaux, et les terribles armes,
dont ils fesaienl usage aux grands jours de combat.",pt_XX,fr_XX,2
"e sabe mais, lhe diz, como entendido
tenho destes cristãos sanguinolentos,
que quase todo o mar têm destruído
com roubos, com incêndios violentos;
e trazem já de longe engano urdido
contra nós; e que todos seus intentos
são para nos matarem e roubarem,
e mulheres e filhos cativarem.","«redoute tout, dit-il, de ces chrétiens infâmes,
«ils désolent les mers en terribles forbans,
«et partout où ils vont, les meurtres et les flammes
«accompagnent leurs pas. —contre les vrais croyants
«ils redoublent surtout leurs fureurs sacrilèges.
«si nous les souffrions en paix dans le pays,
«ils nous massacreraient ou nous tendraient des pièges
«pour enlever nos biens, nos femmes et nos fils.",pt_XX,fr_XX,2
"e se inda não ficarem deste jeito
destruídos, ou mortos totalmente
eu tenho imaginado no conceito
outra manha e ardil, que te contente:
manda-lhe dar piloto, que de jeito
seja astuto no engano, e tão prudente,
que os leve aonde sejam destruídos,
desbaratados, mortos, ou perdidos.","«si ces maudits chrétiens ont la fortune extrême
«de ne pas être tous détruits dans le combat,
«j'ai conçu dans l’esprit un autre stratagème
«qui produira sans doute un heureux résultat.
«envoie leur un’pilote, expert en artifices,
«qui donne à leurs vaisseaux telle direction,
«que tout en ce berçant d’espérances factices,
«ils ne trouvent que mort et que destruction.»",pt_XX,fr_XX,2
"e diz-lhe mais, com o falso pensamento
com que sinon os frígios enganou:
que perto está uma ilha, cujo assento
povo antigo cristão sempre habitou.
o capitão, que a tudo estava a tento,
tanto com estas novas se alegrou,
que com dádivas grandes lhe rogava,
que o leve à terra onde esta gente estava.","il leur dit, se servant de la ruse subtile,
dont sinon autrefois trompa les phrygiens,
qu’il sait que dans ces mers doit exister une île
habitée en entier par d’anciens chrétiens.
gama, qui l’écoulait d’une oreille attentive,
de trouver des chrétiens était si désireux,
que le comblant de dons dans sa joie excessive,
il le fait à l’instant gouverner vers ces lieux.",pt_XX,fr_XX,2
"o mesmo o falso mouro determina,
que o seguro cristão lhe manda e pede;
que a ilha é possuída da malina
gente que segue o torpe mahamede.
aqui o engano e morte lhe imagina,
porque em poder e forças muito excede
a moçambique esta ilha, que se chama
quíloa, mui conhecida pela fama.","triomphant du succès de sa lâche imposture,
le mécréant remplit l’ordre qu’on lui transmet,
ces soi-disant chrétiens sont de la race impure,
servilement soumise aux loix de mahomet,
chez qui des lusilains la perle est assurée,
car celle île, puissante en forces, en soldais.
ne peut à mozambique êlre en rien comparée:
son nom est quiloa, fameuse en ces climats.",pt_XX,fr_XX,2
"mas o malvado mouro, não podendo
tal determinação levar avante,
outra maldade iníqua cometendo,
ainda em seu propósito constante,
lhe diz que, pois as águas discorrendo
os levaram por força por diante,
que outra ilha tem perto, cuja gente
eram cristãos com mouros juntamente.","le pilote, voyant qu'il n'était plus à même
de faire réussir ses perfides projets,
veut, sans se rebuter, d'un nouveau stratagème,
essayer de cueillir un plus heureux succès;
il dit que les courants, gonflés par les orages,
ayant fait dépasser le mouillage promis,
il connaît une autre île en ces mêmes parages
où maures et chrétiens habitent réunis.",pt_XX,fr_XX,2
"também nestas palavras lhe mentia,
como por regimento enfim levava,
que aqui gente de cristo não havia,
mas a que a mahamede celebrava.
o capitão, que em tudo o mouro cria,
virando as velas, a ilha demandava;
mas, não querendo a deusa guardadora,
não entra pela barra, e surge fora.","ces paroles étaient encore mensongères ;
des chrétiens jamais n’habitèrent ces lieux,
mais bien de mahomet les profanes sectaires.
gama, qui se confie au maure astucieux,
fait changer la voilure, et les vaisseaux dociles
s'inclinant, vont chercher de celle île les bords;
mais la bonne déesse, aux soins toujours utiles,
leur interdit la barre: ils vont mouiller dehors.",pt_XX,fr_XX,2
"pergunta-lhe despois se estão na terra
cristãos, como o piloto lhe dizia;
o mensageiro astuto, que não erra,
lhe diz que a mais da gente em cristo cria.
desta sorte do peito lhe desterra
toda a suspeita e cauta fantasia;
por onde o capitão seguramente
se fia da infiel e falsa gente.","il ajoute: est-il vrai? le pilote l'allirmc,
que plusieurs entre vous du christ suivent la loi ?
le rusé messager le soutient et confirme:
un grand nombre, dit-il, en jésus christ ont foi.
ce fait ôte à gama reste de défiance,
plus de précaution : tous soupçons sont banis,
il va s'abandonner en tonte confiance,
dans le piège tendu par ces païens maudits.",pt_XX,fr_XX,2
