original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"cabeça, tronco e membros
a camisa branca estendida na corda
do quintal é uma nuvem. há pouco,
quando a fui pendurar, ainda chovia.
agora, que o vento sopra forte dentro
dela, vejo de repente o teu tronco a
vesti-la. porém, se estendo os braços
para ele, só encontro o vazio. triste,
tento dizer-me que é apenas uma
camisa; mas, sem querer, volto
para casa com a nuvem na cabeça.","head, torso, and limbs
the white shirt hanging on the clothesline
in the backyard is a cloud. earlier,
when i went to hang it, it was still raining.
now, with the wind billowing inside
of it, i suddenly see your torso
underneath. but if i stretch my arms
toward it, all i find is emptiness. distressed,
i try to tell myself it’s only a
shirt; but, without meaning to, i go
back inside with the cloud in my head.",pt_XX,en_XX,"head, torso and limbs
the white shirt hanging on the line
in the yard is a cloud. a little while ago,
when I went to hang it up, it was still raining.
now, as the wind blows hard inside
it, I suddenly see your torso wearing it. however, if I stretch out my arms
towards it, I only find emptiness. sad,
I try to tell myself that it is just a shirt; but, without wanting to, I return
home with the cloud on my head.",1
"1.
esta perturbação inicial, garfo
que não encaixa na boca
e a comida cai, num prato
assustado; o copo
d’água vai de encontro
ao dente. a garganta
estende as palmas
de vontade.
2.
o algodão úmido
na testa eriça-me
o quebranto; o soluço
acelera o ritmo.
visto o casaco alheio
e me perco no cheiro,
um instante,
um instante.
o flagrante
do dono
perturba-me
o sono.
3.
timidez
de pés
em casa
estranha,
que ao
ensaio
da distribuição nova
do peso descobrem
a levitação.
4.
o chão é um convite
recorrente, constante;
algo em nós espera
o reencontro. até que
o vento nos disperse
aos quatro cantos.","fearful skin heals: and begins again
1.
this initial disturbance: fork
will not fit mouth
and food falls
onto startled plate; water
glass meets tooth.
throat stretches
eager palms.
2.
damp cotton
on forehead heaves
breakdown; hiccups
quicken their rhythm.
i put on an overcoat not mine
and lose myself in the scent,
for a moment,
a moment.
the owner catches
me red-handed
and it troubles
my sleep.
3.
reserve
of the feet
in another’s
house,
when, in
pursuit
of a novel distribution
of weight, they discover
levitation.
4.
the floor is a recurrent,
constant invitation;
something in us awaits
reunion. till wind scatter
us to the four corners.",pt_XX,en_XX,"1.
this initial disturbance, a fork that doesn't fit in my mouth and the food falls onto a frightened plate; the glass of water hits my teeth. My throat opens its palms with desire.
2.
the damp cotton on my forehead makes me bristle with anger; the sobs accelerate the rhythm.
I put on someone else's coat and lose myself in the smell, for a moment, for a moment.
the owner's sighting disturbs my sleep.
3.
the shyness of feet in a strange house, which, as they try to distribute their weight in a new way, discover levitation.
4.
the floor is a recurring, constant invitation;
something in us awaits the reunion. until the wind scatters us to the four corners.",1
"pulmões
[sobre a fotografia de uma criança encontrada morta numa praia da turquia]
o meu pai chamou-me e pediu-me que escolhesse
um brinquedo – só um – de que gostasse muito; e
que separasse outro brinquedo para o aylan, que
ainda não sabia escolher, mas só um, e tinha de
ser pequeno. o meu pai explicou-me que nessa
noite ia fazer de tudo quase nada numa trouxa
leve; porque assim, quando o aylan e eu caíssemos
de sono, ele e a minha mãe poderiam levar-nos ao
colo sem ficarem para trás. havia lágrimas nos olhos
do meu pai quando contou que, na manhã seguinte,
teríamos de deixar a nossa terra; mas logo se
recompôs, dizendo que kobanî também já não era
bem a nossa terra, que a nossa casa era a ruína da
nossa casa, que toda a síria não passava de um tímpano
exausto de tanto estrondo e dois olhos cansados,
mas tão cansados, de chamas e de sangue. o meu pai
achava que o aylan era demasiado pequeno para
compreender e, por isso, dissera-lhe apenas que
iríamos dar um passeio de barco, que passaríamos
o dia numa praia e que, enquanto eu e a minha mãe
nadássemos no mar até ficarmos sem fôlego, ele
podia simplesmente deitar-se de bruços na areia,
como tanto gostava. o meu pai nunca nos mentiu.","lungs
[on a photograph of a child found dead on a beach in turkey]
my father called me over and told me to pick out
a toy – just one – that i liked the most; and
to pick out another toy for aylan, who
was still too young to choose, but just one, and
it had to be small. my father told me that
tonight he’d wrap up our things in a light
bundle; this way, once aylan and i fell
asleep, he and my mother could carry us
without staying behind. there were tears in my father’s
eyes when he said that, tomorrow morning,
we’d have to leave our land; but he quickly
pulled it together, saying kobanî wasn’t really
our land anymore, that our home was the ruins
of our home, that all of syria was nothing but an eardrum
exhausted from all the noise and two eyes, tired,
so tired, of seeing flames and blood. my father
thought aylan was too little to
understand, so he just told him that
we were going on a boat ride, that we’d spend
the day on a beach and that, while my mother and i
swam in the sea until we were breathless, he
could simply lie face down in the sand,
as he loved to do so much. my father never lied to us.",pt_XX,en_XX,"lungs
[about the photograph of a child found dead on a beach in Turkey]
my father called me and asked me to choose
a toy – just one – that I really liked; and
to set aside another toy for Aylan, who
didn’t know how to choose yet, but only one, and it had to
be small. My father explained to me that that night he was going to do almost nothing
in a light bundle; so that when Aylan and I fell asleep, he and my mother could carry us
in their arms without getting left behind. There were tears in my father’s eyes when he told
us that the next morning we would have to leave our homeland; but he soon recovered, saying that Kobanî was no longer really our land, that our house was the ruin of our house, that all of Syria was nothing more than an eardrum exhausted from so much noise and two tired eyes, so tired, from flames and blood. my father thought that Aylan was too young to understand, and so he had simply told him that we were going for a boat ride, that we would spend the day on a beach, and that while my mother and I swam in the sea until we were breathless, he could simply lie face down on the sand, as he so liked. my father never lied to us.",1
"mesa de café
estava sentada no meio do café, com as mesas cheias
à sua volta. estava sozinha, e o olhar perdia-se
entre o ar e o balcão, fingindo estar atenta
ao que se passava, como se alguma coisa se
passasse entretanto. tinha tomado o café; e o copo
de água estava cheio, ao lado de um cinzeiro
que não servia para nada porque não fumava.
segui a direcção dos seus olhos, vendo o vazio
formar-se no lugar em que os meus e os dela
se cruzavam, nessa zona branca do café em que
o fumo dos cigarros absorvia as conversas e
o barulho das chávenas. e deixei-a estar, por
algum tempo, na ilusão de que estava sozinha,
até olhar para a porta, de onde alguém viria.
não fiquei para saber se quem chegou era quem
ela esperava, ou se continuaria a fixar o
horizonte da parede onde um relógio insistia
em pontuar o tempo. e continuo a vê-la,
puxando o cabelo para trás, num gesto de quem
julga que alguém vai chegar, sem saber que
quem havia de chegar a deixou sozinha, comigo.","café table
she was sitting in the middle of the café, with full tables
all around her. she was alone, and her gaze was lost
between the air and the counter, pretending to be attentive
to what was going on, as though something actually
was going on. she’d finished her espresso; and the glass
of water was still full, next to an ashtray,
which wasn’t serving any purpose since she didn’t smoke.
i followed the direction of her eyes, looking into the emptiness
that gathered in the place where mine and hers
crossed, in that white zone where
the cigarette smoke absorbed the conversations and
the clatter of cups. then i forgot about her for a
little bit, in the illusion that she was alone,
until i noticed that someone was coming in through a door.
i didn’t stay long enough to learn if whoever had arrived was
the one she was waiting for, or if she would continue to stare at
the blankness of the wall where a clock insisted on
telling the time. and i continue to see her,
brushing her hair from her face, with that gesture of one
who imagines that someone is about to arrive, without knowing
that the one she was waiting for had left her all alone, with me.",pt_XX,en_XX,"coffee table
she was sitting in the middle of the café, with the tables full
around her. she was alone, and her gaze was lost
between the air and the counter, pretending to be paying attention
to what was going on, as if something was happening in the meantime. she had drunk her coffee; and the glass
of water was full, next to an ashtray
that was useless because she didn't smoke.
i followed the direction of her eyes, seeing the emptiness
form where mine and hers crossed, in that white area of ​​the café where
the smoke from the cigarettes absorbed the conversations and the noise of the cups. and I let her be, for
some time, under the illusion that she was alone,
until I looked at the door, where someone would come from.
I didn't stay to find out if the one who arrived was the one
she was expecting, or if she would continue to stare at the
horizon of the wall where a clock insisted on punctuating the time. and I continue to see her,
pulling her hair back, in a gesture of someone who
thinks someone is going to arrive, without knowing that
whoever was going to arrive left her alone, with me.",1
"domingo em casa
amanhã podia ser domingo, e
não haver sol; podia ouvir os sinos e
dizer que era apenas uma ilusão; podia
descer a rua e não encontrar o homem
que vende os jornais; podia chegar
ao largo e não ver as mulheres
em grupo a caminho da igreja, onde
vai começar a missa.
amanhã podia não ser domingo,
e as ruas estarem vazias como se
não houvesse nada para fazer; podia não
ser domingo e todas as lojas
fecharem; podia não
ser domingo e alguém perguntar
o que é que se faz quando não
é domingo.
amanhã podia ser um dia qualquer,
e não saber em que dia estou; podia
olhar para o relógio e descobrir que
os ponteiros estão parados; podia
ouvir alguém falar, e não saber de onde
vem a voz que sai da sua boca, como
se estivesse sozinho.
ou então, podia abrir a porta e
ver que o domingo quer entrar; e
puxá-lo para dentro da casa, para
que lá fora fique sem domingo; e
sair para a rua num dia qualquer,
perguntando a quem passa
se viu passar o domingo.","sunday at home
tomorrow might be sunday, and
sunless; i might hear the bells and
say that it was just an illusion; i might
go down to the street and not find the man
who sells newspapers; i might go as far as
the square and not see the women
moving in a group towards church, where
mass is about to begin.
tomorrow might not be sunday,
and the streets empty as though
there were nothing to do; it might not
be sunday, and all the stores
closed; it might not
be sunday and someone asking
what does one do when it is
not sunday.
tomorrow might be any day,
and i not knowing what day it is; i might
look at my watch and discover that
its hands have stopped; i might
here someone speaking, and have no idea where
the voice that comes from their mouth comes from,
as though i were all alone.
and then, i might open the door and
see that sunday wants to come in; and
pull it into my house, so that
the outside was left sundayless; and
go out into the street on any day
whatsoever, asking passersby
if they saw which way sunday went.",pt_XX,en_XX,"Sunday at home
tomorrow could be Sunday, and there would be no sun; I could hear the bells and say it was just an illusion; I could go down the street and not find the man who sells the newspapers; I could arrive at the square and not see the women in groups heading to the church, where mass would begin.
tomorrow could not be Sunday, and the streets would be empty as if there were nothing to do; it could not be Sunday and all the shops would be closed; it could not be Sunday and someone would ask what one does when it is not Sunday.
tomorrow could be any day, and I would not know what day it is; I could look at the clock and discover that the hands have stopped; I could hear someone talking, and not know where the voice coming from their mouth is coming from, as if they were alone.
or else, I could open the door and see that Sunday wants to come in; and I could pull it into the house, so that outside there would be no Sunday; and
go out into the street on any given day,
asking passersby
if they saw Sunday go by.",1
"a necessidade
uma porta fechada não é suficiente para que o homem
esconda o seu amor. ele também necessita de uma porta aberta
para poder partir e se perder na multidão quando esse amor explodir
como o barril de pólvora no arsenal alcançado pelo raio.
um telhado não basta para que o homem se proteja
do calor e da tempestade. para fugir ao relâmpago
ele precisa de um corpo estendido na cama
e ao alcance de sua mão ainda temerosa
de avançar no excuro quando a chuva cai no silêncio do mundo aberto como uma fruta
entre dios estrondos.
na noite que declina, no dia que nasce,
o homem precisa de tudo: do amor e do raio.","necessities
a closed door is not enough for a man
to hide his love. he also needs an open door
so he can leave and lose himself in the crowd when that love explodes
like a barrel of powder in the arsenal hit by lightning.
a roof is not enough to protect a man
from heat and storm. to flee the thunderbolt
he needs a body stretched out in bed
and within reach of his hand still afraid
to advance in the dark as the rain falls on the silence of the world open like a fruit
between two thunderclaps.
in the night that falls, in the day that breaks,
man needs it all: love and the lightning bolt.",pt_XX,en_XX,"the need
a closed door is not enough for a man
to hide his love. He also needs an open door
so he can leave and get lost in the crowd when this love explodes
like a powder keg in an arsenal struck by lightning.
a roof is not enough for a man to protect himself
from the heat and the storm. To escape the lightning
he needs a body stretched out in bed
and within reach of his still fearful hand
to advance in the dark when the rain falls in the silence of the open world like a fruit
among the thunders.
in the night that declines, in the day that dawns,
man needs everything: love and lightning.",1
"revólver
agradeço-te a lembrança, avô:
deixaste-me o revólver na mão,
está empenado o gatilho,
tem ferrugem o cão,
o serviço, com balas deste calibre,
não é garantido
(escusavas de o ter comprado ao cigano
que bebia contigo),
mas criança alguma poderá estragar
o pessimismo deste poema,
ou vir a tempo de evitar o seu desfecho
– rindo, por exemplo, no recreio da escola.","handgun
thanks for the memento, granddad:
you left me your handgun.
the trigger’s bent,
the barrel’s rusty,
and the job, with bullets of this caliber,
isn’t a sure thing
(you didn’t have to buy it from the gypsy
you used to drink with),
but no child will be able to spoil
the pessimism of this poem,
or arrive in time to avert its conclusion
– laughing, for instance, on the playground at school.",pt_XX,en_XX,"revolver
I thank you for the reminder, grandfather:
you left the revolver in my hand,
the trigger is bent,
the hammer is rusty,
the service, with bullets of this caliber,
is not guaranteed
(you didn't need to have bought it from the gypsy
who drank with you),
but no child will be able to spoil
the pessimism of this poem,
or come in time to prevent its outcome
– by laughing, for example, in the school playground.",1
"provavelmente noutro tempo, noutras circunstâncias
chegaríamos a iguais resultados
pelo que de nada adianta imaginar um almagesto
ou tabelas de paralaxe para isto
a que convencionalmente chamamos amor,
nem calcular o ângulo
entre nós e o centro da terra,
de nada nos aproveitara, tu e eu
centros escorraçados de irregular gravitação.
porém, isso não me impediu de ver plêiades
cada vez que surgias (só
não te dizia nada) plêiades iluminando
meu hades
com suas cabrinhas coruscantes
pascendo
o vale da sombra da morte.
e a questão hoje é: who’s gonna drive you home tonight?
quando o melancólico transístor
destila também outras perguntas, mas nenhuma
tão dura quanto essa,
por exemplo: porque é que a água tem mais tendência
a subir em tubos estreitos
ao contrário do mercúrio?
isto é view-master e são coisas que faço
na tua ausência.","probably in another time, in other circumstances
probably in another time, in other circumstances
we would reach similar results
so there’s no use imagining an almagest
or tables of parallaxes for this
that we conventionally call love,
nor should we engage in the calculation of the angle
between us and the centre of the earth,
for we would gain nothing, you and i,
dejected centres of irregular gravitation.
but this didn’t prevent me from seeing the pleiades
every time i saw you (only
i didn’t tell you), the pleiades lighting up
my hades
with its flashing little goats
grazing
in the valley of the shadow of death.
and now the question is: who’s gonna drive you home tonight?
when the gloomy radio
keeps distilling some other questions, but none
as hard as the one
like: why does water tend
to rise inside narrow tubes
unlike quicksilver?
this is view-master and things i do
in your absence.",pt_XX,en_XX,"probably in another time, in other circumstances, we would arrive at the same results, so there is no point in imagining an almagest or parallax tables for this thing we conventionally call love, nor calculating the angle between us and the center of the earth, it would be of no use to us, you and I, centers driven away by irregular gravity. however, that did not stop me from seeing the Pleiades every time you appeared (I just didn’t tell you anything), the Pleiades lighting up my Hades with their sparkling little goats, passing through the valley of the shadow of death. and the question today is: who’s gonna drive you home tonight? when the melancholic transistor also distills other questions, but none as hard as this one, for example: why does water have a greater tendency to rise in narrow tubes, unlike mercury? this is view-master and these are things I do in your absence.",1
"extrema-unção
uma breve, amável mágoa à
flor dos olhos, um distante desapontamento,
morrias como se pedisses desculpa
por nos fazeres perder tempo.
tinhas pressa mas não o mostravas,
receavas que não estivéssemos preparados,
e, suspenso sobre nós, esperavas
que disséssemos tudo, que fizéssemos o apropriado.
morrer não é motivo de orgulho,
mas estavas cansado de mais para te justificares.
ainda por cima no mês de julho,
com as férias marcadas, ausentes os familiares.
tínhamos levado as crianças de casa,
feito os telefonemas, escolhido os dizeres.
o quarto fora arrumado, a cama mudada
com roupa lavada. só faltava morreres.","extreme unction
a brief and affable sorrow
surfacing in the eyes, a distant disappointment,
you died as if gently begging pardon
for making us lose time.
you were in a rush but didn’t show it,
you feared that we were not prepared,
and, hovering above us, you waited
for us to say it all, and do what needed to be done.
dying is no reason to be proud,
but you were too exhausted to explain yourself.
and worst of all, it was july,
vacations set, relatives already gone.
we had taken the children away,
made our phone calls, chosen our words.
the room was now in order, the bed remade
with freshly laundered sheets. nothing missing, but your death.",pt_XX,en_XX,"extreme unction
a brief, gentle sorrow in your eyes, a distant disappointment,
you died as if you were apologizing
for wasting our time.
you were in a hurry but you didn't show it,
you were afraid we weren't ready,
and, hovering over us, you waited
for us to say everything, to do the right thing.
dying is not a reason to be proud,
but you were too tired to justify yourself.
and on top of that, in the month of July,
with the holidays scheduled, the family absent.
we had taken the children from home,
made the phone calls, chosen the words.
the room had been tidied, the bed changed
with clean linen. all that was left was for you to die.",1
"huato-carbau (1947)
um velho, um jovem,
separados pelo acaso.
lá fora a brisa,
o frio fino.
à luz do candeeiro conversavam
a noite inteira.
o velho, jovem.
o jovem, triste.","huato-carbau (1947)
an old man, a youth,
separated by chance.
out there the breeze,
the sharpened cold.
in the light of the lamp they talked
the whole night through.
the old man, youthful.
the young man, sad.",pt_XX,en_XX,"huato-carbau (1947)
an old man, a young man,
separated by chance.
outside the breeze,
the fine cold.
by the light of the lamp they talked
all night long.
the old man, young.
the young man, sad.",1
