original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"amar!
eu quero amar, amar perdidamente!
amar só por amar: aqui... além...
mais este e aquele, o outro e toda a gente
amar! amar! e não amar ninguém!
recordar? esquecer? indiferente!...
prender ou desprender? é mal? é bem?
quem disser que se pode amar alguém
durante a vida inteira é porque mente!
há uma primavera em cada vida:
é preciso cantá-la assim florida,
pois se deus nos deu voz, foi pra cantar!
e se um dia hei-de ser pó, cinza e nada
que seja a minha noite uma alvorada,
que me saiba perder... pra me encontrar...","to love!
i want to love, to be lost in love!
to love just to love: here... there...
this one, that one, another one,
everyone! to love and not love anyone!
remember? forget? it’s all the same!...
hold on or let go? wrong? or right?
those who say they can love someone
their whole life long are telling a lie!
there is in every life a spring.
when it flowers, it must be sung.
the voice god gave us is for singing!
if i must come to ashes, dust,
nothing, then let my night be a dawn
and let me be lost... to find myself...","- Love!
I want to love, love lost!
to love just for loving: here... beyond...
plus this one and that one, the other one and everyone
love! love! and love no one!
remember? forget? indifferent!...
It's wrong, it's okay, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong, it's wrong.
who says you can love someone
It's because he's lying all his life!
There's a spring in every life:
You have to sing it like that,
For if God gave us a voice, it was to sing.
And if one day I'll be dust and ashes and nothing
May my night be a dawn,
who knows how to lose me... to find me...",pt_XX,en_XX,1
"linha de rumo
quem não me deu amor, não me deu nada.
encontro-me parado. . .
olho em redor e vejo inacabado
o meu mundo melhor.
tanto tempo perdido . . .
com que saudade o lembro e o bendigo:
campos de flores
e silvas . . .
fonte da vida fui. medito. ordeno.
penso o futuro a haver.
e sigo deslumbrado o pensamento
que se descobre.
quem não me deu amor, não me deu nada.
desterrado,
desterrado prossigo.
e sonho-me sem pátria e sem amigos,
adrede.","mapping the course
those who didn’t give me love, didn’t give me anything.
i find myself standing still . . .
i look around and see
my better world unfinished.
so much time lost . . .
with what nostalgia i remember it and bless it all:
fields of flowers
and brambles . . .
i was a spring of life. i deliberate. i make order.
i think the future that will come.
and, dazzled, i follow the thought
that shows itself.
those who didn’t give me love, didn’t give me anything.
banished,
banished, i travel on.
and dream myself without a country, without a friend.
wittingly.","Line of course
who didn't give me love, didn't give me anything.
I find myself standing...
I look around and I see it unfinished
My best world.
so much time lost...
with which I miss him and the blessing:
flower fields
and silvas...
source of life I was. meditated. order.
I'm thinking about the future.
And I'm still dazzling the thought
It'll be discovered.
who didn't give me love, didn't give me anything.
banished,
Disembarked proceed.
And I dream of no country and no friends,
He's got it all figured out.",pt_XX,en_XX,1
"amigos perdidos
os amigos levados pela vida
são os mais difíceis de aplacar, os mais
tiranos. bárbaros de um país desconhecido,
bebem à taça os venenos do silêncio e crescem
desmedidamente na distância, desentendidos
da nossa solidão. e pensar que já fomos
irmãos de armas, que desenterrámos tesouros
nas mesmas ilhas, nos livros
mais inóspitos. como são as coisas.
terá sido tudo em vão? dir-se-ia
que estávamos predestinados às mesmas
canções, a uma espécie mais certa de amor.
pois sim. nem sequer compreendemos
o que nos aconteceu.","lost friends
friends carried off by life
are the most difficult to appease, the most
tyrannical. barbarians of an unknown land,
they sip the poison of silence and they grow
beyond all limits in the distance, a blind eye
to our loneliness. and to think that we were
brothers in arms, that we dug up buried treasure
from the same islands, from the most
barren of books. how things turn out.
could all have been in vain? it seemed
that we were destined for the same
songs, for a more certain kind of love.
well, well. and we cannot even understand
what happened.","- Lost friends.
friends led by life
are the hardest to placate, the most
tyrants, barbarians from an unknown country,
drink the poisons of silence and grow
Disagreements in the distance
of our loneliness. And to think that we have already been
brothers of arms, that we dug up treasures
in the same islands, in the books
more inhospitable. As things are.
Will it have been all in vain?
that we were predestined to the same
songs, to a more certain kind of love.
Yes. We don't even understand.
What happened to us.",pt_XX,en_XX,1
"sempre, cruel senhora, receei,
medindo vossa grã desconfiança,
que desse em desamor vossa tardança,
e que me perdesse eu, pois vos amei.
perca-se, enfim, já tudo o que esperei,
pois noutro amor já tendes esperança.
tão patente será vossa mudança,
quanto eu encobri sempre o que vos dei.
dei-vos a alma, a vida e o sentido;
de tudo o que em mim há vos fiz senhora.
prometeis e negais o mesmo amor.
agora tal estou que, de perdido,
não sei por onde vou, mas algũ’hora
vos dará tal lembrança grande dor.","cruel senhora
cruel senhora, i’ve always been wary. i knew
i needed to watch you closely in case
your doubts would surge to disaffection and erase
our love. then i’d be ruined, since i love only you.
and now, everything i’d hope to have is lost:
you’re pursuing another lover. so i detach
myself, believing your retribution will match
the sacrificial depths my love has cost:
i’ve given my soul, my senses, and my life to you;
i’ve given you everything i have within me,
and you promised love, but now, there’s only disdain.
lost and hopeless, i don’t know what to do,
yet i know the day will come when this memory
will crush you down with terrifying pain.","Always, cruel lady, I'm afraid,
measuring your great mistrust,
who gave in love your tardiness,
And that I should lose myself, for I loved you.
Get lost, anyway, everything I've been waiting for,
for in another love you already have hope.
so obvious will be your change,
as I always covered up what I gave you.
give you the soul, the life and the meaning;
of all that is in me I have made you ma'am.
You promise and deny the same love.
Now I'm so lost,
I don't know where I'm going, but at some point
It will give you such a great memory of pain.",pt_XX,en_XX,1
"alma minha gentil, que te partiste
tão cedo desta vida descontente,
repousa lá no céu eternamente,
e viva eu cá na terra sempre triste.
se lá no assento etéreo, onde subiste,
memória desta vida se consente,
não te esqueças daquele amor ardente
que já nos olhos meus tão puro viste.
e se vires que pode merecer-te
algũa cousa a dor que me ficou
da mágoa, sem remédio, de perder-te,
roga a deus, que teus anos encurtou,
que tão cedo de cá me leve a ver-te,
quão cedo de meus olhos te levou.","dear gentle soul, you that departed . . .
dear gentle soul, you that departed
this life so soon and reluctantly,
rest in heaven eternally
while i remain here, broken-hearted.
if there in the ethereal skies
memories are still allowed to move,
do not forget that ardent love
you once saw shining in my eyes.
and if you judge there might be merit,
however small, in this pain that stays,
grieving with nothing to repair it,
petition god, who cut short your days,
to take me to you, in that reckless spirit
he used to summon you from my gaze.","♪ my gentle soul, that you've broken away ♪
so soon of this discontented life,
rests there in heaven forever,
And I live here on earth always sad.
if in the ethereal seat, where you came up,
memory of this life consents,
Don't forget that burning love
that you've already seen in my eyes so pure.
And if you see that it may deserve you
Something about the pain I've had.
the pain, no medicine, of losing you,
pray to God, that your years have shortened,
That so soon I'm going to see you,
How early my eyes took you.",pt_XX,en_XX,1
"transforma-se o amador na cousa amada,
por virtude do muito imaginar;
não tenho, logo, mais que desejar,
pois em mim tenho a parte desejada.
se nela está minh’alma transformada,
que mais deseja o corpo de alcançar?
em si sòmente pode descansar,
pois consigo tal alma está liada.
mas esta linda e pura semideia,
que, como um acidente em seu sujeito,
assi co a alma minha se conforma,
está no pensamento como ideia:
o vivo e puro amor de que sou feito,
como a matéria simples busca a forma.","the lover becomes the thing he loves . . .
the lover becomes the thing he loves
by virtue of much imagining;
since what i long for is already in me,
the act of longing should be enough.
if my soul becomes the beloved,
what more can my body long for?
only in itself will it find peace,
since my body and soul are linked.
but this pure, fair demigoddess,
who with my soul is in accord
like an accident with its subject,
exists in my mind as a mere idea;
the pure and living love i’m made of
seeks, like simple matter, form.","It turns the amateur into the beloved thing,
by virtue of the very imaginative;
I don't have anything else to wish for.
For in me I have the desired part.
if the soul is transformed in it,
what more does the body want to achieve?
in itself you can only rest,
For I can get such a soul is bound.
But this beautiful and pure demigod,
that, like an accident on your subject,
I sat with my soul to conform,
It's in thought as an idea:
the living and pure love of which I am made,
as simple matter seeks form.",pt_XX,en_XX,1
"erros meus, má fortuna, amor ardente
em minha perdição se conjuraram;
os erros e a fortuna sobejaram,
que para mim bastava o amor somente.
tudo passei; mas tenho tão presente
a grande dor das cousas que passaram,
que as magoadas iras me ensinaram
a não querer já nunca ser contente.
errei todo o discurso de meus anos;
dei causa [a] que a fortuna castigasse
as minhas mal fundadas esperanças.
de amor não vi senão breves enganos.
oh! quem tanto pudesse que fartasse
este meu duro génio de vinganças!","my errors, cruel fortune and ardent love . . .
my errors, cruel fortune and ardent love
conspired to bring about my ruin;
the errors and fortune were superfluous,
since love alone would have done as much.
although it’s over, the dreadful pain
of what i suffered is still so vivid
that i, with bitter rage, have learned
never to try to be happy again.
in life and words i’ve always strayed,
giving fortune cause to punish
my poorly founded hopes.
in love i’ve known just brief illusions.
oh! if only my ruthless genius
would have its fill of wreaking vengeance!","My mistakes, bad fortune, burning love
in my perdition they conjured themselves;
Mistakes and fortune have gone up,
that only love was enough for me.
I've been through it all, but I have such a gift.
the great pain of the things that have passed away,
that the wounded angers taught me
I don't want to be happy anymore.
I have erred in all my years' speech;
of the cause [a] which fortunately punished
My ill-founded hopes.
I've seen nothing but short mistakes.
Oh, who could have had enough?
This is my tough revenge genius!",pt_XX,en_XX,1
"busque amor novas artes, novo engenho,
para matar-me, e novas esquivanças;
que não pode tirar-me as esperanças,
que mal me tirará o que eu não tenho.
olhai de que esperanças me mantenho!
vede que perigosas seguranças!
que não temo contrastes nem mudanças,
andando em bravo mar, perdido o lenho.
mas, conquanto não pode haver desgosto
onde esperança falta, lá me esconde
amor um mal, que mata e não se vê.
que dias há que n’alma me tem posto.
um não sei quê, que nasce não sei onde,
vem não sei como, e doi não sei porquê.","may love seek out new arts, devise a plot . . .
may love seek out new arts, devise a plot
to kill me, and discover new disdain;
for robbing me of hope will be in vain,
since it can scarcely take what i’ve not got.
behold the kind of hopes on which i stand!
and see how perilous my certainties!
for i fear neither change nor enmities,
ploughing the sea, lost far from any land.
and yet, although one cannot pay grief’s toll
where hope is gone, still love has hidden there
for me an ill, that kills and can’t be seen;
how long ago did love place in my soul
i don’t know what, born i don’t know where,
come i don’t know how, nor why it aches so keen.","Seek love new arts, new ingenuity,
to kill me, and new elusive practices;
who can't take my hopes away,
You'll barely take away what I don't have.
Look what hopes I keep!
See what dangerous security guards!
that I fear no contrasts or changes,
walking in the open sea, lost the wood.
but, while there can be no displeasure
where hope is lacking, there hides me
love an evil, that kills and you don't see it.
What days have you put me in?
I don't know what, born I don't know where,
I don't know how, and doi don't know why.",pt_XX,en_XX,1
"quem vê, senhora, claro e manifesto
o lindo ser de vossos olhos belos,
se não perder a vista só em vê-los,
já não paga o que deve a vosso gesto.
este me parecia preço honesto;
mas eu, por de vantagem merecê-los,
dei mais a vida e alma por querê-los,
donde já me não fica mais de resto.
assi que a vida e alma e esperança
e tudo quanto tenho, tudo é vosso,
e o proveito disso eu só o levo.
porque é tamanha bem-aventurança
o dar-vos quanto tenho e quanto posso
que, quanto mais vos pago, mais vos devo.","whoever, lady, sees plainly on view . . .
whoever, lady, sees plainly on view
your beautiful eyes in their lustrous being
without being blinded in the act of seeing
is already not paying your face’s due.
this seems to me an honest price,
but i, for the merit of deserving them,
gave both life and soul to serve them
apart from which i am without resource.
enough that life and soul and hope
and as much as i have is all yours,
and the proof of this i alone know.
for such good fortune is beyond scope
giving you all that is in my power
as the more i pay you, the more i owe.","Who sees, ma'am, clear and manifest
the beautiful being of your beautiful eyes,
If you don't lose sight of them just by seeing them,
You don't pay for what you're doing anymore.
this seemed to me an honest price;
But I, for the benefit of me, deserve them,
I gave more life and soul for wanting them,
where I don't have any more leftovers.
I saw that life and soul and hope
And everything I have, it's all yours,
And the benefit of that I'm just taking him.
'Cause it's such a blissful thing to do.
give you what I have and how much I can
The more I pay you, the more I owe you.",pt_XX,en_XX,1
"amor é um fogo que arde sem se ver,
é ferida que doi, e não se sente;
é um contentamento descontente,
é dor que desatina sem doer.
é um não querer mais que bem querer;
é um andar solitário entre a gente;
é nunca contentar-se de contente;
é um cuidar que ganha em se perder.
é querer estar preso por vontade;
é servir a quem vence, o vencedor;
é ter com quem nos mata, lealdade.
mas como causar pode seu favor
nos corações humanos amizade,
se tão contrário a si é o mesmo amor?","love is a fire that burns unseen . . .
love is a fire that burns unseen,
a wound that aches yet isn’t felt,
an always discontent contentment,
a pain that rages without hurting,
a longing for nothing but to long,
a loneliness in the midst of people,
a never feeling pleased when pleased,
a passion that gains when lost in thought.
it’s being enslaved of your own free will;
it’s counting your defeat a victory;
it’s staying loyal to your killer.
but if it’s so self-contradictory,
how can love, when love chooses,
bring human hearts into sympathy?","Love is a fire that burns without seeing itself,
is hurt, and feels not;
It's a discontented contentment,
It's pain that unravels without pain.
It's a no-want-more-than-want-more-than-want-more-than-want-more-than-want-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you-you
It's a lonely walk between us;
is never content with contentment;
It's a care that wins by getting lost.
is to want to be arrested at will;
it is to serve the victor, the victor;
It's about who kills us, loyalty.
But how to cause can your favor
in human hearts friendship,
if so contrary to you is the same love?",pt_XX,en_XX,1
