original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang,topic
"uma canção póstuma para paul celan
onde vieres também tu a sussurrar nas valas, nem que faminta esteja a tua voz
e se teus olhos os vir de madrugada, perdidos pelos campos, em sítios que estremecem — eu regresso — «eu
até nas ondas do meio-dia, na linha calma das cerejas, se te vejo, margarete — eu « escureço — «e escureço
como o cabelo com o tom escuro dos violinos me escurece, como
escurece o vento nos bosques frios em que morremos, escurecem as alamedas
escurece o leite negro que bebemos e bebemos.
onde vieres também tu pelo adordo sublime do infortúnio, nem que franzido seja o teu sangue
e se teus lábios os vir ao entardecer, à hora mágica, lendo os poemas da galícia — eu regresso — «eu
até nos combóios que cavam um túmulo pelos ares, se te vejo, sulamith — eu «escureço — «e escureço
como o entardecer nas horas mais pequenas me escurece, como
escurecem as rugas pelos rostos, escurecem os poemas
escurece o leite negro que bebemos e bebemos.","a posthumous song for paul celan
where you too will come sighing in the ditches, even if yours is a famished voice
and if i see your eyes at dawn, lost over the fields, in shuddering places — i will return — «i
even on the waves of midday, along the contour of a cherry, if i see you, margarete — i « darken — «and darken
as the hair of dark-coloured violins darkens me, as
the wind darkens in the cold woods where we die, the alleys darken
the black milk we drink and drink darkens.
whence you too will appear with the sublime finery of misfortune, even if your blood will curdle
and if in the evening, at the magic hour, i can glimpse your eyes reading galicia’s poems — i will return — «i
even on the trains digging a tunnel through the air, if i see you, sulamith — i «darken — «and i darken
as the evening darkens me in the smaller hours, as
lines darken on faces, poems darken
as darkens the black milk we drink and drink.","A posthumous song for paul celan
where thou also comest to whisper in the ditches, lest thy voice be hungry.
and if your eyes see them at dawn, lost by the fields, in places that tremble — I return — «I
even in the waves of noon, in the calm line of the cherries, if I see you, margarette — I « darken — « and darken
as the hair with the dark tone of the violins darkens me, as
The wind is darkened in the cold forests where we die, the floods are darkened
It darkens the black milk we drink and drink.
where thou also comest by the sublime sleep of misfortune, neither let thy blood be broken.
and if your lips see them at sunset, at magic hour, reading the poems of Galicia — I return — «I
even in the trains that dig a grave in the air, if I see you, sulamith — I «dark» — «and dark»
as the evening in the smallest hours darkens me, as
It darkens the wrinkles by the faces, it darkens the poems
It darkens the black milk we drink and drink.",pt_XX,en_XX,0
"cabeça, tronco e membros
a camisa branca estendida na corda
do quintal é uma nuvem. há pouco,
quando a fui pendurar, ainda chovia.
agora, que o vento sopra forte dentro
dela, vejo de repente o teu tronco a
vesti-la. porém, se estendo os braços
para ele, só encontro o vazio. triste,
tento dizer-me que é apenas uma
camisa; mas, sem querer, volto
para casa com a nuvem na cabeça.","head, torso, and limbs
the white shirt hanging on the clothesline
in the backyard is a cloud. earlier,
when i went to hang it, it was still raining.
now, with the wind billowing inside
of it, i suddenly see your torso
underneath. but if i stretch my arms
toward it, all i find is emptiness. distressed,
i try to tell myself it’s only a
shirt; but, without meaning to, i go
back inside with the cloud in my head.","Head, trunk and limbs
the white shirt stretched on the rope
From the yard is a cloud. Just now,
When I went to hang it, it was still raining.
Now, that wind blows hard inside
from her, I suddenly see your trunk
put it on. But if I stretch out my arms
For him, I only find the emptiness. Sad,
I'm trying to tell myself it's just one
shirt; but, by no means, I'll be back.
home with the cloud in your head.",pt_XX,en_XX,0
"carta ao pai
agora que o senhor
mais assemelha pedaço
de carne com dois olhos
dirigidos ao teto escuro
no leito em que provável
só não há-de morrer só
porque nem a própria
saliva poderá engolir
por si na companhia
somente desta sonda
que o alimenta
me pergunto se ainda
em validade a proibição
da mãe em confessar
ao senhor os hábitos
amorosos das mucosas
que são minhas
e se deveras me amaria
tanto menos soubesse
quanta fricção já tiveram
que não lhes cabia
biológica ou religiosa
-mente e se também
pediria para sua filhoa
a morte que desejou
a tantos de minha laia
quando surgiam na tela
da glboo da record
da manchete do sbt
que sempre constituíram
seu cordão umbilical
com a tradição
e se deveras faria
sobrevir a eles
grande destruição
pela violência
com que urrava
seus xingamentos
típicos de macho
nascido no interior
desse pais de machos
interiores e quebrados
em seus orgulhos falhos
de crer que o pai
é o que abarrota
geladeiras e não deixa
que falte à mesa
o alimento que nutre
as mesmas mucosas
em que corre
o seu sangre
mas não seu deus
e ora neste leito partido
o cérebro em veias
como riachos insistentes
em correr
fora das margens
se o senhor
soubesse o dolo
com que manchei
a mesa
de todos os patriarcas
ainda pergunto-me
se me receberia
com a mansidão
que aceita na testa
o beijo desta sua filhoa
que nada mais é
que a sua imagem
e semelhança invertidas
tal espelho
que refletisse opostos
de gênero e religião
ou o desenho
animado na infância
de uma sala de justiça
onde numa tela
podia-se observar
um mundo ao avesso
e se o pai e o pai
odeiam deveras
o gerado nas normas
da biologia e religião
mais tarde porém geridos
na transgressão das leis
que o pai e o pai
impõem-nos na ciência
de sermos todos falhos
nessa terra onde procriar
é tão frequente
que gere prazer
nenhum e olho
o senhor
com essas pupilas
que talvez jamais
reflitam o pai
mas ora veem o pai
eu
mesmo pedaço
de carne
com dois olhos
peço perdão
em silêncio
pois sequer posso
dizer que não
mais há tempo
e mesmo assim
e porém
e no entanto
e contudo
pelo medo adversativo
de talvez abalar
uma sistema rudimentar
de alicerces
sob a casa
sob o quarto
sob esta cama
de hospital
emprestada
escolho
uma vez mais
o silêncio","letter to the father
now that my lord
more closely resembles a hunk
of meat with two eyes
turned toward the dark ceiling
from the gurney where likely
you will not die alone
only because not even able
to swallow your saliva
yourself in the company
of this tube alone
that feeds you
i ask myself
if mother's ban
against confessing
to my lord the amorous habits
of my mucous membranes
is still in place
and if indeed you would love me
the less you knew about
how much rubbing they'd already had
that did not befit them
biological or religious
-ly and also if
you would want for your boyess
the death you wished
on so many of my kind
when they appeared on screen
on globo record
manchete or sbt
which always constituted
your umbilical connection
to tradition
and if indeed you would
make come upon them
great destruction
by the violence
of your raging slurs
typical of a macho man
born in a remote town
in this country of machos
remote and broken
in their false pride
believing that a father
is he who crams
refrigerators full and does
not let the table want for
food to nourish
the same mucous membranes
in which your blood
but not your god
runs thick
and now in this broken gurney
your brain all veins
like rivulets bent on
running
outside the lines
if my lord
knew how
i'd stained the patriarchs'
table with deceit
i still ask myself
if you would welcome
me as meekly
as you accept a kiss
on the forehead from
your boyess
who is nothing more
than your own image
and likeness inverted
a mirror such
as reflects opposites
of gender and religion
or the cartoon
from my childhood
of a hall of justice
where on a screen
you could watch a world gone wrong
and if the father and father
indeed scorn
one created by the norms
of biology and religion
yet later corrected
after flaunting the laws
the father and the father
impose on us in the science
of being all of us flawed
on this earth where procreating
is so common
it brings pleasure
not at all and i look at
my lord
with these pupils
that maybe never
reflect the father
but now see the father
i
also a hunk
of meat
with two eyes
ask forgiveness
in silence
for at least i can
say there is no more time
and nevertheless
and even still
and although
and yet
for conflicted fear
of possibly shaking
a rudimentary system
of foundation
holding up this house
holding up this room
holding up this borrowed
hospital
bed
i once again
choose
silence","Letter to the father
now that you
more similar piece
of meat with two eyes
directed to the dark roof
in the bed on which it is likely
Just won't die alone.
because not even the same
saliva may swallow
by itself in the company
only from this probe
that feeds it
I wonder if it's still
in force of the prohibition
of the mother to confess
to you the habits
mucous loving
which are mine
And if you really would love me
the less I knew
how much friction they've had
who didn't fit them.
biological or religious
- and if so
I'd ask your daughter
the death you wished for
to so many of my laia
When they appeared on the screen
from the record glboo
from sbt headlines
which have always constituted
your umbilical cord
with tradition
and if you really would
come to them
Great Destruction
for Violence
I was screaming at you.
their scoldings
typical male
born indoors
of this male parent
interior and broken
in your broken prides
to believe that the father
That's what's all about.
refrigerators and does not leave
which is missing from the table
the food that nourishes
the same mucous membranes
in which it runs
your blood
but not your god.
And now in this bed party
the brain in veins
as insistent streams
on the run
outside the margins
if you
♪ knew the dolo ♪
with which I ran
the table
of all the Patriarchs
I'm still wondering.
if you would receive me
with meekness
which you accept on the forehead
The kiss of this daughter of yours
that nothing else is
that your image
and inverted resemblance
such a mirror
to reflect opposites
of Gender and Religion
or drawing
Animated in childhood
of a court room
where on a screen
could be observed
a world upside down
And if the father and the father
They really hate it.
the generated in the standards
of Biology and Religion
later but managed
in violation of laws
that the father and the father
impose them on science
of being all faulty
in this land where to breed
It's so common.
that he may have pleasure.
none and eye
You, sir.
with these pupils
that maybe never
They're reflecting on their father.
But now you see the father.
me.
same piece
Of meat
with two eyes
I beg your pardon.
in silence
'cause I can't even
say no
more there's time
And yet
and yet
and yet
and yet
by the adversarial fear
of perhaps shaking
a rudimentary system
of foundations
under the house
under the bedroom
under this bed
Hospital
borrowed
choice
One more time.
the silence",pt_XX,en_XX,0
"mediterrâneo i
não há lugares, nunca houve, nem mesmo antigos.
há o que olhamos neles, a sua marca de pó de tijolo que os faz sumir.
só assim conseguimos chegar. só brandamente, para lembrarmos.
não para tocar as colunas liláses ou fazer a travessia no veleiro das tangerinas.
só vagamente andamos. não caminhamos, debaixo do sol.
os pés dos nómadas não enegrecem com as areias e as águas de pequenos portos.
são os ulmeiros que nos protegem e não os seus terraços.
a marca de pó fere-nos numa gota desmaiada,
podemos entretê-la mesmo entre os dedos que não petrefica.
nada mudou desde o primeiro queixume; foi
com os olhos que partimos na linha do mediterrâneo
e são as oliveiras o seu diurno limite.","mediterranean i
places don’t exist, never existed, not even the ancient ones.
what exists is what we see in them, the brick dust traces making them vanish.
only thus we’ll land. lightly, just for the remembrance.
not in order to touch the lilac columns or go across on the tangerine sailing boat.
only vaguely we progress. we don’t walk under the sun.
the nomads’ feet are not blackened by the sand and the sea in small ports.
the elms shelter us, not the terraces.
the dust traces bruise us with a faint drop
we can wile between our fingers and still it doesn’t solidify.
nothing has changed since the first lament; the eyes
taking us along the mediterranean horizon are our eyes,
and the olive trees its day-long boundary.","Mediterranean i
There's no places, there's never been, not even old ones.
There's what we look at in them, your brick dust mark that makes them disappear.
That's the only way we can get there. Just gently, to remember.
not to touch the lilac columns or cross the sailboat of the tangerines.
We just wandered around. We didn't walk under the sun.
the feet of the nomads do not lose weight with the sands and waters of small ports.
It's the Ulmers who protect us and not their terraces.
the dust mark hurts us in a faint drop,
We can entertain her even between the fingers that she doesn't petrefuse.
Nothing has changed since the first complaint; it was
with the eyes that we break in the Mediterranean line
And it's the olive trees your limit day.",pt_XX,en_XX,0
"mediterrâneo i
não há lugares, nunca houve, nem mesmo antigos.
há o que olhamos neles, a sua marca de pó de tijolo que os faz sumir.
só assim conseguimos chegar. só brandamente, para lembrarmos.
não para tocar as colunas liláses ou fazer a travessia no veleiro das tangerinas.
só vagamente andamos. não caminhamos, debaixo do sol.
os pés dos nómadas não enegrecem com as areias e as águas de pequenos portos.
são os ulmeiros que nos protegem e não os seus terraços.
a marca de pó fere-nos numa gota desmaiada,
podemos entretê-la mesmo entre os dedos que não petrefica.
nada mudou desde o primeiro queixume; foi
com os olhos que partimos na linha do mediterrâneo
e são as oliveiras o seu diurno limite.","mediterranean i
places don’t exist, never existed, not even the ancient ones.
what exists is what we see in them, the brick dust traces making them vanish.
only thus we’ll land. lightly, just for the remembrance.
not in order to touch the lilac columns or go across on the tangerine sailing boat.
only vaguely we progress. we don’t walk under the sun.
the nomads’ feet are not blackened by the sand and the sea in small ports.
the elms shelter us, not the terraces.
the dust traces bruise us with a faint drop
we can wile between our fingers and still it doesn’t solidify.
nothing has changed since the first lament; the eyes
taking us along the mediterranean horizon are our eyes,
and the olive trees its day-long boundary.","Mediterranean i
There's no places, there's never been, not even old ones.
There's what we look at in them, your brick dust mark that makes them disappear.
That's the only way we can get there. Just gently, to remember.
not to touch the lilac columns or cross the sailboat of the tangerines.
We just wandered around. We didn't walk under the sun.
the feet of the nomads do not lose weight with the sands and waters of small ports.
It's the Ulmers who protect us and not their terraces.
the dust mark hurts us in a faint drop,
We can entertain her even between the fingers that she doesn't petrefuse.
Nothing has changed since the first complaint; it was
with the eyes that we break in the Mediterranean line
And it's the olive trees your limit day.",pt_XX,en_XX,0
"1.
esta perturbação inicial, garfo
que não encaixa na boca
e a comida cai, num prato
assustado; o copo
d’água vai de encontro
ao dente. a garganta
estende as palmas
de vontade.
2.
o algodão úmido
na testa eriça-me
o quebranto; o soluço
acelera o ritmo.
visto o casaco alheio
e me perco no cheiro,
um instante,
um instante.
o flagrante
do dono
perturba-me
o sono.
3.
timidez
de pés
em casa
estranha,
que ao
ensaio
da distribuição nova
do peso descobrem
a levitação.
4.
o chão é um convite
recorrente, constante;
algo em nós espera
o reencontro. até que
o vento nos disperse
aos quatro cantos.","fearful skin heals: and begins again
1.
this initial disturbance: fork
will not fit mouth
and food falls
onto startled plate; water
glass meets tooth.
throat stretches
eager palms.
2.
damp cotton
on forehead heaves
breakdown; hiccups
quicken their rhythm.
i put on an overcoat not mine
and lose myself in the scent,
for a moment,
a moment.
the owner catches
me red-handed
and it troubles
my sleep.
3.
reserve
of the feet
in another’s
house,
when, in
pursuit
of a novel distribution
of weight, they discover
levitation.
4.
the floor is a recurrent,
constant invitation;
something in us awaits
reunion. till wind scatter
us to the four corners.","- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.
this initial disturbance, fork
which does not fit in the mouth
and the food falls, on a plate
scared; the glass
water goes to meet
to the tooth. to the throat.
extend the palms
You're welcome.
Two.
the wet cotton
On my forehead, raise me.
the broken; the hiccups
It's speeding up the pace.
I saw the other man's jacket.
And I get lost in the smell,
One moment,
Wait a minute.
the glamorous
of the owner
Disturbs me
I am.
Three.
shyness
feet
at home
Strange,
to the
test
of the new distribution
of weight discover
the levitation.
4.
the floor is an invitation
recurrent, constant;
Something's waiting for us.
the rendezvous.
the wind scatters us
To the four corners.",pt_XX,en_XX,-1
"a viagem de alexandre à índia
andaste de um ao outro lado da terra na vida interminável,
tiveste degredos, piedosos cíumes, a fé desvanescida,
amantes paradas na lavoura, roubando-te o rosto amado.
viste vestígios de que foste a sombra de ninguém,
olhos sem pudor, do reflexo dos ferros no tropel,
franjas do domínio pueril de alexandre, olhando gaugamela.
partiste num porto de transição para o levante,
com vazios para trás, todo o tempo a poder ver,
e ao primeiro inverno, pelos cardeais das suas cinzas,
começaste a travessia que não termina, a história que não acaba.
soubeste porque se vislumbra, em lágrimas, o pinheiro da juventude,
o nome quebrado num turvo ar medido sem corda,
e a maresia do vento de feição no segundo inverno.
em troca perseguiste o que rege o homem fortuito,
segredando em palácios de mármore que são apenas pedras,
dos fracassos a que jamais alguém ajoelhara.
ao terceiro inverno descobriste o hemisfério, e ao quarto,
sem ideia de guerra ou ordem para mudar o reino,
escolheste adornar os aquedutos sob o manto dos regatos,
sentado, na brisa no tanque, ao febril entardecer.
de quem te aproximaste, no seu trajecto interminado,
sem lugar senão o que esfria na mente recortada,
naquilo que se ramifica, tornando-se na própria teia,
contigo propagou o dever de passar em toda a parte.
e quando veio o quinto inverno, e o sexto, suturaste o sangue,
trouxeste a pele à curva dos rios, acolheste o que de resto se desmorona,
e pudeste enfim, na crença dos migradores furtivos, entender que
tudo se perde noutro lugar ainda, e após esse ainda noutro
e que ao fim de cada manhã noutra manhã
tudo é incerto, tão conforme o dente-de-leão no meio de searas,
tão emudecido como a veia exausta dos não sepultados.
na mansarda onde vagueia o dia e a noite
o vento responde, cortando o centeio e o calcário, e a vela
que brilha na luz de estrelas veladas, já desaparecidas,
pisadas, mudas, engolidas aos pés do sétimo inverno,
arpoa o coração e a ruína — os meridianos despem-se, voam
em vinte e cinco anos que há pouco se beijavam, e seja dito ou não dito
o prazer que inflige um pico de tormentos
por lábios que só as mulheres conhecem
no moinho das águas da morte em varanasi,
sacode a chama de quanto vale, dura e canta
o princípio e o fim do teu poder na terra.","alexandres`s travel to india
you wandered an interminable life across the earth,
suffered exile, piteous jealousy, futile faith,
labour-arrested lovers plundering your beloved’s face.
you saw traces of having been no one’s shadow,
impudent eyes, the reflection of iron on the rampage,
hints of alexander’s puerile dominance, contemplating gaugamela.
you set off from a transient port towards the levant,
leaving emptiness behind, seeing all of time,
and in the first winter, by the cardinals of its ashes,
you started the endless crossing, the incessant history.
you knew, because the pine tree of youth can be glimpsed through tears,
of the shattered name in a cloudy mood measured without ropes,
and of the favourable sea breeze in the second winter.
in exchange you pursued that which rules the fortuitous man,
whispering in marble palaces that are but stones,
failures to which no one had ever knelt.
by the third winter you discovered the hemisphere, and by the fourth,
non intent on war or order to change the kingdom,
you chose to adorn aqueducts with the mantle of streams,
sitting by the pool breeze, in the evening´s lingering fever.
whomever you approached, in their indefinite path,
without a place except that which fades inside a patchy mind,
in that which branches out and becomes the very web,
has spread with you the duty to pass through everywhere.
and by the fifth winter, and the sixth, you stitched up the blood,
brought the skin on to the river bends, welcomed that which falls apart,
and were at last capable, with the belief of a stealthy migrant, of understanding
that all is lost yet in another place, and after this in yet another
and that by the end of each morning in another morning
all is uncertain, just like a dandelion in a field of wheat,
as muted as the exhausted vein of the unburied.
in the attic where night and day roam
the wind replies, cutting the chalk and the rye, and the candle,
shimmering in the light of the veiled stars already gone,
trodden, voiceless, swallowed up by the seventh winter,
spears the heart and the ruin — the meridians undress, fly away
in twenty five years that were just kissing yesterday, and be it told or untold
the pleasure that brings a peak of torment, inflicted
by lips that only women know
in the turmoil of varanasi´s death waters,
tests the flame of the merit, endurance and song of
the beginning and the end of your power on earth.","The journey of alexandre to India
You have walked from one side of the earth in endless life,
You've had decays, godly cymbals, faded faith,
Lovers standing on the farm, stealing your beloved face.
You've seen evidence that you've been the shadow of no one,
eyes without modesty, of the reflection of the irons in the tropal,
fringes of the alexandre's childish domain, looking at the gaugamela.
you left in a port of transition to the uprising,
empty back, all the time you can see,
and in the first winter, by the cardinals of their ashes,
You started the crossing that doesn't end, the story that doesn't end.
You knew why the pine tree of youth shone in tears,
the name broken in a cloudy air measured without rope,
and the tide of the wind of beauty in the second winter.
In return you have persecuted what reigns the fortuitous man,
secreting in marble palaces that are only stones,
Of the failures that no one had ever kneeled to.
in the third winter you discovered the hemisphere, and in the fourth,
with no idea of war or order to change the kingdom,
You have chosen to adorn the aqueducts under the covering of the rivers,
sitting in the breeze in the tank, in the fever of the evening.
to whom you have come, in its interminable course,
without place but that which cools in the cut-off mind,
in that which is branched, becoming in the web itself,
with you spread the duty to pass everywhere.
And when the fifth winter came, and the sixth, thou didst suture the blood,
Thou hast brought the skin to the bend of the rivers, and hast received what is left to fall,
and you could finally, in the belief of the stealth migrants, understand that
everything is lost somewhere else, and after that still somewhere else
and that at the end of each morning another morning
Everything is uncertain, just as the lion's tooth is in the middle of evenings,
as emuded as the exhausted vein of the unburied.
in the attic where day and night wanders
the wind responds, cutting off the rye and the limestone, and the candle
that shines in the light of stars veiled, already disappeared,
treads, mutes, swallowed at the feet of the seventh winter,
Harpoa the heart and the ruin — the meridians take off, fly
in the twenty-five years that were just kissed, and whether or not said
the pleasure that inflicts a peak of torments
by lips that only women know
in the mill of the waters of death in varanasi,
shakes the flame of what it is worth, lasts and sings
the beginning and end of your power on earth.",pt_XX,en_XX,0
"da menina e moça
pensando-vos estou filha
vossa mãe me está lembrando
enchem-se-me os olhos d’água
nela vos estou lavando:
nascestes filha antre mágoa
para bem filha vos seja
que no vosso nascimento
vos ouve a fortuna inveja:
morto era o contentamento
nenhuma alegria ouvistes,
vossa mãe era finada,
nos outras éamos tristes:
nada em dor em dor crescida
não sei onde isto há de ir ter
vejo-vos filha fermosa
cos olhos verdes crescer:
não era esta graça vossa
para nascer em desterro
mal haja a desaventura
que pôs mais nisto que o erro:
tinha aqui sua sepultura
vossa mãe e mágoa a nós
não éreis vos filha não
para morrerem por vós:
não houve em fados razão
nem se consente rogar
de vosso pai hei mor dó
que de si s’á de queixar:
eu vos ouvi a vós só
primeiro que outrem ninguém
não fôreis vós seu não fora
não sei se fiz mal se bem:
mas não pode ser senhora
para mal nenhum nascerdes
com este riso gracioso
que tendes sobr’olhos verdes:
conforto mais duvidoso
me é este que tomo assi
deus voos dê milhor ventura
da que tevestes té ‘qui:
que a dita e a fermosura
dizem patranhas antigas
que pelejaram um dia
sendo dantes muito amigas:
muitos hão que é fantasia
eu que vi tempos e anos
nenhuma cousa duvido
como ela é caso de danos:
mas nenhum mal nom é crido
o bem só é esperado
e na crença e na esperança
em ambas há i mudança
em ambas há i cuidado","from menina e moça
i’m thinking of you, dear girl,
your mother’s memory haunts me.
my eyes fill up with tears,
they are bathing you gently.
you were born amid sorrow—
may it yet prove a blessing.
since fortune, struck with envy,
singled you out at birth.
gone forever was contentment,
you heard no joyful voices.
your mother’s life had ended,
while ours went on in sadness.
in anguish born and raised!
i don’t know where all this is going.
i’ve watched you grow, my girl,
with green eyes so lovely.
beauty like yours wasn’t meant
to be born in exile. curses on
fate! this was clearly a work
of malevolence, not a mistake.
here lies your mother,
and we languish in grief.
you did nothing, my girl,
to incur a loss so great.
the fates spurn reason,
and will admit no protest.
i pity your poor father,
for the pain he must lament.
i heard you crying, alone,
before anyone else. you’d not
be here, had i not been there.
still, i ask if i did right.
but surely it can’t be wrong
for you to have been born
with that elegant smile of yours,
those dazzling green eyes.
it’s an unlikely comfort
that i take for myself.
may god grant you the grace
that has eluded you till now.
beauty and good fortune,
or so the old story goes,
were once the best of friends,
but became bitterly opposed.
many hold that it’s fantasy,
but in my life i’ve seen
enough not to doubt it:
fate inflicts great damage.
no harm is ever believed;
we always expect the good.
in hoping and believing
lies an element of change,
an element of concern.","The girl and the girl
♪ Thinking of you I'm a daughter ♪
Your mother is reminding me
# Fill my eyes with water #
I'm washing you in it:
You were born a daughter of sorrow.
for a good daughter to you.
that at your birth
He hears your fortune envy:
dead was contentment
no joy did you hear,
Your mother was fine,
in the others we are sad:
Nothing in pain in increased pain
I don't know where this is gonna go.
I see you beautiful daughter
green eyes grow:
It wasn't this grace of yours.
to be born in the desert
There's nothing wrong with it.
who put more into this than the mistake:
There was your grave here.
your mother and hurt us
You're not your daughter, are you?
to die for you:
there was no fairy reason
not allowed to beg
of your father, I'm dying.
who shall complain of himself:
I have heard you alone.
first that no one else
Don't you be his not out
I don't know if I did it wrong if I did it right.
But you can't be ma'am.
for evil no birth
with this funny laugh
that you have green eyes:
more dubious comfort
I'm the one who's taking a seat.
Gods flights give you better luck.
of which you have had ‘here:
that the saying and the beauty
They say old hooligans
who fought one day
I've been very close before:
There are many who are fantasizing.
I've seen times and years
There's no doubt about it.
as she is a case of damage:
But no bad name is creed
the good is only expected
and in belief and hope
in both there is i change
in both there is i care",pt_XX,en_XX,0
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.","♪ between myself in me ♪
I don't know what got up.
that so my enemy I am
a few times with a big mistake
I lived with myself
now in the greatest danger
If you've found me, I'll die.
expensive cost a disillusionment
And because you didn't kill me
Assaz expensive cost me
from me I'm made alien
between care and care
It's a spilled evil.
that by my grain I can barely see myself
new new pain new reawakening
This is the one who killed me.
that so my enemy I am",pt_XX,en_XX,0
"indústria cultural
as distrações
para as famílias do interior
exigem recursos humanos
próprios.
aqui
não vêm atuar
os grandes atores,
aqui
não vêm ler
os grandes poetas,
aqui
não vêm cantar
os grandes cantores,
aqui
não se digna
a interpretações
a intelligentsia.
aqui,
às igrejas evangélicas
e às academias de ginástica
pertence a implementação
do mens sana in corpore sano.
as visitas à sorveteria
que antes fora uma pizzaria
e antes, uma lanchonete,
apenas mudam as paredes,
que não trazem
nem fotografia nem pintura
de tradições centenárias.
o espaço público
— nem ágora nem eclésia —
incita variações
— agora aos sussurros —
dos ressentimentos velhos,
das irritações pequenas
que se acumulam
e latejam como pústulas.
as frustrações do pai,
as frustrações da mãe,
e assim, em escadinha,
as frustrações nascentes
da prole toda, em perdas
crescentes.
à mesa
reina nossa mesma
falta de assunto da janta
ou o assunto repetido
à exaustão. as dívidas
com deus e com césar.
e sim, o silêncio
sobre os únicos assuntos
que quiçá nos salvassem.
quem-nos-dera, num instante
de lucidez repentina,
aguássemos agora
os sorvetes, as pizzas, os lanches
com lágrimas, esgoelando juntos
na sarjeta. mas o que diriam
os vizinhos?
nas capitais
lacrimeja a intelligentsia
— o povo! o povo! —
enquanto o mofo e o musgo
cobrem aos poucos
a nossa não-boca, a nossa não-alma.","the culture industry
entertainments
for families in the interior
require their own
human resources.
here,
great actors
do not come to play;
here,
great poets
do not come to read;
here,
great singers
do not come to sing;
here,
the intelligentsia
does not deign
to interpret.
here,
evangelical churches
and fitness centers
administer implementation
of mens sana in corpore sano.
visits to the ice cream parlor
which used to be a pizzeria
and before that, a snack bar.
only the walls have changed;
they bear neither photograph
nor painting from venerable traditions.
the public space
— neither agora nor ecclesia —
incites variations
— now whispered —
on old resentments
and petty irritations
that swell and throb
like carbuncles.
the frustrations of the father,
the frustrations of the mother;
hence the progress
of nascent discontent
in offspring frustrated
over heightened
losses.
at the dinner table
reigns our same
lack of subject matter
or matter repeated
unto exhaustion. the debts
to god and to caesar.
and yes, our silence
about the only things
that could possibly save us.
if only, in an instant
of sudden lucidity,
we could drown
ice cream, pizzas and snacks
in tears, blubbering together
in the gutter. but what would
the neighbors say?
in the capitals
the intelligentsia drop their tears
— the people! the people! —
while mold and moss
gradually encroach upon
our non-mouth, our non-soul.","Cultural industry
the distractions
for the families of the interior
Requires Human Resources
It's my own.
Here.
They're not coming to act.
the great actors,
Here.
don't come to read
the great poets,
Here.
They're not coming to sing.
the great singers,
Here.
I don't think you're worthy.
a interpretations
Smarty.
Here,
to the Evangelical Churches
and gymnastics academies
belongs to the implementation
of healthy mens in healthy body.
visits to the ice cream shop
that before it was a pizza shop
And before that, a diner,
They just change the walls,
that they don't bring
neither photography nor painting
of centuries-old traditions.
the public space
— neither agora nor ecclesia —
incentivizes variations
— now to whispers —
of old resentments,
small irritations
accumulating
and bark like pustules.
Father's frustrations,
Mom's frustrations,
And so, in escadinho,
the emerging frustrations
of the entire offspring, in losses
Growing up.
at the table
♪ Queen of our own ♪
lack of business for dinner
or the repeated subject
to exhaustion.
with God and Caesar.
And yes, the silence
on the sole subjects
Maybe they'd save us.
who'll blow us off in an instant.
of sudden lucidity,
Let's sink now.
the ice creams, the pizzas, the snacks
with tears, draining together
in the gutter, but what would they say?
Neighbors?
in the capitals
Tears of the intelligentsia
— the people, the people! —
while the mold and the moss
They're gradually covering up.
our non-mouth, our non-soul.",pt_XX,en_XX,-1
