original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"uma canção póstuma para paul celan
onde vieres também tu a sussurrar nas valas, nem que faminta esteja a tua voz
e se teus olhos os vir de madrugada, perdidos pelos campos, em sítios que estremecem — eu regresso — «eu
até nas ondas do meio-dia, na linha calma das cerejas, se te vejo, margarete — eu « escureço — «e escureço
como o cabelo com o tom escuro dos violinos me escurece, como
escurece o vento nos bosques frios em que morremos, escurecem as alamedas
escurece o leite negro que bebemos e bebemos.
onde vieres também tu pelo adordo sublime do infortúnio, nem que franzido seja o teu sangue
e se teus lábios os vir ao entardecer, à hora mágica, lendo os poemas da galícia — eu regresso — «eu
até nos combóios que cavam um túmulo pelos ares, se te vejo, sulamith — eu «escureço — «e escureço
como o entardecer nas horas mais pequenas me escurece, como
escurecem as rugas pelos rostos, escurecem os poemas
escurece o leite negro que bebemos e bebemos.","a posthumous song for paul celan
where you too will come sighing in the ditches, even if yours is a famished voice
and if i see your eyes at dawn, lost over the fields, in shuddering places — i will return — «i
even on the waves of midday, along the contour of a cherry, if i see you, margarete — i « darken — «and darken
as the hair of dark-coloured violins darkens me, as
the wind darkens in the cold woods where we die, the alleys darken
the black milk we drink and drink darkens.
whence you too will appear with the sublime finery of misfortune, even if your blood will curdle
and if in the evening, at the magic hour, i can glimpse your eyes reading galicia’s poems — i will return — «i
even on the trains digging a tunnel through the air, if i see you, sulamith — i «darken — «and i darken
as the evening darkens me in the smaller hours, as
lines darken on faces, poems darken
as darkens the black milk we drink and drink.",pt_XX,en_XX,"A Posthumous Song for Paul Celan
Wherever you come to whisper in the trenches, even if your voice is famished
And if your eyes see them at dawn, lost in the fields, in trembling places — I return — ""I
Even in the waves at noon, in the calm line of cherries, if I see you, Margarete — I darken — ""and I darken
As the hair darkens with the somber tone of violins, as
The wind darkens in the cold woods where we die, the avenues darken
The black milk we drink and drink darkens.

Wherever you come to by the sublime decree of misfortune, even if your blood is furrowed
And if your lips see them at dusk, at the magical hour, reading the poems of Galicia — I return — ""I
Even in the trains that dig a grave through the skies, if I see you, Sulamith — I darken — ""and I darken
As dusk darkens in the smallest hours, as
The wrinkles darken on the faces, the poems darken
The black milk we drink and drink darkens.",0
"cabeça, tronco e membros
a camisa branca estendida na corda
do quintal é uma nuvem. há pouco,
quando a fui pendurar, ainda chovia.
agora, que o vento sopra forte dentro
dela, vejo de repente o teu tronco a
vesti-la. porém, se estendo os braços
para ele, só encontro o vazio. triste,
tento dizer-me que é apenas uma
camisa; mas, sem querer, volto
para casa com a nuvem na cabeça.","head, torso, and limbs
the white shirt hanging on the clothesline
in the backyard is a cloud. earlier,
when i went to hang it, it was still raining.
now, with the wind billowing inside
of it, i suddenly see your torso
underneath. but if i stretch my arms
toward it, all i find is emptiness. distressed,
i try to tell myself it’s only a
shirt; but, without meaning to, i go
back inside with the cloud in my head.",pt_XX,en_XX,"head, trunk, and limbs
the white shirt hanging on the clothesline
in the backyard is a cloud. just a while ago,
when I hung it up, it was still raining.
now, with the wind blowing hard through it,
I suddenly see your trunk wearing it. however,
if I stretch out my arms towards it,
I only find emptiness. sad,
I try to tell myself it's just a shirt;
but, without meaning to, I return home
with the cloud in my head.",0
"carta ao pai
agora que o senhor
mais assemelha pedaço
de carne com dois olhos
dirigidos ao teto escuro
no leito em que provável
só não há-de morrer só
porque nem a própria
saliva poderá engolir
por si na companhia
somente desta sonda
que o alimenta
me pergunto se ainda
em validade a proibição
da mãe em confessar
ao senhor os hábitos
amorosos das mucosas
que são minhas
e se deveras me amaria
tanto menos soubesse
quanta fricção já tiveram
que não lhes cabia
biológica ou religiosa
-mente e se também
pediria para sua filhoa
a morte que desejou
a tantos de minha laia
quando surgiam na tela
da glboo da record
da manchete do sbt
que sempre constituíram
seu cordão umbilical
com a tradição
e se deveras faria
sobrevir a eles
grande destruição
pela violência
com que urrava
seus xingamentos
típicos de macho
nascido no interior
desse pais de machos
interiores e quebrados
em seus orgulhos falhos
de crer que o pai
é o que abarrota
geladeiras e não deixa
que falte à mesa
o alimento que nutre
as mesmas mucosas
em que corre
o seu sangre
mas não seu deus
e ora neste leito partido
o cérebro em veias
como riachos insistentes
em correr
fora das margens
se o senhor
soubesse o dolo
com que manchei
a mesa
de todos os patriarcas
ainda pergunto-me
se me receberia
com a mansidão
que aceita na testa
o beijo desta sua filhoa
que nada mais é
que a sua imagem
e semelhança invertidas
tal espelho
que refletisse opostos
de gênero e religião
ou o desenho
animado na infância
de uma sala de justiça
onde numa tela
podia-se observar
um mundo ao avesso
e se o pai e o pai
odeiam deveras
o gerado nas normas
da biologia e religião
mais tarde porém geridos
na transgressão das leis
que o pai e o pai
impõem-nos na ciência
de sermos todos falhos
nessa terra onde procriar
é tão frequente
que gere prazer
nenhum e olho
o senhor
com essas pupilas
que talvez jamais
reflitam o pai
mas ora veem o pai
eu
mesmo pedaço
de carne
com dois olhos
peço perdão
em silêncio
pois sequer posso
dizer que não
mais há tempo
e mesmo assim
e porém
e no entanto
e contudo
pelo medo adversativo
de talvez abalar
uma sistema rudimentar
de alicerces
sob a casa
sob o quarto
sob esta cama
de hospital
emprestada
escolho
uma vez mais
o silêncio","letter to the father
now that my lord
more closely resembles a hunk
of meat with two eyes
turned toward the dark ceiling
from the gurney where likely
you will not die alone
only because not even able
to swallow your saliva
yourself in the company
of this tube alone
that feeds you
i ask myself
if mother's ban
against confessing
to my lord the amorous habits
of my mucous membranes
is still in place
and if indeed you would love me
the less you knew about
how much rubbing they'd already had
that did not befit them
biological or religious
-ly and also if
you would want for your boyess
the death you wished
on so many of my kind
when they appeared on screen
on globo record
manchete or sbt
which always constituted
your umbilical connection
to tradition
and if indeed you would
make come upon them
great destruction
by the violence
of your raging slurs
typical of a macho man
born in a remote town
in this country of machos
remote and broken
in their false pride
believing that a father
is he who crams
refrigerators full and does
not let the table want for
food to nourish
the same mucous membranes
in which your blood
but not your god
runs thick
and now in this broken gurney
your brain all veins
like rivulets bent on
running
outside the lines
if my lord
knew how
i'd stained the patriarchs'
table with deceit
i still ask myself
if you would welcome
me as meekly
as you accept a kiss
on the forehead from
your boyess
who is nothing more
than your own image
and likeness inverted
a mirror such
as reflects opposites
of gender and religion
or the cartoon
from my childhood
of a hall of justice
where on a screen
you could watch a world gone wrong
and if the father and father
indeed scorn
one created by the norms
of biology and religion
yet later corrected
after flaunting the laws
the father and the father
impose on us in the science
of being all of us flawed
on this earth where procreating
is so common
it brings pleasure
not at all and i look at
my lord
with these pupils
that maybe never
reflect the father
but now see the father
i
also a hunk
of meat
with two eyes
ask forgiveness
in silence
for at least i can
say there is no more time
and nevertheless
and even still
and although
and yet
for conflicted fear
of possibly shaking
a rudimentary system
of foundation
holding up this house
holding up this room
holding up this borrowed
hospital
bed
i once again
choose
silence",pt_XX,en_XX,"Letter to Father
Now that you are
More akin to a piece
Of meat with two eyes
Directed at the dark ceiling
In the bed where it's likely
You won't die alone
Because not even your own
Saliva you can swallow
In the company solely
Of this tube
That feeds you
I wonder if the prohibition
Of mother in confessing
To you the amorous habits
Of the mucous membranes
That are mine
And whether you would love me
Even less knowing
How much friction they've had
Which isn't biologically or religiously
-ly and if she too
Would ask for your death
Which you wished for so many of my kind
When they appeared on the screen
Of glboo's highlight reel
Of the sbt's headline
Which always constituted
Your umbilical cord
With tradition
And whether indeed
You would bring upon them
Great destruction
Through the violence
With which you roared
Your typical male insults
Born in the interior
Of this country of broken
Inwardly proud men
Who believe that a father
Is one who stocks
Refrigerators and doesn't let
The table lack the food
That nourishes
The same mucous membranes
In which runs
Your blood
But not your god
And now in this broken bed
The brain in veins
Like streams insistently
Running
Outside the banks
If you
Knew the deceit
With which I've stained
The table
Of all patriarchs
I still wonder
If you would receive me
With the meekness
That accepts on the forehead
The kiss of this your daughter
Who is nothing more
Than your image
And likeness reversed
Like a mirror
That reflects opposites
Of gender and religion
Or the animated series
Of childhood
From a courtroom
Where on a screen
One could observe
A world turned upside down
And if the father and the father
Really hate the one generated
Under the laws of biology and religion
But later governed
By the transgression of the laws
That father and father
Impose upon us in the knowledge
That we are all flawed
In this land where procreation
Is so frequent
That it brings no pleasure
And I look at you
With these pupils
That perhaps will never
Reflect the father
But now see the father
I myself
Piece of meat
With two eyes
Ask for forgiveness
In silence
For I can barely
Say that I don't
There is still time
And even so
And yet
And however
And despite
Because of the adversative fear
Of perhaps shaking
A rudimentary system
Of foundations
Below the house
Below the room
Below this borrowed
Hospital bed
I choose
Silence once again",0
"mediterrâneo i
não há lugares, nunca houve, nem mesmo antigos.
há o que olhamos neles, a sua marca de pó de tijolo que os faz sumir.
só assim conseguimos chegar. só brandamente, para lembrarmos.
não para tocar as colunas liláses ou fazer a travessia no veleiro das tangerinas.
só vagamente andamos. não caminhamos, debaixo do sol.
os pés dos nómadas não enegrecem com as areias e as águas de pequenos portos.
são os ulmeiros que nos protegem e não os seus terraços.
a marca de pó fere-nos numa gota desmaiada,
podemos entretê-la mesmo entre os dedos que não petrefica.
nada mudou desde o primeiro queixume; foi
com os olhos que partimos na linha do mediterrâneo
e são as oliveiras o seu diurno limite.","mediterranean i
places don’t exist, never existed, not even the ancient ones.
what exists is what we see in them, the brick dust traces making them vanish.
only thus we’ll land. lightly, just for the remembrance.
not in order to touch the lilac columns or go across on the tangerine sailing boat.
only vaguely we progress. we don’t walk under the sun.
the nomads’ feet are not blackened by the sand and the sea in small ports.
the elms shelter us, not the terraces.
the dust traces bruise us with a faint drop
we can wile between our fingers and still it doesn’t solidify.
nothing has changed since the first lament; the eyes
taking us along the mediterranean horizon are our eyes,
and the olive trees its day-long boundary.",pt_XX,en_XX,"Mediterranean I
There are no places, never were, not even ancient ones.
There's what we look at them, their dust-stone imprint that makes them vanish.
Only this way we manage to arrive. Only softly, to remember.
Not to touch the lilac columns or cross in the orange boat.
We only wander vaguely. We don't walk, beneath the sun.
The nomads' feet don't darken with the sands and the waters of small ports.
It's the elm trees that protect us, not their terraces.
The dust imprint marks us in a faded drop,
we can entertain it even between our fingers, it doesn't petrify.
Nothing has changed since the first complaint; it was
with our eyes that we set out along the Mediterranean line
and the olive trees are its diurnal limit.",0
"mediterrâneo i
não há lugares, nunca houve, nem mesmo antigos.
há o que olhamos neles, a sua marca de pó de tijolo que os faz sumir.
só assim conseguimos chegar. só brandamente, para lembrarmos.
não para tocar as colunas liláses ou fazer a travessia no veleiro das tangerinas.
só vagamente andamos. não caminhamos, debaixo do sol.
os pés dos nómadas não enegrecem com as areias e as águas de pequenos portos.
são os ulmeiros que nos protegem e não os seus terraços.
a marca de pó fere-nos numa gota desmaiada,
podemos entretê-la mesmo entre os dedos que não petrefica.
nada mudou desde o primeiro queixume; foi
com os olhos que partimos na linha do mediterrâneo
e são as oliveiras o seu diurno limite.","mediterranean i
places don’t exist, never existed, not even the ancient ones.
what exists is what we see in them, the brick dust traces making them vanish.
only thus we’ll land. lightly, just for the remembrance.
not in order to touch the lilac columns or go across on the tangerine sailing boat.
only vaguely we progress. we don’t walk under the sun.
the nomads’ feet are not blackened by the sand and the sea in small ports.
the elms shelter us, not the terraces.
the dust traces bruise us with a faint drop
we can wile between our fingers and still it doesn’t solidify.
nothing has changed since the first lament; the eyes
taking us along the mediterranean horizon are our eyes,
and the olive trees its day-long boundary.",pt_XX,en_XX,"Mediterranean I
There are no places, never were, not even ancient ones.
There's what we look at them, their dust-stone imprint that makes them vanish.
Only this way we manage to arrive. Only softly, to remember.
Not to touch the lilac columns or cross in the orange boat.
We only wander vaguely. We don't walk, beneath the sun.
The nomads' feet don't darken with the sands and the waters of small ports.
It's the elm trees that protect us, not their terraces.
The dust imprint marks us in a faded drop,
we can entertain it even between our fingers, it doesn't petrify.
Nothing has changed since the first complaint; it was
with our eyes that we set out along the Mediterranean line
and the olive trees are its diurnal limit.",0
"1.
esta perturbação inicial, garfo
que não encaixa na boca
e a comida cai, num prato
assustado; o copo
d’água vai de encontro
ao dente. a garganta
estende as palmas
de vontade.
2.
o algodão úmido
na testa eriça-me
o quebranto; o soluço
acelera o ritmo.
visto o casaco alheio
e me perco no cheiro,
um instante,
um instante.
o flagrante
do dono
perturba-me
o sono.
3.
timidez
de pés
em casa
estranha,
que ao
ensaio
da distribuição nova
do peso descobrem
a levitação.
4.
o chão é um convite
recorrente, constante;
algo em nós espera
o reencontro. até que
o vento nos disperse
aos quatro cantos.","fearful skin heals: and begins again
1.
this initial disturbance: fork
will not fit mouth
and food falls
onto startled plate; water
glass meets tooth.
throat stretches
eager palms.
2.
damp cotton
on forehead heaves
breakdown; hiccups
quicken their rhythm.
i put on an overcoat not mine
and lose myself in the scent,
for a moment,
a moment.
the owner catches
me red-handed
and it troubles
my sleep.
3.
reserve
of the feet
in another’s
house,
when, in
pursuit
of a novel distribution
of weight, they discover
levitation.
4.
the floor is a recurrent,
constant invitation;
something in us awaits
reunion. till wind scatter
us to the four corners.",pt_XX,en_XX,"1.
This initial disturbance, a fork
that doesn't fit in the mouth
and the food drops, on a
startled plate; the glass
of water meets the tooth. The throat
extends palms of will.
2.
The damp cotton
on my forehead intensifies
the malaise; the hiccup
accelerates the rhythm.
I put on someone else's coat
and lose myself in the scent,
for an instant,
an instant.
The owner's
sudden appearance
disturbs my sleep.
3.
Shyness
of feet
in a strange
house,
that in the
trial
of the new
distribution of weight
discover
levitation.
4.
The floor is a recurrent,
constant invitation;
something within us awaits
the reunion. Until the wind
dispers us
to the four corners.",0
"a viagem de alexandre à índia
andaste de um ao outro lado da terra na vida interminável,
tiveste degredos, piedosos cíumes, a fé desvanescida,
amantes paradas na lavoura, roubando-te o rosto amado.
viste vestígios de que foste a sombra de ninguém,
olhos sem pudor, do reflexo dos ferros no tropel,
franjas do domínio pueril de alexandre, olhando gaugamela.
partiste num porto de transição para o levante,
com vazios para trás, todo o tempo a poder ver,
e ao primeiro inverno, pelos cardeais das suas cinzas,
começaste a travessia que não termina, a história que não acaba.
soubeste porque se vislumbra, em lágrimas, o pinheiro da juventude,
o nome quebrado num turvo ar medido sem corda,
e a maresia do vento de feição no segundo inverno.
em troca perseguiste o que rege o homem fortuito,
segredando em palácios de mármore que são apenas pedras,
dos fracassos a que jamais alguém ajoelhara.
ao terceiro inverno descobriste o hemisfério, e ao quarto,
sem ideia de guerra ou ordem para mudar o reino,
escolheste adornar os aquedutos sob o manto dos regatos,
sentado, na brisa no tanque, ao febril entardecer.
de quem te aproximaste, no seu trajecto interminado,
sem lugar senão o que esfria na mente recortada,
naquilo que se ramifica, tornando-se na própria teia,
contigo propagou o dever de passar em toda a parte.
e quando veio o quinto inverno, e o sexto, suturaste o sangue,
trouxeste a pele à curva dos rios, acolheste o que de resto se desmorona,
e pudeste enfim, na crença dos migradores furtivos, entender que
tudo se perde noutro lugar ainda, e após esse ainda noutro
e que ao fim de cada manhã noutra manhã
tudo é incerto, tão conforme o dente-de-leão no meio de searas,
tão emudecido como a veia exausta dos não sepultados.
na mansarda onde vagueia o dia e a noite
o vento responde, cortando o centeio e o calcário, e a vela
que brilha na luz de estrelas veladas, já desaparecidas,
pisadas, mudas, engolidas aos pés do sétimo inverno,
arpoa o coração e a ruína — os meridianos despem-se, voam
em vinte e cinco anos que há pouco se beijavam, e seja dito ou não dito
o prazer que inflige um pico de tormentos
por lábios que só as mulheres conhecem
no moinho das águas da morte em varanasi,
sacode a chama de quanto vale, dura e canta
o princípio e o fim do teu poder na terra.","alexandres`s travel to india
you wandered an interminable life across the earth,
suffered exile, piteous jealousy, futile faith,
labour-arrested lovers plundering your beloved’s face.
you saw traces of having been no one’s shadow,
impudent eyes, the reflection of iron on the rampage,
hints of alexander’s puerile dominance, contemplating gaugamela.
you set off from a transient port towards the levant,
leaving emptiness behind, seeing all of time,
and in the first winter, by the cardinals of its ashes,
you started the endless crossing, the incessant history.
you knew, because the pine tree of youth can be glimpsed through tears,
of the shattered name in a cloudy mood measured without ropes,
and of the favourable sea breeze in the second winter.
in exchange you pursued that which rules the fortuitous man,
whispering in marble palaces that are but stones,
failures to which no one had ever knelt.
by the third winter you discovered the hemisphere, and by the fourth,
non intent on war or order to change the kingdom,
you chose to adorn aqueducts with the mantle of streams,
sitting by the pool breeze, in the evening´s lingering fever.
whomever you approached, in their indefinite path,
without a place except that which fades inside a patchy mind,
in that which branches out and becomes the very web,
has spread with you the duty to pass through everywhere.
and by the fifth winter, and the sixth, you stitched up the blood,
brought the skin on to the river bends, welcomed that which falls apart,
and were at last capable, with the belief of a stealthy migrant, of understanding
that all is lost yet in another place, and after this in yet another
and that by the end of each morning in another morning
all is uncertain, just like a dandelion in a field of wheat,
as muted as the exhausted vein of the unburied.
in the attic where night and day roam
the wind replies, cutting the chalk and the rye, and the candle,
shimmering in the light of the veiled stars already gone,
trodden, voiceless, swallowed up by the seventh winter,
spears the heart and the ruin — the meridians undress, fly away
in twenty five years that were just kissing yesterday, and be it told or untold
the pleasure that brings a peak of torment, inflicted
by lips that only women know
in the turmoil of varanasi´s death waters,
tests the flame of the merit, endurance and song of
the beginning and the end of your power on earth.",pt_XX,en_XX,"The journey of alexander to india
you've traveled from one end of the earth to the other in endless life,
you've had banishments, pious jealousies, faith that faded away,
lovers standing still in the fields, stealing your beloved's face.
you've seen traces that you were the shadow of no one,
eyes without shame, the reflection of the iron in the rush,
fringes of the petty realm of alexander, watching gaugamela.
you left from a transitional port towards the east,
with emptiness behind, all the time to look back,
and by the first winter, by the cardinal points of its ashes,
you began the crossing that never ends, the story that doesn't end.
you knew why the pine of youth is glimpsed in tears,
the name broken in a murky air measured without a string,
and the brine of the wind in its mood in the second winter.
in exchange you pursued what governs the casual man,
whispering in marble palaces that are merely stones,
of the failures to which no one had ever kneeled.
by the third winter you discovered the hemisphere, and by the fourth,
without an idea of war or order to change the realm,
you chose to adorn the aqueducts under the mantle of brooks,
sitting in the breeze by the tank, at feverish dusk.
with whom you drew close, in their endless path,
without a place but what chills the cut mind,
in what branches out, becoming the web itself,
with you the duty to pass everywhere was propagated.
and when the fifth and sixth winters came, you staunched the blood,
you brought the skin to the curve of the rivers, embraced what else collapses,
and you could finally, in the belief of the stealthy migrants, understand that
everything is lost somewhere else, and after that somewhere else again
and that at the end of each morning there is another morning,
everything is uncertain, as the dandelion in the midst of fields,
as silent as the vein exhausted of the unburied.
in the attic where day and night wander
the wind responds, cutting the rye and limestone, and the sail
that shines in the light of veiled stars, already gone,
trampled, mute, swallowed at the feet of the seventh winter,
spears the heart and the ruin — the meridians strip off, fly
in twenty-five years that recently kissed each other, and whether said or unsaid
the pleasure that inflicts a peak of torment
by lips that only women know
in the mill of the death waters in varanasi,
it shakes the flame of its worth, hardens and sings
the beginning and the end of your power on earth.",0
"da menina e moça
pensando-vos estou filha
vossa mãe me está lembrando
enchem-se-me os olhos d’água
nela vos estou lavando:
nascestes filha antre mágoa
para bem filha vos seja
que no vosso nascimento
vos ouve a fortuna inveja:
morto era o contentamento
nenhuma alegria ouvistes,
vossa mãe era finada,
nos outras éamos tristes:
nada em dor em dor crescida
não sei onde isto há de ir ter
vejo-vos filha fermosa
cos olhos verdes crescer:
não era esta graça vossa
para nascer em desterro
mal haja a desaventura
que pôs mais nisto que o erro:
tinha aqui sua sepultura
vossa mãe e mágoa a nós
não éreis vos filha não
para morrerem por vós:
não houve em fados razão
nem se consente rogar
de vosso pai hei mor dó
que de si s’á de queixar:
eu vos ouvi a vós só
primeiro que outrem ninguém
não fôreis vós seu não fora
não sei se fiz mal se bem:
mas não pode ser senhora
para mal nenhum nascerdes
com este riso gracioso
que tendes sobr’olhos verdes:
conforto mais duvidoso
me é este que tomo assi
deus voos dê milhor ventura
da que tevestes té ‘qui:
que a dita e a fermosura
dizem patranhas antigas
que pelejaram um dia
sendo dantes muito amigas:
muitos hão que é fantasia
eu que vi tempos e anos
nenhuma cousa duvido
como ela é caso de danos:
mas nenhum mal nom é crido
o bem só é esperado
e na crença e na esperança
em ambas há i mudança
em ambas há i cuidado","from menina e moça
i’m thinking of you, dear girl,
your mother’s memory haunts me.
my eyes fill up with tears,
they are bathing you gently.
you were born amid sorrow—
may it yet prove a blessing.
since fortune, struck with envy,
singled you out at birth.
gone forever was contentment,
you heard no joyful voices.
your mother’s life had ended,
while ours went on in sadness.
in anguish born and raised!
i don’t know where all this is going.
i’ve watched you grow, my girl,
with green eyes so lovely.
beauty like yours wasn’t meant
to be born in exile. curses on
fate! this was clearly a work
of malevolence, not a mistake.
here lies your mother,
and we languish in grief.
you did nothing, my girl,
to incur a loss so great.
the fates spurn reason,
and will admit no protest.
i pity your poor father,
for the pain he must lament.
i heard you crying, alone,
before anyone else. you’d not
be here, had i not been there.
still, i ask if i did right.
but surely it can’t be wrong
for you to have been born
with that elegant smile of yours,
those dazzling green eyes.
it’s an unlikely comfort
that i take for myself.
may god grant you the grace
that has eluded you till now.
beauty and good fortune,
or so the old story goes,
were once the best of friends,
but became bitterly opposed.
many hold that it’s fantasy,
but in my life i’ve seen
enough not to doubt it:
fate inflicts great damage.
no harm is ever believed;
we always expect the good.
in hoping and believing
lies an element of change,
an element of concern.",pt_XX,en_XX,"Of the girl and maiden
Thinking of you I am daughter
Your mother is reminding me
My eyes fill with water
In her I am washing you:
You were born daughter between sorrow
To be well daughter it may be
That at your birth
Fortune's envy heard you:
Contentment was dead
No joy you heard,
Your mother was deceased,
We others were sad:
Nothing in pain in pain grown
I don't know where this will lead
I see you daughter beautiful
With green eyes grow:
This grace was not yours
To be born in exile
May disaster be cursed
Which put more into this than error:
Here was her burial
Your mother and sorrow to us
You were not daughter not
To die for you:
There was no reason in fate
Nor is praying allowed
I have much pity for your father
Who will complain of himself:
I heard only you
First before anyone else
You weren't his, nor was anyone else
I don't know if I did wrong or right:
But it cannot be mistress
For no evil to be born
With this gracious smile
That you have over green eyes:
More dubious comfort
This is what I take thus
God give you better fortune
Than you have had until now:
That happiness and beauty
They say old tales
That fought one day
Being once very friendly:
Many believe it's fantasy
I who have seen times and years
I doubt nothing
As it is a case of harm:
But no evil is believed
Good is only expected
And in belief and hope
In both there is change
In both there is care",0
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.",pt_XX,en_XX,"between myself and myself
I do not know what arose
that so much enemy of myself I am
for some time with great deception
I lived with myself
now in the greatest danger
the most harm discovered me
dearly a lesson dearly learned cost
and since this did not kill me
very dear it cost me
of myself I became a stranger
between care and care
there is a scattered harm
that for my great harm I see
new pain new fear
it was this that killed me
for so much enemy of myself I am",0
"indústria cultural
as distrações
para as famílias do interior
exigem recursos humanos
próprios.
aqui
não vêm atuar
os grandes atores,
aqui
não vêm ler
os grandes poetas,
aqui
não vêm cantar
os grandes cantores,
aqui
não se digna
a interpretações
a intelligentsia.
aqui,
às igrejas evangélicas
e às academias de ginástica
pertence a implementação
do mens sana in corpore sano.
as visitas à sorveteria
que antes fora uma pizzaria
e antes, uma lanchonete,
apenas mudam as paredes,
que não trazem
nem fotografia nem pintura
de tradições centenárias.
o espaço público
— nem ágora nem eclésia —
incita variações
— agora aos sussurros —
dos ressentimentos velhos,
das irritações pequenas
que se acumulam
e latejam como pústulas.
as frustrações do pai,
as frustrações da mãe,
e assim, em escadinha,
as frustrações nascentes
da prole toda, em perdas
crescentes.
à mesa
reina nossa mesma
falta de assunto da janta
ou o assunto repetido
à exaustão. as dívidas
com deus e com césar.
e sim, o silêncio
sobre os únicos assuntos
que quiçá nos salvassem.
quem-nos-dera, num instante
de lucidez repentina,
aguássemos agora
os sorvetes, as pizzas, os lanches
com lágrimas, esgoelando juntos
na sarjeta. mas o que diriam
os vizinhos?
nas capitais
lacrimeja a intelligentsia
— o povo! o povo! —
enquanto o mofo e o musgo
cobrem aos poucos
a nossa não-boca, a nossa não-alma.","the culture industry
entertainments
for families in the interior
require their own
human resources.
here,
great actors
do not come to play;
here,
great poets
do not come to read;
here,
great singers
do not come to sing;
here,
the intelligentsia
does not deign
to interpret.
here,
evangelical churches
and fitness centers
administer implementation
of mens sana in corpore sano.
visits to the ice cream parlor
which used to be a pizzeria
and before that, a snack bar.
only the walls have changed;
they bear neither photograph
nor painting from venerable traditions.
the public space
— neither agora nor ecclesia —
incites variations
— now whispered —
on old resentments
and petty irritations
that swell and throb
like carbuncles.
the frustrations of the father,
the frustrations of the mother;
hence the progress
of nascent discontent
in offspring frustrated
over heightened
losses.
at the dinner table
reigns our same
lack of subject matter
or matter repeated
unto exhaustion. the debts
to god and to caesar.
and yes, our silence
about the only things
that could possibly save us.
if only, in an instant
of sudden lucidity,
we could drown
ice cream, pizzas and snacks
in tears, blubbering together
in the gutter. but what would
the neighbors say?
in the capitals
the intelligentsia drop their tears
— the people! the people! —
while mold and moss
gradually encroach upon
our non-mouth, our non-soul.",pt_XX,en_XX,"Cultural industry
distractions
for the inland families
require human resources
of their own.
here
the big actors don't come to perform,
here
the great poets aren't read,
here
the major singers don't come to sing,
here
the intelligentsia doesn't bother with interpretations.
here,
the implementation of mens sana in corpore sano
belongs to the evangelical churches
and fitness academies.
visits to the ice cream parlor
which was once a pizzeria
and before that, a diner,
only change the walls,
which bring no
photograph or painting
of centuries-old traditions.
the public space
— neither agora nor ecclesia —
inspires whispers of old grievances,
small irritations
that accumulate
and throb like pus-filled sores.
the father's frustrations,
the mother's frustrations,
and so, in a staircase,
the budding frustrations
of the whole brood, in increasing losses.
at the dinner table
rules our same lack of conversation
about the meal
or the repeated subject
to exhaustion. debts
to god and caesar.
and yes, the silence
about the only subjects
that perhaps could save us.
wouldn't it be wondrous, in a moment
of sudden clarity,
to water the ice creams, pizzas, and snacks
with tears, all of us shouting together
in the gutter. but what would the neighbors say?
in the capitals
the intelligentsia cries
— the people! the people! —
while mildew and moss
slowly cover our silent mouths, our silent souls.",0
