original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"chorai arcadas
do violoncelo!
convulsionadas,
pontes aladas
de pesadelo...
de que esvoaçam,
brancos, os arcos…
por baixo passam,
se despedaçam,
no rio, os barcos.
fundas, soluçam,
caudais de choro…
que ruínas, (ouçam)!
se se debruçam,
que sorvedouro!…
trémulos astros...
soidões lacustres...
— lemes e mastros...
e os alabastros
dos balaústres!
urnas quebradas!
blocos de gelo...
— chorai arcadas,
despedaçadas
do violoncelo.","weep, o wildly
weep, o wildly
arching bows
sweeping the cello!
winged bridges
of nightmares…
the broad white arches
swiftly flutter…
passing beneath them,
boats on the river
break into pieces.
they keen and wail
in streams of tears…
what ruin, listen!
swooping deeply—
what churning sorrow!
leaden stars…
watery solitudes...
rudders and masts...
and the balustrades
made of alabaster!
shattered urns…
thick floes of ice…
weep, o tattered
bows, in wild sweeps
across the cello!",pt_XX,en_XX,"weep, arches
of the cello!
convulsed,
winged bridges
of nightmare...
from which the bows,
white, flutter...
beneath them pass,
crash, the boats,
in the river.
deep, moan,
streams of weeping...
what ruins, (hear)!
if they lean,
what chasm!
trembling stars...
lake solitude...
— tillers and masts...
and the alabaster
of balustrades!
broken urns!
blocks of ice...
— weep, arches
torn,
of the cello.",1
"mulher ao mar
mayday lanço, porque a guerra dura
e está vazio o vaso em que parti
e cede ao fundo onde a vaga fura,
suga a fissura, uma falta – não
um tarro de cortiça que vogasse;
especifico: é terracota e fractura,
e eu sou esparsa, e a liquidez maciça.
tarde, sei, será, se vier socorro:
se transluz pouco ao escuro este sinal,
e a água não prevê qualquer escritura
se jazo aqui: rasura apenas, branda
a costura, fará a onda em ponto
lento um manto sobre o afogamento.","woman overboard
mayday i break out: the hard war endures;
empty is the vessel from which i part –
it slacks in the deep, bored by the sway,
a leaking slit, a lack – not in the least
a cork pail with pores made to drift.
i specify: it's terracotta, it cracks
and i am sparse in dense fluidity.
too late, i know, help will come, if ever
so feebly i flash in obscurity
and the writing does not stay on water;
here i lie: hardly an erasure, less
than a seam the wave will slowly stitch
a slumbering quilt over where i sink.",pt_XX,en_XX,"woman to the sea
mayday i launch, for war still rages on
and empty is the jar from which i fled
it yields to depths where waves do throng,
sucks the crack, a void – not
a corkscrew drum that floats and sways;
specific: it's terracotta, cracked and shatters,
i am sparse, and liquid vastness chatters.
late, i know, will come the rescue fleet
if little light this signal dimly casts,
and water knows no ink, no script, no beat
should i lie here: a gentle erasure,
sewing thread, the wave in slow degree
will drape a shroud upon my drowning spree.",1
"aqui do estômago desta baleia
a cidade é um cardume cintilante
e
a estátua de drummond tem as costas ao oceano –
[as estátuas são para os homens não para o mar]
cultivar um peixe por dentro
para um dia comê-lo
esperando uma mulher surgir da precisão da ossada
um dia somos felizes em nosso jardim cetáceo
e ela caminha suavemente ao meu lado
sonhando o domingo mais triste do mundo no subúrbio do lado de lá
um dia estamos na meia idade e bebemos porque não há opção
e o guindaste no cais estará esmagado como um inseto morto
diante das mil falhas na goela das águas
o mar está na foto dos homens não no sonho das estátuas","here from the belly of this whale
here from the belly of this whale
the city is a glittering shoal
and
drummond’s statue has its back to the ocean –
[statues are for people and not for seas]
tending the fish within
to be able to eat them one day
waiting for a woman to emerge from the precision of bones
one day we feel happy in our cetacean garden
and she walks lightly beside me
dreaming of the saddest sunday in the world in the suburbia of the other side
one day we are middle-aged and we drink because there’s no other option
and the crane on the quay will be crushed like a dead insect
facing the thousand strips of the water’s throat
the sea is in the photograph of men not in the dream of statues",pt_XX,en_XX,"from the stomach of this whale
the city is a shimmering school of fish
and
drummond's statue faces away from the ocean —
[statues are for men, not for the sea]
cultivate a fish within
to one day eat it
awaiting a woman to emerge from the precision of the skeleton
one day we are happy in our cetacean garden
and she walks softly by my side
dreaming of the saddest sunday in the world in the suburb on the other side
one day we are middle-aged and drink because there is no other choice
and the crane at the dock will be crushed like a dead insect
faced with the thousand flaws in the throat of the waters
the sea is in the photo of men, not in the dream of statues",1
"o sonho dos peixes
não posso admitir que os sonhos
sejam um privilégio das criaturas humanas.
os peixes também sonham.
no lago pantanaso, entre miasmas
que aspiram à espessa dignidade da vida,
eles sonham com os olhos sempre abertos.
os peixes sonham imóveis, na bem-aventurança
da água fétida. não são como os homens, que se agitam
em seus leitos desastrados. na verdade,
os peixes diferem de nós, que ainda não aprendemos a sonhar
e nos debatemos, como afogados, na água turva
entre imagens hediondas e espinhas de peixes mortos.
junto ao lago que eu mandei cavar,
tornando verdade um incômodo sonho de infância,
interrogo a água escura. as tilapias se escondem
de meu suspeitoso olhar de proprietário
e se recusam a ensinar-me como devo sonhar.","the dream of fishes
i cannot accept that dreams
are the privilege of human beings alone.
fish also dream.
in the swampy pond, amongst miasmas
aspiring to the thickened dignity of life,
they dream with eyes always open.
fish dream motionless, in the bliss
of fetid water. they aren’t like men, who toss
and turn in their unhappy beds. in truth,
fish are different from us, who have not yet learned to dream,
and we struggle, as if drowning, in turbid water
among hideous images and the bones of long-dead fish.
beside the pond i ordered to be hollowed out,
making a troublesome dream of childhood come true,
i question the dark water. the tilapias hide
from my suspicious owner’s gaze
and refuse to teach me how i ought to dream.",pt_XX,en_XX,"the dream of the fish
i cannot accept that dreams
are a privilege of human creatures.
the fish dream too.
in the pantanaso lake, among miasmata
that aspire to the thick dignity of life,
they dream with eyes always open.
the fish dream motionless, in the blessedness
of the fetid water. they are not like men, who thrash
in their clumsy beds. in fact,
the fish differ from us, who have yet to learn to dream
and struggle, like drowning men, in the murky water
among hideous images and bones of dead fish.
near the lake i had ordered to dig,
making true an inconvenient childhood dream,
i question the dark water. the tilapias hide
from my suspicious owner's gaze
and refuse to teach me how to dream.",1
"dois rios
o corpo dividido em duas partes
fechadas
à chave uma na outra, avanço
num duplo coração como se fosse
ao mesmo tempo num só barco por dois rios.","two rivers
with my body split into two halves
locked up
one inside the other, i advance
in a double heart as if
in one boat plying two rivers.",pt_XX,en_XX,"two rivers
the body split into two parts
locked
with keys within each other, I advance
in a double heart as if it were
at the same time in one boat on two rivers.",1
"o rei
o mar está-nos no corpo; enquanto alguém
a quem o coração serve de rei
dispõe no tabuleiro as outras peças
rebenta-lhe na mão; há entre as peças
e o mar cumplicidades de que só
quem joga estima o peso em cada lance.","the king
the sea’s in our body. while someone
whose heart is his king
arrays the other pieces on the chessboard
it breaks in his hand. between the pieces
and the sea there’s a complicity whose weight
only a player feels, with each move he makes.",pt_XX,en_XX,"the king
the sea is in our bodies; while someone
who has a heart for king
sets out the other pieces on the board
they burst in hand; there are between the pieces
and the sea, complicity that only
those who play understand the weight in every move.",1
"como quando do mar tempestuoso
o marinheiro, lasso e trabalhado,
d’um naufrágio cruel já salvo a nado,
só ouvir falar nele o faz medroso;
e jura que em que veja bonançoso
o violento mar, e sossegado
não entre nele mais, mas vai, forçado
pelo muito interesse cobiçoso;
assi, senhora, eu, que da tormenta
de vossa vista fujo, por salvar-me,
jurando de não mais em outra ver-me;
minh’alma que de vós nunca se ausenta,
dá-me por preço ver-vos, faz tornar-me
donde fugi tão perto de perder-me.","shipwreck
like the weary sailor, the refugee
from wreck and storm, who escapes half-dead,
and then, in terror, shudders with dread
at the very mention of the name of the ‘sea’;
who swears he’ll never sail again, who raves
he’ll stay at home, even on the calmest days,
but then, in time, forgets his fearful ways,
and seeks, again, his fortune above the waves;
i, too, have barely escaped the storms that revolve
around you, my love, traveling far away,
vowing to avoid another catastrophe,
but i can’t, the thought of you breaks my resolve,
and so, i return to where, on that fateful day,
i nearly drowned in your tempestuous sea.",pt_XX,en_XX,"like when from a stormy sea
the weary sailor, labored and tried,
from a shipwreck cruel, already saved by water,
just hearing it spoken of makes him fearful;
and he swears that in seeing it peaceful and calm
the violent sea, and at peace,
he will not enter it again, but is driven
by his very greedy interest;
thus, my lady, I, from the storm
of your gaze flee, to save myself,
swearing never to see myself in another;
my soul which from you never absents itself,
it gives me as a price to see you, makes me return
from where I fled so close to losing myself.",1
"pois meus olhos não cansam de chorar
tristezas, que não cansam de cansar-me;
pois não abranda o fogo em que abrasar-me
pôde quem eu jamais pude abrandar;
não canse o cego amor de me guiar
a parte donde não saiba tornar-me;
nem deixe o mundo todo de escutar-me,
enquanto me a voz fraca não deixar.
e se nos montes, rios, ou em vales,
piedade mora, ou dentro mora amor
em feras, aves, prantas, pedras, águas,
ouçam a longa história de meus males
e curem sua dor com minha dor;
que grandes mágoas podem curar mágoas.","since my eyes don’t tire of weeping . . .
since my eyes don’t tire of weeping
sorrows that don’t tire of weighing on me,
since nothing softens the fire i burn in
for one whose heart i could never soften,
let blind love be my tireless guide
to lands i don’t know my way out of,
and let the whole world keep on listening
as long as my weak voice doesn’t fail.
and if there’s pity in hills, rivers
and valleys, or if there’s love in beasts,
birds, plants, stones and streams,
let them hear my long tale of troubles
and use my sorrow to cure their own,
since greater griefs can cure smaller ones.",pt_XX,en_XX,"for my eyes never tire of weeping
sorrows that tire of tiring me;
for the fire that consumes me burns ever
kindled by whom I cannot tame;
let blind love tire not of leading me
to where I cannot find return;
nor let the whole world cease to hear me,
while my faint voice still has breath left.
and if in hills, rivers, or valleys,
pity dwells, or love within beasts, birds, plants, stones, waters,
hear the long tale of my woes
and heal your pain with my pain;
for great sorrows can heal sorrows.",1
"da transparência
senhor libertai-nos do jogo perigoso da transparência
no fundo do mar da nossa alma não há corais nem búzios
mas sufocado sonho
e não sabemos bem que coisa são os sonhos
condutores silenciosos canto surdo
que um dia subitamente emergem
no grande pátio liso dos desastres","transparency
lord free us from the dangerous game of transparency
there are no corals or shells on the sea floor of our soul
just a smothered dream
and we don’t really know what dreams are
silent conductors faint songs
which one day suddenly appear
on the broad flat patio of disasters",pt_XX,en_XX,"Of transparency
Lord, free us from the perilous game of transparency
In the depths of the sea of our soul, there are no corals or conches
But suffocated dreams
And we're not quite sure what dreams are
Silent conductors, muffled song
That one day suddenly emerge
In the large smooth courtyard of disasters",1
"meio-dia
meio-dia. um canto da praia sem ninguém.
o sol no alto, fundo, enorme, aberto,
tornou o céu de todo o deus deserto.
a luz cai implacável como um castigo.
não há fantasmas nem almas,
e o mar imenso solitário e antigo,
parece bater palmas.","midday
midday. a corner of the deserted beach.
the huge, deep, open sun on high
has chased all the gods from the sky.
the harsh light falls like a punishment.
there are no ghosts and no souls,
and the vast, ancient, solitary sea
loudly claps its hands.",pt_XX,en_XX,"midday
midday. a beach's song without a soul.
the sun high, deep, vast, wide, bereft,
emptied the sky of god's own self.
the light falls relentless like a curse.
no phantoms or spirits here,
and the ancient, lonely vast sea,
seems to clap in silent cheer.",1
