original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"amar!
eu quero amar, amar perdidamente!
amar só por amar: aqui... além...
mais este e aquele, o outro e toda a gente
amar! amar! e não amar ninguém!
recordar? esquecer? indiferente!...
prender ou desprender? é mal? é bem?
quem disser que se pode amar alguém
durante a vida inteira é porque mente!
há uma primavera em cada vida:
é preciso cantá-la assim florida,
pois se deus nos deu voz, foi pra cantar!
e se um dia hei-de ser pó, cinza e nada
que seja a minha noite uma alvorada,
que me saiba perder... pra me encontrar...","to love!
i want to love, to be lost in love!
to love just to love: here... there...
this one, that one, another one,
everyone! to love and not love anyone!
remember? forget? it’s all the same!...
hold on or let go? wrong? or right?
those who say they can love someone
their whole life long are telling a lie!
there is in every life a spring.
when it flowers, it must be sung.
the voice god gave us is for singing!
if i must come to ashes, dust,
nothing, then let my night be a dawn
and let me be lost... to find myself...",pt_XX,en_XX,"<unk> <unk> <unk> .
I want to love to love <unk> .
Just love for <unk> <unk> <unk> .
And everybody else and everyone else and everyone else is going to join the other and the
<unk> <unk> and loving <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> or <unk> is <unk> is <unk> .
Who says that you can love someone who says that you can love anyone who says that
During the entire lifetime , it &apos;s because <unk> is <unk> .
There &apos;s a spring in each <unk> .
You need to <unk> this <unk> .
Because if God gave us <unk> was <unk> .
And if one day , they were <unk> <unk> and nothing .
That &apos;s my night .
I &apos;m going to tell you that I would teach you about me .",1
"linha de rumo
quem não me deu amor, não me deu nada.
encontro-me parado. . .
olho em redor e vejo inacabado
o meu mundo melhor.
tanto tempo perdido . . .
com que saudade o lembro e o bendigo:
campos de flores
e silvas . . .
fonte da vida fui. medito. ordeno.
penso o futuro a haver.
e sigo deslumbrado o pensamento
que se descobre.
quem não me deu amor, não me deu nada.
desterrado,
desterrado prossigo.
e sonho-me sem pátria e sem amigos,
adrede.","mapping the course
those who didn’t give me love, didn’t give me anything.
i find myself standing still . . .
i look around and see
my better world unfinished.
so much time lost . . .
with what nostalgia i remember it and bless it all:
fields of flowers
and brambles . . .
i was a spring of life. i deliberate. i make order.
i think the future that will come.
and, dazzled, i follow the thought
that shows itself.
those who didn’t give me love, didn’t give me anything.
banished,
banished, i travel on.
and dream myself without a country, without a friend.
wittingly.",pt_XX,en_XX,"line line line .
<unk> didn &apos;t give me <unk> .
<unk> <unk> .
I look around and see unfinished .
My <unk> world .
.
I wish I would remember and the <unk> .
flowers of flowers .
.
<unk> <unk> <unk> <unk> <unk> <unk> .
I think the future <unk> the future .
And I follow the <unk> .
And that &apos;s <unk> .
<unk> didn &apos;t give me <unk> .
<unk> <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and <unk> without <unk> and without <unk> .
<unk> <unk> <unk> .",1
"amigos perdidos
os amigos levados pela vida
são os mais difíceis de aplacar, os mais
tiranos. bárbaros de um país desconhecido,
bebem à taça os venenos do silêncio e crescem
desmedidamente na distância, desentendidos
da nossa solidão. e pensar que já fomos
irmãos de armas, que desenterrámos tesouros
nas mesmas ilhas, nos livros
mais inóspitos. como são as coisas.
terá sido tudo em vão? dir-se-ia
que estávamos predestinados às mesmas
canções, a uma espécie mais certa de amor.
pois sim. nem sequer compreendemos
o que nos aconteceu.","lost friends
friends carried off by life
are the most difficult to appease, the most
tyrannical. barbarians of an unknown land,
they sip the poison of silence and they grow
beyond all limits in the distance, a blind eye
to our loneliness. and to think that we were
brothers in arms, that we dug up buried treasure
from the same islands, from the most
barren of books. how things turn out.
could all have been in vain? it seemed
that we were destined for the same
songs, for a more certain kind of love.
well, well. and we cannot even understand
what happened.",pt_XX,en_XX,"lost friends lost friends lost friends lost friends lost friends lost friends lost friends lost friends
Your friends brought by life .
These are the hardest ones to <unk> the most of them .
<unk> <unk> from a <unk> country .
We drink the <unk> of silence and the <unk> .
<unk> in <unk> <unk> .
Our <unk> and thinking that we &apos;ve been in our <unk> .
brothers of <unk> who <unk> treasures .
In the same <unk> in the same <unk> .
More <unk> like the <unk> are <unk> .
It &apos;s going to be all in <unk> <unk> .
We were <unk> to the same .
We have to go into a more right species of <unk> .
Because we don &apos;t even understand that we can &apos;t even understand it .
What would we do about us ?",1
"sempre, cruel senhora, receei,
medindo vossa grã desconfiança,
que desse em desamor vossa tardança,
e que me perdesse eu, pois vos amei.
perca-se, enfim, já tudo o que esperei,
pois noutro amor já tendes esperança.
tão patente será vossa mudança,
quanto eu encobri sempre o que vos dei.
dei-vos a alma, a vida e o sentido;
de tudo o que em mim há vos fiz senhora.
prometeis e negais o mesmo amor.
agora tal estou que, de perdido,
não sei por onde vou, mas algũ’hora
vos dará tal lembrança grande dor.","cruel senhora
cruel senhora, i’ve always been wary. i knew
i needed to watch you closely in case
your doubts would surge to disaffection and erase
our love. then i’d be ruined, since i love only you.
and now, everything i’d hope to have is lost:
you’re pursuing another lover. so i detach
myself, believing your retribution will match
the sacrificial depths my love has cost:
i’ve given my soul, my senses, and my life to you;
i’ve given you everything i have within me,
and you promised love, but now, there’s only disdain.
lost and hopeless, i don’t know what to do,
yet i know the day will come when this memory
will crush you down with terrifying pain.",pt_XX,en_XX,"<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> your <unk> <unk> .
That in <unk> your <unk> .
And that was lost to me because I would give you <unk> .
<unk> <unk> all over the place .
Because another love is already <unk> <unk> .
It &apos;s going to be your <unk> .
I &apos;ve always wondered what I would do to you all the time .
I encourage you to the life and the <unk> .
I &apos;ve given you all of the things that I &apos;ve been doing to you .
<unk> and <unk> the same <unk> .
Now , I &apos;m <unk> from <unk> .
I don &apos;t know where we &apos;re going to go .
It will give you such enormous <unk> .",1
"alma minha gentil, que te partiste
tão cedo desta vida descontente,
repousa lá no céu eternamente,
e viva eu cá na terra sempre triste.
se lá no assento etéreo, onde subiste,
memória desta vida se consente,
não te esqueças daquele amor ardente
que já nos olhos meus tão puro viste.
e se vires que pode merecer-te
algũa cousa a dor que me ficou
da mágoa, sem remédio, de perder-te,
roga a deus, que teus anos encurtou,
que tão cedo de cá me leve a ver-te,
quão cedo de meus olhos te levou.","dear gentle soul, you that departed . . .
dear gentle soul, you that departed
this life so soon and reluctantly,
rest in heaven eternally
while i remain here, broken-hearted.
if there in the ethereal skies
memories are still allowed to move,
do not forget that ardent love
you once saw shining in my eyes.
and if you judge there might be merit,
however small, in this pain that stays,
grieving with nothing to repair it,
petition god, who cut short your days,
to take me to you, in that reckless spirit
he used to summon you from my gaze.",pt_XX,en_XX,"<unk> my <unk> .
Such early lives of this life were early .
It &apos;s on the <unk> sky .
And I live on earth every single time .
And if in the <unk> seat , where do you get there ?
memory of this life is <unk> .
Remember that passionate love .
Which in my eyes is so pure .
And if you &apos;ll see it can <unk> you .
<unk> <unk> the pain that got to me .
<unk> <unk> without <unk> <unk> .
I would encourage you to the <unk> that you years <unk> .
I &apos;m just so early to <unk> me to <unk> .
Just how early my eyes would get to you .",1
"transforma-se o amador na cousa amada,
por virtude do muito imaginar;
não tenho, logo, mais que desejar,
pois em mim tenho a parte desejada.
se nela está minh’alma transformada,
que mais deseja o corpo de alcançar?
em si sòmente pode descansar,
pois consigo tal alma está liada.
mas esta linda e pura semideia,
que, como um acidente em seu sujeito,
assi co a alma minha se conforma,
está no pensamento como ideia:
o vivo e puro amor de que sou feito,
como a matéria simples busca a forma.","the lover becomes the thing he loves . . .
the lover becomes the thing he loves
by virtue of much imagining;
since what i long for is already in me,
the act of longing should be enough.
if my soul becomes the beloved,
what more can my body long for?
only in itself will it find peace,
since my body and soul are linked.
but this pure, fair demigoddess,
who with my soul is in accord
like an accident with its subject,
exists in my mind as a mere idea;
the pure and living love i’m made of
seeks, like simple matter, form.",pt_XX,en_XX,"It becomes the amateur <unk> .
I mean , by the very <unk> virtue of the very <unk> by virtue of the
<unk> <unk> more than <unk> <unk> .
Because I have the <unk> part .
It &apos;s <unk> <unk> .
The more I wish the body of <unk> .
<unk> can <unk> itself .
Because I can get this soul .
But this beautiful and pure <unk> .
<unk> like an accident in their <unk> .
<unk> <unk> my soul if <unk> <unk> .
It &apos;s in thinking as <unk> .
I live and pure love that I &apos;m <unk> .
It &apos;s how simple it is to search for <unk> .",1
"erros meus, má fortuna, amor ardente
em minha perdição se conjuraram;
os erros e a fortuna sobejaram,
que para mim bastava o amor somente.
tudo passei; mas tenho tão presente
a grande dor das cousas que passaram,
que as magoadas iras me ensinaram
a não querer já nunca ser contente.
errei todo o discurso de meus anos;
dei causa [a] que a fortuna castigasse
as minhas mal fundadas esperanças.
de amor não vi senão breves enganos.
oh! quem tanto pudesse que fartasse
este meu duro génio de vinganças!","my errors, cruel fortune and ardent love . . .
my errors, cruel fortune and ardent love
conspired to bring about my ruin;
the errors and fortune were superfluous,
since love alone would have done as much.
although it’s over, the dreadful pain
of what i suffered is still so vivid
that i, with bitter rage, have learned
never to try to be happy again.
in life and words i’ve always strayed,
giving fortune cause to punish
my poorly founded hopes.
in love i’ve known just brief illusions.
oh! if only my ruthless genius
would have its fill of wreaking vengeance!",pt_XX,en_XX,"<unk> mistakes <unk> bad love .
In my <unk> , if I <unk> in my <unk> .
<unk> and fortune <unk> the <unk> .
Which for me was the love of <unk> .
But I have so present .
The great pain of the <unk> <unk> the great pain of the <unk>
<unk> <unk> taught me that they taught me .
I don &apos;t want to be <unk> anymore .
I <unk> all my <unk> speech .
And I found <unk> that the <unk> fortune .
My bad news was <unk> .
I didn &apos;t see how quickly I saw <unk> <unk> .
<unk> who could so much believe that he could <unk> that he could
This is my favorite genius of <unk> .",1
"busque amor novas artes, novo engenho,
para matar-me, e novas esquivanças;
que não pode tirar-me as esperanças,
que mal me tirará o que eu não tenho.
olhai de que esperanças me mantenho!
vede que perigosas seguranças!
que não temo contrastes nem mudanças,
andando em bravo mar, perdido o lenho.
mas, conquanto não pode haver desgosto
onde esperança falta, lá me esconde
amor um mal, que mata e não se vê.
que dias há que n’alma me tem posto.
um não sei quê, que nasce não sei onde,
vem não sei como, e doi não sei porquê.","may love seek out new arts, devise a plot . . .
may love seek out new arts, devise a plot
to kill me, and discover new disdain;
for robbing me of hope will be in vain,
since it can scarcely take what i’ve not got.
behold the kind of hopes on which i stand!
and see how perilous my certainties!
for i fear neither change nor enmities,
ploughing the sea, lost far from any land.
and yet, although one cannot pay grief’s toll
where hope is gone, still love has hidden there
for me an ill, that kills and can’t be seen;
how long ago did love place in my soul
i don’t know what, born i don’t know where,
come i don’t know how, nor why it aches so keen.",pt_XX,en_XX,"New <unk> love new <unk> <unk> new <unk> <unk> new <unk> <unk> <unk> new <unk> <unk>
<unk> and new <unk> .
It can &apos;t take away the <unk> .
I don &apos;t know what I didn &apos;t hurt .
I made sure that I would encourage you to know me .
It reminds us that dangerous dangerous danger .
I don &apos;t fear <unk> or <unk> .
And he &apos;s in <unk> <unk> the <unk> .
<unk> <unk> cannot be heartbreak .
Where hope is there to hide me in there .
Love one that kills and doesn &apos;t kill you .
I &apos;ve got to <unk> that days .
I don &apos;t know <unk> that I don &apos;t know <unk> .
I don &apos;t know <unk> and <unk> , I don &apos;t know <unk> .",1
"quem vê, senhora, claro e manifesto
o lindo ser de vossos olhos belos,
se não perder a vista só em vê-los,
já não paga o que deve a vosso gesto.
este me parecia preço honesto;
mas eu, por de vantagem merecê-los,
dei mais a vida e alma por querê-los,
donde já me não fica mais de resto.
assi que a vida e alma e esperança
e tudo quanto tenho, tudo é vosso,
e o proveito disso eu só o levo.
porque é tamanha bem-aventurança
o dar-vos quanto tenho e quanto posso
que, quanto mais vos pago, mais vos devo.","whoever, lady, sees plainly on view . . .
whoever, lady, sees plainly on view
your beautiful eyes in their lustrous being
without being blinded in the act of seeing
is already not paying your face’s due.
this seems to me an honest price,
but i, for the merit of deserving them,
gave both life and soul to serve them
apart from which i am without resource.
enough that life and soul and hope
and as much as i have is all yours,
and the proof of this i alone know.
for such good fortune is beyond scope
giving you all that is in my power
as the more i pay you, the more i owe.",pt_XX,en_XX,"<unk> <unk> and <unk> <unk> .
The beautiful thing to be of your eyes is <unk> .
If we don &apos;t lose sight in <unk> .
You no longer pay your <unk> .
This seemed to me <unk> .
But it &apos;s by <unk> advantage .
I found more life and soul for <unk> .
It &apos;s no longer more than <unk> .
I think that life and soul and hope ...
And everything about everything is <unk> everything is <unk> .
And the advantage of that is just the <unk> .
Because it &apos;s <unk> <unk> .
give you how much I have and how much I can and how much I can
I &apos;ll tell you more about how much more I will give you to give you",1
"amor é um fogo que arde sem se ver,
é ferida que doi, e não se sente;
é um contentamento descontente,
é dor que desatina sem doer.
é um não querer mais que bem querer;
é um andar solitário entre a gente;
é nunca contentar-se de contente;
é um cuidar que ganha em se perder.
é querer estar preso por vontade;
é servir a quem vence, o vencedor;
é ter com quem nos mata, lealdade.
mas como causar pode seu favor
nos corações humanos amizade,
se tão contrário a si é o mesmo amor?","love is a fire that burns unseen . . .
love is a fire that burns unseen,
a wound that aches yet isn’t felt,
an always discontent contentment,
a pain that rages without hurting,
a longing for nothing but to long,
a loneliness in the midst of people,
a never feeling pleased when pleased,
a passion that gains when lost in thought.
it’s being enslaved of your own free will;
it’s counting your defeat a victory;
it’s staying loyal to your killer.
but if it’s so self-contradictory,
how can love, when love chooses,
bring human hearts into sympathy?",pt_XX,en_XX,"Love is a fire that burns without <unk> .
It &apos;s injured that <unk> and <unk> .
It &apos;s a <unk> <unk> .
It &apos;s pain that <unk> without <unk> <unk> .
It &apos;s a little bit more like <unk> .
It &apos;s a lonely walk between <unk> .
It &apos;s never <unk> of <unk> .
It &apos;s a caring for it to win .
You want to be stuck by <unk> .
It &apos;s to serve the <unk> .
It &apos;s having to get to us .
But how do you cause it to favor it ?
In human human hearts .
<unk> itself is the same <unk> .",1
