original_poem,translated_poem,src_lang,tgt_lang,topic
"texto de apresentação
1.
é-me indiferente: poeta, poetisa
dependerá do ritmo ou da medida –
prefiro tradutora, mas admito
que por vezes não dobro e sou narcisa.
2.
a minha primeira poesia era
sobre chuva e choro. hoje seria
prosa, ou sobre chuva e a pólvora:
chove fora viola o vento o vidro,
a rua nunca é como os prospectos –
o meu bilhete ao mundo, espeto-o
com delicado verbo ao coração.
rebenta, murcho músculo entupido –
mil vezes fosse a vida a excepção.
3.
se o rigor do verso não visa qualquer prova
senão procura –
ou provar o que seja de sabor.
se não escrevo por encomenda
senão por ventura serôdia
4.
posso posar, certamente,
para a máquina fotográfica,
moldar a boca ao disparo ou regular
a abertura ao diafragma. dependente
do papel revelador –
modelo artista presa, sou como todos:
as vidas que não toco interessam-me
num desequilíbrio de voracidade e avareza.
antes ainda assim me conheçam de vista
que de revista.","introductory text
1.
for me it makes little difference: poet, poetess –
depends on the measure, and the stress –
i prefer translator, but admit
that i sometimes can’t be plied, i’m a narcissist.
2.
my earliest poetry was about rain
and weeping. today it would be
prose and rain, or gunpowder:
it's raining out, wind rapes the window,
a street is never like the brochures –
with fine eloquence i stab my note
to the world through my heart.
it bursts, withered muscle bloat –
a thousand times that life were more than art.
3.
if the line’s strict measure doesn’t aim to show
but is a seeking instead –
or is the taste of what it finds . . .
if i don’t write to order,
but showered by latter rain.
4.
certainly, i can pose
for the camera,
mold my mouth to the click, close
down the diaphragm. it depends
how the roll is developed –
model artist prey, i’m like everyone:
the lives i don’t touch interest me
in uneven parts of avarice and voracity.
before they know me, period,
they know me periodically.",pt_XX,en_XX,1
"palco
o poema é antes de tudo
um palco para gestos simples
eu rego as flores de junho","stage
the poem is above all else
a stage for simple gestures
i water the june flowers",pt_XX,en_XX,1
"poema
as coisas mais simples, ouço-as no intervalo
do vento, quando um simples bater de chuva nos
vidros rompe o silêncio da noite, e o seu ritmo
se sobrepõe ao das palavras. por vezes, é uma
voz cansada, que repete incansavelmente
o que a noite ensina a quem a vive; de outras
vezes, corre, apressada, atropelando sentidos
e frases como se quisesse chegar ao fim, mais
depressa do que a madrugada. são coisas simples
como a areia que se apanha, e escorre por
entre os dedos enquanto os olhos procuram
uma linha nítida no horizonte; ou são as
coisas que subitamente lembramos, quando
o sol emerge num breve rasgão de nuvem.
estas são as coisas que passam, quando o vento
fica; e são elas que tentamos lembrar, como
se as tivéssemos ouvido, e o ruído da chuva nos
vidros não tivesse apagado a sua voz.","poem
it’s the simplest things that i hear in the wind’s
intervals, when the simple beating of the rain
on the windows breaks the silence of night, and its rhythm
overwhelms that of words. sometimes, it is a
tired voice, that tirelessly repeats
what the night teaches those who live it; other
times, it runs, hurriedly, mowing down meanings
and phrases as though it wanted to reach the end, more
quickly than the dawn. we’re talking about simple things,
like the sand which is scooped up, and runs
through your fingers while your eyes search
for a clear line on the horizon; or things
that we suddenly remember, when
the sun emerges from a brief tear in the clouds.
these are the things that happen, when the wind
remains; and it is these we try to recall, as though
we had heard them, and the noise of the rain
on the windowpanes had not snuffed out their voice.",pt_XX,en_XX,1
"o meu poema teve um esgotamento nervoso.
já não suporta mais as palavras.
diz às palavras: palavras
ide embora,
ide procurar outro poema
onde habitar.
o meu poema tem destas coisas
de vez em quando.
posso vê-lo: ali distendido
em cama de linho muito branco
sem perspectivas ou desejo
quedando-se num silêncio
pálido
como um poema clorótico.
pergunto-lhe: posso fazer alguma coisa por ti?
mas apenas me fixa o olhar;
fica a li a fitar-me de olhos vazios
e boca seca.","my poem had a nervous breakdown
my poem had a nervous breakdown.
it cannot bear words any longer.
it tells the words: words
go thither,
to another poem
where thou can live.
this sort of thing can happen to my poem
from time to time.
i can picture it: spread all over
the white linen bed
without prospect or desire
locked into silence
pale
like a chlorotic poem.
i ask: can i do anything for thee?
but it just stares at me;
it sits there looking empty-eyed
dry mouthed.",pt_XX,en_XX,1
"como se faz o poema
para falarmos do meio de obter o poema,
a retórica não serve. trata-se de uma coisa simples, que não
precisa de requintes nem de fórmulas. apanha-se
uma flor, por exemplo, mas que não seja dessas flores que crescem
no meio do campo, nem das que se vendem nas lojas
ou nos mercados. é uma flor de sílabas, em que as
pétalas são as vogais, e o caule uma consoante. põe-se
no jarro da estrofe, e deixa-se estar. para que não morra,
basta um pedaço de primavera na água, que se vai
buscar à imaginação, quando está um dia de chuva,
ou se faz entrar pela janela, quando o ar fresco
da manhã enche o quarto de azul. então,
a flor confunde-se com o poema, mas ainda não é
o poema. para que ele nasça, a flor precisa
de encontrar cores mais naturais do que essas
que a natureza lhe deu. podem ser as cores do teu
rosto – a sua brancura, quando o sol vem ter contigo,
ou o fundo dos teus olhos em que todas as cores
da vida se confundem, com o brilho da vida. depois,
deito essas cores sobre a corola, e vejo-as descerem
para as folhas, como a seiva que corre pelos
veios invisíveis da alma. posso, então, colher a flor,
e o que tenho na mão é este poema que
me deste.","how to make a poem
if we’re going to talk about how to make a poem,
rhetoric has nothing to do with it. it’s simpler than that, and doesn’t
require subtleties or formulas. pick
a flower, for example, but not one of those flowers that grow
in the middle of fields, nor the ones they sell in stores,
or in the markets. a flower of syllables rather, in which the
petals are vowels, and the stem is the consonant. place it
in the vase of the stanza, and let it be. so that it doesn’t die,
it’s enough to put a little spring in the water, which,
on a rainy day, is fetched from the imagination,
or is pushed in through the window when the cool air
of morning fills the blue room. this is when
the flower begins to seem like a poem, but it’s still not
the poem. for it to really sprout, the flower needs
to find more natural colors than those
which nature gave it. they might be the colors
of your complexion – its whiteness, when the sun falls on you,
or the depths of your eyes in which all the colors
of life mix with the sheen of life. after that,
i pour these colors over the corolla, and watch them descend
to the leaves, like sap which runs through
the invisible veins of the soul. i can then pick the flower,
and what i have in my hand is this poem
that you gave me.",pt_XX,en_XX,1
"chuva de pedras - ken loach (1993)
os desempregados, por definição, não têm
cara. deve ser embaraçoso não ter cara. daí
talvez o motivo por que se escondem de nós.
escondem-se nas ruas, nos bancos de jardim,
nas paragens de autocarro, escondem-se
no pão, no teu porta-moedas, nos poemas
mal escritos ou nos filmes realistas ingleses.
onde sabem que ninguém os irá importunar.","raining stones - ken loach (1993)
the unemployed, by definition, have no
face. it must be embarrassing not to have
a face. maybe that’s why they hide from us.
they hide in the streets, on park benches,
at bus stops. they hide in your bread,
in your purse, in badly written
poems or in realist british films.
where they know no one will bother them.",pt_XX,en_XX,1
"autopsicografia
o poeta é um fingidor.
finge tão completamente
que chega a fingir que é dor
a dor que deveras sente.
e os que lêem o que escreve,
na dor lida sentem bem,
não as duas que ele teve,
mas só a que eles não têm.
e assim nas calhas da roda
gira, a entreter a razão,
esse comboio de corda
que se chama o coração.","autopsychography
the poet is a faker
who’s so good at his act
he even fakes the pain
of pain he feels in fact.
and those who read his words
will feel in his writing
neither of the pains he has
but just the one they’re missing.
and so around its track
this thing called the heart winds,
a little clockwork train
to entertain our minds.",pt_XX,en_XX,1
"uma inocência
aves devoram o lixo.
debatem-se sob o peso da gula
investindo ciladas, disposições
de onde se isenta a alma.
flap, flap, flap, fazem asas
no negro plástico. tu paras.
por vontade alheia observas.
por aforismos sagras
as razões dos que desesperam.
o que faz a poesia?
remir e remir e remir
como as asas espancando
o negro plástico, flap, flap, flap.
sagras as razões
dos que desesperam,
as implicações disfóricas
da imaginação, o mundo
extinguindo-se como a luz
do quarto de infância,
o sumptuoso plástico espancado,
aquilo a que viraste costas
e que não teima existir.
o que faz a poesia?
remir por certo tipo de palavras
certo tipo de coisas certo tipo
de asas flap flap flap certo tipo
de razões desesperadas.","a certain innocence
birds devour the garbage.
gluttony makes them scramble,
contriving ambushes, machinations
which the soul has no part in.
their wings go flap flap flap
in the black plastic. you stop.
something makes you observe.
with aphorisms you sanctify
the reasons of those who despair.
what does poetry do?
it redeems and redeems and redeems
like those wings thrashing
the black plastic, flap flap flap.
you sanctify the reasons
of those who despair,
the anguishing implications
of the imagination, the world
going out like the light
in the room of childhood,
thrashing the sumptuous plastic,
all that you turned your back on
and that doesn’t demand to exist.
what does poetry do?
it redeems certain types of things
through a certain type of words a certain
type of wings flap flap flap a certain type
of desperate reasons.",pt_XX,en_XX,1
"algumas proposições com pássaros e árvores que
o poeta remata com uma referência ao coração
os pássaros nascem na ponta das árvores
as árvores que eu vejo em vez de fruto dão pássaros
os pássaros são o fruto mais vivo das árvores
os pássaros começam onde as árvores acabam
os pássaros fazem cantar as árvores
ao chegar aos pássaros as árvores engrossam movimentam-se
deixam o reino vegetal para passar a pertencer ao reino animal
como pássaros poisam as folhas na terra
quando o outono desce veladamente sobre os campos
gostaria de dizer que os pássaros emanam das árvores
mas deixo essa forma de dizer ao romancista
é complicada e não se dá bem na poesia
não foi ainda isolada da filosofia
eu amo as árvores principalmente as que dão pássaros
quem é que lá os pendura nos ramos?
de quem é a mão a inúmera mão?
eu passo e muda-se-me o coração","a few propositions with birds and trees that
the poet concludes with a reference to the heart
birds are born on the tips of trees
the trees i see yield birds instead of fruit
birds are the liveliest fruit of trees
birds begin where trees end
birds make the trees sing
on reaching the height of birds the trees swell and stir
passing from the vegetable to the animal kingdom
like birds their leaves alight on the ground
when autumn quietly falls over the fields
i feel like saying that birds emanate from the trees
but i’ll leave that manner of speaking to the novelist
it’s complicated and doesn’t work in poetry
it still hasn’t been isolated from philosophy
i love trees especially those that yield birds
who hangs them there on the branches?
whose hand is it whose myriad hand?
i pass by and my heart’s not the same",pt_XX,en_XX,1
"poema podendo servir de posfácio
ruas onde o perigo é evidente
braços verdes de práticas ocultas
cadáveres à tona de água
girassóis
e um corpo
um corpo para cortar as lâmpadas do dia
um corpo para descer uma paisagem de aves
para ir de manhã cedo e voltar muito tarde
rodeado de anões e de campos de lilases
um corpo para cobrir a tua ausência
como uma colcha
um talher
um perfume
isto ou o seu contrário, mas de certa maneira hiante
e com muita gente à volta a ver o que é
isto ou uma população de sessenta mil almas devorando almofadas escarlates a caminho do mar
e que chegam, ao crepúsculo,
encostadas aos submarinos
isto ou um torso desalojado de um verso
e cuja morte é o orgulho de todos
ó pálida cidade construída
como uma febre entre dois patamares!
vamos distribuir ao domicílio
terra para encher candelabros
leitos de fumo para amantes erectos
tabuinhas com palavras interditas
– uma mulher para este que está quase a perder o gosto à vida – tome lá –
dois netos para essa velha aí no fim da fila – não temos mais –
saquear o museu dar um diadema ao mundo e depois obrigar a repor no mesmo sítio
e para ti e para mim, assentes num espaço útil,
veneno para entornar nos olhos do gigante
isto ou um rosto um rosto solitário como barco em demanda de vento calmo para a noite
se nós somos areia que se filtre
a um vento débil entre arbustos pintados
se um propósito deve atingir a sua margem como as correntes da terra náufragos e tempestade
se o homem das pensões e das hospedarias levanta a sua fronte de cratera molhada
se na rua o sol brilha como nunca
se por um minuto
vale a pena
esperar
isto ou a alegria igual à simples forma de um pulso
aceso entre a folhagem das mais altas lâmpadas
isto ou a alegria dita o avião de cartas
entrada pela janela saída pelo telhado
ah mas então a pirâmide existe?
ah mas e então a pirâmide diz coisas?
então a pirâmide é o segredo de cada um com o mundo?
sim meu amor a pirâmide existe
a pirâmide diz muitíssimas coisas
a pirâmide é a arte de bailar em silêncio
e em todo o caso
há praças onde esculpir um lírio
zonas subtis de propagação do azul
gestos sem dono barcos sob as flores
uma canção para ouvir-te chegar","a poem that can serve as an afterword
streets where the danger is obvious
green arms of occult practices
corpses floating on the water
sunflowers
and a body
a body for blocking the day’s lamps
a body for falling through a landscape of birds
for going out early in the morning and coming back very late
surrounded by dwarfs and lilac fields
a body for covering your absence
like a bedspread
a place setting
a perfume
this or its contrary, but somehow gaping
and with many people there to see what it is
this or a population of sixty thousand souls devouring scarlet pillows on their way to the sea
and arriving, at dusk,
next to the submarines
this or a torso dislodged from a verse
and whose death makes everyone proud
o pallid city built
like a fever between two floors!
we’ll home deliver
dirt for filling up candelabras
smoldering beds for erect lovers
slates with forbidden words
– a woman for the fellow who’s losing interest in life (here, take her!),
two grandchildren for the old woman at the end of the line (that’s all we have!) –
we’ll pillage the museum give a diadem to the world and then require it to be put back in the same place,
and for you and for me, favorably situated,
some poison to pour into the giant’s eyes
this or a face a solitary face like a boat in search of a gentle breeze for the night
if we’re sand that’s sifted
in a slack wind among painted bushes
if an intention is bound to reach its shore like the ocean’s currents shipwrecks and storms
if the man of hostels and boardinghouses lifts his damp cratered forehead
if the sun outside is shining more than ever
if for a minute
it’s worth
waiting
this or happiness in the simple form of a pulse
shimmering amid the foliage of the loftiest lamps
this or the said happiness the airplane of cards
that comes in through the window that goes out by the roof
so does the pyramid exist?
so does the pyramid say things?
is the pyramid each person’s secret with the world?
yes my love the pyramid exists
the pyramid says many many things
the pyramid is the art of dancing in silence
and in any case
there are public squares where a lily can be sculpted
subtle regions where blueness flows
gestures belonging to no one boats underneath flowers
a song by which to hear you arrive",pt_XX,en_XX,1
