original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"diana
“eu cá também não gosto, há mais coisas
além deste desconchavo”, dizia marianne
moore da poesia. de resto, conseguia
ver mitocôndrias e as demais
pequenas vidas – olho fixo
na miúda mancha de aguarela
comprimida entre vidros de lamela
redonda a pupila em maravilha
prévia ao mistério: saber o que era.
mais importa observar ou designar?
eu erro no olhar receio às vezes
esqueço a árvore onde deixei as chaves
e o caderno, depois não sei chamar
o quê, espécie ou parentesco, ache embora
sossego na língua arcana dos plátanos
atrás das placas do jardim botânico.
portanto sirvo mal, sou outra, fora
do baralho, turista aqui em tanto
do que me dá prazer e algum trabalho.
mas não está dito ainda (ou está) se insisto
à minha pouca escala nisto eu
é porque não desligo e toco e falho
no material à vista, língua
crua clara em bruto céu","diana
‘i, too, dislike it: there are things that are important
beyond all this fiddle,’ marianne moore said about
poetry. in any case, she was able
to see mitochondria and all the other
tiny lives – eye fixed
on the minute blotch of watercolor
compressed between two glass slides
the pupil round with wonder
just before mystery: to know what it was.
is it more important to observe or to designate?
i fear sometimes i look askew
forget the tree where i left my keys
and my notebook, then i don’t know what to call
what, kind or relation, though i find
tranquility in the arcane language of the plane trees
behind the plaques in the botanical garden.
so i serve badly, i’m other, the odd one
out, a tourist here in so much
that pleases me and is work.
but it’s still not said (or is) if i insist
on my small scale in this myself
it’s because i don’t disconnect and touch and fail
at what’s in plain sight, raw
language clear in brute sky",pt_XX,en_XX,"""Diana""

""I also do not like it here, there are more things
beyond this mess,"" said Marianne
Moore about poetry. besides, she was able
to see mitochondria and the other
small lives - fixed eye
on the tiny watercolor stain
compressed between round cover glasses
the pupil focused in wonder
before the mystery: to know what it was.
Is it more important to observe or to designate?
I make mistakes in looking, sometimes afraid
I forget the tree where I left the keys
and the notebook, then I can't call
what, species or kin, although I find peace
in the arcane language of the plane trees
behind the signs of the botanical garden.
Therefore I serve poorly, I am another, outside
the deck, a tourist here in so much
of what gives me pleasure and some work.
But it is not yet said (or it is) if I insist
on my small scale in this I
it's because I don't disconnect and touch and fail
in the visible material, tongue
raw clear in raw sky""",1
"nem tanta coisa depende
preferes o canto, o lugar oculto
a folhagem, a sombra, o quarto, este
saco de trigo: ouro de um texto
sobre a velha escrivaninha do real
lá fora o clarão do arvoredo
atalhos para a tingidura da paisagem
cá dentro menos caminho, outro
panorama: a presença tão-só
desabitada de uma pessoa, mistério sem
atributo ou função
sempre a desfeita de um coração
o cultivo intensivo das figuras
e sobram tristeza e dias ao corpo que escreve
no calabouço de uma manhã muito larga
reluzente de gotas de mel
enquanto os gatos lambem o sábado
e sentado, sapo de ouro, permites-te pôr no mundo
(mas porquê) outro poema","so little depends
you prefer the corner, the hidden place
the foliage, the shadow, the room, this
sack of wheat: textual gold
spread out on the old secretaire of the real
outside the blaze of the wood
the quick glazing of the fields
here inside, less leeway – another
panorama: simply the presence
uninhabited by a person, mystery without
attribute or function
always the undoing of a heart
the industrial cultivation of figures
and leftover sadness and days for the body that writes
in the calaboose of a vast morning
radiant with drops of honey
as the cats lick saturday
and sitting, like a gold frog, you let yourself add to the world
(but why) another poem",pt_XX,en_XX,"not so much depends
you prefer the song, the hidden place
the foliage, the shade, the room, this
sack of wheat: gold of a text
on the old desk of reality
outside the brightness of the grove
shortcuts to the dyeing of the landscape
inside here fewer paths, another
panorama: the presence only
uninhabited of a person, mystery without
attribute or function
always the undoing of a heart
the intensive cultivation of figures
and remain sadness and days to the body that writes
in the dungeon of a very wide morning
shining with drops of honey
while the cats lick the Saturday
and seated, golden toad, you allow yourself to put into the world
(but why) another poem",1
"texto de apresentação
1.
é-me indiferente: poeta, poetisa
dependerá do ritmo ou da medida –
prefiro tradutora, mas admito
que por vezes não dobro e sou narcisa.
2.
a minha primeira poesia era
sobre chuva e choro. hoje seria
prosa, ou sobre chuva e a pólvora:
chove fora viola o vento o vidro,
a rua nunca é como os prospectos –
o meu bilhete ao mundo, espeto-o
com delicado verbo ao coração.
rebenta, murcho músculo entupido –
mil vezes fosse a vida a excepção.
3.
se o rigor do verso não visa qualquer prova
senão procura –
ou provar o que seja de sabor.
se não escrevo por encomenda
senão por ventura serôdia
4.
posso posar, certamente,
para a máquina fotográfica,
moldar a boca ao disparo ou regular
a abertura ao diafragma. dependente
do papel revelador –
modelo artista presa, sou como todos:
as vidas que não toco interessam-me
num desequilíbrio de voracidade e avareza.
antes ainda assim me conheçam de vista
que de revista.","introductory text
1.
for me it makes little difference: poet, poetess –
depends on the measure, and the stress –
i prefer translator, but admit
that i sometimes can’t be plied, i’m a narcissist.
2.
my earliest poetry was about rain
and weeping. today it would be
prose and rain, or gunpowder:
it's raining out, wind rapes the window,
a street is never like the brochures –
with fine eloquence i stab my note
to the world through my heart.
it bursts, withered muscle bloat –
a thousand times that life were more than art.
3.
if the line’s strict measure doesn’t aim to show
but is a seeking instead –
or is the taste of what it finds . . .
if i don’t write to order,
but showered by latter rain.
4.
certainly, i can pose
for the camera,
mold my mouth to the click, close
down the diaphragm. it depends
how the roll is developed –
model artist prey, i’m like everyone:
the lives i don’t touch interest me
in uneven parts of avarice and voracity.
before they know me, period,
they know me periodically.",pt_XX,en_XX,"Introduction Text
1.
I am indifferent: poet, poetess
it depends on the rhythm or the measure –
I prefer translator, but I admit
that sometimes I don't bend and I am narcissistic.
2.
my first poetry was
about rain and tears. today would be
prose, or about rain and gunpowder:
it rains outside the wind the glass,
the street is never like the brochures –
my ticket to the world, I stick it
with delicate verb to the heart.
bursts, withered clogged muscle –
a thousand times life were the exception.
3.
if the rigor of verse does not aim for any proof
but seeks –
or to prove whatever is of taste.
if I do not write on demand
but by chance belatedly
4.
I can certainly pose,
for the camera,
mold my mouth to the shot or adjust
the aperture to the diaphragm. dependent
on the revealing paper –
model artist captive, I am like everyone else:
the lives I don't touch interest me
in an imbalance of voracity and greed.
before they know me by sight
rather than by magazine.",1
"antimundo
plágio manhoso do big-bang
a matéria do poema expande, arrefece
tão estranhamente se demora e permanece
semelhando o universo
o poema é a imagem-espelho de um corpo
sem reflexo: a poesia
oco assimétrico, residual desse princípio
colocada em lugar dubitativo, separada quase sempre
do buraco negro a que chamam literatura
poder-se-á supor que poucos são os poetas
capazes de acelerar partículas
de modo a ver-se não só o que a luz já percorreu
mas a região mais central do nada, o pátio
furioso da potência
e neste lugar de substâncias, de objectos
as palavras são figuras do imundo, coisas que
sobraram do estampido inaugural desse dia inicial inteiro
e limpo que culminou no lugar a menos deste texto
breve logaritmo sem aplicação ou saída
resta ao poeta o embuste
de afirmar o que propende para o infindo
espiar o acesso que cada coisa consente pela fissura do milagre
e dá pelo nome de imprevisto, ou acidente
a criança na rua abrindo o caixote do lixo
onde alguém sem saber depositou o assombro de um
balão de hélio branco ainda cheio
que se soltou e subiu à laia de lua ao fim da tarde
ao pé de casa
a criança pasmou, entristeceu depois
mais tarde lembrou-se: tens de escrever um poema sobre o balão
que voou do lixo e não agarrámos
um poema é a coisa mais triste que há
e escrevi","antiworld
the big bang’s nimble plagiarism
the poem’s matter expands, cools
it lingers so oddly then stays put
similar to the universe
the poem is a mirror image of the body
with no reflection: hollow
asymmetrical, vestiges of that origin
positioned in a dubious place, nearly always apart
from the black hole they call literature
it might be imagined that few are the poets
capable of accelerating particles
as a way of seeing not only the distance the light has covered
but the central region of nihility, the furious
patio of power
and in this place of substances, of objects
the words are figures of waste, things
left over from the inaugural detonation of this first clean
whole day that climaxed in the minus-one ground of this brief logarithmic
text, purposeless and without any application
it’s the poet’s ruse:
to voice what leans into the infinite
to secretly observe the access each thing allows through the fissure of miracle
and which goes by the name of chance, or accident
the child in the street opening the trash can
where someone without realizing threw out the marvel
of a white helium balloon still full
that bounced up and rose in the guise of the moon in the late afternoon
right in front of the house
at first the child was astonished, then sad
and later remembered: you have to write a poem about the balloon
which flew out of the rubbish and how we didn’t grab it
a poem is the saddest thing there is
and i wrote",pt_XX,en_XX,"antiworld
sly plagiarism of the big bang
the matter of the poem expands, cools down
lingering so strangely and staying
resembling the universe
the poem is the mirror-image of a body
without reflection: poetry
hollow asymmetric, residual of this principle
placed in a doubtful place, separated almost always
from the black hole they call literature
one might suppose that few are the poets
capable of accelerating particles
to see not only what light has already traveled
but the most central region of nothing, the furious
courtyard of power
and in this place of substances, of objects
words are figures of the unclean, things that
remained from the inaugural bang of that whole initial day
and clean that culminated in the missing place of this text
brief logarithm with no application or outcome
the poet is left with the trickery
to affirm what tends towards the infinite
to spy on the access that each thing allows through the miracle's fissure
and is called unexpected, or accident
the child in the street opening the trash can
where someone unknowingly deposited the wonder of a
still full white helium balloon
that broke free and rose like a moon at the end of the afternoon
by the house
the child was amazed, then saddened
later remembered: you have to write a poem about the balloon
that flew from the trash and we didn't catch
a poem is the saddest thing there is
and I wrote",1
"da minha janela
mar alto! ondas quebradas e vencidas
num soluçar aflito e murmurado...
vôo de gaivotas, leve, imaculado,
como neves nos píncaros nascidas!
sol! ave a tombar, asas já feridas,
batendo ainda num arfar pausado...
ó meu doce poente torturado
rezo-te em mim, chorando, mãos erguidas!
meu verso de samain cheio de graça,
’inda não és clarão já és luar
como branco lilás que se desfaça!
amor! teu coração trago-o no peito...
pulsa dentro de mim como este mar
num beijo eterno, assim, nunca desfeito!...","from my window
high sea! vanquished waves
breaking with whispered, troubled sighs…
immaculate, weightless flight of gulls,
like snows appearing on the hilltops!
sun! a bird falling, still flapping
its wounded wings while gasping for breath…
to you, sweet tortured sunset, i lift
my hands in inward prayer, weeping!
o my charming verse of samain,
not yet daylight, already you’re moonlight,
like a white lilac whose flowers wither!
love! i carry your heart in my breast…
it pounds within me like this sea
in an endless, never withering kiss!...",pt_XX,en_XX,"From my window,
high sea! broken and conquered waves
in a distressed and murmured sob...
flight of seagulls, light, immaculate,
like snow born on the peaks!
sun! bird falling, wings already wounded,
still beating in a measured gasp...
oh my sweet tortured sunset
I pray to you in me, crying, hands raised!
my Samhain verse full of grace,
not yet light already moonlight
like white lilac fading away!
love! your heart I carry in my chest...
beats inside me like this sea
in an eternal kiss, like this, never undone!...",1
"texto em que o poeta celebra
o amante de vinte e cinco anos
houve
guerras mais duradouras
que você.
parabenizo-o pelo sucesso
hoje
de sobreviver a expectativa
de vida
de uma girafa ou morcego,
vaca
velha ou jiboia-constritora,
coruja.
penguins, ao redor do mundo,
e porcos,
com você concebidos, morrem.
saturno,
desde que se fechou seu óvulo,
não
circundou o sol uma vez única.
stalker
que me guia pelas mil veredas
à zona,
engatinha ainda outro inverno,
escondo
minha cara no seu peito glabro.
fosse
possível, assinaria um contrato
com lem
ou com os irmãos strugatsky,
roteiristas
de nossos dias, noites futuras;
por trilha
sonora, diamanda galás muge
e bale,
crocita e ronrona, forniquemos.
celebro
a mente sob os seus cabelos,
ereto,
anexado ao seu corpo, o pênis.
algures,
um porco, seu contemporâneo,
chega
ao cimo de seu existir rotundo,
pergunto,
exausto em suor, se amantes,
de cílios
afinal unidos, contam ovelhas
antes
do sono, eufóricas e prenhas.","in which the poet celebrates his twenty-five-year-old lover
wars
have outlasted your
years.
congratulations on your success
today
in exceeding the life
expectancy
of a giraffe or bat,
cow,
boa constrictor,
or owl.
around the world, penguins
and pigs,
conceived at the same time as you, are dying.
saturn
has not circled the sun even
once
since you were a fertilized egg.
stalker
who guides me along the thousand trails
to the zone,
another winter begins to crawl,
i bury
my face in your hairless chest.
if i could,
i'd sign a contract
with lem
or the strugatsky brothers,
screenwriters
for our days and future nights;
for the soundtrack,
diamanda galás bellows
and bleats,
caws and purrs, we fornicate.
i celebrate
the mind beneath your hair,
the penis,
attached to your body, erect.
somewhere,
a pig, your contemporary,
reaches
the zenith of his rotund
existence,
i wonder, exhausted in sweat, if lovers,
eyelashes
at last united, count sheep
before
sleep, euphoric and pregnant.",pt_XX,en_XX,"text in which the poet celebrates
the lover of twenty-five years
there were
wars more enduring
than you.
I congratulate you on the success
today
of surviving the life expectancy
of a giraffe or bat,
cow
old or boa constrictor,
owl.
penguins, around the world,
and pigs,
conceived with you, die.
Saturn,
since your ovule closed,
did not
orbit the sun even once.
stalker
who guides me through a thousand paths
to the zone,
crawls yet another winter,
I hide
my face in your hairless chest.
if it were
possible, I would sign a contract
with them
or with the Strugatsky brothers,
screenwriters
of our days, future nights;
for soundtrack,
Diamanda Galás mooes
and bays,
croaks and purrs, let's fornicate.
I celebrate
the mind beneath your hair,
erect,
attached to your body, the penis.
somewhere,
a pig, your contemporary,
reaches
the peak of its round existence,
I ask,
exhausted in sweat, if lovers,
eyelashes
finally united, count sheep
before
sleep, euphoric and pregnant.",1
"palco
o poema é antes de tudo
um palco para gestos simples
eu rego as flores de junho","stage
the poem is above all else
a stage for simple gestures
i water the june flowers",pt_XX,en_XX,"stage
the poem is above all
a stage for simple gestures
I water the June flowers",1
"exaltação
viver!... beber o vento e o sol!... erguer
ao céu os corações a palpitar!
deus fez os nossos braços pra prender,
e a boca fez-se sangue pra beijar!
a chama, sempre rubra, ao alto, a arder!...
asas sempre perdidas a pairar,
mais alto para as estrelas desprender!...
a glória!... a fama!... o orgulho de criar!...
da vida tenho o mel e tenho os travos
no lago dos meus olhos de violetas,
nos meus beijos extáticos, pagãos!...
trago na boca o coração dos cravos!
boêmios, vagabundos, e poetas:
— como eu sou vossa irmã, ó meus irmãos!...","exaltation
to live!... to drink the wind and sun!...
to lift up to the sky our throbbing
hearts! god made our arms for grasping!
and gave us mouths of blood for kissing!
the always red-glowing flame on high!...
the always straying wings that soar
still higher, ready to uproot the stars!...
glory!... fame!... the pride of creating!...
life’s honey and life’s bitterness
dwell in the lake of my eyes like violets
and in my ecstatic, pagan kisses!...
the heart of carnations fills my mouth!
o bohemians, tramps and poets,
how truly, brothers, i’m your sister!",pt_XX,en_XX,"exaltation
to live!... to drink in the wind and the sun!... to raise
hearts to the sky, throbbing!
God made our arms to embrace,
and the mouth was made blood to kiss!
the flame, always red, burning on high!...
wings always lost, hovering,
higher to release to the stars!...
glory!... fame!... the pride of creating!...
from life, I have the honey and the bitterness
in the lake of my violet eyes,
in my ecstatic, pagan kisses!...
I carry in my mouth the heart of carnations!
bohemians, vagabonds, and poets:
— how I am your sister, oh my brothers!...",1
"a guerra
quem lembra o amor depois . . .
no comprimento máximo do sol ao se por?
as posições já estavam estabelecidas.
a guerra entre o vento e o fim do mundo.
aquele que não tem espaço algum
vinga a sua sina nas estacas.
sem água
sem bote.
o bote sem montanhas,
sem remar e seguir pumas.
a família daquela moça era longínqua.
descampada, bebida de rio e sem filhos.
como agarrar aquela
que divisa as partes da terra?
moça do tempo.
sua beleza era vã aos seus próprios olhos,
mas a vestia.
***
cantavam as cigarras daquela tarde quente:
ela, que não esquecerá sua terra
a outro que não os filhos.","the war
who remembers love afterwards . . .
in the swelling of the setting sun?
the positions were already set.
a war between wind and the end of the world.
the one who has no space at all
comes to his fate at the palings.
without water
without a boat.
the boat without mountains,
without rowing, pursuing pumas.
the family of that girl was far, far off.
desolate, drunk from the river and without children.
how to cling to the one
who divides the portions of the earth?
girl of time.
in her own eyes, her beauty was in vain,
but she put it on.
***
the cicadas of that warm afternoon were singing:
she, who will not forget her land
for anyone other than her children.",pt_XX,en_XX,"the war
who remembers love afterwards . . .
at the full length of the sun as it sets?
positions were already established.
the war between the wind and the end of the world.
one who has no space at all
avenges their fate on the stakes.
without water
without a boat.
the boat without mountains,
without rowing and following pumas.
that girl's family was distant.
open land, river water and childless.
how to grasp her
who sees the parts of the earth?
girl of the weather.
her beauty was vain in her own eyes,
but she wore it.
***
the cicadas sang on that hot afternoon:
she, who will not forget her land
to anyone other than her children.",1
"poema
as coisas mais simples, ouço-as no intervalo
do vento, quando um simples bater de chuva nos
vidros rompe o silêncio da noite, e o seu ritmo
se sobrepõe ao das palavras. por vezes, é uma
voz cansada, que repete incansavelmente
o que a noite ensina a quem a vive; de outras
vezes, corre, apressada, atropelando sentidos
e frases como se quisesse chegar ao fim, mais
depressa do que a madrugada. são coisas simples
como a areia que se apanha, e escorre por
entre os dedos enquanto os olhos procuram
uma linha nítida no horizonte; ou são as
coisas que subitamente lembramos, quando
o sol emerge num breve rasgão de nuvem.
estas são as coisas que passam, quando o vento
fica; e são elas que tentamos lembrar, como
se as tivéssemos ouvido, e o ruído da chuva nos
vidros não tivesse apagado a sua voz.","poem
it’s the simplest things that i hear in the wind’s
intervals, when the simple beating of the rain
on the windows breaks the silence of night, and its rhythm
overwhelms that of words. sometimes, it is a
tired voice, that tirelessly repeats
what the night teaches those who live it; other
times, it runs, hurriedly, mowing down meanings
and phrases as though it wanted to reach the end, more
quickly than the dawn. we’re talking about simple things,
like the sand which is scooped up, and runs
through your fingers while your eyes search
for a clear line on the horizon; or things
that we suddenly remember, when
the sun emerges from a brief tear in the clouds.
these are the things that happen, when the wind
remains; and it is these we try to recall, as though
we had heard them, and the noise of the rain
on the windowpanes had not snuffed out their voice.",pt_XX,en_XX,"poem
the simplest things, I hear them in the pause
of the wind, when a simple rain tap on the
window shatters the night's silence, and its rhythm
overwhelms that of words. sometimes, it's a
weary voice, repeating tirelessly
what the night teaches those who live it; other times,
it rushes, hurriedly, trampling senses
and phrases as if it wanted to reach the end, faster
than dawn. they are simple things
like sand that is caught, and slips through
fingers while eyes search
for a clear line on the horizon; or they are
the things that suddenly we recall, when
the sun emerges in a brief tear of cloud.
these are the things that come and go, when the wind
calms; and they are the ones we try to remember, as if
we had heard them, and the rain's noise on the
windows hadn't erased their voice.",1
