original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou
uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou
de mim sou feito alheo
antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","between myself and me
between myself and me
i don’t know what’s emerged
to make me my own enemy.
for a time i lived as a fool,
at peace with myself.
now i see the great harm
a great danger can wreak.
disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.
i’m a stranger to myself.
my cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
fresh pain, fresh fear
have taken ahold of me.
here i am, trapped.",pt_XX,en_XX,"within myself, I find
a force that has arisen
making me my own foe
in times of great illusion
I lived with my own ruin
now in great danger I'm in
discovered by sheer pain
a harsh awakening came
though death it did not bring
its cost to me was grim
I'm now a stranger to me
betwixt care and care
a sorrow everywhere
comes to me as my bane
new sorrow, fresh despair
this foe within me reigns
making me my own chains",2
"antre tamanhas mudanças
que cousa terei segura
duvidosas esperanças
tão certa desaventura
venham estes desenganos
do meu longo engano e vão
que já os tempos e os anos
outros cuidados me dão
já não sou para mudanças
mais quero uma dor segura
vá crer as vãs esperanças
quem não sabe o que em aventura","in the face of so much change
in the face of so much change,
what can i be sure of?
rather dubious hopes,
certain misadventure.
i wave on these disillusions
in my long, useless illusion.
time and age have given me
a different set of concerns.
i’m tired of change.
i prefer a pain that’s secure.
vain hopes are for those
unaware of what they risk.",pt_XX,en_XX,"amidst such vast changes
what can I hold dear
doubtful hopes
such a certain misfortune
come these deceits
of my long folly and vain
for the times and the years
other concerns they bear
no more for changes
I prefer a steady pain
let faith in empty hopes
be for those who don't know the adventure's main",2
"amar!
eu quero amar, amar perdidamente!
amar só por amar: aqui... além...
mais este e aquele, o outro e toda a gente
amar! amar! e não amar ninguém!
recordar? esquecer? indiferente!...
prender ou desprender? é mal? é bem?
quem disser que se pode amar alguém
durante a vida inteira é porque mente!
há uma primavera em cada vida:
é preciso cantá-la assim florida,
pois se deus nos deu voz, foi pra cantar!
e se um dia hei-de ser pó, cinza e nada
que seja a minha noite uma alvorada,
que me saiba perder... pra me encontrar...","to love!
i want to love, to be lost in love!
to love just to love: here... there...
this one, that one, another one,
everyone! to love and not love anyone!
remember? forget? it’s all the same!...
hold on or let go? wrong? or right?
those who say they can love someone
their whole life long are telling a lie!
there is in every life a spring.
when it flowers, it must be sung.
the voice god gave us is for singing!
if i must come to ashes, dust,
nothing, then let my night be a dawn
and let me be lost... to find myself...",pt_XX,en_XX,"to love!
i want to love, love wildly!
love for love's sake: here... there...
this and that, the other and everyone
love! love! and love no one!
remember? forget? indifferent!...
bind or unbind? is it bad? is it good?
whoever says they can love someone
throughout life is lying!
there is a spring in every life:
it's necessary to sing it in bloom,
for if god gave us voice, it's to sing!
and if one day I am to be dust, ashes and nothing
that my night becomes a dawn,
that I know how to lose myself... to find myself...",2
"a necessidade
uma porta fechada não é suficiente para que o homem
esconda o seu amor. ele também necessita de uma porta aberta
para poder partir e se perder na multidão quando esse amor explodir
como o barril de pólvora no arsenal alcançado pelo raio.
um telhado não basta para que o homem se proteja
do calor e da tempestade. para fugir ao relâmpago
ele precisa de um corpo estendido na cama
e ao alcance de sua mão ainda temerosa
de avançar no excuro quando a chuva cai no silêncio do mundo aberto como uma fruta
entre dios estrondos.
na noite que declina, no dia que nasce,
o homem precisa de tudo: do amor e do raio.","necessities
a closed door is not enough for a man
to hide his love. he also needs an open door
so he can leave and lose himself in the crowd when that love explodes
like a barrel of powder in the arsenal hit by lightning.
a roof is not enough to protect a man
from heat and storm. to flee the thunderbolt
he needs a body stretched out in bed
and within reach of his hand still afraid
to advance in the dark as the rain falls on the silence of the world open like a fruit
between two thunderclaps.
in the night that falls, in the day that breaks,
man needs it all: love and the lightning bolt.",pt_XX,en_XX,"The Need

A closed door is not enough for man
To hide his love. He also needs an open door
To leave and lose himself in the crowd when this love explodes
Like the barrel of gunpowder in the arsenal struck by lightning.
A roof is not enough to shield man
From heat and storm. To escape the lightning
He needs a body stretched on the bed
And within reach of his still fearful hand
To advance into the dark when the rain falls in the silence of the open world like a fruit
Among the loud bangs.
In the declining night, rising day,
Man needs everything: love and lightning.",2
"extrema-unção
uma breve, amável mágoa à
flor dos olhos, um distante desapontamento,
morrias como se pedisses desculpa
por nos fazeres perder tempo.
tinhas pressa mas não o mostravas,
receavas que não estivéssemos preparados,
e, suspenso sobre nós, esperavas
que disséssemos tudo, que fizéssemos o apropriado.
morrer não é motivo de orgulho,
mas estavas cansado de mais para te justificares.
ainda por cima no mês de julho,
com as férias marcadas, ausentes os familiares.
tínhamos levado as crianças de casa,
feito os telefonemas, escolhido os dizeres.
o quarto fora arrumado, a cama mudada
com roupa lavada. só faltava morreres.","extreme unction
a brief and affable sorrow
surfacing in the eyes, a distant disappointment,
you died as if gently begging pardon
for making us lose time.
you were in a rush but didn’t show it,
you feared that we were not prepared,
and, hovering above us, you waited
for us to say it all, and do what needed to be done.
dying is no reason to be proud,
but you were too exhausted to explain yourself.
and worst of all, it was july,
vacations set, relatives already gone.
we had taken the children away,
made our phone calls, chosen our words.
the room was now in order, the bed remade
with freshly laundered sheets. nothing missing, but your death.",pt_XX,en_XX,"extreme unction
a brief, amiable sorrow blooms in the eyes, a distant letdown,
you passed away as if apologizing
for wasting our time.
you were in a hurry but showed no signs,
worried we were unprepared,
and, suspended above us, you waited
for us to say everything, to do what was fitting.
dying is not a matter of pride,
but you were too weary to offer excuses.
and right in the month of July,
with vacations scheduled, family absent.
we had taken the children away,
made the phone calls, chosen the words.
the room was tidied, the bed changed
with laundered sheets. only death remained.",2
"linha de rumo
quem não me deu amor, não me deu nada.
encontro-me parado. . .
olho em redor e vejo inacabado
o meu mundo melhor.
tanto tempo perdido . . .
com que saudade o lembro e o bendigo:
campos de flores
e silvas . . .
fonte da vida fui. medito. ordeno.
penso o futuro a haver.
e sigo deslumbrado o pensamento
que se descobre.
quem não me deu amor, não me deu nada.
desterrado,
desterrado prossigo.
e sonho-me sem pátria e sem amigos,
adrede.","mapping the course
those who didn’t give me love, didn’t give me anything.
i find myself standing still . . .
i look around and see
my better world unfinished.
so much time lost . . .
with what nostalgia i remember it and bless it all:
fields of flowers
and brambles . . .
i was a spring of life. i deliberate. i make order.
i think the future that will come.
and, dazzled, i follow the thought
that shows itself.
those who didn’t give me love, didn’t give me anything.
banished,
banished, i travel on.
and dream myself without a country, without a friend.
wittingly.",pt_XX,en_XX,"line of fate
whoever didn't give me love, gave me nothing.
i find myself standing still. . .
looking around i see unfinished
my better world.
so much time wasted. . .
with longing i remember and bless:
fields of flowers
and brambles. . .
source of life i was. i ponder. i command.
i think of the future yet to be.
and i follow dazzled the thought
that reveals itself.
whoever didn't give me love, gave me nothing.
exiled,
exiled i proceed.
and i dream myself without country and without friends,
intentionally.",2
"sempre, cruel senhora, receei,
medindo vossa grã desconfiança,
que desse em desamor vossa tardança,
e que me perdesse eu, pois vos amei.
perca-se, enfim, já tudo o que esperei,
pois noutro amor já tendes esperança.
tão patente será vossa mudança,
quanto eu encobri sempre o que vos dei.
dei-vos a alma, a vida e o sentido;
de tudo o que em mim há vos fiz senhora.
prometeis e negais o mesmo amor.
agora tal estou que, de perdido,
não sei por onde vou, mas algũ’hora
vos dará tal lembrança grande dor.","cruel senhora
cruel senhora, i’ve always been wary. i knew
i needed to watch you closely in case
your doubts would surge to disaffection and erase
our love. then i’d be ruined, since i love only you.
and now, everything i’d hope to have is lost:
you’re pursuing another lover. so i detach
myself, believing your retribution will match
the sacrificial depths my love has cost:
i’ve given my soul, my senses, and my life to you;
i’ve given you everything i have within me,
and you promised love, but now, there’s only disdain.
lost and hopeless, i don’t know what to do,
yet i know the day will come when this memory
will crush you down with terrifying pain.",pt_XX,en_XX,"Always, cruel mistress, I have feared,
Measuring your vast distrust,
That your tardy love would turn to loathing,
And I'd be lost, for I loved you.
Be lost, at last, all that I hoped for,
Since in another's arms you place your hopes.
Your change will be as clear,
As I've always hidden what I gave.
I gave you soul, life, and meaning;
Of everything within, you're the master.
You promise and deny the same love.
Now I am lost, wandering astray,
And some time soon, you'll feel a great sorrow.",2
"alma minha gentil, que te partiste
tão cedo desta vida descontente,
repousa lá no céu eternamente,
e viva eu cá na terra sempre triste.
se lá no assento etéreo, onde subiste,
memória desta vida se consente,
não te esqueças daquele amor ardente
que já nos olhos meus tão puro viste.
e se vires que pode merecer-te
algũa cousa a dor que me ficou
da mágoa, sem remédio, de perder-te,
roga a deus, que teus anos encurtou,
que tão cedo de cá me leve a ver-te,
quão cedo de meus olhos te levou.","dear gentle soul, you that departed . . .
dear gentle soul, you that departed
this life so soon and reluctantly,
rest in heaven eternally
while i remain here, broken-hearted.
if there in the ethereal skies
memories are still allowed to move,
do not forget that ardent love
you once saw shining in my eyes.
and if you judge there might be merit,
however small, in this pain that stays,
grieving with nothing to repair it,
petition god, who cut short your days,
to take me to you, in that reckless spirit
he used to summon you from my gaze.",pt_XX,en_XX,"my gentle soul, that didst depart so soon
too early from this life discontent,
rest in the heavens eternally,
while I remain on earth always sad.
if there in the ethereal abode, where thou hast climbed,
memory of this life is allowed,
do not forget the ardent love
that in my eyes thou once didst find so pure.
and if thou seest that I can deserve
anything from the grief that's left behind
from the remedyless pain of losing thee,
pray to god, who shortened thy years,
that he may soon bring me to see thee,
as soon as he from my eyes took thee.",2
"transforma-se o amador na cousa amada,
por virtude do muito imaginar;
não tenho, logo, mais que desejar,
pois em mim tenho a parte desejada.
se nela está minh’alma transformada,
que mais deseja o corpo de alcançar?
em si sòmente pode descansar,
pois consigo tal alma está liada.
mas esta linda e pura semideia,
que, como um acidente em seu sujeito,
assi co a alma minha se conforma,
está no pensamento como ideia:
o vivo e puro amor de que sou feito,
como a matéria simples busca a forma.","the lover becomes the thing he loves . . .
the lover becomes the thing he loves
by virtue of much imagining;
since what i long for is already in me,
the act of longing should be enough.
if my soul becomes the beloved,
what more can my body long for?
only in itself will it find peace,
since my body and soul are linked.
but this pure, fair demigoddess,
who with my soul is in accord
like an accident with its subject,
exists in my mind as a mere idea;
the pure and living love i’m made of
seeks, like simple matter, form.",pt_XX,en_XX,"The lover turns into the beloved thing,
by virtue of much imagining;
I have no more to wish for now,
for in me lies the part I'm seeking.
If my soul has been transformed in her,
what more does my body seek to find?
It can only rest within her,
since with her such a soul is intertwined.
But this fair and pure semideity,
like an accident in its subject,
so with my soul it's conformed,
stands in thought as an idea:
The lively and pure love of which I'm made,
like simple matter, seeks its form.",2
"erros meus, má fortuna, amor ardente
em minha perdição se conjuraram;
os erros e a fortuna sobejaram,
que para mim bastava o amor somente.
tudo passei; mas tenho tão presente
a grande dor das cousas que passaram,
que as magoadas iras me ensinaram
a não querer já nunca ser contente.
errei todo o discurso de meus anos;
dei causa [a] que a fortuna castigasse
as minhas mal fundadas esperanças.
de amor não vi senão breves enganos.
oh! quem tanto pudesse que fartasse
este meu duro génio de vinganças!","my errors, cruel fortune and ardent love . . .
my errors, cruel fortune and ardent love
conspired to bring about my ruin;
the errors and fortune were superfluous,
since love alone would have done as much.
although it’s over, the dreadful pain
of what i suffered is still so vivid
that i, with bitter rage, have learned
never to try to be happy again.
in life and words i’ve always strayed,
giving fortune cause to punish
my poorly founded hopes.
in love i’ve known just brief illusions.
oh! if only my ruthless genius
would have its fill of wreaking vengeance!",pt_XX,en_XX,"My faults, bad luck, a burning love,
In my downfall have conspired;
Faults and fate have more than sired,
What for me alone love would suffice.
All I've endured, yet so alive remains
The great sorrow of times now past,
That the saddened wrathes have taught me,
To never wish for contentment again.
I've erred through every thread of my years;
Provoked fortune to punish my frail hopes.
From love I've seen but fleeting deceptions.
Oh! Who could quell this fierce desire,
To satiate my vengeful spirit, ease the fire!",2
