original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"que tu viennes du ciel ou de l’enfer, qu’importe,
o beauté! monstre énorme, effrayant, ingénu!
si ton œil, ton souris, ton pied, m’ouvrent la porte
d’un infini que j’aime et n’ai jamais connu?
de satan ou de dieu, qu’importe? ange ou sirène,
qu’importe, si tu rends, — fée aux yeux de velours,
rhythme, parfum, lueur, ô mon unique reine! —
l’univers moins hideux et les instants moins lourds?","que venhas lá do céu ou do inferno, que importa,
beleza! ó monstro ingênuo, gigantesco e horrendo!
se teu olhar, teu riso, teus pés me abrem a porta
de um infinito que amo e que jamais desvendo?
de satã ou de deus, que importa? anjo ou sereia,
que importa, se és quem fazes — fada de olhos suaves,
ó rainha de luz, perfume e ritmo cheia! —
mais humano o universo e as horas menos graves?",fr_XX,pt_XX,"Vens do céu ou do inferno, que importa,
ó beleza! monstro enorme, ingênuo e assustador!
se teu olhar, teu sorriso, teu passo abrem a porta
de um infinito que amo e jamais conheci?
De Satan ou de Deus, que importa? Anjo ou sereia,
que importa, se tu tornas, — fada de olhos de veludo —
ritmo, perfume, luz, ó minha única rainha! —
o universo menos hediondo e os instantes menos pesados?",2
"lorsque tu dorminas, ma belle ténébreuse,
au fond d’un monument construit en marbre noir,
et lorsque tu n’auras pour alcôve et manoir
qu’un caveau pluvieux et qu’une fosse creùse;
quand la pierre, opprimant ta poitrine peureuse
et tes flancs qu’assouplit un charmant nonchaloir,
empêchera ton cœur de battre et de vouloir,
et tes pieds de courir leur course aventureuse,
le tombeau, confident de mon rêve infini
(car le tombeau toujours comprendra le poëte),
durant ces grandes nuits d’où le somme est banni,
te dira: “que vous sert, courtisane imparfaite,
de n’avoir pas connu ce que pleurent les morts?”
— et le ver rongera ta peau comme un remords.","quando fores dormir, ó bela tenebrosa,
em teu negro e marmóreo mausoléu, e não
tiveres por alcova e refúgio senão
uma cova deserta e uma tumba chuvosa;
quando a pedra, a oprimir tua carne medrosa
e teus flancos sensuais de lânguida exaustão,
impedir de querer e arfar teu coração,
e teus pés de correr por trilha aventurosa,
o túmulo, no qual em sonho me abandono
(porque o túmulo sempre há de entender o poeta),
nessas noites sem fim em que nos foge o sono,
dir-te-á: “de que valeu, cortesã indiscreta,
ao pé dos mortos ignorar o seu lamento?”
— e o verme te roerá como um remorso lento.",fr_XX,pt_XX,"Quando tu dormires, minha bela sombria,
no fundo de um monumento erguido em mármore negro,
e quando teu dossel e teu solar forem
uma cova pluviosa e um túmulo vazio;
quando a pedra, oprimindo teu peito receoso,
e teus flancos, que a preguiça tornava flexível,
impedir teu coração de bater e de querer,
e teus pés de correr sua jornada aventureira,
o túmulo, confidente do meu sonho infinito
(pois o túmulo sempre acolherá o poeta),
durante essas grandes noites de onde o sono está banido,
te dirá: ""que te serve, cortesã imperfeita,
de não ter conhecido o que os mortos choram?"" 
— e o verme roerá tua pele como um remorso.",2
"j’ai plus de souvenirs que si j’avais mille ans.
un gros meuble à tiroirs encombré de bilans,
de vers, de billets doux, de procès, de romances,
avec de lourds cheveux roulés dans des quittances,
cache moins de secrets que mon triste cerveau.
c’est une pyramide, un immense caveau,
qui contient plus de morts que la fosse commune.
— je suis un cimetière abhorré de la lune,
où comme des remords se traînent de longs vers
qui s’acharnent toujours sur mes morts les plus chers.
je suis un vieux boudoir plein de roses fanées,
où gît tout un fouillis de modes surannées,
où les pastels plaintifs et les pâles boucher,
seuls, respirent l’odeur d’un flacon débouché.","eu tenho mais recordações do que há em mil anos.
uma cômoda imensa atulhada de planos,
versos, cartas de amor, romances, escrituras,
com grossos cachos de cabelo entre as faturas,
guarda menos segredos que o meu coração.
é uma pirâmide, um fantástico porão,
e jazigo não há que mais mortos possua.
— eu sou um cemitério odiado pela lua,
onde, como remorsos, vermes atrevidos
andam sempre a irritar meus mortos mais queridos.
sou como um camarim onde há rosas fanadas,
em meio a um turbilhão de modas já passadas,
onde os tristes pastéis de um boucher desbotado
ainda aspiram o odor de um frasco destampado.",fr_XX,pt_XX,"tenho mais lembranças do que se tivesse mil anos.
um móvel enorme de gavetas cheio de contas,
versos, bilhetes de amor, processos, romances,
com pesados fios de cabelo enrolados em quitações.
guarda menos segredos do que minha triste mente.
é uma pirâmide, um imenso mausoléu,
que contém mais mortos que a vala comum.
— sou um cemitério odiado pela lua,
onde como remorsos se arrastam longos versos
que sempre se agridem com meus mortos mais queridos.
sou um antigo quarto cheio de rosas murchas,
onde jaz todo um amontoado de modas ultrapassadas,
onde os pastéis lamentosos e os pálidos bouquets,
sós, respiram o aroma de um frasco aberto.",2
"o vierges, ô démons, ô monstres, ô martyres,
de la réalité grands esprits contempteurs,
chercheuses d’infini dévotes et satyres,
tantôt pleines de cris, tantôt pleines de pleurs,
vous que dans votre enfer mon âme a poursuivies,
pauvres soeurs, je vous aime autant que je vous plains,
pour vos mornes douleurs, vos soifs inassouvies,
et les urnes d’amour dont vos grands cœurs sont pleins!","ó monstros, ó vestais, ó mártires sombrias,
espírito nos quais o real sucumbe aos mitos,
vós que buscais o além, na prece e nas orgias,
ora cheias de pranto, ora cheias de gritos,
vós que minha alma perseguiu em vosso inferno,
pobres irmãs, eu vos renego e vos aceito,
por vossa triste dor, vosso desejo eterno,
pelas urnas de amor que inundam vosso peito!",fr_XX,pt_XX,"Ó virgens, ó demônios, ó monstros, ó mártires,
Grandes espíritos que zombam da realidade,
Buscadoras do infinito, devotas e sátiras,
Às vezes cheias de gritos, às vezes de tristeza,
Vós que no vosso inferno minha alma perseguiu,
Pobres irmãs, vos amo tanto quanto vos compadeço,
Pelos vossos tristes males, vossas sêde insatisfeitas,
E pelas urnas de amor que vossos grandes corações estão cheios!",2
"quelle est la fin de tout? la vie, ou bien la tombe?
est-ce l’onde où l’on flotte ? est-ce l’ombre où l’on tombe?
de tant de pas croisés quel est le but lointain?
le berceau contient-il l’homme ou bien le destin?
sommes-nous ici-bas, dans nos maux, dans nos joies,
des rois prédestinés ou de fatales proies?
ô seigneur, dites-nous, dites-nous, ô dieu fort,
si vous n’avez créé l’homme que pour le sort?
si déjà le calvaire est caché dans la crèche?
et si les nids soyeux, dorés par l’aube fraîche,
où la plume naissante éclôt parmi des fleurs,
sont faits pour les oiseaux ou pour les oiseleurs?","qual é o fim de tudo? a vida ou a tumba?
a onda que nos sustém? ou a que nos afunda?
qual a longínqua meta de tanto passo cruzado?
é o berço que embala o homem ou é o seu fado?
seremos aqui na terra, nas alegrias, nos ais,
reis predestinados ou simples presas fatais?
ó senhor, responde, responde-nos, ó deus forte,
se condenaste o homem apenas à sua sorte,
se já no presépio o calvário se anuncia
e se os ninhos sedosos, dourados pela manhã fria,
onde as crias vêm ao mundo por entre flores,
são feitos para as aves ou para predadores.",fr_XX,pt_XX,"qual é o fim de tudo? a vida, ou a tumba?
será o leito onde flutuamos? será a sombra onde tombamos?
de tantos passos cruzados, qual é o destino distante?
o berço contém o homem ou o destino?
estamos aqui embaixo, em nossas dores, em nossas alegrias,
reis predestinados ou presas fatais?
ó senhor, dizei-nos, dizei-nos, ó deus forte,
se criastes o homem só para o destino incerto?
se o calvário já está oculto no presépio?
e se os ninhos sedosos, dourados pela aurora fresca,
onde a pluma nascente desabrocha entre flores,
são feitos para os pássaros ou para os caçadores?",2
"quelle est la fin de tout? la vie, ou bien la tombe?
est-ce l’onde où l’on flotte ? est-ce l’ombre où l’on tombe?
de tant de pas croisés quel est le but lointain?
le berceau contient-il l’homme ou bien le destin?
sommes-nous ici-bas, dans nos maux, dans nos joies,
des rois prédestinés ou de fatales proies?
ô seigneur, dites-nous, dites-nous, ô dieu fort,
si vous n’avez créé l’homme que pour le sort?
si déjà le calvaire est caché dans la crèche?
et si les nids soyeux, dorés par l’aube fraîche,
où la plume naissante éclôt parmi des fleurs,
sont faits pour les oiseaux ou pour les oiseleurs?","qual é o fim de tudo? a vida ou a tumba?
a onda que nos sustém? ou a que nos afunda?
qual a longínqua meta de tanto passo cruzado?
é o berço que embala o homem ou é o seu fado?
seremos aqui na terra, nas alegrias, nos ais,
reis predestinados ou simples presas fatais?
ó senhor, responde, responde-nos, ó deus forte,
se condenaste o homem apenas à sua sorte,
se já no presépio o calvário se anuncia
e se os ninhos sedosos, dourados pela manhã fria,
onde as crias vêm ao mundo por entre flores,
são feitos para as aves ou para predadores.",fr_XX,pt_XX,"qual é o fim de tudo? a vida, ou a tumba?
será o leito onde flutuamos? será a sombra onde tombamos?
de tantos passos cruzados, qual é o destino distante?
o berço contém o homem ou o destino?
estamos aqui embaixo, em nossas dores, em nossas alegrias,
reis predestinados ou presas fatais?
ó senhor, dizei-nos, dizei-nos, ó deus forte,
se criastes o homem só para o destino incerto?
se o calvário já está oculto no presépio?
e se os ninhos sedosos, dourados pela aurora fresca,
onde a pluma nascente desabrocha entre flores,
são feitos para os pássaros ou para os caçadores?",2
"ne soit pas lascif et peureux
comme le lièvre et l’amoureux.
mais que toujours ton cerveau soit
la hase pleine qui conçoit.","não sejas lascivo e assustado
como a lebre e o apaixonado,
faça com que o célebro seja
a fêmea que vários enseja.",fr_XX,pt_XX,"Não seja lascivo e tímido,
como o lebre enamorado.
Mas que sempre teu cérebro seja
a casa plena que concebe.",2
"la treizième revient… c’est encor la première;
et c’est toujours la seule, – ou c’est le seul moment:
car es-tu reine, ô toi! la première ou dernière?
es-tu roi, toi le seul ou le dernier amant?…
aimez qui vous aima du berceau dans la bière;
celle que j’aimai seul m’aime encor tendrement:
c’est la mort – ou la morte… ô délice! ô tourment!
la rose qu’elle tient, c’est la rose trémière.
sainte napolitaine aux mains pleines de feux,
rose au coeur violet, fleur de sainte gudule:
as-tu trouvé ta croix dans le désert des cieux?
roses blanches, tombez! vous insultez nos dieux!
tombez, fantômes blancs, de votre ciel qui brûle:
– la sainte de l’abîme est plus sainte à mes yeux!","vem décima-terceira… ainda é a primeira;
e é a única sempre – ou o único instante:
pois és rainha, ó tu! primeira ou derradeira?
és tu rei, tu és ùnico ou último amante?…
ama quem te amará, do berço à tua cova;
a que amava, eu, só, me ama ainda com alento:
é a morte – ou a morta… ó delícia! ó tormento!
a rosa que ela empenha é aquela malva rosa.
santa napolitana – as mãos, fogo a granel,
rosa com alma roxa, a flor de santa gúdula:
achaste tua cruz no deserto dos céus?
rosas brancas, tombai! insultais nosso deus!
tombai fantasmas brancos em céu que fagulha:
– santa do abismo: bem mais santa aos olhos meus!",fr_XX,pt_XX,"A décima terceira volta... é ainda a primeira;
e é sempre a única, – ou é o único momento:
pois és rainha, ó tu! a primeira ou a última?
és rei, tu o único ou o derradeiro amante?...
ame quem vos amou desde o berço até o caixão;
aquela que amei só, ainda me ama ternamente:
é a morte – ou a morta... ó delícia! ó tormento!
a rosa que ela traz, é a rosa tremente.

Santa napolitana, mãos cheias de fios,
rosa ao coração violeta, flor da santa gudule:
achaste tua cruz no deserto dos céus?
Rosas brancas, caiam! Insultais nossos deuses!
Caí, fantasmas brancos, de vosso céu que arde:
– a santa do abismo é mais santa aos meus olhos!",2
"du temps que la nature en sa verve puissante
concevait chaque jour des enfants monstrueux,
j’eusse aimé vivre auprès d’une jeune géante,
comme aux pieds d’une reine un chat voluptueux.
j’eusse aimé voir son corps fleurir avec son âme
et grandir librement dans ses terribles jeux;
deviner si son coeur couve une sombre flamme
aux humides brouillards qui nagent dans ses yeux;
parcourir à loisir ses magnifiques formes;
ramper sur le versant de ses genoux énormes,
et parfois en été, quand les soleils malsains,
lasse, la font s’étendre à travers la campagne,
dormir nonchalamment à l’ombre de ses seins,
comme un hameau paisible au pied d’une montagne.","pois quando a natureza, em seu capricho exato,
gerava estranhos seres raros, dia a dia,
uma giganta moça – eis do eu gostaria,
para viver-lhe aos pés com a volúpia de um gato.
ver seu corpo florir com a flor de sua alma
e crescer livremente em seus terríveis jogos;
ver se não teria no peito alguma oculta chama,
com as chispas molhadas que mostra nos olhos.
percorrer à vontade a realeza das formas,
escalar a vertente dos joelhos enormes
e, quando os sóis do estio, à complacência alheios,
estendem-na, cansada, ao longo da campina,
dormir descontraído à sombra dos seus seios,
como abrigo tranqüilo ao pé de uma colina.",fr_XX,pt_XX,"Em tempos que a natureza em sua força poderosa
Concebia cada dia filhos monstruosos,
Eu teria vivido ao lado de uma jovem gigante,
Como um gato voluptuoso aos pés de uma rainha.
Eu teria visto seu corpo florir com sua alma
E crescer livremente em seus terríveis jogos;
Descobrir se seu coração guarda uma sombria chama
Nas névoas úmidas que nadam em seus olhos;
Percorrer à vontade suas magníficas formas;
Rastejar pelo lado de seus enormes joelhos,
E às vezes no verão, quando os sóis malignos,
Cansada, a faz estender-se por toda a planície,
Dormir despreocupado à sombra de seus seios,
Como um vilarejo tranquilo aos pés de uma montanha.",2
"lorsque tu dormiras, ma belle ténébreuse,
au fond d’un monument construit en marbre noir,
et lorsque tu n’auras pour alcôve et manoir
qu’un caveau pluvieux et qu’une fosse creuse;
quand la pierre, opprimant ta poitrine peureuse
et tes flancs qu’assouplit un charmant nonchaloir,
empêchera ton coeur de battre et de vouloir,
et tes pieds de courir leur course aventureuse,
le tombeau, confident de mon rêve infini
(car le tombeau toujours comprendra le poète),
durant ces grandes nuits d’où le somme est banni,
te dira: «que vous sert, courtisane imparfaite,
de n’avoir pas connu ce que pleurent les morts?»
— et le ver rongera ta peau comme un remords","quando fores dormir, ó bela tenebrosa
num negro mausoléu de mármores, e não
tiveres por alcova e morada senão
uma fossa profunda e uma tumba chuvosa;
quando a pedra, oprimindo essa carne medrosa
e esses flancos sensuais de morna lassidão,
impedir de querer e arfar seu coração
e teus pés de seguir a trilha aventurosa,
o túmulo que tem seu confidente em mim
– porque o túmulo sempre há de entender o poeta –,
na insônia sepulcral destas noites sem fim,
dir-te á: “de que te serviu cortesã incompleta,
não ter tido o que em vão choram os mortos sós?”
– e o verme te roerá como um remorso atroz.",fr_XX,pt_XX,"quando dormires, minha bela obscura,
no fundo de um monumento de mármore negro construído,
e quando tiveres para alcova e solar
apenas um túmulo chuvoso e uma cova vazia;
quando a pedra, oprimindo teu peito temeroso
e teus flancos que um encantador desleixo afrouxa,
impedir teu coração de bater e de querer,
e teus pés de correr sua aventurosa corrida,
o túmulo, confidente de meu sonho infinito
(pois o túmulo sempre abrigará o poeta),
durante essas grandes noites de onde o sono é banido,
te dirá: ""que lhe serve, cortesã imperfeita,
de não ter conhecido o que os mortos choram?""
— e o verme roerá tua pele como um remorso",2
