original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme la douce dérive
des pétales tombés de quelque rose magique ;
tout mon chagrin s’écoule de l’abîme
des cieux et neiges oubliés.
je crois, si je touchais la terre,
qu’elle s’effondrerait ;
elle est si triste et belle,
si frissonnante comme un rêve.",en_XX,fr_XX,"Mes larmes tombent en douceur,
Telles des pétales d'une rose enchantée ;
Et toute ma peine s'écoule de la brèche
Des cieux et des neiges oubliés.
Je pense que si je touchais la terre,
Elle s'effriterait ;
Elle est si triste et belle,
Tellement frêle comme un rêve.",0
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont telles les discrets détours
de pétales chus d’une rose magique ;
et toute ma peine se déverse depuis la faille
de cieux et de neiges effacés.
je pense que, si j’atteignais la terre,
elle tomberait en morceaux ;
c’est tellement triste et beau,
tel un rêve qui tremble.",en_XX,fr_XX,"Mes larmes sont telles la douce dérive
De pétales d'une rose magique ;
Et toute ma peine découle du fossé
Des cieux et neiges oubliés.
Je pense, que si je touchais la terre,
Elle s'effondrerait ;
Elle est si triste et belle,
Si tremblante comme un rêve.",0
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme le tracé silencieux
des pétales tombés d’une rose enchantée ;
et toute ma douleur s’échappe hors du grand creux
de cieux et de neiges que j’ai occultés.
je crois, si je touchais la terre,
qu’elle s’écroulerait ;
elle est si malheureuse et belle,
comme un rêve par ses frissons.",en_XX,fr_XX,"Mes larmes sont telles la douce dérive
Des pétales d'une rose magique ;
Et tout mon chagrin coule de la faille
Des cieux et des neiges oubliés.
Je pense, que si je touchais la terre,
Elle s'effondrerait ;
Elle est si triste et belle,
Si tremblante comme un rêve.",0
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes dérivent comme
les pétales d’une rose magique
et toute ma douleur coule
de la faille des cieux et de neiges sans nombre.
je pense que si je retombais
sur terre, je m’effriterais ;
c’est si triste et beau
c’est le tremblement d’un rêve.",en_XX,fr_XX,"Mes larmes coulent en silence,
Tel des pétales d'une rose magique ;
Et toute ma peine s'écoule de la crevasse
Des cieux et des neiges oubliés.

Je pense que si je touchais la terre,
Elle s'effondrerait ;
Elle est si triste et belle,
Tellement tremblante comme un rêve.",0
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"Quand les voix douces se taisent enfin,
La musique résonne en la mémoire sans fin ;
Les parfums, lorsque les violettes se fanent,
Dans les sens demeurent et leur douceur maintiennent.
Les feuilles de roses, quand la rose a trépassé,
Sont amassées pour le lit de l'être aimé ;
Ainsi, tes pensées, lorsque tu t'en iras,
L'amour lui-même dormira en paix, là-bas.",0
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"Quand les voix douces s'éteignent en silence,
La musique résonne dans la mémoire en révérence ;
Les parfums, quand les violettes s'effacent,
Résident dans les sens, toujours tenaces.
Les feuilles de roses, quand la rose se fane,
Sont entassées pour le lit de l'amant en peine ;
Ainsi, tes pensées, une fois disparu,
L'amour lui-même dormira, entendu.",0
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, lorsque meurent les douces voix,
vibre en la mémoire ;
les odeurs, lorsque dépérissent les suaves violettes,
se préservent dans la sensation qu’elles attisent.
les pétales de rose, lorsque est morte la rose,
sont amoncelés pour le lit de la bien-aimée ;
ainsi tes pensées, lorsque tu seras partie,
seront la couche de l’amour.",en_XX,fr_XX,"Quand meurt la voix douce de la musique,
elle résonne en mémoire magique ;
parfums, lorsque les violettes s'étiolent,
vivent dans les sens qui les frôlent.
Les feuilles de rose, lorsque la rose est morte,
sont amassées pour le lit de l’amour fort.
Ainsi, tes pensées, quand tu t'en iras,
l'amour lui-même dormira, là-bas.",0
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, au moment que se taisent les voix douces,
résonne en la mémoire ;
les baumes, au moment que s’assèchent les violettes délicates,
perdurent dans le sens qu’elles exaltent.
les pétales de rose, une fois que la rose a péri,
s’amoncellent pour former la couche de l’aimé ;
de même la pensée de toi, une fois que tu seras parti,
à quoi l’amour lui-même s’endormira.",en_XX,fr_XX,"Quand douces voix se taisent en silence,
La musique résonne en mémoire intense ;
Quand la violette douce se fane,
Son parfum persiste, dans nos sens, demeure en verve.
Les feuilles de la rose, quand la rose flétrie git,
Sont rassemblées dans le lit du bien-aimé, sans un pli ;
Ainsi, tes pensées, une fois loin de nous,
L'amour lui-même reposera en doux rendez-vous.",0
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix s’adoucissent à mourir,
résonne en souvenir ;
les fragrances, quand les tendres violettes se gâtent,
perdurent dans la sensualité qu’elles exaltent.
les pétales de rose, quand la rose a péri,
sont ramassés pour le lit de l’être chéri ;
et donc cette impression de toi, quand tu t’en seras allée,
sur laquelle l’amour même est voué à reposer.",en_XX,fr_XX,"La musique, quand meurent les voix douces,
vibre dans la mémoire ;
les odeurs, quand les doux violettes se fanent,
vivent au sein des sens qu'elles réveillent.
Les feuilles de rose, quand la rose est morte,
sont amassées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même dormira en paix.",0
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,"Maintenant seigneurs et dames joyeux et hardis,
Pour vous bénir ici je suis maintenant lié :
Je vous remercie mille fois,
Et prie Dieu de vous sauver entiers et sains ;
Où que vous alliez sur herbe ou sol,
Qu'il vous guide pour que rien ne vous chagrine,
Pour l'amitié que j'ai trouvée ici,
Contre mon gré, je prends congé.

Pour l'amitié et pour les faveurs bonnes,
Pour la nourriture et la boisson que vous m'avez offertes,
Le Seigneur qui fut élevé sur la croix
Maintenant vous garde en bonne compagnie.
Sur mer ou terre, où que vous soyez,
Qu'il vous guide pour que rien ne vous chagrine.
Un tel plaisir vous m'avez offert
Contre mon gré, je prends congé.

Contre mon gré bien que je m'en aille,
Je ne peux pas toujours rester ici ;
Car tout doit avoir une fin,
Et même les amis doivent se séparer, je crains ;
Quoi qu'il en soit, si chers que nous soyons,
La mort nous arrachera de ce monde,
Et quand nous serons portés à notre cercueil
Contre notre gré, nous prenons congé.

Maintenant bonjour à vous, bons messieurs,
Et bonjour à vous, jeunes et vieux,
Et bonjour à vous, grands et petits,
Et merci mille fois !
Si quelque chose vous est chère,
Je serais bien heureux de réaliser le souhait –
Maintenant que le Christ vous préserve du froid des chagrins,
Car maintenant enfin je prends congé.",0
