original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"La musique, quand les douces voix s'évanouissent,
résonne encore dans la mémoire ;
les odeurs, quand les jolis violetts fanent,
vivent encore dans les sens qu'elles ont stimulés.
Les feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"La musique, quand les douces voix s'évanouissent,
résonne encore dans la mémoire ;
les odeurs, quand les jolis violetts fanent,
vivent encore dans les sens qu'elles ont stimulés.
Les feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"La musique, quand les douces voix s'évanouissent,
résonne encore dans la mémoire ;
les odeurs, quand les jolis violetts fanent,
vivent encore dans les sens qu'elles ont stimulés.
Les feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"La musique, quand les douces voix s'évanouissent,
résonne encore dans la mémoire ;
les odeurs, quand les jolis violetts fanent,
vivent encore dans les sens qu'elles ont stimulés.
Les feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.",en_XX,fr_XX,"La musique, quand les douces voix s'évanouissent,
résonne encore dans la mémoire ;
les odeurs, quand les jolis violetts fanent,
vivent encore dans les sens qu'elles ont stimulés.
Les feuilles de rose, quand la rose est morte,
sont empilées pour le lit de l'être aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les douces voix s'évanouissent,
résonne dans la mémoire ;
odeurs, quand les jolis violettes fanent,
vivent dans le sens qu'elles éveillent.
fleurs de rose, quand la rose est morte,
sont amassées pour le lit de l'aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les douces voix s'évanouissent,
résonne dans la mémoire ;
odeurs, quand les jolis violettes fanent,
vivent dans le sens qu'elles éveillent.
fleurs de rose, quand la rose est morte,
sont amassées pour le lit de l'aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les douces voix s'évanouissent,
résonne dans la mémoire ;
odeurs, quand les jolis violettes fanent,
vivent dans le sens qu'elles éveillent.
fleurs de rose, quand la rose est morte,
sont amassées pour le lit de l'aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les douces voix s'évanouissent,
résonne dans la mémoire ;
odeurs, quand les jolis violettes fanent,
vivent dans le sens qu'elles éveillent.
fleurs de rose, quand la rose est morte,
sont amassées pour le lit de l'aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.",en_XX,fr_XX,"musique, quand les douces voix s'évanouissent,
résonne dans la mémoire ;
odeurs, quand les jolis violettes fanent,
vivent dans le sens qu'elles éveillent.
fleurs de rose, quand la rose est morte,
sont amassées pour le lit de l'aimé ;
et ainsi tes pensées, quand tu seras parti,
l'amour lui-même s'endormira.",1
