original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA,topic
"canção do exílio
minha terra tem palmeiras,
onde canta o sabiá;
as aves, que aqui gorjeiam,
não gorjeiam como lá.
nosso céu tem mais estrelas,
nossas várzeas têm mais flores,
nossos bosques têm mais vida,
nossa vida mais amores.
em cismar, sozinho, à noite,
mais prazer encontro eu lá;
minha terra tem palmeiras,
onde canta o sabiá.
minha terra tem primores,
que tais não encontro eu cá;
em cismar, sozinho, à noite,
mais prazer encontro eu lá;
minha terra tem palmeiras,
onde canta o sabiá.
não permita deus que eu morra,
sem que eu volte para lá;
sem que desfrute os primores
que não encontro por cá;
sem qu´inda aviste as palmeiras,
onde canta o sabiá.","chanson de l'exil
mon pays a des palmiers,
où chante le sabiá;
les oiseaux, qui chantent ici,
ne chantent pas comme là-bas.
notre ciel a plus d’étoiles,
nos vallées ont plus de fleurs,
nos forêts ont plus de vie,
notre vie a plus d’amours.
en songeant, tout seul, la nuit,
plus de plaisir j’y trouve là-bas;
mon pays a des palmiers,
où chante le sabiá.
mon pays a des beautés,
telles que je ne trouve pas ici;
en songeant, tout seul, la nuit,
plus de plaisir j’y trouve là-bas;
mon pays a des palmiers,
où chante le sabiá.
que dieu ne me laisse pas mourir,
sans que je retourne là-bas;
sans que j’accède aux beautés
que je ne trouve pas ici;
sans que je revois les palmiers,
où chante le sabiá.",pt_XX,fr_XX,"Chant de l'exil
Mon pays a des palmiers,
où chante le merle;
les oiseaux, qui ici gazouillent,
ne gazouillent pas comme là-bas.
notre ciel a plus d'étoiles,
nos prairies ont plus de fleurs,
nos forêts ont plus de vie,
notre vie plus d'amours.
À méditer, seul, la nuit,
plus de plaisir je trouve là;
mon pays a des palmiers,
où chante le merle.
Mon pays a des délices,
que je ne trouve pas ici;
À méditer, seul, la nuit,
plus de plaisir je trouve là;
mon pays a des palmiers,
où chante le merle.
Que Dieu ne permette pas que je meure,
sans que je retourne là-bas;
sans profiter des délices
que je ne trouve pas ici;
sans que je revoie les palmiers,
où chante le merle.",2
"língua portuguesa
última flor do lácio, inculta e bela,
és, a um tempo, esplendor e sepultura:
ouro nativo, que na ganga impura
a bruta mina entre os cascalhos vela...
amo-te assim, desconhecida e obscura.
tuba de alto clangor, lira singela,
que tens o trom e o silvo da procela,
e o arrolo da saudade e da ternura!
amo o teu viço agreste e o teu aroma
de virgens selvas e de oceano largo!
amo-te, ó rude e doloroso idioma,
em que da voz materna ouvi: meu filho!,
e em que camões chorou, no exílio amargo,
o génio sem ventura e o amor sem brilho!","la langue portugaise
dernière fleur de latium, inculte et belle,
tu es, en même temps, splendeur et sépulture:
or natif, qui dans la gangue impure
la mine brute entre les graviers surveille...
je t'aime ainsi, inexplorée et obscure.
clairon de grande clameur, lyre alanguie,
qui grondes et siffles telle la tempête,
et chantes pleine de nostalgie et de tendresse!
j'aime ta vigueur agreste et ta fragrance
de forêts vierges et de vaste océan!
je t'aime, oh langage rude et lancinant,
par lequel de la voix maternelle j'ai entendu mon fils!,
et dans lequel camões a pleuré, dans un exil affligeant,
le génie sans fortune et l’amour éteint!",pt_XX,fr_XX,"língua portuguesa
dernière fleur du Lácio, inculte et belle,
tu es, à la fois, splendeur et sépulture :
or natif, caché dans le gangue impur
de la brute mine parmi les cailloux veille...
je t'aime ainsi, inconnue et obscure.
tuba au son vibrant, lyre simple,
qui as le trom et le sifflement de la tempête,
et le murmure de la nostalgie et de la tendresse !
j'aime ta vigueur sauvage et ton parfum
des jungles vierges et de l'océan vaste !
je t'aime, ô langue rude et douloureuse,
dans laquelle j'ai entendu la voix maternelle : mon enfant!,
et dans laquelle le génie malheureux de Camões a pleuré,
l'amour sans éclat et le destin sans fortune!",2
"pergunta para meu pai
tu,
que lá em benguela
tinhas saudades do minho
expressas
em todos os teus olhares saudosos,
em todas as conversas.
tu,
que sempre recordavas lá tão longe
a tua terra distante
o teu portugal de menino.
porquê,
meu pai,
me negas o direito simples
de amar a minha terra,
a minha angola?
por que me negas todos os dias
atodas as horas,
o direito sagrado
de ter saudades da minha terra,
de olhar com os olhos embaciados,
mas contentes,
de escrever longas cartas inconsequentes,
de ter longas conversas melancólicas
sobre a minha terra desflorada,
a minha angola adiada?
serei poeta também
adiado como a minha terra.
eu negarei pai e mãe
pela minha terra.
três vezes como pedro
o apóstolo
negou cristo
três vezes antes de o galo cantar
no raiar da madrugada.","question pour mon père
toi
qui là-bas à benguela
avais la nostalgie du minho
affichée
dans tous tes regards nostalgiques
dans toutes tes conversations
toi
qui de si loin te rappelais toujours
le portugal de ton enfance
pourquoi
mon père
me refuses tu le simple droit
d’aimer mon pays
mon angola ?
pourquoi me refuses tu tous les jours
à toutes les heures
le droit sacré d’avoir la nostalgie de mon pays
de regarder avec des vues embuées
mais contentes
d’écrire de longues lettres inconséquentes
d’avoir de longues conversations mélancoliques
sur ma terre déflorée
mon angola ajournée !
serais-je moi aussi poète
ajourné comme mon pays.
je renierai père et mère
pour ma terre.
trois fois comme pierre
l’apôtre
a renié le christ
trois fois avant que le coq ne chante
aux première heures de l’aube.",pt_XX,fr_XX,"pergunta a mon père
toi,
qui là-bas à Benguela
avais la nostalgie du Minho
exprimée
dans chacun de tes regards nostalgiques,
dans chacune de tes conversations.
toi,
qui te rappelais toujours si loin
ta terre lointaine
ton Portugal d'enfant.
pourquoi,
mon père,
me refuses-tu simplement
le droit d'aimer ma terre,
mon Angola ?
pourquoi me refuses-tu chaque jour
à chaque heure,
le droit sacré
d'avoir la nostalgie de ma terre,
de regarder avec les yeux embués,
mais heureux,
d'écrire de longues lettres insensées,
d'avoir de longues conversations mélancoliques
sur ma terre déflorée,
mon Angola retardée ?
serai-je poète aussi
retardé comme ma terre.
je renierai père et mère
pour ma terre.
trois fois comme Pierre
l'apôtre
renia le Christ
trois fois avant que le coq ne chante
à l'aube naissante.",2
"soneto ao mar africano
ó grande mar, que banhas estas plagas
africanas, em ti ouço recados
dum mundo a outro mundo, nos teus brados
de prantos, risos, orações e pragas!
na dramática voz das tuas vagas,
escuto os que, nos séculos passados,
choraram nesse canto dos teus fados,
cantaram nesse choro em que te alagas…
na tua voz eu ouço o branco bravo,
que semeou portugal nestes recantos
africanos, e ainda o negro escravo
- ao mesmo tempo indómito e servil –
que regou com seu sangue e com seus prantos
a semente fecunda do brasil!","sonnet à la mer africaine
o grande mer, que baignes ces parages
africaines, en toi j'entends des messages, d'un monde
vers l'autre monde, dans tes cris
de larmes, de rires, de prières, de diableries!
dans la voix dramatique de tes vagues,
j'écoute ceux, qui au cours des siècles passés,
ont pleuré dans ce lieu de tes destinées,
ont chanté dans ces pleurs où tu t'inondes…
dans ta voix j'entends le blanc rageur,
qui a semé le portugal dans ces recoins
africains, et aussi l'esclave noir
- à la fois indomptable et servile -
qui a arrosé de son sang et de ses larmes
la semence féconde du brésil!",pt_XX,fr_XX,"Sonnet à la mer africaine
Ô grand océan, qui baigne ces rivages
Africains, en toi j'entends des messages
D'un monde à l'autre monde, dans tes cris
De pleurs, rires, prières et maléfices !
Dans la voix dramatique de tes vagues,
J'entends ceux qui, dans les siècles passés,
Ont pleuré sur ce chant de tes destins,
Ont chanté dans ce chagrin où tu t'engloutis…
Dans ta voix j'entends le blanc vaillant,
Qui a semé le Portugal dans ces coins
Africains, et encore l'esclave noir
- à la fois indomptable et servile –
Qui a arrosé de son sang et de ses pleurs
La graine féconde du Brésil !",2
"quanto invejo da pastora
o viver simples e bom!
mas a mim negou o fado,
não quis tivesse esse dom.
aquela no verde prado
seu rebanho vê pastar,
a natureza contempla,
que a deixa seus bens gozar.
enquanto do sol ardente
deixa passar o calor,
cheirosas flores enrama
para dar ao seu amor.
não fazem sua fortuna
vãs ilusões grandeza;
nem sofre cruéis motejos
seu tratar com singeleza.
cantando à borda do rio,
que banha alegre morada,
seus projetos executa
sem que seja censurada.
isenta de austeras leis,
pensa, ri, brinca se quer.
ignorando rigorismos
é feliz, onde estiver.
pelos céus abençoados
vê seus dias, seus prazeres,
desempenhando mimosa
seus mais sagrados deveres.
sua glória, em ser querida
e querer, funda somente.
carinhosa tem carinhos,
e vive assim bem contente.
ai de mim! a quem a sorte
de tão altos bens privou,
ditosos dias ainda
comigo não compartilhou","combien j'envie à la bergère
sa vie simples et heureuse !
mais à moi le destin a nié,
il n'a pas voulu m'attribuer don.
celle qui dans le vert pré
son troupeau voit paître,
elle contemple la nature,
qui lui laisse de ses biens profiter.
alors que le soleil brulant
laisse asser la chaleur,
elle attache les fleurs parfumées
qu'à son amour elle irá donner.
elle ne trouve pas le bonheur
dans les vaines illusions de grandeur;
ni elle souffre de cruelles moqueries
pour son aspect de simplicité .
elle chante au bord de la rivière,
qui baigne son heureuse demeure,
seus projets elle execute
sans être sans cesse critiquée.
libre de lois austères,
elle pense, rit, joue si c'est son vouloir.
ignorant les intransigeances
elle est heureuse, où qu'elle soit.
par la volonté des cieux bénis
elle voit ses jours, ses plaisirs,
tout en accomplissant gentiment
ses devoirs les plus sacrés.
sa gloire, d'être aimée
et le vouloir, n'a que ce fondement.
affectueuse elle a des calins,
et elle vit ainsi contente.
pauvre de moi! a qui le sort
a privé de si nobles acquis,
avec moi les jours si fortunés
il ne les a pas encore partagés",pt_XX,fr_XX,"Combien j'envie la bergère
Le vivre simple et bon!
Mais le destin m'a refusé,
N'a pas voulu que j'aie ce don.
Elle, dans le pré verdoyant
Voit paître son troupeau,
Contemple la nature,
Qui la laisse profiter de ses biens.
Pendant que le soleil brûlant
Laisse passer la chaleur,
Elle tresse des fleurs parfumées
Pour offrir à son amour.
Elle ne fait pas sa fortune
De vaines illusions de grandeur;
Ni ne souffre de cruels railleries
Par sa simplicité dans son comportement.
Chantant au bord de la rivière,
Qui baigne sa joyeuse demeure,
Elle réalise ses projets
Sans être critiquée.
Exempte de lois sévères,
Elle pense, rit, joue à sa guise.
Ignorant les rigidités,
Elle est heureuse, où qu'elle soit.
Par les cieux bénis
Elle voit ses jours, ses plaisirs,
Exécutant gracieusement
Ses devoirs les plus sacrés.
Sa gloire, en étant aimée
Et aimant, repose uniquement.
Affectueuse envers les tendresses,
Et ainsi vit-elle bien contente.
Hélas! À qui le sort
A privé de biens si nobles,
Les jours heureux encore
N'ont pas été partagés avec moi.",2
"amigo, queredes vos ir? -si, mia senhor, ca nom poss'al fazer, ca seria meu mal e vosso; por end'a partir mi convem d'aqueste logar; mais que gram coita d'endurar me será, pois m'é sem vós vir!
amigu', e de mim que será? -bem, senhor bõa e de prez; e pois m'eu fôr daquesta vez, o vosso mui bem se passará; mas morte m'é de m'alongar de vós e ir-m'alhur morar. mais pois é vós ũa vez ja!
amigu', eu sem vós morrerei. nom o queirades esso, senhor, mas pois u vós fôrdes, nom fôr o que morrerá, eu serei; mas quer'eu ant'o meu passar ca assi do voss'aventurar, ca eu sem vós de morrer hei!
queredes-m', amigo, matar? nom, mia senhor, mais por guardar vós, mato-mi que m'o busquei.","mon ami, voulez-vous partir ?
oui, ma dame, je ne peux pas faire autrement, puisque cela serait un malheur pour vous et pour moi, je dois quitter cet endroit; mais quel grand chagrin je vais devoir endurer, car sans vous voir je resterai!
mon ami, que vais-je devenir ?
eh bien, ma bonne et honnête dame, cette fois quand je partirai votre bien aimé disparaîtra; mais je vais mourir si je m'éloigne de vous et loin je vais rester eh bien, si pour vous il en est ainsi!
mon ami, sans vous je vais mourir. non, ne veuillez pas cela, seigneur car là où vous allez, je n'irai pas celui qui mourira, çá sera moi; mais je préfère ma mort plutôt que votre malheur car sans vous moi aussi je mourrai!
mon ami, vous voulez me tuer ?
non, ma dame pour vous garder je me tue car c'est moi qui l'a cherché",pt_XX,fr_XX,"amie, voulez-vous partir? -oui, ma dame, je ne peux pas rester, car ce serait mon malheur et le vôtre; c'est pourquoi il me faut quitter cet endroit; mais endurer une grande peine me sera, car c'est sans vous que je viens!
mon ami, que sera de moi? -eh bien, noble dame de prix; et puisque je m'en vais cette fois, votre bien se passera bien; mais c'est la mort pour moi de m'éloigner de vous et d'aller habiter ailleurs. mais puisque c'est vous une fois déjà!
mon ami, je mourrai sans vous. ne le souhaitez pas, ma dame, mais puisque vous partirez, ce n'est pas moi qui mourrai, ce sera moi; mais je veux avant mon départ risquer ainsi votre aventure, car sans vous je mourrai!
voulez-vous me tuer, mon ami? non, ma dame, mais pour vous protéger, je me tue moi-même pour l'avoir cherché.",2
"ó grande mar, que banhas estas plagas
africanas, em ti ouço recados
dum mundo a outro mundo, nos teus brados
de prantos, risos, orações e pragas!
na dramática voz das tuas vagas,
escuto os que, nos séculos passados,
choraram nesse canto dos teus fados,
cantaram nesse choro em que te alagas…
na tua voz eu ouço o branco bravo,
que semeou portugal nestes recantos
africanos, e ainda o negro escravo
- ao mesmo tempo indómito e servil –
que regou com seu sangue e com seus prantos
a semente fecunda do brasil!","o grande mer, que baignes ces parages
africaines, en toi j'entends des messages, d'un monde
vers l'autre monde, dans tes cris
de larmes, de rires, de prières, de diableries!
dans la voix dramatique de tes vagues,
j'écoute ceux, qui au cours des siècles passés,
ont pleuré dans ce lieu de tes destinées,
ont chanté dans ces pleurs où tu t'inondes…
dans ta voix j'entends le blanc rageur,
qui a semé le portugal dans ces recoins
africains, et aussi l'esclave noir
- à la fois indomptable et servile -
qui a arrosé de son sang et de ses larmes
la semence féconde du brésil!",pt_XX,fr_XX,"Ô grand océan, qui baigne ces rivages
africains, en toi j'entends des messages
d'un monde à l'autre monde, dans tes chants sauvages
de pleurs, de rires, de prières et de ravages !
Dans la voix dramatique de tes vagues,
j'entends ceux qui, dans les siècles passés,
ont pleuré dans ce chant de tes destinées,
ont chanté dans ce chagrin où tu te noies...
Dans ta voix j'entends le blanc courageux,
qui a semé le Portugal dans ces contrées
africaines, et encore l'esclave noir
- à la fois indomptable et servile -
qui a arrosé de son sang et de ses pleurs
la semence féconde du Brésil !",2
"pergunto ao vento que passa
notícias do meu país
e o vento cala a desgraça
o vento nada me diz.
pergunto aos rios que levam
tanto sonho à flor das águas
e os rios não me sossegam
levam sonhos deixam mágoas.(x2)
levam sonhos deixam mágoas
ai rios do meu país
minha pátria à flor das águas
para onde vais? ninguém diz.
se o verde trevo desfolhas
pede notícias e diz
ao trevo de quatro folhas
que morro por meu país. (x3)
pergunto à gente que passa
por que vai de olhos no chão.
silêncio – é tudo o que tem
quem vive na servidão.
vi florir os verdes ramos
direitos e ao céu voltados.
e a quem gosta de ter amos
vi sempre os ombros curvados.
e o vento não me diz nada
ninguém diz nada de novo.
vi minha pátria pregada
nos braços em cruz do povo.
vi meu poema na margem
dos rios que vão pró mar
como quem ama a viagem
mas tem sempre de ficar.
vi navios a partir
(portugal à flor das águas)
vi minha trova florir
(verdes folhas verdes mágoas).
há quem te queira ignorada
e fale pátria em teu nome.
eu vi-te crucificada
nos braços negros da fome.
e o vento não me diz nada
só o silêncio persiste.
vi minha pátria parada
à beira de um rio triste.
ninguém diz nada de novo
se notícias vou pedindo
nas mãos vazias do povo
vi minha pátria florindo.
e a noite cresce por dentro
dos homens do meu país.
peço notícias ao vento
e o vento nada me diz.
mas há sempre uma candeia
dentro da própria desgraça
há sempre alguém que semeia
canções no vento que passa.
mesmo na noite mais triste
em tempo de servidão
há sempre alguém que resiste
há sempre alguém que diz não.","je demande au vent qui passe
des nouvelles de mon pays
et le vent tait la disgrâce
le vent rien ne me dit.
je demande aux fleuves qui transportent
tant de rêves à la fleur des eaux
et les fleuves ne me tranquilisent pas
ils emportent les rêves, laissent les chagrins (x2)
ils emportent les rêves, laissent les angoisses
oh rivières de mon pays
ma patrie à fleur des eaux
où vas-tu ? personne ne me le dit.
si le trèfle vert tu défeuilles
demande des nouvelles et dit
au trèfle de quatre feuilles
que je meurs pour mon pays (x3)
je demande aux gens qui passent
pourquoi ils regardent vers le sol.
le silence est tout ce qu'ils ont
ceux qui vivent sous l'oppression.
j'ai vu fleurir les vertes branches
rigides et vers le ciel tournés.
et de ceux qui aiment avoir des maîtres
j'ai toujours vu les épaules voûtées.
et le vent ne me dit rien
personne ne dit rien de nouveau.
j'ai vu ma patrie clouée
dans les bras en croix du peuple.
j'ai vu mon poème sur la berge
des rivières qui vont vers la mer
comme celui qui aime le voyage
mais qui doit et toujours rester.
j'ai vu des bateaux qui partaient
(le portugal à fleur des eaux)
j'ai vu ma chanson fleurir
(feuilles vertes verts tourments)
il y a ceux qui te veulent ignorée
et qui disent patrie en ton nom.
je t'ai vu crucifiée
dans les bras noirs de la faim.
et le vent ne me dit rien
seul le silence persiste.
j'ai vu ma patrie immobile
au bord d'une rivière triste.
personne ne dit rien de nouveau
lorsque je demande des nouvelles
dans les mains vides du peuple
j'ai vu ma patrie fleurir.
et la nuit grandit à l'intérieur
des hommes de mon pays.
je demande des nouvelles au vent
et le vent rien me dit.
il y a toujours une lampe
dans notre propre disgrâce
il y a toujours quelqu'un qui sème
des chansons dans le vent qui passe.
même dans la nuit la plus triste
en temps de domination
il y a toujours quelqu'un qui résiste
il y a toujours quelqu'un qui dit non.",pt_XX,fr_XX,"Interrogeant le vent qui passe,
Des nouvelles de mon pays,
Et le vent se tait face à la disgrâce,
Le vent ne me dit rien, je m'enlis.
Interrogeant les rivières qui emportent,
Tant de rêves en surface des eaux,
Et les rivières ne me rassurent pas,
Elles emportent des rêves, laissent des maux.
Emportent des rêves, laissent des maux,
Ô rivières de mon pays,
Ma patrie en surface des eaux,
Où vas-tu ? Nul ne dit.
Si le trèfle vert se dénude,
Demande des nouvelles, et dis,
Au trèfle à quatre feuilles, s'il vous plait,
Que je meurs pour mon pays. (x3)
Interrogeant les gens qui passent,
Pourquoi avancer les yeux baissés.
Silence - c'est tout ce qu'on a
Qui vit dans la servitude.
J'ai vu fleurir les branches vertes,
Droits et tournés vers le ciel.
Et à ceux qui aiment être les maîtres,
J'ai toujours vu les épaules courbées.
Et le vent ne me dit rien,
Personne ne dit rien de nouveau.
J'ai vu ma patrie clouée,
Dans les bras en croix du peuple.
J'ai vu mon poème sur le rivage,
Des rivières qui vont vers la mer,
Comme quelqu'un qui aime le voyage,
Mais doit toujours rester.
J'ai vu les navires partir,
(Portugal en surface des eaux),
J'ai vu ma poésie fleurir,
(Feuilles vertes, douleurs vertes).
Il y a ceux qui veulent t'ignorer,
Et parlent de patrie en ton nom.
Je t'ai vue crucifiée,
Dans les bras noirs de la faim.
Et le vent ne me dit rien,
Seul le silence persiste.
J'ai vu ma patrie immobile,
Au bord d'une triste rivière.
Personne ne dit rien de nouveau,
Si des nouvelles je demande,
Dans les mains vides du peuple,
J'ai vu ma patrie fleurir.
Et la nuit grandit à l'intérieur,
Des hommes de mon pays.
Je demande des nouvelles au vent,
Et le vent ne me dit rien.
Mais il y a toujours une lumière,
Au cœur même de la disgrâce,
Il y a toujours quelqu'un qui sème,
Des chansons dans le vent qui passe.
Même dans la nuit la plus sombre,
En temps de servitude,
Il y a toujours quelqu'un qui résiste,
Il y a toujours quelqu'un qui dit non.",2
"angolano
ser angolano é meu fado, é meu castigo
branco eu sou e pois já não consigo
mudar jamais de cor ou condição...
mas, será que tem cor o coração?
ser africano não é questão de cor
é sentimento, vocação, talvez amor.
não é questão nem mesmo de bandeiras
de língua, de costumes ou maneiras...
a questão é de dentro, é sentimento
e nas parecenças de outras terras
longe das disputas e das guerras
encontro na distância esquecimento!","angolais
être angolais c'est mon destin, mon châtiment
blanc je suis et je ne pourrai plus jamais
changer de couleur ou de condition...
mais, le coeur aura-t-il une couleur?
être africain ce n'est pas une question de couleur
c'est du sentiment, de la vocation, peut-être de l'amour.
ce n'est même pas une question de drapeaux
de langue, de coutumes ou de manières...
c'est une question intérieure, c'est du sentiment
et dans les ressemblances d'autres pays
loin des disputes et des guerres
je trouve dans la distance l'oubli!",pt_XX,fr_XX,"angolais
Être angolais est mon destin, mon châtiment
Blanc je suis et donc je ne puis
Changer jamais de couleur ou condition...
Mais, a-t-on couleur le cœur, de raison?
Être africain n'est pas question de teint
C'est sentiment, vocation, peut-être amour.
Ce n'est pas question même de drapeaux
De langue, de coutumes ou manières...
La question est intérieure, est sentiment
Et dans les ressemblances d'autres terres
Loin des disputes et des guerres
Je trouve dans la distance oubli!",2
"cheguei ao fundo da estrada,
duas léguas de nada,
não sei que força me mantém.
é tão cinzenta a alemanha
e a saudade tamanha,
e o verão nunca mais vem.
quero ir para casa
embarcar num golpe de asa,
pisar a terra em brasa,
que a noite já aí vem.
quero voltar
para os braços da minha mãe,
quero voltar
para os braços da minha mãe.
trouxe um pouco de terra,
cheira a pinheiro e a serra,
voam pombas
no beiral.
fiz vinte anos no chão,
na noite de amsterdão,
comprei amor
pelo jornal.
quero ir para casa
embarcar num golpe de asa,
pisar a terra em brasa,
que a noite já aí vem.
quero voltar
para os braços da minha mãe,
quero voltar
para os braços da minha mãe.
vim em passo de bala,
um diploma na mala,
deixei o meu amor p'ra trás.
faz tanto frio em paris,
sou já memória e raiz,
ninguém sai donde tem paz.
quero ir para casa
embarcar num golpe de asa,
pisar a terra em brasa,
que a noite já aí vem.
quero voltar
para os braços da minha mãe,
quero voltar
para os braços da minha mãe.","j'ai atteint le bout du chemin
à deux lieux de nulle part,
je ne sais quelle force me soutient.
l'allemagne est si grise
et la nostalgie si grande,
et l'été qui tarde tant.
je veux rentrer chez moi
embarquer sur un coup d'aile,
marcher sur le sol brûlant,
car la nuit est toute proche.
je veux retourner
dans tes bras, maman,
je veux retourner
dans tes bras, maman.
j'ai apporté un peu de terre,
ça sent le pin et la montagne,
les colombes volent
sur les bords des toits.
j'ai eu vingt ans sur le sol
de la nuit d'amsterdam,
j'ai acheté l'amour
par le journal.
je veux rentrer chez moi
embarquer sur un coup d'aile,
marcher sur le sol brûlant,
car la nuit est toute proche.
je veux retourner
dans tes bras, maman,
je veux retourner
dans tes bras, maman.
je suis venu comme une balle,
un diplôme dans la malle,
j'ai laissé l'amour derrière moi.
il fait si froid à paris,
je suis déjà mémoire et racine,
personne ne part d'où il y a la paix.
je veux rentrer chez moi
embarquer sur un coup d'aile,
marcher sur le sol brûlant,
car la nuit est toute proche.
je veux retourner
dans tes bras, maman,
je veux retourner
dans tes bras, maman.",pt_XX,fr_XX,"Je suis arrivé au bout de la route,
Deux lieues de rien, sans doute,
Je ne sais quelle force me retient.
L'Allemagne est si grise,
La nostalgie si grande, si grise,
Et l'été ne revient jamais.
Je veux rentrer chez moi,
M'envoler d'un coup d'aile,
Marcher sur la terre en brasier,
Car la nuit arrive déjà.
Je veux retourner
Dans les bras de ma mère,
Je veux retourner
Dans les bras de ma mère.
J'ai apporté un peu de terre,
Ça sent le pin et la montagne,
Des pigeons volent
Sur le rebord.
J'ai vécu vingt ans au sol,
Dans la nuit d'Amsterdam,
Acheté de l'amour
Par les journaux.
Je veux rentrer chez moi,
M'envoler d'un coup d'aile,
Marcher sur la terre en brasier,
Car la nuit arrive déjà.
Je veux retourner
Dans les bras de ma mère,
Je veux retourner
Dans les bras de ma mère.
Je suis venu comme une balle,
Un diplôme dans la valise,
J'ai laissé mon amour derrière moi.
Il fait si froid à Paris,
Je suis déjà souvenir et racine,
Personne ne quitte là où il trouve la paix.
Je veux rentrer chez moi,
M'envoler d'un coup d'aile,
Marcher sur la terre en brasier,
Car la nuit arrive déjà.
Je veux retourner
Dans les bras de ma mère,
Je veux retourner
Dans les bras de ma mère.",2
