original_poem,translated_poem,src_lang,tgt_lang
"Ripped jacket with the stains on the surface
He was the kid that everyone was happy they weren't
Sitting alone invisible to every passing person
Wondering what it would feel like to have a purpose
He never had a childhood
Forced to parent his own parents like no child should
His father is a veteran drowning his memories with liquor
And his mother's taking pills that doctors give her but they only make her sicker
With no sibling to walk through this stuff
No ends, no money, no friends, no buddies, he ain't talking enough
He don't put himself out there, he's awkward too much
Well, who in his life would he learn confidence from?
And he sits behind me in class
One day I heard crying from the back
Finally I turned around and I asked
What was wrong
And the first time I heard his voice
He said ""all I know is pain, if this is life, what's the point?
Show me what happiness is
His voice gloomy he looked through me he said
Show me where happiness is
Desperateness on his face
I didn't know what to say
I couldn't think
Show me where happiness is
He put his head down
And he didn't make a sound
Show me where happiness is
And I just froze
Like I don't even know
 Perfect makeup even though she don't need the extra touch
She was the girl that every other girl was jealous of
Silky hair, blue eyes, thin body with
Curves, but her new clothes only cover parts of it
She's almost looked at like a goddess to all
Attracts every pair of eyes when she walks through the hall
But she's likable too, she's not the one to gossip
Evident when you talk to her, she ain't ever pompous
Wealthy home filled with knowledge and newness
She was the youngest out of 3 book smart students
And her parents were so proud, pride was all around her
But I always noticed something was a little off about her
She sits in front of me in class
One day I noticed heavy make up on her wrist when she passed papers back
After class, I approached her and I asked about it
She said it don't mean I have it if I'm around it
Show me where happiness is
I looked into her eyes
I saw her for the first time
Show me where happiness is
I saw regret
She walked away in a sec
Her voice rang through my head
Show me where happiness is
I watched her walk away
She became another face
What she say?
Show me where happiness is
And I just froze
Like I don't even know
 I don't know because I ask myself the same thing every single day
But every single answer has been vague
How come some appreciate the sun after the rain
While others just see the puddles as if nothing has changed?
And as I watch people living the life I couldn't take, I wonder if they see a way out to mentally
And as I watch people who live the life I idolize, I wonder what they feel and what isn't seen
As I watch my whole family take pills for depression I wonder what true happiness really means
I wonder if because I'm genetically predisposed to it, that is the reason I find myself feeling weak
Only sometimes, in and out
I guess it's scarier when you don't have a reason to be feeling down
Sometimes I just am
Sometimes I just feel no one will understand
Sometimes I wanna cry
Sometimes I want to crush my family's so-called medication look in their eyes
And tell them they don't need it as long we just have each other
But then sometimes I watch them suffer
I just wonder where happiness is
Show me where happiness is","Jaqueta rasgada e toda manchada
Ele era o moleque que ninguém queria ser
Sentado sozinho, invisível para todo mundo que passa
Se perguntando como seria ter um propósito
Ele nunca teve infância
Forçado a cuidar dos seus pais, de forma que uma criança não deveria
Seu pai é um veterano afogando sua memórias em licor
E sua mãe tomando remédios tomando remédios que os médicos dão que só a deixam mais doente
Sem irmão pra ajudarem a passar por isso
Sem fim, sem dinheiro, sem amigos, sem colegas, ele não fala muito
Ele nem sai muito, ele é estranho demais
Bom, quem na vida dele teria o ensinado a ser confiante?
E ele senta atrás de mim na sala
Um dia e ouvi ele chorando
Finalmente eu viro pra trás e pergunto
O que está errado?
E pela primeira vez eu ouço sua voz
Ele disse ""Eu só conheço a dor, se isso é vida, qual o sentido?""
Me mostre o que é felicidade
Uma voz sombria, ele olha através de mim
Me mostra onde está a felicidade
Desespero em sua face
Eu não sabia o que falar
Não consegui pensar
Me mostra onde está a felicidade
Ele abaixa a cabeça
E já não faz mais barulho
Me mostra onde está a felicidade
E eu congelei
Porque eu nem sei
 Maquiagem perfeita mesmo não precisando do toque extra
Ela era a garota de quem todas as outras garotas tinham inveja
Cabelo sedoso, olhos azuis, corpo magro com
Curvas, mas sua roupa nova só cobre algumas partes
Ela quase é vista como uma deusa por todos
Atrai todos os pares de olhos quando anda no corredor
Mas ela também é legal, não é do tipo fofoqueira
Evidente quando você fala com ela, ela nunca é pomposa
Casa saudável cheia de conhecimento e novidades
Ela era a mais jovem de 3 grandes estudantes
E seus pais eram tão orgulhosos, orgulho estava sempre ao seu redor
Mas eu sempre percebi que ela estava sempre meio estranha
Ela senta na minha frente na sala
Um dia eu percebi uma maquiagem pesada no seu pulso quando passou uns papéis pra trás
Depois da aula eu me aproximei dela e perguntei sobre
Ela disse que não é por estar ao seu redor, que ela também tem
Me mostre onde está a felicidade
Eu olhei no fundo dos olhos dela
E vi pela primeira vez
Me mostre onde está a felicidade
Eu vi arrependimento
Ela foi embora num segundo
Sua voz ressoou na minha cabeça
Me mostre onde está a felicidade
Eu vi ela ir embora
Ela se tornou mais um rosto
O que ela disse?
Me mostre onde está a felicidade
E eu só congelei
Porque eu não sei
 Eu não sei porque eu me pergunto a mesma coisa todo dia
E todas as respostas tem sido vagas
Como pode alguns apreciarem o sol depois da chuva
Enquanto outros só veem as poças como se nada tivesse mudado?
E enquanto assisto as pessoas viverem a vida que eu não tive, me pergunto se eles veem uma saída mental
E enquanto eu vejo pessoas vivendo a vida que eu idolatro, eu me pergunto o que eles sentem e não é visto
Enquanto vejo minha família tomando remédios para depressão me pergunto quão real a felicidade é
Eu imagino se por eu ser geneticamente predisposto, seja o motivo de eu me sentir fraco
Só as vezes, vai e volta
Eu acho que é mais assustador quando você não tem um motivo pra se sentir mal
As vezes eu só estou
As vezes eu só acho que ninguém vai entender
As vezes eu quero chorar
As vezes eu quero jogar fora os tais remédios da minha família, olhar nos olhos deles
E dizer que eles não precisam disso enquanto tivermos uns aos outros
Mas então as vezes eu os vejo sofrer
E eu me pergunto onde está a felicidade
Me mostre onde está a felicidade",en_XX,pt_XX
"Made by God
 Even if it's raining, and the wind is blowing
Even if we're far from home, even if it's snowing
I know that our love is pure, our love will protect us
Even if the world turns against us
 I don't care, I don't care
I don't care, I don't care
As long as you're with me
I don't care, I don't care
I don't care, I don't care
As long as you're with me
 La la la la la la la la
 Yo, people of Earth, God is a DJ
And He loves you
 Even if it's raining, and the wind is blowing
Even if we're far from home, even if it's snowing
I know that our love is forever, our love will protect us
Yes even if the whole wide world turns against us
 I don't care, I don't care
I don't care, I don't care
As long as you're with me
I don't care, I don't care
I don't care, I don't care
As long as you're with me
 La la la la la la la la la
 Even if it's raining, and the wind is blowing
Even if we're far from home, even if it's snowing
I know that our love is pure, our love will protect us
Even if the world turns against us
 I don't care, I don't care
I don't care, I don't care
As long as you're with me
I don't care, I don't care
I don't care, I don't care
As long as you're with me
 I don't care, I don't care
I don't care, I don't care
As long as you're with me
I don't care, I don't care
I don't care, I don't care
As long as you're with me","Feito. Por. Deus.
 Mesmo se estiver chovendo, e o vento soprando
Mesmo se estivermos longe de casa, mesmo nevando
Eu sei que o nosso amor é puro, o nosso amor irá nos proteger
Mesmo que o mundo se volte contra nós
 Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
 La la la la la la la la
 Aí, terráqueos / Deus é um DJ
E Ele te ama
 Mesmo se estiver chovendo, e o vento soprando
Mesmo se estivermos longe de casa, mesmo nevando
Eu sei que o nosso amor é eterno, o nosso amor irá nos proteger
Mesmo que o mundo inteirinho se volte contra nós
 Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
 La la la la la la la la
 Mesmo se estiver chovendo, e o vento soprando
Mesmo se estivermos longe de casa, mesmo nevando
Eu sei que o nosso amor é puro, o nosso amor irá nos proteger
Mesmo que o mundo se volte contra nós
 Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
 Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo
Eu não me importo, eu não me importo
Eu não me importo, eu não me importo
Desde que você esteja comigo",en_XX,pt_XX
"I wore my fine fine dress to be mine
When time was pickpocketing still
I rolled my sleeves up
And danced along the breeze that blew up hill
 My lips were vacant so I started to sing
My hands were empty so I began to play
For the mimosas and for the mimosas
and before the wind blew them away
 I flaunted my fine fine dress for a laugh
My knees were as high as the see
I swell on their behalf and dream about mimosa tree
Dreamin’ about mimosa tree
 I dragged my fine fine dress not to fly
Not so fast not so fast
Dandelion meadowsweet tiger lily
I yearned for the mimosa tree
 I stripped myself from my fine fine dress
To get a good night sleep
With mimosa eyes in my hair
Dozed off happy and deep
My lips were vacant so I started to sing
My hands were empty so I began to play
For the mimosas and for the mimosas
and before the wind blew them away
Before the wind blew them away
Before the wind blew them away","Eu usei meu vestido fino para ser meu
Quando o tempo ainda estava roubando carteiras
Eu arregacei as minhas mangas
E dancei ao longo da brisa
que explodiu na colina
Meus lábios estavam vagos, então comecei a cantar
Minhas mãos estavam vazias então comecei a tocar
Para as mimosas e para as mimosas
e antes que o vento os levasse
Eu ostentava o meu fino, fino vestido para um riso
Meus joelhos estavam tão altos como o ver
Enfuno em seu nome e sonho com a mimosa
Sonhando com a mimosa livre
Meus lábios estavam vagos, então comecei a cantar
Minhas mãos estavam vazias, assim comecei a tocar
Para as mimosas e para as mimosas
e antes que o vento as levasse
 Eu arrastei o meu fino, fino vestido para não voar
Não tão rápido não tão rápido
Dente-de-leão, ulmeira, lírio de tigre
Eu ansiava pela mimosa
Meus lábios estavam vagos, assim comecei a cantar
Mãos vazias, prontas para jogar
Para as mimosas e para as mimosas
antes que o vento as levasse
Eu despi o meu vestido fino, fino
Para ter uma boa noite de sono
Com olhos de mimosa no meu cabelo
Adormeci feliz e profundamente
Meus lábios estavam vagos, então comecei a cantar
Mãos vazias prontas a jogar
Para mimosas e para mimosas
Antes que o vento as levasse
Antes que o vento as levasse
Antes que o vento as levasse
Meus lábios estavam vagos, assim comecei a cantar
Mãos vazias prontas a jogar
Para as mimosas e para as mimosas",en_XX,pt_XX
"God of Nations at Thy feet,
In the bonds of love we meet,
Hear our voices, we entreat,
God defend our free land.
Guard Pacific's triple star
From the shafts of strife and war,
Make her praises heard afar,
God defend New Zealand.
 Men of every creed and race,
Gather here before Thy face,
Asking Thee to bless this place,
God defend our free land.
From dissension, envy, hate,
And corruption guard our state,
Make our country good and great,
God defend New Zealand.
 Peace, not war, shall be our boast,
But, should foes assail our coast,
Make us then a mighty host,
God defend our free land.
Lord of battles in Thy might,
Put our enemies to flight,
Let our cause be just and right,
God defend New Zealand.
 Let our love for Thee increase,
May Thy blessings never cease,
Give us plenty, give us peace,
God defend our free land.
From dishonour and from shame,
Guard our country's spotless name,
Crown her with immortal fame,
God defend New Zealand.
 May our mountains ever be
Freedom's ramparts on the sea,
Make us faithful unto Thee,
God defend our free land.
Guide her in the nations' van,
Preaching love and truth to man,
Working out Thy glorious plan,
God defend New Zealand.","Deus das nações, a Vossos pés,
Nos vínculos do amor nós nos encontramos,
Ouça nossas vozes, nós vos rogamos,
Deus defenda nossa terra livre.
Guardai a Estrela tripla do Pacífico,
Dos males do conflito e da guerra,
Fazei seus louvores serem ouvidos de longe,
Deus defenda a Nova Zelândia.
 Homens de todo credo e toda raça,
Reúnem-se aqui perante Vossa face,
Pedindo a vós que abençoeis este lugar,
Deus defenda nossa terra livre.
Da discórdia, da inveja, do ódio,
E da corrupção guarde nosso Estado,
Fazei nosso país ser bom e grande,
Deus defenda a Nova Zelândia.
 A paz, não guerra, será nosso lema
Mas, se acaso os inimigos acossarem nossa costa,
Fazei de nós então uma poderosa hoste,
Deus defenda nossa terra livre.
Senhor das batalhas, em Vossa grandeza,
Ponde nossos inimigos ao voo,
Deixai nossa causa ser justa e direita,
Deus defenda a Nova Zelândia.
 Deixai nosso amor por Vós aumentar,
Que Vossas bênçãos nunca cessem,
Dai-nos a abundância, dai-nos a paz,
Deus defenda nossa terra livre.
Da desonra e da vergonha,
Guardai o nome imaculado do nosso país,
Coroai-o com fama imortal,
Deus defenda a Nova Zelândia.
 Que nossas montanhas sempre sejam,
Os bastiões da liberdade sobre o mar,
Fazei-nos fiéis ante a Vós,
Deus defenda nossa terra livre.
Guiai-a no conjunto das nações,
Pregando amor e verdade ao homem,
Na execução do Vosso plano glorioso,
Deus defenda a Nova Zelândia.",en_XX,pt_XX
"We're riding as daylight dies
Wolves howling in the Twilight Halls
Hounds leaving in this Winter night
Pretenders to this empty throne
We'll strike like lightning from the sky
As the end is getting close
We'll make them all
remember our names
 Unbroken, our soul of ice
A blaze in the ashes of time
Unspoken, our story lies
Story lies
 At night time we will return
Unleashing the power of truth
Forever our flame will burn
Again we will set up the rules
Today the hunters search for preys
Tomorrow the chased ones
will slay them all
Blood calls for blood
 Unbroken, our soul of ice
A blaze in the ashes of time
Unspoken, our story lies","Cavalgamos enquanto a luz do dia morre
Lobos uivando nos Salões do Crepúsculo
Cães de caça partindo nesta noite de inverno
Pretendentes a este trono vazio
Nós os atacaremos como um relâmpago do céu
E conforme o fim se aproxima
Faremos todos eles
Se lembrarem de nossos nomes
 Intacta, nossa alma de gelo
Uma labareda nas cinzas do tempo
Não contada, permanece a nossa história
A história permanece
 À noite nós retornaremos
Libertando o poder da verdade
Eternamente nossa chama queimará
Mais uma vez ditaremos as regras
Hoje os caçadores buscam presas
Amanhã os perseguidos
matarão todos eles
O sangue atrai sangue
 Intacta, nossa alma de gelo
Uma labareda nas cinzas do tempo
Não contada, permanece a nossa história",en_XX,pt_XX
"Hiding, escaping from any ray of light
So that people cannot see the signs of my tough fight
Some nights, I can't escape from my own mind
Angry ghosts are shouting at me, they stand by my side
 Breathing out and breathing in, I'm trying to stay alive
Looking for a cure to overcome what makes me die
There is no rest from the nightmares in my nights
Away from this cave I'll find a light
 This is my dark side I'm trying to hide
And with my silence I'm blurring your sight
The only way to escape from the tide
Is to dive in and live my life
On a façade I am painting a lie
I'll try to unveil this quiet cry
And all the pain will be just left behind
 Sorrow corrodes my eyes and makes me blind
I can't build a lighthouse into this dark land of mine
At first glance I'll make you think I rule the world
Don't you know? Not all that glitters is gold
 Breathing out and breathing in, I'm trying to survive
Things will have to change 'cause otherwise I'm gonna die
There is no rest from the doubts killing my time
Away from this cave there must be the light
 This is my dark side I'm trying to hide
And with my silence I'm blurring your sight
The only way to escape from the tide
Is to dive in and live my life
On a façade I am painting a lie
I'll try to unveil this quiet cry
And all the pain will be just left behind
 Resting, I give a painful look inside
Self- destruction's always been the sign of my own crime
Smiles cannot replace this raving cry
Will I ever learn how to switch off my mind?
 Breathing out and breathing in, I'm trying to stay alive
Looking for a cure to overcome what makes me die
There is no rest from the nightmares in my nights
Away from this cave I'll find a light
 This is my dark side I'm trying to hide
And with my silence I'm blurring your sight
The only way to escape from the tide
Is to dive in and live my life
On a façade I am painting a lie
I'll try to unveil this quiet cry
And all the pain will be just left behind
 (To unveil this quiet cry
and all the pain will be just left behind)","Me escondendo, fugindo de qualquer raio de luz
Para que as pessoas não possam ver os sinais da minha cruz
Em algumas noites, não consigo escapar da minha própria mente
Fantasmas furiosos estão gritando comigo, na minha frente
 Respirando fundo, eu tento manter o meu viver
Em busca de uma cura para superar o que me faz morrer
Dos pesadelos em minhas noites não há descansar
Longe desta caverna, a luz hei de encontrar
 Este é o meu lado sombrio que estou tentando esconder
E com o meu silêncio, sua visão irei obscurecer
A única maneira de escapar desta maré
é mergulhar e viver a minha vida
Numa fachada estou pintando uma mentira
Tentarei expor este grito silencioso1
E toda a dor será deixada para trás
 A tristeza corrói os meus olhos e me cega
Não consigo construir um farol nesta minha terra deserta
À primeira vista você pode pensar que tenho o mundo aos meus pés
Mas você não sabe? Nem tudo o que brilha é ouro
 Respirando fundo, eu tento sobreviver
As coisas têm que mudar, pois do contrário eu vou morrer
Não há descanso das dúvidas matando o meu tempo
Longe desta caverna, deve haver a luz
 Este é o meu lado sombrio que estou tentando esconder
E com o meu silêncio, sua visão irei obscurecer
A única maneira de escapar desta maré
é mergulhar e viver a minha vida
Numa fachada estou pintando uma mentira
Tentarei expor este grito silencioso
E toda a dor será deixada para trás
 Descansando, dou uma olhada dolorosa dentro de mim
A auto-sabotagem sempre foi o sinal do meu próprio crime
Os sorrisos não conseguem substituir este intenso choro2
Algum dia aprenderei a desligar a minha mente?
 Respirando fundo, eu tento manter o meu viver
Em busca de uma cura para superar o que me faz morrer
Dos pesadelos em minhas noites não há descansar
Longe desta caverna, a luz hei de encontrar
 Este é o meu lado sombrio que estou tentando esconder
E com o meu silêncio, sua visão irei obscurecer
A única maneira de escapar desta maré
é mergulhar e viver a minha vida
Numa fachada estou pintando uma mentira
Tentarei expor este grito silencioso
E toda a dor será deixada para trás
 (Expor este grito silencioso
e então toda a dor será deixada para trás)
  1.
E não ""choro silencioso"", para criar um oxímoro.
2.
Raving, como adjetivo, é (ou pode ser) um intensificador.",en_XX,pt_XX
"Dead
Stiff and cold
In your box
To decay
Dead","Morto
Rígido e gelado
Em seu caixão
Para apodrecer
Morto",en_XX,pt_XX
"Lost in the white
Nothing in sight
Stumbling thru the snow and ice
Blinded by forces you can't control
Just to stay alive your only goal
 Caught within the grip of winter
Hyperboric nightmare reigns
A arctic hysteria sets in
Body goes numb as your brain
 Legs go numb
Panic strikes
So you then light a fire
Put your legs in the flames
Hoping for a rush of pain
 Flesh burns right to the core
Spits blood from every pore
Smell your skin peel away
For your life a small price to pay
 Running in searing pain
Rational thoughts
Are quickly slain
Take in your last cold breath
As you fall to your backsnapping death","Perdido no branco
Nada à vista
Tropeçando pela neve e pelo gelo
Cegado pelas forças que não pode controlar
Sobreviver é seu único objetivo
 Preso pelas garras do inverno
Reino dos pesadelos hiperbóreos
Acometido por uma histeria ártica
O corpo fica entorpecido, assim como seu cérebro
 As pernas adormecem
Vem o pânico
Você acende uma fogueira
Coloca as pernas nas chamas
Esperando uma dor insuportável
 A carne queima até o fim
Lançando sangue por todos os poros
O cheiro da carne descascando
É só um pequeno preço a pagar por sua vida
 Correndo com uma dor abrasadora
Pensamentos racionais
São rapidamente eliminados
Aspire seu último fôlego gélido
Enquanto cai para sua morte lancinante",en_XX,pt_XX
"From the brown infested clouds
Painful death is unleashed
Toxic rain upon your skin
Now you are diseased
 Pus filled wounds begin to form
Inflamed bloated mess
Internal organs sizzle and corrode
Contaminated blood flows with death
The features are slowly rotting
Off your deformed face
Now you are just
A twisted mass of burnt decay
 Retching violently
Heaving chunks of burnt toxic decay
Hair falls out
Bowels expel their rotten stinking waste
 Body and mind are dubbed a fate
So horrendous and sick
The safety of the womb is gone
Bloody pus oozes from your dick
 Unformed offspring
Meet the poisoned air
Ejected fetuses litter the street
Men and women cry
For themselves and their young
A twisted monument
Of mans defeat","Das pardas nuvens infestadas
A dolorosa morte é liberada
Chuva tóxica sobre sua pele
Agora você está tomado pela doença
 Feridas cheias de pus começam a se formar
Sujeira inflamada e inchada
Órgãos internos chiam e se corroem
Sangue corre contaminado com a morte
As feições lentamente apodrecem
Deformando sua face toda
Agora você é apenas
Uma massa retorcida de decadência queimada
 Vomitando violentamente
Atirando pedaços de decadência queimada tóxica
Cabelo caindo
Intestinos expelindo seus restos podres fétidos
 Corpo e mente condenados a um destino
Tão horrendo e doentio
A segurança do ventre se foi
Pus sangrento escorre de seu pau
 Prole malformada
Encontra o ar envenenado
Fetos ejetados se espalham pela rua
Homens e mulheres choram
Por si mesmos e por seus filhos
Um monumento retorcido
Da derrota da humanidade",en_XX,pt_XX
"Have you ever seen me like this,
Drinking summer evening like juice,
Being so delightful to tease,
Looking here for someone to choose.
Have you ever heard me like this,
Singing songs as if I am mad,
Dancing in the waves with the breeze,
Drawing broken heart on the sand.
o-ó-o
Follow me, I'll show you my soul.
Let's be open-minded and free.
By myself I'm playing my role,
I want you to play it with me.
o-ó-o
Follow me, I'll show you my soul.
Let's be open-minded and free.
By myself I'm playing my role,
I want you to play it with me.
o-ó-o
--------------------------------------------
I have never acted this way
Having all my feelings to share
Asking you just hold me and stay
Banishing my rage and despair.
I have never prayed in the night
Thinking of my future with you
Painting it in yellow and white
Adding also orange and blue.
o-ó-o
Follow me, I'll show you my soul.
Let's be open-minded and free.
By myself I'm playing my role,
I want you to play it with me.
o-ó-o
Follow me, I'll show you my soul.
Let's be open-minded and free.
By myself I'm playing my role,
I want you to play it with me.
o-ó-o
--------------------------------------------
Come on, follow me
Let's be open-minded and free","Tu já me viste alguma vez assim,
Bebendo a noite de verão como sumo,
Tão encantador a provocar,
Procurando aqui alguém para escolher.
Tu já me ouviste alguma vez assim,
Cantando canções como se eu fosse louco,
Dançando nas ondas com a brisa,
Desenhando coração partido na areia.
o-o-o
Segue-me, vou mostrar-te a minha alma.
Vamos ser mente aberta e livre.
Por mim mesmo, estou exercendo o meu papel,
Quero que o exerças comigo.
o-o-o
Segue-me, vou mostrar-te a minha alma.
Vamos ter a mente aberta e livre.
Por mim mesmo, estou exercendo o meu papel,
Quero que tu o exerças comigo.
o-o-o
--------------------------------------------
Nunca agi desta maneira
Tendo todos os meus sentimentos para compartilhar
Pedindo só que me abraces e fiques
Banindo a minha raiva e desespero.
Nunca rezei à noite
Pensando no meu futuro contigo
Pintando-o de amarelo e branco
Adicionando também laranja e azul.
o-o-o
Segue-me, vou mostrar-te a minha alma.
Vamos ter a mente aberta e livre.
Sozinho, estou exercendo o meu papel,
Eu quero que tu o exerças comigo.
o-o-o
Segue-me, vou mostrar-te a minha alma.
Vamos ter a mente aberta e livre.
Sozinho, estou exercendo o meu papel,
Quero que o exerças comigo.
o-o-o
--------------------------------------------
Vamos, segue~me
Vamos ter a mente aberta e livre",en_XX,pt_XX
