original_poem,translated_poem,src_lang,tgt_lang
"Fonu hoku mafu he mamahi ʻoka malu efiafi
Kuo hapai koe ʻe ʻōseni
Foki mai ki ʻapi hoku ngaahi foha
 Still vastness in the horizon
Fifteen long months under mocking sun
Land threw us there, away from world
Plays to us music yet unheard
We were there
We were there
 Still vastness in our heartbeat
Solitude and woe tear us apart?
They say that man is the foulest beast
Roaming the hills of self-deceit
But we came back
We came back
 We are the ones to tell you why
The world of us, it will survive
Light a fire for the boat afar
Campsite Gaia
We all are
The children of ʻAta
 This guitar we built still chimes with hope
Never gave our souls to the carrion crows
Every new day we saw the sun rise
Every new day we beat the lord of flies
We were there
We're still here
 We are the ones to tell you why
The world of us, it will survive
Light a fire for the boat afar
Campsite Gaia
We all are
The children of ʻAta
 Ko ʻeku lotu ke tau moʻui
Ko ʻeku lotu ke tau moʻui
Ko ʻeku lotu ke tau moʻui (ʻoiaue)
We are the ones to tell you why
We are the ones
Ko ʻeku lotu ke tau moʻui
ʻOku mau kei lepa atu pē
Ko ʻeku lotu
 We're all here
On an island of black seas
Red in tooth
Red in claw
Red in love, the passionate young
We're still here
On an island of soon free
Learning to live
Yearning to give
The stranded a ride back home
 We are the ones to tell you why
The world of us, it will survive
Light a fire for the boat afar
Campsite Gaia
Remember
The children of 'Ata (ʻoiaue)","Fonu hoku mafu he mamahi ʻoka malu efiafi
Kuo hapai koe ʻe ʻōseni
Foki mai ki ʻapi hoku ngaahi foha1
 Vastidão parada no horizonte
Quinze longos meses sob o sol zombeteiro
A terra nos jogou lá, longe do mundo
Toca para nós uma música ainda não ouvida
Nós estávamos lá
Nós estávamos lá
 Vastidão parada em nosso batimento cardíaco
A solidão e a desgraça nos separam?
Dizem que o homem é a besta mais imunda
Vagando pelas colinas do autoengano
Mas nós voltamos
Nós voltamos
 Nós somos os únicos a dizer por que
O mundo de nós, ele sobreviverá
Acenda uma fogueira para o barco ao longe
Acampamento Gaia
Nós todos somos
As crianças de 'Ata2
 Esta guitarra que construímos ainda ressoa com esperança
Nunca entregamos nossas almas aos corvos carniceiros
A cada novo dia víamos o sol nascer
A cada novo dia víamos o senhor das moscas
Nós estávamos lá
Ainda estamos aqui
 Nós somos os únicos a dizer por que
O mundo de nós, ele sobreviverá
Acenda uma fogueira para o barco ao longe
Acampamento Gaia
Nós todos somos
As crianças de 'Ata
 Ko ʻeku lotu ke nau moʻui
Ko ʻeku lotu ke nau moʻui
Ko ʻeku lotu ke nau moʻui (ʻoiaue)3
Nós somos os únicos que dizemos o porquê
Nós somos os únicos
Ko ʻeku lotu ke nau moʻui
ʻOku mau kei lepa atu pē
Ko ʻeku lotu4
 Estamos todos aqui
Em uma ilha de mares negros
Vermelho nos dentes
Vermelho nas garras
Vermelho no amor, o jovem apaixonado
Ainda estamos aqui
Em uma ilha de logo livre
Aprendendo a viver
Ansiando por dar
Aos encalhados uma carona de volta para casa
 Nós somos os únicos a dizer por que
O mundo de nós, ele sobreviverá
Acenda uma fogueira para o barco ao longe
Acampamento Gaia
Lembre-se
As crianças de 'Ata (ʻoiaue)
  1.
Minha respiração está cheia de dor à noite / O oceano te atingiu / Voltem para casa meus filhos
2.
'Ata é uma pequena ilha rochosa e desabitada no extremo sul do arquipélago de Tonga, situado na Oceania. É também conhecida como ilha Pylstaart. Não deve ser confundida com a ilha de Ata, que é uma outra ilha desabitada, ao norte de Tongatapu. 'Ata situa-se a 157 km a sudoeste da ilha principal de Tonga, Tongatapu, e a 163 km a sudoeste da ilha ʻEua, tendo cerca de 1,7 km de norte a sul e uma largura de 1,6 km. A sua área é de 2,3 km², mas há fontes que relatam ter apenas 1,5 km². 'Ata tem 355 metros de altitude máxima.
3.
Minha oração é que eles sobrevivam / Minha oração é que eles sobrevivam / Minha oração é que eles sobrevivam
4.
Minha oração é que eles sobrevivam / Ainda estamos rotulando / Minha oração",en_XX,pt_XX
"Child of mankind
Of yesterwynde
Sway away the woe in us
A grateful soul never needed much
Emanate the heavens
Through your touch
 Sway over the mountaintops
Soar over the swaying crops
Adorn your garden with
A perfect day
Sway over the discontent
Ghost stories in a tent
Your house lands on the witch
See yourself
 It has begun to snow again
In this perfect village, home
The birds have flown, the birds have known
Where you rest your worn out wings
 Sway over the mountaintops
Soar ovеr the swaying crops
Adorn your garden with
A perfеct day
Sway over the discontent
Ghost stories in a tent
Your house lands on the witch
See yourself
 Some stories heal and some will scar
The big reveal awaits in awe
The big reveal awaits us all
The big reveal
The big reveal awaits us all
The big reveal awaits us all
 Sway over the mountaintops
Get that dance out of you
Sway away, sway away
Over the mountaintops
Sway away","Filho da humanidade
De ontem1
Afasta a tristeza em nós
Uma alma grata nunca precisou de muito
Emana os céus
Através do seu toque
 Balance sobre os topos das montanhas
Planeje sobre as colheitas balançando
Enfeite seu jardim com
Um dia perfeito
Balance sobre o descontentamento
Histórias de fantasmas em uma tenda
Sua casa pousa na bruxa
Veja a si mesmo
 Começou a nevar novamente
Nesta vila perfeita, lar
Os pássaros voaram, os pássaros souberam
Onde você descansa suas asas gastas
 Balance sobre os topos das montanhas
Planeje sobre as colheitas balançando
Enfeite seu jardim com
Um dia perfeito
Balance sobre o descontentamento
Histórias de fantasmas em uma tenda
Sua casa pousa na bruxa
Veja a si mesmo
 Algumas histórias curam e outras deixam cicatrizes
A grande revelação aguarda com admiração
A grande revelação aguarda a todos nós
A grande revelação
A grande revelação aguarda a todos nós
A grande revelação aguarda a todos nós
 Balance sobre os topos das montanhas
Tire essa dança de você
Balance para longe, balance para longe
Sobre os topos das montanhas
Balance para longe
  1.
Como já deixei explicado na tradução de Yesterwynde, a palavra ""Yesterwynde"" é uma palavra inventada, porém, para tentar fazer a tradução ter um pouco mais de sentido em português, traduzirei ela como ""ontem"".",en_XX,pt_XX
"Unearth a weave of a lost world
Your fathers' voice no more unheard
 Sixty times to the sun and back I return
Just imagine an awake tomorrow
 Humankind, reconciled, human child, undefiled
Navigate, celebrate
History, mystery, afterlife will arrive
Outermost, reaches of human mind
Labyrinth, navigate, animate
Avatar of the tides
In the end, to the stars
 Tools of mankind
All odds defied
This hour is ours
Dare us dare
 From a brave old world, the days of yore
An ancient orrеry reading the gods
Aiming for truth, starbound, they saw
Thе library burns, prophets are crowned
 Millenia of darkness for the fallow
 Humankind, reconciled, human child, undefiled
Navigate, celebrate
History, mystery, afterlife will arrive
Outermost, reaches of human mind
Labyrinth, navigate, animate
Avatar of the tides
In the end, to the stars
 Tools of mankind
All odds defied
This hour is ours
Dare us dare
 From Lucy's prints
To those on the moon
And from the moon
To the...
 Humankind, reconciled, human child, undefiled
Navigate, celebrate
History, mystery, afterlife will arrive
Outermost, reaches of human mind
Labyrinth, navigate, animate
Avatar of the tides
In the end, to the stars
 Humankind, reconciled, human child, undefiled
Navigate, celebrate
History, mystery, afterlife will arrive
Outermost, reaches of human mind
Labyrinth, navigate, animate
Avatar of the tides
In the end, to the stars","Desenterre o tecido de um mundo perdido
A voz dos teus pais já não é mais inaudível
 Sessenta vezes ao sol e de volta eu retorno
Imagine um amanhã acordado
 Humanidade, reconciliada, criança humana, imaculada
Navegue, celebre
História, mistério, vida após a morte chegará
Mais distante, alcances da mente humana
Labirinto, navegar, animar
Avatar das marés
No final, para as estrelas
 Ferramentas da humanidade
Todas as probabilidades desafiadas
Esta hora é nossa
Ouse-nos a ousar
 De um velho mundo corajoso, os dias de outrora
Um antigo planetário lendo os deuses
Visando a verdade, em rumo às estrelas, eles viram
A biblioteca queima, profetas são coroados
 Milênios de escuridão para os abandonados
 Humanidade, reconciliada, criança humana, imaculada
Navegue, celebre
História, mistério, vida após a morte chegará
Mais distante, alcances da mente humana
Labirinto, navegar, animar
Avatar das marés
No final, para as estrelas
 Ferramentas da humanidade
Todas as probabilidades desafiadas
Esta hora é nossa
Ouse-nos a ousar
 Das pegadas de Lucy
Para aquelas na lua
E da lua
Para...
 Humanidade, reconciliada, criança humana, imaculada
Navegue, celebre
História, mistério, vida após a morte chegará
Mais distante, alcances da mente humana
Labirinto, navegar, animar
Avatar das marés
No final, para as estrelas
Humanidade, reconciliada, criança humana, imaculada
Navegue, celebre
História, mistério, vida após a morte chegará
Mais distante, alcances da mente humana
Labirinto, navegar, animar
Avatar das marés
No final, para as estrelas",en_XX,pt_XX
"Out of the darkness
And into the bright light
We carry the ties
That we bind to you
 I am the broken blooming bough
The countless sunsets of a lost world
See me. See me?
So alike we are, you and us, soon
See me, see you,
On an island of a shipless crew","Fora da escuridão
E para a luz brilhante
Nós carregamos os laços
Que ligamos a você
 Eu sou o galho quebrado e florido
Os incontáveis pores do sol de um mundo perdido
Me veja. Me veja?
Tão parecidos somos, você e nós, em breve
Me veja, te vejo
Em uma ilha de uma tripulação sem navio",en_XX,pt_XX
"Cry baby, cry baby, cry baby,
Honey, welcome back home.
 I know she told you,
Honey, I know she told you that she loved you
Much more than I did,
But all I know is that she left you,
And you swear that you just don't know why,
But you know, honey, I'll always,
I'll always be around if you ever want me
Come on and cry, cry, baby, cry, baby, cry, baby,
Oh honey, welcome back home.
 Don't you know, honey,
Ain't nobody ever gonna love you
The way I try to do?
Who'll take all your pain,
Honey, your heartache, too?
And if you need me, you know
That I'll always be around
if you ever want me,
Come on and cry, cry, baby, cry, baby, cry, baby,
Oh daddy, like you always saying to do.
 And when you walk around the world, babe,
You said you'd try to look for the end of the road,
You might find out later that the road'll end in Detroit,
Honey, the road'll even end in Kathmandu.
You can go all around the world
Trying to find something to do with your life, baby,
When you only gotta do one thing well,
You only gotta do one thing well to make it in this world, babe.
You got a woman waiting for you there,
All you ever gotta do is be a good man one time to one woman,
And that'll be the end of the road, babe,
I know you got more tears to share, babe,
So come on, come on, come on, come on, come on,
And cry, cry, baby, cry, baby, cry, baby.
 And if you ever feel a little lonely, dear,
I want you to come on, come on to your mama now,
And if you ever want a little love of a woman,
Come on and baby, baby, baby, babe, babe, baby, now,
Cry, baby, yeah.","Chore, querido, chore, querido, chore, querido,
Querido, bem-vindo de volta ao lar.
 Eu sei que ela te disse,
Querido, sei que ela te disse que ela te amava
Muito mais que eu,
Mas tudo qu eu sei é que ela o deixou
E você jura que simplesmente não sabe o porquê,
Mas você sabe, querido, eu sempre,
Eu sempre estarei por perto se você quiser
Venha e chore, chore, querido, chore, querido, chore, querido,
Oh, querido, bem-vindo de volta ao lar.
 Você não sabe, querido,
Que ninguém vai te amar
Como eu tento te amar?
Quem vai aliviar toda sua dor
Querido, suas mágoas, também?
E se você precisar de mim, você sabe
Que eu sempre estarei por perto se você quiser
Venha e chore, chore, querido, chore, querido, chore, querido,
Oh, papai, como você sempre diz para fazer.
 E quando você anda pelo mundo, amor,
Você disse que tentaria procurar o fim da estrada,
Você pode descobrir depois que a estrada acaba em Detroit,
Querido, a estrada poderá até terminar em Kathmandu.
Você pode ir em todo o mundo
Tentando encontrar algo para fazer da sua vida, amor
Quando você só tem que fazer bem uma coisa.
Você só tem que fazer uma coisa bem para se fazer neste mundo, amor
Você tem uma mulher esperando por você lá,
Tudo o que você precisa fazer é ser um bom homem uma vez para uma mulher,
E isso será o fim da estrada, amor,
Eu si que você tem mais lágrimas para compartilhar, amor,
Então venha, venha, venha, venha, venha.
E chore, chore, querido, chore, querido, chore, querido,
 E se você se sentir sozinho, querido,
Eu quero que você venha, venha para sua mãe agora,
E se você quiser um pouco de amor de uma mulher,
Venha e chore, chore, querido, chore, querido, chore, querido,
Chore, querido, yeah.",en_XX,pt_XX
"It’s pretty clear that I caught your eye
Tell me exactly what you’re trying to hide
If you got something to say, then say it
And bring your game, baby, I want to play it
 Uh, It's been a while since you said goodbye
She is moving on, time to dry your eyes
They call it ex-girlfriend for a reason
I think it’s time for a change of season
 If you want love, I got it
You want soft red lips, I got it
You want five inch heels and a tiny black dress
Or to take me home to mama in my Sundays best
If you want soul, I got it
You want rock ‘n’ roll, I got it
All you'll ever need, yeah, I got it
 You’re pretty cute and you’re kind of sweet
But tell your heart it’s time to skip a beat
Too much talk, too little action
A girl like me needs satisfaction
 So what you say, we pay our tab?
Call it a night and catch a cab?
Oh, let’s just get to kissing
I’ll show you just what you’ve been missing
 If you want love, I got it
You want soft red lips, I got it
You want five inch heels and a tiny black dress
Or to take me home to mama in my Sundays best
You want it soul, I got it
You want rock ‘n’ roll, I got it
All you’ll ever need, yeah
Yeah, I got it
 Yeah
Ah, ah, ah
Yeah
 If you want love, I got it
You want soft red lips, I got it
You want five inch heels and a tiny black dress
Or to take me home to mama in my Sundays best
You want soul I got it
You want rock ‘n’ roll I got it
Cause all you’ll ever need (All you'll ever need)
All you'll ever need (Oh, yeah)
I got it
 Oh, I got it
Yeah
I got it, I got it, I got it
I got it","Está claro que chamei sua atenção
Diga-me exatamente o que está tentando esconder
Se tem algo a dizer, diga
E traga seu jogo, querido, eu quero jogar
 Uh, já faz um tempo desde que você disse adeus
Ela está seguindo em frente, é hora de secar os olhos
Eles chamam para ex-namorada por um motivo
Acho que é hora de mudar de estação
 Se você quer amor, eu tenho
Você quer lábios vermelhos e macios, eu tenho
Você quer saltos de cinco polegadas e um vestidinho preto
Ou para me levar para casa da mamãe no meu melhor traje de domingo
Você quer alma, eu tenho
Você quer rock 'n' roll, eu tenho
Tudo que você precisa, eu tenho
 Você é muito fofo e meio doce
Mas diga ao seu coração que é hora de pular uma batida
Muita conversa, pouca ação
Uma garota como eu precisa de satisfação
 Então o que você diz, nós pagamos a nossa conta?
Chega de sair e pega um táxi?
Oh, vamos a nos beijar
Vou te mostrar o que você estava perdendo
 Se você quer amor, eu tenho
Você quer lábios vermelhos e macios, eu tenho
Você quer saltos de cinco polegadas e um vestidinho preto
Ou para me levar para casa da mamãe no meu melhor traje de domingo
Você quer alma, eu tenho
Você quer rock 'n' roll, eu tenho
Tudo que você precisa, sim
Sim, eu tenho
 Sim
Ah, ah, ah
Sim
 Se você quer amor, eu tenho
Você quer lábios vermelhos e macios, eu tenho
Você quer saltos de cinco polegadas e um vestidinho preto
Ou para me levar para casa da mamãe no meu melhor traje de domingo
Você quer alma, eu tenho
Você quer rock 'n' roll, eu tenho
Porque tudo o que você sempre precisará (tudo o que você sempre precisará)
Tudo o que você sempre precisará (oh, sim)
Eu tenho
 Oh, eu tenho
Sim
Eu tenho, eu tenho, eu tenho
Eu tenho",en_XX,pt_XX
"(One, two, one, two, three, woo)
 The second I put my head on your chest
She knew she's got a real sixth sense
Now her name comes up once, then it comes up twice
And without her even bein' here, she's back in your life
Now she's in the same damn city on the same damn night
 And you've lost all your common sense
What a coincidence
 Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na
 Last week, you didn't have any doubts
This week, you're holding space for her tongue in your mouth
Now she's sendin' you some pictures wearin' less and less
Tryna turn the past into the present tense, huh
Suckin' up to all of your mutual friends
 And you've lost all your common sense (You've lost all your common sense)
The way you told me the truth, minus seven percent (Minus seven percent)
What a coincidence, uh
 Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na
Na-na-na-na, na-na-na-na
Na-na-na-na, na-na-na-na
 What a surprise, your phone just died
Your car drove itself from L.A. to her thighs
Palm Springs looks nice, but who's by your side?
Damn it, she looks kinda like the girl you outgrew
Least that's what you said (That's what you said)
 What a coincidence
Oh, wow, you just broke up again
What a coincidence
 Oh, na-na, na-na-na-na (Coincidence)
Oh, na-na, na-na-na-na (Coincidence)
Na-na-na-na, na-na-na-na (Coincidence)
Na-na-na-na, na-na-na-na (Coincidence)","(Um, dois, um, dois, três, woo)
 No segundo em que coloquei minha cabeça no seu peito
Ela soube, ela tem um sexto sentido dos bons
Agora o nome dela vem à tona uma vez, depois uma segunda
E sem nem estar aqui, ela está de volta na sua vida
Agora ela está na mesmíssima cidade na mesmíssima noite
 E você perdeu todo o bom senso
Mas que coincidência
  Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na
 Semana passada, você não tinha dúvida alguma
Essa semana, você está abrindo espaço para a língua dela na sua boca
Agora ela está te mandando algumas fotos vestindo menos e menos
Tentando transformar o passado no presente, huh
Puxando o saco de todos os seus amigos mútuos
  E você perdeu todo o bom senso (Você perdeu todo seu senso comum)
A maneira que você me contou a verdade, menos sete porcento (Menos sete porcento)
Mas que coincidência, uh
  Oh, na-na, na-na-na-na
Oh, na-na, na-na-na-na
Na-na-na-na, na-na-na-na
Na-na-na-na, na-na-na-na
 Mas que surpresa, seu celular acabou de descarregar
Seu carro dirigiu a si mesmo de Los Angeles às coxas dela
Palm Springs é linda, mas quem está ao seu lado?
Caramba, ela meio que parece com a menina que você superou
Pelo menos é o que você disse (É o que você disse)
  Mas que coincidência
Oh, uau, vocês terminaram mais uma vez
Mas que coincidência
  Oh, na-na, na-na-na-na (Coincidência)
Oh, na-na, na-na-na-na (Coincidência)
Na-na-na-na, na-na-na-na (Coincidência)
Na-na-na-na, na-na-na-na (Coincidência)",en_XX,pt_XX
"History repeats itself
 Remembrance Sunday
A war to end all wars
And the war that came after that
To keep freedom's flag flying
 Lest we forget, the glorious dead
Poppy day, remember poppies are red
And the fields are full of poppies
 History repeats itself
 And when the lights go on again
All over the world
And when the boys come home again
All over the world
 Rain and snow will be all that fall
From out of the sky
A kiss won't mean goodbye
When Johnny comes marching home","A História se repete
 Domingo da Lembrança1
A guerra que acabaria com todas as guerras
E a guerra que veio depois dessa
Para manter de pé a bandeira da liberdade
 Jamais esqueçamos dos que morreram em glória
Dia da Papoula, lembre-se, papoulas são vermelhas
E os campos estão repletos de papoulas
 A História se repete
 E quando as luzes tornarem a se acender
Por todo o mundo
E quando os rapazes retornarem para casa
Por todo o mundo
 Daí em diante, cairão do céu
Apenas chuva e neve
Um beijo não mais será um adeus
Tão logo o Johnny venha marchando de volta para casa2
  1.
Refere-se ao Dia da Lembrança, data comemorativa na Commonwealth dedicada aos veteranos das duas Guerras Mundiais.
2.
""When Johnny Comes Marching Home"" é uma canção patriótica da Guerra Civil Americana.",en_XX,pt_XX
"I hit 'em with the boots in July
Bitch, I don't need snow
I gotta go bigger, I gotta go bigger
Five thousand on a coat cause it's fly
No, I don't speak broke
Still, I gotta go bigger, fuckin' go figure
 There's an aching, there's a hole in my chest
It's amazing that the crown of a king doesn't change me
It's amazing
 Baby, that we all want, we all need, fashion
Baby, that we all want, we all need, fashion
Have I lost control?
A voice says I might need my soul
But that's when I remember
That we all want, we all need, fashion
 Lost in it, livin' life through a phone
Now it's all I know
I gotta go bigger, I gotta go bigger
Yeah, five million dollar mans
Insecure, stuck in high school mode
Still, I gotta go bigger, fuckin' go figure
 There's an aching, there's a hole in my chest
It's amazing that the crown of a king doesn't change me
It's amazing
 Baby, that we all want, we all need, fashion
Baby, that we all want, we all need, fashion
Have I lost control?
A voice says I might need my soul
But that's when I remember
That we all want, we all need, fashion
 Might be gold, but that shit's still a chain
Might be gold, but that shit's still a chain
Might be gold, that shit's still a chain
Might be gold, but that shit's still a...
 Baby, that we all want, we all need, fashion
Baby, that we all want, we all need, fashion
Have I lost control?
A voice says I might need my soul
But that's when I remember
That we all want, we all need, fashion
 Might be gold, that shit's still a chain
Might be gold, that shit's still a chain
Might be gold, that shit's still a chain
Might be gold, might be gold","Eu bati neles com as botas em julho
Cadela, Eu não preciso de neve
Eu tenho que ir maior, eu tenho que ir maior
Cinco mil em um casaco porque é legal
Não, eu não falo quebrado
Ainda assim, eu tenho que ir maior, porra vai descobrir
 Há uma dor, há um buraco no meu peito
É incrível que a coroa de um rei não me mude
É incrível
 Baby, que todos nós queremos, todos nós precisamos de moda
Baby, que todos nós queremos, todos nós precisamos de moda
Perdi o controle?
Uma voz diz que talvez eu precise da minha alma
Mas é quando eu lembro
Que todos nós queremos, todos nós precisamos de moda
 Perdido nele, vivendo a vida através de um telefone
Agora é tudo que eu sei
Eu tenho que ir maior, eu tenho que ir maior
Yeah, five million dollar man's
Inseguro, preso na modalidade ensino médio
Ainda assim, eu tenho que ir maior, porra vai descobrir
 Há uma dor, há um buraco no meu peito
É incrível que a coroa de um rei não me mude
É incrível
 Baby, que todos nós queremos, todos nós precisamos de moda
Baby, que todos nós queremos, todos nós precisamos de moda
Perdi o controle?
Uma voz diz que talvez eu precise da minha alma
Mas é quando eu lembro
Que todos nós queremos, todos nós precisamos de moda
 Pode ser ouro, mas essa merda ainda é uma corrente
Pode ser ouro, mas essa merda ainda é uma corrente
Pode ser ouro, essa merda ainda é uma corrente
Pode ser ouro, mas essa merda ainda é um...
 Baby, que todos nós queremos, todos nós precisamos de moda
Baby, que todos nós queremos, todos nós precisamos de moda
Perdi o controle?
Uma voz diz que talvez eu precise da minha alma
Mas é quando eu lembro
Que todos nós queremos, todos nós precisamos de moda
 Pode ser ouro, essa merda ainda é uma corrente
Pode ser ouro, essa merda ainda é uma corrente
Pode ser ouro, essa merda ainda é uma corrente
Pode ser ouro, pode ser ouro",en_XX,pt_XX
"[Verse 1]
Deep in the suburbs of New Jersey
In the basement of the Sexbang house
You are the hero with the heart of a god
Yet you're barely the size of a mouse
 You can see the nightly news on TV
As you race on the wheel of your cage
Watching as society all goes to shit
Your tiny body filling with rage
 [Chorus]
Galaxy Hamster! Galaxy Hamster!
Your training is almost complete
Galaxy Hamster! Galaxy Hamster!
Now unleash your powerful scream!
 *squeak*
 [Verse 2]
Ever since the battle of Gerbulon V
The galaxy was ripped in twain
The rodents of the Northern Alliance were called
To defend those who had not been slain
 The fates of the goldfish and snakes had aligned
United by a common foe
To banish the hamster king from his command
But one hero could save the throne
 Only the dead have seen the end of war!
 [Chorus]
Galaxy Hamster! Galaxy Hamster!
A savior of all those who squeak
Galaxy Hamster! Galaxy Hamster!
You store all your wrath in your cheeks
 [Interlude]
Galaxy Hamster!
Galaxy Hamster!
 [Spoken]
Avi: Dan, are you playing with your small pet?
Danny: No, Dad! Don't come in my room!
GH: *choking sound*
Danny: ...Galaxy Hamster?
 [Emotional Ending]
Sweet hamster, you have saved the galaxy
Fill your cheeks with sunflower seeds of victory
You did not stop 'til your mission was through
You just died of natural causes at the old age of two
Ride on the wings of a rainbow
You're free to go fly
To a cage in the sky
 [Spoken Outro]
Danny: Dad, I need a new Galaxy Hamster!","[Verso 1]
Nas profundezas dos subúrbios de Nova Jersey
No porão da casa Sexbang
Você é o herói com o coração de um deus
Mas você é quase do tamanho de um rato
 Você pode ver o noticiário noturno na TV
Enquanto você corre na roda da sua gaiola
Observando a sociedade ir para o inferno
Seu pequeno corpo se enchendo de raiva
 [Refrão]
Galaxy Hamster! Galaxy Hamster!
Seu treinamento está quase completo
Galaxy Hamster! Galaxy Hamster!
Agora libere seu grito poderoso!
 *guincho*
 [Verso 2]
Desde a batalha de Gerbulon V
A galáxia foi rasgada em dois
Os roedores da Aliança do Norte foram chamados
Para defender aqueles que não foram mortos
 Os destinos dos peixes dourados e das cobras se alinharam
Unidos por um inimigo comum
Para banir o rei hamster de seu comando
Mas um herói pode salvar o trono
 Só os mortos viram o fim da guerra!
 [Refrão]
Galaxy Hamster! Galaxy Hamster!
Um salvador de todos aqueles que guincham
Galaxy Hamster! Galaxy Hamster!
Você armazena toda a sua ira em suas bochechas
 [Interlúdio]
Galaxy Hamster!
Galaxy Hamster!
 [Falado]
Avi: Dan, você está brincando com seu pequeno animal de estimação?
Danny: Não, pai! Não entre no meu quarto!
GH: *som de engasgo*
Danny: ...Galaxy Hamster?
 [Final Emocional]
Doce hamster, você salvou a galáxia
Encha suas bochechas com sementes de girassol da vitória
Você não parou até que sua missão estivesse completa
Você acabou de morrer de causas naturais na velhice de dois anos
Ande nas asas de um arco-íris
Você está livre para voar
Para uma gaiola no céu
 [Final Falado]
Danny: Pai, preciso de um novo Galaxy Hamster!",en_XX,pt_XX
