original_poem,translated_poem,src_lang,tgt_lang
"Dans vos viviers, dans vos étangs,
Carpes, que vous vivez longtemps!
Est-ce que la mort vous oublie,
Poissons de la mélancolie.","In your fish-tanks, in your ponds,
Carps, may you live long!
Does death forget you,
Fishs of melancholy?",fr_XX,en_XX
"Voici la fine sauterelle,
La nourriture de saint Jean.
Puissent mes vers être comme elle,
Le régal des meilleures gens.","Here is the fine grasshopper,
The food of St. John.
May my verses be like her,
The delight of the best people.",fr_XX,en_XX
"[Refrain : Gims]
Apparemment, j'aurais pris la grosse tête
Et tu sais quoi? Dans c'monde, tout s'paye
Comme une meuf, j'vais les rendre tous bêtes
Michael Jackson, ""Billie Jean"", ""Who's Bad""
 [Couplet 1 : Gims]
J'étais congelé, on m'a réveillé trop tôt
La juge inflige des peines avec le marteau d'Thor
Et ouais, c'est Gims, bébé, un pied sur le rotor
Aller sans retour, Toronto, Raptor
L'histoire se répète, l'État s’enrichit sur la peuplade
Et pendant c'temps, mon fils regarde la fin du monde sur l'iPad
J'suis posé, le soleil frappe mon visage
J'avais dix ans pour faire ça, un passeport bleu, un visa
Et ouais, j'te parle de c'qui m'intéresse, ce gros deal sur la terrasse
Les res-frè, la madela, sa flamme noire, Amaterasu
Vous pensez à faire un four, j'traîne tard sans faire un sou
Stiche-po devant les infos, pour ça qu'j'passe pour un fou
 [Refrain : Gims]
Apparemment, j'aurais pris la grosse tête
Et tu sais quoi? Dans c'monde, tout s'paye
Comme une meuf, j'vais les rendre tous bêtes
Michael Jackson, ""Billie Jean"", ""Who's Bad""
Apparemment, j'aurais pris la grosse tête
Et tu sais quoi? Dans c'monde, tout s'paye
Comme une meuf, j'vais les rendre tous bêtes
Michael Jackson, ""Billie Jean"", ""Who's Bad""
 [Couplet 2 : Chaka 47]
C'était soit la rue, soit l'foot ou j'perce, Michael Jackson, ""Billie Jean"", ""Who's Bad""
J'veux Benjamin Franklin, billets verts, Roosevelt et le 47 envoie des classiques comme Wu-Tang
J'ai fait un rêve de grand devoir, tout c'qui touche la dounia
Au comico, j'ai tout nié, j'vérifie l'sac si tout y est
L'OPJ pense tout est lié, musica, stup' et guérilla
Validé par mes guerriers, recopié par les cains-ri, hein
Tu veux du flow? J'te pisse au nez, le talent? Ou t'es pistonné
Le dos est large, la frappe est meurtrière comme Chaka pistolet
C'est tendu en missionnaire, quand on m'dit de m'positionner
Les vois-tu? Là, ils sont morts, pour eux, c'est mieux d'démissionner
Ils veulent que nos vies s'arrêtent mais ils nous souhaitent le paradis
Poto' c'est plus pareil, toi, tu sais comment faire la diff'
J'ai laissé les barrettes pour voler gros colis
Si tu veux ta vie de rêve, faudra t'lever de ton lit, eh
Légendaire comme Escobar ou bien légendaire comme Biggie, Tupac, Validé
Légendaire comme Escobar ou bien légendaire comme Biggie, Tupac, Validé
J'mets un chassbar à la routine, j'ai préféré être un érudit
Fuck la vie n'a pas d'antidote donc je prends des risques
Risque, fils, le biff c'est comme une maladie, rouge, vert, j'prends tout ici, j'fais pas la diff'
Wesh, j'suis dans l'anonymat donc j'préfère faire taire si tu baves sur nos affaires
Sans le tic, sans le shit dans le bâtiment, j'arrive en moon' dans le game tout en patinant
Donc parlez pas de rrain-te, vrais charbonneurs vont vous tacler
#QuaranteSeptAuTaquet
Les écouter devient fatiguant
J'veux pas de ta place, elle est trop p'tite, t'es aussi mauvais que ton bout d'shit
 [Refrain : Gims]
Apparemment, j'aurais pris la grosse tête
Et tu sais quoi? Dans c'monde, tout s'paye
Comme une meuf, j'vais les rendre tous bêtes
Michael Jackson, ""Billie Jean"", ""Who's Bad""
Apparemment, j'aurais pris la grosse tête
Et tu sais quoi? Dans c'monde, tout s'paye
Comme une meuf, j'vais les rendre tous bêtes
Michael Jackson, ""Billie Jean"", ""Who's Bad""","[Refrain: Gims]
Apparently, I would have got a big head
And you know what? In this world, everything is paid for
Like a chick, I'm gonna make them all stupid
Michael Jackson, ""Billie Jean"", ""Who's Bad""
 [Verse 1: Gims]
I was frozen, they woke me up too early
The judge imposes punishments with the gavel of Thor
And yeah, it's Gims, baby, one foot on the rotor
Going without coming back, Toronto, Raptor
History repeats itself, the State makes its money off the small tribes
And meanwhile, my son watches the end of the world on his iPad
I'm laying down, the sun strikes my face
To do that I was ten years old, a blue passport, a visa
And yeah, I talk to you about what interests me, this big deal on the terrace
The brothers, the madela, its black flame, Amaterasu
You think of making an oven, I hang out late without making a penny
Fake in front of the news, and for that they take me for a crazy man
 [Chorus: Gims]
Apparently, I would have got a big head
And you know what? In this world, everything is paid for
Like a chick, I'm gonna make them all stupid
Michael Jackson, ""Billie Jean"", ""Who's Bad""
Apparently, I would have got a big head
And you know what? In this world, everything is paid for
Like a chick, I'm gonna make them all stupid
Michael Jackson, ""Billie Jean"", ""Who's Bad""
 [Verse 2: Chaka 47]
It's either the streets or the foot where I break through, Michael Jackson, ""Billie Jean"", ""Who's Bad""
I want Benjamin Franklin, green paper bills, Roosevelt and the 47
Send the classics like Wu-Tang
I had a dream of great duty, everything that touches the dounia [the entire world]
At the police station, I denied everything, I check the bag to see if everything is there
The OPJ [judicial police officer] thinks everything is linked, musica, stup' and guerilla
Validated by my warriors, copied by the Americans, huh
You want flow? I piss on your nose, the talent? Where did you pull some strings
The back is large, the hit is deadly like the Chaka pistol
It's outstretched in missionary, when they told me to position myself
Do you see them? There, they're dead, for them, it's better to resign
They want our lives to stop but they wish us paradise
Dude, it's not the same, you, you know how to make a difference
I left the blocks to steal big packages
If you want your dream life, you'll need to get out of your bed, eh
Legendary like Escobar or legendary like Biggie, Tupac, Validé
I put a chassbar in the routine, I preferred being a scholar
Fuck, life has no antidote, so I take risks
Risk, son, the hit is like an illness, red, green
I take everything here, I don't differentiate
Damn, I'm anonymous so I'd rather shut up if you're drooling over our stuff
Without the habit, without the shit in the building, I arrive in moon' in the game while skating
So talk about terrain, real charcoal burners will tackle you
#FortySevenAtTheGate
Listening to them is getting tiring
I don't want you're place, it's too small, you're as bad as your piece of shit
 [Chorus: Gims]
Apparently, I would have got a big head
And you know what? In this world, everything is paid for
Like a chick, I'm gonna make them all stupid
Michael Jackson, ""Billie Jean"", ""Who's Bad""
Apparently, I would have got a big head
And you know what? In this world, everything is paid for
Like a chick, I'm gonna make them all stupid
Michael Jackson, ""Billie Jean"", ""Who's Bad""",fr_XX,en_XX
"Dans la nuit noire
Ses talons claquent le trottoir
Star sur la soie
Juste un regard caméra
 La nuit est rouge
Comme la bouche héroïne
Baiser de louve épouse
La Nuit Pauline
 Une idole qu'on assassine
Coulent des larmes de crocodile
Être une héroïne
La Nuit Pauline
 Une idole qu'on assassine
Coulent des larmes de crocodile
Être une héroïne
La Nuit Pauline
 Regarde-la
Diamant qui fait des dégâts
Vodka diva
Mégalo dans le coma
 La nuit est rouge
Comme la bouche héroïne
Baiser de louve épouse
La Nuit Pauline
 Une idole qu'on assassine
Coulent des larmes de crocodile
Être une héroïne
La Nuit Pauline
 Une idole qu'on assassine
Coulent des larmes de crocodile
Être une héroïne
La Nuit Pauline
 Perdues, ses ailes
Sous la pluie artificielle","In the black night
Her heels hit the pavement
Star on silk
Just a look at the camera
 The night is red
Like the heroine's mouth
Kiss of the wolf's wife
The Pauline Night
 An assassinated idol
Crying crocodile tears
To be a heroine
The Pauline Night
 An assassinated idol
Crying crocodile tears
To be a heroine
The Pauline Night
 Look at her
Diamond that wreaks havoc
Vodka diva
Megalomaniac in a coma
 The night is red
Like the heroine's mouth
Kiss of the wolf's wife
The Pauline Night
 An assassinated idol
Crying crocodile tears
To be a heroine
The Pauline Night
 An assassinated idol
Crying crocodile tears
To be a heroine
The Pauline Night
 Lost her wings
Underneath the artificial rain",fr_XX,en_XX
"Voici que revient le printemps
Et me revoilà empruntant
Juste pour une année volage
 Un plus grand âge
Juste pour une année passant
Un âge plus grand
Printemps tu m'aimes, ça va de soi
Mais tu ne me rajeunis pas
 Moi je suis d'avril
Et à moins que je me défile
Une hirondelle de passage
Viendra poser sur mon visage
Un nouvel âge
 Les saisons c'est plus fort que nous
Ca se relève à tous les coups
Chaque année un nouveau printemps
Et ça se voit
Chaque année, c'est nouveau pourtant
A chaque fois
Un peu plus près du précédent
Un peu plus près du précédent
 Moi je suis d'avril
Et à moins que je me défile
Une hirondelle de passage
Viendra poser sur mon visage
Un nouvel âge
Printemps printemps
Prends ton temps
Printemps
 C'est plus du tout gris, c'est tout vert
C'est plus si froid, c'est plus l'hiver
C'est doux la lumière sur le soir
Les jours s'allongent
Un peu d'soleil sur nos histoires
Un coup d'éponge
Sur les jours sombres de janvier
Sur les jours sombres de janvier
 Moi je suis d'avril
Et à moins que je me défile
Une hirondelle de passage
Viendra poser sur mon visage
Un nouvel âge
Printemps printemps
Prends ton temps
Printemps printemps
Prends ton temps
 Voici que revient le printemps
Et me revoilà empruntant
Juste pour une année volage
Un plus grand âge
Juste pour une année passant
Un âge plus grand
Printemps je t'aime, ça va de soi
Mais tu ne me rajeunis pas","Here comes springtime
And here I am again, borrowing
Just for a fickle year
 An older age
Just for one passing year
An older age
Springtime, you love me, that goes without saying
But you don't make me any younger
 Me, I'm from April
And unless I slip away
A passing swallow
Will put on my face
A new age
 The seasons, that's stronger than us
It gets back up every time
Every year a new springtime
And it shows
Every year, it's new, though
Every time
A little closer to the preceding one
A little closer to the preceding one
 Me, I'm from April
And unless I slip away
A passing swallow
Will put on my face
A new age
Springtime, springtime
Take your time
Springtime
 It's not at all grey, it's all green
It's no longer so cold, it's no longer winter
It's soft, the light in the evening
The days are getting longer
A little sun on our stories
A wipe of the sponge*
Over the dark days of January
Over the dark days of January
 Me, I'm from April
And unless I slip away
A passing swallow
Will put on my face
A new age
Springtime, springtime
Take your time
Springtime, springtime
Take your time
 Here comes springtime
And here I am again, borrowing
Just for a fickle year
An older age
Just for one passing year
An older age
Springtime, you love me, that goes without saying
But you don't make me any younger",fr_XX,en_XX
"Alors je compose
Des idées sur les choses
Je sais pas, je suppose
Je suppose
 Alors je devine
Tes goûts dans les vitrines
Quel pull et quel jeans
Quel jeans
 Alors je retiens
Tes grands pas près des miens
J'en fais trois, t'en fais un
T'en fais un
 [Refrain]
Ah, je sais sous les ponts de la Seine
Ce qu'elle emporte avec elle
Des hivers et des mois d'août
J'lui laisse à peu près tout
Sombrer les amours anciennes
Les soirées longues et les belles
Même les belles, je m'en fous
Je me souviens de nous
Je me souviens de nous
 Alors je t'invente
Une vie trépidante
Des avions, des amantes
Des amantes
 Alors je revois
Stockholm avec toi
J'avais froid
T'étais là, j'étais là
 Alors il me reste
Au chaud sous ma veste
Une voix, des grands gestes
Tes grands gestes
 [Refrain]
Ah, je sais sous les ponts de la Seine
Ce qu'elle emporte avec elle
Des hivers et des mois d'août
J'lui laisse à peu près tout
Sombrer les amours anciennes
Les soirées longues et les belles
Même les belles, je m'en fous
Je me souviens de nous (de nous)
Je me souviens de nous (de nous)
 Ah
(Je sais)
Je sais sous les ponts de la Seine
(Ce qu'elle emporte avec elle)
Ce qu'elle emporte avec elle
Des hivers
(Des hivers)
Et des mois d'août
(Des mois d'août)
J'lui laisse à peu près tout
(Je sais)
Sombrer les amours anciennes
(Ce qu'elle emporte avec elle)
Les soirées longues et les belles
(Les soirées longues, les belles)
Même les belles, je m'en fous
Je me souviens de nous
Je me souviens de nous","So I compose
Some ideas about things
I don't know, I suppose
I suppose
 So I guess
Your tastes in the (store) windows
Which sweater and which jeans
Which jeans
 So I remember
Your large strides near mine
I took three, you took one
You took one
 [Refrain]
Ah, I know under the bridges of the Seine
What it carries with it
Winters and months of August
I leave it almost everything
Sinking the old loves
The long and beautiful evenings
Even the beautiful ones, I don't care
I remember us
I remember us
 So I imagine for you
A busy life
Airplanes, lovers
Lovers
 So I see again
Stockholm with you
I was cold
You were there, I was there
 So, it remains for me,
In the warmth under my jacket
A voice, some grand gestures
Your grand gestures
 [Refrain]
Ah, I know under the bridges of the Seine
What it carries with it
Winters and months of August
I leave it almost everything
Sinking the old loves
The long and beautiful evenings
Even the beautiful ones, I don't care
I remember us (us)
I remember us (us)
 Ah
(I know)
I know under the bridges of the Seine
(What it carries with it)
What it carries with it
Winters
(Winters)
And months of August
(Months of August)
I leave it almost everything
(I know)
Sinking the old loves
(What it carries with it)
The long and beautiful evenings
(The long and beautiful evenings)
Even the beautiful ones, I don't care
I remember us
I remember us",fr_XX,en_XX
"Je veux qu'il le ressente, j'le garde prisonnier chez moi
Les prochains mois s'ront moches et on va les passer ensemble
Ah, j'suis trop malheureux sans elle et je veux qu'il le ressente
Je veux le voir, le voir et j'irais jusqu'à en avoir le pull tâché de sang
Jusqu'à la bave et les sanglots
Je parlerai comme un Italien : avec les mains
Et j'aurai enfin plus aucun secret à t'dire
Sculpture au marteau, peinture au couteau
J'me suis jamais senti autant créatif
Demain, j'irai graver mon deuil sur sa peau
Et ma balance affichera dix kilos de moins
Increvable colère, j'suis pas désolé
Il est mort, le soleil
 Mon dieu, qu'elle me manque
Tout s'éteint decrescendo
Ma terre s'arrêtera bientôt
Et c'est la faute de quelqu'un d'autre
Oh mon Dieu, quel manque
Tout s'éteint decrescendo
Bientôt plus rien à perdre
J'vais m'occuper de ce quelqu'un d'autre
 Oh, je veux qu'il le ressente
Je recherche le bruit comme une drogue dans le silence
Ma mémoire joue les pires mélodies
J'essaie d'éjecter le disque, oh
Mais ça repart et mes molaires font des étincelles
J'déraille et la seule qui pourrait m'aider, c'est elle, quelle ironie
Ah ouais, quelle ironie
Okay, si je suis resté à fixer les aiguilles
Jusqu'à la fin de la nuit
C'était pas pour voir si l'horloge marchait
Plus j'm'interviewe, moins je sais qui je suis
Juste cette fille-là, c'est tout c'que je demande
Je n'saurais que faire du reste du monde
Je l'ai désirée éperdument
Et maintenant, j'me sens tellement perdu
 Mon dieu, qu'elle me manque
Tout s'éteint decrescendo
Ma terre s'arrêtera bientôt
Et c'est la faute de quelqu'un d'autre
Oh mon Dieu, quel manque
Tout s'éteint decrescendo
Bientôt plus rien à perdre
J'vais m'occuper de ce quelqu'un d'autre
 Mon dieu, qu'elle me manque
Tout s'éteint decrescendo, oh
Ma terre s'arrêtera bientôt
C'est sûr c'est la faute de quelqu'un d'autre
Oh mon Dieu, quel manque
Tout s'éteint decrescendo
J'ai bientôt plus rien à perdre
J'vais m'occuper de ce quelqu'un d'autre
M'occuper de ce quelqu'un d'autre","[Couplet 1]
I want him to feel it, I keep him prisoner in my house
The next montths will be ugly and we're going to spend them together
Ah, I'm too unhappy without her and I want him to feel it
I want to see it, to see it and I'd go so far as to have the sweater stained with blood
Until the drool and the sobs
I'd talk like an Italian : with my hands
And finally I wouldn't have any secrets to tell you
Hammer carving, knife painting
I've never felt so creatif
Tomorrow, I will grave my mourning on his skin
And my scale will show ten kilos less
Indestructible anger, I'm not sorry
He is dead, the sun
 [Refrain]
My god, I miss her
Everything fades in a decrescendo
My earth will soon end
And it is someone else's fault
Oh my god, I miss her
Everything fades in a decrescendo
Soon enough I will have nothing left to lose
I'm going to take care of that someone else
 [Couplet 2]
Oh, I want him to feel it
I seek noise like a drug in the silence
My memory plays the worst melodies
I try to eject the disc, oh
But it starts again and my teeth are sparking
I'm drifting and the only one that could help me is her, how ironic
yeah, how ironic..
Okay, If I stayed staring at the needles
Until the end of the night
It wasn't to see if the clock was ticking
The more I question myself, the less I know who I am
Just this girl, that's all I ask for
I wouldn't know what to do with the rest of the world
But I deeply desired her
And now, I feel so lost
 [Refrain]
My god, I miss her
Everything fades in a decrescendo
My earth will soon end
And it is someone else's fault
Oh my god, I miss her
Everything fades in a decrescendo
Soon enough I will have nothing left to lose
I'm going to take care of that someone else
My god, I miss her
Everything fades in a decrescendo
My earth will soon end
For sure, it is someone else's fault
Oh my god, I miss her
Everything fades in a decrescendo
Soon enough I will have nothing left to lose
I'm going to take care of that someone else
To take care of that someone else",fr_XX,en_XX
"Si, un jour, tu vois
Qu'une pierre te parle,
Iras-tu le dire ?","If, one day you see
A stone talking to you,
Will you tell someone about it ?",fr_XX,en_XX
"Rien n'est changé,
Tout est comme par le passé.
Les jours qui nous ont séparés
Sont oubliés.
 Rien n'est changé
On a beau le répéter
Mais toi et moi savons trop bien
Que c'est la fin.
 Pourquoi faire semblant
De ne pas savoir,
Et à quoi ça sert de faire semblant
De ne pas le voir?
 Rien n'est changé,
Tout est comme par le passé,
Mais toi et moi savons trop bien
Que c'est la fin,
Que c'est la fin.","Nothing is changed,
Everything is like it used to be.
The days that separated us
Are forgotten.
 Nothing is changed,
We could do it again,
But you and I know too well
That this is the end.
 Why pretend
That we don't know
And what's the point of pretending
That we don't see?
 Nothing is changed,
Everything is like it used to be.
But you and I know too well
That this is the end,
That this is the end.",fr_XX,en_XX
"Une petite larme m'a trahi
En me rendant ridicule à tes yeux.
Je croyais pourtant bien jouer la comédie,
Mais une petite larme m'a trahi.
 Tu m'as dit que tu veux me quitter,
Que tu as déjà trop souvent hésité.
Je t'ai dit que tu pouvais partir,
Que ça ne m'empêcherait pas de dormir.
 Mais une petite larme m'a trahi
En me rendant ridicule à tes yeux.
Je croyais pourtant bien jouer la comédie,
Mais une petite larme m'a trahi.
 Je t'ai dit de partir aujourd'hui,
Je serai plus à l'aise seul dans mon lit,
Je t'ai dit qu'une autre fille m'attendait
Et même que je rirai quand tu partirais.
 Mais une petite larme m'a trahi
En me rendant ridicule à tes yeux.
Je croyais pourtant bien jouer la comédie,
Mais une petite larme m'a trahi.
 J'étais sur de garder mon sang froid
Quand tu m'as dit adieu ne m'en veux pas
J'ai crié:” Va-t-en, que le diable t'emporte!”
Mais sitôt que je t'ai vu passer la porte...
 Là, une petite larme m'a trahi,
En me rendant ridicule à tes yeux.
Je t'ai dit, mais on dit tant de choses,
D'ailleurs si plus tard un jour tu réfléchis.
Oui, tu sauras que je t'aimais plus que ma vie,
Puisqu'une petite larme m'a trahi.
Oui, puisqu'une petite larme m'a trahi...
Oh, une petite larme m'a trahi...
Oui, une petite larme m'a trahi...","A little tear betrayed me
By making me look ridiculous in your eyes.
Yet I thought I was pretending well,
But a small tear betrayed me.
 You told me that you want to leave me,
That you have already hesitated too often.
I told you you could leave,
That it wouldn't stop me from falling asleep.
 But a little tear betrayed me
By making me look ridiculous in your eyes.
Yet I thought I was pretending well,
But a small tear betrayed me.
 I told you to leave today,
I'll stay more comfortable in bed alone.
I told you that another girl is waiting for me,
And I'm even going to laugh at your departure.
 But a little tear betrayed me
By making me look ridiculous in your eyes.
Yet I thought I was pretending well,
But a small tear betrayed me.
 I was sure I kept my blood cold,
When you said ""Farewell, don't blame me"".
I shouted: ""Get out, go to hell!""
But as soon as I saw you walk out the door...
 There a little tear betrayed me,
Making me look ridiculous in your eyes.
I told you, but we say so many things...
However, if later, one day you'll think again...
Yes, then you'll know I loved you more than my own life,
Since a little tear betrayed me.
Yes, since a little tear betrayed me...
Oh, a little tear betrayed me...
Yes, a little tear betrayed me...",fr_XX,en_XX
