original_poem,translated_poem,src_lang,tgt_lang
"Cha-Cha-Cha-Charlotte x3
Aux fraises
 Je connais une fille
Et personne n'est plus gentil
Elle est tellement géniale
Ma meilleure amie
Tu la vois et tu souris
Tu l'aimeras sans égal
On veut chanter et on veut être à ses côtés
 Très cool, très fun
Elle nous entraîne
Cha-Cha-Cha-Charlotte
Aux fraises
Dans son pays sucré
Qu'on aime
Cha-Cha-Cha-Charlotte
Cha-Charlotte
Aux fraises
 Cette Cha-Cha-Cha-Charlotte
Qui nous d-d-d-dorlote
Cette Cha-Cha-Cha-Charlotte
Aux fraises
Dans son pays sucré
Qu'on aime
Cha-Cha-Cha-Charlotte
Cha-Charlotte
Aux fraises","Cha-Cha-Cha-Charlotte x3
Cha-Charlotte of Strawberries
 I know a girl
And no one is more gentle than her
She is really cool
My best friend
You see her and you smile
You will like her, no one quite like her
(We want to sing and be by her sides)
 So cool, so fun
She leads us
Cha-Cha-Cha-Charlotte
Cha-Charlotte of Strawberries
In her country covered in sugar
That we love
Cha-Cha-Cha-Charlotte
Cha-Charlotte
Of Strawberries
 This Cha-Cha-Cha-Charlotte
That pampers us
This Cha-Cha-Cha-Charlotte
Of Strawberries
In her country covered in sugar
That we love
Cha-Cha-Cha-Charlotte
Cha-Charlotte
Of Strawberries",fr_XX,en_XX
"Fraisi-fraisi-fraisinette x3
 Je connais une fille
Elle est tellement sans pareil
Elle a ce je ne sais quoi
La meilleure amie
Quand vous la verrez aussi
Vous serez tous conquis
Nous on l'adore, chaque jour elle s'améliore
 Très cool, très drôle
Elle est unique
Fraisi-Fraisi-Fraisinette
Elle est magique
Son nom l'indique
Fraisi-Fraisi-Fraisinette
Fraisinette
 Elle est extraordinaire
Et elle n'a rien pour déplaire
C'est Fraisi-Fraisi-Fraisinette
Elle est magique
Son nom l'indique
Fraisi-Frasinette
Fraisinette","Strawbuh-buh-straberrinette x3
 I know a girl
And there is no one like her
And she has this ""je ne sais quoi""
The best friend
When you see her also
You will conquer everything
We love her, every day she improves herself
 So cool, so funny
She is unique
Strawbuh-buh-straberrinette
She is magic
Her name says so
Strawbuh-buh-straberrinette
Strawberrinette
 She is extraordinary
And she has nothing to displease
It's Strawbuh-buh-straberrinette
She is magic
Her name says so
Strawbuh-buh-straberrinette
Straberrinette",fr_XX,en_XX
"Quand je renonce à ce que je suis
Je devien🌀 ce que je peux être.","If I renounce everyrhing I am
I 🌀ecome what I can be",fr_XX,en_XX
"Ouéé, be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, toi, ma douce amie
Be-bop-a-lula, où donc es-tu partie?
Be-bop-a-lula, sans toi je m'ennuie,
Be-bop-a-lula, si, je m'ennuie, si, je m'ennuie
 On s'est aimés une nuit
Te souviens-tu nos mille folies?
Mais ce bonheur, c'était trop beau
Il a fini dans un sanglot
 Be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, où donc es-tu partie?
Be-bop-a-lula, si je m'ennuie, si, je m'ennuie, yeah
 Reviens-moi, je t'en supplie
Car je t'espère, le jour et la nuit
Je suis plus tendre qu'un agneau
Car j'ai compris et je t'aime trop
 Be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, où donc es-tu partie ?
Be-bop-a-lula, si, je m'ennuie, si, je m'ennuie
 Be bop a lula, my baby
Be bop a lula, toi ma douce amie
Be bop a lula, tu me reviens chérie
Be bop a lula, et tu me souris
Be bop a lula, si, my baby, si
My baby
My baby....","Yeah, be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, you, my dear friend
Be-bop-a-lula, just where did you go?
Be-bop-a-lula, without you i get bored
Be-bop-a-lula, yeah, i get bored, yeah, i get bored
 We loved each other for a night
Do you remember the thousand crazy things we did?
But this happiness, it was too good
It ended up in a sorrow
 Be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, just where did you go?
Be-bop-a-lula, yeah, i get bored, yeah, i get bored, yeah
 Come back to me, i beg you
Because i hope you, days and night
I'm tenderer than a lamb
Because i understood it and i love you too much
 Be-bop-a-lula, ah-ha-ha, baby
Be-bop-a-lula, just where did you go?
Be-bop-a-lula, yeah, i get bored, yeah, i get bored
 Be bop a lula, my baby
Be bop a lula, you, my dear friend
Be bop a lula, you're coming back to me honey
Be bop a lula, and you smile to me
Be bop a lula, yeah, my baby, yeah
My baby
My baby....",fr_XX,en_XX
"Quel est donc cet air qui chante en lui
Et pourquoi ce visage ravi ?
Qui donc lui a donné l'amour ?
L'amour qu'il chante jour après jour.
 C'est belle Honey
Belle Honey, belle Honey
A su séduire mon meilleur ami
 Tout au long des nuits et des jours
Il attendait ce bel amour
Jamais il n'avait rencontré
Une fille aussi belle à aimer
 C'est belle Honey
Belle Honey, belle Honey
A su séduire mon meilleur ami
 Mais moi, je veux aimer aussi
Aurai-je la chance de mon ami ?
Vais-je trouver une fille aussi jolie ?
Je me sens seul oui, je m'ennuie
 Belle Honey
Belle Honey, belle Honey
A su séduire mon meilleur ami","What's this look that sings in him
And why this pleased face?
Just who gave him love?
Love that he sings days after days
 It's pretty Honey
Pretty Honey, pretty honey
That was able to seduce my best friend
 All through those nights and days
He was waiting for this beautiful love
Never had he met
A girl that beautiful to love
 It's pretty Honey
Pretty Honey, pretty honey
That was able to seduce my best friend
 But me, I want to love too
Will i get my friend's luck?
Will i find a girl that pretty?
I'm feeling lonely yeah, I'm bored
 It's pretty Honey
Pretty Honey, pretty honey
That was able to seduce my best friend",fr_XX,en_XX
"J'ai jeté mon coeur un peu à tout vent,
à présent j'ai peur, j'ai peur, je le sens
qu'il ne sache plus battre comme avant,
qu'il ne sache plus ce que ça veut dire aimer vraiment.
 J'ai jeté mon coeur et je m'en repens,
plaisir et bonheur se confondent souvent.
J'ai voulu goûter a tout en même temps
et j'ai oublié ce que ça veut dire aimer vraiment.
 Vedеvo in tutti il primo amore,
l'amore che m'ha fеrito un dì
ma il mio passato è vivo ancor, il suo ricordo, il primo sì.
Sbagliare è stato facile giocando con l'amore così.
 Con questo mio cuore, ho sempre scherzato,
è un cuore malato che amar più non sa.
Somiglia ad un fiore tra l'erba falciato
che ancor profumato amore darà a chi lo vorrà
e un giorno chissà qualcun l'amerà.","I threw my heart a bit to the wind,
right now I'm afraid, I'm afraid, I feel
that it no longer knows how to beat as before,
that it no longer knows what true love means.
 I threw away my heart and I'm sorry,
pleasure and happiness are often confused.
I wanted to taste everything at the same time
and I forgot what true love means.
 I saw my first love in everyone,
the love that wounded me one day
but my past is still alive, his first memory, his first yes.
Making mistakes was easy playing with love that way.
 With this heart of mine, I have always played,
it's a sick heart that no longer knows how to love.
It's like a flower among the mown grass
that will still give fragrant love to those who want it
and one day, who knows, someone will love it.",fr_XX,en_XX
"Piango per non ridere, rido per non piangere
A quindic'anni ho già finito tutte le mie lacrime
Versate nella lapide, le notti chiuso in carcere
Sognando ogni sera con la testa di evadere
Mi han messo responsabile e nelle prime pagine
Soltanto perché loro voglion sporcarmi l'immagine
Ma sai cosa immagino? Che qui non c'è un margine
Continuo, non immagini anche sotto indagine
 E dormo in paranoia
E vivo in paranoia
E tengo una pistola
Ra-pam-pam-pam
Ra-pam-pam-pam
E dormo in paranoia
E vivo in paranoia
E tengo una pistola
Ra-pam-pam-pam
Ra-pam-pam-pam
 Que lo que, hermano?
Je suis Maghrébin
Haribo-haribo e vado in giro a Milano (Pa, pa-pa)
Je suis africain
Capito, capito, no capito l'italiano (No, no, no)
Non parlo, no hablo, la lingua agli infami piuttosto la taglio
Entro, esco, sì, dal commissario, normal
 Ho fatto dei progressi, mica un progresso
(Pa-pa-pa-pa-pa-pa-pa-pa-pa)
Son sempre lo stesso, yah-yah
Ho fatto più processi che, frate', concerti
Tu che cazzo pensi? Yah, yah
Giro con venti negri e con dieci ferri
Meglio che non scherzi, yah, yah
Tornate a casa aperti e poi a Studio Aperto
Non portan rispetto, yah, yah
Baby, giuro che ti porto con me, Champs-Élysées
Insieme gireremo tutto il mondo
Lei mi vuole perché sono uscito dalla misère
Mi chiama, baby, ma io non rispondo
Baby, giuro che ti porto con me, Champs-Élysées
Insieme gireremo tutto il mondo
Lei mi vuole perché sono uscito dalla misère, ah
 Fumo, frè, diretto dalla prima qualité
Je m'en bats les couilles de l'argent
C'ho problemi, crimi' la mia mentalité
Je m'en bats les couilles, excuse moi
Fumo, frè, diretto dalla prima qualité
Je m'en bats les couilles de l'argent
C'ho problemi, crimi' la mia mentalité
Je m'en bats les couilles, excuse moi
 E dormo in paranoia
E vivo in paranoia
E tengo una pistola
Ra-pam-pam-pam
Ra-pam-pam-pam
E dormo in paranoia
E vivo in paranoia
E tengo una pistola
Ra-pam-pam-pam
Ra-pam-pam-pam","I cry to not laugh, I laugh to not cry
At fifteen I’ve already finished all my tears
Shed on the tombstone, the nights closed in jail
Dreaming every night with the intention to escape
They put me responsible and in the first pages
Only because they want to dirty my image
But you know what I imagine? That here there is no edge
I continue, you don’t imagine even under investigation
 And I sleep in paranoia
And I live in paranoia
And I have a gun
Ra-pam-pam-pam
Ra-pam-pam-pam
And I sleep in paranoia
And I live in paranoia
And I have a gun
Ra-pam-pam-pam
Ra-pam-pam-pam
 What, bro?
I’m maghreb
Haribo-haribo and I go around Milan (Pa, pa-pa)
I’m african
understand, understand, I don’t understand italian (No, no, no)
I don’t speak, I don’t speak, I’d rather cut the tongue of the traitors
I go in and out the commissioner’s office, normal
 I made many progress, not one progress
(Pa-pa-pa-pa-pa-pa-pa-pa-pa)
I’m always the same, yah-yah
I’ve done more trials than concerts
What the fuck do you think? Yah, yah
I go around with twenty niggas and with twenty chains
It’s better that you don’t joke, yah, yah
You go back home opened and then to Studio Aperto
They don’t show respect, yah, yah
Baby, I promise that I will take you to Champs-Élysées with me
We will go around the world together
She wants me because I came out of poverty
She calls me, baby, but I don’t answer
Baby, I promise that I will take you to Champs-Élysées with me
We will go around the world together
She wants me because I came out of poverty, ah
 I smoke, bro, directed from the first quality
I don’t give a fuck about money
I have problems, my mentality is criminal
I don’t give a fuck, sorry
I smoke, bro, directed from the first quality
I don’t give a fuck about money
I have problems, my mentality is criminal
I don’t give a fuck, sorry
 And I sleep in paranoia
And I live in paranoia
And I have a gun
Ra-pam-pam-pam
Ra-pam-pam-pam
And I sleep in paranoia
And I live in paranoia
And I have a gun
Ra-pam-pam-pam
Ra-pam-pam-pam",fr_XX,en_XX
"Les Flamandes dansent sans rien dire
Sans rien dire aux dimanches sonnants
Les Flamandes dansent sans rien dire
Les Flamandes ça n’est pas causant
Si elles dansent, c’est parce qu’elles ont vingt ans
Et qu’à vingt ans il faut se fiancer
Se fiancer pour pouvoir se marier
Et se marier pour avoir des enfants
C’est ce que leur ont dit leurs parents
Le bedeau et même son Eminence
L’Archiprêtre qui prêche au couvent
Et c’est pour ça et c’est pour ça qu’elles dansent
Les Flamandes
Les Flamandes
Les Fla - Les Fla - Les Flamandes
 Les Flamandes dansent sans frémir
Sans frémir aux dimanches sonnants
Les Flamandes dansent sans frémir
Les Flamandes ça n’est pas frémissant
Si elles dansent, c’est parce qu’elles ont trente ans
Et qu’à trente ans il est bon de montrer
Que tout va bien, que poussent les enfants
Et le houblon et le blé dans le pré
Elles font la fierté de leurs parents
Et du bedeau et de son Eminence
L’Archiprêtre qui prêche au couvent
Et c’est pour ça et c’est pour ça qu’elles dansent
Les Flamandes
Les Flamandes
Les Fla - Les Fla - Les Flamandes
 Les Flamandes dansent sans sourire
Sans sourire aux dimanches sonnants
Les Flamandes dansent sans sourire
Les Flamandes ça n’est pas souriant
Si elles dansent, c’est qu’elles ont septante ans
Qu’à septante ans il est bon de montrer
Que tout va bien, que poussent les p’tits-enfants
Et le houblon et le blé dans le pré
Toutes vêtues de noir comme leurs parents
Comme le bedeau et comme son Eminence
L’Archiprêtre qui radote au couvent
Elles héritent et c’est pour ça qu’elles dansent
Les Flamandes
Les Flamandes
Les Fla - Les Fla - Les Flamandes
 Les Flamandes dansent sans mollir
Sans mollir aux dimanches sonnants
Les Flamandes dansent sans mollir
Les Flamandes ça n’est pas mollissant
Si elles dansent, c’est parce qu’elles ont ""chent"" ans
Et qu’à ""chent"" ans il est bon de montrer
Que tout va bien, qu’on a toujours bon pied
Et bon houblon et bon blé dans le pré
Elles s’en vont retrouver leurs parents
Et le bedeau et même Son Eminence
L’Archiprêtre qui radote au couvent
Et c’est pour ça qu’une dernière fois elles dansent
Les Flamandes
Les Flamandes
Les Fla - Les Fla -Les Flamandes.","The Flemish ladies dance in silence
In silence on the chiming Sundays
The Flemish ladies dance in silence
Flemish ladies aren’t much for chat
If they dance it’s because they’re twenty years old
And at twenty one years you must get engaged
Get engaged so you can get married
And get married to have children
That’s what their parents told them
And the churchwarden and even His Eminence
The Dean who preaches at the convent
And that is why and that is why they dance
The Flemish ladies
The Flemish ladies
The Flem-, the Flem-, the Flemish ladies
 The Flemish ladies dance without flinching
Without flinching on the chiming Sundays
The Flemish ladies dance without flinching
Flemish ladies aren’t much for flinching
If they dance, it’s because they’re thirty years old
And at thirty years old, it’s good to show
That all is well, that the children are growing
And the hops and the corn in the field
They are the pride of their parents
And of the churchwarden and of His Eminence
The Dean who preaches at the convent
And that is why and that is why they dance
The Flemish ladies
The Flemish ladies
The Flem-, the Flem-, the Flemish ladies
 The Flemish ladies dance without smiling
Without smiling on the chiming Sundays
The Flemish ladies dance without smiling
Flemish ladies aren’t much for smiling
If they dance, it’s because they’re seventy years old
And at seventy years old, it’s good to show
That all is well, that the grandchildren are growing
And the hops and the corn in the field
All dressed in black like their parents
Like the churchwarden and like His Eminence
The Dean who rambles at the convent
They’re inheriting and that is why they dance
The Flemish ladies
The Flemish ladies
The Flem-, the Flem-, the Flemish ladies
 The Flemish ladies dance without slacking
Without slacking on the chiming Sundays
The Flemish ladies dance without slacking
Flemish ladies aren’t much for slacking
If they dance, it’s because they’re a nundred1 years old
And at a nundred years old, it’s good to show
That all is well, that you’re still nifty on your pins
And have good hops and good corn in the field
They’re away to rejoin their parents
And the churchwarden and even His Eminence
The Dean who rambles at the convent
And that is why for one last time they dance
The Flemish ladies
The Flemish ladies
The Flem-, the Flem-, the Flemish ladies
  1.
The singer is mocking a dialect pronunciation of the word ‘cent’ – ‘hundred’",fr_XX,en_XX
"Joseph =
A quoi ça tient être heureux
A trois fois rien si on veut
Mais à la couleur jamais
A la couleur jamais
A la couleur jamais
 A quoi ça tient être aimé
A plus ou moins ce qu'on est
Mais à la couleur jamais
A la couleur jamais
A la couleur jamais
 Au rang des apparences c'est la plus dérisoire
C'est sans importance
Au rang des apparences c'est la plus accessoire
Le blanc, le jaune, le noir
 On t'aime de toutes les couleurs
De pot, de drapeau et d'ailleurs
Entre le bleu et le rose
On n'fait pas la par des choses
T'es beau à l'intérieur
 Au rang des apparences c'est la plus dérisoire
C'est sans importance
Au rang des apparences c'est la plus accessoire
Le blanc, le jaune, le noir
 On t'aime de toutes les couleurs
De pot, de drapeau et d'ailleurs
Entre le bleu et le rose
On n'fait pas la par des choses
T'es beau à l'intérieur
 Ca tient peut-être à l'amour
A des copains tout autour
Mais à la couleur jamais
A la couleur jamais
A la couleur jamais
A la couleur jamais","Joseph =
What matters to be happy?
Very little, if we wish so
But color never matters
Color never matters
Color never matters
 What matters to be loved?
More or less the person we are
But color never matters
Color never matters
Color never matters
 Appearance-wise, it is the most trivial feature
It is irrelevant
Appearance-wise, it is the most negligible feature
White, yellow, black
 We love you in every color
Of skin, of flag and from elsewhere
Between blue and pink
We're not looking for a middle ground
You're pretty on the inside
 Appearance-wise, it is the most trivial feature
It is irrelevant
Appearance-wise, it is the most negligible feature
White, yellow, black
 We love you in every color
Of skin, of flag and from elsewhere
Between blue and pink
We're not looking for a middle ground
You're pretty on the inside
 Maybe love is what matters
Maybe being surrounded by friends matters
But color never matters
Color never matters
Color never matters
Color never matters",fr_XX,en_XX
"Je sais que cette fois, c'est la fin
Je sais que l'on n'y peut plus rien
Je sais, mais je ne peux pas croire
Je sais qu'il n'y a plus d'espoir
 J'ai peur, si peur seul dans la nuit
J'ai froid, si froid tout seul, la nuit
Je pleure de haine au petit jour
Je te hais en gémissant d'amour
 Oh, mais j'ai mal, si mal
De penser qu'un autre déjà
Te serre dans ses bras
Oh, j'ai mal, si mal
Et pourtant
Depuis bien longtemps
Je sais, je sais
 Je sais que je n'ai jamais su
Je sais que je n'aurais pas dû
Je sais que souvent, j'ai eu tort
Je sais que notre amour est mort
 Et j'ai mal, si mal
De penser qu'un autre déjà
Te serre dans ses bras
Et j'ai si mal, si mal
Et pourtant
Depuis bien longtemps
Je sais, je sais
 Je sais que l'on n'y peut plus rien
Je sais que cette fois, c'est la fin
Je sais je devrais t'oublier,
Je ne devrais pas pleurer,
Je ne devrais pas crier
 Mais je t'aime, je t'aime,
Je t'aime, je t'aime,
Je t'aime, je t'aime,
Je t'aime","I know that this time, it's the end
I know that there's nothing more we can do
I know, but I can't believe it
I know that there's no more hope left
 I am scared, so scared alone during the night
I am cold, so cold all alone at night
I cry with hatred at dawn
I hate you moaning out of love
 Oh, but I feel bad, so bad
To think that someone else already
Has you in his arms
Oh, I feel bad, so bad
And yet
For a very long time
I know, I know
 I know that I never knew
I know that I shouldn't have
I know that I've often been wrong
I know that our love is dead
 And I feel bad, so bad
To think that someone else already
Has you in his arms
And I feel so bad, so bad
And yet
For a very long time
I know, I know
 I know that there's nothing more we can do
I know that this time, it's the end
I know I should forget you
I shouldn't cry
I shouldn't scream
 But I love you, I love you
I love you, I love you
I love you, I love you
I love you",fr_XX,en_XX
