original_poem,translated_poem,src_lang,tgt_lang
"[ Renouveau ]
 Tout renouveau est une étrenne du destin.
La vie n’est qu’un ensemble d’événement,
Ou, tout est en évolution, en révolution
Et en perpétuelle transformation.
Pour progresser, tu dois avant tout
Te changer toi-même !
 Ouvre tes bras, ton cœur, ta demeure au renouveau,
Tout en restant toi-même le changement
Que tu désires voir dans le monde.
 Ô toi citoyen du monde,
Une nouvelle occasion de s’étreindre,
D’être ensemble, de s’aimer d’amitié ou d’amour.
 Puisses-tu découvrir,
Une vie déliée et délivrée,
Enfin une allégresse, dans ce voyage.
Qu'il te sois que
Bienveillance et bienfaisance.","Toda renovação é um presente do destino.
A vida não é nada além de um conjunto de eventos,
Ou, tudo está em evolução, em revolução
E em perpétua transformação.
Acima de tudo ,você deve progredir
Transforme-se!
 Abra seus braços, seu coração, sua casa para a renovação,
Enquanto você mesmo continuar sendo a mudança
Que deseja ver no mundo.
 Ó você, cidadão do mundo,
Uma nova oportunidade a ser aproveitada,
Ficar juntos, amar um ao outro com amizade ou amor.
 Que você descubra,
Uma vida sem limites e entregue,
Finalmente uma alegria, nesta viagem.
Que 2022 seja apenas
Boa vontade e caridade
 FELIZ ANO NOVO!",fr_XX,pt_XX
"Blasphémie
Ton nom qui saigne
Tu n'te réveilles plus
Au son de mes baisers
 Ton odeur disparait
Mon cœur n'était pas préparé
 Le bout de tes lèvres me touche à peine
J'ai envie de ta bouche haletante
Mon doigt sur ta langue brûlante
Et je parcours ton corps par habitude
Et mes mains connaissent le chemin par cœur
Les collines et les vallées
De tes reins à tes seins
 L'ennemie c'est l'inconnu
Le triste retour à la réalité
Hmmm monotonie quand tu t'installes
Tu n'pardonnes pas les amants désunis
 J'ai si peur de mourir seule
De m'endormir sans jamais me réveiller
Sans l'étreinte familière
De ta peau sans mystère
 Le bout de tes lèvres me touche à peine
J'ai envie de ta bouche haletante
Mon doigt sur ta langue brûlante
Et je parcours ton corps par habitude
Et mes mains connaissent le chemin par cœur
Les collines et les vallées
De tes reins à tes seins
 La lumière s'éteint sur notre histoire
Mon cœur bat trop fort je ne dors plus
J'ai peur de mon ombre, j'ai peur du vide
Tu m'as condamnée à mourir
Je n'ai plus envie de vivre
Je compte les secondes à rebours
Jusqu'à ma tombe
 L'agonie c'est la vie sans toi
Et la folie de t'avoir perdu
Et le chagrin tous les matins
Quand tu n'es pas là
 Oh Sasha
Toutes les larmes de mon corps
Qui coulent jusqu'à l'infini
Font déborder le torrent du remède
À la mélancolie
 Oh Sasha
Et si tes regrets te font changer d’avis
Reviens
Je serais là
Oh Sasha
L’enfer c’est les autres mais c’est surtout toi","Blasfêmia
Seu nome sangrento
Você não acorda
Ao som dos meus beijos mais
 Seu cheiro desaparece
Meu coração não estava preparado
 Teus lábios mal me tocam
Quero sua boca incansável
Meu dedo sobre sua língua fervente
E eu viajo em seu corpo como de costume
E minhas mãos sabem o caminho décor
As montanhas e vales
De sua cintura e seus seios
 O inimigo é o desconhecido
A triste queda pra realidade
Monotonia quando você vem
Você não dá perdão a amantes separados
 Tenho tanto medo de morrer sozinha
De dormir e nunca acordar novamente
Sem o abraço familiar
De sua pele sem mistérios
 Teus lábios mal me tocam
Quero sua boca incansável
Meu dedo sobre sua língua fervente
E eu viajo em seu corpo como de costume
E minhas mãos sabem o caminho décor
As montanhas e vales
De sua cintura e seus seios
 A luz se apaga em nossa história
Meu coração bate, eu não posso dormir
Tenho medo da minha sombra, medo do vazio
Você me sentenciou a morte
Não quero mais viver
Estou contando os segundos ao contrário
Até minha cova
 Sem você, minha vida é agonia
E loucura, pois perdi você
E tristeza todas as manhãs
Quando não está aqui
 Ah, Sasha
Todas as lágrimas fluem
Infinitamente de meu corpo
Transbordam a corrente medicinal
Com melancolia
 Ah, Sasha
E se os arrependimentos te fizerem mudar de ideia
Volte
Eu estarei aqui
Ah, Sasha
O inferno são os outros, mas em especial, você",fr_XX,pt_XX
"Moi j'ai tout compris, va!
Quoi?
Et eux pataugent un peu
Qui?
L'amour les guette et nous, c'est pas sorcier
De trois, on passe à deux
Ah
 Le miel du soir qui tombe
La beauté de l'endroit
Et dans cette atmosphère ultra-magique
On court à la cata!
 Quand soudain l'amour est là
Qu'au soir descend la paix
Dans un élan
De vie et d'harmonie
Le monde entier renait
 J'ai tant à lui confier, mais
Pourtant je n'ose pas
Lui dire la vérité? Ca non, jamais!
Je la perdrais, je crois
 Qui sais ce qu'il me cache?
Parfois, ses yeux me fuient
Combien de temps avant que ne s'éveille
Le roi qui dort en lui?
 Quand soudain l'amour est là
Qu'au soir descend la paix
Dans un élan
De vie et d'harmonie
Le monde entier renaît
 Quand soudain l'amour est là
Pourquoi chercher plus loin?
En se jouant
Des brumes et de la nuit
Il nous tend la main
 Et si l'amour s'empare de lui
Comme il s'empare de moi
 Il suffit pour ce coeur
Si loin de tout
 D'être près de toi","Certo, eu entendi tudo!
O que?
Eles estão um pouco confusos
Quem?
O amor os observa e nós, não é difícil
De três passamos a dois
Ah
 O mel da noite que cai
A beleza do lugar
E nessa atmosfera ultramágica
Caminhamos para o desastre!
 Quando de repente o amor aparece
Que a paz caia à noite
Em um impulso
De vida e de harmonia
O mundo inteiro renasce
 Eu tenho tanto para contá-la, mas
Não ouso
Contá-la a verdade? Isso não, jamais!
Acredito que a perderia
 Quem sabe o que ele esconde de mim?
Às vezes seus olhos fogem de mim
Quanto tempo até que desperte
O rei que dorme nele?
 Quando de repente o amor aparece
Que a paz caia à noite
Em um impulso
De vida e de harmonia
O mundo inteiro renasce
 Quando de repente o amor aparece
Por que procurar em outro lugar?
Enquanto joga em nós
As névoas e a noite
Ele nos estende a mão
 E se o amor o dominar
Como me dominou
 É o suficiente para este coração
Longe demais de tudo
 Estar perto de você",fr_XX,pt_XX
"Fais-moi une place
Au fond de ta bulle
Et si je t'agace
Si je suis trop nul
Je deviendrai
Tout pâle, tout muet, tout petit
Pour que tu m'oublies
 Fais-moi une place
Au fond de ton cœur
Pour que je t'embrasse
Lorsque tu pleures
Je deviendrai
Tout fou, tout clown, gentil
Pour que tu souries
 Je veux que t'aies jamais mal
Que t'aies jamais froid
Et tout m'est égal
Tout, à part toi
Je t'aime
 Fais-moi une place
Dans ton avenir
Pour que je ressasse
Moins mes souvenirs
Je serai jamais
Éteint, hautain, lointain
Pour que tu sois bien
 Fais-moi une place
Dans tes urgences
Dans tes audaces
Dans ta confiance
Je serai jamais
Distant, distrait, cruel
Pour que tu sois belle
 Je veux pas que tu t'ennuies
Je veux pas que t'aies peur
Je voudrais que tu oublies
Le goût du malheur
Je t'aime
 Une petite place
Ici, maintenant
Car le temps passe
À pas de géant
Je me ferai
Tout neuf, tout beau, tout ça
Pour être à toi
 Je me ferai
Tout neuf, tout beau, tout ça
Pour être à toi
 Pour être à toi...","Encontre um lugar para mim
Dentro de sua bolha
E se eu te irritar
Se eu for muito malvado
Ficarei
todo pálido, mudo, pequenino
Para que me esqueças
 Encontre um lugar para mim
No fundo do seu coração
Para que eu te beije
Quando chorares
Ficarei
louco, palhaço, gentil
Para que sorrias
 Quero que nunca sofras
Que nunca tenhas frio
E nada me importa
Tudo excepto você
Te amo
 Encontre um lugar para mim
No seu futuro
Para que eu repita
Menos as minhas memórias
Nunca serei
Extinto, altivo, distante
Para que estejas bem
 Encontre um lugar para mim
Nas suas urgências
Nas suas audácias
Na sua confiança
Nunca serei
Distante, distraído, cruel
Para que sejas bonita
 Não quero que se aborreças
Não quero que tenhas medo
Quero que esqueças
O sabor da desgraça
Te amo
 Um lugar pequeno
Aqui, agora
Porque o tempo passa
A passos gigantes
Me tornarei
Todo novo, todo lindo, tudo isso
Para ser seu.
 Me tornarei
Todo novo, todo lindo, tudo isso
Para ser seu
 Para ser seu...",fr_XX,pt_XX
"Ce soir le vent qui frappe à ma porte
Me parle des amours mortes
Devant le feu qui s'éteint
Ce soir c'est une chanson d'automne
Dans la maison qui frissonne
Et je pense aux jours lointains.
 Que reste-t-il de nos amours
Que reste-t-il de ces beaux jours
Une photo vieille photo de ma jeunesse
Que reste-t-il des billets doux
Des mois d'avril des rendez-vous
Un souvenirs qui me poursuit sans cesse
Bonheur fané cheveux au vent
Baisers volés
Rêves mouvants
Que reste-t-il de tout cela
Dites-le-moi
Un petit village
Un vieux clocher
Un paysage
Si bien caché
Et dans un nuage
Le cher visage
De mon passé.
 Le mots, le mots tndres qu'on murmure
Les caresses les plus pures
Les serments au fond des bois
Les fleurs qu'on retrouve dans un livre
Dont le parfum vous envire
Se sont envolés pourquoi?","O vento que bate à minha porta esta noite
me lembra dos amores passados
Na frente do fogo que se apaga
Essa noite é uma canção de outono
Numa casa que treme
E eu penso nos dias passados
 O que restou do nosso amor
O que restou daqueles bons dias
Uma velha foto de minha juventude
O que restou das cartas de amor
Dos meses de abril, dos encontros
Uma lembraça que me persegue constantemente
Felicidade apagada, cabelos esvoaçantes
Beijos roubados
Sonhos que mudam
O que restou de tudo isso
Diga-me
Um pequeno vilarejo
Um antigo campanário
Uma paisagem
Tão bem escondida
E numa nuvem
O querido rosto
Do meu passado
 As palavras, as palavras ternas que sussurramos
As mais puras carícias
Juramentos no meio da floresta
Flores encontradas em um livro
Cujo perfume lhe apetece
Por que voaram para longe?",fr_XX,pt_XX
"Qui aimes-tu le mieux, homme énigmatique, dis?
Ton père, ta mère, ta sœur ou ton frère?
Je n’ai ni père, ni mère, ni sœur, ni frère
 Tes amis?
Vous vous servez là d’une parole
Dont le sens m’est resté jusqu’à ce jour
Inconnu.
 Ta patrie?
J’ignore sous quelle latitude elle est située.
 La beauté?
Je l’aimerais volontiers, déesse et immortelle.
 L’or?
Je le hais comme vous haïssez Dieu.
 Eh, qu’aimes-tu donc, extraordinaire étranger?
J’aime les nuages… Les nuages qui passent…
Là-bas… Là-bas…
Les merveilleux nuages!
 J’aime les nuages… Les nuages qui passent…
Là-bas… Là-bas…
Les merveilleux nuages!","O que você mais ama, homem enigmático, diga?
Seu pai, sua mãe, sua irmã, seu irmão?
Eu não tenho nem pai, nem mãe, nem irmã, nem irmão
 Seus amigos?
Você está usando uma palavra
Cujo sentido me continua, até o dia de hoje,
Desconhecido
 Sua pátria?
Eu ignoro a latitude em que ela está
 A beleza?
Eu a amaria com prazer, deusa e imortal
 O ouro?
Eu o odeio como vocês odeiam Deus
 Eh, então o que você ama, extraordinário forasteiro?
Eu amo as nuvens... As nuvens que passam...
Por ali... Por ali...
As maravilhosas nuvens!
 Eu amo as nuvens... As nuvens que passam...
Por ali... Por ali...
As maravilhosas nuvens!",fr_XX,pt_XX
"(Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver
Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver...)
 (Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime...)
 Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver rêver rêver)
Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver)
 (Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver
Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver...)
 J'ai besoin de me repo
J'ai besoin de me reposer
Reposer
J'ai besoin de me repo
J'ai besoin de me reposer
Reposer
 (Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime...)
 Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver rêver rêver)
Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver)
Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver rêver rêver)
Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver)
 (Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver
Rêver rêverie
Rêver rêver rêver
Rêver rêverie rêver...)
 J'ai besoin de me repo
J'ai besoin de me reposer
Reposer
J'ai besoin de me repo
J'ai besoin de me reposer
Reposer
 Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
Je m'ennuie je m'ennuie j'aime
 Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver rêver rêver)
Je m'ennuie je m'ennuie j'aime
(Rêver rêverie)
Je m'ennuie je m'ennuie j'aime
(Rêver)","(Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe
Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe...)
 (Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo...)
 Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, sonhe, sonhe...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe...)
 (Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe
Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe...)
 Eu preciso descansar
Eu preciso descansar
Descansar
Eu preciso descansar
Eu preciso descansar
Descansar
 (Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo...)
 Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, sonhe, sonhe...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, sonhe, sonhe...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe...)
 (Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe
Sonhe, fantasie
Sonhe, sonhe, sonhe
Sonhe, fantasie, sonhe...)
 Eu preciso descansar
Eu preciso descansar
Descansar
Eu preciso descansar
Eu preciso descansar
Descansar
 Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
Me sinto entediada, me sinto entediada, eu amo
 Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, sonhe, sonhe...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe, fantasie...)
Me sinto entediada, me sinto entediada, eu amo
(Sonhe...)",fr_XX,pt_XX
"Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
 Laissez tout passer
Réinventer
Laissez tout passer
Réinventer
 Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
 Laissez tout passer
Réinventer
Laissez tout passer
Réinventer
 Laissez tout passer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
Réinventer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
 Donne, donne, donne
Donne-toi
Donne, donne-toi
Donne, donne, donne
Donne-toi
Donne, donne-toi
 Laissez tout passer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
Réinventer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
 Laissez tout passer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
Réinventer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
 Laissez tout passer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
Réinventer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
 Laissez tout passer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)
Réinventer
(Donne, donne, donne. Donne-toi. Donne, donne-toi)","Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
 Deixe tudo rolar
Reinvente
Deixe tudo rolar
Reinvente
 Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
 Deixe tudo rolar
Reinvente
Deixe tudo rolar
Reinvente
 Deixe tudo rolar
(Dê, dê, dê. Se dê. Dê, se dê)
Reinvente
(Dê, dê, dê. Se dê. Dê, se dê)
 Dê, dê, dê
Se dê
Dê, se dê
Dê, dê, dê
Se dê
Dê, se dê
 Deixe tudo rolar
(Dê, dê, dê. Se dê. Dê, se dê)
Reinvente
(Dê, dê, dê. Se dê. Dê, se dê)
 Deixe tudo rolar
(Dê, dê, dê. Se dê. Dê, se dê)
Reinvente
(Dê, dê, dê. Se dê. Dê, se dê)
 Deixe tudo rolar
(Dê, dê, dê. Se dê. Dê, se dê)
Reinvente
(Dê, dê, dê. Se dê. Dê, se dê)
 Deixe tudo rolar
(Dê, dê, dê. Se dê. Dê, se dê)
Reinvente
(Dê, dê, dê. Se dê. Dê, se dê)",fr_XX,pt_XX
"Des heures à errer dans le froid
La rue ne l'impressionne pas
Les coups qui pleuvent ils sont chez toi
Je sens l'impuissance monter en moi
J'ai beau te dire n'y retourne pas
Tu me réponds: Qui me croira?
Et ou aller, je n'ai pas le choix
Tu passes la porte et pour un rien
Comme un jour sans fin
 L'orage eclate
La rage écarlate emporte tout
Et toi tu en crève
La douleur t'achevre a ses genoux
Un numero dans les journaux
Ce sera tout
Ce sera tout
Ce sera tout
 Les coups de pieds, les coups de poings
Hematomes sur ta gorge, tes seins
Tout le monde savait meme les voisins
Pourquoi payer quand on est une femme?
Pourqui personne n'etend nos larmes
Quel est ce monde qu'on a vu naitre
Quand l'homme aime deviant le traitre
Tu espères encore mais demain revient le jour sans fin
 L'orage eclate
La rage écarlate emporte tout
Et toi tu en crève
La douleur t'achevre a ses genoux
Un numero dans les journaux
Ce sera tout
Ce sera tout
Ce sera tout","Horas vagando no frio
A rua não a impressiona mais
Os golpes que chovem estão na sua casa
Eu sinto a impotência crescer em mim
Eu poderia te dizer 'Não volte mais'
Você me responde 'Quem vai acreditar em mim?'
Aonde eu for, eu não tenho escolha
Você sai pela porta, e sem motivo,
Como um dia sem fim
 A chuva cai
A raiva vermelha domina tudo
E você, você está morrendo
A dor te coloca de joelhos
Um número nos jornais
Será tudo
Será tudo
Será tudo
 Os chutes, os socos
Hematomas na sua garganta, em seus seios
O mundo todo sabe, até mesmo os vizinhos
Por que pagar quando você é mulher?
Porque ninguém entende as nossas lágrimas
Que mundo é esse que nos viu nascer?
Quando os homens amam virar os traidores
Você ainda espera, mas amanhã o dia sem fim volta
 A chuva cai
A raiva vermelha domina tudo
E você, você está morrendo
A dor te coloca de joelhos
Um número nos jornais
Será tudo
Será tudo
Será tudo",fr_XX,pt_XX
"Un temps de liberation
Est parfois précédé d'un temps de limitation accrue
Accueillir notre aveuglement
Au moment ou plus que jamais
Nous aspirons à y voir clair
S'ouvrir a notre incapacite
Au moment ou nous pensions toucher du doigt
Nos plus hautes aspirations
Cela relève d'une profonde sagesse
Ceci est un passage
Ceci est un passage
 The wound is the place
Where the light enters you
What you seek is
Seeking you
The wound is the place
Where the light enters you
What you seek is
Seeking you
 En pareils moments
Il pourra être utile de se souvenir
Que l'obstacle apparent auquel nous sommes confrontés
Est le matériau don't nous disposons dans l'instant
Tout aussi precieux pour experimenter notre divine humanité
Que peuvent l'être des circonstances favorables
Ceci est un passage
Ceci est un passage
 The wound is the place
Where the light enters you
What you seek is
Seeking you
The wound is the place
Where the light enters you
What you seek is
Seeking you","Um tempo de libertação
Costuma ser precedido por um tempo de maiores limitações
Acolhemos nossa cegueira
No momento em que, mais que nunca,
Queremos ver claro
Nos abrimos à nossa incapacidade
No momento em que pensamos que tocamos
As nossas mais altas aspirações
É uma questão de profunda sabedoria
É uma passagem
É uma passagem
 A ferida é o lugar
Em que a luz entra em você
O que você procura
Está te procurando
A ferida é o lugar
Em que a luz entra em você
O que você procura
Está te procurando
 Em momentos parecidos
Pode ser útil se lembrar
Que o obstáculo aparente que nós lutamos
É o material de que dispomos no momento
Precioso demais para experimentar nossa divina humanidade
O que poderiam ser as circunstâncias favoráveis?
É uma passagem
É uma passagem
 A ferida é o lugar
Em que a luz entra em você
O que você procura
Está te procurando
A ferida é o lugar
Em que a luz entra em você
O que você procura
Está te procurando",fr_XX,pt_XX
