original_poem,translated_poem,src_lang,tgt_lang
"De l'amour à la mort il n'y avait qu'un pas
Et l'amour l'a franchi qui peut dire pourquoi
Qui peut dire comment il a mis une proie
Sur nos rêves d'amants décrétant l'amour
Hors la loi
 Plus le mal se répand plus le diable est heureux
Sur ces agissements Dieu a fermé les yeux
Le destin et la mort ont pactisé un jour
Depuis le mal dévore et la vie et l'amour
 Amour amer
Amants à mort
À vos enfers
Feu dans le corps
Amour amer
 Et le coeur s'est gelé le corps a pris peur
Et le sang pollué a perdu sa couleur
Les amoureux non plus de raison de rêver
L'insouciance a vécu il faut toujours se préserver
 L'aventure d'un soir devient jeu dangereux
Et nous fait entrevoir les lendemains de feu
Le mal qui va et court rend les amants craintifs
En ces temps où l'amour semble un acte fautif
 Amour amer
Amants à mort
À vos enfers
Feu dans le corps
Amour amer
 L'amour devait bâtir pour nous des lendemains
Et la science guérir et nous tenir la main
Tous deux nous ont trahi sans honte et sans raison
Nous en payons le prix sans espoir et sans illusion
 Mon amour mon amour ne m'abandonne pas
Je tremble nuit et jour la mort plane sur moi
Je crève sans espoir ma jeunesse est foutue
Car je suis damné par le sang que j'ai reçu
 Amour amer
Amants à mort
À vos enfers
Feu dans le corps
Amour amer","Do amor à morte é apenas um passo
E o amor o atravessou, quem pode dizer por quê
Quem pode dizer como ele pegou uma presa
Nos nossos sonhos de amantes decretando o amor
Fora da lei
 Quanto mais espalha o mal, mais o diabo é feliz
A essas ações Deus fechou os olhos
Destino e morte um dia pactuaram
Desde que o mal devora a vida e o amor
 Amor amargo
Amantes até a morte
Até o inferno
Corpos em chamas
Amor amargo
 E o coração se congelou, o amor amedrontou-se
E o sangue maculado perdeu sua cor
Os amantes não têm mais uma razão para sonhar
O desprezo venceu, deve-se se preservar
 A aventura de uma noite tornou-se um jogo perigoso
E nos faz entrever “amanhãs” de fogo
O mal que corre e apavora os amantes
Nestes tempos em que o amor parece um ato de culpa
 Amor amargo
Amantes até a morte
Até o inferno
Corpos em chamas
Amor amargo
 O amor deveria construir o porvir para nós
A ciência curar e segurar nossa mão
Ambos nos traíram sem vergonha ou razão
E nós pagamos o preço, sem esperança e sem ilusão
 Meu amor, meu amor, não nos abandone
Tremo noite e dia, a morte paira sobre mim
Morro sem esperança, minha juventude é esperdiçada
Porque sou amaldiçoado pelo sangue que recebi.
 Amor amargo
Amantes até a morte
Até o inferno
Corpos em chamas
Amor amargo",fr_XX,pt_XX
"D'où je viens le temps n'existe pas
Les secondes deviennent des heures
Les années, de courts instant sitôt envolés
Et nos mots trompeurs sont remplacés
Par la musique et les couleurs
Qui flottent commes des parfums dans l'air ambré
 ""N'aie crainte, à présent tout est fini
Brise les chaînes de tes peurs mortelles
Pour à jamais en être libéré
Et retrouver la quiétude passée
N'aie crainte, à présent tout est fini
Laisse couler tes larmes une dernière fois
Pour à jamais en être libéré
Et rejoins le monde d'où tu viens""","De onde venho o tempo não existe
Os segundos tornam-se horas
Os anos, tão curtos, passam tão rápido
E nossas palavras mentirosas são substituidas
Pela música e pelas cores
Que flutuam como os perfumes no ar de âmbar
 Não tenha medo, agora tudo acabou
Quebre as correntes dos teus medos mortais
Para ser livre para sempre
E poder encontrar a quietude de antes
Não tenha medo, agora tudo acabou
Deixe cair as lágrimas uma última vez
Para ser livre para sempre
E voltar para o mundo de onde vens",fr_XX,pt_XX
"La juste là
Sans bruit tu dors
Les heures sont trop longues encore
La juste là
Prés de toi en silence je pleure
Trop souvent je pense à partit
Ailleurs
Sans me retourner
Partir et d'une larme
Déposer les armes
La juste là
Depuis longtemps
Je me suis perdue mais encore
La à cotê de toi
Le bonheur s'enfuit
Les anées aussi
Sans nous attendre
Partir
Déposer les armes
Savoir
Que mon départ
Arrêtera mes larmes
Pour une fois m'écouter pour de vrai
Sans regret plus jamais me taire
Avant ton reveil
Partir
Partir sans regret
sans regret
Partir","Ali... justo ali
Sem nenhum barulho.. dormes
As horas são ainda tão longas
Ali... justo ali
Perto de ti ,em silêncio eu choro
Penso muito em partir
Para algum lugar
Sem volta
Partir e numa lágrima
Me render
Ali.. justo ali
Desde muito tempo
Ainda estou perdida, mas
Ali.. ao teu lado
A felicidade se vai
E os anos também
Sem nos esperar
Partir
Render-se
Saber
Que minha partida
Vai fazer minhas lágrimas cessarem
Pelo menos uma vez me escutar realmente
Sem lamentar, e nunca mais me calar
Antes que tu acordes
Partir
Partir sem lamentar
Sem lamentar
Partir",fr_XX,pt_XX
"J’avoue c’est pas le bonheur
Moi je vivais d’amour
Aujourd’hui je n’ai plus l’âme sœur
J’écoute ma douleur
Et le silence est lourd
Les secondes sont des heures
Et j’imagine ce que tu dis, ce que tu fais, ce que tu penses
Et je devine ce que tu vis à ses cotés en mon absence
 J’ai laissé
Les fleurs du jardin se fâner
J’ai laissé
Ton odeur sur l’oreiller
J’ai laissé
Les volets fermés tout l’été
Pour ne plus voir le jour se lever
 J’avoue c’est pas le bonheur
Moi je rêvais d’amour
Aujourd’hui j’en n'ai plus le cœur
J’avoue et j’effleure
Nos je t’aime pour toujours
Qui lentement se meurent
J’imagine ce qu’il te dit, ce qu’il te fait, ce qu’il en pense
Je devine ce que tu vis à ses cotés en mon absence
 J’ai laissé
Les fleurs du jardin se fâner
J’ai laissé
Ton odeur sur l’oreiller
J’ai laissé
Les volets fermés tout l’été
Pour ne plus voir le jour se lever
 Et la nuit j’entends ta voix
Et ton corps, je le vois
Mais la nuit j’entends dans ta voix
Que tu ne reviendras pas
 J’ai laissé
Les fleurs du jardin se fâner
J’ai laissé
Ton odeur sur l’oreiller
J’ai laissé
Les volets fermés tout l’été
Pour ne plus voir le jour se lever
 J’ai laissé (x4)
J’ai laissé les fleurs se fâner
J’ai laissé (x4)
J’ai laissé ton odeur sur l’oreiller
J’ai laissé (x4)
J’ai laissé les volets fermés
J’ai laissé (x4)
J’ai laissé les fleurs se fâner
 J’ai laissé
Les fleurs du jardin se fâner
J’ai laissé
Ton odeur sur l’oreiller
J’ai laissé
Les volets fermés tout l’été
Pour ne plus voir le jour se lever
 Pour ne plus croire aux contes de fées","Confesso que não é felicidade
Mas eu vivia de amor
Hoje não tenho mais minha alma gêmea
Ouço meus pesares
Os silêncios são duros
E os segundos são horas
E imagino o que dizes, o que fazes, o que pensas
E eu advinho que vives ao meu lado na ausência
 Deixei
As flores do jardim murcharem
Deixei
Teu perfume no travesseiro
Deixei
As persianas fechadas o verão inteiro
Para não ver mais o dia nascer
 Confesso que não é felicidade
Eu sonhava com o amor
Hoje não tenho mais coração
Confesso e posso sentir
Nossas juras de amor para sempre
Que lentamente vão morrendo
Imagino o que ele diz, o que ele te faz e o que ele pensa
Advinho que vives ao lado dele, na minha ausência
 Deixei
As flores do jardim murcharem
Deixei
Teu perfume no travesseiro
Deixei
As persianas fechadas o verão inteiro
Para não ver mais o dia nascer
 A noite, ouço tua voz
E vejo teu corpo
Mas a noite, ouço em tua voz
Que não voltarás
 Deixei
As flores do jardim murcharem
Deixei
Teu perfume no travesseiro
Deixei
As persianas fechadas o verão inteiro
Para não ver mais o dia nascer
 Deixei
Deixei as flores murcharem
Deixei
Deixei teu cheiro no travesseiro
Deixei
As persianas fechadas
Deixei
Deixei as flores murcharem
 Deixei
As flores do jardim murcharem
Deixei
Teu perfume no travesseiro
Deixei
As persianas fechadas o verão inteiro
Para não ver mais o dia nascer
 Para não acreditar mais em contos de fada",fr_XX,pt_XX
"Pourquoi tu pleures ?
Tu ne peux pas comprendre...
Pourquoi tu pleures?
J'ai besoin qu'on m'entende...
 Elle a besoin d'exprimer ses peines,
elle a seulement besoin qu'on la soutienne,
Elle a envie d'être quelqu'un d'autre,
elle a l'impression que c'est de sa faute si le monde tourne sans regarder,
comme une ronde qui l'aurait oubliée...
 Pourquoi tu pleures?
J'aimerai me sentir belle...
Pourquoi tu pleures?
Y a personne qui m'appelle...
 Elle a des milliers de rêves en tête,
elle voit d'autres ciels à sa fenêtre,
Elle est comme toutes les autres à son âge,
Elle voit trop de princes qui sont de passage et qui l'aiment sans poser de questions,
qui promettent et qui oublient son nom...
 Pourquoi tu pleures?
Parfois je me déteste...
Pourquoi tu pleures?
C'est tout ce qui me reste...
 Et tu pleures mais c'est chacun son tour,
on a tous été seuls un jour...
Tu es belle de ce que tu feras,
le bonheur ne s'achète pas...
 Pourquoi tu pleures?
la la la la la la
Pourquoi tu pleures?
la la la la la la","Por que choras?
Tu não pode entender...
Por que choras?
Preciso que alguém me ouça...
 Ela precisa expor suas dores
Ela só precisa que alguém a suporte
Ela quer ser outra pessoa
Ela tem a impressão de que é sua culpa
Se o mundo gira sem a olhar
Esquecendo de convidá-la para o baile
 Por que choras?
Eu queria me sentir linda...
Por que choras?
Mas não tem ninguém que me ache..
 Ela tem milhares de sonhos em mente
Ela vê outros mundos de sua janela
Ela é do mesmo jeito que as outras da sua idade
Ela vê tantos principes que só estão de passagem
E que a amam sem fazer perguntas
Que prometem... mas que esquecem o seu nome
 Por que choras?
As vezes eu me odeio
Por que choras?
É tudo o que me sobra...
 E tu choras mas quem nunca chorou?
Todos nós ja nos sentimos tristes um dia
És bela desse jeito
A felicidade não se compra
 Por que choras?
la la la la la
Por que choras?
la la la la la",fr_XX,pt_XX
"Deux gin tonics... merci beaucoup...
Quelle heure est-il? ça va et vous?
Air de blues sur piano triste
Je n'entends pas ce que vous dites...
 Aller-retours cosmopolites
Dans ce bar de grand hôtel
Raybans foncées qui vous évitent
Et nos discours superficiels
 Se dire une fois ""je t'aime""
Même si les mots sonnent un peu faux
Les dire quand même
Lui dire une fois ""je t'aime""
Boire un peu trop
Rêver tout haut
Plus rien qui nous retienne
Mais je perds le fil
Que disiez-vous?
À qui pense-t-il?
Où sommes-nous?
 Deux gin tonics... merci beaucoup...
Londres, Paris, Berlin, Bruxelles
Dans quel pays vous cachez-vous?
Quels paradis artificiels?","Duas gin tonicas.. obrigada
Que horas são? Está tudo bem, e contigo?
Um blues triste no piano
Eu só ouço o que tu me dizes
 O vai e vem cosmopolita
No bar do grande Hotel
Óculos escuros que lhes evitam
E discursos artificiais
 Se dizer uma vez ""te amo""
Mesmo que as palavras soem um pouco falsas
Fale-as mesmo assim
Diga-lhe uma vez ""eu te amo""
Beba um pouco
Sonhe alto
Nada mais nos pára
Mas eu perco o fio da meada
O que dizias?
Em que pensavas?
Onde estamos?
 Duas gin tonicas...obrigada
Londres, Paris, Berlim, Bruxelas
Em qual país se escondes?
Em quais paraísos artificiais?",fr_XX,pt_XX
"L'amour s'en va
et le tien ne saurait durer
Comme les autres
un beau jour tu vas me quitter
 Si ce n'est toi
ce sera moi qui m'en irai
L'amour s'en va
et nous n'y pourrons rien changer
 Car toi aussi
tu vas me dire mille toujours
et moi aussi
je les redirai à mon tour
 L'amour s'en va
Je t'échappe quand tu me poursuis
ou bien c'est moi
qui refuse de croire tout fini
 Et chaque fois
toujours on doit se l'avouer
l'amour s'en va
mais sans cesse, nous courrons après","O amor acaba
E o teu não saberia durar
Como os outros
Num belo dia vais me deixar
 Se não for tu
Serei eu quem vai embora
O amor acaba
E a gente não pode mudar isso
 Pois tu também
Vais me dizer, mil vezes
E eu também
Te direi quando chegar minha vez
 O amor acaba
Eu me esquivo quando me persegues
Ou sou eu
Que se recusa à acreditar que tudo acabou
 E cada vez
Sempre devemos confessar
O amor vai embora
Mas sem parar, a gente corre atrás dele",fr_XX,pt_XX
"Je t'aimais trop
J'aimais trop ton visage
Comme un oiseau
J'ai pu te mettre en cage
Mais un oiseau en pleurs
Tes larmes me font peur
 Comme une fleur
Que l'on cueille en chemin
J'ai pris ton coeur
Pour l'avoir dans ma main
Mais une fleur en meure
Que deviendra ton coeur
 Comme un beau rêve
Voulu sans réfléchir
L'amour s'achève
Je ne sais pas mentir
Mon rêve est à sa fin
Et j'ai mal de ton chagrin","Eu te amava
Amava tanto teu rosto
Como um pássaro
Pude lhe manter preso
Mas um pássaro que chora
Suas lágrimas me dão medo
 Como uma flor
Que a gente colhe no caminho
Eu peguei seu coração
Para o ter em minha mão
Mas uma flor morre
O que vai ser do teu coração?
 Como um belo sonho
Sonhado sem refletir
O amor acaba
Eu não sei mentir
Meu sonho está no fim
E me dói seu pesar",fr_XX,pt_XX
"Je te promets le sel au baiser de ma bouche
Je te promets le miel à ma main qui te touche
Je te promets le ciel au dessus de ta couche
Des fleurs et des dentelles pour que tes nuits soient douces
 Je te promets la clé des secrets de mon âme
Je te promets ma vie de mes rires à mes larmes
Je te promets le feu à la place des armes
Plus jamais des adieux rien que des au-revoirs
 J'y crois comme à la terre, j'y crois comme au soleil
J'y crois comme un enfant, comme on peut croire au ciel
J'y crois comme à ta peau, à tes bras qui me serrent
J'te promets une histoire différente des autres
J'ai tant besoin d'y croire encore
 Je te promets des jours tout bleus comme tes veines
Je te promets des nuits rouges comme tes reves
Des heures incandescentes et des minutes blanches
Des secondes insouciantes au rythme de tes hanches
 Je te promets mes bras pour porter tes angoisses
Je te promets mes mains pour que tu les embrasses
Je te promets mes yeux si tu ne peux plus voir
J'te promets d'etre heureuse si tu n'as plus d'espoir
 J'y crois comme à la terre, j'y crois comme au soleil
J'y crois comme un enfant, comme on peut croire au ciel
J'y crois comme à ta peau, à tes bras qui me serrent
J'te promets une histoire différente des autres
Si tu m'aides à y croire encore
 Et meme si c'est pas vrai, si on te l'a trop fait
Si les mots sont usés, comme écrits à la craie
On fait bien des grands feu en frottant des cailloux
Peut-etre avec le temps à la force d'y croire
On peut juste essayer pour voir
 Et meme si c'est pas vrai, meme si je mens
Si les mots sont usés, légers comme du vent
Et meme si notre histoire se termine au matin
J'te promets un moment de fièvre et de douceur
Pas toute la nuit mais quelques heures
 Je te promets le sel au baiser de ma bouche
Je te promets le miel à ma main qui te touche
Je te promets le ciel au dessus de ta couche
Des fleurs et des dentelles pour que tes nuits soient douces","Te prometo o sal ao beijo da minha boca
Te prometo mel em minha mão que te toca
Te prometo o céu acima de sua cama
Flores e rendas para que tuas noites sejam doces
 Te prometo a chave dos segredos de minha alma
Te prometo minha vida, desde os risos até as lágrimas
Te prometo fogo no lugar das armas
Nunca mais despedidas nem ""até logo""
 Creio nisso tanto quanto creio na terra, tanto quanto creio no sol
Creio nisso como uma criança, como a gente crê no paraíso
Acredito nisso, como acredito na sua pele, em teus braços que me seguram
Te prometo uma história diferente das outras
Preciso tanto acreditar nisso ainda
 Te prometo dias azuis como as tuas veias *
Te prometo noites vermelhas como teus sonhos
Horas incandescentes e brancos minutos **
Segundos indolentes seguindo o ritmo da sua dança
 Te prometo meus braços para acalmar sua ansiedade
Te prometo minhas mãos para que beije as
Te prometo meus olhos se não podes mais ver
Te prometo ser feliz se não tiveres mais esperança
 Creio nisso tanto quanto creio na terra, tanto quanto creio no sol
Creio nisso como uma criança, como a gente crê no paraíso
Acredito nisso, como acredito na sua pele, em teus braços que me seguram
te prometo uma história diferente das outras
Se me ajudares a acreditar ainda
 E mesmo se não é verdade, se a dissemos tantas vezes
Se as palavras já estão gastas, como se fossem escritas à giz
Talvez com o tempo de tanto acreditar
A gente pode tentar ver
 Mesmo que não seja verdade, mesmo que eu minta
Se as palavras já estão gastas, leves como o vento
E mesmo que nossa história acabe ao amanhecer
te prometo um momento de febre e doçura
Não a noite toda mas sim por algumas horas
 Te prometo o sal ao beijo da minha boca
Te prometo mel em minha mão que te toca
Te prometo o céu acima de sua cama
Flores e rendas para que tuas noites sejam doces",fr_XX,pt_XX
"Tu t'en vas à la dérive
Sur la rivière du souvenir
Et moi, courant sur la rive,
Je te crie de revenir
Mais, lentement, tu t'éloignes
Et dans ta course éperdue,
Peu à peu, je te regagne
Un peu de terrain perdu.
 De temps en temps, tu t'enfonces
Dans le liquide mouvant
Ou bien, frôlant quelques ronces,
Tu hésites et tu m'attends
En te cachant la figure
Dans ta robe retroussée,
De peur que ne te défigurent
Et la honte et les regrets.
 Tu n'es plus qu'une pauvre épave,
Chienne crevée au fil de l'eau
Mais je reste ton esclave
Et plonge dans le ruisseau
Quand le souvenir s'arrête
Et l'océan de l'oubli,
Brisant nos coeurs et nos têtes,
À jamais, nous réunit.","""O Noye ""
 Você está indo à deriva
No rio da memória
E eu sei que no litoral
Eu choro para retornar
Mas, lentamente, você vai embora
E em teu frenética
Aos poucos, vou recuperar
Alguns terreno perdido.
 De tempos em tempos, você se afunda
No líquido que se move
Ou, escovar alguns espinhos
Você hesita e espera
Como você esconde o rosto
Em seu vestido arregaçado,
Para que você não desfiguram
E a vergonha e arrependimento.
 Você não é um acidente de pobres
Cão cansado por causa da água
Mas eu permaneço seu escravo
E mergulha no fluxo
Quando a memória pára
E o oceano do esquecimento,
Quebrando os nossos corações e nossas cabeças
Sempre que nos encontramos.",fr_XX,pt_XX
