original_poem,translated_poem,src_lang,tgt_lang
"Got no friends but I carry on
Got no job but I carry on
Lost my dreams but I carry on, carry on
Got no friends but I carry on
Got no job but I carry on
Lost my dreams but I carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
 Got no friends but I carry on
Got no job but I carry on
Lost my dreams but I carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on
I got to carry on, carry on, carry on","Je n'ai pas d'amis mais je persévère
Je n'ai pas de travail mais je persévère
J'ai perdu mes rêves mais je persévère, persévère
Je n'ai pas d'amis mais je persévère
Je n'ai pas de travail mais je persévère
J'ai perdu mes rêves mais je persévère, persévère
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
 Je n'ai pas d'amis mais je persévère
Je n'ai pas de travail mais je persévère
J'ai perdu mes rêves mais je persévère, persévère
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer
Je dois persévérer, persévérer, persévérer",en_XX,fr_XX
"Goodbye to you, my trusted friend
We've known each other since we were nine or ten
Together we've climbed hills and trees
Learned of love and ABC's
Skinned our hearts and skinned our knees
 Goodbye my friend, it's hard to die
When all the birds are singing in the sky
Now that the spring is in the air
Pretty girls are everywhere
Think of me and I'll be there
 We had joy, we had fun
We had seasons in the sun
But the hills that we climbed
Were just seasons out of time
 Goodbye papa, please pray for me
I was the black sheep of the family
You tried to teach me right from wrong
Too much wine and too much song
Wonder how I got along
 Goodbye papa, it's hard to die
When all the birds are singing in the sky
Now that the spring is in the air
Little children everywhere
When you'll see them, I'll be there
 We had joy, we had fun
We had seasons in the sun
But the wine and the song
Like the seasons, have all gone
 Goodbye Michelle, my little one
You gave me love and helped me find the sun
And everytime that I was down
You would always come around
And get my feet back on the ground
 Goodbye Michelle, it's hard to die
When all the birds are singing in the sky
Now that the spring is in the air
With the flowers everywhere
I wish that we could both be there
 All our lives we had fun
We had seasons in the sun
But the stars we could reach
Were just starfish on the beach
 We had joy, we had fun
We had seasons in the sun
But the hills that we climbed
Were just seasons out of time
 We had joy, we had fun
We had seasons in the sun
But the wine and the song
Like the seasons, have all gone
 We had joy, we had fun
We had seasons in the sun
But the wine and the song
Like the seasons, have all gone","Au revoir à toi, mon ami de confiance
Nous nous connaissons depuis l'âge de neuf ou dix ans
Ensemble, nous avons escaladé des collines et des arbres
Nous avons appris l'amour et l'ABC
Nous avons écorché nos cœurs et nos genoux.
 Au revoir mon ami, c'est dur de mourir
Quand tous les oiseaux chantent dans le ciel
Maintenant que le printemps est dans l'air
Les jolies filles sont partout
Pense à moi et je serai là.
 Nous avons eu de la joie, nous nous sommes amusés,
Nous avons eu des saisons ensoleillées
Mais les collines que nous avons escaladées
N'étaient que des saisons hors du temps.
 Au revoir papa, s'il te plaît prie pour moi,
J'étais le mouton noir de la famille.
Tu as essayé de m'apprendre le bien et le mal.
Mais j'ai trop bu de vin et j'ai trop chanté.
Je me demande comment j'ai pu m'en sortir.
 Au revoir papa, c'est dur de mourir
Quand tous les oiseaux chantent dans le ciel.
Maintenant que le printemps est dans l'air
Il y a des petits enfants partout.
Quand tu les verras, je serai là.
 Nous avons eu de la joie, nous nous sommes amusés.
Nous avons eu des saisons au soleil
Mais le vin et la chanson
Comme les saisons, sont partis aussi.
 Au revoir Michelle, ma petite
Tu m'as donné de l'amour et tu m'as aidé à trouver le soleil
Et chaque fois que j'étais déprimé
Tu revenais toujours vers moi
Et me remettait sur pieds.
 Au revoir Michelle, c'est dur de mourir
Quand tous les oiseaux chantent dans le ciel
Maintenant que le printemps est dans l'air
Avec les fleurs partout
J'aimerais que nous soyons là tous les deux.
 Toute notre vie, nous nous sommes amusés
Nous avons eu des saisons ensoleillées
Mais les étoiles que nous pouvions atteindre
N'étaient que des étoiles de mer sur la plage.
 Nous avons eu de la joie, nous nous sommes amusés
Nous avons eu des saisons au soleil
Mais les collines que nous avons escaladées
N'étaient que des saisons hors du temps
 Nous avons eu de la joie, nous nous sommes amusés.
Nous avons eu des saisons au soleil
Mais le vin et la chanson
Comme les saisons, sont partis aussi.
 Nous avons eu de la joie, nous nous sommes amusés.
Nous avons eu des saisons au soleil
Mais le vin et la chanson
Comme les saisons, sont partis aussi.",en_XX,fr_XX
"Love, love changes everything
Hands and faces, earth and sky
Love, love changes everything
How you live and how you die
 Love can make the summer fly
Or a night seem like a lifetime
Yes, love, love changes everything
Now I tremble at your name
Nothing in the world will ever be the same
 Love, love changes everything
Days are longer, words mean more
Love, love changes everything
Pain is deeper than before
 Love will turn your world around
And that world will last forever
Yes, love, love changes everything
Brings you glory, brings you shame
Nothing in the world will ever be the same
 Off into the world we go
Planning future, shaping years
Love bursts in and suddenly
All our wisdom disappears
 Love makes fools of everyone
All the rules we make are broken
Yes, love, love changes everyone
Live or perish in its flame
Love will never never let you be the same
Love will never never let you be the same","L'amour, l'amour change tout:
Mains et visages, terre et ciel...
L'amour, l'amour change tout:
Comment on vit et comment on meurt.
 L'amour peut permettre à l'été de s'envoler
Ou qu'une nuit ressemble à une vie entière.
Oui, l'amour, l'amour change tout.
Maintenant je tremble en entendant ton prénom.
Rien au monde ne sera jamais pareil.
 L'amour, l'amour change tout:
Les jours sont plus longs, les mots ont plus de sens.
L'amour, l'amour change tout:
La douleur est plus profonde qu'avant.
 L'amour transformera votre monde autour de vous
Et ce monde durera toujours.
Oui, l'amour, l'amour change tout:
Il vous apporte la gloire, il vous apporte la honte,
Rien dans le monde ne sera jamais pareil.
 Quand nous partons dans le monde,
Nous planifions l'avenir, façonnons les années.
Puis l'amour fait irruption et soudain,
Toute notre sagesse disparaît.
 L'amour ridiculise tout le monde:
Toutes les règles que nous avons établies sont brisées.
Oui, l'amour, l'amour change chacun de nous.
Qu'on vive ou qu'on périsse dans sa flamme,
L'amour ne vous laissera jamais être le même,
L'amour ne vous laissera jamais être le même.",en_XX,fr_XX
"When the road gets dark
And you can no longer see
Let my love throw a spark
Have a little faith in me
 And when the tears you cry
Are all you can believe
Give these loving arms a try baby
Have a little faith in me
 Have a little faith in me
Have a little faith in me
Have a little faith in me
Have a little faith in me
 When your secret heart
Cannot speak so easily
From a whisper start
To have a little faith in me
 And when your back's against the wall
Just turn around and you will see
I will catch your fall
Have a little faith in me
 Have a little faith in me
Have a little faith in me
Have a little faith in me
Have a little faith in me
 When the road gets dark
And you can no longer see
Let my love throw a spark
Have a little faith in me
 Have a little faith in me
Have a little faith in me
Have a little faith in me
Have a little faith in me
 I've been loving you for such a long time
Expecting nothing in return
Just for you to have a little faith in me
You know time, time is our friend
I will hold you up, I will hold you up
Your love gives me strength enough
 Have a little faith in me","Quand les chemins sombrent
Et que tu ne peux plus voir
Mon amour étincelle
Puisses-tu un peu croire en moi
 Et quand tes larmes aux yeux
Sont tout c'que tu peux croire
Essaie mes bras aimants, mon amour
Puisses-tu un peu croire en moi
 Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
 Quand ton coeur secret
A de la peine à parler
Avec un murmure
Que tu puisses un peu croire en moi
 Et quand tu es le dos au mur
Tu n'as qu'à te tourner pour voir
Je serai bien là
Puisses-tu un peu croire en moi
 Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
 Quand les chemins sombrent
Et que tu ne peux plus voir
Mon amour étincelle
Puisses-tu un peu croire en moi
 Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
Puisses-tu un peu croire en moi
 Mon amour pour toi dure depuis longtemps
Sans que je demande de cadeau
A part une chose : puisses-tu un peu croire en moi
Le temps, c'est, c'est un ami
Je te soutiendrai, je te soutiendrai
Ton amour me donne des forces
 Puisses-tu un peu croire en moi",en_XX,fr_XX
"[Intro]
Ahh!
Hangin' on
Here I go
 [Verse 1]
You see the two black birds flying
Flying high just to be together
When we face the music
It might help you to the other side of a great divide
Fly together
So I’ve asked the grand master why
Asked him why life feels so hard sometimes
You got the muse, the music, sweet soul music
To reignite your soul divine, to reignite your soul
 [Chorus]
Because life is more
More than a love song, it's more than a fantasy
More than a little bit
This life is more
More than a dream ya'll, it’s more than a fantasy
More than a little bit
So take your time, and realize, and fly
 [Verse 2]
I hear the two blues birds sing that song
Dee-dee-diddly, dee-dee-diddly, yeah, right
My respects to the grand master for the lines
Such a pretty thing, how the melody abides
 [Chorus]
But life is more
More than a love song, it's more than a fantasy
More than a little bit
This life is more
More than a dream ya'll, it's more than a fantasy
More than a little bit
This life is more
More than a love song, it's more than a fantasy
More than a little bit
And I'm through the door now (More than a dream ya'll)
See the sun shining (It's more than a fantasy)
More than a little bit
 [Bridge]
I’m through the door (Fly)
(High)
We know life is more (Fly)
(High)
More than pretty things (Fly)
(High)
Or singing melodies (Fly)
(High)
Oh life is more (Fly)
(High)
Way more (Fly)
Oh, yeah (High)
Way more (Fly high)
 [Verse 3]
Why, when the thunder sounds
And you see the lightning almost touch the ground
You hear a voice sometimes, my inner child sings
Fly together (Fly together)
But life feels so hard sometimes and you start to lose your mind
Just grab your sister’s hand
And fly together
Black Pumas, show em' how
The blue birds, fly together (Fly together)
 [Outro]
Let’s fly together baby (Fly together)
Fly together (Fly together)
Fly together (Fly together)
Help me sing a song and fly (Fly together)
Touch that sky (Fly together)
Fly together (Fly together)
Let's fly together (Fly together)
Fly together (Fly together) (x6)","[Intro]
Ahh !
Tenez bon
Je suis là
 [Couplet 1]
Tu vois les deux oiseaux noirs voler
Voler haut, juste pour être ensemble
Quand nous faisons face à la musique
Cela pourrait t'aider pour l'autre rive d'une grande division
Voler ensemble
Alors j'ai demandé au grand maître pourquoi
Demandé pour la vie paraît parfois si dure
Tu possèdes la musique, la musique, la douce musique soul
Pour raviver le divin de ton âme, pour raviver ton âme
 [Refrain]
Car la vie est plus
Plus qu'une chanson d'amour, c'est plus qu'un fantasme
Plus qu'un petit peu
La vie est plus
Plus qu'un rêve, les gars, c'est plus qu'un fantasme
Plus qu'un petit peu
Alors, prends ton temps, rends-toi compte, et vole
 [Couplet 2]
J'entends les deux oiseaux bleus chanter cette chanson
Di-di-diddly, di-di-diddly1, ouais, vraiment
Chapeau bas au grand maître pour ces vers
C'est si joli de voir comment cette mélodie persiste
 [Refrain]
Mais la vie est plus
Plus qu'une chanson d'amour, c'est plus qu'un fantasme
Plus qu'un petit peu
La vie est plus
Plus qu'un rêve, les gars, c'est plus qu'un fantasme
Plus qu'un petit peu
La vie est plus
Plus qu'une chanson d'amour, c'est plus qu'un fantasme
Plus qu'un petit peu
Et je suis sur le pas de la porte maintenant (Plus qu'un rêve, les gars)
Vois le soleil briller (C'est plus qu'un fantasme)
Plus qu'un petit peu
 [Bridge]
Je suis sur le pas de la porte (Vole)
(Haut)
Nous savons que la vie est plus (Vole)
(Haut)
Plus que des jolies choses (Vole)
(Haut)
Ou des mélodies qui chantent (Vole)
(Haut)
Oh, la vie est plus (Vole)
(Haut)
Bien plus (Vole)
Oh, ouais (Haut)
Bien plus (Vole haut)
 [Couplet 3]
Pourquoi, lorsque gronde le tonnerre
Et que tu vois la foudre presque toucher terre
Tu entends parfois une voix, l'enfant qui est en moi chante
Voler ensemble (Voler ensemble)
Mais la vie paraît parfois si dure que tu commences à perdre la tête
Attrape simplement la main de ta soeur
Et vole ensemble
Black Pumas, montrez-leur comment
Les oiseaux bleus volent ensemble (Volent ensemble)
 [Outro]
Volons ensemble, bébé (Volons ensemble)
Volons ensemble (Volons ensemble)
Volons ensemble (Volons ensemble)
Aide-moi à chanter une chanson et à voler (Voler ensemble)
Touche ce ciel (Volons ensemble)
Volons ensemble (Volons ensemble)
Allez, volons ensemble (Volons ensemble)
Volons ensemble (Volons ensemble) (x6)
  1.
jeu de mot partant d'une ritournelle fredonnée, et ""diddly"" signifiant ""que dalle"", évoquant ici (à mon avis) une forme de légèreté et d'insouciance",en_XX,fr_XX
"Be my baby
Be my girl
Have my baby
Have my girl
Running crazy
'round your 'burb
Yeah, yeah, yeah
 There's a bounty
On my neck
If they catch me
They get a check
Never give them
No respect
'Cuz all authorities have told me
 ""You're just a lost cause""
She said
""I know how people like you end up""
And if I die young
I was born
With a target on my head
With a target on my head
 Wrong time
Pulling on the right skirt
Dreaming 'bout some diamonds
Reflecting a black heart
Trigger finger rest on
Button that say restart
Hard to take control when
You're driving the motions
 Paranoia killing me
And that's without you walking on and off of me
We were laying on a blacktop
Felt just like a droptop
Looking at the stars, she
Told me to ""Go kick rocks""
 ""You're just a lost cause""
She said
""I know how people like you end up""
And if I die young
I was born
With a target on my head
With a target on my head","Sois mon bébé
Sois ma copine
J'ai mon bébé
J'ai ma copine
Je deviens fou
Je dirige tes banlieues
Ouais, ouais, ouais
 Il y a une prime
Sur mon cou
S'ils m'attrapent
Ils ont un chèque
Ne leur donnes
Jamais de respect
Car toute autorité m'a dit
 T'es juste une cause perdue
Elle disait
""Je sais comment les gens comme toi finissent""
Et si je meurs jeune
Je suis né
Avec une cible sur ma tête
Avec une cible sur la tête
 Mauvais moment
Pour mettre la bonne jupe
Rêver des diamants
Reflétant un coeur noir
Le doigt sur la gâchette se repose sur
Le bouton pour redémarrer
Difficile de garder le contrôle
Quand tu dirges les mouvements
 La paranoïa est en train de me tuer
Et ça sans que tu me marches dessus
On était allongé sur le bitume
Se sentant comme une décapotable
En regardant les étoiles elle
M'a dit de ""m'en aller ""
 ""T'es juste une cause perdue""
Elle disait
""Je sais comment les gens comme toi finissent""
Et si je meurs jeune
Je suis né
Avec une cible sur ma tête
Avec une cible sur ma tête",en_XX,fr_XX
"If I had my way girl
I'd never leave for a minute
But things don't always turn out
The way we want them to
So while I'm away
I want you to remember
How much I love you
I love you, I love you
 Let this love lift you up
Whne you're feelin' blue
Wherever I go, I will be loving you
Think of me when you see
Places we once shared
Whatever I do, someday I'll need you there
 Wherever I go, whatever I do
I'll always come home
I'll come home to you
Even though we both know
You're not in my arms
Wherever I go, you're always in my heart
 Just you ask, I'll come back
Though we're miles apart
Whatever I do, I'll come to where you are
Wherever I go, whatever I do
I'll always come home
I'll come home to you
Wherever I go, whatever I do
I'll always come home
I'll come home to you","Si j'avais mon mot à dire,
Je ne partirais jamais pour une minute
Mais les choses ne se passent pas toujours
De la façon dont nous le souhaitons.
Alors pendant que je suis loin,
Je veux que tu te souviennes
Combien je t'aime.
Je t'aime, je t'aime.
 Laisse cet amour t'élever.
Quand tu as le cafard,
Où que j'aille, je t'aimerai.
Pense à moi quand tu vois
Les endroits que nous avons partagés autrefois.
Quoi que je fasse, un jour j'aurai besoin de toi là-bas.
 Où que j'aille, quoi que je fasse,
Je reviendrai toujours à la maison.
Je reviendrai vers toi
Même si nous savons tous les deux
Que tu n'es pas dans mes bras,
Où que j'aille, tu es toujours dans mon cœur.
 Tu n'as qu'à demander et je reviendrai.
Même si nous sommes à des kilomètres l'un de l'autre,
Quoi que je fasse, je viendrai là où tu es.
Où que j'aille, quoi que je fasse,
Je reviendrai toujours à la maison.
Je reviendrai vers toi.
Où que j'aille, quoi que je fasse,
Je reviendrai toujours à la maison.
Je reviendrai à la maison.",en_XX,fr_XX
"On the road again
Just can't wait to get on the road again
The life I love is making music with my friends
 And I can't wait to get on the road again
On the road again
 Goin' places that I've never been
Seein' things that I may never see again
 And I can't wait to get on the road again
On the road again
Like a band of gypsies we go down the highway
We're the best of friends
Insisting that the world keep turning our way
 And our way
Is on the road again
Just can't wait to get on the road again
The life I love is makin' music with my friends
 And I can't wait to get on the road again
 On the road again
 Like a band of gypsies we go down the highway
We're the best of friends
Insisting that the world keep turning our way
And our way
Is on the road again
Just can't wait to get on the road again
The life I love is makin' music with my friends
 And I can't wait to get on the road again
And I can't wait to get on the road again","Repartir en voyage
J'ai envie de repartir en voyage
La vie que j'aime, c'est de faire de la musique avec mes amis
 J'ai hâte de repartir en voyage
Repartir en voyage
 Visiter les endroits où je n'ai jamais été
Voir des choses que je ne reverrai jamais
 J'ai hâte de repartir en voyage
Repartir en voyage
Comme un clan de gitans, nous glissons sur l'autoroute
Nous sommes les meilleurs amis
Ésperant que les choses se passent comme nous le souhaitons
 Notre plaisir reprend cette route
J'ai envie de repartir en voyage
La vie que j'aime, c'est de faire de la musique avec mes amis
 J'ai envie de repartir en voyage
 Repartir en voyage
 Comme un clan de gitans, nous glissons sur l'autoroute
Nous sommes les meilleurs amis
Ésperant que les choses se passent comme nous le souhaitons
Notre plaisir reprend cette route
J'ai envie de repartir en voyage
La vie que j'aime, c'est de faire de la musique avec mes amis
 J'ai envie de repartir en voyage
J'ai envie de repartir en voyage",en_XX,fr_XX
"When I think about what you've become
I feel sorry for your mum
You say we're all having fun,
Do you know you're the only one?
 And when the lights go down on this fucking town,
I know it's time to go.
And when the radio plays and the static stays,
Yeah, I know it's time to go.
 I get up
To go now
I give up
On you now
 I don't want you to want me
I need you to forget me
Yeah, I loved you, that was crazy
'Cause you just don't motivate me
 You said that you tried your best
Why's this such a fucking mess?
You're always so full of it
Yeah, why don't you just suck my dick?
 And when the lights go down on this fucking town
I know it's time to go
And when you're getting blazed, spooning mayonnaise
Yeah, I know it's time to go
 I get up
To go now
I give up
On you now
 I don't want you to want me
I need you to forget me
Yeah, I loved you, that was crazy
'Cause you just don't motivate me
 Okay, I've been practicing my longest and loudest scream
Okay, here we go
One, two, three...
 (And when you think about what you've become)
(Do you feel sorry for your mum?)
(Do you feel so dumb, dumb, dumb?)
 (When you think about what you've become)
(Do you feel sorry for your mum?)
(Do you feel so dumb, dumb, dumb?)","Quand je pense à ce que t'es devenu
Je suis désolée pour ta mère
Tu dis qu'on s'amuse tous ensemble,
Est-ce que tu sais que t'es bien le seul ?
 Et quand les lumières s'éteignent dans cette putain de ville,
Je sais que c'est l'heure de rentrer.
Et quand la radio passe et que ça grésille,
Ouais, je sais que c'est l'heure de rentrer.
 Je me lève
Pour rentrer maintenant
Je ne crois
Plus en toi maintenant
 Je ne veux pas que tu me veuilles
J'ai besoin que tu m'oublies
Ouais, je t'ai aimé, c'était insensé
Parce que tu ne me motives juste pas
 Tu as dit que tu essayais de faire de ton mieux
Pourquoi est-ce que c'est autant le bordel ?
Tu dis toujours n'importe quoi
Ouais, et si tu me suçais la bite plutôt ?
 Et quand les lumières s'éteignent dans cette putain de ville,
Je sais que c'est l'heure de rentrer.
Et quand t'es cramé, en train de faire la cuillère avec un pot de mayonnaise
Ouais, je sais que c'est l'heure de rentrer.
 Je me lève
Pour rentrer maintenant
Je ne crois
Plus en toi maintenant
 Je ne veux pas que tu me veuilles
J'ai besoin que tu m'oublies
Ouais, je t'ai aimé, c'était insensé
Parce que tu ne me motives juste pas
 Ok, je me suis entrainée pour sortir mon cri le plus long et le plus fort
Ok, on y va
Un, deux, trois...
 (Et quand tu penses à ce que tu es devenu)
(Est-ce que tu te sens désolé pour ta mère?)
(Est-ce que tu te sens bête, bête, bête?)
 (Quand tu penses à ce que tu es devenu)
(Est-ce que tu te sens désolé pour ta mère?)
(Est-ce que tu te sens bête, bête, bête?)",en_XX,fr_XX
"If I thought that you were cool
We would have hung out more in school
But now that we have all grown up
Well, all my friends have given up
 No, there's nothing left to say
I just get up and walk away
If it ain't broke, don't try to fix
Well, life's supposed to be this shit
 Now everything is going wrong
I think I changed my mind again
I'm not sure if this is a song
I don't even know what I'm saying
Everything is going wrong
I think I changed my mind again
I'm not sure if this is the kinda life
That I saw myself living
 I don't need no dating app
To tell me if I look like crap
To tell me if I'm thin or fat
To tell me should I shave my rat
 I don't need no radio
No MTV, no BBC
I just need a bubble bath
To set me on a higher path
 I'm gonna drive my car into the sea
I'm gonna drive downtown while looking pretty ordinary
Too late now, lost track somehow
I'm like, oh my god, this world is pretty harrowing
 Down we go while holding hands
If I fuck this up, I'm taking you down with me
Too late now, lost track somehow
Well if I fuck this up, I'm taking you down with me
 I'm gonna drive my car into the sea
I'm gonna drive downtown while looking pretty ordinary
Too late now, lost track somehow
I'm like, oh my god, this world is pretty harrowing
 Now everything is going wrong
I think I changed my mind again
I'm not sure if this is a song
I don't even know what I'm saying
Everything is going wrong
I think I changed my mind again
I just need a bubble bath
To set me on a higher path","Si j'avais imaginé que t'étais cool
On aurait plus trainé ensemble en cours
Mais maintenant qu'on a tous grandi
Eh bien, tous mes amis ont laissé tomber
 Non, il n'y a rien d'autre à dire
Je me lève juste et je pars
Si ce n'est pas cassé, n'essaye pas de réparer
Eh bien, la vie c'est censé être cette merde là
 Maintenant tout va de travers
Je crois que j'ai encore changé d'avis
Je ne suis pas sûre que ce soit une chanson
Je ne sais même pas ce que je dis
Tout va de travers
Je crois que j'ai encore changé d'avis
Je ne suis pas sûre que ce soit le type de vie
Que je m'imaginais vivre
 Je n'ai pas besoin d'applis de rencontre
Pour me dire que je ressemble à rien
Pour me dire que je suis mince ou grosse
Pour me dire que je dois raser ma tignasse
 Je n'ai pas besoin de radio
Pas de MTV, pas de BBC
J'ai juste besoin d'un bain de mousse
Pour me placer sur une meilleure voie
 Je vais enfoncer ma voiture dans la mer
Je vais conduire en ville en ayant l'air plutôt ordinaire
Trop tard maintenant, j'ai bizarrement perdu le fil
Je suis en mode, oh mon dieu, le monde est assez atroce
 Là bas on ira en se tenant les mains
Si je fous ça en l'air, je te fais tomber avec moi
Trop tard maintenant, j'ai bizarrement perdu le fil
Eh bien, si je fous ça en l'air, je te fais tomber avec moi
 Je vais enfoncer ma voiture dans la mer
Je vais conduire en ville en ayant l'air plutôt ordinaire
Trop tard maintenant, j'ai bizarrement perdu le fil
Je suis en mode, oh mon dieu, le monde est assez atroce
 Maintenant tout va de travers
Je crois que j'ai encore changé d'avis
Je ne suis pas sûre que ce soit une chanson
Je ne sais même pas ce que je dis
Tout va de travers
Je crois que j'ai encore changé d'avis
J'ai juste besoin d'un bain de mousse
Pour me placer sur une meilleure voie.",en_XX,fr_XX
