original_poem,translated_poem,src_lang,tgt_lang
"WHEN the long day goes by
And I do not see your face,
The old wild, restless sorrow
Steals from its hiding place.
 My day is barren and broken,
Bereft of light and song,
A sea beach bleak and windy
That moans the whole day long.
 To the empty beach at ebb tide,
Bare with its rocks and scars,
Come back like the sea with singing,
And light of a million stars.","Lorsque la longue journée
passe
sans que je voie ton visage
le vieux chagrin mordant, sauvage,
sort de sa vilaine toile.
 Ma journée est stérile et hachée,
Privée de lumière et chansons
telle une plage venteuse et lunaire
qui geint la journée entière.
 Vers la plage vide à marée basse,
dépouillée, avec ses escarres et rochers,
Reviens, telle la mer avec sa chanson
et la lumière d'un million d'étoiles.",en_XX,fr_XX
"I know you've got things to do (I do too)
I just wanna spend all my time
with you (Feel so good)
I'm so hard to impress,
don't leave me on the strech alone
When I'm out at a party,
I'm just excited to get home
And dream about you, all night long
 I don't know how you got
through to me (I'm so cold)
It's all happening so easily (Like oh my god)
It's so hard to digest,
usually I'm best alone
But every time that you text,
I want to get on the next flight home
And dream next to you, all night long
 Maybe it's the way
you remind me of (Where I come from)
Or how you made me feel
beautiful (AAnd thеn some)
This sidе of you is dramatic,
one glimpse and I panic inside
I gеt lost in our hours
'cause you possess powers that I can't fight
That's why I dream about you, all night long
 All night long
All night","Je sais que tu as des choses à faire (moi aussi)
Je veux juste passer tout mon temps avec toi
(je me sens si bien)
Je suis si dure à impressionner,
ne me laisse pas seule
Quand je suis à une soirée,
je suis impatiente de rentrer chez moi
Et de rêver de toi, toute la nuit
 Je ne sais pas comment tu as réussi
à me contacter (je suis si froide)
Tout arrive si facilement (genre, oh mon Dieu)
C'est si dur à digérer,
d'habitude je suis mieux seule
Mais à chaque texto que tu m'envoies,
je veux prendre le prochain vol qui me ramène chez moi
Et rêver à côté de toi, toute la nuit.
 Peut-être que c'est la façon
dont tu me rappelle (d'où je viens)
Ou combien, avec toi, je me sentais
belle (et cette chanson)
Ce côté de toi est dramatique, un aperçu et, à l'intérieur, je panqiue
Je me perds dans nos heures
parce que tu possèdes des pouvoirs que je ne peux pas combatte
C'est pourquoi, je rêve de toi, toute la nuit
 Toute la nuit
Toute la nuit",en_XX,fr_XX
"I have loved hours at sea, gray cities,
The fragile secret of a flower,
Music, the making of a poem
That gave me heaven for an hour;
 First stars above a snowy hill,
Voices of people kindly and wise,
And the great look of love, long hidden,
Found at last in meeting eyes.
 I have loved much and been loved deeply —
Oh when my spirit's fire burns low,
Leave me the darkness and the stillness,
I shall be tired and glad to go.","J'ai aimé les heures en mer, les villes grises,
le secret fragile d'une fleur,
la musique, la composition d'un poème
qui m'ont offert le paradis pour une heure.
 Premières étoiles au-dessus d'une colline enneigée,
Voix de gens amicaux et sages,
Et le grand regard de l'amour, longtemps caché,
Trouvé enfin dans des yeux qui vous comprennent.
 J' ai beaucoup aimé et été aimée profondément -
Oh, quand le feu de mon esprit ne sera plus que braises,
Laissez-moi l'obscurité et le silence.
Je serai lassée et heureuse de partir.",en_XX,fr_XX
"The Notice that is called the Spring
Is but a month from here —
Put up my Heart thy Hoary work
And take a Rosy Chair.
 Not any House the Flowers keep —
The Birds enamor Care —
Our salary the longest Day
Is nothing but a Bier.","L' Annonce que l'on nomme le Printemps
n'est qu'à un mois d'ici -
Cesse-là, mon Coeur, ton ouvrage trop gris
Et prends une chaise rose clair.
 Les fleurs n'ont aucun logis-
Les Oiseaux Vaquent à leurs amours -
Notre salaire lors du jour le plus long
n' est qu' une simple Bière.",en_XX,fr_XX
"Do you really want to hurt me
Do you really want to make me cry
 Precious kisses
Words that burn me
Lovers never ask you why
In my heart the fires burning
Choose my colour
Find a star
Precious people always tell me
Thats a step
A step too far
 Chorus:
Do you really want to hurt me
Do you really want to make me cry
Do you really want to hurt me
Do you really want to make me cry
 Words are few
I have spoken
I could waste a thousand years
Wrapped in sorrow words are token
Come inside and catch my tears
Youve been talking but believe me
If its true you do not know
This boy loves without a reason
Im prepared to let you go
If its love you want from me
Then take it away
Everything is not what you see
Its over today","Tu veux vraiment me faire du mal?
Tu veux vraiment me faire pleurer?
 Des baisers précieux,
Des mots qui me blessent,
Les amoureux ne te demandent jamais pourquoi
Dans mon cœur les feux brûlent.
Choisis ma couleur
Trouve une étoile.
Mes amis me disent toujours
Que c'est un pas
Un pas trop loin.
 Refrain :
Tu veux vraiment me faire du mal?
Tu veux vraiment me faire pleurer?
Tu veux vraiment me faire du mal?
Tu veux vraiment me faire pleurer?
 Avec peu de mots
J'ai parlé.
Je pourrais perdre un millier d'années
Enveloppé dans le chagrin, les mots sont symboliques.
Viens en moi et prends mes larmes
Tu as parlé, mais crois-moi
Si c'est vrai, tu ne sais pas
Ce garçon aime sans raison
Je suis prêt à te laisser partir
Si c'est l'amour que tu veux de moi
Alors prends-le
Je n'ai pas d'autre choix que de m'en remettre à toi
C'est fini (entre nous) aujourd'hui.",en_XX,fr_XX
"Doggone my soul, how I love them old songs
'Cause they were a comfort to me when I was alone
The dancin' stops but the music goes on
Doggone my soul, how I love them old songs
 Ah when I hear that double Eagle guitar
It makes me think how trouble free girl we are
There was a time I spent my nights in a bar
Playin' that old jukebox until the honky tonkie locks up
 Doggone my mind, it just won't leave me alone
Keeps on remindin' me I'm so far from home
Them heart breakin' achin' eggs and bacon country songs
Well they take me back to hardwood floors
Outdoor johns and mason jars
 It's all I can do to believe that it's gone
That hard knockin' rockin' rollin' life that I've known
Well, the dancin is over, and the music must go on
Dog gone my soul how I love them old songs
 Well, the dancin is over, and the music goes on
Doggone my soul, how I love them old songs","Nom d'un chien, comme je les aime, les vieilles chansons
Car elles étaient un réconfort pour moi quand j'étais seul
Le dancing s'arrête mais la musique continue
Nom d'un chien, comme je les aime, les vieilles chansons
 Ah, quand j'entends la double guitare Eagle
Cela me fait penser, jeune fille, à quel point nous sommes libérés des problèmes
Il fut un temps où je passais mes nuits dans un bar
Jouant sur ce vieux jukebox jusqu'à ce que le Honky Tonkie ferme
 Nom d'un chien, il ne va pas me laisser tranquille
Il continue à me rappeler que je suis très loin de chez moi
Ces chansons country aux ""eggs and bacon"" à briser le cœur
Et bien ça me ramène aux planchers de bois dur
Aux pissotières et aux bocaux de la marque Mason
 C'est tout ce que peux faire pour croire que c'est fini
Cette vie de hard rock'n roll que j'ai connue
Eh bien, le dancing est fermé et la musique doit continuer
Nom d'un chien, comme je les aime, les vieilles chansons
 Eh bien, le dancing est fermé et la musique continue
Nom d'un chien, comme je les aime, les vieilles chansons",en_XX,fr_XX
"[Chorus]
I wanna be loved
Everybody does
I find shame in the crack-like corpse un-cadaver reign
I wanna be loved
Everybody does
I find shame in a bag gripped tight like your withering fame
We made it
Shame
 [Verse 1]
Hot Zumba classes at the new church
I lost ten pounds for the wedding
I played happy 'til my teeth hurt
Sofa surfer extraordinaire
Lambert’s ash in my falling hair, yeh
 [Chorus]
I wanna be loved
Everybody does
I find shame cuts rips real nice as we change lanes
We made it
I wanna be loved
Everybody does
We made it
We made it
Shame
 [Verse 2]
Teletext has a place in my heart
Ten percent discount, I’ll show you how
Gregory’s birthday in a placid town, wow
Janine held the flag with white knuckles
I’m burning the Astra 'til the wheels buckle, yeh
 [Chorus]
I wanna be loved
Everybody does
Shame
Shame","Je veux être aimé
Tout le monde veut ca
Je trouve la honte dans un cadavre comme une fissure, dé-cadavre, règne
Je veux être aimé
Tout le monde veut ca
Je trouve la honte dans un sac serré dans la main comme ta renommée qui se flètre
Nous l'avons fait
Honte
 Des cours de Hot Zumba dans la nouvelle église
J'ai perdu dix livres pour le mariage
J'ai fait comme si j'étais heureux jusqu'à ce que mes dents ont fait mal
Surfer des sofas extraordinaire
Les cendres de Lambert dans mes cheveux qui tombent, yeh
 Je veux être aimé
Tout le monde veut ca
J'ai l'impression que la honte coupe quand on change la route
Nous l'avons fait
Je veux être aimé
Tout le monde veut ca
Nous l'avons fait
Nous l'avons fait
Honte
 Le télétexte a un endroit dans mon coeur
10 pour cent de rabais, je te montrerai comment
L'anniversaire de Grégory est dans une petite ville placide, wow
Janine a pris le drapeau avec ses jointures touts blanches
Je brûle l'Astra jusqu'à les roues bougent, yeh
 Je veux être aimé
Tout le monde veut ca
Honte
Honte",en_XX,fr_XX
"Julie and Russell sat one night.
Russell sparked up a Marlboro Light.
Julie’s eyes were all ablaze,
As Russell tried to shun her gaze.
He knew the look, he knew the score;
It seemed more manic than before.
Russell cringed in fear and dread
As Julie pulled him near and said:
 Let’s do it!
Let’s do it!
I’ve had a really good idea.
We’ll re-vamp, make more camp
A sci-fi show from yester-year.
I’ve had banter with Tranter.
Your written word will be hailed in the ming mong mantra.
Let’s do it!
Let’s do it tonight!
 But he said…
 I can’t do it!
I can’t do it!
You’re asking far too much of me.
I’m harassed, embarassed;
I’ve watched the show since I was three.
Don’t choose me, don’t use me,
My mother sent a note to say you must excuse me.
I can’t do it!
I can’t do it tonight!
 So she said…
 Let’s do it!
Let’s do it!
Make a brand new Doctor Who.
We’ve got Chris in, all’s missing
Is a sidekick and an all-Welsh crew.
It’s not silly to ask Billie.
We’ll film in every quarry from here to Caerphilly.
Let’s do it!
Let’s do it tonight!
 Ooh, then he said…
 I can’t do it!
I can’t do it!
The pressure of the BBC.
I must e-mail some young male
To alleviate the stress on me.
I can’t block out, please lock out,
Images of Johnny B getting his cock out.
I can’t do it!
I can’t do it tonight!
 She replied…
 Let’s do it!
Let’s do it!
Phil okayed my offer to produce.
We’ll get Trac to take flack
When he lets his raging temper loose.
My decision to use your vision
Will make the show the best thing on the television.
Let’s do it!
Let’s do it tonight!
 And he squawked…
 I can’t do it!
I can’t do it!
Chris is giving up his role.
No Time Lord? Oh good Lord,
How we’re gonna fill this role?
It’s too complex, we’re all wrecks.
My brain is overflowing with a bloody Dalek.
I can’t do it!
I can’t do it tonight!
 She excitedly said…
 Let’s do it!
Let’s do it!
We’ll get another Time Lord in.
Don’t sweat it, you can’t let it
Make you sad and maudlin.
It’s not over, and moreover,
We’ll get the lovely fellow in from Casanova.
Let’s do it!
Let’s do it tonight!
 And he yelled…
 I can’t do it!
I can’t do it!
I really think that I can’t cope.
More re-writes, no respite-
I think I’ve given up all hope.
It’ll get canned, it’ll be panned.
Lou says there’s no costumes in the whole of England.
I can’t do it!
I can’t do it tonight!
 Then she proclaimed…
 Let’s do it!
Let’s do it!
Martha Jones is Freema Agyeman.
We’ll bring back Captain Jack
To fight against the Cybermen.
We’ll cast a great Master,
He can plunge the planet into global disaster.
Let’s do it!
Let’s do it tonight!
 And he screamed…
 I can’t do it!
I can’t do it!
You’ve cast Australia’s pop princess?!
It’s madness, my sadness
Will make this episode a mess.
My panic is manic,
The uproar when I kill her off on the Titanic!
I can’t do it!
I can’t do it tonight!
 And she expelled…
 Let’s do it!
Let’s do it!
The Doctor needs a brand new mate.
Don’t linger, go ginger.
I’m gonna bring back Catherine Tate.
I wanna, you’re gonna,
Reunite the Doctor with the fabulous Donna.
Let’s do it!
Let’s do it tonight!
 He punctuated…
 I can’t do it!
I can’t do it!
I’ve got obsessed with E4’s Skins.
Writer’s block. Please don’t mock,
It takes my mind off other things.
It’s so lame,
I must blame dirty thoughts I’m having about Midshipman Frame.
I can’t do it!
I can’t do it tonight!
 Excitedly she said…
 Let’s do it!
Let’s do it!
To film abroad will get my vote.
I promise Ed Thomas can’t bring Ancient Rome to Upper Boat.
It’s D-Day in Pompeii;
The forums will be buzzing on Outpost Gallifrey.
Let’s do it!
Let’s do it tonight!
 And he roared…
 I can’t do it!
I can’t do it!
The studio in Rome’s ablaze.
On fire, it’s dire!
How the hell are you not phased?
It’s mental. Be gentle.
They say the cause of fire was a Berkley Menthol.
I can’t do it!
I can’t do it tonight!
 So she roared…
 Let’s do it!
Let’s do it!
We’ve got kids back behind settees.
Our mission, ambition,
Was a show for all the family.
We should try as our goodbye
A hassle-free excursion to sunny Dubai.
Let’s do it!
Let’s do it tonight!
 But he shouted…
 Oh, let’s do it!
Let’s do it!
I feel like I’ve been set free.
I won’t sweat it, now Moffat
Is taking up the reins from me.
I can’t wait, it’s just great,
I’ve got a cracking way for David to regenerate.
Let’s do it!
Let’s do it tonight!
 Guess what?
 They did it!
They did it!
They opened up the TARDIS door.
They’re terrific, prolific.
Made it better than it was before!
A ‘thank you’ from your crew.
We crown you both the King and Queen of Doctor Who.
You did it!
You did it tonight!","Julie et Russell étaient assis un soir (1)
Russell alluma un Marlboro Light
Les yeux de Julie brillaient
Alors que Russell essayait de fuir son regard
Il connaissait ce regard, il connaissait la chanson
Qui semblait plus folle que jamais
Russell grimaça de peur et d'effroi
Lorsque Julie se rapprocha de lui et dit :
 Allons-y !
Allons-y !
Je viens d'avoir une très bonne idée
Nous allons tout réorganiser, faire plus de réunions
Pour faire revivre une série de science-fiction d'antan
J'ai parlé à Tranter (2)
Tes écrits seront salués par les fans
Allons-y !
Jettons-nous à l'eau ce soir !
 Mais il dit...
 Je ne peux pas !
Je ne peux pas !
Tu m'en demandes bien trop
Je suis harcelé, embarrassé
Je regarde la série depuis que j'ai trois ans
Ne me choisis pas, ne m'embarque pas là-dedans,
Ma mère a écrit un mot d'excuse
Je ne peux pas
Je ne peux pas le faire ce soir !
 Alors elle dit...
 Allons-y !
Allons-y !
Faisons renaître Doctor Who
Chris (3) est d'accord, tout ce qui manque
C'est un·e acolyte et une équipe entièrement galloise (4)
Ce n'est pas une mauvaise idée de proposer à Billie (5)
On filmera dans tous les coins, d'ici à Caerphilly (6)
Allons-y !
Jettons-nous à l'eau ce soir !
 Ouh, puis il dit...
 Je ne peux pas !
Je ne peux pas !
La pression de la BBC
Je dois envoyer un mail à quelque jeune homme
Pour me décharger d'un peu de stress (7)
Je n'arrive pas à m'en défaire, par pitié enlevez
Toute image de Johnny B. (8) qui exhibe sa qu*ue
Je ne peux pas
Je ne peux le faire ce soir !
 Elle répliqua...
 Allons-y !
Allons-y !
Phil (9) a accepté ma demande d'être producteur
Nous aurons Trac (10) pour le calmer
Chaque fois qu'il perd son sang-froid
Ma décision de faire appel à ton esprit créatif
Fera de la série le meilleur programme de télévision
Allons-y !
Jettons-nous à l'eau ce soir !
 Puis il cria...
 Je ne peux pas !
Je ne peux pas !
Chris (3) démissionne de son rôle
Pas de Seigneur du Temps ? Oh Seigneur,
Comment allons-nous combler ce vide ?
C'est trop compliqué, nous sommes tous voués à l'échec
Mon cerveau déborde de maudits Daleks
Je ne peux pas !
Je ne peux pas le faire ce soir !
 Elle dit, excitée...
 Allons-y !
Allons-y !
Nous embaucherons un autre Seigneur du Temps
Ne t'inquiète pas, ne laisse pas cela
Te rendre triste et maussade
Ce n'est pas fini, et en outre,
Nous prendrons ce charmant camarade qui a joué dans Casanova (11)
Allons-y !
Jettons-nous à l'eau ce soir !
 Puis il hurla...
 Je ne peux pas !
Je ne peux pas !
Je pense vraiment que je n'y arriverai pas
Encore plus de réécritures, aucun répit -
Je crois que j'ai abandonné tout espoir
Ca finira dans un carton, ça finira à la poubelle
Lou (12) dit qu'il n'y a pas de costumes dans toute l'Angleterre
Je ne peux pas !
Je ne peux pas le faire ce soir !
 Puis elle déclara...
 Allons-y !
Allons-y !
Martha Jones est jouée par Freema Agyeman
Nous ferons revenir Capitaine Jack
Pour combattre les Cybermen
Nous embaucherons un formidable Maître
Qui plongera la planète dans une catastrophe générale
Allons-y !
Jettons-nous à l'eau ce soir !
 Puis il hurla...
 Je ne peux pas !
Je ne peux pas !
Tu as pris la princesse de la pop australienne ?! (13)
C'est de la folie, ma tristesse
Va gâcher cet épisode
Mon état de panique est incontrôlable-
Le tollé quand je l'ai tuée dans le Titanic !
Je ne peux pas !
Je ne peux pas le faire ce soir !
 Et elle s'exclama...
 Allons-y !
Allons-y !
Le Docteur a besoin d'une nouvelle amie
Ne t'attarde pas, teins-toi en roux
Je vais ramener Catherine Tate
Je veux, et tu vas
Réunir le Docteur avec la fabuleuse Donna (14)
Allons-y !
Jettons-nous à l'eau ce soir !
 Il répliqua...
 Je ne peux pas !
Je ne peux pas !
Je suis devenu dingue de ""Skins"" sur la chaîne E4 (15)
Syndrome de la page blanche, pitié ne te moque pas
Ca détourne mon attention
C'est si honteux,
Je dois me débarrasser des pensées coquines que j'ai à propos de l'aspirant Frame (16)
Je ne peux pas !
Je ne peux pas le faire ce soir !
 Elle s'écria fiévreusement...
 Allons-y !
Allons-y !
Je suis pour tourner à l'étranger
Je te promets qu'Ed Thomas (17) ne peut pas transformer Upper Boat (18) en Rome antique
C'est le Jour J à Pompéi
Ca fera le buzz sur les forums d'Outpost Gallifrey (19)
Allons-y !
Jettons-nous à l'eau ce soir !
 Et il rugit...
 Je ne peux pas !
Je ne peux pas !
Le studio à Rome est en train de brûler (20)
Pris dans les flammes, c'est un désastre !
Comment diable peux-tu rester sereine ?
C'est n'importe quoi, sois sympa
Ils disent que l'origine du feu était une Berkley au menthol (21)
Je ne peux pas
Je ne peux pas le faire ce soir !
 Alors elle s'indigna...
 Allons-y !
Allons-y !
Les enfants attendent sur leur canapé
Notre mission, ambition
Etait de créer une émission pour toute la famille
Nous devrions tenter, pour faire nos adieux,
Une excursion détendue sous le soleil de Dubaï (22)
Allons-y !
Jettons-nous à l'eau ce soir !
 Soudain il s'exclama...
 Oh, allons-y !
Allons-y !
Je me sens comme libéré
Je suis tranquille, maintenant Moffat
Reprend les rênes (23)
J'ai hâte, c'est tout simplement génial,
J'ai trouvé une régénération de génie pour David (24)
Allons-y !
Jettons-nous à l'eau ce soir !
 Devinez quoi ?
 Ils l'ont fait !
Ils l'ont fait !
Ils ont poussé les portes du TARDIS
Ils sont brillants, prolifiques
C'est encore mieux qu'avant !
Votre équipe vous remercie
Nous vous couronnons Roi et Reine de Doctor Who
Vous l'avez fait !
Vous l'avez fait ce soir !",en_XX,fr_XX
"Imagine there's no heaven
It's easy if you try
No hell below us
Above us only sky
Imagine all the people living for today
 Imagine there's no countries
It isn't hard to do
Nothing to kill or die for
And no religion too
Imagine all the people living life in peace, you
 You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will be as one
 Imagine no possessions
I wonder if you can
No need for greed or hunger
Our brotherhood of man
Imagine all the people sharing all the world, you
 You may say I'm a dreamer
But I'm not the only one
I hope some day you'll join us
And the world will live as one","Imagine pas de paradis
C'est facile si tu veux
Pas d'Enfer ici-bas
Tout là-haut le ciel bleu
Imagine tous ces gens vivant chaque journée
 Imagine pas de pays
Ça n'est pas dur à faire
Rien pour quoi tuer ou mourir
Et pas de religion sur terre
Imagine tous ces gens vivant dans la paix
 Tu peux me traiter de rêveur
Mais je ne suis pas le seul
J'espère qu'un jour tu te rallieras
Et le monde vivra pour lui seul
 Imagine pas de propriété
Je me demande si tu saurais
Ni cupidité ni famine
Une solide fraternité
Imagine tous ces gens partageant le monde
 Tu peux me traiter de rêveur
Mais je ne suis pas le seul
J'espère qu'un jour tu te rallieras
Et le monde tournera tout seul",en_XX,fr_XX
"She moved through the fair with a smile in her eyes
So pure and graceful and free
And caught the attention of one who was there
A candlestick-maker, he
Handsome and young, a craftsman fine
Smitten by her that day
And so then he wrote down a poem for her
That would say
 ""Take me in your hands tonight
Come through the parlour by candlelight
With thee I will wait this night
Chase away shadows and stay till the morning
is nigh""
 But the journey of love is a rocky road
And comes with many a spill
He wooed and pursued her for more than a year
And then she said, ""I will""
He made her a gift of a candlestick
On their wedding day
And written in silver around in the words
That did say
 ""Take me in your hands tonight
Come through the parlour by candlelight
With thee I will wait this night
Chase away shadows and stay till the morning
is nigh""
 That candlestick was so much loved and admired
But hundreds of years would go by
'Twas there in an old curiosity shop
I found it, forgotten by time
Blackened with age, but soon to shine
Beauty from long ago
And I often consider all those
Who have held it before
 ""Take me in your hands tonight
Come through the parlour by candlelight
With thee I will wait this night
Chase away shadows and stay till the morning
is nigh""
 ""Take me in your hands tonight
Come through the parlour by candlelight
With thee I will wait this night
Chase away shadows and stay till the morning is nigh
Chase away shadows and stay till the morning
is nigh""","Elle se déplaçait dans la foire avec un sourire dans les yeux
Si pure, si gracieuse et si libre
Et attira l'attention de l'un des participants
Un fabricant de chandeliers, lui
Beau et jeune, un artisan de qualité
Ce jour-là, il s'est épris d'elle
Et il écrivit un poème pour elle
Qui disait
 « Prends-moi dans tes mains ce soir
Viens dans le salon à la lueur des bougies
Avec toi j'attendrai cette nuit et je chasserai
Les ombres et je resterai jusqu'au matin ».
 Mais le voyage de l'amour est un chemin rocailleux
Et s'accompagne de bien des déboires
Il l'a courtisée et poursuivie pendant plus d'un an
Et puis elle a dit : « Je consens ».
Il lui a fait cadeau d'un chandelier
Le jour de leur mariage
Et a écrit en argent tout autour des mots
Qui disaient
 « Prends-moi dans tes mains ce soir
Viens dans le salon à la lumière des bougies
Avec toi j'attendrai cette nuit et je chasserai
Les ombres et je resterai jusqu'au matin ».
 Ce chandelier était très apprécié et admiré.
Mais des centaines d'années ont passé...
Il était là, dans un vieux magasin de curiosités
Je l'ai trouvé, oublié par le temps,
Noirci par l'âge, mais bientôt il brillera
De la beauté d'antan
Et je pense souvent à tous ceux
Qui l'ont tenu avant moi.
 « Prends-moi dans tes mains ce soir
Viens dans le salon à la lumière des bougies
Avec toi j'attendrai cette nuit et je chasserai
Les ombres et je resterai jusqu'au matin ».
 « Prends-moi dans tes mains ce soir
Viens dans le salon à la lumière des bougies
Avec toi j'attendrai cette nuit et je chasserai
Les ombres et je resterai jusqu'au matin ».
Je chasserai les ombres et resterai jusqu'au matin ».",en_XX,fr_XX
