original_poem,translated_poem,src_lang,tgt_lang
"Met Jesus up on a hill
He confessed I was dressed to kill
Saw fear eternal in his eyes
He's seen what happens when the soul dies
 I'm the king of kings
Wearing broken wings
I've lost my crown
The world so far below
And all I really know
Is that you don't look down
 Came alive in the dead of night
Sought salvation in the city lights
One more drink then one drink more
Every hour like the one before
 I'm the king of kings
Wearing broken wings
I've lost my crown
The world so far below
And all I really know
Is that you don't look down
 Don't look down
It's such a long way to fall
 Came alive in the dead of night
Sought salvation in the city lights
One more drink then one drink more
Every hour like the one before
 You're like me, and I'm like you
Can't see the point in a point of view
All time lows we're hitting the high
Two wrongs tryin' to make it alright
 I'm the king of kings
Wearing broken wings
I've lost my crown
The world so far below
And all I really know
Is that you don't look down","Encontrei Jesus em uma colina
Ele confessou que eu estava vestido para matar
Vi o medo eterno em seus olhos
Ele viu o que acontece quando a alma morre
 Eu sou o rei dos reis
Com asas quebradas
Perdi minha coroa
O mundo tão distante lá abaixo
E tudo que eu realmente sei
É que você não deve olhar para baixo
 Veio vivo na calada da noite
Procurou salvação nas luzes da cidade
Mais uma bebida e depois uma bebida a mais
Cada hora como a anterior
 Eu sou o rei dos reis
Com asas quebradas
Eu perdi minha coroa
O mundo tão distante lá abaixo
E tudo que eu realmente sei
É que você não deve olhar para baixo
 Não olhe para baixo
É uma queda bem longa
 Veio vivo na calada da noite
Procurou salvação nas luzes da cidade
Mais uma bebida e depois uma bebida a mais
Cada hora igual a anterior
 Você é como eu e eu sou como você
A utilidade de um ponto de vista não conseguimos ver
No pior momento de todos estamos atingindo o pico
¹Dois errados tentando justificar o acontecido
 Eu sou o rei dos reis
Com asas quebradas
Eu perdi minha coroa
O mundo tão distante lá abaixo
E tudo que eu realmente sei
É que você não deve olhar para baixo.",en_XX,pt_XX
"Dead state I can feel the weight
Light streaming in through the open grate
Two thread score tearing up the floor
Out in the alley with the trigger draw
 Numb hands I can see the strand
Hold it together with a severed band
Three lost years I've been crying here
I'm over, I'm over, I'm over, I'm broken
 Strung out on the wings of the dawn
Hole in the back, soul in the storm
Torn down through the cracks in the dark
We're miles adrift, we're inches apart
 I'm hit I can feel the grit
Sat in the asher on the beaten brick
Two thread main running through the vein
Out in the centre with a mirrored cane
 Numb feet I can hear you speak
Hold it together with a severed streak
Three long years I've been crying here
I'm over, I'm over, I'm over, I'm broken
 Strung out on the wings of the dawn
Hole in the back, soul in the storm
Torn down through the cracks in the dark
We're miles adrift, we're inches apart
 Stood up on the side of the earth
Thrown back to the track to the dirt
Two thread, lose an hour a day
We're miles adrift, we're inches away...
 Strung out on the wings of the dawn
Hole in the back, soul in the storm
Torn down through the cracks in the dark
We're miles adrift, we're inches apart
 Stood up on the side of the earth
Thrown back to the track to the dirt
Two thread, lose an hour a day
We're miles adrift, we're inches away...
 We're miles adrift, we're inches away
We're miles adrift, we're inches away
We're miles adrift, we're inches away
We're miles adrift, we're inches away
 Hold it together, with a severed band
Can't feel the blood","Estado de óbito, posso sentir o peso
A luz passando pela grade aberta
Dois fios rasgando o chão
No beco com o gatilho engatado
 Com as mãos entorpecidas eu vejo o cordão
Seguro tudo com uma atadura rompida
Tenho chorado aqui por três anos desperdiçados
Estou acabado, estou acabado, estou acabado, estou quebrado
 Pendurado nas asas do amanhecer
Com um buraco nas costas, a alma na tempestade
Rasgado pelas rachaduras no escuro
Estamos quilômetros à deriva, estamos a centímetros de distância
 Fui atingido, posso sentir a areia
Sentei-me nas cinzas no tijolo batido
Dois fios de tubo bombeando minha veia
No centro com uma bengala espelhada
 Com os pés entorpecidos, eu ouço você falar
Seguro tudo com uma faixa rompida
Tenho chorado aqui por três anos desperdiçados
Estou acabado, estou acabado, estou acabado, estou quebrado
 Pendurado nas asas do amanhecer
Com um buraco nas costas, a alma na tempestade
Rasgado pelas rachaduras no escuro
Estamos quilômetros à deriva, estamos a centímetros de distância
 Ergui-me do lado da terra
Fui jogado de volta à pista na lama
Dois fios, perco uma hora por dia
Estamos quilômetros à deriva, estamos a centímetros de distância
 Pendurado nas asas do amanhecer
Com um buraco nas costas, a alma na tempestade
Rasgado pelas rachaduras no escuro
Estamos quilômetros à deriva, estamos a centímetros de distância
 Ergui-me do lado da terra
Fui jogado de volta à pista na lama
Dois fios, perco uma hora por dia
Estamos quilômetros à deriva, estamos a centímetros de distância
 Estamos quilômetros à deriva, estamos a centímetros de distância (x4)
 Seguro tudo com uma atadura rompida
Não consigo sentir o sangue",en_XX,pt_XX
"Everywhere is freaks and hairies
Dykes and fairies, tell me where is sanity
Tax the rich, feed the poor
'Til there are no rich no more
 I'd love to change the world
But I don't know what to do
So I'll leave it up to you
 Population keeps on breeding
Nation bleeding, still more feeding economy
Life is funny, skies are sunny
Bees make honey,
Who needs money,
Monopoly
 I'd love to change the world
But I don't know what to do
So I'll leave it up to you
 Oh yeah!
 World pollution, there's no solution
Institution, electrocution
Just black and white, rich or poor
Them and us stop the war
 I'd love to change the world
But I don't know what to do
So I'll leave it up to you","Esquisitões e cabeludos em todo lugar
Sapatões e afeminados, diga-me onde está a sanidade
Taxe os ricos, alimente os pobres
Até que já não haja mais ricos
 Eu adoraria mudar o mundo
Mas eu não sei o que fazer
Então eu vou deixar isso para você
 A população continua se reproduzindo
A nação sangrando, alimentando ainda mais a indústria de alimentos
Os fatos da vida são engraçados, os céus são ensolarados
Abelhas fazem mel
Quem precisa de dinheiro?
Monopólio
 Eu adoraria mudar o mundo
Mas eu não sei o que fazer
Então eu vou deixar isso para você
 Oh, yeah!
 No mundo todo poluição, não há solução
Instituição, eletrocussão
Apenas pretos e brancos, ricos ou pobres
Eles e nós - Parem a guerra
 Eu adoraria mudar o mundo
Mas eu não sei o que fazer
Então eu vou deixar isso para você",en_XX,pt_XX
"I'm a LO$ER I'm a LO$ER
 회색빛 차를 타고
달아나고 있어
빌어먹을 세상 너머
 네 손을 잡은 내 손
상처뿐이지만
It doesn't matter when I'm with you
 이길 수 없던 fighting, bleeding, losing 이젠 지쳤어
가질 수 없다면 I f**kin' keep it low
Crying, crying, crying 이젠 집어쳐
Love you love you love you
No matter what I do
 I say “Run”
미친 듯 크게 웃어줘
눈물은 이제 good bye, time to say
 “Run”
절대 뒤돌아보지 마
두 손엔 hunnit bands
I'm a LO$ER
 I'm a LO$ER I'm a LO$ER
Lover with a $ dollar sign
Is a LO$ER
 I'm a LO♡ER I'm a LO♡ER
Lover with a $ dollar sign
Is a LO$ER
 전쟁 같은 life
지기만 했었던 나
넌 내 구원이었어
No doubt no doubt no doubt
 벼랑 끝에서
너의 빛이 나를 이끌어
Making me a winner
So right so right so right
 밑바닥에서 crawling, fighting, bleeding 이젠 지쳤어
거절하겠다면 I f**kin' take it all
Crying, crying, crying 이젠 집어쳐
Love you love you love you
No matter what I do
 I say “Run”
미친 듯 크게 웃어줘
눈물은 이제 good bye, time to say
 “Run”
절대 뒤돌아보지 마
두 손엔 hunnit bands
I'm a LO$ER
 I'm a LO$ER I'm a LO$ER
Lover with a $ dollar sign
Is a LO$ER
 I'm a LO♡ER I'm a LO♡ER
Lover with a $ dollar sign
Is a LO$ER
 뛰어내려 from this highway
펼친 채 부러진 날개
영원을 향해 flyin'
안간힘 써봐도 추락해
 너와 함께라면
추락도 아름다워
하늘의 반대편으로
기꺼이 나 가라앉아
 그저 서로를 안아줬으면 해
내 어설픈 비행 끝날 때쯤엔
모두가 날 비웃어도 I don't care
가라앉고 싶어 너의 바다에
 I say “Run”
미친 듯 크게 웃어줘
눈물은 이제 good bye, time to say
 “Run”
절대 뒤돌아보지 마
두 손엔 hunnit bands
I'm a LO$ER
 I'm a LO$ER I'm a LO$ER
Lover with a $ dollar sign
Is a LO$ER
 I'm a LO♡ER I'm a LO♡ER
Lover with a $ dollar sign
Is a LO$ER","Eu sou um perdedor, eu sou um perdedor
 Em um carro cinza,
estou fugindo
Para além desse mundo de merda
 Minha mão está segurando a sua,
cheia de cicatrizes, mas
isso não importa quando estou com você
 Eu não poderia vencer, lutando, sangrando, perdendo, agora estou farto disso
Seu eu não posso ter, mantenho essa merda escondida
Chorando, chorando, chorando, tire isso daqui
Te amo, te amo, te amo
Não importa o que eu faça
 Eu digo: ""corra""
Ria alto como se estivesse louco
Diga adeus ás lágrimas, é hora de dizer
 ""Corra""
Nunca olhe para trás
Cem mil dólares em minhas mãos
Eu sou um perdedor
 Eu sou um perdedor, eu sou um perdedor
Apaixonado (lover) escrito com $
é um perdedor (loser)
 Eu sou um apaixonado, eu sou um apaixonado
Apaixonado (lover) escrito com $
é um perdedor (loser)
 Essa vida é com uma guerra
Eu continuo sendo o perdedor
Mas você foi minha salvadora
Sem dúvida, sem dúvida, sem dúvida
 Na beira do penhasco
Sua luz me conduziu
Me tornando um vencedor
Tão certo, tão certo, tão certo
 No fundo do poço rastejando, lutando, sangrando, agora estou farto disso
Se vai me rejeitar, tomarei essa merda toda
Chorando, chorando, chorando, tire isso daqui
Te amo, te amo, te amo
Não importa o que eu faça
 Eu digo: ""corra""
Ria alto como se estivesse louco
Diga adeus ás lágrimas, é hora de dizer
 ""Corra""
Nunca olhe para trás
Cem mil dólares em minhas mãos
Eu sou um perdedor
 Eu sou um perdedor, eu sou um perdedor
Apaixonado (lover) escrito com $
é um perdedor (loser)
 Eu sou um apaixonado, eu sou um apaixonado
Apaixonado (lover) escrito com $
é um perdedor (loser)
 Pulo desta rodovia
Asas abertas e quebradas
Voando em direção à eternidade
Mas não consigo evitar minha queda
 Se eu estiver com você
Até uma queda é linda
Eu afundo de bom grado
Para o outro lado do paraíso
 Eu só quero que nos abracemos
No momento em meu voo desajeito estiver acabando
Eu não me importo se todos rirem
Eu quero afundar em seu oceano
 Eu digo: ""corra""
Ria alto como se estivesse louco
Diga adeus ás lágrimas, é hora de dizer
 ""Corra""
Nunca olhe para trás
Cem mil dólares em minhas mãos
Eu sou um perdedor
 Eu sou um perdedor, eu sou um perdedor
Apaixonado (lover) escrito com $
é um perdedor (loser)
 Eu sou um apaixonado, eu sou um apaixonado
Apaixonado (lover) escrito com $
é um perdedor (loser)",en_XX,pt_XX
"The neon lights are shining on me again
I walk the lonely streets in search of a friend
I need a lady to help me to get through the night, through the night
If I could find her then everything would be alright
 The sleepy city is dreaming the night time away
Out on the street I watch tomorrow becoming today
I see a man, he's got take away women for sale, yes for sale
Guess that's the answer, cause take away women don't fail
 Oh dirty women, they don't mess around
Oh dirty women, they don't mess around
You've got me coming, You've got me going around
Oh dirty women, they don't mess around
 Walking the streets I wonder will it ever happen
Gotta be good cause then everything will be OK
If I could score tonight then I will end up happy
 A woman for sale is gonna help me save my day","As luzes de néon estão brilhando em mim novamente
Ando pelas ruas solitárias em busca duma amiga
Preciso de uma moça que me ajude a passar a noite, ao longo da noite
Se eu pudesse achá-la, tudo ficaria perfeito.
 A cidade adormecida está sonhando madrugada afora
Na rua, vejo o amanhã se tornar hoje
Estou vendo um homem, ele tem levado mulheres à venda, sim à venda
Acho que essa é a resposta, porque levar mulheres não falta.
 Oh mulheres indecentes, elas não brincam
Oh mulheres indecentes, elas não brincam
Você me fez vir, você me fez dar a volta
Oh mulheres indecentes, elas não brincam
 Andando pelas ruas eu me pergunto se isso alguma vez acontecerá
Tem que ser bom porque então tudo estará bem
Se eu pudesse marcar hoje à noite, então eu acabaria feliz
 Uma mulher à venda irá me ajudar a ganhar o meu dia",en_XX,pt_XX
"So many things I think about
When I look far away
Things I know, things I wonder
Things I’d like to say
The more we think we know about
The greater the unknown
We suspend our disbelief
And we are not alone…
 Mystic rhythms
Capture my thoughts
Carry them away
Mysteries of night escape the light of day
Mystic rhythms
Under northern lights
Or the African sun
Primitive things stir
The hearts of everyone
 We sometimes catch a window
A glimpse of what’s beyond
Was it just imagination
Stringing us along?
More things than are dreamed about
Unseen and unexplained
We suspend our disbelief
And we are entertained
 Mystic rhythms
Capture my thoughts
Carry them away
Nature seems to spin
A supernatural way
Mystic rhythms
Under city lights
Or a canopy of stars
We feel the powers and wonder what they are
 Mystic rhythms
Capture my thoughts
Carry them away
Nature seems to spin
A supernatural way
Mystic rhythms
Under city lights
Or a canopy of stars
We feel the push and pull of restless rhythms from afar","Tantas coisas sobre as quais eu penso
Quando olho para bem longe
Coisas que sei, coisas que me pergunto sobre
Coisas que eu gostaria de dizer
Quanto mais achamos que sabemos
Maior o desconhecido
Suspendemos nossa descrença
E não estamos sós...
 Ritmos místicos
Capturam meus pensamentos
Leva-os para bem longe
Os mistérios da noite escapam da luz do dia
Ritmos místicos
Sob a aurora boreal
Ou o sol africano
Coisas primitivas mexem
Com o coração de todos
 Às vezes apanhamos uma janela
Um vislumbre do que está além
Foi só a imaginação
Levando-nos consigo?
Mais coisas do que se é sonhado
Não vistas e inexplicáveis
Suspendemos nossa descrença
E somos entretidos
 Ritmos místicos
Capturam meus pensamentos
Leva-os para bem longe
A natureza parece tecer
Um caminho sobrenatural
Ritmos místicos
Sob luzes da cidade
Ou um pavilhão de estrelas
Sentimos os poderes e nos perguntamos o que são
 Ritmos místicos
Capturam meus pensamentos
Leva-os para bem longe
A natureza parece tecer
Um caminho sobrenatural
Ritmos místicos
Sob luzes da cidade
Ou um pavilhão de estrelas
Sentimos o vai e vem de distantes ritmos incansáveis",en_XX,pt_XX
"はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜はまだこんなもんじゃないさ
はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜はまだこんなもんじゃないさ
 終電間際のガーデンプレイス
別れを惜しんだ lonely night circus
取れたボタンを探すふりをした
まだ帰りたくない
帰りたくないみたい
夜とお喋りをしながら描いた線が
都会によく似合っていたんだ
簡単にさよならするもんじゃないな
意味なんて必要ない
いつも後付けさ
 はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜はまだこんなもんじゃないさ
はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜はまだこんなもんじゃないさ
 帰り道
並木橋交差点で
夜空を目に焼き付けた
使い古した幸せがまだこんなに綺麗だなんて
知らなかった
もっと先があってそれが光なら
僕は今を大切に生きるだろう
Isn't it？
Isn't it？
Isn't it？
 はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜はまだこんなもんじゃないさ
はしゃぎすぎた街の中で僕は1人遠回りした
寂しい夜にまた助けられるんだ
 どんな望みも東京の夜が
飲み込んではいつか吐き出してくれる
その時僕が光にいたら
どんなにいいだろう
都会のサーカス小屋に迷いこんだ僕の歌
タクシーを止めるまで口ずさんだ","Eu viajei para uma cidade, que por sinal, era muito divertida
Porém eu ainda me sentia solitário nesta noite
Eu viajei para uma cidade, que por sinal, era muito divertida
Porém eu ainda me sentia solitário nesta noite
 Estamos chegando perto do lugar do jardim
Mas não queremos nos despedir daquela noite do circo solitário
Fingi que procurava algo somente para ficar lá
Porque eu não quero ir para casa
Eu ainda não queria ir para casa
Os desenhos que fiz enquanto falava da noite
Parece tão mais vivas na cidade
Agora eu não consigo mais me despedir
Mesmo que meus desenhos não signifiquem nada
Eu vou ter que me acostumar
 Eu viajei para uma cidade, que por sinal, era muito divertida
Porém eu ainda me sentia solitário nesta noite
Eu viajei para uma cidade, que por sinal, era muito divertida
Porém eu ainda me sentia solitário nesta noite
 No caminho de casa
Passamos por Namikibashi
Eu observei aquele céu noturno
Comecei a despertar felicidade pois não sabia o quão lindo era
Mas eu não sabia disso
Caso eu consiga ver mais luzes a frente
Tenho que valorizar mais a minha vida
Não é mesmo?
Não é mesmo?
Não é mesmo?
 Eu viajei para uma cidade, que por sinal, era muito divertida
Porém eu ainda me sentia solitário nesta noite
Eu viajei para uma cidade, que por sinal, era muito divertida
E eu quero te reencontrar na noite dessa cidade
 Eu tenho esperanças na noite de Tóquio
Algum dia ela vai engolir e cuspir de volta para você
Se eu estivesse naquela luz
Tudo seria tão melhor
Minha música se perdeu em um circo da cidade
Mas vou continuar cantando até o táxi chegar",en_XX,pt_XX
"We were like brothers.
Everybody said we looked the same.
You a little taller, and broader, and bolder.
We were afraid of your mother.
Hell, she used to hit you so hard.
And your dad took off when you were a baby,
and you still hate me for my dad stuck around.
You pinned me to the ground.
Eight years old with a replica gun pushing in my skull
saying you're gonna kill me if I tell.
Never did, I never will.
That house was living hell.
Come on!
 I remember my mother when she found a new man.
And your mother thought she found a partner,
a father for you - no wonder you can't stand me.
I can't stand me too.
I can't stand me too.
 Oh, your godmother repaired the anger in me.
Spoke to me like I was an adult,
didn't take sides and didn't turn me against my dad.
Then she took those pills and now she's gone.
 See her in the night
in the corner of my eye!
And I see her in the night.
 Heard you glassed a boy back in The Borders1!
Some naughty family's boys are after you.
You pinned me to the wall and said my mother
stole your inheritance from you, oh yeah?
 We ain't got a penny between wuh2
holding up this tin that we live in.
You pinned me to the wall and smashed a bottle.
Your eyes the door to hell and all within.
  1.
'The Borders' is a common way to refer to the border between Scotland and England.
2.
A word in Geordie dialect that means 'us'. Geordie is a colloquial way to refer to the people from Tyneside, in northwestern England, and the way they speak.","Éramos como irmãos.
Todo mundo dizia que éramos iguais.
Um pouco mais alto, e mais largo, e mais ousado.
Nós tínhamos medo de sua mãe.
Diabos, ela costumava bater em você muito forte.
E seu pai se foi embora quando você era um bebê,
e você ainda me odeia por meu pai ter ficado por perto.
Você me prendeu no chão.
Oito anos de idade com uma arma de mentira empurrando no meu crânio
dizendo que você vai me matar se eu contar.
Nunca o fiz, nunca o farei.
Aquela casa era um inferno.
Vamos lá!
 Eu me lembro de minha mãe quando ela encontrou um novo homem.
E sua mãe achou que tinha encontrado um parceiro,
um pai para você - não é de admirar que você não me suporta.
Eu também não me suporto.
Eu também não me suporto.
 Oh, sua madrinha reparou a raiva em mim.
Falou comigo como se eu fosse um adulto,
não tomou partido e não me virou contra o meu pai.
Então ela tomou aqueles comprimidos e agora ela se foi.
 Vê-la durante a noite
no canto do meu olho!
E eu a vejo durante a noite.
 Ouvi dizer que você colocou um garoto de vidro no ""The Borders""!
Alguns meninos malandros da família estão atrás de você.
Você me encostou na parede e disse que minha mãe
roubou a sua herança , oh yeah?
 Não temos um centavo
segurando esta lata em que vivemos.
Você me encostou na parede e quebrou uma garrafa.
Seus olhos a porta para o inferno e tudo dentro.",en_XX,pt_XX
"The thoughts inside my head
I think it's time to let them out
No question on which way to go
It doesn't matter now
I take a step, whichever destination
I'll be runnin'
Tighten up my laces
'Cause I'm ready to be movin'
 Now I'm free, get up
I know that I can go anywhere
Free, get up
You be surprised I'll be everywhere
Free, get out
Anywhere now I don't even care
Da-da-da-da-da-da-da-da-da
 Straighten up your posture and walk
'Cause in the end you're unstoppable
Stand up wherever you go
You'll make it with no trouble
Dramatic cutscene every scene is the best of the best
'Cause my life is a five star movie
I'm not done yet so
 Tight-tight, go brace yourself
I tighten my double knot
I tighten my double knot
Stray Kids
 Anywhere I go now, go, go
My decision, my life, go, go
Anywhere I go now, go, go
The way I wanna go
Da-da-da-da-da-da-da-da-da
 Blank sided dice, no sided coin
Wherever it points
Now it doesn't matter
'Cause I'm following the broken compass in the void
Even if you think you can't get enough
One out of a hundred is just good enough, yuh
Mix every single color
Only just to watch it all end up black
 Now I'm free, get up
I know that I can go anywhere
Free, get up
You be surprised I'll be everywhere
Free, get out
Anywhere now I don't even care
Da-da-da-da-da-da-da-da-da
 I've been lookin' at a destination
Suddenly my vision kept on getting wider
Looked around to see the many ways and possibilites
I keep getting stronger
Go, break all the, break all the rules (Ah)
Don't care about anything (Blah)
I do whatever I want so
 Tight-tight, go brace yourself
I tighten my double knot
I tighten my double knot
Stray Kids
 Anywhere I go now, go, go
My decision, my life, go, go
Anywhere I go now, go, go
The way I wanna go
Da-da-da-da-da-da-da-da-da
 Don't even matter, ayy, ayy
Wherever I go, ayy, ayy
Whatever happens
I'ma do what I want
 Ooh, double knot
Woo, double knot
Hey, go, go, go, go
Hey, go, go, double knot","Os pensamentos dentro da minha cabeça
Eu acho que é hora deixá-los sair
Nenhuma pergunta para qual caminho ir
Não importa agora
Eu dou um passo, seja lá qual for o destino
Eu estarei correndo
Amarrando os meus cadarços
Porque estou pronto para me mover
 Eu já estou livre, levante
Eu sei que posso ir a qualquer lugar
Livre, levante
Você está surpreso de que eu esteja em todos os lugares
Livre, saia
Para qualquer lugar agora, eu nem ligo
Da-da-da-da-da-da-da-da-da
 Endireite sua postura e ande
Porque no final, você é imparável
Se levante aonde quer que você vá
Você vai conseguir sem problemas
Uma cena de corte dramática, cada cena é a melhor das melhores
Porque minha vida é um filme de cinco estrelas
Eu ainda não terminei, então
 Bem apertado, vá se fortalecer
Eu amarro o meu nó duplo1
Eu amarro o meu nó duplo
Stray Kids
 Eu vou para qualquer lugar agora, vou, vou
Minha decisão, minha vida, vou, vou
Eu vou para qualquer lugar agora, vou, vou
Do jeito que eu quiser ir
Da-da-da-da-da-da-da-da-da
 Dados em branco deslizando, nenhuma moeda deslizando
Tanto faz o que isso quer dizer
Agora não importa
Porque estou seguindo a bússola quebrada no vazio
Mesmo que você pense que não consegue o suficiente
Um em cada cem já é bom o suficiente, yuh
Misture cada cor
Só para ver tudo isso acabar em preto
 Eu já estou livre, levante
Eu sei que posso ir a qualquer lugar
Livre, levante
Você está surpreso de que eu esteja em todos os lugares
Livre, saia
Para qualquer lugar agora, eu nem ligo
Da-da-da-da-da-da-da-da-da
 Eu estive olhando para um destino
De repente, minha visão ficou mais ampla
Olhei ao redor para ver as muitas maneiras e possibilidades
Eu continuo ficando mais forte
Vá, quebre todas as, quebre todas as regras (Ah)
Não ligue para nada
Eu faço o que eu bem entendo, então
 Bem apertado, vá se fortalecer
Eu amarro o meu nó duplo
Eu amarro o meu nó duplo
Stray Kids
 Eu vou para qualquer lugar agora, vou, vou
Minha decisão, minha vida, vou, vou
Eu vou para qualquer lugar agora, vou, vou
Do jeito que eu quiser ir
Da-da-da-da-da-da-da-da-da
 Nem importa, ayy, ayy
Aonde quer que eu vá, ayy, ayy
Seja lá o que acontecer
Estou fazendo o que eu quero
 Ooh, nó duplo
Woo, nó duplo
Ei, vá, vá, vá, vá
Ei, vá, vá, nó duplo
  1.
Um nó bem dado no cadarço. Falando sobre começar uma jornada com coragem, algo assim.",en_XX,pt_XX
"A fugitive has been away so long
A thousand years, and now he thinks of home
The long men are waiting in the wings
To put him in chains upon his return
Emptiness, his bitterness is gone
Journey on to the eternal reward
 It's a long way to go
A black angel at your side
It's a long way to go
A black angel at your side
 The sirens call a sailor to die
Enchanted by the sound, his desires have been found
In his mind, his life is rushing by
All this while, the storm it rages on
He's turning old, he shall never return
Sail on to the eternal reward
 It's a long way to go
A black angel at your side
It's a long way to go
With that angel at your side
 It's a long way to go
With the reaper at your side
It's a long way to go
A black angel at your side
 The fugitive has been away so long
A thousand years, and now he thinks of home
The long men are waiting in the wings
To put him in chains upon his return
Emptiness, his bitterness is gone
Journey on to the eternal reward
 Oh, no, never
Oh, no, never
Oh, no, no
 It's a long way to go
A black angel at your side
It's a long way to go
With that angel at your side
 It's a long way to go
With the reaper at your side
It's a long way to go
With that angel at your side
At your side
 It's a long
It's a long, long, long goodbye
It's a long, long, long goodbye","Um foragido esteve longe por tanto tempo
Mil anos, e agora ele se lembra de casa
Os grandes homens estão à espreita
Para acorrentá-lo quando ele voltar
O vazio, suas amarguras se foram
Uma jornada rumo à recompensa eterna
 É um longo caminho a percorrer
Com um anjo negro ao seu lado
É um longo caminho a percorrer
Com um anjo negro ao seu lado
 As sereias chamam um marinheiro pra morte
Encantado pelo som, seus desejos foram descobertos
Em sua memória, sua vida está passando rapidamente
Durante todo esse tempo, a tempestade assola
Ele está envelhecendo, jamais voltará
Navegando para a recompensa eterna
 É um longo caminho a percorrer
Com um anjo negro ao seu lado
É um longo caminho a percorrer
Com esse anjo a seu lado
 É um longo caminho a percorrer
Com o Ceifador ao seu lado
É um longo caminho a percorrer
Com um anjo negro ao seu lado
 Um foragido esteve longe por tanto tempo
Mil anos, e agora ele se lembra de casa
Os grandes homens estão à espreita
Para acorrentá-lo quando ele voltar
O vazio, suas amarguras se foram
Uma jornada rumo à recompensa eterna
 Oh, não, nunca
Oh, não, nunca
Oh, não, não
 É um longo caminho a percorrer
Com um anjo negro ao seu lado
É um longo caminho a percorrer
Com esse anjo a seu lado
 É um longo caminho a percorrer
Com um anjo negro ao seu lado
É um longo caminho a percorrer
Com esse anjo a seu lado
 Ao seu lado É um longo É um longo, muito bonito.
É um longo caminho a percorrer
Com esse anjo ao seu lado
 É um longo caminho a percorrer
Com o ceifeiro ao seu lado
É um longo caminho a percorrer
Com esse anjo ao seu lado
Ao seu lado
 É um longo
É um longo, longo, longo caminho adeus
É um longo, longo, longo caminho adeus",en_XX,pt_XX
