original_poem,translated_poem,src_lang,tgt_lang
"Imaginary battlefields
Long adventures and fairy tales
whatever our minds create
 Discovering bit galaxies
and our growing list of young lovers dreams
Whenever, whatever our hearts can see
Let us breathe
 Find your way
like a summers day
Let the oceans waves
drift your soul away
 We all grow old the same
but let’s live young while it’s still today
Yes it’s still today
 Find your way
like a summers day
Let the oceans waves
drift your soul away
 We all grow old the same
but let’s live young while it’s still today
Yes it’s still today
 (Still today)
(While it’s still today)
(While it’s still today)","Campos de batalha imaginários
Aventuras longas e contos de fadas
Qualquer coisa que nossa mente criar
 Descobrindo pequenas galáxias
E nossa crescente lista de sonhos de jovens amantes
Onde quer que, o que quer que nossos corações possam ver
Vamos respirar
 Encontre seu caminho
Como um dia de verão
Deixe as ondas do oceano
Levarem sua alma embora
 Todos nós envelhecemos da mesma forma
Mas vamos viver jovens enquanto ainda é hoje
Sim, ainda é hoje
 Encontre seu caminho
Como um dia de verão
Deixe as ondas do oceano
Levarem sua alma embora
 Todos nós envelhecemos da mesma forma
Mas vamos viver jovens enquanto ainda é hoje
Sim, ainda é hoje
 (Ainda é hoje)
(Enquanto ainda é hoje)
(Enquanto ainda é hoje)",en_XX,pt_XX
"I really can't stay
But baby it's cold outside
I've got to go away
But baby it's cold outside
This evening has been
Been hoping that you'd drop in
So very nice
I'll hold your hands, they're just like ice
 My mother will start to worry
Beautiful words you're humming
And father will be pacing the floor
Listen to the fireplace roar
So really I'd better scurry
Beautiful, please don't hurry
Well, maybe just a half a drink more
Put some records on while I pour
 The neighbours might think
But baby it's bad out there
Say, what's in this drink?
No cabs to be had out there
I wish I knew how
Your eyes are like starlight now
To break the spell
I'll take your hat, your hairs looks swell
 I ought to say no, no, no sir
Mind if I move in closer?
At least I'm gonna say that I tried
What's the sense of hurting my pride?
I really can't stay
Oh baby don't hold out
Ah but it's cold outside
Baby it's cold outside
 I simply must go
But baby it's cold outside
The answer is no
But baby it's cold outside
The welcome has been
How lucky that you dropped in
So nice and warm
Look out that window at that storm
 My sister will be suspicious
God your lips look delicious
My brother will be there at the door
Waves upon a tropical shore
My maiden aunt's mind is vicious
Gosh your lips are delicious
Well, maybe just a cigarette more
Never such a blizzard before
 I got to get home
But baby you'd freeze out there
Say, lend me a coat
It's up to your knees out there
You've really been grand
I'm thrilled when you touch my hand
Why don't you see
How can you do this thing to me?
 There's bound to be talk tomorrow
Think of my lifelong sorrow
At least there will be plenty implied
If you caught pneumonia and died
I really can't stay
Get over that hold-out
Ah but it's cold outside
Ah but it's cold outside
 Where could you be going
When the wind is blowing
And it's cold outside?
 Baby it's cold, cold outside","Não posso ficar, de verdade
Mas amor, está frio lá fora
Preciso ir
Mas amor, está frio lá fora
Nesta noite queria ver
Queria ver você de visita
Que legal
Segurarei suas mãos, são como gelo
 Sua mãe se preocupará
Você está cantarolando palavras bonitas
Seu pai passeará pela casa
E ouvirá a lareira rugir
Devo fugir
Beleza, por favor não se apresse
Talvez meio copo ou mais
 Coloque alguma música enquanto sirvo
Os vizinhos podem pensar
Mas amor, está mal lá fora
Diga, o que tem nesta pinga?
Não há táxis lá fora
Queria ver como
Seus olhos são como estrelas agora
Para quebrar o feitiço
Tomarei seu chapéu, seu cabelo parece tão ótimo
 Devo dizer não, não, não senhor
Posso chegar mais perto?
Pelo menos direi que tentei
Para que serve você destruir meu orgulho?
Realmente não posso ficar
Não tenha muita esperança
Oi, mas está frio lá fora
Amor, está frio lá fora
 Simplesmente preciso ir
Mas amor, está frio lá fora
A resposta é não
Mas amor, está frio lá fora
A recepção já foi
Que sorte você ter aparecido
Tão agradável e quente
Olhe pela janela para aquela tempestade
 Minha irmã ficará suspeita
Bom Deus, seus lábios parecem deliciosos
Meu irmão estará lá na porta
Ondas em uma praia tropical
A mente da minha tia solteirona é maldosa
Céus, seus lábios são deliciosos
Bem, talvez só mais um cigarro
Nunca houve uma tempestade tão forte antes
 Tenho que ir para casa
Mas amor, você congelará lá fora
Diga, empreste-me um casaco
Está até os joelhos lá fora
Você foi realmente incrível
Me emociono todas as vezes que você toca minha mão
Por que você não vê
[E] como você pode fazer isso comigo?
 Com certeza haverá uma fofoca amanhã
Pense em minha tristeza de toda a vida
Pelo menos haverá muitas insinuações
Se você pegar pneumonia e morrer
Realmente não posso ficar
Supere essa resistência
Oi, mas está frio lá fora
Oi, mas está frio lá fora
 Para onde você estará indo
Quando o vento estiver soprando
E estiver frio lá fora?
 Amor, está frio, muito frio lá fora",en_XX,pt_XX
"O Christmas Tree, O Christmas tree,
How lovely are your branches!
Not only green in summer’s heat,
But also winter’s snow and sleet.
O Christmas tree, O Christmas tree,
How lovely are your branches!
 O Tannenbaum, O Tannenbaum,
Risplendi nella notte
Le luci tue scintillano, come le stelle brillano
O Tannenbaum, O Tannenbaum,
Risplendi nella notte
 O Tannenbaum, O Tannenbaum,
Risplendi nella notte
Le luci tue scintillano, come le stelle brillano
O Tannenbaum, O Tannenbaum,
Risplendi nella notte","Ó pinheirinho, ó pinheirinho
Que amáveis são seus galhos!
Verdes não só no calor do verão,
Mas também sob a neve e o granizo do inverno.
Ó pinheirinho, ó pinheirinho
Que amáveis são seus galhos!
 Ó pinheirinho, ó pinheirinho
Resplandeça na noite
As suas luzes cintilam, como as estrelas brilham
Ó pinheirinho, ó pinheirinho
Resplandeça na noite
 Ó pinheirinho, ó pinheirinho
Resplandeça na noite
As suas luzes cintilam, como as estrelas brilham
Ó pinheirinho, ó pinheirinho
Resplandeça na noite",en_XX,pt_XX
"A million lonely people
And, darling, here we are
There must've been a reason
We've come this far
 But nothing lasts forever
You blink and then it's gone
If we should be together
What you waiting for?
 Don't leave it 'til the last dance
Don't leave it 'til the lights come up and the music stops
To kill the romance
Don't leave it 'til the last chance
 You know it takes just one second to light that spark
But you miss it and you're in the dark
Don't leave it 'til the last chance
Don't leave it 'til the last dance
(Last dance...)
 So many souls are leaving
We're almost at the end
We've had a lifetime being
Just good friends
 But nothing lasts forever
We're here and then we're gone
If we should be together
What you waiting for?
 Don't leave it 'til the last dance
Don't leave it 'til the lights come up and the music stops
To kill the romance
Don't leave it 'til the last chance
 You know it takes just one second to light that spark
But you miss it and you're in the dark
Don't leave it 'til the last chance
Don't leave it 'til the last dance
(Last dance...)
 Oh, why
Does it have to be so hard?
Hard for both of us
Oh, why?
'Cause you're better than anyone
That I have ever known
 Don't leave it 'til the last dance
Don't leave it 'til the lights come up and the music stops
To kill the romance
Don't leave it 'til the last chance
 You know it takes just one second to light that spark
But you miss it and you're in the dark
Don't leave it 'til the last chance
Don't leave it 'til the last dance","Um milhão de pessoas solitárias
E, querida, cá estamos
Deve haver uma razão
Para termos chegado tão longe
 Mas nada é eterno
Tudo some num piscar de olhos
Se devemos estar juntos
O que você está esperando?
 Não espere até a última dança
Não espere até que as luzes se acendam e a música pare
Para matar o romance
Não espere até a última chance
 Você sabe que basta um segundo para acender aquela faísca
Mas você a perde e fica no escuro
Não espere até a última chance
Não espere até a última dança
(A última dança...)
 Tantas almas estão partindo
Estamos quase no fim
Tivemos uma vida inteira sendo
Só bons amigos
 Mas nada é eterno
Estamos aqui e então vamos embora
Se devemos estar juntos
O que você está esperando?
 Não espere até a última dança
Não espere até que as luzes se acendam e a música pare
Para matar o romance
Não espere até a última chance
 Você sabe que basta um segundo para acender aquela faísca
Mas você a perde e fica no escuro
Não espere até a última chance
Não espere até a última dança
(A última dança...)
 Oh, por que
Tem que ser tão difícil assim?
Difícil para nós dois
Oh, por que?
Porque você é melhor que todo mundo
Que eu já conheci
 Não espere até a última dança
Não espere até que as luzes se acendam e a música pare
Para matar o romance
Não espere até a última chance
 Você sabe que basta um segundo para acender aquela faísca
Mas você a perde e fica no escuro
Não espere até a última chance
Não espere até a última dança",en_XX,pt_XX
"When a humble bard
Graced a ride along
With Geralt of Rivia
Along came this song.
 From when the White Wolf fought
A silver-tongued devil,
His army of elves
At his hooves did they revel.
 They came after me
With masterful deceit ;
Broke down my lute
And they kicked in my teeth.
 While the devil’s horns
Minced our tender meat
And so cried the Witcher
He can’t be bleat.
 Toss a coin to your Witcher!
O’ Valley of Plenty
O’ Valley of Plenty
O’
 Toss a coin to your Witcher
O’ Valley of Plenty!
 At the edge of the world
Fight the mighty horn
That bashes and breaks you
And brings you to mourn.
 He thrust every elf
Far back on the shelf,
High up on the mountain
From whence it came.
 He wiped out your pest,
Got kicked in his chest,
He’s a friend of humanity
So give him the rest.
 That’s my epic tale,
A champion prevailed
Defeated the villain,
Now pour him some ale!
 Toss a coin to your Witcher!
O’ Valley of Plenty
O’ Valley of Plenty
O’…
 Toss a coin to your Witcher!
O’ Valley of Plenty
 Toss a coin to your Witcher!
O’ Valley of Plenty
O’ Valley of Plenty
O’…
 Toss a coin to your Witcher!
O’ Valley of Plenty","Quando um humilde poeta
Foi dar um passeio
Com Geralt de Rívia
Apareceu esta canção.
 De quando o Lobo Branco lutou contra
Um demónio de língua prateada,
O seu exército de elfos
Aos seus cascos se deleitava
 Eles vieram atrás de mim
Com magistral falsidade;
Partiram o meu alaúde
E pontapearam os meus dentes.
 Enquanto os cornos do diabo
Picavam a nossa carne tenra
E assim gritou o Bruxo
Ele não podia ter balido1
 Lança uma moeda ao teu Bruxo!
Ó Vale de Abundância
Ó Vale de Abundância
Ó
 Atira uma moeda ao teu Bruxo
Ó Vale de Abundância!
 [Instrumental]
 No limite do mundo
Luta contra a poderosa horda
Que te bate e te quebra
E te traz o luto.
 Ele empurrou cada elfo,
Lá no alto da montanha
De onde ele veio.
 Ele varreu a tua praga,
Levou um pontapé no peito,
É um amigo da humanidade
Por isso, dá-lhe o resto.
 Esta é a minha história épica,
Um campeão prevaleceu
Derrotou o vilão,
Agora serve-lhe uma cerveja inglesa!
 Joga uma moeda ao teu Bruxo!
Ó Vale de Abundância
Ó Vale de Abundância
Ó...
 Atira uma moeda ao teu Bruxo!
Ó Vale de Abundância
 Atira uma moeda ao teu Bruxo!
Ó Vale de Abundância
Ó Vale de Abundância
Ó...
 Atira uma moeda ao teu Bruxo!
Ó Vale de Abundância
  1.
Será que o Bruxo gritou porque não sabia balir ou porque há aqui um segundo sentido com a palavra ""bleat""?",en_XX,pt_XX
"What kind of love have you got?
You should be home but you're not
I don't want to believe that it's over now
I could be wrong, but I'm not
And you still think you're hot
I don't want to believe that it's over now
 lalalalalalalalala lalalalalalalalala
 Can you tell me your secret
Then I'll tell you mine
Show me that you still love me
Then I will show real love
 Ooh baby
What kind of love have you got?
You should be home but you're not
I don't want to believe that it's over now
I could be wrong, but I'm not
And you still think you're hot
I don't want to believe that it's over now
 lalalalalalalalala lalalalalalalalala
 You are walkin' the wire
Looking for love in between
But you don't have desire
Do you know what I mean?
 Ooh baby
What kind of love have you got?
You should be home but you're not
I don't want to believe that it's over now
I could be wrong, but I'm not
And you still think you're hot
I don't want to believe that it's over now
Its over now
 Wake up
you lose my lovin
Wake up
you stop thinkin
think twice
About the things that you have said and done [x2]
 lalalalalalalalala lalalalalalalalala
 What kind of love have you got?
You should be home but you're not
I don't want to believe that it's over now
I could be wrong, but I'm not
And you still think you're hot
I don't want to believe that it's over now
its over now
 lalalalalalalalala lalalalalalalalala [x2]","Que tipo de amor é que tens?
Devias estar em casa, mas não estás
Não quero acreditar que acabou agora
Podia estar errada, mas não estou
E ainda pensas que és atrativo
Não quero acreditar que acabou agora
 lalalalalalalalala lalalalalalalalala
 Podes contar-me o teu segredo
Depois contar-te-ei o meu
Mostra-me que ainda me amas
Depois mostrar-te-ei amor de verdade
 Ooh querido
Que tipo de amor é que tens?
Devias estar em casa, mas não estás
Não quero acreditar que acabou agora
Podia estar errada, mas não estou
E ainda pensas que és atrativo
Não quero acreditar que acabou agora
 lalalalalalalalala lalalalalalalalala
 Estás a caminhar no arame
Procurando o amor no meio
Mas não tens desejo
Sabes o que quero dizer?
 Ooh querido
Que tipo de amor é que tens?
Devias estar em casa, mas não estás
Não quero acreditar que acabou agora
Podia estar errada, mas não estou
E ainda pensas que és atrativo
Não quero acreditar que acabou agora
Acabou agora
 Acorda
Perdeste o meu amor
Acorda
Paraste de pensar
Pensa duas vezes
Sobre as coisas que disseste e fizeste [x2]
 lalalalalalalalala lalalalalalalalalala
 Que tipo de amor tens?
Devias estar em casa, mas não estás
Não quero acreditar que agora acabou
Podia estar errada, mas não estou
E tu ainda pensas que és atrativo
Não quero acreditar que acabou agora
Acabou agora
 lalalalalalalalala lalalalalalalalala [x2]",en_XX,pt_XX
"I'm spending my summer time after time crying again
Had the blues over you, I didn't hang with my friends
You fake cry that's a lie, tell me was it all pretend?
In my head
In my head
 You're needing all the time again, our time again (I hope it's nothing, I hope it's nothing)
Needing the time again, our time again (I hope it's nothing, I hope it's nothing)
Wasting our time again, our time again (I hope it's nothing, I hope it's nothing)
We don't have nothing to say
So we have nothing left
 La-la-la-la la-la-la la-la-la-la-la
La-la-la-la la-la-la la-la-la-la-la
La-la-la-la la-la-la la-la-la-la-la
La-la-la-la la-la-la la-la-la-la-la
 I wasted like half of my summer tryna hold on your hand
You're the leech I'm the man, I guess you don't understand
Holding hands, say I cant
You're telling me, yes, I can
Yes I can
Yes I can
 I wasted like half of my summer tryna hold on your hand
You're the leech I'm the man, I guess you don't understand
Holding hands, say I cant
You're telling me yes, I can
Yes, I can
Yes, I can
 You're needing all the time again, our time again (I hope it's nothing, I hope it's nothing)
Needing the time again, our time again (I hope it's nothing, I hope it's nothing)
Wasting our time again, our time again (I hope it's nothing, I hope it's nothing)
We don't have nothing to say
So, we have nothing left","Estou passando o meu verão a chorar outra vez
Triste contigo, não convivo com os meus amigos
Finges chorar, que é uma mentira, diz-me, era tudo a fingir?
Na minha cabeça
Na minha cabeça
 Estás a precisar de todo o tempo outra vez, do nosso tempo outra vez (espero que não seja nada, espero que não seja nada)
Precisando do tempo outra vez, do nosso tempo outra vez (espero que não seja nada, espero que não seja nada)
Desperdiçando o nosso tempo outra vez, o nosso tempo outra vez (espero que não seja nada, espero que não seja nada)
Não temos nada a dizer
Então não nos resta nada
 La-la-la-la-la-la-la-la-la-la-la-la-la-la-la-la
La-la-la-la-la-la-la-la-la-la-la-la-la-la-la
La-la-la-la la-la-la-la la-la-la-la-la
 Desperdicei metade do meu verão a tentar segurar a tua mão
Tu és a sanguessuga eu sou o homem, acho que não entendes
De mãos dadas, digo que não posso
Estás a dizer-me, sim, eu posso
Sim, eu posso
Sim, eu posso
 Desperdicei metade do meu verão a tentar segurar a tua mão
Tu és a sanguessuga, eu sou o homem, acho que não entendes
De mãos dadas, dizes que não posso
Estás a dizer-me que sim, eu posso
Sim, eu posso
Sim, eu posso
 Estás a precisar de todo o tempo outra vez, do nosso tempo outra vez (espero que não seja nada, espero que não seja nada)
Precisando do tempo de novo, do nosso tempo de novo (espero que não seja nada, espero que não seja nada)
Desperdiçando o nosso tempo outra vez, o nosso tempo outra vez (espero que não seja nada, espero que não seja nada)
Não temos nada a dizer
Então, não nos resta nada",en_XX,pt_XX
"It's now or never,
come hold me tight
Kiss me my darling,
be mine tonight
Tomorrow will be too late,
it's now or never
My love won't wait.
 When I first saw you
with your smile so tender
My heart was captured,
my soul surrendered
I'd spend a lifetime
waiting for the right time
Now that you're near
the time is here at last.
 It's now or never,
come hold me tight
Kiss me my darling,
be mine tonight
Tomorrow will be too late,
it's now or never
My love won't wait.
 Just like a willow,
We would cry an ocean
If we lost true love
And sweet devotion
Your lips excite me,
Let your arms invite me
For who knows when
We'll meet again this way
 It's now or never,
Come hold me tight
Kiss me my darling,
Be mine tonight
Tomorrow will be too late,
It's now or never
My love won't wait.
 It's now or never
My love won't wait.
[3x]","É agora ou nunca
Vem, abraça-me com força
Beija-me, minha querida
Sê minha, hoje à noite
Amanhã será tarde demais
É agora ou nunca
Meu amor não esperará
 Quando pela primeira vez te vi
Com o teu sorriso tão terno
O meu coração foi capturado
A minha alma rendeu-se
Eu passaria uma vida inteira
À espera do momento certo
Agora que estás perto
O tempo está aqui finalmente
 É agora ou nunca,
Vem, abraça-me apertado
Beija-me, minha querida
Sê minha, esta noite
Amanhã será demasiado tarde
É agora ou nunca
Meu amor não esperará
 Tal como um salgueiro
Choraríamos um mar de lágrimas
Se perdêssemos o verdadeiro amor
E a doce devoção
Os teus lábios excitam-me
Deixa que os teus braços me convidem
Porque quem sabe quando
Nos encontraremos assim de novo
 É agora ou nunca
Vem, abraça-me com força
Beija-me, minha querida
Sê minha, esta noite
Amanhã será demasiado tarde
É agora ou nunca
O meu amor não esperará
 É agora ou nunca
O meu amor não esperará
[3x]",en_XX,pt_XX
"Flamingo pink, Sunrise Boulevard
Clink, clink, being this young is art
Aquamarine, moonlit swimmin' pool
What if all I need is you?
 Got love-struck, went straight to my head
Got lovesick all over my bed
Love to think you'll never forget
Handprints in wet cement
Adorned with smoke on my clothes
Lovelorn and nobody knows
Love thorns all over this rose
I'll pay the price, you won't
 But if I'm all dressed up
They might as well be lookin' at us
And if they call me a slut
You know it might be worth it for once
And if I'm gonna be drunk
I might as well be drunk in love
 Send the code, he's waitin' there
The sticks and stones they throw froze mid-air
Everyone wants him, that was my crime
The wrong place at the right time
And I break down, then he's pullin' me in
In a world of boys, he's a gentleman
 Got love-struck, went straight to my head (Straight to my head)
Got lovesick all over my bed (Over my bed)
Love to think you'll never forget
We'll pay the price, I guess
 But if I'm all dressed up (If I'm all dressed up)
They might as well be lookin' at us (Lookin' at us)
And if they call me a slut (If they call me a slut)
You know it might be worth it for once (Worth it for once)
And if I'm gonna be drunk
I might as well be drunk in love
 Half asleep, takin' your time
In the tangerine, neon light, this is luxury
You're not sayin' you're in love with me
But you're going to
Half awake, takin' your chances
It's a big mistake, I said, ""It might blow up in your pretty face""
I'm not saying, ""Do it anyway"" (Do it anyway)
But you're going to
 (Up)
And if they call me a (Slut)
You know it might be worth it for once
And if I'm gonna be (Drunk)
I might as well be drunk in love","Rosa flamingo, Sunrise Boulevard
Clink, clink, ser tão jovem assim é arte
Piscina iluminada pela lua, água-marinha
E se tudo o que preciso é você?
 Fiquei apaixonada, foi direto para minha cabeça
Fiquei doente de amor na minha cama
Amo pensar que você nunca se esquecerá
Das marcas de mãos no cimento molhado
Adornada com fumaça nas minhas roupas
Melancólica de amor e ninguém sabe
Espinhos de amor por toda essa rosa
Eu pagarei por isso, você não
  Mas já que eu estou toda arrumada
Eles podem muito bem estar olhando para nós
E se me chamarem de puta
Você sabe que pode ser que valha a pena dessa vez
E já que eu vou ficar bêbada
Posso muito bem ficar bêbada de amor
 Mande um sinal, ele está esperando lá
As ofensas que atiram congelaram no meio no caminho
Todos o querem, esse foi meu crime
O lugar errado na hora certa
E eu desmorono, então ele me puxa para perto
Em um mundo de meninos, ele é um cavalheiro
  Got love-struck, went straight to my head (Straight to my head)
Got lovesick all over my bed (Over my bed)
Love to think you'll never forget
We'll pay the price, I guess
 Mas já que eu estou toda arrumada (Já que estou toda arrumada)
Eles podem muito bem estar olhando para nós (Olhando para nós)
E se me chamarem de puta (Se me chamarem de puta)
Você sabe que pode ser que valha a pena dessa vez (Valha a pena dessa vez)
E já que eu vou ficar bêbada
Posso muito bem ficar bêbada de amor
  Meio sonolento, tomando seu tempo
Na luz neon tangerina, isso é luxo
Você não diz que está apaixonado por mim
Mas você irá
Meio acordado, se arriscando
É um grande erro, eu disse, “Pode ser que volte contra você”
Não digo “Faça-o mesmo assim” (Faça-o mesmo assim)
Mas você irá
  (Oh)
E se me chamarem de puta (Puta)
Você sabe que pode ser que valha a pena dessa vez
E já que eu vou ficar (bêbada)
Posso muito bem ficar bêbada de amor",en_XX,pt_XX
"[Verse 1]
You had people who called you on unmarked numbers
In my peripheral vision
I let it slide like a hose on a slippery plastic summer
All was quickly forgiven
You were so magnetic it was almost obnoxious
Flush with the currency of cool
I was always turning out my empty pockets
And when it came to you
 [Chorus]
I didn't come here to make friends
We were born to be suburban legends
When you hold me, it holds me together
And you kiss me in a way that's gonna screw me up forever
 [Verse 2]
I had the fantasy that maybe our mismatched star signs would surprise the whole school
When I ended up back at our class reunion walking in with you
You'd be more than a chapter in my old diaries with the pages ripped out
I am standing in a 1950s gymnasium and I can still see you now
 [Chorus]
I didn't come here to make friends
We were born to be suburban legends
When you hold me, it holds me together
And you kiss me in a way that's gonna screw me up forever
I know that you still remember
We were born to be national treasures
When you told me we'd get back together
And you kissed me in a way that's gonna screw me up forever
 [Outro]
Tick-tock on the clock
I face down your block
I broke my own heart 'cause you were too polite to do it
Waves crash on the shore
I dash to the door
You don't knock anymore
And my whole life's ruined
Tick-tock on the clock
I face down your blook
I broke my own heart 'cause you were too polite to do it
Waves crash on the shore
I dash to the door
You don't knock anymore
And I always knew it
That my life would be ruined","[Estrofe 1]
Você tinha pessoas te ligando com números desconhecidos
Na minha visão periférica
Deixei passar como uma mangueira em um verão de plástico escorregadio
Tudo foi rapidamente perdoado
Você era tão magnético que era quase desagradável
Nivelado com a moeda do legal
Eu estava sempre revirando meus bolsos vazios
Quando se tratava de você
  [Refrão]
Não vim aqui para fazer amigos
Nós nascemos para ser lendas suburbanas
Quando você me segura, isso me segura em pé
E você me beija de um jeito que vai me foder para sempre
 [Estrofe 2]
Eu tinha o sonho de que talvez nossos signos incompatíveis surpreenderiam a escola toda
Quando acabei voltando na reunião da nossa sala, entrando com você
Você seria mais que um capítulo nos meus velhos diários com páginas rasgadas
Ainda estou em um ginásio da década de 1950 e posso te ver ainda agora
 [Refrão]
Não vim aqui para fazer amigos
Nós nascemos para ser lendas suburbanas
Quando você me segura, isso me segura em pé
E você me beija de um jeito que vai me foder para sempre
Sei que você ainda se lembra
Nós nascemos para ser tesouros nacionais
Quando você me disse que voltaríamos a ficar juntos
E me beijou de um jeito que vai me foder para sempre
  [Final]
Tic-toc no relógio
Eu encaro seu quarteirão
Quebrei meu próprio coração porque você foi educado demais para fazê-lo
Ondas quebram na costa
Eu colido com a porta
À qual você não bate mais
E minha vida inteira está arruinada
Tic-toc no relógio
Eu encaro seu quarteirão
Quebrei meu próprio coração porque você foi educado demais para fazê-lo
Ondas quebram na costa
Eu colido com a porta
À qual você não bate mais
E eu sempre soube
Que minha vida seria arruinada",en_XX,pt_XX
