original_poem,translated_poem,src_lang,tgt_lang
"Aux marches du palais
aux marches du palais
y a une tant belle fille, lon la
y a une tant belle fille
 Elle a tant d'amoureux
elle a tant d'amoureux
qu'elle ne sait lequel prendre, lon la
qu'elle ne sait lequel prendre
 C'est un p'tit cordonnier
c'est un p'tit cordonnier
qu'a eu la préférence, lon la
qu'a eu la préférence
 Et c'est en la chaussant
et c'est en la chaussant
qu'il l'en fit la demande, lon la
qu'il l'en fit la demande
 La belle, si tu voulais
la belle, si tu voulais
nous dormirions ensemble, lon la
nous dormirions ensemble
 Dans un grand lit carré
dans un grand lit carré
Couvert de toiles blanches, lon la
couvert de toiles blanches
 Aux quatre coins du lit
aux quatre coins du lit
quatre bouquets de pervenches, lon la
quatre bouquets de pervenches
 Dans le mitan du lit
dans le mitan du lit
la rivière est profonde, lon la
la rivière est profonde
 Tous les chevaux du roi
tous les chevaux du roi
pourrait y boire ensemble, lon la
pourrait y boire ensemble
 Et nous y dormirions
et nous y dormirions
jusqu'à la fin du monde, lon la
jusqu'à la fin du monde","At the steps of the palace
At the steps of the palace
There's such a beautiful gal, lon la
There's such a beautiful gal
 She has so many suitors
She has so many suitors
That she knows not which one to choose, lon la
That she knows not which one to choose
 It's a little cobbler
It's a little cobbler
Who got the preference, lon la
Who got the preference
 And it's while he was putting on her shoes
And it's while he was putting on her shoes
That he asked her to be with him, lon la
That he asked her to be with him
 Gorgeous, if you wanted
Gorgeous, if you wanted
We would sleep together, lon la
We would sleep together
 In a big square bed
In a big square bed
Covered in white linen, lon la
Covered in white linen
 At the four corners of the bed
At the four corners of the bed
A bouquet of periwinkles, lon la
A bouquet of periwinkles
 In the middle of the bed
In the middle of the bed
The river is so deep, lon la
The river is so deep
 All of the king's horses
All of the king's horses
Could drink from it together, lon la
Could drink from it together
 And we would sleep there
And we would sleep there
Until the end of the world, lon la
Until the end of the world",fr_XX,en_XX
"L'amour est un oiseau rebelle
Que nul ne peut apprivoiser
Et c'est bien en vain qu'on l'appelle
S'il lui convient de refuser
Rien n'y fait, menace ou prière
L'un parle bien, l'autre se tait
Et c'est l'autre que je préfère
Il n'a rien dit mais il me plaît
 L'amour
L'amour est un oiseau rebelle
L'amour
Que nul ne peut apprivoiser
L'amour
Et c'est bien en vain qu'on l'appelle
L'amour
S'il lui convient de refuser
 L'amour est enfant de bohême
Il n'a jamais, jamais connu de loi
Si tu ne m'aimes pas, je t'aime
Si je t'aime, prends garde à toi
Prends garde à toi
Si tu ne m'aimes pas
Si tu ne m'aimes pas, je t'aime
Prends garde à toi
Mais si je t'aime, si je t'aime
Prends garde à toi
 L'oiseau que tu croyais surprendre
Battit de l'aile et s'envola
L'amour est loin, tu peux l'attendre
Tu ne l'attends plus, il est là
Tout autour de toi, vite, vite
Il vient, s'en va, puis il revient
Tu crois le tenir, il t'évite
Tu crois l'éviter, il te tient
 L'amour
Tout autour de toi, vite, vite
L'amour
Il vient s'en va, puis il revient
L'amour
Tu crois le tenir, il t'évite
L'amour
Tu crois l'éviter, il te tient
 L'amour est enfant de bohême
Il n'a jamais, jamais connu de loi
Si tu ne m'aimes pas, je t'aime
Si je t'aime, prends garde à toi
Prends garde à toi
Si tu ne m'aimes pas
Si tu ne m'aimes pas, je t'aime
Prends garde à toi
Mais si je t'aime, si je t'aime
Prends garde à toi
 L'amour est enfant de bohême
Il n'a jamais, jamais connu de loi
Si tu ne m'aimes pas, je t'aime
Si je t'aime, prends garde à toi
Prends garde à toi
Si tu ne m'aimes pas
Si tu ne m'aimes pas, je t'aime
Prends garde à toi
Mais si je t'aime, si je t'aime
Prends garde à toi","Love is a rebel bird
That no one can ever tame
And it is quite in vain that you call it
If it chooses to stay away
Nothing helps, neither threats nor prayers
One man talks well, the other keeps quiet
And it's the other one that I prefer
He was mum, but I like his looks
 Love
Love is a rebel bird
Love
That no one can ever tame
Love
And it is quite in vain that we call it
Love
If it chooses to stay away
 Love is a gypsy child
It has never, never known a law
If you don't love me, then I love you
If I love you, you'd best beware
You'd best beware
If you don't love me
If you don't love me, then I love you
You'd best beware
But if I love you, if I love you
You'd best beware
 The bird you thought you could surprise
Flapped its wings and flew away
Love stays away, you wait and wait
When least expected, it appears
All around you, swift, so swift
It comes, it goes, then returns
You think you hold it, it avoids you
You think you avoid it, it holds you fast
 Love
All around you, swift, so swift
Love
It comes, it goes, and then returns
Love
You think you hold it, it avoids you
Love
You think you avoid it, it holds you fast
 Love is a gypsy child
It has never, never known a law
If you don't love me, then I love you
If I love you, you'd best beware
You'd best beware
If you don't love me
If you don't love me, then I love you
You'd best beware
But if I love you, if I love you
You'd best beware
 Love is a gypsy child
It has never, never known a law
If you don't love me, then I love you
If I love you, you'd best beware
You'd best beware
If you don't love me
If you don't love me, then I love you
You'd best beware
But if I love you, if I love you
You'd best beware",fr_XX,en_XX
"J'ai comme une envie
De voir ma vie au lit
Comme une idée fixe
Chaque fois que l'on me dit
La plaie c'est ça :
C'est qu'elle pousse trop vite
La mauvaise herbe nuit
C'est là qu'il me vient une idée :
Pouvoir m'apitoyer
 C'est bien ma veine
Je souffre en douce
J'attends ma peine
Sa bouche est si douce
 J'ai comme une envie
De voir ma vie au lit
Comme une idée fixe
Qui me poursuit la nuit - la nuit - la nuit
Je savoure la nuit
L'idée d'éternité
La mauvaise herbe nuit
Car elle ne meurt jamais
 Quand tout est gris
La peine est mon amie
Un long suicide acide
Je t'aime mélancolie
Sentiment qui
Me mène à l'infini
Mélange du pire, de mon désir,
Je t'aime mélancolie
 Quand tout est gris
La peine est mon amie
J'ai l'âme humide aussi
Tout mon être chavire
Oh viens je t'en prie
C'est ton amie aussi
C'est l'élixir de mes délires
Je t'aime mélancolie
 J'ai comme une envie
De voir ma vie en l'air
Chaque fois que l'on me dit
C'est de la mauvaise herbe
Et moi je dis :
Qu'une sauvage née
Vaut bien d'être estimée
Après tout elle fait souvent la nique
Aux ""trop bien"" cultivées, et toc!
 C'est bien ma veine
Je souffre en douce
J'attends ma peine
Sa bouche est si douce
 J'ai comme une idée
De la moralité
Comme une idée triste
Mais qui ne meurt jamais
En somme c'est ça :
Pour plaire aux jaloux
Il faut être ignorée
Mais là, mais là, mais là, pour le coup
C'est Dieu qui m'a planté, alors?","I feel like
Seeing my life in bed
A recurring idea
Every time I'm told
The wound is this:
She grows too quickly
The weed is harmful
It's then that I get an idea:
To feel sorry for others
 It's just my vein
I suffer on the sly
I wait for my sorrow
Its mouth is so sweet
 I feel like
Seeing my life in bed
Like a sad idea
The pursues me at night - at night - at night
I savor night
The idea of eternity
The weed is harmful
Because it never dies
 When all is gray
Sorrow is my friend
A long, sour suicide
I love you melancholy
A feeling that
Takes me to the infinite
Mix of the worst, of my desire
I love you melancholy
 When all is gray
Sorrow is my friend
My soul is wet as well
All my being trembles
Oh please come
It's your friend as well
It's the elixir of my delusions
I love you melancholy
 I feel like
Seeing my life in the air
Every time I'm told
This is a weed
Me I say:
That someone born a savage
Is worth your respect
After all, she often gets the best
Of the 'too well' mannered, so there!
 It's just my vein
I suffer on the sly
I wait for my sorrow
Its mouth is so sweet
 I sort of have an idea
Of the morale
Like a sad idea
But that never dies
In sum, this is it:
To please the jealous
You'd have to be ignored
But well, but well, but well, you see
It's God that put me here, so…?",fr_XX,en_XX
"Ah, ah, ah, ah, ah
Ah, ah, ah
Ah, ah, ah
 On pose souvent les mêmes questions en attendant d'autres réponses
On pense toujours avoir raison, on regarde dans une direction
On voudrait arrêter le temps, on le voudrait de toutes nos forces
Mais dis-moi seulement qui prétend regarder derrière l'horizon
 Oui, j'aimerais tellement y croire
Si seulement, si seulement, je pouvais
Oh oui, j'aimerais tellement le voir
Si seulement, si seulement, je pouvais
 Seul face à mes défauts, j'entends comme un écho
Ce poids sur les épaules, l'enfer, c'est toujours les autres
Je toque, toque, toque, mais personne, y a plus rien qui m'étonne
Y a comme un truc qui déconne, que le ciel me pardonne
 Ah, ah, ah, ah, ah
Ah, ah, ah
Ah, ah, ah
 Y a plus le charme de l'époque
L'odeur des couloirs de l'école
On s'voyait pas derrière l'écran
Les petits qui s'prenaient pour des grands
Dis-moi c'qui reste quand tu trottes
Tes principes pour de nouveaux codes
Moi j'ai décidé d'avancer
Oublier tout c'que j'ai laissé
 Oui, j'aimerais tellement y croire
Si seulement, si seulement, je pouvais (Oh, oh, oh, oh, oh, oh)
Oh oui, j'aimerais tellement le voir
Si seulement, si seulement, je pouvais
 Seul face à mes défauts, j'entends comme un écho
Ce poids sur les épaules, l'enfer, c'est toujours les autres
Je toque, toque, toque, mais personne, y a plus rien qui m'étonne
Y a comme un truc qui déconne, que le ciel me pardonne (Ah, ah, ah, ah)
 Mama, eh
Mama, eh
Eh, eh, eh (Mama, eh)
 Seul face aux défauts
J'ai tout essayé, ça sonne faux
Seul face aux défauts, ah mon égo, ah mon égo
Seul face aux défauts
J'ai tout essayé, ça sonne faux
Seul face aux défauts, ah mon égo
 Seul face à mes défauts (Oh, oh), j'entends comme un écho
Ce poids sur les épaules (Mama), l'enfer, c'est toujours les autres
Je toque, toque, toque, mais personne (Oh, oh), y a plus rien qui m'étonne
Y a comme un truc qui déconne (Mama), que le ciel me pardonne (Ah, ah, ah, ah)
 Seul face à mes défauts
Mama, eh
Mama, eh
Eh, eh, eh (Mama, eh)
Je toque, toque, toque, mais personne
Eh, eh, eh, mama, eh (Mama, mama, mama)
Eh, eh, eh, eh, eh, eh","[Intro]
Ah, ah, ah, ah, ah
Ah, ah, ah
Ah, ah, ah
 [Verse 1]
We often ask the same questions, expecting different answers
We always think to be right, we're looking into one direction
We would like to stop time, we're wishing for it with all of our power
But just tell me who pretends to look beyond the horizon
 [Pre-Chorus]
Yes, I would love to believe in it
If only, if only I could
Oh Yes, I would love to believe in it
If only, if only I could
 [Chorus]
Facing my shortcomings on my own, listening like an echo
This weight on my shoulders, hell is always the others
I knocked, knocked, knocked, but nobody, nothing surprises me anymore
There's something messed up, may Heaven forgive me
 [Post-Chrous]
Ah, ah, ah, ah, ah
Ah, ah, ah
Ah, ah, ah
 [Verse 2]
The charme from that time is gone
The smell of the school hallways
We don't see each other behind the screen
The little ones pretending to be grown ups
Tell me what's left when you leave
Your principles for new codes
I've decided to move on
Forget everything I left behind
 [Pre-Chorus]
Yes, I would love to believe in it
If only, if only I could (Oh, oh, oh, oh, oh, oh)
Oh Yes, I would love to believe in it
If only, if only I could
 [Chorus]
Facing my shortcomings on my own, listening like an echo
This weight on my shoulders, hell is always the others
I knocked, knocked, knocked, but nobody, nothing surprises me anymore
There's something messed up, may Heaven forgive me (Ah, ah, ah, ah)
 [Post-Chorus]
Mama, eh
Mama, eh
Eh, eh, eh (Mama, eh)
 [Bridge]
Alone, facing the shortcomings
I've tried everything, that sounds wrong
Alone, facing the shortcomings, oh my ego, oh my ego
Alone, facing the shortcomings
I've tried everything, that sounds wrong
Alone, facing the shortcomings, oh my ego
 [Chorus]
Facing my shortcomings on my own (Oh, oh), listening like an echo
This weight on my shoulders (Mama), hell is always the others
I knocked, knocked, knocked, but nobody (Oh, oh), nothing surprises me anymore
There's something messed up (Mama), may Heaven forgive me (Ah, ah, ah, ah)
[Outro]
Facing my shortcomings on my own
Mama, eh
Mama, eh
Eh, eh, eh (Mama, eh)
I knocked, knocked, knocked, but nobody
Eh, eh, eh, mama, eh (Mama, mama, mama)
Eh, eh, eh, eh, eh, eh",fr_XX,en_XX
"Ravi, cher ami
Jamais je te tournerai le dos
Posé à tes côtés
Nous n'avons plus peur de rien
 Nos paniques, mots magiques
Des réponses à nos questions
Si je suis largué, maintenant je sais
Je pourrai poser ma main sur ton épaule
 Logique, organique
Jamais je te tournerai le dos
Posé à tes côtés
Nous n'avons plus peur de rien
 Si t'hésites, c'est bon ne t'en veux pas
Si je m'oublie, s'te plaît ne m'en veux pas
Existe, c'est bon ne t'en veux pas
Insiste, je ne t'en voudrai pas, non
 Si t'hésites, c'est bon ne t'en veux pas
Si je m'oublie, s'te plaît ne m'en veux pas
Existe, c'est bon ne t'en veux pas
Insiste, je ne t'en voudrai pas, non (Insiste)
 Hésite
Je m'enivre
Insiste
 Ravi, cher ami
Confidences en stéréo
Posé à tes côtés
Allons accueillir demain
 Mots magiques, nos paniques
Dans n'importe quelle direction
Si je suis largué, maintenant je sais
Je pourrai poser ma main sur ton épaule
 Si t'hésites, c'est bon ne t'en veux pas
Si je m'oublie, s'te plaît ne m'en veux pas
Existe, c'est bon ne t'en veux pas
Insiste, je ne t'en voudrai pas, non
 Si t'hésites, c'est bon ne t'en veux pas
Si je m'oublie, s'te plaît ne m'en veux pas
Existe, c'est bon ne t'en veux pas
Insiste, je ne t'en voudrai pas, non (Insiste)","Nice to meet you, dear friend
I will never turn my back on you
Standing by your side
There is nothing for us to fear
 Our panics, magic words
The answers to our questions
If I'm lost, I now know that
I can rest my hand on your shoulder
 Logic, organic
I will never turn my back on you
Standing by your side
There is nothing for us to fear
 If you hesitate, it's alright, don't blame yourself
If I forget myself, please don't blame me
Exist, it's alright, don't blame yourself
Insist, I won't blame you, no
 If you hesitate, it's alright, don't blame yourself
If I forget myself, please don't blame me
Exist, it's alright, don't blame yourself
Insist, I won't blame you, no
 Hesitate
I get drunk
Insist
 Nice to meet you, dear friend
Confessions in stereo
Standing by your side
Let us greet tomorrow
 Magic words, our panics
In any direction
If I'm lost, I now know that
I can rest my hand on your shoulder
 If you hesitate, it's alright, don't blame yourself
If I forget myself, please don't blame me
Exist, it's alright, don't blame yourself
Insist, I won't blame you, no
 If you hesitate, it's alright, don't blame yourself
If I forget myself, please don't blame me
Exist, it's alright, don't blame yourself
Insist, I won't blame you, no (Insist)",fr_XX,en_XX
"Bien sûr, j'ai d'autres certitudes
J'ai d'autres habitudes
Et d'autres que toi sont venues
Les lèvres tendres, les mains nues
Bien sûr
Bien sûr, j'ai murmuré leurs noms
J'ai caressé leur front
Et j'ai partagé leurs frissons
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Je t'aime encore
 Bien sûr, du soir au matin blême
Depuis j'ai dit : « Je t'aime »
Et d'autres que toi sont venues
Marquer leurs dents sur ma peau nue
Bien sûr
Bien sûr, pour trouver le repos
J'ai caressé leur peau
Elles m'ont même trouvé beau
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Je t'aime encore
 Bien sûr, j'ai joué de mes armes
J'ai joué de leurs larmes
Entre le bonsoir et l'adieu
Souvent pour rien, souvent par jeu
Bien sûr
Bien sûr, j'ai redit à mi-voix
Tous les mots que pour toi
J'ai dit pour la première fois
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Parce que je t'aime
Je t'aime encore
Je t'aime encore
Je t'aime","Of course, I have beliefs beyond us
I have other habits as well
Other people with tender lips
And bare hands have come,
Of course
Of course, I whispered their names
And caressed their foreheads
And I shared their shivers
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able to forget your body
But from adventure to adventure
From train to train, from port to Port
I have not been able to heal my wound
I still love you
 Of course, from dusk until pale dawn,
I have said ""I love you"" to others
And others like you came
To mark their teeth on my bare skin,
Of course
Of course, to find rest,
I caressed their skin
They even found me handsome
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able o forget your body
But from adventure to adventure
From train to train, from port to Port
I have not been able to heal my wound
I still love you
 Of course, I played my cards
I played with their tears
Between the greetings and goodbyes
Often for no reason, often just for fun,
Of course
Of course, I muttered again
All the words that were for you
I said for the first time
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able to forget your body
But from adventure to adventure
From train to train, from port to Port
I have not been able to heal my wound
Because I love you
I still love you
I still love you
I love you",fr_XX,en_XX
"Bien sûr, j'ai d'autres certitudes
J'ai d'autres habitudes
Et d'autres que toi sont venues
Les lèvres tendres, les mains nues
Bien sûr
Bien sûr j'ai murmuré leurs noms
J'ai caressé leur front
Et j'ai partagé leurs frissons.
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Je t'aime encore.
 Bien sûr, du soir au matin, blême
Depuis j'ai dit : « Je t'aime »
Et d'autres que toi sont venues
Marquer leurs dents sur ma peau nue
Bien sûr
Bien sûr pour trouver le repos
J'ai caressé leur peau
Elles m'ont même trouvé beau.
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Je t'aime encore.
 Bien sûr j'ai joué de mes armes
J'ai joué de leurs larmes
Entre le bonsoir et l'adieu
Souvent pour rien, souvent par jeu
Bien sûr
Bien sûr, j'ai redit à mi-voix
Tous les mots que pour toi
J'ai dit pour la première fois.
 Mais d'aventure en aventure
De train en train, de port en port
Jamais encore, je te le jure
Je n'ai pu oublier ton corps
Mais d'aventure en aventure
De train en train, de port en port
Je n'ai pu fermer ma blessure
Parce que je t'aime
Je t'aime encore
Je t'aime encore
Je t'aime","Of course, I have beliefs beyond us
I have other habits as well
Other people with tender lips
And bare hands have come,
Of course
Of course, I whispered their names
And caressed their foreheads
And I shared their shivers
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able to forget your body
But from adventure to adventure
From train to train, from port to port
I have not been able to heal my wound
I still love you
 Of course, from dusk until pale dawn,
I have said ""I love you"" to others
And others like you came
To mark their teeth on my bare skin,
Of course
Of course, to find rest,
I caressed their skin
They even found me handsome
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able o forget your body
But from adventure to adventure
From train to train, from port to port
I have not been able to heal my wound
I still love you
 Of course, I played my cards
I played with their tears
Between the greetings and goodbyes
Often for no reason, often just for fun,
Of course
Of course, I muttered again
All the words that were for you
I said for the first time
 But from adventure to adventure
From train to train, from port to port
I swear, never before have I
Been able to forget your body
But from adventure to adventure
From train to train, from port to port
I have not been able to heal my wound
Because I love you
I still love you
I still love you
I love you",fr_XX,en_XX
"Parle-moi, parle-moi,
j'ai besoin de tendresse
Il n'en reste plus beaucoup
dans ce monde un peu fou
M'en veux pas, ne ris pas,
je suis comme une enfant
Parle-moi, parle-moi
doucement et longtemps
 Parle-moi, parle-moi,
j'ai besoin de présence
Le silence me fait peur ;
je n'entends plus que mon cœur
T'en vas pas, bouge pas,
je suis comme une enfant
Parle-moi, parle-moi,
c'est toi qui me défends
 Parle-moi, parle-moi,
j'ai besoin de tendresse
Mal du siècle, de toujours,
mal d'amitié, mal d'amour
M'en veux pas, ne ris pas,
je suis femme et enfant
Parle-moi, parle-moi,
c'est toi seul que j'entends
 M'en veux pas, ne ris pas,
je suis femme et enfant
Parle-moi, parle-moi,
dis les mots que j'attends","Speak to me, speak to me
I need tenderness
There's not much left
In this somewhat crazy world
Don't be mad at me, don't laugh
I am like a child
Speak to me, speak to me
Gently and for a long time
 Speak to me, speak to me
I need presence
Silence frightens me
I only hear my heart anymore
Don't go away, don't move
I am like a child
Speak to me, speak to me
It's you who defends me
 Speak to me, speak to me
I need tenderness
The pain of the century, of always
Pain of friendship, pain of love
Don't be mad at me, don't laugh
I am woman and child
Speak to me, speak to me
It's only you that I hear
 Don't be mad at me, don't laugh
I am woman and child
Speak to me, speak to me
Say the words I've been waiting for",fr_XX,en_XX
"Dans mon château des Carpates
Je galope je me hâte
Dans ma cape écarlate
Je suis vampire je m’éclate
J’aime le sang ça vous épate
Je suis vampire je m’éclate
 Les vampires sortent la nuit
Travestis en chauve-souris
Et leurs grandes dents acérées
Sont la prêtes à vous croquer
 Ma grande salle à manger
Est toujours décorée
De cadavres de noyés
Que je viens de repêcher
Je suis un vampire heureux
Regarder mon beau teint bleu
 Les vampires sortent la nuit
Travestis en chauve-souris
Et leurs grandes dents acérées
Sont la prêtes à vous croquer
 Frankenstein est mon valet
Quand il va chez l’épicier
Il rapporte pour mon dîner
Quelques litres de sang frais
Et Bibi la chauve-souris est toujours aussi ravie
 Les vampires sortent la nuit
Travestis en chauve-souris
Et leurs grandes dents acérées
Sont la prêtes à vous croquer
 Et le soir quand je me lève
Mon cercueil se relève
Je m’en vais croquer sans trêve
Vos petites gorges de rêve
Pour moi il n’y a pas de trêve
Et dans les airs je m’élève
 Les vampires sortent la nuit
Travestis en chauve-souris
Et leurs grandes dents acérées
Sont la prêtes à vous croquer
 Dans mes soirées en teboi
J’me la donne je festoie
Dans ma Porsche couleur sang
Je suis vampire ça se sent
Et le samedi à minuit
Recommence une nouvelle vie","In my castle, the Carpathian Castle
I'm flying, I'm hurrying
Wearing a scarlet cape
I'm a vampire, I'm having fun
I like blood, it amazes people
I'm a vampire, I'm having fun
 Vampires come out at night
Dressed up as bats
And showing their large sharp teeth
Ready to devour you
 My large dining room
Is always decorated
With bodies of drowned people
I've just fished out
I'm a happy vampire
Look at my beautiful blue complexion
 Vampires come out at night
Dressed up as bats
And showing their large sharp teeth
Ready to devour you
 Frankenstein is my valet
He goes to the grocer
To get my dinner
Some litres of fresh blood
And it always thrills Bibi, the bat
 Vampires come out at night
Dressed up as bats
And showing their large sharp teeth
Ready to devour you
 And when I wake up in the evening
My coffin goes up
I leave to devour your
Little perfect throats relentlessly
No rest for me
Then I soar through the air
 Vampires come out at night
Dressed up as bats
And showing their large sharp teeth
Ready to devour you
 When I go clubbing
I show off, I celebrate
In my blood red Porsche
You can tell I'm a vampire
And when it's Saturday midnight
Life starts again",fr_XX,en_XX
"Ting toung...
 Est-ce l'horloge de Bahia
Qui a trop bu de batida
Ou bien le train de Brasília
Qui siffle la bossa nova
Comme ça ?
 Ting toung...
 Bossa nova...
 Comme on n'est pas à Bahia
Ce rythme que tu entends la
Écoute-le plus près de moi
C'est le bruit de mon cœur qui bat
Comme ça
 Ting ting toung...
 Comme l'amour que j'ai pour toi
Mon petit air ne finit pas
Pour que tu restes dans mes bras
À danser la bossa nova
Comme ça
 Ting toung...","Ting toong...
 Is it the clock of Bahia
That has drunk too much batida,
Or is it the train from Brasilia
That's whispering the bossa nova
Like this?
 Ting toong...
 Bossa nova...
 Since we're not in Bahia
This rhythm you're hearing here
-- Come closer and listen to it --
Is the sound of my beating heart
Like this
 Ting ting toong...
 Just like the love I have for you
My little tune never stops
So that you'll stay in my arms
Dancing the bossa nova
Like this
 Ting toong...",fr_XX,en_XX
