original_poem,translated_poem,src_lang,tgt_lang
"Par le petit garçon qui meurt près de sa mère
Tandis que des enfants s'amusent au parterre
Et par l'oiseau blessé qui ne sait pas comment
Son aile tout à coup s'ensanglante et descend
Par la soif et la faim et le délire ardent
Je vous salue, Marie.
  Par les gosses battus, par l'ivrogne qui rentre
Par l'âne qui reçoit des coups de pied au ventre
Et par l'humiliation de l'innocent châtié
Par la vierge vendue qu'on a déshabillée
Par le fils dont la mère a été insultée
Je vous salue, Marie.
  Par la vieille qui, trébuchant sous trop de poids
S'écrie : Mon Dieu ! par le malheureux dont les bras
Ne purent s'appuyer sur une amour humaine
Comme la Croix du Fils sur Simon de Cyrène
Par le cheval tombé sous le chariot qu'il traîne
Je vous salue, Marie.
  Par les quatre horizons qui crucifient le monde
Par tous ceux dont la chair se déchire ou succombe
Par ceux qui sont sans pieds, par ceux qui sont sans mains
Par le malade que l'on opère et qui geint
Et par le juste mis au rang des assassins
Je vous salue, Marie.
  Par la mère apprenant que son fils est guéri
Par l'oiseau rappelant l'oiseau tombé du nid
Par l'herbe qui a soif et recueille l'ondée
Par le baiser perdu par l'amour redonné
Et par le mendiant retrouvant sa monnaie
Je vous salue, Marie.","For the little boy who lies dying close to his mother
While children are having fun in the yard outside
And for the wounded bird that does not know how
Its wing's all at once full of blood and drops down
For the hunger, thirst, and the raging delirium
For these I Hail Mary.
 For kids battered by a drunk back from his night out
For the donkey that takes constant kicks to the stomach
For the mortification of abused innocence
For the virgin sold off whom they have stripped naked
For the son whose mother has been grossly reviled
For these I Hail Mary.
 For the old broad who staggers overloaded
And screams unto God!
For the wretched man whose arms
Could not turn for support on any human love
As the cross of the Son on Simon of Cyrene.
For the horse fallen under the cart that it drags
For these I Hail Mary.
 For the four horizons that crucify the world
For all those whose flesh is torn or perishes
For all those without feet, for all those without hands
For the sick under surgery who groan with pain
And for the just man wrongly linked with murderers
For these I Hail Mary.
 For the mother learning that her son is cured
For the bird calling back the bird slipped from the nest
For the grass that is parched and gets swamped with the rain
For the kiss that was lost, returned by love
And for the beggar recovering his misplaced pennies.
For these I Hail Mary.",fr_XX,en_XX
"Moi je suis la fille que tu as oublié
Moi j'étais timide et tu m'as fait pleurer
Un peu blessée
Des rêves cassés
Le coeur brisé
Assez
 Moi je suis la fille que t'as fait rigoler
C'etait érotique, pourquoi tu m'as quittée?
Un peu blessée
Des rêves cassés
Le coeur brisé
Assez
 Moi je suis la fille qui t'as une fois aimé
Moi je suis la fille que toi tu veux manquer
Un peu blessée
Des rêves cassés
Le coeur brisé
Assez
 Le coeur brisé
Assez
Des rêves cassés
Assez
Un peu brisé
Assez","I'm the girl that you've forgotten
I was shy and you made me cry
A little wounded
Broken dreams
Heartbroken
Enough
 I am the girl that you made laugh
It was erotic, why did you leave me?
A little wounded
Broken dreams
Heartbroken
Enough
 I am the girl who you you loved once
I am the girl that you want to miss
A little wounded
Broken dreams
Heartbroken
Enough
 Heartbroken
Enough
Broken dreams
Enough
A little broken
Enough",fr_XX,en_XX
"J'en appelle à la mort ; je l'attends sans frayeur ;
Je ne tiens plus à la vie ; je cherche un fossoyeur
Qui aurait un' tombe à vendre à n'importe quel prix :
J'ai surpris ma maîtresse au bras de son mari,
Ma maîtresse, la traîtresse !
 Je croyais tenir l'amour au bout de mon harpon,
Mon p'tit drapeau flottait au cœur d' madame Dupont,
Mais tout est consommé : hier soir, au coin d'un bois,
J'ai surpris ma maîtresse avec son mari, pouah !
Ma maîtresse, la traîtresse !
 Trouverai-je les noms, trouverai-je les mots,
Pour noter d'infamie cet enfant de chameau
Qui a choisi son époux pour tromper son amant,
Qui a conduit l'adultère à son point culminant ?
Ma maîtresse, la traîtresse !
 Où donc avais-je les yeux ? Quoi donc avais-je dedans ?
Pour ne pas m'être aperçu depuis un certain temps
Que, quand elle m'embrassait, elle semblait moins goulue
Et faisait des enfants qui ne me ressemblaient plus.
Ma maîtresse, la traîtresse !
 Et pour bien m'enfoncer la corne dans le cœur,
Par un raffinement satanique, moqueur,
La perfide, à voix haute, a dit à mon endroit :
« Le plus cornard des deux n'est point celui qu'on croit. »
Ma maîtresse, la traîtresse !
 J'ai surpris les Dupont, ce couple de marauds,
En train de recommencer leur hymen à zéro,
J'ai surpris ma maîtresse équivoque, ambiguë,
En train d'intervertir l'ordre de ses cocus.
Ma maîtresse, la traîtresse !","I am calling on death– which I await calmly;
I care no more for life; I seek a gravedigger
Who has a tomb for sale at no matter what price:
I just caught my mistress, upon her husband’s arm,
My mistress, the traitress!
 I thought that I held love firm upon my harpoon,
My li'l flag fluttered over Mme Dupont’s heart,
But all that is at an end: last night down in the woods,
I surprised my mistress with her husband. Sickening!
My mistress, the traitress!
 How shall I find the names,
How shall I find the words,
To brand with infamy that degenerate broad
Who chose husband to cheat upon lover,
Who brought adultery to its utter limit
My mistress, the traitress!
 Where had I been looking? What had gotten in my eyes?
For not having noticed, that for a certain time,
When she was kissing me, she seemed less voracious
And she bore babies who no longer looked like me.
My mistress, the traitress!
 And to drive the dagger deep in my foolish heart,
With diabolical refinement, to mock me,
The perfidious one said out loud to my face:
“The worst dupe of the two isn’t the one thought to be”
My mistress, the traitress!
 I surprised the Duponts, this couple of dropouts,
Absorbed in restarting their marriage from scratch.
I surprised my devious, two-faced mistress
Busy reversing the order of her cucks
My mistress, the traitress!",fr_XX,en_XX
"Tous les coeurs se rallient à sa blanche cornette,
Si le chrétien succombe à son charme insidieux,
Le païen le plus sûr, l'athé’ le plus honnête
Se laisseraient aller parfois à croire en Dieu.
Et les enfants de choeur font tinter leur sonnette...
 Il paraît que, dessous sa cornette fatale
Qu'elle arbore à la messe avec tant de rigueur,
Cette petite soeur cache, c'est un scandale !
Une queu’ de cheval et des accroche-coeurs.
Et les enfants de choeur s'agitent dans les stalles...
 Il paraît que, dessous son gros habit de bure,
Elle porte coquettement des bas de soi’,
Festons, frivolités, fanfreluches, guipures,
Enfin tout ce qu'il faut pour que le diable y soit.
Et les enfants de choeur ont des pensées impures...
 Il paraît que le soir, en voici bien d'une autre !
A l'heure où ses consoeurs sont sagement couché’s
Ou débitent pieusement des patenôtres,
Elle se déshabille devant sa psyché.
Et les enfants de choeur ont la fièvre, les pauvres...
 Il paraît qu'à loisir elle se mire nue,
De face, de profil, et même, hélas ! de dos,
Après avoir, sans gêne, accroché sa tenue
Aux branches de la croix comme au portemanteau.
Chez les enfants de choeur le malin s'insinue...
 Il parait que, levant au ciel un oeil complice,
Ell' dit: ""Bravo, Seigneur, c'est du joli travail !""
Puis qu'elle ajoute avec encor plus de malice :
""La cambrure des reins, ça, c'est une trouvaille !""
Et les enfants de choeur souffrent un vrai supplice...
 Il parait qu'à minuit, bonne mère, c'est pire :
On entend se mêler, dans d'étranges accords,
La voix énamouré’ des anges qui soupirent
Et celle de la soeur criant ""Encor ! Encor !""
Et les enfants de choeur, les malheureux, transpirent...
 Et monsieur le curé, que ces bruits turlupinent,
Se dit avec raison que le brave Jésus
Avec sa tête, hélas ! déjà chargé’ d'épines,
N'a certes pas besoin d'autre chose dessus.
Et les enfants de choeur, branlant du chef, opinent...
 Tout ça, c'est des faux bruits, des ragots, des sornettes,
De basses calomni’s par Satan répandu’s.
Pas plus d'accroche-coeurs sous la blanche cornette
Que de queu’ de cheval, mais un crâne tondu.
Et les enfants de choeur en font, une binette...
 Pas de troubles penchants dans ce coeur rigoriste,
Sous cet austère habit pas de rubans suspects.
On ne verra jamais la corne au front du Christ,
Le veinard sur sa croix peut s'endormir en paix,
Et les enfants de choeur se masturber, tout tristes...","All hearts are won over by her nun’s white cornette, *
If the Christian succumbs to its insidious charm,
The staunchest pagan, the most open atheist
Would sometimes go as far as believing in God
And young choristers make their little bells tinkle...
 It appears that under her fatal cornette
Which she shows off at mass with so much rigor,
This little sister hides, it’s a scandal!
A ponytail and several kiss curls.
And the young choristers get worked up in their pews...
 It appears that under her loose homespun
nun’s robe,
She wears seductively stockings of silk
Scallop edges, fancy items, frills and flounces, guipures
In short all it takes for the devil to be there.
And the young choristers get thoughts that are impure...
 It appears that at night, here’s a very big shock!
When her fellow nuns properly are tucked in bed
Or piously reciting their Pater Nosters
She takes off her clothes before her full-length mirror.
And the choristers’ temperatures soar, poor boys...
 It seems she takes her time gazing at herself nude,
Full frontal, in profile, and even, alas! rear-view,
After hanging her outfit with no inhibition
On the arms of the cross like on a coat stand.
With the choristers the dickens sneaks himself in…
 It seems, raising a knowing eye up to heaven
She says: ”Well done, Lord, that’s a fine piece of work!”
Seems that then she adds, even more mischievously:
""The curve of the behind is something special!""
And the choristers experience real torture...
 It seems, at midnight, Holy Mother, things get worse:
One hears blending together in strange harmonies
The love-stricken voice of angels who are sighing
And that of the Sister yelling “More! More!”
And the wretched choristers, break into a sweat...
 And the reverend priest who’s disturbed by these noises
Tells himself quite rightly that the good lord Jesus
With his head, alas, already fraught with thorns
Certainly does not need anything else put on it
And the shuddering choir nod their heads in agreement...
 All this talk is false rumor, scuttlebutt, blatherskite,
The basest of slander spread around by Satan
No more are there kiss curls beneath the white cornette
Than any ponytail, but a skull shaven bald
And the young choristers screw their faces at that.
 No dark inclinations in this rigorist heart
Beneath this austere robe no suspicious ribbons
One will never see horns on the forehead of Christ.
The lucky fellow on his cross can sleep in peace
And the choirboys, glumly, can do it for themselves...",fr_XX,en_XX
"Mais qu'est-ce que tu vois
Mais qu'est-ce que tu vois mon dieu
 Mais qu'est-ce que tu vois
Mais qu'est-ce que tu vois mon dieu
Mais qu'est-ce que tu vois
 Mais qu'est ce que tu vois
Mais qu'est ce que to vois mon dieu
(C'est quoi ce truc?)
Mais qu'est-ce que tu vois
 Mais qu'est-ce que tu vois mon dieu
(Comment tu as fait?)
Mais qu'est-ce que tu vois
(Comment tu as fait?)
Regardes-moi, mais qu'est-ce que tu vois mon dieu
 Mon dieu","What do you see,
What do you see my God
 What do you see
What do you see my God
What do you see
 What do you see
What do you see my God
(What is this thing?)
What you see
 What do you see my God
(How did you do that?)
What do you see
(How did you do that?)
Look at me, what do you see my God
 My God",fr_XX,en_XX
"Jadis, au lieu du jardin que voici,
C’était la zone et tout ce qui s’ensuit,
Des masures, des taudis insolites,
Des ruines pas romaines pour un sou.
Quant à la faune habitant là-dessous
C’était la fine fleur, c’était l’élite.
 La fine fleur, l’élite du pavé.
Des besogneux, des gueux, des réprouvés,
Des mendiants rivalisant de tares,
Des chevaux de retour, des propre’-à-rien,
Ainsi qu’un croque-notes, un musicien,
Une épave accrochée à sa guitare.
 Adopté’ par ce beau monde attendri,
Une petite fée avait fleuri
Au milieu de toute cette bassesse.
Comme on l’avait trouvé’ près du ruisseau,
Abandonnée en un somptueux berceau,
A tout hasard on l’appelait “princesse”.
 Or, un soir, Dieu du ciel, protégez-nous !
La voilà qui monte sur les genoux
Du croque-notes et doucement soupire,
En rougissant quand même un petit peu :
“C’est toi que j’aime et, si tu veux, tu peux
M’embrasser sur la bouche et même pire...”
 “- Tout beau, princesse arrête un peu ton tir,
J’ai pas tell’ment l’étoffe du satyr’,
Tu as treize ans, j’en ai trente qui sonnent,
Gross’ différence et je ne suis pas chaud
Pour tâter d’la paille humid’ du cachot...
- Mais, Croque-not’s, j’dirai rien à personne...”
 - N’insiste pas, fit-il d’un ton railleur,
D’abord, tu n’es pas mon genre, et d’ailleurs
Mon coeur est déjà pris par une grande...”
Alors Princesse est partie en courant,
Alors Princesse est partie en pleurant,
Chagrine qu’on ait boudé son offrande.
 Y’a pas eu détournement de mineure,
Le croque-notes, au matin, de bonne heure,
A l’anglaise a filé dans la charrette
Des chiffonniers en grattant sa guitare.
Passant par là, quelques vingt ans plus tard,
Il a le sentiment qu’il le regrette.","In times past instead of the yard here
It was Skid Row and all that that implies
Ramshackle homes and slums beyond belief
Ruins that were not Roman in the least.
As for the fauna dwelling there beneath
T’was the fine cream, t’was the true élite.
 The cream, the elite of the street life,
Of the destitute, the outcasts, the rogues,
Beggars competing their physical defects
Of the jailbirds, of just good for nothings,
Such as a pianist guy, a music man,
A wreck washed up clinging to his guitar.
 Adopted by this chic smart set, soft at heart,
A little fairy had blossomed here
In the midst of all this lowlifeness
As she had been found next to the gutter
Abandoned in a sumptuous cradle
They chanced on the name of ""Princess"" for her.
 Now, one night, God in heaven, protect us!
There she is climbing up onto the knees
Of Piano Man and softly she sighs,
While blushing just the same a tiny bit:
« It’s you I love and if you like you can
Kiss me upon my mouth and even worse…”
 ""Heck, Princess, just hold your fire,
I’m not made to be a cradle robber.
You’re thirteen years old, I’m turning thirty
Big difference and I’m not all that anxious
To sample the damp straw down in the clink...""
""But, Piano Man, I won’t tell nobody...""
 “Don’t keep on like that,” said he jokingly
First, you are not my type and besides
My heart’s already taken by a grownup...""
At that Princesse left, running all the way,
At that princesse left, weeping all the way,
Hurt that he had spurned her benefaction
 There was no corruption of a minor.
The piano man, in the early morning,
Stole away inside a junkman’s cart, while strumming notes on his guitar.
Passing through there some twenty years later
He has the feeling that he regrets it.",fr_XX,en_XX
"C'est à travers de larges grilles,
Que les femelles du canton,
Contemplaient un puissant gorille,
Sans souci du qu'en-dira-t-on.
Avec impudeur, ces commères
Lorgnaient même un endroit précis
Que, rigoureusement ma mère
M'a défendu de nommer ici...
Gare au gorille !
 Tout à coup la prison bien close
Où vivait le bel animal
S'ouvre, on n'sait pourquoi. Je suppose
Qu'on avait du la fermer mal.
Le singe, en sortant de sa cage
Dit : « C'est aujourd'hui que je le perds ! »
Il parlait de son pucelage,
Vous aviez deviné, j'espère !
Gare au gorille !
 Le patron de la ménagerie
Criait, éperdu : « Nom de nom !
C'est assommant car le gorille
N'a jamais connu de guenon ! »
Dès que la féminine engeance
Sut que le singe était puceau,
Au lieu de profiter de la chance,
Elle fit feu des deux fuseaux !
Gare au gorille !
 Celles là même qui, naguère,
Le couvaient d'un œil décidé,
Fuirent, prouvant qu'elles n'avaient guère
De la suite dans les idées ;
D'autant plus vaine était leur crainte,
Que le gorille est un luron
Supérieur à l'homme dans l'étreinte,
Bien des femmes vous le diront !
Gare au gorille !
 Tout le monde se précipite
Hors d'atteinte du singe en rut,
Sauf une vielle décrépite
Et un jeune juge en bois brut ;
Voyant que toutes se dérobent,
Le quadrumane accéléra
Son dandinement vers les robes
De la vieille et du magistrat !
Gare au gorille !
 « Bah ! soupirait la centenaire,
Qu'on puisse encore me désirer,
Ce serait extraordinaire,
Et, pour tout dire, inespéré ! »
Le juge pensait, impassible,
« Qu'on me prenne pour une guenon,
C'est complètement impossible... »
La suite lui prouva que non !
Gare au gorille !
 Supposez que l'un de vous puisse être,
Comme le singe, obligé de
Violer un juge ou une ancêtre,
Lequel choisirait-il des deux ?
Qu'une alternative pareille,
Un de ces quatres jours, m'échoie,
C'est, j'en suis convaincu, la vieille
Qui sera l'objet de mon choix !
Gare au gorille !
 Mais, par malheur, si le gorille
Aux jeux de l'amour vaut son prix,
On sait qu'en revanche il ne brille
Ni par le goût, ni par l'esprit.
Lors, au lieu d'opter pour la vieille,
Comme l'aurait fait n'importe qui,
Il saisit le juge à l'oreille
Et l'entraîna dans un maquis !
Gare au gorille !
 La suite serait délectable,
Malheureusement, je ne peux
Pas la dire, et c'est regrettable,
Ça nous aurait fait rire un peu ;
Car le juge, au moment suprême,
Criait : « Maman ! », pleurait beaucoup,
Comme l'homme auquel, le jour même,
Il avait fait trancher le cou.
Gare au gorille !","It was through strong iron railings
That the females of the district
Weighed up a strapping gorilla
Unworried what people will say
With no shame, these nosy women
Even goggled one precise spot
Which my mother has quite strictly
Forbidden me to mention here...
Beware the gorilla!
 All at once, the tight-shut prison
The fine animal lived in
Opens, we don’t know why (I think
They must not have closed the door right)
The ape, coming out of his cage
Said, “Today’s the day I lose it”
Talking of his cherry
You already guessed, I hope!
 Beware the gorilla!
 The boss of the menagerie
Shouted franticly, ""Sakes Alive!
That’s annoying because the gorilla
Has never known female monkey!""
As soon as the feminine mob
Knew that the ape was a virgin
Instead of cashing in on their luck
They ran at full speed on their pins!
Beware the gorilla!
 The very same ones who, just now
Were willfully digging him
Fled, proving that they had hardly
Any consistency of thought.
All the more vain was their fear
As gorillas are quite funky
Superior to man in embraces.
Many women will vouch for that!
Beware the gorilla!
 Everyone rushes off from
The attack of the ape in heat
Except one senile lady
And a young judge standing firm.
Seeing all the girls escaping
The beast on four paws went faster
Waddling right to the two dresses
Of the old woman and the judge!
Beware the gorilla!
 ""Ah!"" sighed the hundred year old
""That I might still be desirable
Would be weird and wonderful
And, frankly, quite unexpected!""
The judge, poker-faced, thought,
""For me to be deemed a she-ape,
That’s quite impossible...""
The next events proved him wrong!
Beware the gorilla!
 Suppose one of you men might be,
Like the ape, obligated to
Rape a judge or very old lady,
Which would you choose of the two?
Should a similar alternative,
One of these days, fall to me,
It's the ol' granny, I’m convinced,
Who’ll be the object of my choice!
Beware the gorilla!
 But, sadly, if the gorilla
In games of love earns his rating
We know, though, that he does not shine
In his taste or his intellect
So, instead of choosing the ol' granny,
As anybody else would’ve done,
He grabbed the judge by the ear
And dragged him into the underbrush!
Beware the gorilla!
 What follows would be delightful
Unfortunately, I can not
Tell it, and that’s regrettable
That would’ve made us laugh a little
For the judge, at the supreme moment
Yelled out, “Mama!” and cried a lot
Like the man whom, that very day,
He had had decapitated.
Beware the gorilla!",fr_XX,en_XX
"Il pleuvait fort sur la grand-route
Elle cheminait sans parapluie
J'en avais un, volé, sans doute
Le matin même à un ami
Courant alors à sa rescousse
Je lui propose un peu d'abri
En séchant l'eau de sa frimousse
D'un air très doux, elle m'a dit oui.
 Un p'tit coin d'parapluie
Contre un coin d'paradis
Elle avait quelque chose d'un ange
Un p'tit coin de paradis
Contre un coin d'parapluie
Je ne perdais pas au change, pardi !
 Chemin faisant, que ce fut tendre
D'ouïr à deux le chant joli
Que l'eau du ciel faisait entendre
Sur le toit de mon parapluie !
J'aurais voulu, comme au déluge
Voir sans arrêt tomber la pluie
Pour la garder, sous mon refuge
Quarante jours, quarante nuits.
 Mais bêtement, même en orage
Les routes vont vers des pays
Bientôt le sien fit un barrage
À l'horizon de ma folie !
Il a fallu qu'elle me quitte
Après m'avoir dit grand merci
Et je l'ai vue, toute petite
Partir gaiement vers mon oubli","Rain poured down hard on the highway
She struggled on, without umbrella
I had got one, acquired secretly
From a close friend that same morning.
So, running to assist the lady
I offered this spot of cover.
Drying the wet from her tender face
She told me very softly, ""Oui.""
 A small bit of 'brella
For a bit of heaven
She had something angelic ‘bout her
A small bit of heaven
For a bit of my 'brella
I came off well, Golly me!
 Walking along, how sweet to hear
Just we two, the pretty song
The waters from the sky produced
Upon the roof of my bumbershoot!
I would have wished, like the Great Flood,
To see the rain falling nonstop
Just to keep her, beneath my refuge
For forty days and forty nights
 A small bit of 'brella
For a bit of heaven
She had something angelic ‘bout her
A small bit of heaven
For a bit of my 'brella
I came off well, Golly me!
 But foolishly, even when storms rage
Roads lead to different districts
Hers soon loomed like a barrage
On the horizon of my folly
She left me, as it had to be,
After thanking me quite warmly
And I saw her grow ever smaller
As she went gaily to forgetting me.",fr_XX,en_XX
"Parlez-moi de la pluie et non pas du beau temps,
Le beau temps me dégoûte et me fait grincer les dents,
Le bel azur me met en rage,
Car le plus grand amour qui me fut donné sur terre
Je le dois au mauvais temps, je le dois à Jupiter,
Il me tomba d’un ciel d’orage.
 Par un soir de novembre, à cheval sur les toits,
Un vrai tonnerre de Brest, avec des cris de putois,
Allumait ses feux d’artifice.
Bondissant de sa couche en costume de nuit,
Ma voisine affolée vint cogner à mon huis (4)
En réclamant mes bons offices.
 « Je suis seule et j’ai peur, ouvrez-moi, par pitié,
Mon époux vient de partir faire son dur métier,
Pauvre malheureux mercenaire (5),
Contraint de coucher dehors quand il fait mauvais temps,
Pour la bonne raison qu’il est représentant
D’une maison de paratonnerres. »
 En bénissant le nom de Benjamin Franklin,
Je l’ai mise en lieu sûr entre mes bras câlins,
Et puis l’amour a fait le reste !
Toi qui sèmes des paratonnerre’ à foison,
Que n’en as-tu planté sur ta propre maison ?
Erreur on ne peut plus funeste…
 Quand Jupiter alla se faire entendre ailleurs,
La belle, ayant enfin conjuré sa frayeur
Et recouvré tout son courage,
Rentra dans ses foyers faire sécher son mari
En me donnant rendez-vous les jours d’intempérie,
Rendez-vous au prochain orage.
 À partir de ce jour je n’ai plus baissé les yeux,
J’ai consacré mon temps à contempler les cieux,
À regarder passer les nues,
À guetter les stratus, à lorgner les nimbus,
À faire les yeux doux au moindre cumulus,
Mais elle n’est pas revenue.
 Son bonhomme de mari avait tant fait d’affaires,
Tant vendu ce soir-là de petits bouts de fer,
Qu’il était devenu millionnaire
Et l’avait emmenée vers les cieux toujours bleus,
Des pays imbécile où jamais il ne pleut,
Où l’on ne sait rien du tonnerre.
 Dieu fasse que ma complainte aille, tambour battant,
Lui parler de la pluie, lui parler du gros temps
Auxquels on a tenu tête ensemble,
Lui conter qu’un certain coup de foudre assassin
Dans le mille de mon cœur a laissé le dessin
D’une petite fleur qui lui ressemble…","Talk to me of the rain and not of fair weather,
Fair weather turns me off and sets my teeth on edge.
Splendid azure skies drive me wild,
For the greatest love which was granted me on earth
I owe to bad weather, I owe to Jupiter.
Love fell down from a stormy sky.
 With a November evening, straddling the rooftops
A dreadful thunderbolt, with deafening caterwauls,
Set off its firework display.
Leaping up from her bed in her night attire
The lady next door came banging on my portal
Crying for my good offices.
 “I’m alone and scared, open up, please, for pity’s sake
My husband's just left on the hard job he has,
How the poor man makes his money
Having to sleep outdoors when the weather's bad
For the good reason that he works as a sales rep
With a lightning rod firm.""
 Blessing the renowned name of Benjamin Franklin
I put her in a safe place snuggled in my arms
And then it was love that did the rest!
You who scatter rods 'round in abundance
Why did you not stick one of them on your own home?
The most fatal mistake to make…
 When Jupiter went to make himself heard elsewhere,
The beautiful woman, released from her fear
And with all her courage regained
Went back to her own hearth to get her husband dried.
Fixing me a date for all thundery weather
A date arranged for the next storm.
 From that day on, I never more let my eyes drop
I devoted my time to observing the skies,
To watching the clouds going by,
Gazing at the stratus, peering at the nimbus
Casting fond eyes on the least bit of cumulus
But she hasn’t come back again.
 Her good husband had secured so much business
Sold so many li'l bits of iron on that night
That he’d become a millionaire
And had taken her away to skies always blue
Idiotic countries where never does it rain
Where nothing is known of thunder.
 May God grant that my lament goes forth loud and clear
To speak to her of rain, to speak of foul weather
That we faced up to together
To tell her that a certain deadly thunderbolt
Hit its target in my heart leaving the trace
Of a small flower that is like her…",fr_XX,en_XX
"Ô vous, les arracheurs de dents,
Tous les cafards, les charlatans,
Les prophètes,
Comptez plus sur Oncle Archibald
Pour payer les violons du bal
À vos fêtes … (bis)
 En courant sus à un voleur
Qui venait de lui chiper l'heure
À sa montre,
Oncle Archibald, - coquin de sort !
Fit, de Sa Majesté La Mort,
La rencontre ... (bis)
 Telle une femme de petite vertu,
Elle arpentait le trottoir du
Cimetière,
Aguichant les hommes en troussant
Un peu plus haut qu'il n'est décent
Son suaire ... (bis)
 Oncle Archibald, d'un ton gouailleur,
Lui dit : « va-t'en faire pendre ailleurs
Ton squelette ...
Fi ! des femelles décharnées !
Vive les belles un tantinet
Rondelettes ! » (bis)
 Lors, montant sur ses grands chevaux,
La mort brandit la longue faux
D'agronome
Qu'elle serrait dans son linceul,
Et faucha d'un seul coup, d'un seul,
Le bonhomme ... (bis)
 Comme il n'avait pas l'air content,
Elle lui dit : « Ça fait longtemps
Que je t'aime ...
Et notre hymen à tous les deux
Était prévu depuis l' jour de
Ton baptême ... » (bis)
 « Si tu te couches dans mes bras,
Alors la vie te semblera
Plus facile ...
Tu y seras hors de portée
Des chiens, des loups, des hommes et des
Imbéciles ... » (bis)
 « Nul n'y contestera tes droits,
Tu pourras crier : viv' le roi !
Sans intrigue ...
Si l'envie te prend de changer,
Tu pourras crier sans danger
Viv' la Ligue ! » (bis)
 Ton temps de dupe est révolu,
Personne ne se payera plus
Sur ta bête ...
Les Plaît-il, maître ? auront plus cours,
Plus jamais tu n'auras à cour-
-ber la tête... » (bis)
 Et mon oncle emboîta le pas
De la belle, qui ne semblait pas,
Si féroce...
Et les voilà, bras d'ssus, bras d'ssous,
Les voilà partis je n' sais où
Faire leurs noces... (bis)
 Ô vous, les arracheurs de dents
Tous les cafards, les charlatans,
Les prophètes,
Comptez plus sur Oncle Archibald
Pour payer les violons du bal
À vos fêtes... (bis)","Oh you, you barefaced liars
All the sneaks, all the charlatans
The psychics,
Don’t count now on Archibald’s money
To grab for yourselves and fritter away
At your parties... (Repeat)
 While running after a thief
Who’d just stolen his time of day
On his watch
Uncle Archibald—Gracious sakes!
Met with Her Majesty Death
Face to face... (Repeat)
 Like a woman of loose morals
She was pacing up and down the cemetery sidewalk
Attracting the men by tucking
A little higher than is decent
The shroud she wore... (Repeat)
 Uncle Archibald, derisively
Said to her, “Go hang it up elsewhere
Your skeleton...
To hell with skinny females!
Long live the beauties a bit
On the chubby side!"" (Repea
 Then, getting on her high horses
Death brandished the long-bladed scythe
Used by farmers
Which she held tightly in her shroud
And cut down with a single stroke
The good fellow… (Repeat)
 As he was looking none so pleased
She said to him: ""It’s been a time
That I’ve loved you
And the nuptials for us both
Were planned right back on the day that
You were baptized...""(Repeat)
 ""If you can lie down in my arms
Then life will begin to seem to you
A lot easier
Safe in there you’ll be out of reach
Of dogs, of wolves, of men, and of
Imbeciles..."" (Repeat)
 ""No one will contest your rights there
You can shout out, 'Long live the King'
Quite openly...
If you feel like making a change
You can shout out without danger
'Long live the League!'"" (Repeat)
 ""Your time as a dupe is over
People won’t treat themselves anymore
From your account.
'May I, master?' will end its usage
Never again will you have to
Bow your head..."" (Repeat)
 And my uncle followed on the heels
Of the beauty, who did not seem
So fierce
And there the two linked, arm in arm
There they were, gone, I know not where
To their wedding.
 Oh you, you barefaced liars
All the sneaks, all the charlatans
The psychics,
Don’t count now on Archibald’s money
To grab for yourselves and fritter away
At your parties... (Repeat)",fr_XX,en_XX
