original_poem,translated_poem,src_lang,tgt_lang
"Reviens bien vite
Les jours sont froids
Et sans limite
Les nuits sans toi
Quand on se quitte
On oublie tout
Mais revenir est si doux
 Si ma tristesse
Peut t'émouvoir
Avec tendresse
Reviens un soir
Et dans tes bras
Tout renaîtra
 J'attendrai
Le jour et la nuit,
J'attendrai toujours
Ton retour
J'attendrai
Car l'oiseau qui s'enfuit
Vient chercher l'oubli
Dans son nid
 Le temps passe et court
En battant tristement
Dans mon cœur si lourd
Et pourtant, j'attendrai
Ton retour","Volte bem logo
Os dias estão frios
E as noites sem você
São intermináveis
Quando um casal se separa
Esquecem tudo
Mas voltar é tão doce
 Se a minha tristeza
Pode te emocionar
Com ternura
Volte uma noite
E em seus braços
Tudo renascerá
 Eu esperarei
O dia e a noite
Esperarei sempre
Seu retorno
Eu esperarei
Pois o pássaro que foge
Vem procurar o esquecimento
Em seu ninho
 O tempo passa e corre
Batendo tristemente
Em meu coração tão pesado
E, no entanto, esperarei
Seu retorno",fr_XX,pt_XX
"Hé ! petite fille !
tu bois de l'eau
et tu es soules
là ou tu te noie
tu a beau avoir pied tu coules
au port
 Hé ! petite folle !
c'est pas la brasse
c'est le crawl
pour la traversée
il t'aurai fallu des épaules
du corps
 Mais lui c'est différent,
il est né sur l'océan
c'est un grand capitaine,
un amant monument,
tu t'es perdue dedans...
 Hé ! petite fille !
on est jamais deux à partir
y en a toujours un pour larguer
l'autre pour languir
au port
 Hé ! petite cruche !
avec tes pots de confiture
tu partiras en sucette
mais pas à l'aventure
au Nord
 Mais lui c'est différent,
il est né sur le Mont Blanc
c'est un grand alpiniste,
un amant monument
tu as perdu sa piste...
 Hé ! petite nonne !
si l'au-delà si tu le trouves
le ramène pas au cardinal
pour qu'il te l'ouvre
encore
 Hé ! petite larve !
je suis toi-même et je te parle
tu es déjà grande
alors lève toi
sors de ta cale
Au port
ton cœur de petite fille est mort
 Hé ! petite fille !
à ta droite l'Arc de Triomphe
Hé ! petite fille !
à ta gauche il y a dieu qui ronfle
Hé ! petite fille !
devant il y a les pyramide
Hé ! petite fille !
derrière le génie de la Bastille.","Ei, menina!
tu bebes água
e estás bêbeda
aí onde te afogas
por mais que tenhas pé, afundar-te-ás
no porto
 Ei! rapariga maluca!
não é o nado de peito
é o crawl
para a travessia
terias precisado de ombros
do corpo
 Mas ele é diferente,
ele nasceu sobre o oceano
é um grande capitão,
um amante monumental,
tu perdeste-te nele...
 Ei, menina!
nunca somos dois
há sempre um para deixar
o outro a definhar
no porto
 Ó menina!
com os vossos frascos de compota
vais a caminho
mas não à aventura
ao Norte
 Mas ele é diferente,
ele nasceu no Mont Blanc
é um grande alpinista,
um amante monumental
perdeste a seu rasto...
 Ei! Pequena freira!
se o encontrares na outra vida
não o leves ao cardeal
para que ele te o abra
outra vez
 Ei! Pequena larva!
Sou tu mesmo e falo-te
já és crescido
Por isso levanta-te
sai do teu porão
No porto
teu coração de menina está morto
 Ei! menina!
à tua direita o Arco do Triunfo
Ei! menina!
à tua esquerda há Deus que ressona
Ei! menina!
À tua frente há as pirâmides
Ei! menina!
atrás do génio da Bastilha.",fr_XX,pt_XX
"Viens et dis-moi
Les mots qui font de moi
L'été...
 Chaud ! Chaud ! Chaud ! Chaud !
Chaud ! Chaud ! Chaud ! Chaud !
 Sorti de la playa, mamma mia che calor nella discoteca
Han han !
Sorti de la playa, mamma mia un tropico in discoteca
Han han !
 Un climat, cocotier
Les temps forts des degrés
Wouaha ! J'ai chaud
Prends mes mains quand j'ai mal
Avec toi c'est champagne
Wouaha ! J'ai chaud
 L'océan dessine sur la toile de mon bateau
La passion résonne dans les tripes de mon piano
 Tropique au compteur
Change pas l'moteur
Tropique dans ton coeur
Change pas l'moteur
 Chaud ! Chaud ! Chaud ! Chaud !
Chaud ! Chaud ! Chaud ! Chaud !
 Un funky dans mon micro
Vous bougez sur le tempo
Wouaha ! J'ai chaud
 L'océan dessine sur la toile de mon bateau
La passion résonne dans les tripes de mon piano
 Tropique au compteur
Change pas l'moteur
Tropique dans ton coeur
Change pas l'moteur
Tropique au compteur
Change pas l'moteur
Tropique dans ton coeur
Change pas l'moteur","Vem e me diz
As palavras que me fazem
O verão...
 (Quente! Quente! Quente! Quente!
Quente! Quente! Quente! Quente!)
 Fora da praia, minha nossa, que calor na discoteca
Hã hã!
Fora da praia, minha nossa, um trópico na discoteca
Hã hã!
 Um clima de coqueiral
E o mais cálido do verão
Puxa, que calor!
Pega as minhas mãos quando eu me sentir mal
Com você toma-se champanhe
Puxa, que calor!
 O oceano desenha na tela do meu barco
A paixão ressoa nas entranhas do meu piano
 Trópico no medidor
Não troca o motor
Trópico no seu coração
Não troca o motor
 (Quente! Quente! Quente! Quente!
Quente! Quente! Quente! Quente!)
 Um funky soa no microfone
Enquanto vocês dançam com o ritmo
Puxa, que calor!
 O oceano desenha na tela do meu barco
A paixão ressoa nas entranhas do meu piano
 Trópico no medidor
Não troca o motor
Trópico no seu coração
Não troca o motor
Trópico no medidor
Não troca o motor
Trópico no seu coraçao
Não troca o motor",fr_XX,pt_XX
"Be me!
 Be me, be me, be me
Be me, be me, oh-oh!
(repeat ×3)
 Dis-moi mon autre, dis-moi schizophrénie
Deviens mon cœur, deviens mélancolie
Et dans la solitude de mes nuits
Deviens-moi, deviens-toi, sois-moi, be me…
 Be me, be me, be me
Be me, be me, oh-oh!
(repeat…)
 Je sens monter en moi tes doigts qui glissent
Férocité de nos deux corps qui jouissent
J’entends tes mots, ta voix à l’infini
Deviens-moi, deviens-toi, sois-moi, be me…
 Be me, be me, be me
Be me, be me, oh-oh
(repeat…)
 Pont musical
 Be me, be me, be me
Be me, be me, oh-oh!
(...)","Seja eu!
 Seja eu, seja eu, seja eu
Seja eu, seja eu, oh-oh!
(repete ×3)
 Diga-me, meu outro, diga-me, esquizofrenia
Torne-se meu coração, torne-se melancolia
E na solidão das minhas noites
Torne-se eu, torne-se você, seja eu, seja eu...
 Seja eu, seja eu, seja eu
Seja eu, seja eu, oh-oh!
(repete…)
 Sinto subir em mim teus dedos que deslizam
Ferocidade de nossos dois corpos que gozam
Ouço tuas palavras, tua voz ao infinito
Torne-se eu, torne-se você, seja eu, seja eu...
 Seja eu, seja eu, seja eu
Seja eu, seja eu, oh-oh
(repete…)
 Ponte musical
 Seja eu, seja eu, seja eu
Seja eu, seja eu, oh-oh!
(...)",fr_XX,pt_XX
"(It's beyond my control)
 Je ne comprends plus pourquoi
J'ai du sang sur mes doigts
Il faut que je te rassure
Je soignerai bien tes blessures, mon amour
Tu n'as plus vraiment le choix
Nos deux corps étendus là
Qu'à l'aube, ils se mélangent
Là, tu as les yeux d'un ange, mon amour
 Lâche ! (It's beyond my control)
C'est plus fort que toi
Toujours en cavale (It's beyond my control)
Tu dis : « j'ai besoin de tes bras »
Oh, lâche ! (It's beyond my control)
Mais c'est plus fort que toi
Tu nous fais du mal (It's beyond my control)
Ne t'éloigne pas de mes bras
 Je ne comprends plus pourquoi
J'ai du sang sur mes doigts
Dors en paix, je t'assure
Je veillerai ta sépulture, mon amour
C'était plus fort que moi
Même si je sens là l'effroi envahir tout mon être
Je te rejoindrai peut-être, mon amour
 Lâche ! (It's beyond my control)
C'est plus fort que toi
Toujours en cavale (It's beyond my control)
Tu dis : « J'ai besoin de tes bras »
Oh, lâche ! (It's beyond my control)
Mais c'est plus fort que toi
Tu nous fais du mal (It's beyond my control)
Ne t'éloigne pas de mes bras
 (It's beyond my control)
(It's beyond my control)
 Oh, lâche ! (It's beyond my control)
Mais c'est plus fort que toi
Toujours en cavale (It's beyond my control)
Tu nous fais du mal (It's beyond my control)
Ne t'éloigne pas de mes bras
 Lâche ! (It's beyond my control)
C'est plus fort que toi
Toujour en cavale (It's beyond my control)
Tu dis : « J'ai besoin de tes bras »
Oh, lâche ! (It's beyond my control)
Mais c'est plus fort que toi
Tu nous fais du mal (It's beyond my control)
Ne t'éloigne pas de mes bras
 Lâche ! (It's beyond my control)
(It's beyond my control)
(It's beyond my control)
(It's beyond my control)
(It's beyond my control)","(Está além do meu controle)
 Não entendo mais o porquê
Tenho sangue nos dedos
Preciso te tranquilizar
Vou cuidar bem dos teus ferimentos, meu amor
Você já não tem muita escolha
Nossos dois corpos deitados ali
Que ao amanhecer se misturam
Aí, você tem olhos de anjo, meu amor
 Covarde! (Está além do meu controle)
É mais forte que você
Sempre em fuga (Está além do meu controle)
Você diz: “Preciso dos seus braços”
Ah, covarde! (Está além do meu controle)
Mas é mais forte que você
Você nos machuca (Está além do meu controle)
Não se afaste dos meus braços
 Não entendo mais o porquê
Tenho sangue nos dedos
Dorme em paz, eu te juro
Cuidarei do teu túmulo, meu amor
Foi mais forte que eu
Mesmo que eu sinta agora o pavor invadir todo o meu ser
Talvez eu te reencontre, meu amor
 Covarde! (Está além do meu controle)
É mais forte que você
Sempre em fuga (Está além do meu controle)
Você diz: “Preciso dos seus braços”
Ah, covarde! (Está além do meu controle)
Mas é mais forte que você
Você nos machuca (Está além do meu controle)
Não se afaste dos meus braços
 (Está além do meu controle)
(Está além do meu controle)
 Ah, covarde! (Está além do meu controle)
Mas é mais forte que você
Sempre em fuga (Está além do meu controle)
Você nos machuca (Está além do meu controle)
Não se afaste dos meus braços
 Covarde! (Está além do meu controle)
É mais forte que você
Sempre em fuga (Está além do meu controle)
Você diz: “Preciso dos seus braços”
Ah, covarde! (Está além do meu controle)
Mas é mais forte que você
Você nos machuca (Está além do meu controle)
Não se afaste dos meus braços
 Covarde! (Está além do meu controle)
(Está além do meu controle)
(Está além do meu controle)
(Está além do meu controle)
(Está além do meu controle)",fr_XX,pt_XX
"Là, dégouttée de ce monde
Sous la lampe, un dernier songe
J'entends ta voix, malgré tout ça
Et tes mots « respecter l’autre »
 'Cause in all the worlds I come upon
I never saw another world
That sparkled like your diamond in the sun
La chambre même est sans pitié
Le paradis tombe à mes pieds
Pourtant
We know, we know
Ta voix dit jamais
 N'oublie pas
Conduite par une étoile
Jamais, n'oublie pas
I promise where you are
Un point dans l'univers
It's a love, it's everywhere
Jamais n'oublie pas
C'est moi…
 Un point dans l'univers
It's a love, it's everywhere
Jamais, n'oublie pas
No, no, no
 Sous terre, il y a le silence
Ma mémoire qui rentre tard
Je pense à toi
Don’t you think twice
Been lost but now I finally know
 Et tous ces signes que tu envoies
Qui me chavirent à chaque fois
With déjà vu we’ll rearrange the stars
And even on a silent sea
Your constellation carries me
Alone, you know,
Mais l'horizon dit jamais
 N'oublie pas
Conduite par une étoile
Jamais, n'oublie pas
I promise where you are
Un point dans l'univers
It's a love, it's everywhere
Jamais n'oublie pas
C'est moi…
 Un point dans l'univers
It's a love, it's everywhere
Jamais, n'oublie pas
No, no, no
 We feel it in our bones
We feel it in our bones
We feel it in our bones
Jamais, n’oublie pas, c’est moi
You know…
 N'oublie pas
Conduite par une étoile
Jamais, n'oublie pas
I promise where you are
Un point dans l'univers
It's a love, it's everywhere
Jamais n'oublie pas
C'est moi…
 Un point dans l'univers
It's a love, it's everywhere
Jamais, n'oublie pas
No, no, no","Lá, desgostosa deste mundo
Sob a lâmpada, um último sonho
Ouço tua voz, apesar de tudo isso
E tuas palavras: ""respeitar o outro""
 Porque em todos os mundos por onde passei
Nunca vi outro mundo
Que brilhasse como teu diamante ao sol
O próprio quarto é impiedoso
O paraíso cai aos meus pés
Porém
Nós sabemos, nós sabemos
Tua voz diz: jamais
 Não esqueça
Guiada por uma estrela
Jamais, não esqueça
Prometo, onde quer que esteja
Um ponto no universo
É amor, está em toda parte
Jamais não esqueça
Sou eu...
 Um ponto no universo
É amor, está em toda parte
Jamais, não esqueça
No, no, no
 Sob a terra, há o silêncio
Minha memória que chega tarde
Eu penso em ti
Não duvide
Estive perdida, mas agora finalmente sei
 E todos esses sinais que envias
Que me balançam a cada vez
Com déjà vu, rearranjaremos as estrelas
E mesmo em um mar silencioso
Tua constelação me guia
Sozinha, sabe,
Mas o horizonte diz: jamais
 Não esqueça
Guiada por uma estrela
Jamais, não esqueça
Prometo, onde quer que esteja
Um ponto no universo
É amor, está em toda parte
Jamais não esqueça
Sou eu...
 Um ponto no universo
É amor, está em toda parte
Jamais, não esqueça
No, no, no
 Sentimos isso em nossos ossos
Sentimos isso em nossos ossos
Sentimos isso em nossos ossos
Jamais, não esqueça, sou eu
Você sabe...
 Não esqueça
Guiada por uma estrela
Jamais, não esqueça
Prometo, onde quer que esteja
Um ponto no universo
É amor, está em toda parte
Jamais não esqueça
Sou eu...
 Um ponto no universo
É amor, está em toda parte
Jamais, não esqueça
No, no, no",fr_XX,pt_XX
"Compter les heures
L'eau est rare
Et descendre
Au plus profond de soi
L'édifice est solide
Je le vois
 Redonner de la vie aux années
Redonner aussi le goût d'aimer
Apprendre à écrire ses blessures
Dans le sable
Qui murmure
 I feel it
I feel it
I feel it
I feel love
 Dieu nous fait à son image
Et pour mieux tourner la page
Nul regret du passé
I feel love
 Rallumer les étoiles
Rallumer les étoiles
Rallumer les étoiles
Rallumer les étoiles
 Compter les heures
Même tard
S'apercevoir
Qu'on a plus peur du noir
Accueillir dans ses entrailles
Ses failles
 Juste un détail
Ne plus se faire de mal
Juste un détail
Le déluge après moi
 I feel it
I feel it
I feel it
I feel love
 Dieu nous fait à son image
Et pour mieux tourner la page
Nul regret du passé
I feel love","Contar as horas
A água é rara
E descer
Ao mais profundo de si
O edifício é sólido
Eu vejo isso
 Dar vida de volta aos anos
Devolver também o gosto de amar
Aprender a escrever suas feridas
Na areia
Que sussurra
 Eu sinto isso
Eu sinto isso
Eu sinto isso
Eu sinto amor
 Deus nos fez à sua imagem
E para melhor virar a página
Nenhum arrependimento do passado
Eu sinto amor
 Reacender as estrelas
Reacender as estrelas
Reacender as estrelas
Reacender as estrelas
 Contar as horas
Mesmo tarde
Perceber
Que já não se tem medo do escuro
Acolher em suas entranhas
Suas falhas
 Apenas um detalhe
Não se machucar mais
Apenas um detalhe
O dilúvio depois de mim
 Eu sinto isso
Eu sinto isso
Eu sinto isso
Eu sinto amor
 Deus nos fez à sua imagem
E para melhor virar a página
Nenhum arrependimento do passado
Eu sinto amor",fr_XX,pt_XX
"J'suis morte
Le clou, fermez la porte
 I have been crawling dans le noir des chrysanthèmes
Et moi je spleen en dessous
Nos rimes, nos rengaines allongées à perdre haleine
I know kinds of desire de vous
 All my love
All my love à jamais entre nous
Out of sight
Out of sight I've been dreaming of you
 [Refrain]
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
 I have been crying et pour l’âme j'ai de la peine
Mais là je spleen en dessous
No line no dessert c'est la seize à plein regime
I know kinds of desire de tout
 All my love
All my love à jamais entre nous
Out of sight
Out of sight I've been dreaming of you
 [Refrain]
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
 Le clou, fermez la porte
La vie comme un conte
Ce qui y a partout
Ce n'est pas sa longueur
Mais c'est sa valeur
 All my love
All my love à jamais entre nous
Out of sight
Out of sight I've been dreaming of you
 [Refrain]
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
Je laisse mon corps tout en dessous
Je laisse mon corps se fondre en vous
 Je n'ai plus rien à faire
J'suis à jamais sous terre
Je n'ai plus rien à faire
J'suis à jamais sous terre","Estou morta
O prego, fechem a porta
 Estive rastejando na escuridão dos crisântemos
E eu, melancólica por dentro
Nossas rimas, nossos refrãos estendidos até perder o fôlego
Conheço todos os tipos de desejo por vocês
 Todo o meu amor
Todo o meu amor, para sempre entre nós
Fora de vista
Fora de vista, tenho sonhado com você
 [Refrão]
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
 Estive chorando e pela alma sinto pena
Mas agora estou melancólica por dentro
Sem linha, sem sobremesa, esta é a dezesseis a todo vapor
Conheço todos os tipos de desejo de tudo
 Todo o meu amor
Todo o meu amor, para sempre entre nós
Fora de vista
Fora de vista, tenho sonhado com você
 [Refrão]
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
 O prego, fechem a porta
A vida como um conto
O que importa não
é o quanto dura
Mas o seu valor
 Todo o meu amor
Todo o meu amor, para sempre entre nós
Fora de vista
Fora de vista, tenho sonhado com você
 [Refrão]
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
Deixo meu corpo lá embaixo
Deixo meu corpo se fundir em vocês
 Não tenho mais nada a fazer
Estou para sempre debaixo da terra
Não tenho mais nada a fazer
Estou para sempre debaixo da terra",fr_XX,pt_XX
"Retenir l’eau
Qui est dans sa paume
Sentir tout
Et on a beau
Serrer les doigts
J’ai froid
Mais l’eau...
 Mais l’eau s’échappe
Goutte-à-goutte
C’est fragile
Fragile est l’être
En proie aux doutes
Écoute
 Et quand
La mort est...
Là, dedans la peau
Et quand
L’épreuve
Et quand j’entends
Trop de vraies souffrances
C’est comme
Un miroir
Comme un bouche-à-bouche
Je sens
Un souffle
Qui naît à l’unisson
Mon double
 Retenir l’eau
Qui est dans sa paume
Dis-moi tout
Quand on a tant
Besoin de l’autre
Faire quoi ?
Et là...
 Tu pars et caches
Sans aucun doute
Un tragique
Gouttes de vie
Qui tombent et coulent
Je coule
 Et quand
La mort est...
Là, dedans la peau
Et quand
L’épreuve....
Et quand j’entends
Trop de
Tes souffrances
C’est comme
Un miroir
Comme un bouche-à-bouche
En moi
Ton souffle
Qui naît
Et qui sait
Et qui aime
 Et quand
La mort est...
Là, dedans la peau
Et quand
L’épreuve
Et quand j’entends
Trop de vraies souffrances
C’est comme
Un miroir
Comme un bouche-à-bouche
Je sens
Un souffle
Qui naît à l’unisson
Mon double","Reter a água
Que está na palma da mão
Sentir tudo
E por mais que
Apertemos os dedos
Eu sinto frio
Mas a água...
 Mas a água escapa
Gota a gota
É frágil
Frágil é o ser
Tomado pela dúvida
Escuta
 E quando
A morte está...
Lá, dentro da pele
E quando
A provação
E quando ouço
Muitas dores reais
É como
Um espelho
Como um boca a boca
Sinto
Um sopro
Que nasce em uníssono
Meu duplo
 Reter a água
Que está na palma da mão
Diga-me tudo
Quando se tem tanta
Necessidade do outro
Fazer o quê?
E então...
 Você parte e esconde
Sem a menor dúvida
Um trágico
Gotas de vida
Que caem e escorrem
Eu me afogo
 E quando
A morte está...
Lá, dentro da pele
E quando
A provação...
E quando ouço
Muitas
Das tuas dores
É como
Um espelho
Como um boca a boca
Em mim
O teu sopro
Que nasce
E que sabe
E que ama
 E quando
A morte está...
Lá, dentro da pele
E quando
A provação
E quando ouço
Muitas dores reais
É como
Um espelho
Como um boca a boca
Sinto
Um sopro
Que nasce em uníssono
Meu duplo",fr_XX,pt_XX
"Comment te dire
Ma réalité ?
Dans mon manteau
L'eau qui a coulé
Et yey
 Comment lui dire ?
Comment l'épargner ?
Dans son corps un ""sick""
Un ""croc"" s'est caché
 Mais je suis là
Pour toi
Ne plus te laisser
L'envie de sauter
Dans l'océan
 Et je suis là
Pour toi
J'apprends à lâcher
J'oublierai la vie
Une fois dedans
 Comment te dire
Ma réalité ?
Nuit de délires
Tout est chimioté
Et yey
 Comment lui dire
Que l'immensité
Remplit un vide ?
Le rideau est tombé
 Mais je suis là
Pour toi
Ne plus te laisser
L'envie de sauter
Dans l'océan
 Et je suis là
Pour toi
J'apprends à lâcher
J'oublierai la vie
Une fois dedans","Como te dizer
Minha realidade?
No meu casaco
A água que escorreu
E yey
 Como dizer a ele?
Como poupá-lo?
Em seu corpo, um ""sick""
Um ""croc"" se escondeu
 Mas eu estou aqui
Por você
Não mais te deixar
Com vontade de pular
No oceano
 E eu estou aqui
Por você
Aprendo a soltar
Esquecerei a vida
Uma vez lá dentro
 Como te dizer
Minha realidade?
Noites de delírio
Tudo quimicamente alterado
E yey
 Como dizer a ele
Que a imensidão
Preenche um vazio?
A cortina caiu
 Mas eu estou aqui
Por você
Não mais te deixar
Com vontade de pular
No oceano
 E eu estou aqui
Por você
Aprendo a soltar
Esquecerei a vida
Uma vez lá dentro",fr_XX,pt_XX
