original_poem,translated_poem,src_lang,tgt_lang
"Le vent dans tes cheveux blonds
Le soleil à l'horizon
Quelques mots d'une chanson
Que c'est beau, c'est beau la vie
 Un oiseau qui fait la roue
Sur un arbre déjà roux
Et son cri par-dessus tout
Que c'est beau, c'est beau la vie
 Tout ce qui tremble et palpite
Tout ce qui lutte et se bat
Tout ce que j'ai cru trop vite
À jamais perdu pour moi
 Pouvoir encore regarder
Pouvoir encore écouter
Et surtout pouvoir chanter
Que c'est beau, c'est beau la vie
 Le jazz ouvert dans la nuit
Sa trompette qui nous suit
Dans une rue de Paris
Que c'est beau, c'est beau la vie
 La rouge fleur éclatée
D'un néon qui fait trembler
Nos deux ombres étonnées
Que c'est beau, c'est beau la vie
 Tout ce que j'ai failli perdre
Tout ce qui m'est redonné
Aujourd'hui me monte aux lèvres
En cette fin de journée
 Pouvoir encore partager
Ma jeunesse, mes idées
Avec l'amour retrouvé
Que c'est beau, c'est beau la vie
 Pouvoir encore te parler
Pouvoir encore t'embrasser
Te le dire et le chanter
Oui, c'est beau, c'est beau la vie","O vento nos teus cabelos louros
O sol no horizonte
Algumas palavras de uma canção
Como é bela, como é bela a vida.
 Um pássaro a fazer uma roda de carroça
Numa árvore que já é vermelha
E o seu grito acima de tudo
Como é bela, como é bela a vida.
 Tudo o que treme e palpita,
Tudo o que se debate e luta,
Tudo o que pensei demasiado cedo,
Para sempre perdido para mim...
 Para poder olhar de novo,
Ainda poder ouvir
E acima de tudo ser capaz de cantar,
Como é bela, como é bela a vida.
 Jazz aberto na noite,
O seu trompete a seguir-nos
Numa rua de Paris,
Como é bela, como é bela a vida.
 A flor vermelha rebenta,
De um letreiro de néon que faz tremer
As nossas duas sombras estupefactas,
Como é bela, como é bela a vida.
 Tudo o que eu quase perdi,
Tudo o que me é devolvido,
Hoje está nos meus lábios
No final deste dia.
 Para poder partilhar
A minha juventude, as minhas ideias
Com o amor reencontrado,
Como é bela, como é bela a vida.
 Ainda posso falar contigo,
Ainda te posso beijar
Para te dizer e cantar.
Sim, é bela, é bela a vida.",fr_XX,pt_XX
"Raconte-moi la mer
Dis-moi le goût des algues
Et le bleu et le vert
Qui dansent sur les vagues
La mer c'est l'impossible
C'est le rivage heureux
C'est le matin paisible
Quand on ouvre les yeux
C'est la porte du large
Ouverte à deux battants
C'est la tête en voyage
Vers d'autres continents
C'est voler comme Icare
Au-devant du soleil
En fermant sa mémoire
A ce monde cruel
La mer c'est le désir
De ce pays d'amour
Qu'il faudra découvrir
Avant la fin du jour
 Raconte-moi la mer
Dis-moi ses aubes pâles
Et le bleu et le vert
Où tombent des étoiles
La mer c'est l'innocence
Du paradis perdu
Le jardin de l'enfance
Où rien ne chante plus
C'est l'écume et le sable
Toujours recommencés
Et la vie est semblable
Au rythme des marées
C'est l'infinie détresse
Des choses qui s'en vont
C'est tout ce qui nous laisse
A la morte saison
La mer c'est le regret
De ce pays d'amour
Que l'on cherche toujours
Et qu'on n'atteint jamais
Raconte-moi la mer
Dis-moi le goût des algues
Et le bleu et le vert
Qui dansent sur les vagues","Fala-me do mar
Diz-me a que sabem as algas
E o azul e o verde
Dançando nas ondas
O mar é o impossível
É a costa feliz
É uma manhã tranquila
Quando abres os olhos
É a porta para o mar aberto
Aberto com duas asas
É a cabeça numa viagem
Para outros continentes
É voar como Ícaro
Para encontrar o sol
Fechando a tua memória
A este mundo cruel
O mar é desejo
Disto a terra do amor
Que deve ser descoberta
Antes do fim do dia.
 Fala-me do mar
Fala-me das suas pálidas madrugadas
E o azul e o verde
Onde as estrelas caem
O mar é a inocência
Do paraíso perdido
O jardim da infância
Onde já nada canta
É a espuma e a areia
Sempre a começar de novo
E a vida é a mesma
Ao ritmo das marés
É a angústia infinita
De coisas que se vão
É tudo o que nos resta
Na época baixa
O mar é o lamento
Desta terra de amor
Que sempre procuramos
E nunca alcançamos
Fala-me do mar
Diz-me a que sabem as algas
E o azul e o verde
Que dançam nas ondas.",fr_XX,pt_XX
"J'avais dessiné sur le sable
Son doux visage qui me souriait
Puis il a plu sur cette plage
Dans cet orage, elle a disparu
 Et j'ai crié, crié, Aline, pour qu'elle revienne
Et j'ai pleuré, pleuré, oh ! j'avais trop de peine
 Je me suis assis près de son âme
Mais la belle dame s'était enfuie
Je l'ai cherchée sans plus y croire
Et sans un espoir pour me guider
 Et j'ai crié, crié, Aline, pour qu'elle revienne
Et j'ai pleuré, pleuré, oh ! j'avais trop de peine
 Je n'ai gardé que ce doux visage
Comme une épave sur le sable mouillé
 Et j'ai crié, crié, Aline, pour qu'elle revienne
Et j'ai pleuré, pleuré, oh ! j'avais trop de peine
 Et j'ai crié, crié, Aline, pour qu'elle revienne
Et j'ai pleuré, pleuré, oh ! j'avais trop de peine...","Desenhei na areia
O seu rosto doce a sorrir para mim.
Depois choveu na praia
Na tempestade ela desapareceu.
 E eu gritei, gritei, Aline, para que ela voltasse
E chorei, chorei, oh, tinha tanta pena.
 Sentei-me junto da sua alma
Mas a bela senhora tinha fugido.
Procurei por ela sem acreditar
E sem uma esperança a guiar-me.
 E gritei, gritei, Aline, para que ela voltasse,
E chorei, chorei, oh, eu tinha tanta pena.
 Só guardei aquele rosto doce
Como um destroço na areia molhada.
 E gritei, gritei, Aline, para ela voltar,
E eu chorei, chorei, oh, eu tinha tanta pena.
 E gritei, gritei, Aline, para ela voltar,
E eu chorei, chorei, oh, eu tinha tanta pena...",fr_XX,pt_XX
"Si je t'oublie pendant le jour
Je passe mes nuits à te maudire
Et quand la lune se retire
J'ai l'âme vide et le cœur lourd, lourd
 La nuit tu m'apparais immense
Je tends les bras pour te saisir
Mais tu prends un malin plaisir
À te jouer de mes avances
 La nuit je deviens fou, je deviens fou
 Et puis ton rire fend le noir
Et je ne sais plus où chercher
Quand tout se tait revient l'espoir
Et je me reprends à t'aimer
 Tantôt tu me reviens fugace
Et tu m'appelles pour me narguer
Mais chaque fois mon sang se glace
Ton rire vient tout effacer
 La nuit je deviens fou, je deviens fou
 Le jour dissipe ton image
Et tu repars, je ne sais où
Vers celui qui te tient en cage
Celui qui va me rendre fou
 La nuit je deviens fou,
je deviens fou, fou, fou ...","Se me esqueço de ti durante o dia
Passo as minhas noites a amaldiçoar-te
E quando a lua se põe
A minha alma está vazia e o meu coração está pesado.
 À noite pareces-me imensa,
Estendo os meus braços para te agarrar
Mas tu tens um prazer malicioso
Brincando com os meus avanços.
 À noite enlouqueço, enlouqueço.
 E depois o teu riso divide a escuridão
E eu não sei para onde procurar
Quando tudo se cala a esperança volta
E começo a amar-te de novo.
 Por vezes voltas para mim
E chamas-me para me provocar
Mas sempre que o meu sangue se esfria
O teu riso apaga tudo.
 À noite eu enlouqueço, eu enlouqueço.
 O dia dissipa a tua imagem
E tu voltas, não sei para onde
Para aquele que te mantém numa gaiola
Aquele que me vai enlouquecer.
 À noite eu enlouqueço,
Eu enlouqueço, enlouqueço, enlouqueço ...",fr_XX,pt_XX
"Je connais les brumes claires,
la neige blanche et les matins d'hiver.
Je voudrais te retrouver,
le lièvre blanc qu'on ne voit jamais,
mais l'oiseau, l'oiseau s'est envolé
et moi jamais je ne le trouverai.
 Si jamais je rencontrais
ce bel oiseau qui s'est envolé,
s'il revient de son voyage
tout près de toi le long du rivage.
Mais vois-tu, je lui raconterais
combien pour toi je sais qu'il a compté.
 C'est l'oiseau que tu aimais,
l'oiseau jaloux, je l'ai deviné.
S'il revient de son voyage
je lui dirai que tu l'attendais.","Eu conheço as brumas claras,
a neve branca e as manhãs de inverno.
Gostaria de encontrar de novo
a lebre branca que nunca vês,
mas o pássaro, o pássaro voou para longe
e eu nunca o vou encontrar.
 Se alguma vez encontrasse
esse belo pássaro que voou para longe,
se ele regressasse da sua viagem
perto de ti ao longo da costa...
 Mas sabes, eu diria a ele
o quanto ele significava para ti.
Este é o pássaro que amavas,
o pássaro ciumento, adivinhei-o.
Se ele voltasse da sua viagem
Eu direi a ele que você estava esperando por ele.",fr_XX,pt_XX
"Parfois j'te cherche sans te trouver
Alors j'te trouve sans te chercher
Je fais comme si t'étais pas là
Je regarde à côté
 Tu te mets au fond de ma voix
Je fais comme si ça brûlait pas
J'ai fait semblant d'te laisser faire
J'ignore les mâchoires qui se serrent
J'ignore les ongles qui s'insèrent
Dans la paume de la main
 J'faisais semblant d'pas y penser
Je regardais juste à côté
 Ça fait trop longtemps
Que tu restes avec moi
Je crois qu'il est temps de se dire au revoir
 Alors j'te quitte sans te laisser
Comme un boomerang qui ne revient jamais
Tu te mets au fond de mon ventre
Je fais semblant de pas aimer
 J'ai fait semblant d'pas y penser
(J'faisais semblant de pas y penser)
Je regardais juste à côté
 Ça fait trop longtemps
Que tu restes avec moi
Je crois qu'il est temps de se dire au revoir
Demain, je regarderai juste à côté
Faisant semblant de pas espérer que t'es toujours là
 T'es toujours là
T'es toujours là
T'es toujours là","Por vezes, eu te procuro sem te encontrar
Outros eu te encontro sem te procurar
Eu ajo como se você não estivesse aqui
Eu olho pro lado
 Você está no fundo da minha voz
Eu ajo como se você não ardesse mais
Eu estou agindo como se deixasse acontecer
Eu ignoro a mandíbula cerrada
Eu ignoro as unhas que aparecem
Nas palmas da mão
 Eu finjo que não estava pensando nisso
Eu olhava pro lado
 Já passou tempo demais
Que você está comigo
Creio que é hora de dizer adeus
 Então eu fui embora sem te deixar
Como um boomerang que não volta jamais
Você se encontra no fundo do meu ventre
Eu ajo como se não gostasse
 Eu fingi que não estava pensando nisso
(Eu estava fingindo não pensar nisso)
Eu olhava pro lado
 Já passou tempo demais
Que você está comigo
Creio que é hora de dizer adeus
Futuramente eu olharei pro lado
Fingindo que não espero que você ainda esteja aqui
 Você ainda está aqui
Você ainda está aqui
Você ainda está aqui",fr_XX,pt_XX
"J’ai passé ces derniers mois sur internet
A chercher la femme de ma vie
Puis j’ai trouvé celle qui m’a fait tourner la tête
Donc je t’en parle en tant qu’ami
Je sais, t’es content que j’ai trouvé quelqu'un
Mais là j’aimerais qu’tu t’assoie et que t’écoutes bien
 J’veux pas gâcher ta fête, fête
Tu vas trouver ça bête, bête
Mais j’étais sur le net, net
J’ai vu ta mère sur chatroulette-lette
J’ai appuyé sur next, next
J’ai flashé sur sa tête, tête
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette
 Je l’ai vu et j’ai tout de suite compris
Que ma vie prenait un tournant
Je dois reconnaître un petit air de famille
Et ce n’est pas si déplaisant
Bientôt, j’irai là où t’as passé 9 mois
Bientôt tu pourras m’appeler papa
 J’veux pas gâcher ta fête, fête
Tu vas trouver ça bête, bête
Mais j’étais sur le net, net
J’ai vu ta mère sur chatroulette-lette
Entre deux quequettes-quettes
J’ai flashé sur sa tête, tête
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette
 [Parlé]
Tu m’avais dit que toutes les mères étaient des princesses, la tienne est une reine
Je vais l’aimer comme ma fille ou ma sœur ou mon père
 J’veux pas gâcher ta fête, fête
Tu va trouver ça bête, bête
Mais j’étais sur le net,net
J’ai vu ta mère sur chatroulette-lette
J’ai appuyé sur next-next
J’ai flashé sur sa tête-tête
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette
J’ai vu ta mère sur chatroulette","Eu passei esses últimos meses na internet
Procurando a mulher da minha vida
E então, encontrei uma que me enlouqueceu
Estou te falando como amigo
Eu sei, você está feliz que encontrei alguém
Mas agora, quero que você se sente e me escute bem
 Eu não quero estragar a sua festa
Você vai achar isso besteira, mas eu fui na internet e vi a sua mãe no ChatRoulette,
Eu apertei em ""próximo""
Eu desliguei na cara dela
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette
 Eu a vi e logo entendi
Que a minha vida estava pegando um rumo
Reconheço que vejo algo meio familiar, mas não é tão desagradável
Em breve, irei onde você ficou nove meses
Em breve, você poderá me chamar de papai
 Eu não quero estragar a sua festa
Você vai achar isso besteira, mas eu fui na internet e vi a sua mãe no Chatroulette,
Logo depois de um cara pelado
Eu desliguei na cara dela,
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette
 [Falado]
Você me disse que todas as mães são princesas
A sua é uma rainha
Vou amar como minha filha ou minha irmã ou meu pai
 Eu não quero estragar a sua festa
Você vai achar isso besteira, mas eu fui na internet e vi a sua mãe no Chatroulette,
Eu apertei em ""próximo,""
Eu desliguei na cara dela,
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette
Eu vi a sua mãe no ChatRoulette",fr_XX,pt_XX
"Laisse-moi dire deux, trois conneries, avant que t'en fasses une
Le problème de la vie c'est qu'il y en a qu'une
On soignera jamais la dépression comme on soigne un rhume
Mais dis-toi que tu pourras compter sur moi le temps qu'ça dure
 Allergique à la vie, les matins sont obscurs
Quand tout a un arrière goût d'déjà vu
Les nuits sont mortes, tout le monde t'a abandonné, même la lune
Mais la fin du désert se cache peut-être derrière chaque dune
 Tout va s'arranger, c'est faux, je sais qu'tu sais
Des fois j'saurai plus trop quoi dire, mais j'pourrai toujours écouter
Tout va pas changer, enfin, sauf si tu l'fais
Quand t'as l'désert à traverser, il y a rien à faire, sauf d'avancer
Rien à faire sauf d'avancer
 On en rira quand on l'verra sous un jour meilleur
Jour meilleur, jour meilleur
On en rira quand on l'verra sous un jour meilleur
Jour meilleur, jour meilleur, jour meilleur
 Comme dans toutes les chansons d'variét' où les meufs sont parties
Comme dans tous les morceaux de rap où tous tes potes t'ont trahi
Des fois t'as besoin de soutien, des fois t'as besoin d'un ami
Des fois t'as besoin d'avoir la haine, des fois t'as besoin d'un ennemi
 En vrai, tu peux pas tout contrôler faut que tu l'acceptes
Être heureux, c'est comme le reste, faut d'abord apprendre à l'être
En vrai, tu vas te le lit en disant demain j'le fais
Tu t'réveilles en disant demain j'le fais, mon ami
 Tout va s'arranger, c'est faux, je sais qu'tu sais
Des fois j'saurai plus trop quoi dire, mais j'pourrai toujours écouter
Tout va pas changer, enfin, sauf si tu l'fais
Quand t'as l'désert à traverser, il y a rien à faire, sauf d'avancer
Rien à faire sauf d'avancer
 On en rira quand on l'verra sous un jour meilleur
Jour meilleur, jour meilleur
On en rira quand on l'verra sous un jour meilleur
Jour meilleur, jour meilleur, jour meilleur","Deixa-me dizer duas ou três asneiras antes de faças uma...
O problema da vida é que não há mais do que uma
Jamais se curará a depressão com se cura uma constipação
Mas digo-te que poderás contar comigo o tempo que isto dura
 Alérgico à vida, as manhãs são escuras
Quando tudo um gosto antigo a «déjà vu»
As noites estão mortas, todos te abandonaram, até mesmo a lua
Mas o fim do deserto talvez se esconda atrás de cada duna
 Tudo se vai arranjar, é falso, eu sei que tu sabes
Às vezes não terei muito que dizer, mas poderei sempre ouvir
Tudo não vai mudar, enfim, salvo se tu o fizeres
Quando tens deserto a atravessar, não há remédio senão avançar
Não há nada a fazer salvo avançar
 Vamos rir-nos disto quando o virmos à luz de um dia melhor
Um dia melhor, um dia melhor
Vamos rir quando o virmos num dia melhor
Dia melhor, dia melhor, dia melhor
 Como em todas as canções de variedades onde as miúdas partiram
Como em todas as canções de rap onde todos os amigos te traíram
Às vezes precisas de apoio, às vezes precisas de um amigo
Às vezes tu precisas de ter ódio, às vezes tu precisas de um inimigo
 De verdade, não podes controlar tudo, é preciso que o aceites
Ser feliz é como o resto, primeiramente é preciso aprender a sê-lo
Na vida real, vais para a cama e dizes amanhã faço-o
Acordas a dizer que amanhã faço-o, meu amigo
 Tudo se vai resolver, é falso, eu sei que tu sabes
Às vezes não terei muito que dizer, mas sempre serei capaz de escutar
Às vezes não sei o que dizer, mas posso sempre ouvir
Nem i tudo mudar, enfim, a não ser que tu o faças
Quando tens de atravessar o deserto, não há nada a fazer senão seguir em frente
Nada a fazer senão seguir em frente
 Riremos disso quando o virmos num dia melhor
Dia melhor, dia melhor
Riremos disso quando o virmos num dia melhor
Dia melhor, melhor, dia melhor",fr_XX,pt_XX
"Avec elle
Oh, c`est passionnel
Avec elle
C`est consensuel
C`est au-delà des mots
Entre la chair et la peau
On dirait qu`elle sort des jupes de sa maman
On croirait qu`elle n`a jamais eu d`amant
Mais méfiez-vous de la femme-enfant
Méfiez-vous de ses quatorze ans
À cause d`elle
On m`appelle criminel
Criminel
Ma cause est sans appel
 Ils vont m`emmener et ils vont m`enfermer
Ils vont me jeter au trou
Ils vont m`accuser, ils vont me condamner
Ils vont sûrement me rendre fou
À cause d`elle
Criminel
Si tu mets ta bouche
On m`appelle criminel
Tout contre ma bouche
Criminel
Criminel
Oh, si tu me touches
Ma cause est sans appel
Je sors mes cartouches
 Mettez-moi derrière les barreaux
Que je rêve encore à sa peau
Criminel
Criminel
Ton regard qui louche
On m`appelle criminel
Quand je suis sous la douche
Criminel
Criminel
Tes mots qui font mouche
Ma cause est sans appel
Et qui m`effarouchent
 Son petit corps adolescent
Pour vous n`a rien de bien troublant
Vous ne voyez rien de pervers
Dans son regard bleu-vert
Rien d`une femme fatale
Sous ses lèvres trop pâles
Tant pis pour vous
Moi je l`avoue
Qu`avec elle
Criminel
Si je mets ma bouche
Oh, c`est passionnel
Tout contre ta bouche
Avec elle
Criminel
Oh, si tu me touches
C`est irrationnel
Si sur moi tu te couches
Que je rêve encore à sa peau
 Criminel
Ton regard qui louche
On m`appelle criminel
Quand je suis sous la douche
Criminel
Criminel
Tes mots qui font mouche
Ma cause est sans appel
Je n`suis pas si farouche
Criminel
Criminel
Si tu mets ta bouche
Si je pars avec elle
Tout contre ma bouche
Criminel
Criminel
Oh, si tu me touches
Si je dors avec elle
Si sur moi tu te couches
Criminel
Si tu me touches","Com ela
Oh, é passional
Com ela
É consensual
É além das palavras
Entre a cadeira e a pele
Parece que ela acabou de sair da saia da mamãe
Você pensaria que ela nunca teve um amante
Mas tome cuidado com a mulher-criança
Tome cuidado com os seus catorze anos
Por causa dela
Me chamam de criminoso
Criminoso
Minha causa não tem recurso
 Eles vão me levar e me trancar
Eles vão me jogar no buraco
Eles vão me acusar, eles vão me condenar
Eles vão certamente me deixar louco
Por causa dela
Criminoso
Se você encosta sua boca
Me chamam de criminoso
Toda contra minha boca
Criminoso
Criminoso
Oh, se você me toca
Minha causa não tem recurso
Eu saco minha arma
 Me ponha atrás das grades
Eu continuo a sonhar com sua pele
Criminoso
Criminoso
Seu olhar semiaberto
Me chamam de criminoso
Quando estou no chuveiro
Criminoso
Criminoso
Suas palavras acertam na mosca
Minha causa não tem recurso
E isso me assusta
 Seu corpinho adolescente
Para vocês isso não é perturbador
Vocês não vêem nada de perverso
Em seu olhar azul-verde
Nada de uma fêmea fatal
Em seus lábios pálidos demais
Tanto faz para vocês
Eu confesso
Que com ela
Criminoso
Se eu encosto minha boca
Oh, é passional
Todo contra a sua boca
Com ela
Criminoso
Oh, se você me toca
É irracional
Se você se deita sobre mim
Eu continuo a sonhar com sua pele
 Criminoso
Seu olhar semiaberto
Me chamam de criminoso
Quando estou no chuveiro
Criminoso
Criminoso
Suas palavras acertam na mosca
Minha causa não tem recurso
Eu não sou tão feroz
Criminoso
Criminoso
Se você encosta sua boca
Se eu saio com ela
Toda contra a minha boca
Criminoso
Criminoso
Oh, se você me toca
Se eu durmo com ela
Se você se deita sobre mim
Criminoso
Se você me toca",fr_XX,pt_XX
"Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Les comédiens ont installé leurs tréteaux.
Ils ont dressé leur estrade
Et tendu des calicots.
Les comédiens ont parcouru les faubourgs.
Ils ont donné la parade
À grands renfort de tambour.
Devant l'église une roulotte peinte en vert
Avec les chaises d'un théâtre à ciel ouvert
Et derrière eux comme un cortège en folie,
Ils drainent tout le pays, les comédiens.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Si vous voulez voir confondus les coquins
Dans une histoire un peu triste
Où tout s'arrange à la fin,
Si vous aimez voir trembler les amoureux
Vous lamenter sur Baptiste,
Ou rire avec les heureux,
Poussez la toile et entrez donc vous installer
Sous les étoiles le rideau va se lever.
Quand les trois coups retentiront dans la nuit
Ils vont renaître à la vie, les comédiens.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Les comédiens ont démonté leurs tréteaux.
Ils ont ôté leur estrade
Et plié les calicots.
Ils laisseront au fond du cœur de chacun
Un peu de la sérénade
Et du bonheur d'Arlequin.
Demain matin quand le soleil va se lever
Ils seront loin, et nous croirons avoir rêvé.
Mais pour l'instant, ils traversent dans la nuit,
D´autres villages endormis, les comédiens.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.
 Viens voir les comédiens,
Voir les musiciens,
Voir les magiciens,
Qui arrivent.","Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Os atores
Instalaram seus cavaletes
Montaram o seu palco
E estenderam cartazes
Os atores
Percorreram os arrabaldes
Fizeram parada
Com reforço de tambores
Na frente da igreja
Uma carroça pintada de verde
Com as cadeiras
De um teatro ao ar livre
E, atrás deles
Como um cortejo desvairado
Os atores drenam toda região
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Se quiserem ver
O malandro enganado
Numa história um pouco triste
Onde tudo acaba bem
Se gostarem de ver
Os namorados satisfeitos
Se lamentarem por Batista
Ou rirem com os felizes
Empurrem a lona
E entrem, então, para se sentar
Sob as estrelas
A cortina vai se levantar
Quando as três batidas
Soarem na noite
Os atores vão renascer para a vida
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Os atores
Desmontaram seus cavaletes
Tiraram o seu palco
E dobraram seus cartazes
Deixarão
No fundo do coração de cada um
Um pouco da serenata
E da felicidade de Arlequim
Amanhã de manhã
Quando o sol se levantar
Eles estarão longe
E nós acreditaremos ter sonhado
Mas, por enquanto
Os atores atravessam, durante a noite,
Outros vilarejos adormecidos
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando
 Vem ver os atores
Ver os músicos
Ver os mágicos
Que estão chegando",fr_XX,pt_XX
