original_poem,translated_poem,src_lang,tgt_lang
"Quantas vezes olhei para o espelho
Pensando o que ia ser de mim,
Desde que ela foi embora e me deixou assim.
 Seu retrato nas fotos eu vejo,
Seu perfume ainda se faz sentir...
Como esquecer um amor e voltar a sorrir?
 Se ela partiu, tens de seguir teu caminho
E a outra mulher, tu vais dar o teu carinho!
 [Refrão:]
Um coração
Nunca esquece um grande amor
E, quando a vida dá voltas,
Ele às vezes volta
E faz esquecer a dor.
 Um coração,
Acredita que é sincero
E, quando menos se espera,
Volta a primavera
Com um novo amor!
 Quando chega a noite, eu sozinho
Dou meu peito a solidão;
Tento esconder minha mágoa com esta canção.
 Minha vida ficou tão vazia,
A sua ausencia é demais!
Como esquecer um amor? Nao sei se sou capaz!
 Se ela partiu, tens de seguir teu caminho
E a outra mulher, tu vais dar o teu carinho!
 [Refrão:]
Um coração
Nunca esquece um grande amor
E, quando a vida dá voltas,
Ele às vezes volta
E faz esquecer a dor.
 Um coração,
Acredita que é sincero
E, quando menos se espera,
Volta a primavera
Com um novo amor!","So many times I've looked into the mirror
Thinking what would happen to me,
Since she left and left me like this.
 I see her portrait in all the photos,
Her perfume still makes me feel...
How can I forget this love and smile again?
 If she left, you must follow your own path
And you shall give your affection to another woman!
 [Chorus:]
One heart
Never forgets a great love
And, when life takes a turn,
Sometimes it returns
And it makes us forget pain.
 One heart,
Do believe that it is honest
And, when you least expect it,
Spring will return
With a brand new love!
 When night falls, all alone
I open my heart to solitude;
I try to hide my sorrow with this song.
 My life's been left so empty,
Her absence is too much!
How can I forget love? I don't know whether I can do so!
 If she left, you must follow your own path
And you shall give your affection to another woman!
 [Chorus:]
One heart
Never forgets a great love
And, when life takes a turn,
Sometimes it returns
And it makes us forget pain.
 One heart,
Do believe that it is honest
And, when you least expect it,
Spring will return
With a brand new love!",pt_XX,en_XX
"Eu já não suporto ter de ficar sozinha,
Sem ti o meu coração fica a chorar.
Tu és o meu grande amor, és a minha vida
E por isso vem, que eu não quero sofrer demais!
 Entrega-te a mim
E sente a paixão:
O nosso amor é demais que uma ilusão!
 [Refrão:]
Vem fazer amor comigo,
Pra sentir mais uma vez o teu beijar!
Vem fazer amor comigo,
Pra matar o meu desejo de te amar!
 Vem fazer amor comigo,
Pra sentir mais uma vez o teu sabor!
Vem fazer amor comigo,
Pra ficar com o teu cheiro em meus lençóis!
 Vem comigo, amor...
 Eu já não suporto ter de ficar sozinha,
Sem ti o meu coração fica a sofrer.
Pra ter tua paixão em toda uma vida...
Por isso vem, que eu quero me envolver!
 Entrega-te a mim
E sente a paixão:
O nosso amor é demais que uma ilusão!
 [Refrão:]
Vem fazer amor comigo,
Pra sentir mais uma vez o teu beijar!
Vem fazer amor comigo,
Pra matar o meu desejo de te amar!
 Vem fazer amor comigo,
Pra sentir mais uma vez o teu sabor!
Vem fazer amor comigo,
Pra ficar com o teu cheiro em meus lençóis!
 (Instrumental)
 [Refrão:]
Vem fazer amor comigo,
Pra sentir mais uma vez o teu beijar!
Vem fazer amor comigo,
Pra matar o meu desejo de te amar!
 Vem fazer amor comigo,
Pra sentir mais uma vez o teu sabor!
Vem fazer amor comigo,
Pra ficar com o teu cheiro em meus lençóis!","I cannot stand being all alone anymore,
Without you my heart is weeping.
You're my greatest love, you're my life
And that's why you must come, for I don't wanna suffer so much!
 Give yourself to me
And feel the passion:
Our love is so much more than a mere illusion!
 [Chorus:]
Come and make love to me,
So I can feel your kisses once more!
Come and make love to me,
To kill my desire of loving you!
 Come and make love to me,
So I can feel your taste once again!
Come and make love to me,
So your scent can soak into my bed sheets!
 Come with me, my love...
 I cannot stand being all alone anymore,
Without you my heart is suffering.
To keep your love for a lifetime...
That's why you must come, for I wanna be involved with you!
 Give yourself to me
And feel the passion:
Our love is so much more than a mere illusion!
 [Chorus:]
Come and make love to me,
So I can feel your kisses once more!
Come and make love to me,
To kill my desire of loving you!
 Come and make love to me,
So I can feel your taste once again!
Come and make love to me,
So your scent can soak into my bed sheets!
 (Instrumental)
 [Chorus:]
Come and make love to me,
So I can feel your kisses once more!
Come and make love to me,
To kill my desire of loving you!
 Come and make love to me,
So I can feel your taste once again!
Come and make love to me,
So your scent can soak into my bed sheets!",pt_XX,en_XX
"Eram dois pontos no mundo
Tão afastados entre si
E, sem saber bem como,
Eles agora estão aqui.
 Sentados num aeroporto,
Trocando riso e companhia
E, porque são dois pontos,
Eu digo que foi pontaria!
 [Refrão:]
Porque entre dois pontos,
Seja dito em bom rigor,
A distância mais curta
É sempre o amor!
 Também sou um ponto no mundo
E, pontualmente, calha assim
Chegar ao que procuro:
Havia já dentro de mim!
 E deixo estes dois felizes
A espalhar pontinhos por aí
E, certa de existires,
Viajo apontada a ti.
 [Refrão:]
Porque entre dois pontos,
Seja dito em bom rigor,
A distância mais curta
É sempre o amor!
 A distância mais curta
É sempre o amor...","They were two points in this world
So far removed from each other
And, not knowing quite how,
They're now right here.
 Sitting in some airport,
Exchanging both laughter and company
And, since they're two targets,
I say that it's been truly great aiming!
 [Chorus:]
Because between two points,
It must be said with the utmost certainty,
The shortest distance
Is always love!
 I also am a point in this world
And, punctually, by chance
I must find what I'm seeking:
It was already within me!
 And I leave these two happy people
To spread their little points all over
And, sure of the fact that you do exist,
I am journeying straight to you.
 [Chorus:]
Because between two points,
It must be said with the utmost certainty,
The shortest distance
Is always love!
 The shortest distance
Is always love...",pt_XX,en_XX
"Eu o último dos teus grandes amores
Eu 'tou louco por te dar meu coração
Hoje mandando-te estas 24 flores
Recebe-as mulher não digas não
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
E se sentires só teu coração
Recorda-te amor que alguém te chama
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
Se alguém te perguntar de quem são
Tu respondes são de quem me ama
 Se tu andas ocupada com mil coisas
E perdoa-me se eu te interrompi
Hoje mandando-te estas 24 rosas
As horas que por dia penso em ti
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
E se sentires só teu coração
Recorda-te amor que alguém te chama
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
Se alguém te perguntar de quem são
Tu respondes são de quem me ama
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
E se sentires só teu coração
Recorda-te amor que alguém te chama
 Pões-lhe água fresca numa jarra
Dentro do teu quarto e junto à cama
Se alguém te perguntar de quem são
Tu respondes são de quem me ama","I, the last one among your great loves;
I'm crazy to give my heart to you.
Today, as I send you these 24 blossoms,
Do accept them, woman: don't say no!
 You pour fresh water into a vase
In your bedroom and by the bed
And, if you happen to feel lonely in your heart
My love, do remember that somone is calling you!
 You pour fresh water into a vase
In your bedroom and by the bed.
If someone asks you who's given them to you,
You must answer: they're from the one who loves me.
 If you're busy with a thousand other things,
Do forgive me if I'm interrupting you...
Today I'm sending you these 24 roses:
The hours that I spend thinking of you every day!
 You pour fresh water into a vase
In your bedroom and by the bed
And, if you happen to feel lonely in your heart
My love, do remember that somone is calling you!
 You pour fresh water into a vase
In your bedroom and by the bed.
If someone asks you who's given them to you,
You must answer: they're from the one who loves me.
 You pour fresh water into a vase
In your bedroom and by the bed
And, if you happen to feel lonely in your heart
My love, do remember that somone is calling you!
 You pour fresh water into a vase
In your bedroom and by the bed.
If someone asks you who's given them to you,
You must answer: they're from the one who loves me.",pt_XX,en_XX
"Mas se um dia eu chegar muito estranho
Deixa essa água no corpo
Lembrar nosso banho
 Mas se um dia eu chegar muito louco
Deixa essa noite saber
Que um dia foi pouco
 Cuida bem de mim
Então misture tudo
Dentro de nós
Porque ninguém vai dormir nossos sonhos
 Minha cara, pra que tantos planos
Se quero te amar e te amar
E te amar muitos anos
 Quantas vezes eu quis
Ficar solto
Como se fosse uma lua
A brincar no teu rosto
 Cuida bem de mim
Então misture tudo
Dentro de nós
Porque ninguém vai dormir nossos sonhos
 Tantas vezes eu quis
Ficar solto
Como se fosse uma lua
A brincar no teu rosto
 Cuida bem de mim
Então misture tudo
Dentro de nós
Porque ninguém vai dormir nossos sonhos","But if some day I show up very strange
Let this water over your body
Remind you of our baths
 But if one day I show up very crazy
Let this night know
That one day was too little
 Take good care of me
Then mix everything up
Inside us
Because no one will dream our dreams
 Hey hey, darling, why so much planning?
If I want to love and love you
And love you for several years
 Many times I wanted
To be unrestrained
Like a Moon
Playing on your face
 Take good care of me
Then mix everything up
Inside us
Because no one will dream our dreams
 Many times I wanted
To be unrestrained
Like a Moon
Playing on your face
 Take good care of me
Then mix everything up
Inside us
Because no one will dream our dreams",pt_XX,en_XX
"Sorrisos podem ser de faixadas
Abraços podem ser sem graça
Não vem julgar um livro pela capa
Na verdade
Esse som alto no carro é pra parar de ouvir
Sua voz que ficou na cabeça
E esse copo aqui não é pra eu comemorar
É anestesia pra saudade não machucar
 Quem vê minha boca sorrindo não vê meu coração chorando
Eu sofro mas eu minto bem demais
Sei que eu tô mal mas minto bem demais
Quem vê minha boca sorrindo não vê meu coração chorando
Eu sofro mas eu minto bem demais
Sei que eu tô mal mas minto bem demais
Eu minto bem demais
 Na verdade
Esse som alto no carro é pra parar de ouvir
Sua voz que ficou na cabeça
E esse copo aqui não é pra eu comemorar
É anestesia pra saudade não machucar
 Quem vê minha boca sorrindo não vê meu coração chorando
Eu sofro mas eu minto bem demais
Sei que eu tô mal mas minto bem demais
Quem vê minha boca sorrindo não vê meu coração chorando
Eu sofro mas eu minto bem demais
Sei que eu tô mal mas minto bem demais
Eu minto bem demais","Smiles can be a facade
Hugs can be without kindness
Don't judge a book by it's cover
In truth
This high sound in the car is to stop hearing
Your voice that stays in my head
And this glass here isn't for me to commemorate
It's anesthesia for the longing not to hurt
 Whoever sees my mouth smiling doesn't see my heart crying
I'm suffering but I lie so much
I know I'm unwell but I lie so much
Whoever sees my mouth smiling doesn't see my heart crying
I'm suffering but I lie so much
I know I'm unwell but I lie so much
I lie so much
 In truth
This high sound in the car is to stop hearing
Your voice that stays in my head
And this glass here isn't for me to commemorate
It's anesthesia for the longing not to hurt
 Whoever sees my mouth smiling doesn't see my heart crying
I'm suffering but I lie so much
I know I'm unwell but I lie so much
Whoever sees my mouth smiling doesn't see my heart crying
I'm suffering but I lie so much
I know I'm unwell but I lie so much
I lie so much",pt_XX,en_XX
"E descansava nos meus costados
Um ramo verde minha bandeira
No meu vestido uns encarnados
Docilidade tua
Eu tua inteira.","And it rested on my back
A green branch my flag
On my dress some scarlet
Your docility*
I entirely yours",pt_XX,en_XX
"Timmy is an average kid that no one understands
Maman, Papa, Vicky lui donnent sans arrêt des ordres
(Au lit, toi !)
Doch halb so schlimm, für den kleinen Tim, die Zauberfische helfen ihm,
Но вълшебни рибки в миг поделят всеки трик. Страхотни са, нали?
 Eles são seus padrinhos, Padrinhos Mágicos
Ønsk, min dreng, og gok din seng!
Os Padrinhos Mágicos
뚝딱! 뿅뿅! 이얍! 짜잔!
 Voglio farmi un bel gelato
Con crema, mirtilli e cioccolato! Ha!
 Wróżkowie chrzestni, wróżkowie
Si crees que eres particular,
¡Los padrinos aquí están!
(Los Padrinos Mágicos)","Timmy is an average kid that no one understands
Mum, Dad, Vicky give him orders without a break
(Go to bed, you!)
But not all that bad for tiny Tim, the magic fish help him out,
But the magic fish will undo every trick for a moment. They're cooler, aren't they?
 They are his godparents, Fairly OddParents
Wish, my boy, and knock your bed!
The Fairly OddParents
Tick, tack! Aah! Sproing! Shazam!
  I want to make good ice cream
With cream, berries and chocolate! Ha!
  The Fairly OddParents, The Fairly
When you think you're special,
The OddParents are here!
(The Fairly OddParents)",pt_XX,en_XX
"[Refrão]
Descalça numa ilha, é tão mágico
Você dizendo que me ama
A Lua refletindo o mar, o seu cheiro
A gente junto na minha canga
Beijando o corpo inteiro, o vento no cabelo
Me levando pra entrar no mar na noite a dentro
 [Pós-Refrão]
Se essa Lua fosse minha
Eu te levava, amor
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
[Verso 1]
Do melhor jeito de acordar
Você me dando bom dia
Pergunta do que еu quero pro café
Que é pra ver sе é melhor
Já levantar pro dia
Ou ficar brincando na cama
 [Pré-Refrão]
Se quiser, vamo' ficar bem
Um café na cama enquanto 'cê me leva além
A janela de frente pro mar
Fogo com maresia
É o que sinto sobre eu e você
 [Refrão]
Descalça numa ilha, é tão mágico
Você dizendo que me ama
A Lua refletindo o mar, o seu cheiro
A gente junto na minha canga
Beijando o corpo inteiro, o vento no cabelo
Me levando pra entrar no mar na noite a dentro
 [Pós-Refrão]
Se essa Lua fosse minha
Eu te levava, amor
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
 [Verso 2]
Do melhor jeito de acordar
Você me dando bom dia
Pergunta do que eu quero pro café
Que é pra ver se é melhor
Já levanta pro dia
Ou ficar brincando na cama
 [Pré-Refrão]
Se quiser, vamo' ficar bem
Um café na cama enquanto 'cê me leva além
A janela de frente pro mar
Fogo com maresia
É o que sinto sobre eu e você
 [Refrão]
Descalça numa ilha, é tão mágico
Você dizendo que me ama
A Lua refletindo o mar, o seu cheiro
A gente junto na minha canga
Beijando o corpo inteiro, o vento no cabelo
Me levando pra entrar no mar na noite a dentro
 [Pós-Refrão]
Se essa Lua fosse minha
Eu te levava, amor
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
Pra orbitar a Terra enquanto me ama
 [Saída]
Iê-iê, iê-iê, oh-oh
Iê-iê, iê-iê, oh-oh","[Chorus]
Barefoot on a island, is so magical
You saying that you love me
The moon reflecting the sea, your scent
We together on my sarong
Kissing the whole body, the wind in the hair
Taking me to the sea late at night
 [Post-Chorus]
If that moon were mine
I would take you, love
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
[Verse 1]
The best way to wake up
You saying good morning
Asking what I want for breakfast
So I wonder if it's better
To wake up
Or keep fooling around in bed
 [Pre-Chorus]
If you want, we'll be ok
Breakfast in bed while you take me further
The window facing the sea
Fire with a breeze
It's what I feel about you and me
 [Chorus]
Barefoot on a island, is so magical
You saying that you love me
The moon reflecting the sea, your scent
We together on my sarong
Kissing the whole body, the wind in the hair
Taking me to the sea late at night
 [Post-Chorus]
If that moon were mine
I would take you, love
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
 [Verse 2]
The best way to wake up
You saying good morning
Asking what I want for breakfast
So I wonder if it's better
To wake up
Or keep fooling around in bed
 [Pre-Chorus]
If you want, we'll be ok
Breakfast in bed while you take me further
The window facing the sea
Fire with a breeze
It's what I feel about you and me
 [Chorus]
Barefoot on a island, is so magical
You saying that you love me
The moon reflecting the sea, your scent
We together on my sarong
Kissing the whole body, the wind in the hair
Taking me to the sea late at night
 [Post-Chorus]
If that moon were mine
I would take you, love
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
To orbit Earth while you love me
 [Outro]
Iê-iê, iê-iê, oh-oh
Iê-iê, iê-iê, oh-oh",pt_XX,en_XX
"Boladona
 Na madruga boladona
Sentada na esquina
Esperando tu passar
Altas horas da matina
Com o esquema todo armado
Esperando tu chegar
Pra balançar o seu coreto
Pra você de mim lembrar
 Sou cachorra
Sou gatinha
Não adianta se esquivar
Vou soltar a minha fera
Eu boto o bicho pra pegar
 Sou cachorra
Sou gatinha
Não adianta se esquivar
Vou soltar a minha fera
Eu boto o bicho pra pegar
 Boladona
 Na madruga boladona
Sentada na esquina
Esperando tu passar
Altas horas da matina
Com o esquema todo armado
Esperando tu chegar
Pra balançar o seu coreto
Pra você de mim lembrar
 Sou cachorra
Sou gatinha
Não adianta se esquivar
Vou soltar a minha fera
Eu boto o bicho pra pegar
 Sou cachorra
Sou gatinha
Não adianta se esquivar
Vou soltar a minha fera
Eu boto o bicho pra pegar
 Boladona","Badass
 Badass late at night
Sitting at the street corner
Waiting for you to go by
Very late at night
With everything set up
Waiting for you to come
To make a fuss
So you will remember me
 I'm a dog
I'm a kitten
Pointless to dodge
I'll unleash my beast
I put it to chase
 I'm a dog
I'm a kitten
Pointless to dodge
I'll unleash my beast
I put it to chase
 Badass
 Badass late at night
Sitting at the street corner
Waiting for you to go by
Very late at night
With everything set up
Waiting for you to come
To make a fuss
So you will remember me
 I'm a dog
I'm a kitten
Pointless to dodge
I'll unleash my beast
I put it to chase
 I'm a dog
I'm a kitten
Pointless to dodge
I'll unleash my beast
I put it to chase
 Badass",pt_XX,en_XX
