original_poem,translated_poem,src_lang,tgt_lang
"Angola está sofrendo a invasão
De povos estrangeiros, malfeitores
Que se querem fazer conquistadores
Com fúrias de maldade e ambição
Mas Angola não treme junto ao perigo
E afirma com orgulho e com nobreza
Que quer continuar bem Portuguesa
Em vez de se render ao inimigo.
 ANGOLA! Não deixes de ser valente
Mostra bem a toda a gente
Que és de uma raça leal
ANGOLA! Diz ao mundo sem revéses
Que Enquanto Houver Portugueses
Serás Sempre Portugal
 Se há diferença na cor e nada mais
Entre as gentes de Angola e o Continente
Que importa a cor da pele ser diferentes
Se os sangues que nós temos são iguais
Tuas cores não desmentem o que diz
Uma única raça verdadeira
Duas cores tem também nossa bandeira
E também representam um só País.
 ANGOLA! Não deixes de ser valente
Mostra bem a toda a gente
Que és de uma raça leal
ANGOLA! Diz ao mundo sem revéses
Que Enquanto Houver Portugueses
Serás Sempre Portugal","Angola is suffering an invasion
Of foreign peoples, evildoers
Who want to make themselves conquerors
With furies of malice and ambition
But Angola does not tremble at the danger
And affirms with pride and nobility
That it wants to remain Portuguese
Instead of surrendering to the enemy.
 ANGOLA! Don't stop being brave
Show everyone well
that you are of a loyal race
ANGOLA! Tell the world without setbacks
that as long as there is Portuguese
You will always be Portugal.
 If there is a difference in colour and nothing else
Between the people of Angola and the Continent
What does it matter if our skin colour is different?
If the blood we have, is the same
Two colours don't disprove what it say
A single true race
Our flag also has two colours
And they also represent a single country.
 ANGOLA! Don't stop being brave
Show everyone well
that you are of a loyal race
ANGOLA! Tell the world without setbacks
that as long as there is Portuguese
You will always be Portugal.",pt_XX,en_XX
"OZIANOS:
O terror à bruxa
Cada dia cresce mais
Toda Oz tem medo de dormir
 Culpa dessa bruxa
E do mal que ela faz
Ela tem o dom de destruir
 Essa cobra peçonhenta de tudo é capaz
O Mágico ela enfrenta
E ela mente sempre mais, e mais
 Matem essa bruxa
Suas garras são mortais
Nos ajudem, Oz não tem mais paz
Oz não tem mais paz
Oz não tem mais paz
 GLINDA (falando):
Povo de Oz, por mais aterrorizante que o terror seja, vamos colocar nosso medo de lado somente por hoje, e celebrar!
 GLINDA:
Toda Oz é bem vinda pra celebrar
 OZIANOS:
Que dia!
 GLINDA:
A nossa festa Glinda vai começar!
 OZIANOS:
Que dia!
 MADAME MORRIBLE:
Hoje a bruxa má não nos causa medo
 OZIANOS:
Não dá pra ser mais feliz
Que dia!
 GLINDA:
Não dá pra ser mais feliz
Né, bem?
Tem alguém mais feliz?
Não tem
Belo final, pra um lindo casal
É como um conto de fadas
 Que não dá pra ser mais feliz
Ou dá?
Como ser mais feliz?
Não há como negar
Que é bom partilhar
Esse amor que eu sempre quis
 Meu noivo é tão galã
E eu sou sua grande fã
Já vejo meu amanhã
O meu sonho se tornando
O meu final feliz
 MADAME MORRIBLE (falando):
Glinda, querida, nós estamos tão felizes por você! Como assessora de imprensa, faço questão de assegurar que toda Oz conheça sua história de corageza. Eu me recordo tão vividamente.
 MADAME MORRIBLE:
No dia em que estiveste com o Mágico de Oz
Sem sequer saber ao certo qual seria o fim
Quando à ele se curvou, ele então a batizou
De Glinda a Boa, foi assim!
 E um grito então se ouviu
E era a inveja da bruxa
Espalhando ódio de quem é ruim
 OZIANOS:
Dizem que tudo pode ver, usando um olho a mais
Dizem que pode descascar, igual uma cobra faz
Dizem que os bichos mais cruéis incitam a sua mágoa
Por ser tão má ela até derrete com água
 FIYERO:
Quê?!
 OZIANOS:
Água!
Sim, joguem um balde d'água!
 FIYERO:
Cê tá escutando isso? Tão querendo derreter ela com água!
 GLINDA (falando):
Shh, querido!
 FIYERO:
Essa gente é tão cabeça ôca que acredita em qualquer coisa…
 GLINDA (falando):
Fiyero! Ah, sim, querido, obrigada… Ele foi buscar um refresco pra mim, ele é tão atencioso!
 GLINDA:
Então não dá pra ser mais feliz
Não, não dá pra ser mais feliz
Mas eu vou assumir que pode sair
Um pouco aquém do esperado
 Mas não dá pra ser mais feliz
Sempre sei como ser feliz
Bom, nem sempre
Pra sempre feliz, é tudo o que eu quis
Mas pode ser complicado
 Tem um preço que a vida traz
Das escolhas que a gente faz
É preciso aceitar que o ficou pra trás
Não volta mais!
 E se o amor não traz
Algo a mais que te satisfaz
Mas neste dia tão lindo
Com tudo saindo bem
Quem pode ser mais feliz?
Eu ganhei o que eu sempre quis
O meu sonho se tornando o meu final feliz
É ou não é?
Todo sonho pede um final feliz
 OZIANOS:
O nosso amor sincero tem um por que!
 GLINDA:
Que dia!
 OZIANOS:
Tudo se deve ao Mágico e você
Que dia!
O nosso líder, Glinda...
 GLINDA:
E o meu galã!
 OZIANOS:
Não podem ser mais gentis
Há sempre um final feliz
Nós vamos pedir um bis
 GLINDA:
Não dá pra ser mais feliz!
 OZIANOS:
Que dia…
 GLINDA/OZIANOS:
Feliz!
 OZIANOS:
Que dia mais feliz!","OZIANS:
The terror of the witch
Every day grows more
All Oz is afraid to sleep
 It's that witch's fault
And the evil she does
She has the gift of destroying
 This venomous snake is capable of anything
The Wizard she defies
And she lies more and more, and more
 Kill this witch
Her claws are deadly
Help us, Oz is no longer at peace
Oz is no longer at peace
Oz is no longer at peace
 GLINDA (speaking):
People of Oz, as terrifying as terror is, let's put our fear aside just for today, and celebrate!
 GLINDA:
All of Oz is welcome to celebrate
 OZIANS:
What a day!
 GLINDA:
Our Glinda party is about to begin!
 OZIANS:
What a day!
 MADAME MORRIBLE:
Today the evil witch doesn't cause us fear
 OZIANS:
It doesn't get happier than this
What a day!
 GLINDA:
It doesn't get happier than this
Right, dear?
Is there anyone happier?
There is not
A beautiful ending, for a beautiful couple
It's like a fairy tale
 That couldn't be happier
Or could?
How to be happier?
There's no denying
It's good to share
This love that I always wanted
 My fiancé is such a heartthrob
And I'm his biggest fan
I can already see my future
My dream becoming
My happy ending
 MADAME MORRIBLE (speaking):
Glinda, dear, we are so happy for you! As Press Secretary, I insist on ensuring that all of Oz knows your story of braverism. I remember it so vividly.
 MADAME MORRIBLE:
The day you were with the Wizard of Oz
Without even knowing for sure what the end would be
When you bowed to him, he then named you
Glinda the Good, it was like this!
 And then a scream was heard
And it was the witch's envy
Spreading hate, of those who are bad
 OZIANS:
They say she can see everything, using an extra eye
They say she can shed her skin, just like a snake does
They say that the cruelest animals incite her sorrow
[And] Because she is so evil, she even melts with water
 FIYERO:
What?!
 OZIANS:
Water!
Yes, throw a bucket of water!
 FIYERO:
Are you listening to this? They want to melt her with water!
 GLINDA (speaking):
Shh, dear!
 FIYERO:
These people are so empty-headed that they believe anything...
 GLINDA (speaking):
Fiyero! Ah, yes, dear, thank you… He went to get me a refreshment, he is so attentive!
 GLINDA:
So, it doesn't get happier than this
No, it doesn't get happier than this
But I'll admit it can come out
A little below expectations
 But it doesn't get happier than this
I always know how to be happy
Well, not always
Forever happy, that's all I wanted
But it can be complicated
 There's a price that life brings
Of the choices we make
It's necessary to accept that what is left behind
Will never come back!
 And if love doesn't bring
Something more that satisfies you
Anyway, on this beautiful day
With everything going well
Who can be happier?
I got what I always wanted
My dream becoming my happy ending
Is it or not?
Every dream asks for a happy ending
 OZIANS:
Our sincere love has a reason!
 GLINDA:
What a day!
 OZIANS:
It's all due to the Wizard and you
What a day!
Our leader, Glinda...
 GLINDA:
And my heartthrob!
 OZIANS:
Couldn't be kinder
There's always a happy ending
We're going to ask for an encore
 GLINDA:
It doesn't get happier than this!
 OZIANS:
What a happy...
 GLINDA/OZIANS:
Day!
 OZIANS:
What a happy day!",pt_XX,en_XX
"Tu vai comer na minha mão
E mesmo assim não vai provar
Se não me conquistar
Tu sabe que não vai rolar
 Tu vai comer na minha mão
E mesmo assim não vai provar
Se não me conquistar
Tu sabe que não vai rolar
 Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
 Só de passar de longe já me deixou arrepiada
Em poucos minutinhos eu já tava alucinada
Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
 Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada
Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada
 Vem chegando na atitude que aí eu vou gostar
Tenho cara de santinha mas eu tô louca pra dar
Eu tô louca pra dar, eu tô louca pra dar
Tenho cara de santinha mas eu tô louca pra dar
 Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
 Só de passar de longe já me deixou arrepiada
Em poucos minutinhos eu já tava alucinada
Ai, ai, ai pode vim que eu quero mais
Senta aqui que eu vou jogando vou de frente e de trás
 Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada
Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada
 Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada
Ai, vai, ai, vai, ai, vai, ai ai
Bibi Babydoll, só quer ser macetada","You're gonna eat out of my hand
But still you won't taste it
If you don't win me over
You know it's not gonna happen
 You're gonna eat out of my hand
But still you won't taste it
If you don't win me over
You know it's not gonna happen
 Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
 Just passing by got me all worked up
In just a few minutes my mind was already blown
Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
 Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded
Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded
 Approach with attitude then I'll like it
I may look innocent but I'm dying to get laid
I'm dying to get laid I'm dying to get laid
I may look innocent but I'm dying to get laid
 Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
 Just passing by got me all worked up
In just a few minutes my mind was already blown
Ai, ai, ai bring it on, I want more
Sit here as I bounce from the front and from the back
 Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded
Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded
 Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded
Ai, go, ai, go, ai, go, ai ai
Bibi Babydoll just wants to get pounded",pt_XX,en_XX
"Lá fora existem olhos que queimam como o sol selvagem
Lá fora existem bocas com negra linguagem
Lá fora existem os grandes líderes que a terra cobre
Lá fora existem santos loucos sem que a morte acabe
 Na ilha urbana habitam anjos quanto ladrões
A ilha urbana lembra o som dos velhos canhões
E da janela turva não posso enxergar
Face desfeita com o mais terrível olhar
 A ilha urbana respira o cheiro das multidões
A ilha urbana estranha o ritmo dos corações
E da janela turva não posso enxergar
Face desfeita com o mais terrível olhar
 Na ilha urbana cresce o vazio das solidões
A ilha urbana tem planícies de caminhões
E da janela turva não posso enxergar
Face desfeita com o mais terrível olhar
 Na ilha urbana o ruído do mundo a protestar
Na ilha urbana a poesia nunca acabará
E da janela turva não posso enxergar
Face desfeita com o mais terrível olhar","Out there, there are eyes that burn like the wild sun
Out there, there are mouths with black language
Out there, there are the great leaders that the earth covers
Out there, there are crazy saints whose death don't ends
 In urban island, it inhabitates angels and thieves
The urban island recalls the sound of the old cannons
And from the turbid window, I cannot see
Unmade face with the most dreadful look
 The urban island breathes the smell of the crowds
The urban island finds odd the rythm of the heards
And from the turbid window, I cannot see
Unmade face with the most dreadful look
 In urban island, it grows the emptiness of the lonelies
The urban island has trucks' plains
And from the turbid window, I cannot see
Unmade face with the most dreadful look
 In the urban island, the world's noise protesting
In the urban island, the poetry will never end
And from the turbid window, I cannot see
Unmade face with the most dreadful look",pt_XX,en_XX
"Outra vez estou amando, como um sol que traz aurora
O teu amor me trouxe luz...
 Sou feliz estou te amando, e me entrego a teus momentos
Teu caminho me conduz...
Sem mistérios sem promessas, sem esperas, sem motivos pra
chorar
 Sou feliz estou te amando, nos teus braços eu encontro
A paz que chega no depois...
 Sou amada estou amando, hoje existe um mundo novo
Todo feito pra nos dois...
 Mais doçura, mais ternura, mais poesia, mais carinho pra
sonhar...
 (Refrão):
Nosso amor nasceu foi pra ficar
E eu vou te amar Fernando
Nosso amor nasceu foi pra ficar
E eu vou te amar Fernando
 Sei que existe um paraiso azul, só pra nos dois...
 Nosso amor vai nos levar pra lá
E eu vou te amar pra sempre
Nosso amor vai nos levar pra lá
E eu vou te amar pra sempre
 Sou feliz estou te amando, nos teus braços eu encontro
A paz que chega no depois...
 Sou amada estou amando, hoje existe um mundo novo
Todo feito pra nos dois...
 Mais doçura, mais ternura, mais poesia, mais carinho pra
sonhar...
 (Repete Refrão)","Once again I'm in love, like a sun that brings the dawn
Your love brought me light
 I am happy loving you, and I give in to your moments
Your path leads me
No mysteries, no promises, no hopes, no reasons to
cry
 I am happy loving you, in your arms I find
The peace that arrives in the aftermatch
 I am loved, I am in love, today there is a new world
All built for the both of us
 More swetness, more tenderness, more poetry, more caress to
dream
 Our love was born to stay
I will love you Fernando
Our love was born to stay
I will love you Fernando
 I know that there is a blue heaven, just for the both of us
 Our love will take us there
And I will love you forever
Our love will take us there
And I will love you forever
 I am happy loving you, in your arms I find
The peace that arrives in the aftermatch
 I am loved, I am in love, today there is a new world
All built for the both of us
 More swetness, more tenderness, more poetry, more caress to
dream
 Our love was born to stay
I will love you Fernando
Our love was born to stay
I will love you Fernando",pt_XX,en_XX
"Quando vi você sair
Tão depressa sem se despedir
A tristeza entrou aqui
E deitou na nossa cama em seu lugar
Não dá, pra te imaginar nos braços de outro alguém
Ninguém, sabe o motivo por que eu vivo pra te querer
Porque eu amo tanto você
 Não importa o que todo mundo diz
Eu sei que sem você é impossível ser feliz
Mesmo depois de tudo isso que você me fez
Eu te dou o meu perdão
Por amor faria tudo outra vez","When I saw you leave
So quickly, without saying goodbye
Sadness came in instead
And laid down, taking your place in our bed
It's impossible to imagine you in anyone else's arms
No one could ever understand my motives for living for you
But it's because I love you so much
 I don't care what everyone else says
I know that without you I could never be happy again
Even after everything you did to me
I'll give you my forgiveness
For this love, I'd do it all over again",pt_XX,en_XX
"É um defeito meu
Querer você assim de qualquer jeito
Preciso então rever os meus conceitos
E viver só pra você
 É um defeito meu
Não demonstrar amor correspondido
Sou dependente desse teu sorriso
Pra poder sobreviver
 E o que que eu faço se eu te amo tanto
E a força desse encanto não quer se quebrar?
Tem um abismo separando a gente
Seu amor presente me faz flutuar
 E o que que eu faço com esse sentimento
Se esse nó por dentro não quer desatar?
Quero você de vez na minha vida
A nossa história tá mal resolvida
 Meu amor, dói demais ouvir você dizer que não me ama
Meu amor, morro de saudade de dormir na nossa cama
Por favor, devolva a felicidade e diz com sinceridade
Sem mim, você é metade
 Meu amor, dói demais ouvir você dizer que não me ama
Meu amor, morro de saudade de dormir na nossa cama
Por favor, devolva a felicidade, diz com sinceridade
Sem mim, você é metade","It's my weakness
Wanting you this way
I need to review my judgements
And just live for you
 It's my weakness
To not show reciprocal love
But I'm dependent on your smile
To be able to survive
 And what am I to do if I love you this much
And the strength of this love doesn't want to break?
There's a huge abyss between us
Your love makes me float over it in this moment
 And what am I to do with this feeling
If this knot inside doesn't want to untangle?
I want you in my life once and for all
Our story isn't over yet
 My love, it hurts so much to hear you say you don't love me
My love, I die missing sleeping in our bed together
Please, return my happiness and say sincerely
Without me, you're missing your other half
 My love, it hurts so much to hear you say you don't love me
My love, I die missing sleeping in our bed together
Please, return my happiness and say sincerely
Without me, you're missing your other half",pt_XX,en_XX
"Durmo sonhando em te ver
Mas acordo sem você
No coração, a solidão
Vê se sai dessa indecisão
 O que mais posso te dar
A terra, a lua, o céu e o mar
Pra que fugir, é só pedir
Que eu choro pra te ver sorrir
 Eu já sei, que você, se decepcionou com alguém
Mas não vou, ser mais um, pra te fazer chorar também
Dá uma chance, pra mim...
 Pelo seu amor, faço o que for
Nunca me senti tão apaixonado assim
Só falta você dizer sim
 Dizer que sim...
Dizer que sim","I sleep dreaming of seeing you
But I awake without you
In my heart, just loneliness
See if it can escape this indecision
 What more can I give you
The Earth, the Moon, the sky and the sea
Why run away, you can just ask
That I cry just to see you smile
 I already know that you were let down by someone
But I won't be another one to make you cry too
Give me a chance...
 For your love, I'll do whatever I must
I've never felt in love like this
All I'm missing is your yes
 Just say yes...
Just say yes",pt_XX,en_XX
"Eu canto assim porque eu fumo maconha
Adivinha quem tá de volta explorando a sua vergonha
Eu sou melhor do microfone, não dou mole pra ninguém
Porque o Planet Hemp ainda gosta da MaryJane
Então por favor, não me trate como um marginal
Se o papo for por aí, já começamos mal
Quer me prender só porque eu fumo Cannabis Sativa
Na cabeça ativa, na cabeça ativa,na cabeça ativa
E isso te incomoda?
Eu falo, penso, grito e isso pra você é foda
A mente aguçada mermão
Eu sei que isso te espanta
Mas eu continuo queimando tudo até a última ponta
 Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
 Piso pesado e sinistro como o sol que vem sem dó
Quando eu tô preso em preto e branco como em Daunbailó
Procurando e destruindo falsos MCs
Nocivos como os governantes do nosso país
Minha família quer tudo, como quem não quer nada
O estilo é livre, ninguém pode pará-la
Nada mais, nada menos, é, eu tô sabendo
Black Alien vai rimando, queimando, sobrevivendo
Se é o caso, queimo a casa e me livro do rato
Negozinho, se liga que eu não vou deixar barato
Então D2 "" Qual é?"",O que você me conta?
Eu continuo queimando tudo até a última ponta...
 Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
 Olhe pra mim, veja as pupilas dilatadas
É a mente trabalhando, eu não vou te fazer nada
Sinta os efeitos da fumaça sonora, e não se esqueça
Planet Hemp, fazendo a sua cabeça
M-A-R-C-E-L-O, Marcelo D2, na lata sem dó
Dedo amarelo, enfumaçado e o pensamento longe
Mas eu continuo queimando tudo como Cheech e Chong
Não adianta armadilha, mermão, eu não caio
E muito menos cabeça de pobre é pára-raio
A mente aguçada, eu sei que isso te espanta
Mas eu continuo queimando tudo até a última ponta
 Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta
Eu continuo queimando tudo até a última ponta","I sing like this because I smoke weed
Guess who's back exploiting your shame
I'm the best with the mic, I don't cut anyone any slack
Cause Planet Hemp still likes the MaryJane
So please, don't treat me like a lowlife
If that's the conversation we're having, we're off to a bad start
You want to lock me up just because I smoke Cannabis Sativa
In the active head, in the active head, in the active head
Does that bother you?
I speak, think, shout, and that's tough for you
The keen mind my bro
I know that it astonishes you
But I keep on smoking it up down to the last bit
 I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
 Heavy and sinister steps like the sun that rises mercilessly
When I'm trapped in black and white like in Daunbailó1
Seeking and destroying fake MCs
Harmful like the rulers of our country
My family wants everything, as if they want nothing
The style is free, no one can stop it
Nothing more, nothing less, yeah, I know
Black Alien goes on rhyming, smoking, surviving
If necessary, I burn the house down and get rid of the rat
Little dude, listen up, I won't let it slide
So D2 ""What's up?"", What do you tell me?
I keep on smoking it up down to the last bit...
 I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
 Look at me, see my dilated pupils
It's the mind at work, I won't do anything to you
Feel the effects of the sound smoke, and don't forget
Planet Hemp, influencing your mind
M-A-R-C-E-L-O, Marcelo D2, straight to the point without mercy
Yellow fingers, hazy and the thoughts far away
But I keep smoking it up like Cheech and Chong
Your traps are useless, bro, I don't fall for it
And even less so is a poor man's head a lightning rod
The keen mind, I know that it astonishes you
But I keep on smoking it up down to the last bit
 I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
I keep on smoking it up down to the last bit
  1.
""Daunbailó"" seems to refer to the Brazilian film ""Cidade de Deus"" (City of God), where ""Daunbailó"" refers to the Portuguese pronunciation of ""Down by Law.""",pt_XX,en_XX
"Lotus, Lotus, Lotus 72 (Dê, Dê, Dê)
Lotus, Lotus, Lotus 72 (Dê, Dê, Dê)
 É a máquina do tempo e na velocidade não tem igual
E em um grande torneio de caráter internacional de Fórmula 1
 O nosso brasileiro foi convidado para participar
Na sua condição de campeão, de campeão mundial
Na nossa praça de esportes, em Interlagos na nossa capital
São Paulo, terra da garoa
 Com calor surpreendente de 38 graus
Atenção, atenção!
 Foi dada a largada principal, o nosso Emerson na frente
Atingindo a velocidade máxima que o seu carro tem
Na curva do Laranja, ele parou para tomar uma vitamina
Na curva do S, quem não sabia escrever deu uma saída da pista
Na curva do Cotovelo, ele saiu-se maravilhosamente bem
 Na curva do Sargento, ele comandava os competidores como um general
 E a turma de fora espantada assistindo a corrida se orgulhava e vibrava
Com a vitória do nosso campeão
 Vem chegando a reta de chegada, a reta final
O nosso Emerson na frente
Vem despontando e todo mundo gritava com grande emoção
Salve Emerson 73
Salve Emerson 73
Salve Emerson 73
Salve Emerson 73
Salve Emerson 73","Lotus, Lotus, Lotus 72 (D, D, D)
Lotus, Lotus, Lotus 72 (D, D, D)
 It's the time machine, and in terms of speed, there's no equal
And in a major international Formula 1 tournament
 Our Brazilian was invited to participate
In his capacity as champion, as world champion
In our sports arena, Interlagos, located in our capital city
São Paulo, land of drizzle
 With a surprising heat of 38 degrees celsius
Attention, attention!
 The main start was given, with our Emerson in the lead
Reaching the maximum speed of his car
At the Laranja curve, he stopped to have a smoothie
At the S curve, those who couldn't write went off track
At the Cotovelo curve, he performed exceptionally well
 At the Sargento curve, he commanded the competitors like a general
 And the amazed crowd watching the race was proudly cheering
With the victory of our champion
 The finish line is approaching, the final straight
With our Emerson in the lead
He's pulling ahead, and everyone was shouting with great emotion
Hail Emerson 73
Hail Emerson 73
Hail Emerson 73
Hail Emerson 73
Hail Emerson 73",pt_XX,en_XX
