original_poem,translated_poem,src_lang,tgt_lang
"Na ilha há uma menina,
Sozinha sabe pensar.
Adora o mar e as gentes,
A família sabe honrar.
Às vezes tudo é difícil,
Feridas um dia terás
São essas marcas
Que mostram onde estás
Os que te amam vão mudar-te,
O saber irá guiar-te
E não há nada que cale
A voz suave dentro de ti
E quando a voz te sussurra:
Vaiana, chegaste tão longe
Vaiana, ouve, saberás quem tu és?
 Quem sou eu?
Alguém que ama a sua ilha
E que ama mesmo o mar.
Ele chama.
Na vila eu sou a filha do chefe,
Nós descendemos de viajantes
Que encontraram o caminho e chamam
E fui eu que nos trouxe aqui
Viajei mais longe
Eu sou tudo o que aprendi
E mais ainda chama
 A chamada não está lá ao longe,
Está em mim como a maré
Que ou sobe ou desce
É a vossa lembrança
Que levo até ao fim
Haja o que houver
É o que eu quiser
Sou a Vaiana!","Il y a une fille sur une île
qui sait penser pour elle-même
Elle adore la mer et les gens
Elle sait honorer sa famille.
Quelquefois tout est difficile
Un jour tu auras des blessures
Ce sont les marques
qui montrent où tu es
Celles qui t'aiment te changeras
Le savoir te guideras
Et il n'y a rien qui peut faire taire
Cette voix douce en toi
Et quand la voix te chuchote:
""Vaiana, tu es venue si loin
Vaiana, écoute, sauras-tu qui tu es ?""
 Qui suis-je ?
Quelqu'un qui adore son île
et vraiment adore la mer.
Elle m'appelle.
Dans le village je suis la fille du chef
Nous descendons de voyageurs
qui trouvaient le chemin et ils m'appellent
Et c'était moi qui nous a conduit ici
J'ai voyagé plus loin
Je suis tout ce que j'ai appris
et plus et elle m'appelle encore
 L'appel n'est pas au-delà
Il est en moi, comme la marée
qui monte ou descend
C'est votre souvenir que j'apporte jusqu'à la fin
Quoi qu'il peut y arriver
C'est ce que je veux
Je suis Vaiana !",pt_XX,fr_XX
"Enfunando os papos,
Saem da penumbra,
Aos pulos, os sapos.
A luz os delumbra.
 Em ronco que aterra,
Berra o sapo-boi:
— “Meu pai foi à guerra!”
— “Não foi!” — “Foi!” — “Não foi!”
 O sapo-tanoeiro
Parnasiano aguado,
Diz: — ” Meu cancioneiro
É bem martelado.
 Vede como primo
Em comer os hiatos!
Que arte! E nunca rimo
Os termos cognatos.
 O meu verso é bom
Frumento sem joio.
Faço rimas com
Consoantes de apoio.
 Vai por cinquenta anos
Que lhes dei a norma:
Reduzi sem danos
A formas a forma.
 Clame a saparia
Em críticas céticas:
Não há mais poesia,
Mas há artes poéticas…”
 Urra o sapo-boi:
— “Meu pai foi rei” — “Foi!”
— “Não foi!” — “Foi!” — “Não foi!”
 Brada em um assomo
O sapo-tanoeiro:
— “A grande arte é como
Lavor de joalheiro.
 Ou bem de estatutário.
Tudo quanto é belo,
Tudo quanto é vário,
Canta no martelo.”
 Outros, sapos-pipas
(Um mal em si cabe),
Falam pelas tripas:
–“Sei!” — “Não sabe!” — “Sabe!”
 Longe dessa grita,
Lá onde mais densa
A noite infinita
Verte a sombra imensa;
 Lá, fugido ao mundo,
Sem glória, sem fé,
No perau profundo
E solitário, é
 Que soluças tu,
Transido de frio,
Sapo-cururu
Da beira do rio…","En enflant leur jabot,
De la pénombre, ils sortent
Ils sautent les crapauds
Éblouis de lumière.
 Ronflement qui atterre
Le crapaud-buffle braille :
– Veuille papa la guerre
– « Veuille – Veuille – Ne veuille » (*)
 Le crapaud vulgaire (**)
Aguerri parnassien
Dit : « Mon canzoniere
Est fort bien martelé »
 Et ils viennent en prime
En mangeant les hiatus
Quel art ! Jamais ne rime
Les termes « cognatus »
 Mes vers à moi sont bons
Du froment sans les grains
Je fais des rimes sans
Consonnes de soutien.
 Cinquante ans, ça ira
Leur ai donné la norme
Réduire sans dommage
À ses formes la forme.
 La crapaudière s’écrie
En des récrits sceptiques,
Non plus la Poésie
Mais des arts poétiques
 Crapaud-buffle a rugi :
-- « Papa veuille être roi »
– « Veuille – Veuille – Ne veuille »
 Brame comme assommoir
Le crapaud-tonnelier :
-- « Le grand art c’est comme un
Travail de joaillier
 Ou bien de statuaire
Où tout ce qui est beau
Tout ce qui est varié,
Chante sous le marteau »
 D’autres, crapauds pipa
(Un mal en ses replis)
Parlent avec leurs tripes :
-- « Ne sais – Ne sais – j’essaye »
 Éloigné de ce cri
Là où est bien plus dense
L’infini de la nuit,
Versant une ombre immense,
 Fugitif en ce monde,
Et sans gloire, et sans foi,
Au fond du précipice
Solitaire il y a
 Mais pourquoi pleures-tu ?
Transi de froid, et fier
Toi, crapaud cururu
Au bord de la rivière.",pt_XX,fr_XX
"Se queres sentir a felicidade de amar, esquece a tua alma.
A alma é que estraga o amor.
Só em Deus ela pode encontrar satisfação.
Não noutra alma.
 Só em Deus - ou fora do mundo.
As almas são incomunicáveis.
Deixa o teu corpo entender-se com outro corpo.
Porque os corpos se entendem, mas as almas não.","Si tu veux connaître les joies de l’amour, oublie ton âme.
L’âme est ce qui gâte l’amour.
Elle ne peut trouver satisfaction qu’en Dieu,
Pas dans une autre âme.
 En Dieu seul – ou hors du monde ;
Les âmes ne savent pas communiquer.
Laisse ton corps s’accorder avec un autre corps.
Parce que les corps se comprennent, mais les âmes… non.",pt_XX,fr_XX
"Quando perderes o gosto humilde da tristeza,
 Quando, nas horas melancólicas do dia,
Não ouvires mais os lábios da sombra
Murmurarem ao teu ouvido
As palavras de voluptuosa beleza
Ou de casta sabedoria;
 Quando a tua tristeza não for mais que amargura,
 Quando perderes todo estímulo e toda crença.
- A fé no bem e na virtude,
A confiança nos teus amigos e na tua amante,
Quando o próprio dia se te mudar em noite escura
Da desconsolação e malquerença;
 Quando, na agonia de tudo o que passa
 Ante os olhos imóveis do infinito,
Na dor de ver murcharem as rosas,
E como as rosas tudo o que é belo e frágil,
Não sentires em teu ânimo aflito
Crescer a ânsia de vida como uma divina graça;
 Quando tiveres inveja, quando o ciúme
 Crestar os últimos lírios de tua alma desvirginada;
Quando em teus olhos áridos
Estancarem-se as fontes das suaves lágrimas
Em que se amorteceu o pecaminoso lume
De tua inquieta mocidade:
 Então, sorri pela última vez, tristemente,
 A tudo que outrora
Amaste. Sorri tristemente...
Sorri mansamente... em um sorriso pálido... pálido
Como o beijo religioso que puseste
Na fronte morta de tua mãe... sobre a sua fronte morta...","Quand tu perdras l’humble goût de la tristesse,
 Quand, aux heures mélancoliques du jour,
Tu n’écouteras plus les lèvres de l’ombre
Murmurer à ton oreille
Les paroles de la belle volupté
Et des chastes connaissances ;
 Quand dans ta tristesse il n’y aura plus que l’amertume,
 Quand tu auras perdu toute motion et toute croyance
– La foi dans le bien et la vertu,
Fait confiance à tes amis et à ton amour,
Si le jour lui-même veut t’emporter dans la nuit
Noire des malveillances et de l’affliction.
 Quand, tout ce qui passe étant à l’agonie
 Devant les yeux immobiles de l’infini,
Dans la douleur de voir disparaître les roses,
Et comme les roses, tout ce qui est beau et fragile,
Quand tu ne sentiras plus en ton âme affligée
Croître le désir de la vie comme une grâce divine ;
 Quand tu auras de l’envie, que tu seras jaloux
 Recueille les derniers lys de ton âme déflorée ;
Quand dans tes yeux secs viendra
S’épancher la source suave des larmes
Dans laquelle s’éteint la lumière des péchés
De ta jeunesse intranquille :
 Alors, souris une dernière fois, tristement,
 À tout ce que, autrefois
Tu aimas. Souris tristement…
Souris paisiblement… d’un pâle sourire… pâle
Comme le baiser religieux que tu poserais
Sur le front mort de ta mère… sur ton front mort…",pt_XX,fr_XX
"Chora de manso e no íntimo... Procura
Curtir sem queixa o mal que te crucia:
O mundo é sem piedade e até riria
Da tua inconsolável amargura.
 Só a dor enobrece e é grande e é pura.
Aprende a amá-la que a amarás um dia.
Então ela será tua alegria,
E será, ela só, tua ventura...
 A vida é vã como a sombra que passa...
Sofre sereno e de alma sobranceira,
Sem um grito sequer, tua desgraça.
 Encerra em ti tua tristeza inteira.
E pede humildemente a Deus que a faça
Tua doce e constante companheira...","Pleure dans l’intime, doucement… Essaie
De battre le mal qui te fait souffrir, sans te plaindre :
Le monde est sans pitié et va jusqu’à rire
De ton amertume inconsolable.
 Seule, la douleur qui te révèle est grande et pure.
Apprends à l’aimer, tu l’aimeras un jour.
Alors elle sera ta joie
Et seulement, elle sera ta fortune…
 La vie est vaine comme l’ombre qui passe…
Souffre sereinement et garde l’âme altière,
Sans le moindre cri, sans déshonneur.
 Renferme en toi ton intime tristesse.
Et prie humblement Dieu pour qu’elle devienne
Ta plus douce et constante compagne.",pt_XX,fr_XX
"Eu faço versos como quem chora
De desalento. . . de desencanto. . .
Fecha o meu livro, se por agora
Não tens motivo nenhum de pranto.
 Meu verso é sangue. Volúpia ardente. . .
Tristeza esparsa... remorso vão...
Dói-me nas veias. Amargo e quente,
Cai, gota a gota, do coração.
 E nestes versos de angústia rouca,
Assim dos lábios a vida corre,
Deixando um acre sabor na boca.
 – Eu faço versos como quem morre.","J’écris des vers comme on pleure
De découragement … désenchanté
Aussi ferme mon livre, si pour l’instant
Tu n’as aucune raison de pleurer.
 Mes vers sont du sang. Ardente volupté …
Tristesse disséminée … vain remords …
Douleur dans mes veines. Amertume et feu.
Qui tombent du cœur, goutte à goutte.
 Et dans ces vers d'une angoisse rauque
La vie coule ainsi que des lèvres,
Laissant un goût âcre dans la bouche.
 -- J’écris des vers comme celui qui meurt.",pt_XX,fr_XX
"Minha grande ternura
Pelos passarinhos mortos,
Pelas pequeninas aranhas.
 Minha grande ternura
Pelas mulheres que foram meninas bonitas
E ficaram mulheres feias;
Pelas mulheres que foram desejáveis
E deixaram de o ser;
Pelas mulheres que me amaram
E que eu não pude amar.
 Minha grande ternura
Pelos poemas que
Não consegui realizar.
 Minha grande ternura
Pelas amadas que
Envelheceram sem maldade.
 Minha grande ternura
Pelas gotas de orvalho que
São o único enfeite
De um túmulo.","Grande est ma tendresse
Pour les petits oiseaux morts,
Pour les petites araignées.
 Grande est ma tendresse
Pour les femmes qui furent de jolies filles
Et qui sont devenues des femmes laides,
Pour les femmes désirables
Qui ont cessé de l’être,
Pour les femmes qui m’aimèrent
Et que je n’ai pas pu aimer.
 Grande est ma tendresse
Pour les poèmes que
Je n’ai pas su réaliser.
 Grande est ma tendresse
Pour les proches qui
Ont vieilli sans être malade.
 Grande est ma tendresse
Pour les gouttes de rosée qui
Sont les derniers ornements
D’une tombe.",pt_XX,fr_XX
"Escuta, eu não quero contar-te o meu desejo
Quero apenas contar-te a minha ternura
Ah se em troca de tanta felicidade que me dás
Eu te pudesse repor
- Eu soubesse repor -
No coração despedaçado
As mais puras alegrias de tua infância!","Écoute, je ne veux pas te parler de mon désir
Je veux simplement te dire ma tendresse
Ah si en échange de tout le bonheur que tu me donnes
Je pouvais restituer
– Si je savais rendre –
À ton cœur déchiqueté
Les joies les plus pures de ton enfance !",pt_XX,fr_XX
"Assim eu quereria o meu último poema
 Que fosse terno dizendo as coisas mais simples e menos intencionais
Que fosse ardente como um soluço sem lágrimas
Que tivesse a beleza das flores quase sem perfume
A pureza da chama em que se consomem os diamantes mais límpidos
A paixão dos suicidas que se matam sem explicação.","J’aimerais que mon dernier poème soit tel
 . . Qu’il dise la douceur des choses les plus simples et les moins intentionnelles
Qu’il soit aussi ardent qu’un pleur sans larmes
Qu’il ait la beauté des fleurs presque sans parfum(s)
. . La pureté de la flamme en laquelle se consument les diamants les plus limpides
La passion des suicidés qui se tuent sans explication",pt_XX,fr_XX
"Somos esse país sol
À brilhar nos teus lábios
Esse passado, memória
À chorar nas cordas dum violão
Somos uma manhã nos teus olhos
Fim da razão da nossa luta
 Somos a força, a inteligência e a vida
No oceano, na fábrica e no campo
Somos o sonho, a poesia e a luz
Na nossa caminhada pelo mundo fora
 Antes de tudo somos também a morna
Arquivo e mestre da nossa identidade
Povo modesto vivendo de lembranças
Gigante no amor e na simplicidade
 Filhos deste país sol
Que é Cabo Verde","Nous sommes ce pays soleil
Qui brille sur tes lèvres
Ce passé, mémoire
Qui pleure dans les cordes d'une guitarre
Nous sommes un lendemain dans tes yeux
Motif de notre lutte
 Nous sommes la force, l'intelligence et la vie
Sur l'océan, à l'usine ou aux champs
Nous sommes le rêve, la poésie et la lumière
Dans notre promenade vers le reste du monde
 Avant tout nous sommes aussi la morna
Mémoire et maîtresse de notre identité
Peuple modeste vivant de ses souvenirs
Géant dans l'amour et dans la simplicité
 Fils de ce pays soleil
Qu'est le Cap-Vert",pt_XX,fr_XX
