original_poem,translated_poem,src_lang,tgt_lang
"To com saudade de você
Debaixo do meu cobertor
De te arrancar suspiros
Fazer amor.
To com saudade de você
Na varanda em noite quente
E do arrepio frio que dá na gente
Truque do desejo,
Guardo na boca o gosto do beijo
 Eu sinto a falta de você
Me sinto só
 E aí, será que você volta,
Tudo à minha volta
É triste.
E aí, o amor pode acontecer,
De novo pra você,
Palpite.
 To com saudade de você,
Do nosso banho de chuva,
Do calor na minha pele
Da língua tua.
To com saudade de você
Censurando o meu vestido,
As juras de amor ao pé do ouvido,
Truque do desejo,
Guardo na boca o gosto do beijo.
 Eu sinto a falta de você,
Me sinto só
 E aí, será que você volta,
Tudo à minha volta,
É triste.
E aí, o amor pode acontecer,
De novo pra você,
Palpite.
 Eu sinto a falta de você,
Me sinto só
 E aí, será que você volta,
Tudo à minha volta,
É triste.
E aí, o amor pode acontecer,
De novo pra você,
Palpite.
 E aí, será que você volta,
Tudo à minha volta,
É triste.
E aí, o amor pode acontecer,
De novo pra você, palpite","Je ressens le manque de toi
Sous ma couverture
A m'arracher des soupirs
De faire l'amour.
Je ressens le manque de toi
Sous la véranda dans une nuit chaude
Et du frisson glacé que l'on ressent
Astuce du désir,
Je garde dans ma bouche le goût de ton baiser
 Je ressens le manque de toi
Je me sens seule
 Et alors, est-ce que tu vas revenir,
Tout autour de moi
Est triste.
Et alors, l'amour peut arriver,
A nouveau pour toi,
Il palpite.
 Je ressens le manque de toi,
De notre bain de pluie,
De la chaleur sur m peau
De ta langue.
Je ressens le manque de toi
Censurant ma robe,
Les serments d'amour au creux de l'oreille,
Astuce du désir,
Je garde dans ma bouche le goût de ton baiser
 Je ressens le manque de toi
Je me sens seule
 Et alors, est-ce que tu vas revenir,
Tout autour de moi
Est triste.
Et alors, l'amour peut arriver,
A nouveau pour toi,
Il palpite.
 Je ressens le manque de toi
Je me sens seule
 Et alors, est-ce que tu vas revenir,
Tout autour de moi
Est triste.
Et alors, l'amour peut arriver,
A nouveau pour toi,
Il palpite.
 Et alors, est-ce que tu vas revenir,
Tout autour de moi
Est triste.
Et alors, l'amour peut arriver,
A nouveau pour toi, il palpite.",pt_XX,fr_XX
"Olho a rosa na janela,
sonho um sonho pequenino...
Se eu pudesse ser menino
eu roubava essa rosa
e ofertava, todo prosa,
à primeira namorada,
e nesse pouco ou quase nada
eu dizia o meu amor,
o meu amor...
 Olho o sol findando lento,
sonho um sonho de adulto...
Minha voz, na voz do vento,
indo em busca do teu vulto,
e o meu verso em pedaços,
só querendo o teu perdão...
Eu me perco nos teus passos
e me encontro na canção...
 Ai, amor, eu vou morrer
buscando o teu amor...
Ai, amor, eu vou morrer
buscando o teu amor...
(Eu vou morrer de muito amor)","Je regarde la rose par la fenêtre
je rêve un rêve tout petit..
Si je pouvais être un garçon
je volerais cette rose
et je l'offrirais, tout en prose,
à ma première amoureuse,
et dans ce peu ou presque rien
je lui dirais mon amour,
mon amour...
 Je regarde le soleil se couchant lentement
je rêve un rêve d'adulte..
Ma voix, dans la voix du vent,
Part à la recherche de ton ombre,
Et mes vers en morceaux,
Ne veulent que ton pardon...
Je me perds dans tes pas
Et me retrouve dans la chanson...
 Aïe, mon amour je vais mourir
En cherchant ton amour..
Aïe, mon amour je vais mourir
En cherchant ton amour..
(Je vais mourir de beaucoup aimer)",pt_XX,fr_XX
"Vai
abandona a morte em vida em que hoje
estás
Há um lugar onde essa angústia se desfaz
E o veneno e a solidão mudam de cor
Vai indo amor
Vai
recupera a paz perdida e as ilusões,
não espera vir a vida as tuas mãos
Faz em fera a flor ferida e vai lutar
Pro amor voltar
Vai
faz de um corpo de mulher estrada e sol
Te faz amante
Faz teu peito errante
Acreditar que amanheceu
Vai corpo inteiro mergulhar no teu amor
Nesse momento
vai ser teu momento
O mundo inteiro vai ser teu, teu, teu","Vas-y
abandonne la mort dans la vie dans laquelle tu es aujourd'hui
Il y a un endroit où cette angoisse va s'en aller
Et où le venin et la solitude changent de couleur
Vas-y amour
Vas-y
récupère la paix perdue et les illusions,
N'attends pas que la vie vienne jusqu'à tes mains
Conduis-toi en brute, en fleur blessée et va lutter
Pour que l'amour revienne
Vas-y
Fais d'un corps de femme une route ensoleillée
Fais-toi amant
Fais que ton cœur errant
Croie qu'il s'est réveillé
Vas plonger à corps perdu dans ton amour
Ce moment
Sera ton moment
Le monde entier sera à toi, à toi, à toi",pt_XX,fr_XX
"É isso aí!
Como a gente achou que ia ser
A vida tão simples é boa
Quase sempre
É isso aí!
Os passos vão pelas ruas
Ninguém reparou na lua
A vida sempre continua
 Eu não sei parar de te olhar
Eu não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não sei parar
De te olhar
 É isso aí!
Há quem acredite em milagres
Há quem cometa maldades
Há quem não saiba dizer a verdade
 É isso aí!
Um vendedor de flores
Ensina seus filhos a escolher seus amores
 Eu não sei parar de te olhar
Não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não vou parar de te olhar
 É isso aí!
Há quem acredite em milagres
Há quem cometa maldades
Há quem não saiba dizer a verdade
 É isso aí!
Um vendedor de flores
Ensina seus filhos a escolher seus amores
 Eu não sei parar de te olhar
Eu não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não vou parar de te olhar","C'est comme ça !
Comment on a trouvé que ça allait se passer
La vie tant simple est bonne
Presque toujours
C'est comme ça !
Les pas vont de par les rues
Personne n'a remarqué la lune
La vie, toujours, continue
 Je ne sais pas m'arrêter de te regarder
Je ne sais pas m'arrêter de te regarder
Je ne vais pas m'arrêter de te regarder
Je ne me fatigue pas de te regarder
Je ne sais pas m'arrêter
De te regarder
 C'est comme ça !
Il y en a qui croient aux miracles
Il y en a qui commettent des méchancetés
Il y en a qui ne savent pas dire la vérité
 C'est comme ça !
Un vendeur de fleurs
Apprend à ses fils à choisir leurs amours
 Je ne sais pas m'arrêter de te regarder
Je ne sais pas m'arrêter de te regarder
Je ne vais pas m'arrêter de te regarder
Je ne me fatigue pas de te regarder
Je ne vais pas m'arrêter de te regarder
 C'est comme ça !
Il y en a qui croient aux miracles
Il y en a qui commettent des méchancetés
Il y en a qui ne savent pas dire la vérité
 C'est comme ça !
Un vendeur de fleurs
Apprend à ses fils à choisir leurs amours
 Je ne sais pas m'arrêter de te regarder
Je ne sais pas m'arrêter de te regarder
Je ne vais pas m'arrêter de te regarder
Je ne me fatigue pas de te regarder
Je ne vais pas m'arrêter de te regarder",pt_XX,fr_XX
"Dó em mim saber
Que a solidão existe
e insiste
No teu coração
Dói em mim sentir
Que a luz que guia
O meu dia
Não te guia não
Quem dera pudesse
A dor que entristece
Fazer compreender
Os fracos de alma
Sem paz e sem calma
Ajudasse a ver
Que a vida é bela
Só nos resta viver.","Ça me fait mal de savoir
Que la solitude existe
Et insiste
Dans ton cœur
Ça me fait mal de sentir
Que la lumière qui guide
Mon jour
Ne te guide pas, non
Si seulement
La douleur qui attriste pouvait
Faire comprendre
Les faiblesses de l'âme
Sans paix et sans calme
Aider à voir
Que la vie est belle
Il ne nous reste qu'à vivre.",pt_XX,fr_XX
"Eu não sei
Se vem de Deus
Do céu ficar azul
Ou virá
Dos olhos teus
Essa cor
Que azuleja o dia...
 Se acaso anoitecer
E o céu perder o azul
Entre o mar e o entardecer
Alga marinha, vá na maresia
Buscar ali um cheiro de azul
Essa côr não sai de mim
Bate e finca pé
A sangue de rei...
 Até o sol nascer amarelinho
Queimando mansinho
Cedinho, cedinho (cedinho)
Corre e vá dizer
Pro meu benzinho
Um dizer assim
O amor é azulzinho...
 Até o sol nascer amarelinho
Queimando mansinho
Cedinho, cedinho (cedinho)
Corre e vá dizer
Pro meu benzinho
Um dizer assim
O amor é azulzinho","Je ne sais pas
Si cela vient de Dieu
Que le ciel soit bleu
Ou bien est-ce qu'elle vient
De tes yeux
Cette couleur
Que bleuit le jour
 Si par hasard la nuit tombe
Et que ciel perde son bleu
Entre la mer et la fin du jour
Algue marine, va dans la marée
Chercher là-bas un parfum de bleu
Cette couleur ne sort pas de ma tête
Elle bat en moi et insiste
Comme un sang royal...
 Jusqu'à ce que le soleil tout jaune se lève
Brûlant tout doucement
Très tôt, très tôt (très tôt)
Cours et va dire
A mon chéri
Une parole comme celle-ci
L'amour est tout bleu...
 Jusqu'à ce que le soleil tout jaune se lève
Brûlant tout doucement
Très tôt, très tôt (très tôt)
Cours et va dire
A mon chéri
Une parole comme celle-ci
L'amour est tout bleu...",pt_XX,fr_XX
"Mais um ano se passou
E nem sequer ouvi falar seu nome, a lua e eu
Caminhando pela estrada
Eu olho em volta e só vejo pegadas
Mas não são as suas eu sei,
Eu sei, eu sei
O vento faz eu lembrar você
As folhas caem mortas como eu
Quando olho no espelho
Estou ficando velho e acabado
Procuro encontrar
não sei onde está você
Você você....
o Vento faz eu lembrar você
As folhas caem mortas como eu...
A lua e eu","Une année de plus a passé
Et je n'ai même pas entendu parler de toi, la lune et moi
Marchant le long de la route
Je regarde autour de moi je ne vois que des traces de pas
Mais ce ne sont pas les tiennes, je sais
Je sais, je sais
Le vent me fait me souvenir de toi
Les feuilles tombent mortes comme moi
Quand je regarde le miroir
Je me sens vieux et fini
Je cherche à te rencontrer
Je ne sais pas où tu es
Toi, toi..
Le vent me fait me souvenir de toi
Les feuilles tombent mortes comme moi...
La lune et moi",pt_XX,fr_XX
"Quando o inverno chegar
Eu quero estar junto a ti
Pode o outono voltar
Eu quero estar junto a ti
 Porque (é primavera)
Te amo (é primavera)
Te amo, meu amor
 Trago esta rosa (para te dar)
Trago esta rosa (para te dar)
Trago esta rosa (para te dar)
 Meu amor...
Hoje o céu está tão lindo (sai chuva)
Hoje o céu está tão lindo (sai chuva)","Quand l'hiver arrivera
Je veux être près de toi
L'automne peut revenir
Je veux être près de toi.
 Parce que (c'est le printemps)
Je t'aime (c'est le printemps)
Je t'aime, mon amour
 J'apporte cette rose (pour te la donner)
J'apporte cette rose (pour te la donner)
J'apporte cette rose (pour te la donner)
 Mon amour...
Aujourd'hui le ciel est si beau (la pluie s'en va)
Aujourd'hui le ciel est si beau (la pluie s'en va)",pt_XX,fr_XX
"Não estou disposto
A esquecer seu rosto de vez
E acho que é tão normal
Dizem que eu sou louco
Por eu ter um gosto assim
Gostar de quem não gosta de mim...
 Jogue suas mãos para o céu
Agradeça se acaso tiver
Alguém que você gostaria que
Estivesse sempre com você
Na rua, na chuva, na fazenda
Ou numa casinha de sapê...","Je ne suis pas prêt
D'oublier ton visage
Et je trouve que c'est normal
Ils disent que je suis fou
D'aimer comme ça
D'aimer quelqu'un qui ne m'aime pas...
 Lances tes mains vers le ciel
Sois reconnaissante si tu as un jour
Quelqu'un avec qui tu voudrais être
Est toujours avec toi
Dans la rue, sous la pluie, sur le domaine
Ou dans une petite chaumière...",pt_XX,fr_XX
"O teu olhar caiu no meu
A tua boca... na minha se perdeu!
Foi tudo lindo, tão lindo foi
E nem me lembro
Que veio depois...
 A tua voz dizendo amor
Foi tão bonito
Que o tempo até parou
De duas vidas, uma se fez
Eu me senti
Nascendo outra vez...
 E eu vou!
Esquecer de tudo
As dores do mundo
Não quero saber
Quem fui
Mas sim quem sou
E eu vou!
Esquecer de tudo
As dores do mundo
Só quero saber do seu
Do nosso amor...
 O teu olhar caiu no meu
A tua boca... na minha se perdeu!
Foi tudo lindo, tão lindo foi
Eu nem me lembro
Que veio depois...
 A tua voz dizendo amor
Foi tão bonito
Que o tempo até parou
De duas vidas, uma se fez
Eu me senti
Nascendo outra vez...
 E eu vou!
Esquecer de tudo
As dores do mundo
Não quero saber
Quem fui
Mas sim quem sou
E eu vou esquecer de tudo
As dores do mundo
Só quero saber do seu
Do nosso amor...
 E eu vou...
Esquecer de tudo
As dores do mundo
Não quero saber
Quem fui
Mas sim quem sou
 E eu vou esquecer de tudo
As dores do mundo
Só quero saber do seu
Do nosso amor...
 E eu vou!
Esquecer de tudo
As dores do mundo
Não quero saber
Quem fui
Mas de quem sou
E eu vou esquecer de tudo
As dores do mundo
E eu vou esquecer de tudo
As dores do mundo
E eu vou esquecer de tudo
As dores do mundo
E eu vou!...","Ton regard est tombé dans le mien
Ta bouche... s'est perdue sur la mienne!
Tout était beau, si beau
Et je ne me souviens même pas
De ce qui est arrivé ensuite...
 Ta voix me disant ""mon amour""
Était si belle
Que même le temps s'est arrêté
De deux vies, une s'est créée
Je me suis senti
Renaître...
 Et je vais!
Tout oublier
Les douleurs du monde
Je ne veux pas savoir
Qui j'ai été
Mais qui je suis
Et je vais!
Tout oublier
Les douleurs du monde
Je veux juste connaître le tien
Notre amour...
 Ton regard est tombé dans le mien
Ta bouche... s'est perdue sur la mienne!
Tout était beau, si beau
Et je ne me souviens même pas
De ce qui est arrivé ensuite...
 Ta voix me disant ""mon amour""
Était si belle
Que même le temps s'est arrêté
De deux vies, une s'est créée
Je me suis senti
Renaître...
 Et je vais!
Tout oublier
Les douleurs du monde
Je ne veux pas savoir
Qui j'ai été
Mais qui je suis
Et je vais!
Tout oublier
Les douleurs du monde
Je veux juste connaître le tien
Notre amour...
 Et je vais!
Tout oublier
Les douleurs du monde
Je ne veux pas savoir
Qui j'ai été
Mais qui je suis
 Et je vais tout oublier
Les douleurs du monde
Je veux juste connaître le tien
Notre amour...
 Et je vais!
Tout oublier
Les douleurs du monde
Je ne veux pas savoir
Qui j'ai été
Mais qui je suis
Et je vais tout oublier
Les douleurs du monde
Et je vais tout oublier
Les douleurs du monde
Et je vais tout oublier
Les douleurs du monde
Et je vais!...",pt_XX,fr_XX
