original_poem,translated_poem,src_lang,tgt_lang
"Mandacaru quando fulora na seca
É o siná que a chuva chega no sertão
Toda menina que enjôa da boneca
É siná que o amor já chegou no coração...
 Meia comprida (i)
Não quer mais sapato baixo (ii)
Vestido bem cintado
Não quer mais vestir timão...
 Ela só quer
Só pensa em namorar
Ela só quer
Só pensa em namorar
 De manhã cedo já tá pintada
Só vive suspirando (iv)
Sonhando acordada
O pai leva ao dotô a filha adoentada
Não come, nem estuda
Não dorme, não quer nada...
 Ela só quer
Só pensa em namorar
Ela só quer
Só pensa em namorar
 Mas o dotô nem examina
Chamando o pai de lado
Lhe diz logo em surdina
Que o mal é da idade
Que prá tal menina
Não tem um só remédio
Em toda medicina...
 Ela só quer
Só pensa em namorar
Ela só quer
Só pensa em namorar","When mandacaru** flowers in the drought
Is a sign that the rainy season is on the way
Every girl that gets sick of her doll
Is a sign that love has already reached her heart
 Long stockings
Don't like low-heeled shoes anymore
Dresses tight in the waist
Don't like children's clothes anymore
 She only wants
Only thinks about boys
She only wants
Only thinks about boys
 Early in the morning, her face already has make up on
She's always sighing
Daydreaming
Her father takes his sick daughter to the doctor
She won't eat, won't study
Won't sleep, and doesn't want anything
 She only wants
Only thinks about boys
She only wants
Only thinks about boys
 But the doctor won't even examine her
He waves to her father
And tells him privately
That this sickness is an age thing
And that for such girl
There isn't a single medicine
In all medical science
 She only wants
Only thinks about boys
She only wants
Only thinks about boys",pt_XX,en_XX
"Alô, eu tô ligando só pra te dizer
Que eu tô dando queixa de você
Tô na delegacia
e o polícia disse que seu caso não tem solução
Roubar um coração é caso sério
Sua sentença é viver na mesma cela que eu
Já que nos dois estamos sendo acusados de adultério
 Eu deixo esse cara, cê larga essa mulher
E a gente vai viver a vida como Deus quiser
Sem dar satisfação da nossa relação
Condenados a viver
Compartilhando prazer
Na cela da nossa paixão
 Oh, oh, oh, oh, oh
Não quero advogado
Quero regime fechado com você, amor
Oh, oh, oh, oh, oh
Nós somos bagunçados e reféns desse pecado
 É bandido esse meu coração
Eterno prisioneiro da paixão","Hello, I'm calling just to say
That I'm filing a complaint against you
I'm at the police station and the policeman said your case has no solution
To steal a heart is a serious issue
Your sentence is to live in the same cell as me
Since we're both being charged with adultery
 I'll leave this guy and you'll leave that woman
And we'll live life the way God wants
Without having to explain our relationship to nobody
Condemned to live sharing pleasure
In the cell of our passion
 I want no lawyer, I want maximum security
With you, my love
We are messed up and hostages of this sin
 My heart is a bandit
Always a prisoner of passion",pt_XX,en_XX
"Quando o mel é bom
A abelha sempre volta
Olha você me ligando, passando mensagens
Se não ligasse eu iria ligar
Mas esperei a tua reação
A verdade é que a noite passada
Ficou tatuada em meu coração
 Você fez de um jeito gostoso
O teu cheiro ficou em meu corpo
E em minha boca o teu gosto
O gosto do mel
O cheiro da rosa, ai ai ai
Tuas mãos tocando o meu corpo inteiro
Os teus dedos adentrando o meu cabelo, ai ai ai, ai ai ai
 Pensei que cê fosse embora
Eu não tive resposta
Mas quando o mel é bom a abelha sempre volta
Quê que isso menino?
Você veio do céu
E o nosso romance vai além de um quarto de motel
 Tava esperando um sinal, uma mensagem e uma resposta
Mas quando o mel é bom
Quando o mel é bom
Quando o mel é bom
A abelha sempre volta
Mas esperei a tua reação
A verdade é que a noite passada
Ficou tatuada no meu coração","When honey is good
The bee always comes back
Look at you ringing me, texting me
If you hadn't called, I would
But I waited for your reaction
Truth is that last night
Was tattooed in my heart
 You were so good in bed
Your smell lingered in my body
And in my mouth, your taste
The taste of honey
The smell of roses
Your hands all over my body
Your fingers running through my hair
 I thought you were leaving
I had no answer
But when honey is good the bee always comes back
What is it, boy?
You fell from Heaven
And our romance goes well beyond a love hotel
 I was waiting for a sign, a message and an answer
But when honey is good
When honey is good
When honey is good
The bee always comes back",pt_XX,en_XX
"Pode ficar aqui, sou eu quem vou partir
O que a gente construiu não é preciso dividir
Fizemos tantos planos, compramos tantas coisas
Mas o amor é longe disso
Precisamos de um tempo em relação a nós dois
Depois decidimos o final
Espero que seja um final feliz
 Se o nosso amor se acabar
Eu de você não quero nada
Pode ficar com a casa inteira e o nosso carro
Por você eu vivo e morro
Mas dessa casa eu só vou levar
Meu violão e o nosso cachorro
 Se amanhã a gente se acertar, tudo bem
Mas se a gente não voltar
Posso beber, posso chorar
E até ficar no choro
Mas dessa casa eu só vou levar
Meu violão e o nosso cachorro
 Fizemos tantos planos, compramos tantas coisas
Mas o amor é longe disso
Precisamos de um tempo em relação a nós dois
Depois decidimos o final
Espero que seja um final feliz
 Se o nosso amor se acabar
Eu de você não quero nada
Pode ficar com a casa inteira e o nosso carro
Por você eu vivo e morro
Mas dessa casa eu só vou levar
Meu violão e o nosso cachorro
 Se amanhã a gente se acertar, tudo bem
Mas se a gente não voltar
Posso beber, posso chorar
E até ficar no choro
Mas dessa casa eu só vou levar
Meu violão e o nosso cachorro
 Meu violão e o nosso cachorro","You can keep the house, I'm the one who's leaving
There's no need to split what we have built together
We made so many plans, bought so much stuff
But love is now far from all this
We need some time apart
So we can decide on the end
I hope it's a happy end
 If our love is over
I want nothing from you
You can keep the house and our car
For you I live and die
I'll take with me from this house
Only my guitar and our dog
 If we make up in the future, fine
But if we don't come back
I'll drink, I'll cry
Even have alcohol poisoning
But I'll just take with me from this house
My guitar and our dog",pt_XX,en_XX
"Tudo era apenas uma brincadeira
Que foi crescendo, crescendo e me absorvendo
E, de repente, eu me vi assim, completamente seu
 Vi a minha força amarrada no seu passo
Vi que sem você não há caminho, eu não me acho
Vi um grande amor nascer dentro de mim como eu sonhei um dia
 Quando o meu mundo era mais mundo
E todo mundo admitia uma mudança muito estranha
Mais pureza, mais carinho, mais calma, mais alegria
No meu jeito de me dar
 Quando a canção se fez mais clara e mais sentida
Quando a poesia realmente fez folia em minha vida
Você veio me falar dessa paixão inesperada por outra pessoa
 Mas não tem revolta, não
Eu só quero que você se encontre
Saudade até que é bom
É melhor que caminhar vazio
A esperança é um dom que eu tenho em mim
Eu tenho sim
 Não tem desespero, não
Você me ensinou milhões de coisas
Tenho um sonho em minhas mãos
Amanhã será um novo dia
Certamente eu vou ser mais feliz","It was all just some fun
But it grew, and grew and absorbed me
And all of a sudden I found myself completely yours
 I found my strenght tied to your footsteps
I found that without you there is no way, I can't find myself
I saw a great love screaming from inside as I had dreamed some day
 When my world was more of a world
And everyone admitted a very strange change
More purity, more tenderness, more calm, more joy
In my relationships
 When the song was louder and more deeply felt
When poetry really made a Carnival in my life
You told me about this unexpected infatuation for somebody else
 But I feel no disaffection at all
I just want you to find yourself
It's even good to miss someone
Better than be empty inside
Hope is a gift I have in me
Yes, I do
 There's no dispair at all
You taught me millions of things
I have a dream in my hands
Tomorrow will be a new day
I'll certainly be happier",pt_XX,en_XX
"Levanta, sacode a poeira
E dá a volta por cima
 Levanta, sacode a poeira
E dá a volta por cima
 Chorei, não procurei esconder
Todos viram, fingiram
Pena de mim, não precisava
Ali onde eu chorei
Qualquer um chorava
Dar a volta por cima que eu dei
Quero ver quem dava
 Chorei, não procurei esconder
Todos viram, fingiram
Pena de mim, não precisava
Ali onde eu chorei
Qualquer um chorava
Dar a volta por cima que eu dei
Quero ver quem dava
 Um homem de moral não fica no chão
Nem quer que mulher
Venha lhe dar a mão
Reconhece a queda e não desanima
Levanta, sacode a poeira
E dá a volta por cima
 Levanta, sacode a poeira
E dá a volta por cima
 Fingiram
Pena de mim, não precisava
 Dar a volta por cima que eu dei
Quero ver quem dava
 Um homem de moral não fica no chão
Nem quer que mulher
Venha lhe dar a mão
Reconhece a queda e não desanima
Levanta, sacode a poeira
E dá a volta por cima
 Levanta, sacode a poeira
E dá a volta por cima...","Get up, shake the dirt off
And return to the top
 Get up, shake the dirt off
And return to the top
 I cried, I didn't try to hide it
Everyone watched, pretended
To pity over me, there was no need
Where I cried
Anyone else would have cried
The return to the top that I managed
I want to see who else would have managed
 I cried, I didn't try to hide it
Everyone watched, pretended
To pity over me, there was no need
Where I cried
Anyone else would have cried
The return to the top that I managed
I want to see who would have managed
 A man of good morals doesn't stay on the ground
And neither wants woman
To come give him a hand
He recognizes his downfall and does not despair
He gets up, shakes the dirt off
And returns to the top
 He gets up, shakes the dirt off
And returns to the top
 They pretended
To pity over me, there was no need
 The return to the top that I managed
I want to see who would have managed
 A man of good morals doesn't stay on the ground
And neither wants woman
To come give him a hand
He recognizes his downfall and does not despair
He gets up, shakes the dirt off
And returns to the top
 He gets up, shakes the dirt off
And returns to the top...",pt_XX,en_XX
"Que ela 'tá que 'tá
Fumando um beck junto com os moleque
Não quer mais parar
É rap no iPad, e nada impede
De ela encostar
No show do Flip, é cash, e ela investe e se veste
Só pra ir causar
Deixa, não se mete que essa briga e mete
Fuma pra transar
Pra comer, pra chapar
Fuma pra transar
Pra comer, pra chapar
Fuma pra transar
Vou contar uma história pra vocês
Era uma vez
Uma pretinha que morava ali num bairro burguês
Vejam vocês
Ela fala top, quer andar de Crocs
Anda com os playboy
Me chama de Flipera, o Davi, de Davizera
Quer colar com nós
Se chamar ela de morena
Ela fica boladona
Se chamar ela de pretinha
Não é pretinha, ela é pretona
Ela cola na Marcone, ela quer ser vileira
Conhece a Vila Maria inteira
Ela quer ser maloqueira, ela quer ser maloca
Mas ela é Vila Madaloca
Rio, 40 graus, inverno glacial
Deu um gelo no pai
Ela foi pro Leblon, shortinho e moletom
Foi pra Itanhaém
Itanhaém, só moleque louco
Mas não pegou ninguém por causa de 'cê sabe quem
Ei, 'cê 'tá olhando o que? Será que se perdeu?
É minha amiga que 'tá querendo você!
Ei, 'tô rebolando sim! Ei, tô fumando sim!
Eu só não fumo quando meu pulmão quer fuma sozin'
Eu sou do rap, sou do funk carioca
Sempre princesa
Salve, salve, saudosa maloca
Me chama, te ligo, bebê
É, sou do funk, sou do rap
Sou do funk, sou do rap (sou do rap, me liga, me liga)
Pra comer, pra chapar
Fuma pra transar
Pra comer, pra chapar
Fuma pra transar","She's feeling herself
Smoking a joint with the boys
She doesn't wanna stop anymore
There's rap music playing on the iPad, and nothing stops
Her from pulling up
To the Flip concert, it's cash, she invests it and dresses up
Just to show off
Drop it, mind your business over this fight and get lost
Smoke to have sex
To eat, to get high
Smoke to have sex
To eat, to get high
Smoke to have sex
Imma tell you guys a story
Once upon a time
There was a black girl who lived in a bougie neighbourhood
Listen to this
She uses their slang, wants to wear Crocs
Hangs out with the rich boys
Calls me Flippie, calls David Davie
Wants to chill with us
If you call her a lightskin
She gets pissed
If you call her a black girl
It's not black girl, it's black woman
She chills with Marcone, she wants to be a vila girl
She knows all of Vila Maria
She wants to be a thug, she wants to be a thug
But she is a Vilathug
Rio, 40 degrees, frosty winter
She's acting cold towards daddy
She went to Leblon, booty shorts and a hoodie
Went to Itanhaém
Itanhaém is full of crazy boys
But she didn't hook up with anybody because of you know who
Hey, watchu lookin' at? Are you lost?
My friend is the one who wants you!
Hey, yeah, I'm shaking it! Hey, yeah, I'm smoking!
The only time I don't smoke is when my lungs want to smoke on their own
I belong to rap music, I belong to the Rio funk
Always a princess
Yo, yo, the thug we miss so much
Call me, I'll call you, baby
Yeah, I belong to funk, I belong to rap
I belong to funk, I belong to rap (I belong to rap, call me, call me)
To eat, to get high
Smoke to have sex
To eat, to get high
Smoke to have sex",pt_XX,en_XX
"Luminosos no deserto de Las Vegas
São sinais que em algum lugar
Você tem o coraçao á miha espera e virá
Não procuro meu destino entre as estrelas
Deixo o céu me arrebatar
Quem me dera colidir com seu planeta e ficar
 Dias e noites azuls vão passar
Tardes que vão sem voltar
Eu e você, nosso amor sempre lá
Lá no Satélite Bar
 Os meus olhos correm a noite da Bahia
E confirmam que por lá
As mensagens são mais claras do que o dia que virá
Transmutar minho tristeza em alegria
Deixo o céu me arrebatar
Quem me dera colidir com seu planeta pra ficar
 Dias e noites azuls vão passar
tardes que vão sem voltar
Eu e você, nosso amor sempre lá
Lá no Satélite Bar","Bright in the Las Vegas desert
It's signs that somewhere out there
You have a heart that's waiting for me and you'll come
I don't look for my fate among the stars
I let the sky take me
Oh how I wish I could collide with your planet and stay
 Blue days and nights will go by
Afternoons that are gone not to return
You and I, our love's always there
At Satellite Bar
 My eyes run through the night in Bahia1
And confirm that
The messages there are way clearer than the day that will come
Turn my sadness into joy
I let the sky take me
Oh how I wish I could collide with your planet and stay
 Blue days and nights will go by
Afternoons that are gone not to return
You and I, our love's always there
At Satellite Bar
  1.
Brazilian state of Bahia in the Northeast.",pt_XX,en_XX
"(Steven) -
Eis aqui o futuro!
Eis aqui o futuro a brilhar!
Nada a temer
E sem lutar
É bom demais
Tão longe vir
O felizes pra sempre é aqui!
Houve um tempo em que eu andava
Preso na sombra materna,
Respondendo por seus crimes
Dentro duma batalha eterna,
Até aperfeiçoar
Meu poder particular
Que cada dia eu sentia fortalecer
E agora o mundo está salvo e a galáxia também
Ganhamos!
Eis aqui o futuro!
 (Steven) - Oi Pérola, Oi pai!
 (Greg) - Oi Stevenzito
 (Pérola) - Steven! eu tô aprendendo a tocar ""baixô""
 (Greg) - Eu já falei pra ela que é baixo!
 (Pérola) - Desculpe mas B-A-I-X-O é baixô
 (Greg) - Você que manda
 (Pérola) - Eu mando mesmo!
 Houve um tempo em que eu vivia
Em função da diamante rosa,
Mas viemos pra este planeta
Em busca de vida nova,
Nos tornamos nossa fantasia
E eu soube que ela me libertaria
Mas no final ao lado dela não deixei,
Depois do amor e perda e lágrimas que chorei
Eu vejo
Eis aqui o futuro!
 (Steven) - Oi garotão! Vou lá pra cidade
 (Greg) - Te vejo no show hoje a noite?
 (Steven) - Eu não perco por nada!
hm, hm hm, hm hm hm hm, hm hm hm hm hm hm hm
Eis aqui!
 (Garnet) - Guardei seu lugar
 (Steven) - Valeu Garnet. Oi gente o que eu perdi?
 (Garnet) - Você chegou na minha parte preferida da história
 Houve um tempo
Em que uma Safira
Veio com sua Rubi soldado
O seu destino era fatal
Até Rubi pegá-la em seus braços
Logo estavam fundindo
Estranho mas tão lindo
E lá estava eu tão ingênua a perguntar
Se me contassem eu não ia acreditar
Agora
Eis aqui o futuro!
 (Steven) - Deixa eu guardar isso aqui. Aí, você sabe o que a Ametista tá fazendo?
 (Garnet) - Por acaso eu sei o que todos estão fazendo. Ela está lá no mini planeta natal. Se teleporta!
 (Ametista) - Cuidado aí colega
 (Ametista e Steven) - Piu piu, 1, 2, 3, rá!
 (Steven) - Valeu Ametista
 (Bismuto) - Steven! Chegou bem na hora. Vamos instalar o teleportador
 (Peridot) - Ou seja, mini planeta natal está 83,7% completo!
 (Lapis) - Só 83,7%? Vamos acelerar isso ai!
 (Bsimuto) - Deixa Comigo!
 (Steven) - Nossa, o mini planeta natal tá crescendo rápido
 (Ametista) - Você também... olha pra mim eu sou quase adulto!
Legal todas essas gems construindo uma casa nova na terra
Quem dera eu tivesse isso quando eu emergi
 Houve um tempo
Em que eu vim a vida no jardim de infância
Produto de uma guerra que eu não tinha ideia da importância
Cheguei sozinha e atrasada
Me vi tão isolada
Agora sei exatamente o meu lugar
Nessa família eu vou ficar
 Eaí o que você achou?
 (Steven) -
Eu quero soltar a minha voz!
Realizar
A união
Que somos nós...
Eis o futuro!
 (Steven, Pérola, Garnet e Ametista) -
Eis aqui o futuro a brilhar!
Nada a temer e sem lutar
É bom demais tão longe vir!
O felizes pra sempre
O felizes pra sempre
O felizes pra sempre
É aqui","(Steven) -
Here is the future!
Here is the future shining!
Nothing to fear
And without fighting
It is too good
So far to come
The happily ever after is here!
There was a time when I walked
Trapped in the maternal shadow,
Answering for her crimes
Within an eternal battle,
Until I perfect
My particular power
That each day I felt strengthened
And now the world is saved and the galaxy as well
We won!
Here is the future!
 (Steven) - Hi Pearl, Hi dad!
 (Greg) - Hi Stevenzito
 (Pearl) - Steven! I'm learning to play the ""bass""
 (Greg) - I already told her it is bass!
 (Pearl) - Sorry but B-A-S-S is base
 (Greg) - You are the bomissss
 (Pearl) - I am really it!
 There was a time when I lived
Due to the pink diamond,
But we came to this planet
In search of new life,
We became our fantasy
And I knew she would set me free
But in the end I didn't leave her side,
After the love and loss and tears I cried
I see
Here is the future!
 (Steven) - Hi big boy! I'm going to the town
 (Greg) - See you at the show tonight?
 (Steven) - I don't skip it for anything!
hm, hm hm, hm hm hm hm, hm hm hm hm hm hm hm
Behold here!
 (Garnet) - I saved your place
 (Steven) - Thanks Garnet. Hi guys, what did I miss?
 (Garnet) - You arrived at my favorite part of the story
 There was a time
In which a Sapphire
Came with her Ruby soldier
Her fate was fatal
Until Ruby took her in her arms
Soon they were fusing
Strange but so beautiful
And there I was so naive asking
If they told me I wouldn't believe it
Now
Here is the future!
 (Steven) - Let me keep it here. Hey, do you know what Amethyst is doing?
 (Garnet) - By chance I know what everyone is doing. She is there on the mini home planet. Teleport!
 (Amethyst) - Be careful there colleague
 (Amethyst and Steven) - Pew, pew, 1, 2, 3, ha!
 (Steven) - Thanks Amethyst
 (Bismuth) - Steven! You arrived just in time. We're gonna install the teleporter
 (Peridot) - That is, the mini home planet is 83.7% complete!
 (Lapis) - Only 83.7%? Let's speed it up!
 (Bsimuto) - Leave it to me!
 (Steven) - Wow, the mini home planet is growing fast
 (Amethyst) - You too ... look at me, I'm almost an adult!
Cool all these gems building a new home on earth
I wish I had it when I emerged
 There was a time
When I came to life in kindergarten
Product of a war that I had no idea of the importance
I arrived alone and late
I found myself so isolated
Now I know exactly my place
In this family I'm gonna stay
 Hey what did you think?
 (Steven) -
I want to belt my voice out!
To accomplish
The Union
That we are ...
Here is the future!
 (Steven, Pearl, Garnet and Amethyst) -
Here is the future shining!
Nothing to fear and without fighting
It is too good to come so far!
The happily ever after
The happily ever after
The happily ever after
Is here",pt_XX,en_XX
"Tanta ironia quanto pintar árvores no papel
Meus amigos precisam mais de amigos do que eu
Nossas solidões se esbarram e ninguém percebeu
É que as prisões são invisíveis, assim como eu
 Estou entre mudar de vida
E não saber viver
Metade de mim é coragem
E a outra quer correr
 Sou vulnerável demais
Posso dizer
Que o fundo do poço tem um fundo, um fim
Dá pra ver
 Sou vulnerável demais
Posso dizer
Que o fundo do poço tem um fundo, um fim
Dá pra ver
 Que a vida seja tão bela quanto as fotos que eu postei
E que toda essa mentira acabe de vez
Que eu quero poder contar o que a vida me fez
Forte mesmo é quem assume a sua liquidez
 Estou entre mudar de vida
E não saber viver
Metade de mim é coragem
E a outra quer correr
 Sou vulnerável demais
Posso dizer
Que o fundo do poço tem um fundo, um fim
Dá pra ver
 Sou vulnerável demais
Posso dizer
Que o fundo do poço tem um fundo, um fim
Dá pra ver","So much irony draw trees on paper
My friends need more friends than I do
Our solitudes pass each other and no one noticed
It's because prisons are invisible, just like me
 I'm caught between change my life
And don't know how to live
Half of me is courage
The other half wants to run away
 I'm too vulnerable
I can tell
That the deep end has a fund, an end
I can see
 I'm too vulnerable
I can tell
That the deep end has a fund, an end
I can see
 I want life to be as beautiful as the pictures that I posted
And all these lies to be over
I want to be able to tell what life did to me
The real strong is the one who accepts your own liquidity
 I'm caught between change my life
And don't know how to live
Half of me is courage
The other half wants to run away
 I'm too vulnerable
I can tell
That the deep end has a fund, an end
I can see
 I'm too vulnerable
I can tell
That the deep end has a fund, an end
I can see",pt_XX,en_XX
