original_poem,translated_poem,src_lang,tgt_lang
"É isso aí!
Como a gente achou que ia ser
A vida tão simples é boa
Quase sempre
É isso aí!
Os passos vão pelas ruas
Ninguém reparou na lua
A vida sempre continua
 Eu não sei parar de te olhar
Eu não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não sei parar
De te olhar
 É isso aí!
Há quem acredite em milagres
Há quem cometa maldades
Há quem não saiba dizer a verdade
 É isso aí!
Um vendedor de flores
Ensina seus filhos a escolher seus amores
 Eu não sei parar de te olhar
Não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não vou parar de te olhar
 É isso aí!
Há quem acredite em milagres
Há quem cometa maldades
Há quem não saiba dizer a verdade
 É isso aí!
Um vendedor de flores
Ensina seus filhos a escolher seus amores
 Eu não sei parar de te olhar
Eu não sei parar de te olhar
Não vou parar de te olhar
Eu não me canso de olhar
Não vou parar de te olhar","That's right!
It is like we thought it would be
Such a humble life is nice
Most of the time
That's right!
Footsteps wandering in the streets
The moon goes unnoticed
Life always goes on
 I don't know how to stop looking at you
I don't know how to stop looking at you
I won't stop looking at you
I won't get tired of looking at you
I don't know how to stop
Looking at you
 That's right!
Some believe in miracles
Some do wrong things
Some don't know how tell the truth
 That's right!
A flower vendor
Teaches his children how to choose who to love
 I don't know how to stop looking at you
I don't know how to stop looking at you
I won't stop looking at you
I won't get tired of looking at you
I won't stop looking at you
 That's right!
 Some believe in miracles
Some do wrong things
Some don't know how tell the truth
 That's right!
A flower vendor
Teaches his children how to choose who to love
 I don't know how to stop looking at you
I don't know how to stop looking at you
I won't stop looking at you
I won't get tired of looking at you
I won't stop looking at you",pt_XX,en_XX
"Vai, barracão
Pendurado no morro
E pedindo socorro
À cidade a teus pés
 Vai, barracão
Tua voz eu escuto
Não te esqueço um minuto
Porque sei que tu és
 Barracão de zinco
Tradição do meu país
Barracão de zinco
Pobretão, infeliz","There you go, slum
At the top of the mount
And crying for help
To the city below
 There you go, slum
I can hear your voice
I don't forget you for even a minute
'Cause I know you are
 A zinc slum
My nation's tradition
A zinc slum
Poor and unhappy",pt_XX,en_XX
"Quando as pessoas na minha volta
Não parecem estar nem aí
Eu sinto coisas que não devia nunca sentir
Quando eu preciso de um lugar para chamar de meu
Porque a esperança em minha volta, acho que morreu
Ou quando eu saio pela rua e vejo tudo igual
E todo mundo se esforçando só pra ser normal
Quando eu não tenho asas
Mas só preciso voar e me erguer no ar
Procuro energia que me contagia
Me dá vontade de viver
Me faz sentir forte, maior que a morte
Então eu preciso dizer
 Eu agradeço ao Rock 'N' Roll
Por me tornar quem eu sou
A liberdade que ele traz, espero não perder, jamais
Eu agradeço ao Rock, eu agradeço ao Rock
Eu agradeço ao Rock 'N' Roll
Meu coração bate mais forte
Uma guitarra e seus acordes
Vou levar até a minha morte
 Quando a vontade de gritar
Que eu tenho se torna o meu poder
E a confiança cresce em mim, me faz sobreviver
Quando eu aumento o volume para não ouvir
Todo barulho em minha mente, em volta de mim
Me sinto grato por ter encontrado a solução
Como um remédio para a dor que há no coração
Por isso a cada novo dia em que eu acordar
Ele vai estar lá
 Eu agradeço ao Rock 'N' Roll
Por me tornar quem eu sou
A liberdade que ele traz, espero não perder, jamais
Eu agradeço ao Rock, eu agradeço ao Rock
Eu agradeço ao Rock 'N' Roll
Meu coração bate mais forte
Uma guitarra e seus acordes
Vou levar até a minha morte
 Procuro energia que me contagia
Me dá vontade de viver
Me faz sentir forte, maior que a morte
Então eu preciso dizer
 Eu agradeço ao Rock 'N' Roll
Por me tornar quem eu sou
A liberdade que ele traz, espero não perder, jamais
Eu agradeço ao Rock, eu agradeço ao Rock
Eu agradeço ao Rock 'N' Roll
Meu coração bate mais forte
Uma guitarra e seus acordes
Vou levar até morte, se deixar até depois","When the people around me
Don't seem to care
I feel things that I should never feel
When I need a place to call my own
Because the hope around me, I think it died
Or when I go out on the street and see everything the same
And everyone is trying just to be normal
When I don't have wings
But I only need to fly and rise in the air
I look for energy that infects me
Makes me want to live
Makes me feel strong, better than death
So I need to say
 I appreciate Rock 'N' Roll
For making me who I am
The freedom it brings, I hope not to lose, never
I appreciate Rock 'N' Roll, I appreciate Rock 'N' Roll
I appreciate Rock 'N' Roll
My heart beats stronger
A guitar and its chords
I will take it to my death
 When the will of shouting
That I have becomes my power
And reliability grows in me, makes me survive
When I turn up the volume to not to hear
All the noise in my mind, all around me
I feel grateful to have found the solution
Like a remedy for the pain in the heart
That's why I want to remember everyday
It is going to be there
 I appreciate Rock 'N' Roll
For making me who I am
The freedom it brings, I hope not to lose, never
I appreciate Rock 'N' Roll, I appreciate Rock 'N' Roll
I appreciate Rock 'N' Roll
My heart beats stronger
A guitar and its chords
I will take it to my death
 I look for energy that infects me
Makes me want to live
Makes me feel strong, better than death
So I need to say
 I appreciate Rock 'N' Roll
For making me who I am
The freedom it brings, I hope not to lose, never
I appreciate Rock 'N' Roll, I appreciate Rock 'N' Roll
I appreciate Rock 'N' Roll
My heart beats stronger
A guitar and its chords
I will take it to my death, even after",pt_XX,en_XX
"Avé, alegre luz, puro esplendor
da gloriosa face paternal,
Avé, Jesus, bendito Salvador,
Cristo ressuscitado e imortal.
 No horizonte o sol já declinou,
brilham da noite as luzes cintilantes:
ao Pai, ao Filho, ao Espírito de amor
cantemos nossos hinos exultantes.
 De santas vozes sobe a adoração
prestada a Ti, Jesus, Filho de Deus.
Inteira, canta glória a criação,
o universo, a terra, os novos céus.","Oh gladsome Light, pure splendor
of God the Father's face,
Ave, Jesus, blessed Savior
Christ risen and inmortal
 On the horizon the sun has already faded
the sparkling lights shine at night
Unto the Father, the Son, the Spirit of love;
Let us sing our exalting hymns
 From holy voices the praise rises
dedicated to You, Jesus, Son of God
In its entirety, creation sings ""glory!""
The universe, the world, the new skies",pt_XX,en_XX
"Há 180 dias num sono profundo
Profundamente em paz
Não de quem dorme
Nem de quem morre
 Mas apenas está
Apenas está uma das metades
Num descanso horizontal
E a outra metade
Numa ausência mortal
 Há 180 dias que me chamam de vegetal
Há 180 dias com a merda do cheiro a hospital
Há 180 dias que me chamam de vegetal
Há 180 dias com a merda do cheiro a hospital
 À minha volta a dor
Daqueles que por amor
Não perdem a esperança
Como a de uma criança
Que à lua quer chegar
 Apaguem as máquinas, arranquem os fios
Assim como eu arranquei a minha própria vida
Não carregarei nos ombros o peso de uma alma perdida
Apaguem as máquinas, arranquem os fios
E neste último dia serei um covarde
Um covarde que teve o que merecia
Apaguem as máquinas, arranquem os fios
Apaguem as máquinas, arranquem os fios
Apaguem as máquinas, arranquem os fios...
 Há 180 dias a hibernar
Valerá a pena despertar?
A realidade terei de enfrentar
A realidade de quem
Acabou de matar","180 days passed in a deep sleep
Profoundly in peace
Not a sleep of someone who sleeps
Or of someone who dies
 But who only is
Only one half lies
In horizontal rest
And the other half
Is in a deathly absence
 180 days being called a vegetable
180 days smelling like hospital fuck
180 days being called a vegetable
180 days smelling like hospital fuck
 Around me, the pain
Of those that, for love
Don't lose their hope
Just like a child
Who wants to reach the Moon
 Turn of the machines, rip out the wires
Just like I ripped out my own life
I won't bear on my shoulders the weight of a lost soul
Turn of the machines, rip out the wires
And in this last day I will be a coward
A coward who had what he deserved
Turn of the machines, rip out the wires
Turn of the machines, rip out the wires
Turn of the machines, rip out the wires...
 180 days hibernating
Will waking up be worth?
I will have to face reality
The reality of a man
Who just killed",pt_XX,en_XX
"Tenho o sono mais tranquilo
Do que isso e aquilo
Que você me prometeu
 E a verdade mais doída
É que o rasgo da ferida
Nunca mais doeu
 Por tudo o que se passou
Por tanto que me rendi
De repente entendi
Que você nem notou
 E o vento que vem do mar
A estrela que despontou
Nas águas do meu olhar
A luz que te descansou
 Tenho o sono mais tranquilo
Do que isso e aquilo
Que você me prometeu
 E a verdade mais doída
É que o rasgo da ferida
Nunca mais doeu","My sleep is more peaceful
Than everything
That you promised me
 And the most painful truth
Is that the wound
Never hurt again
 For all that happened
For the many times I surrendered
I suddenly understood
That you didn't even notice
 And the sea breeze
The star that appears
In the waters of my eyes
The light that made you rest
 My sleep is more peaceful
Than everything
That you promised me
 And the most painful truth
Is that the wound
Never hurt again",pt_XX,en_XX
"Ninguém disse que era fácil
Viver um amor eterno
Em que o longe é mais real
Que o perto
 Ninguém disse que era fácil
Ouvir, mas não tocar
Tentar guardar
O teu cheiro
Um dia mais
 Mas quando te vejo
Apaixono-me outra vez
Mais uma vez
Como da primeira vez
 Se for sempre assim
Esta estrada dividida
Vou-me apaixonar por ti
Até ao fim da vida
 Ninguém disse que era fácil
Dormir sem ti ao meu lado
Deixa espaço
P'ro teu corpo imaginar
 Mas quando te vejo
Apaixono-me outra vez
Mais uma vez
Como da primeira vez
 Se for sempre assim
Esta estrada dividida
Vou-me apaixonar por ti
Até ao fim da vida","No one said it was easy
To live an eternal love
In which the distant is more real
Than the close
 No one said it was easy
To listen, but not to touch
Trying to remember
Your smell
For one day more
 But when I see you
I fall in love once more
Once more
Just like the first time
 If it's always meant to be like that
This shared road
I will fall in love with you
Till the end of my life
 No one said it was easy
To sleep without you by my side
Leave some room
For your body to imagine
 But when I see you
I fall in love once more
Once more
Just like the first time
 If it's always meant to be like that
This shared road
I will fall in love with you
Till the end of my life",pt_XX,en_XX
"Eu, inteiramente teu,
Sei que morri de amor
Eu, que sem pensar
Quis em teus braços repousar
Vivia p'ra viver nesse lar
 Eu, desfeito, mas teu
Acreditei
Eu, eternamente teu serei
Amor, eu sei
 Que eu, perdido mas teu
Só posso ser
Plenamente eu
Se o teu amor
Quiser ser também
Somente meu","I, completely yours,
Know I died of love
I, who without thinking,
Wanted to rest in your arms
I lived to live in this home
 I, undone, but still yours
Believed
I, will always be yours,
Love, I know
 That I, lost but yours
Can only be
Completely myself
If your love
Also wants to be
Only mine",pt_XX,en_XX
"É a minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
A minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
 Ah, ah, ah
Aquele mar azul bebê
Em falar nisso, quero fazer uns três com você
Só imagina, eu por baixo, tu por cima
Aquela adrenalina, você toda possuída
Me puxa pela camisa e pede: ""Me bate, Ludmilla""
Calma que eu não sei lutar, mas eu sou a melhor DJ
Posso tocar a noite inteira e você pode me pedir replay1
Se você cansar, eu paro só pra você descansar
Mas só tem três minutinho
Porque a festa vai continuar, ah, ah
 É a minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
A minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
 Maldivas, Maldivas
Eu por baixo, tu por cima
Aquela adrenalina, você toda possuída
Me puxa pela camisa e pede: ""Me bate, Ludmilla""
Calma que eu não sei lutar, mas eu sou a melhor DJ
Posso tocar a noite inteira e você pode me pedir replay1
Se você cansar, eu paro só pra você descansar
Mas só tem três minutinho
Porque a festa vai continuar
 É a minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
A minha de fé, minha preferida, eu
Eu caso com essa mulher e vou parar lá em Maldivas
Maldivas
 Mais tarde cê chegando aí com ela
  1.
a. b. Referência a atos sexuais entre duas mulheres, que costumam envolver o bom uso das mãos, como um DJ faz.","It's my faithful one, my favorite one, I
I will marry this girl and end up in Maldives
My faithful one, my favorite one, I
I will marry this girl and end up in Maldives
 Ah, ah, ah
That baby blue sea
Speaking of that, I'd like to make three of them1 with you
Picture it, me under, you over
That adrenaline, you totally possessed
Grab me by my shirt and ask ""Hit me, Ludmilla""
Wait, I don't know how to battle, but I'm the best DJ
I can play the whole night and you can ask me to replay2
If you get tired, I'll stop so you can rest
But just for three minutes
As the party is going on, ah ah
 It's my faithful one, my favorite one, I
I will marry this girl and end up in Maldives
My faithful one, my favorite one, I
I will marry this girl and end up in Maldives
 Maldives, Maldives
Me under, you over
That adrenaline, you totally possessed
Grab me by my shirt and ask ""Hit me, Ludmilla""
Wait, I don't know how to battle, but I'm the best DJ
I can play the whole night and you can ask me to replay2
If you get tired, I'll stop so you can rest
But just for three minutes
As the party is going on
 It's my faithful one, my favorite one, I
I will marry this girl and end up in Maldives
My faithful one, my favorite one, I
I will marry this girl and end up in Maldives
Maldives
 Later you're coming along with her
  1.
Babies - wordplay impossible in any translation.
2.
a. b. Think of sexual acts between two women: they use their hands well, like a DJ would normally do.",pt_XX,en_XX
"O Sol pediu a Lua em casamento
Disse que já a amava há muito tempo
Desde a época dos dinossauros
Pterodáctilos, tiranossauros
Quando nem existia a bicicleta, nem o velotrol
Nem a motocicleta
 Mas a Lua achou aquilo tão estranho
Uma bola quente que nem toma banho?
Imagine só?
Tenha dó
 Pois, meu coração não pertence a ninguém
Sou a inspiração de todos os casais
Dos grandes poetas aos mais normais
Sai pra lá, rapaz
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei, me dá um tempo
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei
Me dá um tempo
 E 24 horas depois, o Sol nasceu, a Lua se pôs, e
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei
Me dá um tempo
E o Sol, congelou seu coração
 Mas o Astro-Rei, com todos os seus planetas
Cometas, asteroides, Terra, Marte, Vênus, Netunos e Uranos
Foi se apaixonar justo por ela
Que o despreza e o deixa esperar
 Acontece que o Sol não se conformou
Foi pedir ao vento para lhe ajudar
Mas o vento nem sequer parou
Pois, não tinha tempo para conversar
O Sol, sem saber mais o que fazer
Com tanto amor pra dar
Começou a chorar
E a derreter, começou chover e a molhar, e a escurecer
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei
Me dá um tempo
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei
Me dá um tempo
 E 24 horas se passaram, e outra vez
O Sol se pôs
A Lua nasceu
E de novo, e de novo, e de novo
 O Sol pediu a Lua em casamento
E a Lua disse
Não sei, não sei, não sei
Me dá um tempo
E o Sol, congelou seu coração
 Se a Lua não te quer, tudo bem!
Você é lindo, cara
E seu brilho, vai muito mais além
Um dia, você vai encontrar alguém
Que, com certeza, vai te amar também","The Sun asked the Moon in marriage
He said he'd loved her for a long time
Since the time of dinosaurs,
pterodactyls, tyrannosaurs
When there wasn't even the bicycle, nor the velotrol,
nor the motorcycle
 But the Moon found that so strange:
“A hot ball that doesn't even shower?
Just imagine?
Have pity!
 Because my heart doesn't belong to anyone
I am the inspiration of all couples
From the great poets to the most normal ones
Get out there, boy!”
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know, give me a break»
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know,
give me a break»
 And 24 hours later, the Sun rose, the Moon set, and…
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know,
give me a break»
And the Sun, froze your heart
 But the Astro-King, with all its planets
Comets, asteroids, Earth, Mars, Venus, Neptune and Uranus
It was falling in love just with her
Who despises him and lets him wait
 It turns out that the Sun did not conform
He went to ask the wind to help him
But the wind didn't even stop
'Cause I didn't have time to talk
The Sol, not knowing what else to do
With so much love to give,
He started crying
And it was melting, it started to rain and it got wet, and it got dark
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know,
give me a break»
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know,
give me a break»
 And 24 hours passed, and again,
the sun went down,
the moon was born
And again, and again, and again...
 The Sun asked the Moon in marriage
And the Moon said:
«I don't know, I don't know, I don't know,
give me a break»
And the Sun, froze your heart
 If the Moon doesn't want you, that's fine!
you are beautiful man
And its brilliance goes much further
One day, you will meet someone
Who will surely love you too",pt_XX,en_XX
