original_poem,translated_poem,src_lang,tgt_lang
"Olhos que passeiam
pelo boulevard,
pegam o bonde
e imaginam
ou sonham
ou querem
estar no trenzinho caipira.
 Olhos que passeiam
pelo boulevard,
tropeçam na calçada
e brincam
ou fingem
ou querem
estar apaixonados.
 Olhos que passeiam
pelo boulevard,
fumam um cigarro
tomam um sorvete
assobiam uma cantiga
escrevem um bilhete
cumprimentam outros olhos
e fazem do boulevard
seu eppur si muove.","Des yeux qui se promènent
sur le boulevard,
prennent le tram
et imaginent
ou rêvent
ou aimeraient être
dans le petit train de la caipira.
 Des yeux qui se promènent
sur le boulevard,
trébuchent sur la chaussée
et jouent
ou font semblant
ou aimeraient être
amoureux.
 Des yeux qui se promènent
sur le boulevard,
fument une cigarette
achètent une glace
sifflent une chanson
écrivent un billet
séduisent d'autres yeux
et font du boulevard
leur eppur si muove1
  1.
et pourtant elle tourne",pt_XX,fr_XX
"Varrer o dia de ontem
que ainda resta pela sala,
o dia que persiste,
quase invisível
pelo chão,
nos objetos
sobre os móveis da sala.
Varrer amanhã
o pó de hoje.
Varrer,
varrer hoje.
(E domingo quebrar nos dentes
o copo
e sua água de vidro.
Segunda, não esquecer:
varrer todos os vestígios.)","Balayer le jour d’hier
qui demeure dans la salle encore,
le jour qui persiste,
presque invisible
sur le sol,
parmi les objets
sur les meubles de la salle.
Balayer, demain
la poussière d'aujourd'hui.
Balayer,
balayer aujourd'hui.
(Et dimanche, se casser les dents sur
la coupe
et son eau de cristal.
Lundi, ne pas oublier sur-
tout de balayer les traces.)",pt_XX,fr_XX
"Meu coração,
Não sei por quê,
Bate feliz quando te vê.
E os meus olhos ficam sorrindo,
E pelas ruas vão te seguindo.
Mas mesmo assim foges de mim.
 Ah se tu soubesses
Como sou tão carinhoso,
E como muito, muito que te quero,
E como é sincero o meu amor.
Eu sei que tu não fugirias mais de mim.
 Vem, vem, vem, vem,
Vem sentir o calor dos lábios meus
À procura dos teus.
Vem matar essa paixão
Que me devora o coração.
E só assim então serei feliz,
Bem feliz.","Mon cœur
Je ne sais pas pourquoi,
Bat heureux quand il te voit
Et mes yeux sourient
Et te suivent à travers les rues
Mais même ainsi tu me fuis.
 Ah si tu savais
Comme je suis si câlin,
Et combien, combien je t'aime,
Et comme mon amour est sincère.
Je sais que tu ne me fuirais plus jamais.
 Viens, viens, viens, viens,
Viens sentir la chaleur de mes lèvres
À la recherche des tiennes.
Viens assouvir cette passion
Qui me dévore le cœur.
Et seulement ainsi alors je serai heureux,
Bien heureux",pt_XX,fr_XX
"Nem Galileu
nem Foucault
descreveriam
esse inominável
espetáculo:
um pêndulo
humano (em
tenso desafio
à gravidade
e a outras leis)
suspenso como
um fruto peco
em sua corda
de enforcado.","Ni Galilée
ni Foucault
n'eurent à décrire
ce spectacle
innommable :
un pendule
humain (défiant
avec mépris
la gravité
et d'autres lois)
suspendu comme
un fruit gâté
à la corde
de son bourreau.",pt_XX,fr_XX
"Cê quer saber? Então, vou te falar
Por que as pessoas sadias adoecem
Bem alimentadas ou não, por que perecem
Tudo está guardado na mente
O que você quer nem sempre condiz com o que o outro sente
Eu to falando é de atenção
Que dá colo ao coração
E faz marmanjo chorar
Se faltar um simples sorriso, às vezes um olhar
Que se vem da pessoa errada não conta
Amizade é importante, mas o amor escancara a tampa
E o que te faz feliz também provoca dor
A cadência do surdo no coro que se forjou
E aliás, cá pra nós, até o mais desandado
Dá um tempo na função quando percebe que é amado
E as pessoas se olham e não se falam
Se esbarram na rua e se maltratam
Usam a desculpa de que nem Cristo agradou
Falou, cê vai querer memo se comparar com o Senhor?
 As pessoas não são más
Elas só estão perdidas
Ainda há tempo
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Exemplo não sou, tô longe de ser
Cidadão comum com vontade de vencer
Rap, rap, que energia é essa?
Um dom, um karma, uma dívida, uma prece
Infelizmente tem alguns que desmerecem
É tanta coisa na cabeça, sai fora, me esquece
Sem saúde, sem paz, o nosso povo padece
No Grajaú, só, no frio de dar dó
Esperando a lotação pra ir pro evento de Rap
Lembrei de alguém que não tá mais entre a gente
A Dona Morte vem, carrega os mano na mó pressa
Uma estrela a mais no céu
Um rimador falta na terra
Deus sabe sempre o que ta fazendo
Mesmo sabendo disso, eu sofro, vai vendo
Quem tem noção das coisas sente o peso da maldade
A cobrança é maior, inteligência atrai vaidade
Quem se deixou levar fraquejou essa é a verdade
Aprenda com os erros, não se sinta um covarde
Na praia, Jesus me carregou no colo
Eu vi um par de pegadas, não entendi o óbvio
Que o fardo não é maior do que eu possa carregar
Se a vida é um jogo, então vamo ganhar
 As pessoas não são más, irmão
Elas só estão perdidas
Ainda há tempo
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Então me fala, fala
Pergunta que não cala
Se o Rap é pro bem
Então por que tanta gente atrapalha?
Com o poder da mente, a maldade paralisa
O mecanismo do sistema é sugar sua alma vivo
Seu sangue, seu suor são só um detalhe nisso
Chuva ácida será bem pior que o lançamento de um míssil
Entre o céu e o inferno, no Grajaú me localizo
Flutuando na hipocrisia do lobo e do fascismo
Pronto pra rimar, um doido, Criolo Mestiço
Eu não sou preto, eu não sou branco
Eu sou do Rap, eu sou bem isso
Quem perdeu a noção por luxúria ta perdido
Quem perdeu a razão por dinheiro, eu nem te digo
Saúde e microfone é a fórmula que preciso
Porque se o Rap ta comigo, eu não me sinto excluído
 As pessoas não são más
Elas só estão perdidas
Ainda há tempo
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Não quero ver
Você triste assim não
Que a minha música possa
Te levar amor
 Que a minha música possa
Te levar amor
 Que a minha música possa
Te levar amor","Tu veux savoir ? Alors, je vais te dire
Pourquoi les gens en bonne santé tombent malades
Bien nourris ou pas, pourquoi ils périssent
Tout est rangé dans l’esprit
Ce que tu veux n’est pas toujours ce que l’autre ressent
Je parle de cette attention
Qui berce le cœur
Et fait pleurer même les durs à cuir
Si un sourire ou un regard viennent à manquer
Que si cela vient de la mauvaise personne, ça ne compte pas
L’amitié compte, mais l’amour, lui, fait tout éclater
Ce qui te rend heureux peut aussi te blesser
La cadence du tonnant dans le chœur forgé
Et d’ailleurs, entre nous, même le plus égaré
Suspend son rôle dès qu’il se sent aimé
Les gens se regardent mais ne se parlent pas
Se croisent dans la rue et se maltraitent
Prétextant que même le Christ n’a pas plu à tous
Ah ouais, tu vas vraiment te comparer au Seigneur ?
 Les gens ne sont pas mauvais
Ils sont juste perdus
Il est encore temps
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Je ne suis pas un exemple, loin de là
Citoyen ordinaire qui veut triompher
Le rap, le rap, quelle énergie !
Un don, un karma, une dette, une prière
Malheureusement, certains méprisent
Trop de choses en tête, laisse tomber, oublie-moi
Sans santé, sans paix, notre peuple souffre
Au Grajaú1, seul, dans un froid de misère
Attendant le bus bondé pour aller au concert de rap
Je pense à ceux qui ne sont plus là
Madame la Mort vient, emporte les gars en vitesse
Une étoile de plus au ciel
Un rimeur en moins sur terre
Dieu sait ce qu’il fait
Même en le sachant, je souffre, tu vois ?
Ceux qui comprennent sentent le poids de la méchanceté
La pression est forte, l’intelligence attire la vanité
Celui qui a cédé a faibli, c’est la vérité
Apprends de tes erreurs, ne te sens pas lâche
Sur la plage, Jésus m’a porté dans ses bras
J’ai vu deux traces de pas, j’ai pas compris l’évidence
Que le fardeau n’est pas trop lourd pour mes épaules
Si la vie est un jeu, alors jouons pour gagner
 Les gens ne sont pas mauvais
Ils sont juste perdus
Il est encore temps
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Alors dis-moi, dis-moi
Cette question qui brûle
Si le rap est pour le bien
Pourquoi tant de gens l’entravent ?
Avec le pouvoir de l’esprit, la méchanceté paralyse
Le système est conçu pour sucer ton âme vivante
Ton sang, ta sueur ne sont que détails
La pluie acide sera pire qu’un missile lancé
Entre ciel et enfer, au Grajaú je me situe
Flottant dans l’hypocrisie du loup et du fascisme
Prêt à rapper, un fou, Criolo Métis
Je ne suis pas noir, je ne suis pas blanc
Je suis du rap, je suis exactement ça
Celui qui a perdu la raison par luxure est perdu
Celui qui a vendu son âme pour l’argent, encore pire
Santé et micro, c’est la formule qui me sauve
Car si le rap est avec moi, je ne me sens pas exclu
 Les gens ne sont pas mauvais
Ils sont juste perdus
Il est encore temps
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Je ne veux pas
Te voir si triste, non
Que ma musique puisse
T’apporter de l’amour
 Que ma musique puisse
T’apporter de l’amour
 Que ma musique puisse
T’apporter de l’amour
  1.
Grajaú est le quartier où Criolo a grandi. C'est un quartier périphérique de São Paulo, symbole des difficultés et de la lutte quotidienne de nombreux jeunes, en particulier dans le contexte du rap. Ce quartier est marqué par des inégalités sociales, un manque de ressources et de violence, mais aussi par la résistance et l'énergie vibrante de sa communauté.",pt_XX,fr_XX
"Talvez o verso
não saiba
dizer sobre essa
flor de cacto
no olhar-para-trás.
  Ontem
é tudo que temos:
silêncios
amealhados
nas águas
turvas da clepsidra.
  Ontem
é o segredo
único que
transportamos
na carne.
  De ontem
ao ontem mais
fundo
aí está o que somos:
  águas passadas
e uma flor de cacto
ancorada
no cais da memória.","Peut-être le vers
ne sait-il
que dire de cette
fleur de cactus
en-arrière-regardant.
 Hier
est tout ce que nous avons :
des silences
qui précipitent
dans les eaux
troubles de la clepsydre.
 Hier
est l'unique
secret que
nous portons
en notre chair.
 D'hier
à plus profond
qu'hier
il y a ce que nous sommes :
 eaux passant sous le pont
et fleur de cactus
ancrée
au quai de la mémoire.",pt_XX,fr_XX
"todos os versos que quero escrever
já foram escritos por alguém
por poetas russas polonesas portuguesas canadenses
 não sei
todo exílio cabe em uma paisagem insólita
 tudo o que quero dizer já foi dito
mas o bedel impõe o seu próprio ritmo
escreva cinquenta vezes na lousa
 é proibido atrapalhar a aula
é proibido atrapalhar a aula
é proibido atrapalhar a aula
 mas tudo o que quero gritar
está contido no engasgo
 a terra se penetra de terra
raízes penhascos pedras
a terra se penetra de terra
e vento e água e espécies nunca vistas a olho nu
 é assim que a palavra fronteira
passa a não fazer mais sentido algum
 mas isso
tenho certeza
alguém já disse.","tous les vers que j'aimerais écrire
ont déjà été écrits par d'autres
poétesses russes polonaises portugaises canadiennes
 je ne sais pas
tout exil s’inscrit dans un paysage insolite
 tout ce que j'aimerais dire a déjà été dit
mais le censeur impose son propre rythme
Écrivez cinquante fois au tableau
 il est interdit de perturber la classe
il est interdit de perturber la classe
il est interdit de perturber la classe
 mais tout ce que j'aimerais crier
me reste dans la gorge
 la terre est pénétrée de terre
racines falaises rochers
la terre est pénétrée de terre
de vent d’eau et d'espèces jamais vues à l’œil nu
 c’est ainsi que le mot frontière
arrive à n'avoir plus aucun sens
 mais ceci
j'en suis sûr
quelqu’un l’a déjà dit.",pt_XX,fr_XX
"Traz o teu encanto
de cidade perdida
junto ao meu peito
pois nos meus mapas e manuscritos
não te encontro.
E talvez só no teu corpo
exista a chave
que te decifre
  – ou me devore.","Apporte auprès de
mon cœur ton charme
de cité perdue
car sur mes cartes et manuscrits
je n'en trouve plus .
Et en ton corps seul
peut-être existe
la clef qui te déchiffre
 – ou me dévore.",pt_XX,fr_XX
"Quando digo “morri” nada se passa
Ou quando digo “amo-te”
Nenhuma festa jorra
Nada se passa senão quando
De facto te amo sem palavras
  Sou capaz de dizer espadas
Com doçura
Sou capaz de ternura
Com os gestos das pedras
  São falsas as palavras
Verdadeiras mentiras
E eu tenho o lastro da minha vida
Como todos nas palavras
  São falsas todas as palavras
Até as palavras que com verdade
Se dizem e reconhecem
Falsas","Lorsque je dis « je meurs », il ne se passe rien
Ou lorsque je dis « je t’aime »
Ne jaillit aucune fête
Il ne se passe rien si ce n'est qu'
En vérité je t'aime, sans paroles
 De dire poignard avec douceur
J'en suis capable
Être tendre avec des gestes de pierre
J'en suis capable
 Car les paroles sont fausses ;
Elles sont de véritables mensonges
Oui, les paroles sont de nos vies,
Et de nous tous, le seul bagage
 Toutes les paroles sont fausses
Jusqu'aux paroles, en vérité qui sont
Dites et reconnues comme
Fausses",pt_XX,fr_XX
"Considera o retângulo da página
e as palavras que vês, paisagem mínima.
  Não esperes a bula, o vade-mécum,
as respostas cabais às tuas dúvidas.
  A poesia, afinal, é mais o branco
do papel que o discurso em letra rígida.","Considère le rectangle de la page
et les mots que tu y vois, paysage menu.
 N'attends pas après le guide, le vade-mecum,
apportant les réponses définitives à tes doutes.
 La poésie, après tout, est davantage le blanc
du papier que figé, le discours en ses lettres.",pt_XX,fr_XX
