original_poem,translated_poem,src_lang,tgt_lang
"Gosto muito de te ver, leãozinho
Caminhando sob o sol
Gosto muito de você, leãozinho
 Para desentristecer, leãozinho
O meu coração tão só
Basta eu encontrar você no caminho
 Um filhote de leão, raio da manhã
Arrastando o meu olhar como um ímã
O meu coração é o sol, pai de toda cor
Quando ele lhe doura a pele ao léu
 Gosto de te ver ao sol, leãozinho
De te ver entrar no mar
Tua pele, tua luz, tua juba
 Gosto de ficar ao sol, leãozinho
De molhar minha juba
De estar perto de você e entrar numa","J'aime beaucoup te voir, petit lion
Marcher sous le soleil
Je t'aime beaucoup, petit lion
 Pour rendre moins triste, petit lion
Mon cœur si solitaire
Il me suffit de te rencontrer, sur le chemin
 Un bébé lion, rayon du matin,
Attirant mon regard comme un aimant
Mon cœur et le soleil, père de toutes les couleurs
Quand il lui dore la peau à nu
 J'aime te voir au soleil, petit lion
Te voir entrer dans la mer
Ta peau, ta lumière, ta crinière
 J'aime rester au soleil, petit lion
Et mouiller ma crinière
D'être près de toi et en profiter",pt_XX,fr_XX
"Respeito muito minhas lágrimas
Mas ainda mais minha risada
Inscrevo assim minhas palavras
Na voz de uma mulher sagrada
Vaca profana, põe teus cornos
Pra fora e acima da manada
Ê
Êê dona das divinas tetas
Derrama o leite bom na minha cara
E o leite mau na cara dos caretas
 Segue a movida Madrileña
Também te mata Barcelona
Napoli, Pino, Pi, Pau, punks
Picassos movem-se por Londres
Bahia onipresentemente
Rio e belíssimo horizonte
Ê
Êê vaca de divinas tetas
La leche buena toda en mi garganta
La mala leche para los puretas
 Quero que pinte um amor Bethânia
Steve Wonder, andaluz
Como o que tive em Tel Aviv
Perto do mar, longe da cruz
Mas em composição cubista
Meu mundo Thelonius Monk's blues
Ê
Êê vaca de divinas tetas
Teu bom só para o oco, minha falta
E o resto inunde as almas dos caretas
 Sou tímido e espalhafatoso
Torre traçada por Gaudi
São Paulo é como o mundo todo
No mundo um grande amor perdi
Caretas de Paris, New York
Sem mágoas estamos aí
Ê
Êê dona das divinas tetas
Quero teu leite todo em minha alma
Nada de leite mau para os caretas
 Mas eu também sei ser careta
De perto ninguém é normal
Às vezes segue em linha reta
A vida, que é meu bem, meu mal
No mais as ramblas do planeta
Orchata de chufa si us plau
Ê
Êê deusa de assombrosas tetas
Gota de leite bom na minha cara
Chuva do mesmo bom sobre os careta","Je respecte beaucoup mes larmes
Mais encore plus mon rire
J'inscris ainsi mes paroles
Dans la voix d'une femme sacrée
Vache profane, sors tes cornes
Par-dessus la manade
Hé
Hé dame aux tétons divins
Verse le bon lait sur mon visage
Et le mauvais lait sur le visage des réacs
 Suit la mouvance madrilène
Mais aussi Barcelone qui te tue
Napoli, Pino, Pi, Pau , punks
Les Picassos déménagent à Londres
Bahia, de manière omniprésente
Rio et le bellissime horizon
Hé
Hé vache aux tétons divins
Le bon lait dans ma gorge
Le mauvais lait pour les vieux jeux
 Je veux que surgisse un amour Bethânia
Un Steve Wonder andalou
Comme celui que j'ai eu à Tel Aviv
Près de la mer, loin de la croix
Mais en composition cubiste
Mon monde c'est le blues de Thelonius Monk
Hé
Hé vache profane aux tétons divins
Ton bon lait seulement pour la futilité, mon défaut
Et le reste inonde l'âme des réacs
 Je suis timide et extravagant
Tour tracée par Gaudi
São Paulo c'est comme le monde entier
Dans le monde j'ai perdu un grand amour
Réacs de Paris, New York
Sans ressentiments, nous sommes ici
Hé
Hé, dame aux divins tétons
Je veux tout ton lait dans mon âme
Pas de mauvais lait pour les réacs
 Mais moi aussi je sais être réac
De près personne n'est normal
Parfois je suis en ligne droite
Ma vie qui est mon bien et mon mal
Sur toutes les ramblas de la planète
Orchata de chufa s'il te plaît
Hé
Hé déesse aux tétons impressionnants
Une goutte de bon lait sur mon visage
Une pluie ce même bon lait sur les réacs",pt_XX,fr_XX
"A insensatez que você fez
Coração mais sem cuidado
Fez chorar de dor
O seu amor
Um amor tão delicado
Ah, porque você foi fraco assim
Assim tão desalmado
Ah, meu coração quem nunca amou
Não merece ser amado
 Vai meu coração ouve a razão
Usa só sinceridade
Quem semeia vento, diz a razão
Colhe sempre tempestade
Vai, meu coração pede perdão
Perdão apaixonado
Vai porque quem não
Pede perdão
Não é nunca perdoado","La folie que tu as commise
Cœur non attentionné
Tu as fait pleurer de douleur
Ton amour
Un amour si délicat
Ah, pourquoi as-tu été si faible
Ainsi tant privé d'âme
Ah, toi mon cœur qui n'a jamais aimé
Tu ne mérites pas d'être aimé.
 Va mon cœur, écoute ta raison
N'utilise que la sincérité
Qui sème le vent, dit la raison
Récolte toujours la tempête
Va, mon cœur, demande pardon
Un pardon passionné
Va car celui qui ne
Demande pas pardon
N'est jamais pardonné",pt_XX,fr_XX
"Cores do mar, festa do sol
Vida é fazer
Todo o sonho brilhar
Ser feliz
No teu colo dormir
E depois acordar
Sendo o seu colorido
Brinquedo de Papel Machê...(2x)
 Dormir no teu colo
É tornar a nascer
Violeta e azul
Outro ser
Luz do querer...
 Não vai desbotar
Lilás cor do mar
Seda cor de batom
Arco-íris crepom
Nada vai desbotar
Brinquedo de Papel Machê...
 Dormir no teu colo
É tornar a nascer
Violeta e azul
Outro ser
Luz do querer...
 Não vai desbotar
Lilás cor do mar
Seda cor de batom
Arco-íris crepom
Nada vai desbotar
Brinquedo de Papel Machê...
 Ai Ai Ai Ai Ai Ai!!
Lê Lê Lê Lê Lê Lê Lê
Lon Lon Lon Lon Ah!
Lê Lê Lê Lê Lê Lê Lê
Lon Lon Lon Lon Ah!...","Couleurs de la mer, fête du soleil
La vie consiste à faire
Briller tous les rêves
A être heureux
Dormir sur tes genoux
Et ensuite se réveiller
Toi ton rêve est coloré
Jouet de papier mâché
 Dormir sur tes genoux
C'est recommencer à naître
Violette et bleue
Un autre être
Lumière du désir...
 Tu ne vas pas te décolorer
Lilas couleur de mer
Soie couleur rouge à lèvre
Arc-en-ciel de crépon
Rien ne va se décolorer
Jouet de papier mâché
 Dormir sur tes genoux
C'est recommencer à naître
Violette et bleue
Un autre être
Lumière du désir...
 Tu ne vas pas te décolorer
Lilas couleur de mer
Soie couleur rouge à lèvre
Arc-en-ciel de crépon
Rien ne va se décolorer
Jouet de papier mâché
 Ai Ai Ai Ai Ai Ai!!
Lê Lê Lê Lê Lê Lê Lê
Lon Lon Lon Lon Ah!
Lê Lê Lê Lê Lê Lê Lê
Lon Lon Lon Lon Ah!...",pt_XX,fr_XX
"Não quero sugar todo seu leite
Nem quero você enfeite do meu ser
Apenas te peço que respeite
O meu louco querer
Não importa com quem você se deite
Que você se deleite seja com quem for
Apenas te peço que aceite
O meu estranho amor
 Ah! Mainha deixa o ciúme chegar
Deixa o ciúme passar e sigamos juntos
Ah! Neguinha deixa eu gostar de você
Prá lá do meu coração não me diga
Nunca não
 Teu corpo combina com meu jeito
Nós dois fomos feitos muito pra nós dois
Não valem dramáticos efeitos
Mas o que está depois
 Não vamos fuçar nossos defeitos
Cravar sobre o peito as unhas do rancor
Lutemos mas só pelo direito
Ao nosso estranho amor","Je ne veux pas sucer tout ton lait
Je veux pas que tu sois un ornement de mon être
Je te demande seulement de respecter
Ma folle volonté
Peu m'importe avec qui tu couches
Que tu te satisfasses avec qui que ce soit
Je te demande seulement de respecter
Mon étrange amour
 Ah ! Maman laisse la jalousie venir
Laisse la jalousie passer et continuons ensemble
Ah ! Négresse, laisse-moi t'aimer
Du côté de mon cœur ne me dis
Jamais non
 Ton corps combine avec mes manières
Nous deux sommes faits l'un pour l'autre
Pas besoin d'effets dramatiques
Mais ce qu'il y a derrière
 Nous n'allons pas remuer nos défauts
Creuser sur la poitrine les ongles de la rancœur
Luttons plutôt pour le droit
A notre étrange amour",pt_XX,fr_XX
"Não quero sugar todo seu leite
Nem quero você enfeite do meu ser
Apenas te peço que respeite
O meu louco querer
Não importa com quem você se deite
Que você se deleite seja com quem for
Apenas te peço que aceite
O meu estranho amor
 Ah! Mainha deixa o ciúme chegar
Deixa o ciúme passar e sigamos juntos
Ah! Neguinha deixa eu gostar de você
Prá lá do meu coração não me diga
Nunca não
 Teu corpo combina com meu jeito
Nós dois fomos feitos muito pra nós dois
Não valem dramáticos efeitos
Mas o que está depois
 Não vamos fuçar nossos defeitos
Cravar sobre o peito as unhas do rancor
Lutemos mas só pelo direito
Ao nosso estranho amor","Je ne veux pas sucer tout ton lait
Je veux pas que tu sois un ornement de mon être
Je te demande seulement de respecter
Ma folle volonté
Peu m'importe avec qui tu couches
Que tu te satisfasses avec qui que ce soit
Je te demande seulement de respecter
Mon étrange amour
 Ah ! Maman laisse la jalousie venir
Laisse la jalousie passer et continuons ensemble
Ah ! Négresse, laisse-moi t'aimer
Du côté de mon cœur ne me dis
Jamais non
 Ton corps combine avec mes manières
Nous deux sommes faits l'un pour l'autre
Pas besoin d'effets dramatiques
Mais ce qu'il y a derrière
 Nous n'allons pas remuer nos défauts
Creuser sur la poitrine les ongles de la rancœur
Luttons plutôt pour le droit
A notre étrange amour",pt_XX,fr_XX
"Sai, por aquela porta, sai
Não quero te ver nunca mais
Se você já falou, então sai
Sai, eu sei que quer voltar atrás
Me diz, pra que tirar a paz
De alguém que só te amou, então sai
 Não me interessa ter
Alguém que a alma endureça tanto
Pra ser capaz de me deixar
Já não me importa mais
Alguém que desconheça os meus encantos
Que foi capaz de me machucar
Por aquela porta, sai
 À bordo de um novo eu
Você virou passado
Pelos caminhos onde andei
Eu sei que amei bem mais que eu
Bem mais que o necessário
Mas desse amor nada restou
E então...
Por aquela porta, sai
 Não me interessa ter
Alguém que a alma endureça tanto
Pra ser capaz de me deixar
Já não me importa mais
Alguém que desconheça os meus encantos
Que foi capaz de me machucar
Por aquela porta, sai
 À bordo de um novo eu
Você virou passado
Pelos caminhos onde andei
Eu sei que amei bem mais que eu
Bem mais que o necessário
Mas desse amor nada restou
E então...
Por aquela porta, sai","Sors par cette porte, sors
Je ne veux plus jamais te voir
Si tu as dit ce que tu avais à dire, alors sors
Sors, je sais que tu veux revenir
Dis-moi, pourquoi énerver
Quelqu'un qui n'a fait que t'aimer, alors sors
 Ca ne m'intéresse pas d'avoir
Quelqu'un qui ait l'âme si dure
Pour être capable de me quitter
Mais peu importe maintenant
Quelqu'un qui ignore mes charmes
Qui a été capable de me meurtrir
Sors par cette porte
 A bord d'un nouveau moi
Tu as fait face au passé
Sur les chemins que j'ai parcourus
Je sais que j'ai aimé bien plus que moi
Bien plus qu'il ne fallait
Mais de cet amour, il ne reste rien
Alors...
Sors par cette porte
 Ca ne m'intéresse pas d'avoir
Quelqu'un qui ait l'âme si dure
Pour être capable de me quitter
Mais peu importe maintenant
Quelqu'un qui ignore mes charmes
Qui a été capable de me meurtrir
Sors par cette porte
 A bord d'un nouveau moi
Tu as fait face au passé
Sur les chemins que j'ai parcourus
Je sais que j'ai aimé bien plus que moi
Bien plus qu'il ne fallait
Mais de cet amour, il ne reste rien
Alors...
Sors par cette porte",pt_XX,fr_XX
"Fonte de mel
Nos olhos de gueixa
Kabuki, máscara
Choque entre o azul
E o cacho de acácias
Luz das acácias
Você é mãe do sol
A sua coisa é toda tão certa
Beleza esperta
Você me deixa a rua deserta
Quando atravessa
E não olha pra trás
 Linda
E sabe viver
Você me faz feliz
Esta canção é só pra dizer
E diz
Você é linda
Mais que demais
Vocé é linda, sim
Onda do mar do amor
Que bateu em mim
 Você é forte
Dentes e músculos
Peitos e lábios
Você é forte
Letras e músicas
Todas as músicas
Que ainda hei de ouvir
No Abaeté
Areias e estrelas
Não são mais belas
Do que você
Mulher das estrelas
Mina de estrelas
Diga o que você quer
 Você é linda
E sabe viver
Você me faz feliz
Esta canção é só pra dizer
E diz
Você é linda
Mais que demais
Você é linda, sim
Onda do mar do amor
Que bateu em mim
 Gosto de ver
Você no seu ritmo
Dona do carnaval
Gosto de ter
Sentir seu estilo
Ir no seu íntimo
Nunca me faça mal
 Linda
Mais que demais
Você é linda, sim
Onda do mar do amor
Que bateu em mim
Você é linda
E sabe viver
Você me faz feliz
Esta canção é só pra dizer
E diz","Source de miel
Dans les yeux d'une geisha
Kabuki, mascara
Choc entre le bleu
et la grappe des acacias
Lumière des acacias
Tu es la mère du soleil
Ta chose est tellement si vraie
Beauté experte
Tu me laisses la rue déserte
Quand tu traverses
Et ne regarde pas derrière
 Jolie
Et tu sais vivre
Tu me rends heureux
Cette chanson est juste pour dire
Et elle le dit
Tu es jolie
Plus que jamais
Tu es jolie oui
Vague de la mer de l'amour
Qui bat en moi
 Tu es forte
Dents et muscles
Seins et lèvres
Tu es forte
Paroles et musique
Toutes les musiques
Qui passent je dois les écouter
Dans le lac d'Abaeté
Le sable et les étoiles
Ne sont pas plus beaux
Que toi
Femme des étoiles
Mine d'étoiles
Dis ce que tu veux
 Tu es jolie
Et tu sais vivre
Tu me rends heureux
Cette chanson est juste pour dire
Et elle le dit
Tu es jolie
Plus que jamais
Tu es jolie oui
Vague de la mer de l'amour
Qui bat en moi
 J'aime te voir
Dans ton rythme
Patronne du carnaval
J'aime avoir
Sentir ton style
Aller dans ton intimité
Ne me fais jamais mal
 Jolie
Plus que jamais
Tu es jolie oui
Vague de la mer de l'amour
Qui bat en moi
Tu es jolie
Et tu sais vivre
Tu me rends heureux
Cette chanson est juste pour dire
Et elle le dit",pt_XX,fr_XX
"A minha alegria atravessou o mar
E ancorou na passarela
Fez um desembarque fascinante
No maior show da terra
Será que eu serei o dono dessa festa
Um rei
No meio de uma gente tão modesta
Eu vim descendo a serra
Cheio de euforia para desfilar
O mundo inteiro espera
Hoje é dia do riso chorar
Levei o meu samba pra mãe de santo rezar
Contra o mau-olhado eu carrego meu patuá
Eu levei !
Levei o meu samba pra mãe de santo rezar
Contra o mau-olhado eu carrego meu patuá
Acredito!
Acredito ser o mais valente, nessa luta do rochedo com o mar
E com o ar!
É hoje o dia da alegria
E a tristeza, nem pode pensar em chegar
Diga aí espelho meu!
Diga espelho meu
Se há na avenida alguém mais feliz que eu
Diga espelho meu
Se há na avenida alguém mais feliz que eu","Ma joie a traversé la mer
Et s'est ancrée sur la passerelle
Elle a fait un débarquement fascinant
Dans le plus grand show de la terre
Est-ce que je serai le patron de cette fête
Un roi
Au milieu de gens si modestes
Je suis venu en descendant de la montagne
Plein d'euphorie pour défiler
Le monde entier attend
Aujourd'hui c'est le jour où le rire va pleurer
J'ai apporté ma samba à la mère des saints pour qu'elle prie
Contre le mauvais œil je porte mon amulette
Je l'ai amenée !
J'ai apporté ma samba à la mère des saints pour qu'elle prie
Contre le mauvais œil je porte mon amulette
J'y crois !
Je crois être le plus vaillant, dans cette lutte du rocher contre la mer
Et contre l'air
C'est aujourd'hui le jour de la joie
Et la tristesse ne doit même pas penser à venir
Dis-moi, mon miroir
S'il y a dans l'avenue quelqu'un plus heureux que moi
Dis-moi, mon miroir
S'il y a dans l'avenue quelqu'un plus heureux que moi",pt_XX,fr_XX
"Há muita gente
Apagada pelo tempo
Nos papéis desta lembrança
Que tão pouca me ficou
 Igrejas brancas
Luas claras na varandas
Jardins de sonho, cirandas1
Foguetes claros no ar
 Que mistério tem Clarice
Que mistério tem Clarice
Pra guardar-se assim tão firme no coração?
 Clarice era morena2
Como as manhãs são morenas
Era pequena no jeito
De não ser quase ninguém
 Andou conosco caminhos
De frutas e passarinhos
Mas jamais quis se despir
Entre os meninos e os peixes
Entre os meninos e os peixes
Entre os meninos e os peixes
Do rio, do rio
 Que mistério tem Clarice
Que mistério tem Clarice
Pra guardar-se assim tão firme, no coração?
 Tinha receio do frio
Medo de assombração
Um corpo que não mostrava
Feito de adivinhações
 Os botões sempre fechados
Clarice tinha o recato
De convento e procissão
Eu pergunto o mistério
 Que mistério tem Clarice
Pra guardar-se assim tão firme, no coração?
 Soldado fez continência
O coronel, reverência
O padre fez penitência
Três novenas e uma trezena
 Mas Clarice era a inocência
Nunca mostrou-se a ninguém
Fez-se modelo das lendas
Fez-se modelo das lendas
Das lendas que nos contaram as avós
 Que mistério tem Clarice
Que mistério tem Clarice
Pra guardar-se assim tão firme, no coração?
 Em que um dia amanhecia
E Clarice assistiu minha partida
Chorando, pediu lembrança
E vendo o barco se afastar de Amaralina3
Desesperadamente linda, soluçando e lentamente
 E lentamente despiu o corpo moreno
E entre todos os presentes
Até que seu amor sumisse
 Permaneceu no adeus chorando e nua
Para que a tivesse toda
Todo o tempo que existisse
 Que mistério tem Clarice
Que mistério tem Clarice
Pra guardar-se assim tão firme, no coração?
 No coração...
No coração...
No coração...
No coração...
No coração...
  1.
A round or rhymed song, common in Brazil; also a dance round.
2.
Means brunette in Portuguese, but may also be a way to refer to black women.
3.
Neighborhood in Salvador, Bahia, Brazil.","Il y a tant de gens
Effacés par le temps
Dans les petits papiers de ma mémoire
Qu'il m'en est resté si peu.
 Des églises blanches
Des lunes claires dans la véranda
Jardins de rêves et de cirandas
Feux d'artifice clairs dans les airs
 Quel mystère possède Clarice
Quel mystère possède Clarice
Pour rester ainsi si ferme dans son cœur ?
 Clarice était brune
Comme les matinées sont brunes
Elle était petite de manière
A n'être presque personne
 Elle marchait avec nous sur les chemins
Au milieu des fruits et des petits oiseaux
Mais jamais elle n'a voulu se déshabiller
Entre les garçons et les poissons
Entre les garçons et les poissons
Entre les garçons et les poissons
De la rivière, de la rivière
 Quel mystère possède Clarice
Quel mystère possède Clarice
Pour rester ainsi si ferme dans son cœur ?
 Elle craignait le froid
Avait peur des fantômes
Un corps qui ne se montrait pas
Fait de devinettes
 Les boutons toujours fermés
Clarice avait la discrétion
Du couvent et de la procession
J'interroge le mystère
 Quel mystère possède Clarice
Pour rester ainsi si ferme dans son cœur ?
 Le soldat fait continence
Le colonel une révérence
Le curé fait pénitence
Trois neuvaines et une treizaine
 Mais Clarice
Était l'innocence
Elle ne s'est jamais montrée à personne.
Elle a pris pour modèle les légendes
Elle a pris pour modèle les légendes
Des légendes que nous racontent nos aïeux
 Quel mystère possède Clarice
Quel mystère possède Clarice
Pour rester ainsi si ferme dans son cœur ?
 Un jour s'est levé
Et Clarice a assisté à mon départ
En pleurant elle m'a demandé un souvenir
Et en voyant le bateau s'éloigner d'Amaralina
Désespérément jolie, elle pleurnichait et lentement
 Et lentement elle a dévêtu son corps brun
Et entre tous les cadeaux
Jusqu'à ce que son amour disparaisse
 Elle est restée dans ma mémoire pleurante et nue
Pour que je la garde entière
Tout le temps que j'existe.
 Quel mystère possède Clarice
Quel mystère possède Clarice
Pour rester ainsi si ferme dans son cœur ?
 Dans son cœur ...
Dans son cœur ...
Dans son cœur ...
Dans son cœur ...
Dans son cœur ...",pt_XX,fr_XX
