original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"caresse l’horizon de la nuit, cherche le coeur de jais que l’aube recouvre de chair. il mettrait dans tes yeux des pensées innocentes, des flammes, des ailes et des verdures que le soleil n’inventa pas.
ce n’est pas la nuit qui te manque, mais sa puissance.","acaricia o horizonte da noite, busca o coração de azeviche que a aurora recobre de carne. ele te porá nos olhos pensamentos inocentes, chamas, asas e verduras que o sol ainda não inventou.
não é a noite que te falta, mas o seu poder.",fr_XX,pt_XX,"Cuida-te do horizon da noite, procura o corao de alegria que o amanhecer sobreve com a carne. Ele põaria inocentes pensamentos, chamas, asas e saudaes nos teus olhos que o sol não inventou.
Não é a noite que você falta, mas o seu poder."
"j’avais devant les yeux les ténèbres. l’abîme
qui n’a pas de rivage et qui n’a pas de cime,
était là, morne, immense ; et rien n’y remuait.
je me sentais perdu dans l’infini muet.
au fond, à travers l’ombre, impénétrable voile,
on apercevait dieu comme une sombre étoile.
je m’écriai : — mon âme, ô mon âme ! il faudrait,
pour traverser ce gouffre où nul bord n’apparaît,
et pour qu’en cette nuit jusqu’à ton dieu tu marches,
bâtir un pont géant sur des millions d’arches.
qui le pourra jamais ! personne ! ô deuil ! effroi !
pleure ! — un fantôme blanc se dressa devant moi
pendant que je jetai sur l’ombre un œil d’alarme,
et ce fantôme avait la forme d’une larme ;
c’était un front de vierge avec des mains d’enfant ;
il ressemblait au lys que la blancheur défend ;
ses mains en se joignant faisaient de la lumière.
il me montra l’abîme où va toute poussière,
si profond, que jamais un écho n’y répond;
et me dit : — si tu veux je bâtirai le pont.
vers ce pâle inconnu je levai ma paupière.
— quel est ton nom ? lui dis-je. il me dit: — la prière.","diante de mim, a escuridão. a voragem
que não tem cimo e que nem sequer tem margem
lá estava, sombria, imensa; nada nela mexia.
perdido no mundo infinito eu me sentia.
ao longe, através da sombra, impenetrável véu,
entrevia-se deus, pálida estrela no céu.
clamei: – ó alma, alma minha! eu precisava,
para atravessar o abismo cujo fim não vislumbrava,
e para durante a noite até deus eu ascender,
de construir uma ponte e em mil arcos a estender.
quem o conseguirá? ninguém!ó dor! tormento!
chora! – um fantasma branco ergueu-se no momento
em que à sombra um olhar de temor eu deitava.
a forma de uma lágrima esse fantasma mostrava;
tinha uma fronte de virgem e duas mãos de criança;
lembrava um lírio que toda a brancura alcança;
as suas duas mãos juntas acendiam uma luz.
apontou o abismo onde tudo a pó se reduz,
tão fundo que nem o eco aí segue a sua lei,
e disse-me: – se quiseres, a ponte construirei.
para o desconhecido ergui meus olhos do chão.
-como te chamas? perguntei. respondeu: – a oração.",fr_XX,pt_XX,"Eu tive escuridão na frente dos meus olhos.
Que não tem costa e não tem tope,
estava lá, errado, impossível; e não se movia néle.
Eu me sinto perdido no infinno mudo.
Na profundidade, pela sombra, véu impenetrável,
Vimos Deus como uma estrela escura.
Eu chorei: minha alma, oh, minha alma!
Percorrer este caminho em que não apareça borda,
E que nessa noite, até o teu Deus, vagas,
Construir uma ponte gigante em milhões de arcas.
quem alguma vez será possível fazer isso? Ninguém! Oh, tristeza!
chore! um fantasma branco rosceu na minha frente
enquanto pisei um olho de aarm na sombra,
E este fantasma tive a forma de uma lágrima;
era uma fronte virgem com as mãos das crianças;
ele parecia com as mentiras que a branquidade defende;
As suas mãos, conclamando, fez luz.

Tão profundo, que nunca um eco resposta a ele;
E me disse: se quisser, eu construi a ponte.
Em frente a este pálio inconhecido Eu subi o meu eAmarelho.
Qual é o seu nome? Eu digo a ele. Ele me disse: orao."
"souvenir d’enfance
j’entendais en pleine nuit,
un son régulier,
comme une chanson dans le noir,
coupant le silence de la nuit.
je me paniquais, je criais maman.
mon petit frère se réveillait,
entendait la chanson dans le noir.
mon petit frère se paniquait,
et criait maman aussi.
la voix de maman,
magie, splendeur, douceur dans la nuit.
elle nous assurait que ce son,
n’était que papa en train de ronfler.
mais ce son ainsi insistant,
ouvrait les ailes de l’imagination,
la peur nous envahissait,
et voilà que tout à coup, ups !
quatre petites jambes pardessus le barreau,
du berceau où nous dormions.
et ainsi bien collés,
au chaud entre papa et maman,
mon petit frère et moi,
nous dormions comme si on était,
dans le ciel, dans les bras de dieu …","lembrança de infancia
eu ouvia em plena madrugada,
um som regular,
como uma canção na escuridão,
cortando o silencio da noite.
em pânico, eu gritava mamãe.
meu irmãozinho se acordava,
escutava a canção na escuridão.
meu irmãozinho em pânico,
gritava mamãe tambem.
a voz de mamãe …
magia, esplendor e brandura na escuridão.
ela nos assegurava que este som,
era so papai roncando no seu sono.
mas esse som assim persistente,
abria as asas da imaginação,
o mêdo nos invadia,
e eis que de repente, ups !
quatro perninhas por cima da barra,
do berço onde dormíamos.
e assim bem agarradinhos,
no quentinho entre papai e mamãe,
meu irmãozinho e eu,
nós dormíamos como si estivéssemos,
no céu, nos braços de deus …",fr_XX,pt_XX,"Lembrança da infância
Eu ouvi na noite,
uma cano regular,
como uma cano no escuro,
Cortando o silêncio da noite.
Eu estava em pénico, eu estava a sorar a mãe.
O meu irmão acordando,
Ouvi a cano no escuro.
O meu irmão pequeno estava em pão,
E brilhou com a mãe.
""A voz da mamã,
Magia, esplendor, doce na noite.
Garantiu-nos que essa cano,
era só um pai roncando.
Mas essa cano insiste,
abriu as asas da imaginação,
o medo invade-nos,
E todo de um tempo, ups!
Quatro pequenas pernas sobre o bar,
Da crada em que nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nas nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos nos
E o quão bem colado,
quente entre o papá e a mãe,
Meu irmão e eu,
Dormimos como se fossemos,
No céu, nos braços de Deus..."
"horloge! dieu sinistre, effrayant, impassible,
dont le doigt nous menace et nous dit: “souviens-toi!
les vibrantes douleurs dans ton cœur plein d’effroi
se planteront bientôt comme dans une cible;
le plaisir vaporeux fuira vers l’horizon
ainsi qu’une sylphide au fond de la coulisse;
chaque instant te dévore un morceau du délice
a chaque homme accordé pour toute sa saison.
trois mille six cents fois par heure, la seconde
chuchote: souviens-toi! — rapide, avec sa voix
d’insecte, maintenant dit: je suis autrefois,
et j’ai pompé ta vie avec ma trompe immonde!
remember! souviens-toi! prodigue! esto memor!
(mon gosier de métal parle toutes les langues.)
les minutes, mortel folâtre, sont des gangues
qu’il ne faut pas lâcher sans en extraire l’or!
souviens-toi que le temps est un jouer avide
qui gagne sans tricher, à tout coup! c’est la loi.
le jour décroît; la nuit augmente; souviens-toi!
la gouffre a toujours soif; la clepsydre se vide.","relógio! deus sinistro, hediondo, indiferente,
que nos aponta o dedo em riste e diz: “recorda!
a dor vibrante que a lama em pânico te acorda
como num alvo há de encravar-se brevemente;
vaporoso, o prazer fugirá no horizonte
como uma sílfide por trás dos bastidores;
cada instante devora os melhores sabores
que todo homem degusta antes que a morte o afronte.
três mil seiscentas vezes por hora, o segundo
te murmura: recorda! — e logo, sem demora,
com voz de inseto, o agora diz: eu sou o outrora,
e te suguei a vida com meu bulbo imundo!
remember! souviens-toi! esto memor! (eu falo
qualquer idioma em minha goela de metal.)
cada minuto é como uma ganga, ó mortal,
e há que extrair todo o ouro até purificá-lo!
recorda: o tempo é sempre um jogador atento
que ganha, sem furtar, cada jogada! é a lei.
o dia vai, a noite vem; recordar-te-ei!
esgota-se a clepsidra; o abismo está sedento.",fr_XX,pt_XX,"relógio! escuro Deus, assustado, impassivo,
Cujos dedos nos ameacem e nos digam: lembrem-se!
As dores vibrantes em seu corao cheio de medo
em breve como em uma palavra;
O prazer vaporoso correrá para o horizonte
um sílfido na profundidade da sala;
A cada momento te deixa um pedaço de felicidade
tem todo o homem concebido por toda a sua estao.
mil mil e quilentas vezes por hora, a segunda
uchote: lembra-te! Depressa, com a tua voz
De um inseto, agora diz: Estou no antigo,
E eu pupei a tua vida com o meu trop imundo!
lembrem-se! prodigy! é o memor!
(meu meio de meltil fala todas as línguas.)
Os minutos, morrendo fatal, são gándos
Que você não deve ir embora sem extrair o ouro!
lembre-se de que o tempo é um player avid
Que vencem sem cair, tudo de qualquer coisa! é a lei.
O dia afunda; a noite acorda; lembra-te!
O abéssimo está sempre errado; o cépsidro vazia."
"o muse de mon cœur, amante des palais,
auras-tu, quand janvier lâchera ses borées,
durant les noirs ennuis des neigeuses soirées,
un tison pour chauffer tes deux pieds violets?
ranimeras-tu donc tes épaules marbrées
aux nocturnes rayons qui percent les volets?
sentant ta bourse à sec autant que ton palais,
récolteras-tu l’or des voûtes azurées?
il te faut, pour gagner ton pain de chaque soir,
comme un enfant de chœur, jouer de l’encensoir,
chanter des te deum auxquels tu ne crois guère,
ou, saltimbanque à jeun, étaler tes appas
et ton rire trempé de pleurs qu’on ne voit pas,
pour faire épanouir la rate du vulgaire.","ó musa de minha alma, amante dos palácios,
terás, quando janeiro desatar seus ventos,
no tédio negro dos crepúsculos nevoentos,
uma brasa que esquente os teus dois pés violáceos?
aquecerás teus níveos ombros sonolentos
na luz noturna que os postigos deixam coar?
sem um níquel na bolsa e seco o paladar,
colherás o ouro dos cerúleos firmamentos?
tens que, para ganhar o pão de cada dia,
esse turíbulo agitar na sacristia,
entoar esses te deum que nada têm de novo,
ou, bufão em jejum, exibir teus encantos
e teu riso molhado de invisíveis prantos
para desopilar o fígado do povo.",fr_XX,pt_XX,"musa do meu corao, amor das palacinas,
Terás, quando Janeiro deixar as boreias,
Nos sofrimentos escuros das noites nevadas,
Um tison para aquecer os dois pés violetas?
Você reanimará seus devinhos de marmor
noite rabancho que executa as flaps?
Cheirar sua aça Troca seca, tão como seu pátálio,
você daria o ouro das baias azuradas?
Você precisa, para ganhar o pão da noite,
como uma criança de refrão, brinque censor,
cante você deum em que você não acredita,
Ou, saltimbanking na Terra, fique seus appas
E sua gargalhada com lágrimas que você não consegue ver,
Para fazer o baço do vulgar."
"ô colombe qui meurs dans le ciel azuré,
rouvre un instant les yeux, mourante aux blanches ailes !
le vautour qui te tue expire, déchiré
par des flèches mortelles.
va, tu tombes vengée, ô victime, et ta sœur
peut voir, en traversant la forêt d’ombre pleine,
l’oiseau tout sanglant pendre au carquois d’un chasseur
qui passe dans la plaine.
le jeune archer, folâtre et chantant des chansons,
passe, sa proie au dos, par les herbes fleuries,
laissant déchiqueter par les dents des buissons
ces dépouilles meurtries.","ó pomba que fenece no céu azulado,
reabre os olhos e a asa branca, enquanto cais!
pois morre o teu algoz, o abutre é lacerado
pelas flechas mortais.
ó vítima que cai, alguém já te vingou,
e pelo bosque em sombras, vê-se o teu irmão
sangrando, atado à aljava de um caçador
que canta uma canção.
pelos prados, o arqueiro jovial brincando
passa entre a relva em flor, com a sua presa atrás,
enquanto os dentes dos arbustos vão rasgando
os seus restos mortais!",fr_XX,pt_XX,"pompa que morre no céu azul,
Abra por um momento, morrendo com asas brancas!
O velur que te mata exala, dilacerado
Por setas mortáveis.
Vá, você se vingiu,  vítima, e sua irmã
Consigo ver, cruzando a floresta da sombra cheia,
O pássaro de sangue pendura no rapido de um caçador
Que passam na plana.
O jovem arqueiro, vagueando e cantando canes,
passe, sua rapina em suas costas, às hervas floradas,
Deixando os dentínios das pincês chorar
Os melhores se apressaram."
"je te voulais auprès de moi …
mais je ne savais pas où te trouver,
je voulais t’appeler,
mais je ne savais pas en quelle direction,
je voulais de ton amour,
mais je ne savais pas qu’il existait.
combien de fois dans mes rêves,
je t’ai emmené auprès de moi …
je rêvais de toi, sans t’avoir jamais vu.
je rêvais de ton êtr sans t’avoir jamais rencontré.
je t’ emmenais déjà auprès de moi …
je sentais ta chaleur sans que je sache que c’était la tienne.
je sentais ta vibration sans que je sache que c’était toi.
je sentais tes baisers sans que je sache que c’étaient tes lèvres.
aujourd’hui, t’es rentré dans mon âme,
comme une brise câline et ardente,
m’apportant paix et sérénité.
je te respire, je te sens, je te vis profondément.
reste auprès de moi …","eu ja te queria perto de mim …
mas não sabia onde te encontrar,
eu queria te chamar,
mas não sabia em qual direção,
eu queria do teu amor,
mas não sabia que ele existia.
quantas vezes nos meus sonhos,
eu te levei junto a mim …
eu sonhava contigo, sem nunca ter te visto.
eu sonhava com teu ser, sem nunca ter te encontrado.
eu ja te levava junto a mim …
eu sentia teu calor, sem que eu soubesse que era o teu.
eu sentia tua vibração, sem que eu soubesse que eras tu.
eu sentia teus beijos, sem que eu soubesse que eram teus lábios.
hoje, tu entraste na minha alma,
como uma brisa meiga e cálida,
me trazendo paz e serenidade.
eu te respiro, te sinto, te vivo profundamente.
ficas comigo …",fr_XX,pt_XX,"Eu te queria para mim...
Mas eu não sei onde te encontrar,
Eu queria te ligar,
Mas eu não sabia para onde direo,
Eu queria por seu amor,
Mas eu não sabia que ela existia.
Quantas vezes em meus sonhos,
Eu te levei para mim...
Sonhei com ti, sem te ver.
Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um sonho Sonhei com um
Eu já te levava para mim...
Eu senti o teu calor sem eu saber que era o teu.
Eu senti a tua vibe sem eu saber que eras tu.
Eu senti o teu beijo sem eu sabia que eras os teus lábios.
hoje, você está de volta em minha alma,
como uma brisa calina e aperteira,
Traz-me a paz e a serenidade.
Eu respiro-te, sinto-te, vivo-te no profundo.
fique perto de mim..."
"homme, libre penseur ! te crois-tu seul pensant
dans ce monde où la vie éclate en toute chose?
des forces que tu tiens ta liberté dispose,
mais de tous tes conseils l’univers est absent.
respecte dans la bête un esprit agissant:
chaque fleur est une âme à la nature éclose;
un mystère d’amour dans le métal repose;
« tout est sensible ! » et tout sur ton être est puissant.
crains, dans le mur aveugle, un regard qui t’épie:
à la matière même un verbe est attaché…
ne la fais pas servir à quelque usage impie!
souvent dans l’être obscur habite un dieu caché;
et comme un œil naissant couvert par ses paupières,
un pur esprit s’accroît sous l’écorce des pierres!","homem! livre pensador! serás o único que pensa
neste mundo onde a vida cintila em cada ente?
de tuas forças tua liberdade dispõe naturalmente,
mas teus conselhos todos o universo dispensa.
honra na fera o espírito que fermenta…
cada flor é uma alma em natura nascente;
um mistério de amor no metal reside dormente;
“tudo é sensível!” e poderoso em teu ser se apresenta.
receia, no muro cego, um olhar curioso:
à própria matéria encontra-se um verbo unido…
não te sirvas dela para qualquer fim impiedoso!
quase sempre no ser obscuro mora um deus escondido.
e, como um olho novo coberto por suas pálpebras,
um espírito puro medra sob a crosta das pedras!",fr_XX,pt_XX,"homem, pensador livre! você acredita em você sozinho pensando
nse mundo onde a vida irrompe em tudo?
as forças que manténs a tua liberdade,
Mas de todos os teus conselhos o Universo está ausente.
Respeite na fera um espirito que trabalha:
cada flor é uma alma com uma naturalidade desabrochada;
Um misterio de amor no metal recai;
"" tudo é sensato!"" e tudo no teu ser é poderoso.
medo, na parede cega, um look que apague você:
substúncia, apenas um verbete se enrosca...
Não faça com que serve para o uso impiedoso!
na escuridão, o ser vive um Deus escondido;
E como um olfe nato, coberto por suas olfes,
Um espírito puro cresce sob a barca das pedras!"
"dites-moi où, n’en quel pays,
est flora la belle romaine,
archipiades, ne thaïs,
qui fut sa cousine germaine,
echo, parlant quant bruit on mène
dessus rivière ou sur étang,
qui beauté eut trop plus qu’humaine?
mais où sont les neiges d’antan?
où est la très sage héloïs,
pour qui fut châtré et puis moine
pierre esbaillart à saint-denis?
pour son amour eut cette essoine.
semblablement, où est la roine
qui commanda que buridan
fût jeté en un sac en seine?
mais où sont les neiges d’antan?
la roine blanche comme un lis
qui chantait à voix de sirène,
berthe au grand pied, bietrix, aliz,
haramburgis qui tint le maine,
et jeanne, la bonne lorraine
qu’anglais brûlèrent à rouen ;
où sont-ils, où, vierge souvraine?
mais où sont les neiges d’antan?
prince, n’enquerrez de semaine
où elles sont, ni de cet an,
que ce refrain ne vous remaine:
mais où sont les neiges d’antan?","ora dizei-me em que país
flora estará, bela romana,
arquipiades ou taís
que sua prima foi germana.
eco a falar, quando um som plana
por rio ou lago, e que já tem o
dom de formosa mais que humana?
mas onde estão neves de antanho?
onde é mui sábia heloís
por quem castrado e monge pena
pedro balerdo em s. dinis?
amor lhe deu provação plena.
e assim também onde é que reina
essa que a buridan por banho
mandou deitar num saco ao sena?
mas onde estão neves de antanho?
rainha branca como um lis,
voz que a sereia em canto irmana,
berta pé-grande, alis, biatriz,
aremburgis que foi menana,
e de lorena a boa joana
qu’ingrês em ruão queimou no lenho.
onde estão, virgem soberana?
mas onde estão neves de antanho?
senhor, cuidar de ano ou semana
onde elas são, não voz traz ganho,
nem meu refrão a vós engana:
mas onde estão as neves de antanho?",fr_XX,pt_XX,"Me diga onde, em um país,
é a flora o lindo Roman,
Archpiades, não taes,
que era o seu primo-primeiro,
eco, falando sobre o ruido, nós lemos
sobre o rio ou sobre a janela,
Que beleza tivea muito mais do que o ser humano?
Mas cadê a neve dos anos?
Onde está os héloys muito sábios,
Por que era castado e então dinheiro
Esbaillart pedra em Saint-denis?
Por seu amor tiveva essa tristeza.
Como é, onde é o reino
que comandou aquele buridan
foi montado em um saco em um saco?
Mas cadê a neve dos anos?
O reino branco como um lis
que cantou com a voz da sereia,
Com pedais, bietrix, aliz,
Haramburgis que conheciam a sua mão,
E jeanne, o bom rolão
queimado em Rouen;
Onde eles estão, onde, escuvenvirgem?
Mas cadê a neve dos anos?
Prince, não entrare uma semana
onde eles estão, ou este ano,
Que este refrão te memoriza:
Mas cadê a neve dos anos?"
"sous le pont mirabeau coule la seine
et nos amours
faut-il qu’il m’em souvienne
la joie venait toujours après la peine
vienne la nuit sonne l’heure
les jours s’en vont je demeure
les mains dans les mains restons face à face
tandis que sous
le pont de nos bras passe
des éternels regards l’onde si lasse
vienne la nuit sonne l’heure
les jours s’en vont je demeure
l’amour s’en va comme cette eau courante
l’amour s’en va
comme la vie est lente
et comme l’espérance est violente
vienne la nuit sonne l’heure
les jours s’en vont je demeure
passent les jours et passent les semaines
ni temps passé
ni les amours reviennet
sous le pont mirabeau coule la seine
vienne la nuit sonne l’heure
les jours s’en vont je demeure","escorre sob a ponte o rio sena
e em nossos amores
a lembrança me acena
vinha sempre o prazer depois da pena
que venha a noite e soe a hora
os dias se vão não vou embora
mãos nas mãos esperemos face a face
até que sob a ponte
dos nossos braços passe
o eterno desse olhar em nosso enlace
que venha a noite e soe a hora
os dias se vão não vou embora
o amor se vai como água turbulenta
assim o amor se vai
e como a vida é lenta
e como esta esperança é violenta
que venha a noite e soe a hora
os dias se vão não vou embora
os dias passam passam as semanas
não voltam o passado
nem as paixões humanas
e o sena flui em águas soberanas
que venha a noite e soe a hora
os dias se vão não vou embora
os dias passam passam mas que pena
passado amor
nenhuma volta acena
na ponte mirabeau se vai o sena
a noite venha sem demora
eu fico e o tempo vai embora",fr_XX,pt_XX,"Debaixo da ponte do mirabeau flui o sein
E os nossos amores
Preciso me lembrar?
Alegria era para sempre vir após da dor

Os dias se forem Eu fico
Mãos em suas mãos deixam cara a cara
Neste caso, é possível só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só só
A ponte dos nossos braços passa
Dos olhos eternes, as maravilhas tão cansadas

Os dias se forem Eu fico
o amor folha como esta água flutuante
O amor está a ir-se
O quão a vida é
E quão a violenta esperança

Os dias se forem Eu fico
Passe os dias e passe as semanas
Nenhum tempo se passou
Nem os amores voltam
Debaixo da ponte do mirabeau flui o sein

Os dias se forem Eu fico"
