original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.",en_XX,fr_XX,
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","gentes dames et gais seigneurs,
que votre bonté soit bénie :
mille fois merci, de bon cœur,
et dieu vous prête longue vie,
vous guide sur roche ou prairie,
et vous garde d’être affligés ;
ici n’ayant qu’âmes amies,
contre mon gré, je prends congé.
vous m’avez tant traité en roi,
tant servi en viande et en vin,
christ qui fut cloué sur la croix
vous soit un gracieux soutien,
et quelque soit votre chemin,
qu’il vous garde d’être affligés ;
car vous m’avez comblé de biens,
contre mon gré, je prends congé.
il me faut cependant partir,
je ne puis rester sur ces terres ;
car toute chose doit finir,
jusqu’aux amitiés les plus chères ;
quoi que l’amour en nous espère
la mort viendra nous déloger ;
quand donc nous serons mis en bière
à contre-gré, prenons congé.
salutations, ô bonnes gens,
salutations, hivers, verdeurs,
salutations, petits et grands,
mille mercis pour tant d’ardeur !
mais qu’un dessein vous tienne à cœur,
je reviendrai sans déroger –
christ vous préserve du malheur,
car à présent, je prends congé.",en_XX,fr_XX,
"i dwell in a lonely house i know
that vanished many a summer ago,
and left no trace but the cellar walls,
and a cellar in which the daylight falls
and the purple-stemmed wild raspberries grow.
o’er ruined fences the grape-vines shield
the woods come back to the mowing field;
the orchard tree has grown one copse
of new wood and old where the woodpecker chops;
the footpath down to the well is healed.
i dwell with a strangely aching heart
in that vanished abode there far apart
on that disused and forgotten road
that has no dust-bath now for the toad.
night comes; the black bats tumble and dart;
the whippoorwill is coming to shout
and hush and cluck and flutter about:
i hear him begin far enough away
full many a time to say his say
before he arrives to say it out.
it is under the small, dim, summer star.
i know not who these mute folk are
who share the unlit place with me—
those stones out under the low-limbed tree
doubtless bear names that the mosses mar.
they are tireless folk, but slow and sad—
though two, close-keeping, are lass and lad,—
with none among them that ever sings,
and yet, in view of how many things,
as sweet companions as might be had.","je demeure dans une maison à l’écart
qui disparut il y a bien des étés,
et dont rien ne reste hormis la cave,
où pénètre la lumière du jour
et où poussent les framboises violettes.
les clôtures détruites sont couvertes de vigne,
les bois reviennent sur les champs qui connurent la faux ;
de l’ancien arbre fruitier a grossi un taillis
de branches neuves que frappe le grand pic ;
la plaie du sentier qui mène au puits s’est refermée.
mon cœur languit étrangement, comme je demeure
dans ce logis disparu qui se tient tout au bout
de cette route oubliée, à l’abandon,
qui ne baigne plus le crapaud dans sa poussière.
la nuit tombe ; les chauves-souris voltigent et plongent ;
l’engoulevent arrive pour pousser son cri,
se taire, claqueter, battre des ailes :
je l’entends de bien assez loin
qui souvent commence son discours
avant même qu’il n’arrive pour le débiter.
c’est sous une petite et pâle étoile d’été.
je ne sais qui sont ces muettes gens
qui partagent cet endroit sombre avec moi —
ces pierres qui gisent sous les basses frondaisons
portent à n’en pas douter des noms mangés de mousse.
ce sont gens inlassables, mais lents et tristes —
deux pourtant, enlacés, sont jouvenceaux, —
dont jamais aucun ne chante,
mais qui, en pareilles circonstances,
me sont la plus douce des compagnies.",en_XX,fr_XX,
"1.
the road was long and the road was hard
and the sky was cold and grey:
the dead white moon was a frozen shard
in the dim pale dawn of day:
but thief and harlot, king and guard—
warrior, wizard, knave and bard —
rode with me all the way.
2.
the wind was sharp as a whetted knife
as it blew from the wet salt seas:
the storm wind stirred to a ghostly life
the gaunt black skeletal trees:
but i drank the foaming wine of life—
wine of plunder and lust and strife
down to the bitter lees.
3.
a boy, from the savage north i came
to cities of silk and sin:
with torch and steel, in blood and flame,
i won what a man may win:
aye, gambled and won at the devil’s game—
splendor and glory and glittering fame—
and mocked at death’s skull-grin.
4.
and there were foemen to fight and slay
and friends to love and trust:
and crowns to conquer and toss away
and lips to taste with lust:
and songs to keep black night at bay—
and wine to swill to the break of day—
what matter the end be dust?
5.
i’ve won my share of your gems and gold,
they crumble into clods:
i’ve gorged on the best that life can hold,
and devil take the odds:
the grave is deep and the night is cold—
the world’s a skull-full of stinking mould —
and i laugh at your little gods!
6.
the lean road slunk through a blasted land
where the earth was parched and black
but we were a merry, jesting band
who asked no easier track:
rogue and reaver and firebrand—
and life rode laughing at my right hand —
and death rode at my back.
7.
the road was dusty and harsh and long—
crom, but a man gets dry! —
i’m old and weary and death is strong
but flesh was born to die:
hai, gods! but it was a merry throng—
rode by my side with jest and song—
under an empty sky.
8.
i’ve heard fat, cunning priestlings tell
how damned souls writhe and moan:
that paradise they can buy and sell
for gold and gold alone:
to the flames with scripture and priest as well—
i’ll stride down the scarlet throat of hell—
and dice for the devil’s throne!
9.
i faced life boldly and unafraid —
should i flinch as death draws near?
life’s but a game death and i have played
many a wearisome year:
hai! to the gallant friends i made—
slave and swordsman and lissom maid! —
i begrudge no foot of the road i strayed —
the road which endeth . . . here.","1.
la route était longue et semée d’embûches,
le ciel était gris et froid :
la lune était blême comme la mort, un bris de glace
dans la pâleur ténue de l’aube :
mais truand et catin, roi et garde —
guerrier, magicien, larron et barde —
me firent escorte jusqu’au bout.
2.
comme il portait l’embrun humide à goût de sel,
le vent âpre semblait un couteau aiguisé :
sous la bourrasque les arbres étiques remuaient
leurs squelettes noirs, leur vie de spectre :
mais je bus le vin mousseux de la vie —
vin de pillage, de désir et de lutte —
jusqu’à la lie amère.
3.
guère plus qu’un enfant, je vins du nord sauvage
jusqu’aux cités de la soie et du péché :
par la torche et le fer, dans le sang et l’incendie,
je m’emparai de tout ce qu’un homme peut saisir :
oui-da, je jouai et gagnai au jeu du diable —
splendeur, gloire et renom étincelant —
et je raillai le rictus osseux de la mort.
4.
des ennemis à combattre et à anéantir, il y en eut,
et des amis à chérir, à qui se fier :
et des couronnes à conquérir, à jeter avec dédain,
et des lèvres à happer, en proie au désir :
et des chansons pour tenir à distance la nuit noire —
et du vin à répandre jusqu’au point du jour —
qu’importe si à la fin, il n’y a que poussière ?
5.
j’ai bien gagné ma part de vos gemmes, de votre or,
qui croulent en tas informes :
je me suis gavé de ce que la vie offre de meilleur,
et le diable a pris le pari :
la tombe est profonde, la nuit très froide —
le monde est un crâne puant le moisi et le rance —
et je me ris de vos dieux mesquins !
6.
la route mince sinuait à travers un pays désolé
où la terre était aride et noire,
mais parmi notre bande de joyeux plaisantins,
pas un ne réclamait de voie plus aisée :
ni ruffian, ni pillard ni frondeur —
à ma droite, la vie galopait en riant —
et la mort était sur mes talons.
7.
la route poussiéreuse s’étirait, toujours rude —
par crom, un homme parfois se sent le gosier sec !
me voici vieux et las, et puis la mort est forte,
mais c’est ainsi, la chair est faite pour mourir :
aha, dieux ! mais ce fut une troupe joyeuse —
qui chevaucha à mes côtés, pour chanter et rire —
sous un ciel vide.
8.
j’ai entendu les beaux discours de prêtres bien gras,
selon quoi les damnés se tordent en gémissant :
ce paradis-là, ils peuvent bien l’acheter et le vendre
pour de l’or, rien que de l’or :
au feu ! les saintes écritures comme la prêtraille —
j’irai à grands pas dans la gorge écarlate de l’enfer
— et jouerai aux dés le trône du diable !
9.
j’ai affronté la vie avec audace et sans trembler —
faudrait-il que je recule lorsque la mort approche ?
la vie n’est qu’un jeu auquel j’ai joué avec la mort
durant bien des années éreintantes :
ohé ! aux amis vaillants que je me fis —
esclave, escrimeur et servante gracile ! —
je ne me repens d’aucune aventure sur ma route —
la route qui s’achève… ici.",en_XX,fr_XX,
"i remember
the dark woods, masking slopes of sombre hills;
the grey clouds’ leaden everlasting arch;
the dusky streams that flowed without a sound,
and the lone winds that whispered down the passes.
vista upon vista marching, hills on hills,
slope beyond slope, each dark with sullen trees,
our gaunt land lay. so when a man climbed up
a rugged peak and gazed, his shaded eye
saw but the endless vista–hill on hill,
slope beyond slope, each hooded like its brothers.
it was a gloomy land that seemed to hold
all winds and clouds and dreams that shun the sun,
with bare boughs rattling in the lonesome winds,
and the dark woodlands brooding over all,
not even lightened by the rare dim sun
which made squat shadows out of men; they called it
cimmeria, land of darkness and deep night.
it was so long ago and far away
i have forgotten the very name men called me.
the axe and flint-tipped spear are like a dream,
and hunts and wars are like shadows. i recall
only the stillness of that sombre land;
the clouds that piled forever on the hills,
the dimness of the everlasting woods.
cimmeria, land of darkness and the night.
oh, soul of mine, born out of shadowed hills,
to clouds and winds and ghosts that shun the sun,
how many deaths shall serve to break at last
this heritage which wraps me in the grey
apparel of ghosts? i search my heart and find
cimmeria, land of darkness and the night.","je me souviens
de bois enténébrés, masquant les versants des mornes collines ;
la voûte de plomb immuable des nuages gris ;
les cours d’eau assombris qui coulaient sans bruit,
et les vents solitaires qui bruissaient le long des ravins.
notre perpétuel paysage de collines suivant des collines,
côte après côte, sous l’ombrage de leurs arbres ternes,
qui s’étirait en une contrée sinistre. quand donc un homme escaladait
un pic biscornu et contemplait alentour, son œil obscurci
ne découvrait que le même paysage interminable – colline suivant colline,
côte après côte, chacune recouverte comme sa parente.
c’était une contrée sinistre qui semblait garder
tous les vents, nuages et rêves qui fuient le soleil,
des frondaisons qui frémissaient dans les vents solitaires,
et les sombres forêts couvraient tout cela,
qu’un rare et terne soleil ne pouvait éclaircir
au point que les hommes n’étaient plus que des ombres tapies ; ils l’appelaient
cimmérie, pays de ténèbres et de nuit profonde.
c’était en un temps et un lieu si lointains
que j’en ai oublié même le nom qui m’était donné.
la hache et la lance à pointe de silex sont tels un songe,
et les chasses et les guerres sont nébuleuses. je me rappelle
seulement le silence de cette morne contrée ;
les nuages amassés toujours sur les collines,
l’obscur des bois éternels.
cimmérie, pays des ténèbres et de la nuit.
oh, âme mienne, née des collines brumeuses,
des nuages, des vents et des fantômes qui fuient le soleil,
combien me faudra-t-il de morts pour en finir
avec cet héritage qui me revêt du gris
accoutrement des spectres ? je scrute mon cœur et trouve
cimmérie, pays des ténèbres et de la nuit.",en_XX,fr_XX,
"i remember
the dark woods, masking slopes of sombre hills;
the grey clouds’ leaden everlasting arch;
the dusky streams that flowed without a sound,
and the lone winds that whispered down the passes.
vista upon vista marching, hills on hills,
slope beyond slope, each dark with sullen trees,
our gaunt land lay. so when a man climbed up
a rugged peak and gazed, his shaded eye
saw but the endless vista–hill on hill,
slope beyond slope, each hooded like its brothers.
it was a gloomy land that seemed to hold
all winds and clouds and dreams that shun the sun,
with bare boughs rattling in the lonesome winds,
and the dark woodlands brooding over all,
not even lightened by the rare dim sun
which made squat shadows out of men; they called it
cimmeria, land of darkness and deep night.
it was so long ago and far away
i have forgotten the very name men called me.
the axe and flint-tipped spear are like a dream,
and hunts and wars are like shadows. i recall
only the stillness of that sombre land;
the clouds that piled forever on the hills,
the dimness of the everlasting woods.
cimmeria, land of darkness and the night.
oh, soul of mine, born out of shadowed hills,
to clouds and winds and ghosts that shun the sun,
how many deaths shall serve to break at last
this heritage which wraps me in the grey
apparel of ghosts? i search my heart and find
cimmeria, land of darkness and the night.","je me rappelle
les bois obscurs, masquant les pentes de sombres collines ;
l’arche éternelle d’un ciel de plomb ;
les ruisseaux blafards qui coulaient sans un bruit,
et les vents solitaires qui murmuraient le long des passes.
enfilade de panoramas, de collines,
versant après versant, chacun ombré par des arbres mornes,
ainsi s’étendait notre terre de désolation. aussi, lorsqu’un homme grimpait
un pic déchiqueté d’où il regardait longuement, son regard ombreux
ne voyait que panorama sans fin – enfilade de collines,
versant après versant, chacun voilé comme ses frères.
c’était un pays lugubre qui semblait contenir
tous les vents, nuées et songes qu’effarouche le soleil,
et dont les rameaux dénudés s’entrechoquaient dans les vents solitaires,
les sombres terres boisées ruminant dans les hauteurs,
pas même éclaircies par le rare soleil terne
qui réduisait les hommes en ombres trapues ; ils l’appelaient
cimmérie, terre de ténèbres et de nuit noire.
c’était il y a si longtemps, et si loin,
j’en ai oublié le nom même que les hommes me donnaient.
hache et lance à pointe de silex sont pareilles à un rêve,
chasses et guerres semblent des ombres. je me rappelle
seulement le silence de ce sombre pays ;
les nuées qui s’amassaient sans cesse sur les collines,
le terne des bois éternels.
cimmérie, terre des ténèbres et de la nuit.
oh, mon âme, née des collines ombragées,
sous des nuées, des vents et des fantômes qu’effarouche le soleil,
combien faudra-t-il de morts pour enfin briser
cet héritage qui m’enveloppe dans l’habit
gris des spectres ? je sonde mon cœur et trouve
cimmérie, terre des ténèbres et de la nuit.",en_XX,fr_XX,
"o earth, earth, look on thy lovers, who knew all thy gifts and thy gain,
but cast them aside for thy sake, and caught up barren pain!
indeed of some art thou mindful, and ne’er shalt forget their tale,
till shrunk are the floods of thine ocean and thy sun is waxen pale.
but rather i bid thee remember e’en these of the latter days,
who were fed by no fair promise and made drunken by no praise.
for them no opening heaven reached out the martyr’s crown;
no folk delivered wept them, and no harvest of renown
they reaped with the scythe of battle; nor round their dying bed
did kindly friendly farewell the dew of blessing shed;
in the sordid streets of the city mid a folk that knew them not,
in the living death of the prison didst thou deal them out their lot,
yet foundest them deeds to be doing; and no feeble folk were they
to scowl on their own undoing and wail their lives away;
but oft were they blithe and merry and deft from the strife to wring
some joy that others gained not midst their peaceful wayfaring.
so fared they, giftless ever, and no help of fortune sought.
their life was thy deliverance, o earth, and for thee they fought;
mid the jeers of the happy and deedless, mid failing friends they went
to their foredoomed fruitful ending on the love of thee intent.","ô terre, terre, veille sur tes amants, qui connaissaient tous tes bienfaits et tes dons,
mais s’en débarrassèrent pour ton bien, pour s’emparer d’une douleur aride !
en vérité, prends soin de certains d’entre eux, n’oublie jamais leur histoire,
jusqu’à ce que diminue le flot de tes océans, que ton soleil prenne la teinte pâle de la cire.
souviens-toi plutôt, je te prie, de ceux-là qui, aux derniers jours,
ne furent rassasiés d’aucune belle promesse ni enivrés d’aucun éloge.
pour eux, il n’y eut pas de cieux grands ouverts pour tendre la couronne du martyre ;
nul peuple délivré ne les pleura, nulle moisson de gloire
ne fut par eux fauchée dans la bataille ; il n’y eut pas, près de leur lit de mort,
la bénédiction qu’épanchent en douce rosée les adieux d’amis rassemblés ;
dans les ruelles sordides de la cité, parmi un peuple qui ne les connaissait pas,
dans la mort vivante du cachot, en effet, tu leur fis un sort,
et pourtant tu leur trouvas des œuvres à accomplir ; ils n’étaient pas de la valetaille
pour s’irriter de leur propre déconfiture et se lamenter pour le reste de leurs jours ;
ils se montraient souvent plaisants et joyeux, adroits à extorquer de la lutte
une part de gaieté, que d’autres ne trouvent pas lors d’une randonnée paisible.
ainsi se débrouillaient-ils, toujours démunis, sans solliciter l’aide de la fortune.
leur vie fut ta délivrance, ô terre, c’est pour toi qu’ils luttèrent ;
parmi les railleries des bienheureux et des désœuvrés, parmi les amis tombés, ils allèrent
à leur perte funeste mais féconde, par amour de ta volonté.",en_XX,fr_XX,
"yea and we were a part of it all, the beginning of the end,
that first fight of the uttermost battle whither all the nations wend;
and yet could i tell you its story, you might think it little and mean.
for few of you now will be thinking of the day that might have been,
and fewer still meseemeth of the day that yet shall be,
that shall light up that first beginning and its tangled misery.
for indeed a very machine is the war that now men wage;
nor have we hold of its handle, we gulled of our heritage,
we workmen slaves of machines. well, it ground us small enough
this machine of the beaten bourgeois; though oft the work was rough
that it turned out for its money. like other young soldiers at first
i scarcely knew the wherefore why our side had had the worst;
for man to man and in knots we faced the matter well;
and i thought, well to-morrow or next day a new tale will be to tell.
i was fierce and not afraid; yet o were the wood-sides fair,
and the crofts and the sunny gardens, though death they harboured there!
and few but fools are fain of leaving the world outright,
and the story over and done, and an end of the life and the light.
no hatred of life, thou knowest, o earth, mid the bullets i bore,
though pain and grief oppressed me that i never may suffer more.
but in those days past over did life and death seem one;
yea the life had we attained to which could never be undone.","oui-da, nous y prîmes notre part, à ce début de la fin,
à ce premier combat de la bataille suprême d’où toutes les nations découlèrent ;
or, vous en ferais-je le récit, vous pourriez la juger modeste et médiocre.
car peu d’entre vous penseront au jour qui eût pu advenir,
et encore moins, ce me semble, au jour qui pourrait venir,
qui mettrait en lumière ce commencement, et le malheur qui lui est entremêlé.
la guerre en effet est bien une machine que mènent les hommes ;
et nous ne contrôlons pas sa manivelle, nous les dupes de notre héritage,
nous les travailleurs rendus esclaves des machines. oui, elle nous réduisit à peau de chagrin,
cette machine des bourgeois usés ; bien que souvent le labeur fût rude
pour ce qu’il rapportait. d’abord, comme d’autres jeunes soldats
je connaissais à peine les raisons pour lesquelles notre camp avait subi le pire ;
car dans la mêlée, le ventre noué, nous avions bel et bien fait face ;
et je me disais, demain ou le jour suivant, ce sera une autre histoire.
j’étais ardent, sans peur ; pourtant, comme ils étaient beaux les coteaux boisés,
les fermettes et les jardins ensoleillés, malgré la mort que recelait leur sein !
ils sont peu nombreux et bien fous, ceux qui volontiers laissent derrière eux le monde,
et l’histoire bel et bien achevée, la fin de la vie et de la lumière.
tu ignores toute haine de la vie, ô terre, au milieu des balles que j’endurais,
même si la douleur et le chagrin m’accablèrent tant que, peut-être, je n’en supporterai pas plus.
mais en ces jours passés, la vie et la mort semblaient même chose ;
oui-da, nous avions touché à la vie qui ne serait jamais défaite.",en_XX,fr_XX,
"take a little walk
to the edge of town
and go across the tracks
where the viaduct looms
like a bird of doom
as it shifts and cracks
where secrets lie
in the border fires
in the humming wires
hey man, you know you’re never coming back
past the square
past the bridge
past the mills
past the stacks
on a gathering storm
comes a tall handsome man
in a dusty black coat
with a red right hand
he’ll wrap you in his arms
tell you that you’ve been a good boy
he’ll rekindle all the dreams
it took you a lifetime to destroy
he’ll reach deep into the hole
heal your shrinking soul
but there won’t be a single thing
that you can do
he’s a god
he’s a man
he’s a ghost
he’s a guru
they’re whispering his name
through this disappearing land
but hidden in his coat
is a red right hand
you don’t have no money?
he’ll get you some
you don’t have no car?
he’ll get you one
you don’t have no self-respect
you feel like an insect
well don’t you worry buddy
‘cause here he comes
through the ghettos
and the barrio
and the bowery
and the slum
a shadow is cast
wherever he stands
stacks of green paper
in his red right hand
you’ll see him in your nightmares
you’ll see him in your dreams
he’ll appear out of nowhere
but he ain’t what he seems
you’ll see him in your head
on the tv screen
and hey buddy, i’m warning you to turn it off
he’s a ghost
he’s a god
he’s a man
he’s a guru
you’re one microscopic cog
in his catastrophic plan
designed and directed
by his red right hand","fais un petit tour
aux confins de la ville
et traverse les voies
où le viaduc se profile
tel un oiseau de malheur
mouvant et craquant
où les secrets gisent
dans les feux de signalisation
dans les bourdonnements électriques
hey mec, tu sais que tu ne reviendras jamais
après le square
après le pont
après les moulins
après les usines
sous une tempête naissante
s’en vient un grand et bel homme
dans un poussiéreux manteau noir
avec une main droite écarlate
il t’enveloppera de ses bras
te dira que tu as été un bon garçon
il ravivera tous les rêves
que tu as mis une vie entière à détruire
il s’enfoncera profondément dans la béance
guérira ton âme rabougrie
et tu ne pourras réagir d’aucune manière
c’est un dieu
c’est un homme
c’est un spectre
c’est un gourou
on murmure son nom
dans cette contrée mourante
mais cachée sous son manteau
se trouve une main droite écarlate
tu n’as pas d’argent ?
il t’en trouvera
tu n’as pas de voiture ?
il t’en obtiendra
tu n’as pas d’amour propre
tu te sens tel un insecte
et bien ne t’en fais pas, mon pote
car le voici
à travers le ghetto
et le barrio
et le taudis
et la zone
une ombre se répand
partout où il se rend
une poignée de billets verts
dans sa main droite écarlate
tu le verras dans tes cauchemars
tu le verras dans tes rêves
il surgira de nulle part
mais sans être ce qu’il paraît être
tu le verras dans ta tête
sur ton écran de télé
eh, mon pote, je te conseille de l’éteindre
c’est un spectre
c’est un dieu
c’est un homme
c’est un gourou
tu es un rouage microscopique
dans son plan catastrophique
conçu et dirigé
par sa main droite écarlate",en_XX,fr_XX,
"a man came slowly from the setting sun,
to emer, raddling raiment in her dun,
and said, ‘i am that swineherd whom you bid
go watch the road between the wood and tide,
but now i have no need to watch it more.’
then emer cast the web upon the floor,
and raising arms all raddled with the dye,
parted her lips with a loud sudden cry.
that swineherd stared upon her face and said,
‘no man alive, no man among the dead,
has won the gold his cars of battle bring.’
‘but if your master comes home triumphing
why must you blench and shake from foot to crown?’
thereon he shook the more and cast him down
upon the web-heaped floor, and cried his word:
‘with him is one sweet-throated like a bird.’
‘you dare me to my face,’ and thereupon
she smote with raddled fist, and where her son
herded the cattle came with stumbling feet,
and cried with angry voice, ‘it is not meet
to idle life away, a common herd.’
‘i have long waited, mother, for that word:
but wherefore now?’
‘there is a man to die;
you have the heaviest arm under the sky.’
‘whether under its daylight or its stars
my father stands amid his battle-cars.’
‘but you have grown to be the taller man.’
‘yet somewhere under starlight or the sun
my father stands.’
‘aged, worn out with wars
on foot. on horseback or in battle-cars.’
‘i only ask what way my journey lies,
for he who made you bitter made you wise.’
‘the red branch camp in a great company
between wood’s rim and the horses of the sea.
go there, and light a camp-fire at wood’s rim;
but tell your name and lineage to him
whose blade compels, and wait till they have found
some feasting man that the same oath has bound.’
among those feasting men cuchulain dwelt,
and his young sweetheart close beside him knelt,
stared on the mournful wonder of his eyes,
even as spring upon the ancient skies,
and pondered on the glory of his days;
and all around the harp-string told his praise,
and conchubar, the red branch king of kings,
with his own fingers touched the brazen strings.
at last cuchulain spake, ‘some man has made
his evening fire amid the leafy shade.
i have often heard him singing to and fro,
i have often heard the sweet sound of his bow.
seek out what man he is.’
one went and came.
‘he bade me let all know he gives his name
at the sword-point, and waits till we have found
some feasting man that the same oath has bound.’
cuchulain cried, ‘i am the only man
of all this host so bound from childhood on.’
after short fighting in the leafy shade,
he spake to the young man, ‘is there no maid
who loves you, no white arms to wrap you round,
or do you long for the dim sleepy ground,
that you have come and dared me to my face?’
‘the dooms of men are in god’s hidden place,’
‘your head a while seemed like a woman’s head
that i loved once.’
again the fighting sped,
but now the war-rage in cuchulain woke,
and through that new blade’s guard the old blade broke,
and pierced him.
‘speak before your breath is done.’
‘cuchulain i, mighty cuchulain’s son.’
‘i put you from your pain. i can no more.’","un homme revenait à pas lents du couchant
au donjon d’emer, qui teignait d’ocre un vêtement,
pour dire : « je suis ce porcher à qui tu donnas l’ordre
de surveiller la route entre le bois et l’onde ;
à présent je n’ai plus à la garder encore. »
alors emer jeta l’étoffe à terre,
et levant haut ses bras tout enduits de teinture
elle écarta les lèvres pour un cri bref et dur.
lui toisant le visage ce porcher dit enfin
« aucun homme vivant, aucun parmi les défunts
n’eut charge d’or pareille à ses chars de bataille.
— mais si ton maître rentre triomphal
pourquoi pâlir et trembler de la tête aux pieds ? »
là-dessus il trembla d’autant plus et tomba foudroyé
sur le sol recouvert d’étoffes, et il fit son aveu :
« à ses côtés vient un tendron à voix d’oiseau.
— tu me bafoues en face ? » sur ce
elle abattit son poing rougi, puis, au lieu où son fils
rassemblait le bétail, alla d’un pas fébrile
lui crier d’une voix furieuse, « il n’est pas convenable
de gâcher sa vie, simple pâtre, en choses frivoles.
— j’ai longtemps espéré, mère, cette parole :
mais pour quel dessein, dis ?
— un homme attend sa mort ;
sous le ciel, ton bras est le plus fort.
— en plein jour ou sous la voûte étoilée
mon père se tient parmi ses chars de bataille.
— cependant te voilà sans personne à ta taille.
— mais sous les étoiles ou le ciel ensoleillé
mon père est là.
— vieilli, épuisé par les guerres
qu’il a livrées à pied, à cheval ou en char.
— je ne demande qu’à partir, et où mène le voyage
car qui t’a faite amère t’a rendue sage.
— la branche rouge bivouaque en grand équipage
entre l’orée du bois et les cavales de la mer.
va là-bas, allume un feu de camp à la lisière ;
mais ne donne ton nom et ton lignage
qu’à celui dont la lame t’y contraint ; attends qu’ils aient trouvé
quelque ripailleur par même serment lié. »
cuchulain se tenait parmi les hommes en fête,
agenouillée auprès de lui sa jeune amante
plongeait le regard dans la morne splendeur de ses yeux,
paisibles tel un air de printemps dans les anciens cieux,
et la gloire de ses jours la gardait dans un songe ;
partout alentour les cordes de la harpe lui chantaient des louanges,
et conchubar de la branche rouge, rois des rois,
effleurait les cordes impudentes de ses propres doigts.
enfin cuchulain parla : « quelqu’un a établi son bivouac
dont le feu brûle le soir sous les ombrages.
souvent j’ai entendu sa chanson comme il marchait de long en large,
souvent j’ai entendu le doux son de son arc.
qu’on aille voir qui il est. »
l’un fit le trajet.
« il m’a chargé de faire savoir à tous qu’il ne sera nommé
qu’à la pointe de l’épée, et attend de notre campement
quelque ripailleur lié par le même serment. »
cuchulain s’écria : « je suis le seul combattant
de cet ost lié ainsi depuis tout enfant. »
après une brève lutte sous les ombrages,
il parla au jeune homme : « n’y a-t-il pas une fille de ton âge
qui t’aime, des bras blancs pour t’enlacer,
ou bien te languis-tu du sommeil sous la terre glacée,
pour venir me défier les yeux dans les yeux ? »
« le sort des hommes se trouve dans la cache de dieu.
— un instant ta figure m’a paru d’une femme
que j’aimai autrefois. »
le combat reprit avec ardeur,
mais en cuchulain d’un coup s’attisa la fureur guerrière,
et la vieille lame fracassant la garde de la nouvelle lame
transperça l’homme.
« parle, avant de rendre souffle.
— moi, cuchulain, du puissant cuchulain le fils.
— j’abrège tes souffrances. je ne peux rien de plus. »",en_XX,fr_XX,
