original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.",en_XX,pt_XX,
"the sparrows hurriedly begin their play.
then, in the west, “boom!” and a cloud of smoke.
“boom!” and the exploding ball
of blossom blooms again.
(and all the employees who work in plants
where such a sound says “danger,” or once said “death,”
turn in their sleep and feel
the short hairs bristling
on backs of necks.) the cloud of smoke moves off.
a shirt is taken off a threadlike clothes-line.
along the street below
the water-wagon comes
throwing its hissing, snowy fan across
peelings and newspapers. the water dries
light-dry, dark-wet, the pattern
of the cool watermelon.
i hear the day-springs of the morning strike
from stony walls and halls and iron beds,
scattered or grouped cascades,
alarms for the expected:
queer cupids of all persons getting up,
whose evening meal they will prepare all day,
you will dine well
on his heart, on his, and his,
so send them about your business affectionately,
dragging in the streets their unique loves.
scourge them with roses only,
be light as helium,
for always to one, or several, morning comes,
whose head has fallen over the edge of his bed,
whose face is turned
so that the image of
the city grows down into his open eyes
inverted and distorted. no. i mean
distorted and revealed,
if he sees it at all.","pardais apressados começam o espetáculo.
então, do oeste, um “bum!” e uma nuvem de fumaça.
“bum!” e a bola de flor
explode em fogo outra vez.
(e os operários de fábricas para quem
este som diz “perigo”, e outrora “morte”,
se viram na cama e sentem
eriçar-se os cabelos
da nuca.) a nuvem de fumaça se afasta.
de um fio de varal tira-se uma camisa.
pela rua passa
o caminhão d’água
lançando um leque alvo e sibilante
sobre jornais e cascas. onde seca
é claro, o molhado é escuro,
como na fresca melancia.
ouço as molas da manhã soando
em muros, corredores, camas de ferro,
soltas ou em arpejos,
alarmes esperados:
levantam-se os cupidos improváveis
de quem vai preparar-lhes o jantar,
vocês vão alimentar-se
do coração dele, e dele,
assim, despachem com afeto esses que saem
arrastando pela rua seus amores singulares.
neles só batam com rosas,
sejam leves como o hélio,
pois o dia sempre chega a um caído
com a cabeça para fora do colchão,
rosto virado de modo
que a imagem da cidade
surge em seus olhos abertos inversa
e distorcida. não. melhor dizendo:
distorcida e revelada,
se é que ele a vê de fato.",en_XX,pt_XX,
"at six o’clock we were waiting for coffee,
waiting for coffee and the charitable crumb
that was going to be served from a certain balcony,
— like kings of old, or like a miracle.
it was still dark. one foot of the sun
steadied itself on a long ripple in the river.
the first ferry of the day had just crossed the river.
it was so cold we hoped that the coffee
would be very hot, seeing that the sun
was not going to warm us; and that the crumb
would be a loaf each, buttered, by a miracle.
at seven a man stepped out on the balcony.
he stood for a minute alone on the balcony
looking over our heads toward the river.
a servant handed him the makings of a miracle,
consisting of one lone cup of coffee
and one roll, which he proceeded to crumb,
his head, so to speak, in the clouds — along with the sun.
was the man crazy? what under the sun
was he trying to do, up there on his balcony!
each man received one rather hard crumb,
which some flicked scornfully into the river,
and, in a cup, one drop of the coffee.
some of us stood around, waiting for the miracle.
i can tell what i saw next; it was not a miracle.
a beautiful villa stood in the sun
and from its doors came the smell of hot coffee.
in front, a baroque white plaster balcony
added by birds, who nest along the river,
— i saw it with one eye close to the crumb —
and galleries and marble chambers. my crumb
my mansion, made for me by a miracle,
through ages, by insects, birds, and the river
working the stone. every day, in the sun,
at breakfast time i sit on my balcony
with my feet up, and drink gallons of coffee.
we licked up the crumb and swallowed the coffee.
a window across the river caught the sun
as if the miracle were working, on the wrong balcony.","às seis, estávamos à espera do café,
à espera do café e da caridosa migalha
que seriam servidos de uma certa varanda
— como por reis de outrora, ou por milagre.
ainda estava escuro. um dos pés do sol
se apoiava numa longa ondulação do rio.
a primeira barca do dia já cruzara o rio.
tal era o frio que ansiávamos por café
quentíssimo — pois pelo visto o sol
não ia aquecer-nos — e uma migalha
que fosse um pão para cada um, como um milagre.
às sete um homem apareceu na varanda.
ficou a sós por um minuto na varanda
olhando não para nós, mas para o rio.
um criado deu-lhe material para um milagre,
ou seja, uma única xícara de café
e um pão, que ele reduziu a migalhas,
com a cabeça nas nuvens, tal qual o sol.
seria um louco? parado ali, ao sol,
que estava ele fazendo na varanda?
cada um recebeu uma mísera migalha,
que uns, com desprezo, jogaram no rio,
e, numa xícara, uma gota de café.
alguns de nós ficamos, à espera do milagre.
digo o que vi em seguida: não foi milagre.
era um belo casarão, aberto ao sol,
de onde vinha um cheiro quente de café.
à frente, uma estrutura barroca, uma varanda
de gesso branco, feita pelas aves do rio
— foi o que vi ao olhar de perto a migalha —
galerias e salões de mármore. minha migalha,
uma mansão, feita para mim por milagre,
ao longo dos tempos, pelas aves, pelo rio
a lavrar a pedra. todos os dias, ao sol,
pela manhã, me instalo na varanda,
os pés para cima, e bebo litros de café.
engolimos a migalha e a gota de café.
além-rio, uma janela refletia o sol
como se o milagre fosse em outra varanda.",en_XX,pt_XX,
"i dreamed that dead, and meditating,
i lay upon a grave, or bed,
(at least, some cold and close-built bower).
in the cold heart, its final thought
stood frozen, drawn immense and clear,
stiff and idle as i was there;
and we remained unchanged together
for a year, a minute, an hour.
suddenly there was a motion,
as startling, there, to every sense
as an explosion. then it dropped
to insistent, cautious creeping
in the region of the heart,
prodding me from desperate sleep.
i raised my head. a slight young weed
had pushed up through the heart and its
green head was nodding on the breast.
(all this was in the dark.)
it grew an inch like a blade of grass;
next, one leaf shot out of its side
a twisting, waving flag, and then
two leaves moved like a semaphore.
the stem grew thick. the nervous roots
reached to each side; the graceful head
changed its position mysteriously,
since there was neither sun nor moon
to catch its young attention.
the rooted heart began to change
(not beat) and then it split apart
and from it broke a flood of water.
two rivers glanced off from the sides,
one to the right, one to the left,
two rushing, half-clear streams,
(the ribs made of them two cascades)
which assuredly, smooth as glass,
went off through the fine black grains of earth.
the weed was almost swept away;
it struggled with its leaves,
lifting them fringed with heavy drops.
a few drops fell upon my face
and in my eyes, so i could see
(or, in that black place, thought i saw)
that each drop contained a light,
a small, illuminated scene;
the weed-deflected stream was made
itself of racing images.
(as if a river should carry all
the scenes that it had once reflected
shut in its waters, and not floating
on momentary surfaces.)
the weed stood in the severed heart.
what are you doing there? i asked.
it lifted its head all dripping wet
(with my own thoughts?)
and answered then: i grow, it said,
but to divide your heart again.","sonhei que, morta, eu meditava
dentro da cova, ou numa cama
(algum espaço frio e estreito).
no frio coração, se congelara
a ideia final, imensa e clara,
vazia e dura como eu;
e assim ficamos, imóveis,
um ano, um minuto, uma hora.
de súbito, algo mexeu-se,
abalando-me os sentidos,
qual explosão, e abrandou-se
num toque tímido e insistente
no coração, a despertar-me
de um sono desesperado.
olhei. do coração brotara
uma ervinha, e sua cabeça
roçava tenra em meu peito.
(tudo isso era no escuro.)
cresceu um pouco, uma grama;
surgiu uma folha torcida,
depois outra, tremulando,
duas bandeiras de um semáforo.
o caule engrossou. as raízes
se abriam, nervosas; a cabeça
girava misteriosamente,
pois sol nem lua a atraíam.
o coração, com as raízes,
começou a mudar (não bater);
partiu-se ao meio, então,
e dele veio um jorro d’água.
dois rios desceram, um à esquerda,
um à direita, dois cursos
de água rápida e translúcida,
(formando cascatas nas costelas)
lisa como vidro, fluindo
por entre os grãos de terra negra.
a erva foi quase arrastada;
agarrou-se com as folhas, erguendo-as,
orladas de gotas gordas.
caíram-me pingos no rosto,
nos olhos, e vi então
(ou julguei ver, naquele breu)
que em cada gota brilhava
uma cena iluminada;
a água que a erva desviava
era um fluxo de imagens velozes.
(como rio que levasse as cenas
todas nele já refletidas
encerradas n’água, não flutuando
nas superfícies efêmeras.)
perguntei à erva: que fazes
neste coração partido?
ela ergueu a cabeça molhada
(com meus próprios pensamentos?)
e disse: cresço, para partir
teu coração outra vez.",en_XX,pt_XX,
"he sleeps on the top of a mast
with his eyes fast closed.
the sails fall away below him
like the sheets of his bed,
he sleeps on the top of a mast. — bunyan
leaving out in the air of the night the sleeper’s head.
asleep he was transported there,
asleep he curled
in a gilded ball on the mast’s top,
or climbed inside
a gilded bird, or blindly seated himself astride.
“i am founded on marble pillars,”
said a cloud. “i never move.
see the pillars there in the sea?”
secure in introspection
he peers at the watery pillars of his reflection.
a gull had wings under his
and remarked that the air
was “like marble.” he said: “up here
i tower through the sky
for the marble wings on my tower-top fly.”
but he sleeps on the top of his mast
with his eyes closed tight.
the gull inquired into his dream,
which was, “i must not fall.
the spangled sea below wants me to fall.
it is hard as diamonds; it wants to destroy us all.”","ele dorme no alto de um mastro
com os olhos bem fechados.
as velas se abrem lá embaixo
como os lençóis de seu leito,
deixando a cabeça exposta à noite e ao relento.
dormindo foi levado ali,
dormindo enrodilhou-se
numa bola dourada no alto do mastro,
ou então se enfiou
numa ave dourada, ou nela, cego, montou.
“tenho pilares de mármore”,
disse uma nuvem. “não me movo nunca.
vê os pilares lá no mar?”
ele, tranquilo, introspecto,
olha os pilares d’água de seu próprio reflexo.
uma gaivota com as asas
sob as dele comentou que o ar
“parecia mármore”. disse ele: “cá em cima
eu voo mais alto que o céu,
com as asas de mármore que a torre me deu.”
mas ele dorme no alto do seu mastro
com os olhos bem apertados.
a gaivota investigou-lhe o sonho,
que era assim: “não posso cair.
o mar cintilante quer me ver cair.
é duro como diamante; ele nos quer destruir.”",en_XX,pt_XX,
"now can you see the monument? it is of wood
built somewhat like a box. no. built
like several boxes in descending sizes
one above the other.
each is turned half-way round so that
its corners point toward the sides
of the one below and the angles alternate.
then on the topmost cube is set
a sort of fleur-de-lys of weathered wood,
long petals of board, pierced with odd holes,
four-sided, stiff, ecclesiastical.
from it four thin, warped poles spring out,
(slanted like fishing-poles or flag-poles)
and from them jig-saw work hangs down,
four lines of vaguely whittled ornament
over the edges of the boxes
to the ground.
the monument is one-third set against
a sea; two-thirds against a sky.
the view is geared
(that is, the view’s perspective)
so low there is no “far away,”
and we are far away within the view.
a sea of narrow, horizontal boards
lies out behind our lonely monument,
its long grains alternating right and left
like floor-boards — spotted, swarming-still,
and motionless. a sky runs parallel,
and it is palings, coarser than the sea’s:
splintery sunlight and long-fibred clouds.
“why does that strange sea make no sound?
is it because we’re far away?
where are we? are we in asia minor,
or in mongolia?”","está vendo o monumento agora? é de madeira,
uma estrutura em forma de caixa. não. é como
caixas de tamanhos decrescentes
uma em cima da outra.
cada uma está virada de tal modo
que as quinas apontem para os lados
da que está embaixo, e os ângulos se alternem.
no cubo do alto está engastada
uma flor-de-lis de madeira gasta,
longas pétalas de tábuas, com furos aleatórios,
quadrangular, rígida, eclesiástica.
dela saem quatro mastros finos, tortos,
(inclinados como caniços ou mastros de bandeiras)
e deles pendem quatro vagos zigue-zagues,
enfeites recortados em madeira,
passando pelas quinas das caixas
chegando até o chão.
um terço do monumento se destaca contra
um mar; dois terços contra um céu.
o ângulo da vista
(melhor, o ângulo com que a vemos)
é tal que não se vê o “ao longe”,
e estamos longe dentro dela.
um mar de tábuas estreitas, horizontais,
se estende atrás do solitário monumento,
e os veios longos da madeira alternam-se,
esquerda e direita, como um assoalho — manchas, pintas
e listas estáticas. um céu corre paralelo,
textura de paliçada, mais grosseira que a do mar:
cacos de sol, nuvens de longas fibras.
“por que não faz barulho esse oceano estranho?
é porque estamos longe?
onde é que estamos? na ásia menor,
ou na mongólia?”",en_XX,pt_XX,
"an ancient promontory,
an ancient principality whose artist-prince
might have wanted to build a monument
to mark a tomb or boundary, or make
a melancholy or romantic scene of it...
“but that queer sea looks made of wood,
half-shining, like a driftwood sea.
and the sky looks wooden, grained with cloud.
it’s like a stage-set; it is all so flat!
those clouds are full of glistening splinters!
what is that?”
it is the monument.
“it’s piled-up boxes,
outlined with shoddy fret-work, half-fallen off,
cracked and unpainted. it looks old.”
— the strong sunlight, the wind from the sea,
all the conditions of its existence,
may have flaked off the paint, if ever
it was painted,
and made it homelier than it was.
“why did you bring me here to see it?
a temple of crates in cramped and crated scenery,
what can it prove?
i am tired of breathing this eroded air,
this dryness in which the monument is cracking.”
it is an artifact
of wood. wood holds together better
than sea or cloud or sand could by itself,
much better than real sea or sand or cloud.
it chose that way to grow and not to move.
the monument’s an object, yet those decorations,
carelessly nailed, looking like nothing at all,
give it away as having life, and wishing;
wanting to be a monument, to cherish something.
the crudest scroll-work says “commemorate,”
while once each day the light goes around it
like a prowling animal,
or the rain falls on it, or the wind blows into it.
it may be solid, may be hollow.
the bones of the artist-prince may be inside
or far away on even drier soil.
but roughly but adequately it can shelter
what is within (which after all
cannot have been intended to be seen).
it is the beginning of a painting,
a piece of sculpture, or poem, or monument,
and all of wood. watch it closely.","é um antigo promontório,
um principado antigo, onde o artista-príncipe
resolveu talvez erguer um monumento
assinalando um túmulo, uma fronteira, ou só
para criar uma paisagem melancólica ou romântica...
“mas esse mar estranho parece de madeira,
lustroso, mar de madeira achada à beira-mar.
e o céu parece de madeira, onde os veios são as nuvens.
é como um cenário; tudo tão raso!
aquelas nuvens estão cheias de farpas que brilham!
o que é aquilo?”
é o monumento.
“são caixas empilhadas,
com tiras mal serradas como enfeite, já caídas,
tudo rachado e sem tinta. velharias.”
— o sol forte, o vento que vem do mar,
todas as condições em que ele existe,
talvez tenham tirado a tinta, se havia,
tornando-o mais desenxabido do que era.
“por que você me trouxe aqui para eu ver isso?
um templo de engradados num cenário estreito e troncho,
o que é que isso prova?
não aguento mais esse ar erodido,
a secura que faz rachar o monumento.”
é um artefato
de madeira. a madeira se mantém estruturada
melhor que mar, nuvem e areia por si sós,
muito melhor que mar, areia ou nuvem de verdade.
ele escolheu crescer assim e estar imóvel.
o monumento é um objeto, e no entanto esses enfeites,
pregados sem capricho, que não parecem coisa alguma,
demonstram que ele tem vida, e tem vontade;
quer ser um monumento, quer amar alguma coisa.
o enfeite é grosseiro, porém diz: “comemoremos”,
enquanto a luz o ronda a cada dia
feito um predador,
e a chuva o molha, e o vento o atravessa.
talvez seja maciço, talvez oco.
talvez os ossos do artista-príncipe estejam dentro dele
ou longe daqui, em terra ainda mais seca.
mas tosca e adequadamente, ele abriga
o que está dentro (e que, afinal,
decerto não era mesmo para ser visto).
é o princípio de uma pintura,
uma escultura, ou poema, ou monumento,
e é todo de madeira. observe-o com atenção.",en_XX,pt_XX,
"look down into the courtyard. all the houses
are built that way, with ornamental urns
set on the mansard roof-tops where the pigeons
take their walks. it is like introspection
to stare inside, or retrospection,
a star inside a rectangle, a recollection:
this hollow square could easily have been there.
—the childish snow-forts, built in flashier winters,
could have reached these proportions and been houses;
the mighty snow-forts, four, five, stories high,
withstanding spring as sand-forts do the tide,
their walls, their shape, could not dissolve and die,
only be overlapping in a strong chain, turned to stone,
and grayed and yellowed now like these.","veja o pátio lá embaixo. as casas todas
são iguais, com urnas ornamentais
nos telhados de mansarda, onde os pombos
fazem o footing. é como introspecção
olhar lá dentro — ou retrospecção,
estrela em retângulo, uma rememoração:
este quadrado oco bem podia estar ali.
— as fortalezas de neve das crianças
podiam, aumentadas, virar casas
de quatro ou cinco andares, resistindo à primavera
como um forte de areia resiste à maré,
muralhas que em vez de dissolver-se
formassem uma corrente sólida de pedra,
agora amarelada, como estas.",en_XX,pt_XX,
"across the floor flits the mechanical toy,
fit for a king of several centuries back.
a little circus horse with real white hair.
his eyes are glossy black.
he bears a little dancer on his back.
she stands upon her toes and turns and turns.
a slanting spray of artificial roses
is stitched across her skirt and tinsel bodice.
above her head she poses
another spray of artificial roses.
his mane and tail are straight from chirico.
he has a formal, melancholy soul.
he feels her pink toes dangle toward his back
along the little pole
that pierces both her body and her soul
and goes through his, and reappears below,
under his belly, as a big tin key.
he canters three steps, then he makes a bow,
canters again, bows on one knee,
canters, then clicks and stops, and looks at me.
the dancer, by this time, has turned her back.
he is the more intelligent by far.
facing each other rather desperately —
his eye is like a star —
we stare and say, “well, we have come this far.”","é um brinquedo de corda digno de um rei
de uma outra era: cavalo e bailarina.
um cavalo de circo, de olhos negros,
branco no pelo e na crina.
sobre ele vai montada a bailarina.
na ponta dos pés, ela rodopia.
tem um ramo de flores artificiais
na saia e no corpete de ouropel.
sobre a cabeça, traz
um outro ramo de flores artificiais.
a cauda do cavalo é puro chirico.
é formal e melancólica a sua alma.
ele sente em seu dorso a perna leve
da bailarina calma
em torno da haste que a perfura, corpo e alma,
e lhe atravessa o corpo, saindo por fim
sob seu ventre como uma chave de lata.
ele dá três passos, faz uma mesura,
anda mais um pouco, dobra uma das patas,
anda, estala, para e olha para mim.
a dançarina, a essa altura, está de costas.
o cavalo é o mais arguto dos dois.
entreolhamo-nos, com certo desespero,
e dizemos depois:
“é, até aqui chegamos nós dois.”",en_XX,pt_XX,
"the state with the prettiest name,
the state that floats in brackish water,
held together by mangrove roots
that bear while living oysters in clusters,
and when dead strew white swamps with skeletons,
dotted as if bombarded, with green hummocks
like ancient cannon-balls sprouting grass.
the state full of long s-shaped birds, blue and white,
and unseen hysterical birds who rush up the scale
every time in a tantrum.
tanagers embarrassed by their flashiness,
and pelicans whose delight it is to clown;
who coast for fun on the strong tidal currents
in and out among the mangrove islands
and stand on the sand-bars drying their damp gold wings
on sun-lit evenings.
enormous turtles, helpless and mild,
die and leave their barnacled shells on the beaches,
and their large white skulls with round eye-sockets
twice the size of a man’s.
the palm trees clatter in the stiff breeze
like the bills of the pelicans. the tropical rain comes down
to freshen the tide-looped strings of fading shells:
job’s tear, the chinese alphabet, the scarce junonia,
parti-colored pectins and ladies’ ears,
arranged as on a gray rag of rotted calico,
the buried indian princess’s skirt;
with these the monotonous, endless, sagging coast-line
is delicately ornamented.","o estado de nome mais bonito,
o estado que flutua em água salobra,
sustentado por raízes de mangues
que vivas geram crostas de ostras,
e mortas espargem esqueletos em brejos brancos,
pontilhados, como se bombardeados, com outeiros verdes
como velhas balas de canhão em que brota grama.
o estado cheio de aves compridas em forma de s, azuis e brancas,
e aves histéricas invisíveis que sobem a escala depressa
num eterno chilique.
tangarás envergonhados do próprio espalhafato,
e pelicanos palhaços por puro prazer;
que deslizam à toa nas fortes correntezas
por entre as ilhas dos manguezais
e sobem nos bancos de areia secando as asas douradas
em tardes ensolaradas.
enormes tartarugas, indefesas e mansas,
morrem e deixam os cascos incrustados de cracas nas praias,
e os grandes crânios brancos de órbitas redondas
do tamanho de duas órbitas humanas.
as palmeiras estalam na brisa forte
como os bicos dos pelicanos. a chuva tropical revira
a fieira de cascas desbotadas estendida pela maré:
lágrimas-de-jó, alfabeto-chinês, a rara junonia,
pectinas furta-cor e orelhas-de-moças,
dispostas como se num trapo de chita podre,
a saia da princesa índia enterrada;
com elas a linha da costa, monótona, infinita, curvada,
é delicadamente ornada.",en_XX,pt_XX,
