original_poem,translated_poem
"Vie de femme …

Les sentiments passent en premier.
Ils sont absorbés et préservés.
Si banalisés … exterminés.
Si entretenus … sauvegardés.
Si sauvegardés, elle est séduite.
Si exterminés, l’autre est vite oublié.

Et le poisson prend le large …
Pour nager dans d’autres rives,
A l’encontre d’une âme pure,
Telle que la sienne.

La solitude corrompt l’âme.
Le téméraire loyal qui passe par là,
Chanceux ou Don Juan,
C’est qu’il est arrivé …
Sur le bon endroit au bon moment.","Vida de mulher …

Os sentimentos passam em primeiro.
Eles são absorvidos e preservados.
Si banalizados … exterminados.
Si alimentados… salvados.
Si salvados, ela é seduzida.
Si exterminados, o outro é rápido esquecido.

E o peixe cai em alto mar …
Para nadar em outras margens,
Ao encontro de uma alma pura,
Tal como a sua.

A solidão corrompe a alma.
O temerário leal que ali passa,
Felizardo ou Don Juan,
É que ele chegou …
No bom lugar no momento certo."
"Vie de femme …

Les sentiments passent en premier.
Ils sont absorbés et préservés.
Si banalisés … exterminés.
Si entretenus … sauvegardés.
Si sauvegardés, elle est séduite.
Si exterminés, l’autre est vite oublié.

Et le poisson prend le large …
Pour nager dans d’autres rives,
A l’encontre d’une âme pure,
Telle que la sienne.

La solitude corrompt l’âme.
Le téméraire loyal qui passe par là,
Chanceux ou Don Juan,
C’est qu’il est arrivé …
Sur le bon endroit au bon moment.","Vida de mulher …

Os sentimentos passam em primeiro.
Eles são absorvidos e preservados.
Si banalizados … exterminados.
Si alimentados… salvados.
Si salvados, ela é seduzida.
Si exterminados, o outro é rápido esquecido.

E o peixe cai em alto mar …
Para nadar em outras margens,
Ao encontro de uma alma pura,
Tal como a sua.

A solidão corrompe a alma.
O temerário leal que ali passa,
Felizardo ou Don Juan,
É que ele chegou …
No bom lugar no momento certo."
"Un soir d’été …

 
Je t’ai vu un soir d’été,
T’étais là, élégant et svelte,
J’ai vu le ciel, j’ai vu tes mirettes,
Tout en bleu j’ai vu le tableau.
 
Je t’ai vu, je me suis stoppée,
Pour t’observer en peu.
Une sensation j’ai éprouvée,
Une anxiété avec ardeur.
 
J’ai eu peur parce que mon corps,
Jusqu’alors soumis à moi,
S’abandonnerait au tien aussi en cœur,
Si tu le désirais ainsi comme moi.
 
Le soleil brulait en nous,
En tête à tête nous étions,         
Sur ton visage j’ai vu la bonté,
Et dans ton âme j’ai vu la beauté.
 
Les moments que nous avons passé,
Avec calme et spontanéité,
Sans effort et en toute simplicité,
Toi et moi nous avons aimé …
 
 
Dans un silence plein de tendresse,
Nos âmes nues et entrelacées,
Hébergée dans tes bras j’entendais ton cœur,
Le mien complice a accéléré sa marche.
 
Avec volupté et sensualité, entre caresses et baisers,
Nos entrailles ont proclamé le plaisir frémissant…
Dehors la  pluie tombait, comme si pour arroser,
La beauté de ces moments.","Uma  tarde de verão …

 
Eu lhe vi numa tarde de verão,
Voce estava ali, elegante e esbelto,
Eu vi o céu, eu vi seus olhos,
Todo azul eu vi o quadro.
 
Eu lhe vi, eu parei,
Para lhe observar un pouco.
Uma sensação eu senti,
Uma ansiedade com ardor.
 
Eu tive medo porque meu corpo,
Até então submisso à mim,
Se abandonaria ao seu, tambem em coração,
Se voce o desejasse assim como eu.
 
Eu senti o sol que queimava em nós,
E frente à frente nós estávamos,
No seu rosto eu vi a bondade,
E a beleza da sua alma.
 
Os momentos que juntos passamos,
Com calma e espontâneidade,
Com carinho e com simplicidade,
Voce e eu, nós amamos …
                              
Num silencio cheio de emoção,
Nossas almas nuas e entrelaçadas,
Acolhida nos seus braços seu coração eu escutava ,
O meu cúmplice acelerou sua cançao.
 
Entre carinhos e beijos,com sensualidade e volúpcia,
Nossas entranhas proclamaram o prazer frêmito …
La fora a chuva caía, como se para arrozar,
A beleza destes momentos."
"Que veux-tu quand tu seras grand ?
Trouver l’amour …
 
Que veux tu faire avec l’amour ?
Le chérir …
 
Que veux tu comme amour ?
Le vrai …
 
Quel nom lui donnerais-tu ?
Sincérité …
 
Comment le souhaites-tu ?
Constant …
 
Que demanderais-tu à cet amour ?
Fidélité …
 
Combien de temps le garderais-tu ?
Pour toujours …
 
Où l’emmènerais tu ?
Dans mon coeur …
 
Que serais-tu pour lui ?
L’amour …                      
 
Il en est déjà un !?
Non ! Il est la moitié d’un amour ","Que queres quando serás grande ?
Encontrar o amor …
 
Que queres fazer com o amor ?
Amá-lo …
 
Que queres como amor ?
O verdadeiro …
 
Qual nome o darias tu ?
Sinceridade …
 
Como o desejas tu ?
Constante …
 
Que pedirias tu a este amor ?
Fidelidade …
 
Quanto tempo o guardarias tu ?
Para sempre …
 
Onde o levarias tu ?
No meu coração …
 
Que serias tu para ele ?
O amor …
 
Ele ja é um !?
Nao ! Ele é a metade de um amor …"
"Toi, yeux verts, visage brun
Si un jour ton visage m’a perturbé à jamais,

Et si pendant mon parcours ton regard m’a suivi,
Il ne m’est resté que nostalgie dans les allées de ma vie …

Si les rides
ont changé ton visage,
Et si même de moi
tu ne te souviens plus,
J’aurai toujours mon être
pour me perdre
dans ton regard…

Si un jour la vie
me permet de rêver,
Et si dans mon rêve toi,
Tu m’apparaît pour moi,
J’aurai mon âme, pour t’embrasser !

Si sur terre je n’ai plus l’espoir,
De sentir de nouveau cet envoûtement,
Malheureuse, je suis morte dans le monde pour ne plus y espérer…

Mais toi, yeux verts, visage brun,
Pourvu que tu sois heureux, avec une belle et gentille fleur,
Entouré d’un beau jardin, sous l’amour de Dieu …","Voce, olhos verdes, rosto moreno
Se um dia seu rosto me pertubou para sempre,

E se durante meu percurso seu olhar me seguiu,
So me restou nostalgia nas alas da minha vida…

Se as rugas mudaram seu rosto,
E se até mesmo de mim voce não mais se lembrar,
Terei sempre meu sêr para me perder nos seus olhos…

Se um dia a vida me permitir de sonhar,
E se no meu sonho seu rosto me aparecer,
Eu terei minha alma para enfim lhe abraçar !

Se na terra, eu não tenho mais esperança,
De sentir de novo este encantamento,
Infeliz, estou morta no mundo para não mais esperar…

Mas voce, olhos verdes, rosto moreno,
Oxala esteja feliz, com uma bela e gentil flôr,
Meio a um belo jardim, sob o amor de Deus."
"Tais-toi
 
Je t’aime … mon amour, ma chérie.
Tais-toi, ne répètes plus jamais ça,
Tais-toi, tu ne sais pas ce que tu dis.
 
Les mots qui caressent,
Viennent en fusion avec Dieu.
Je ne veux pas de tes mots,
Qu’ arrivent avec tes ténèbres,
De ton esprit sans paix,
Qui débat contre ton corps.
 
Les mots sortis de ta bouche,
Ne guérissent pas ta blessure,
Te rendent encore plus jaloux,
De ceux qu’ont connu l’amour.
 
Je t’aime … mon amour, ma chérie.
Tais-toi, tu ne sais pas ce qu’est l’amour,
Tais-toi, tu ne sais pas ce que tu fais.
 
Si seulement, t’ avais connu Musset,
Tu saurais, que tu n’as pas encore vécu.
Que ta vie, n’est pas sommeil,
Elle est seulement … un cauchemar.","Cala-te
 
Eu te amo … meu amor, minha querida.
Cala-te, nao repitas nunca mais isso,
Cala-te, tu nao sabes o que dises.
 
As palavras que acariciam,
Vêm em fusao com Deus.
Nao quero tuas palavras,
Que chegam com tuas trevas,
De teu espirito sem paz,
Que debate contra teu corpo.
 
As palavras saidas de tua boca,
Não curam tua cicatriz,
Te tornam ainda mais ciumento,
Daqueles que conheceram o amor.
 
Eu te amo … meu amor, minha querida.
Cala-te, tu nao sabes o que é o amor,
Cala-te, tu nao sabes o que fazes.
 
Si pelo menos, tu tivesses conhecido Musset,
Tu saberias que ainda nao viveu.
Que tua vida nao é sono,
Ela é somente … um pesadelo."
"Ta différence …

 

Où es tu, que fais tu, comment vas-tu ?

Et le temps qui passe et cette bataille éternelle,  

« Ta différence » fait ton arrogance et ta peur.

La peur qui t’enferme dans ta coquille,

« Ta différence » qui t’isole dans ton monde.

Et la solitude nous corrompt et nous ronge les âmes.  

Et ton esprit se souvenant encore du mien,

S’adosse sur mon âme et la rends nostalgique et fragile.

Et mon esprit se souvenant encore du tien,

S’adosse sur ton âme et la rends nostalgique et fragile.

 

Je le sais … ton berceau différent du mien,

Je le sais … ton être enchainé à la  profondeur de ta créature.

Et tes envies dans ton esprit confus, tourbillonnant dans ton cœur…

Et  la peur … incrustée en toi te rendant craintif et indécis.

Ton âme je l’ai percée …

Si seulement ton coeur me serait ouvert,

Le temps serait à nous,

« Ta différence » serait la mienne,

Et nous serions heureux … ","Sua diferença …

Onde está você, que faz você, como vai você ?

E o tempo que passa et esta batalha eterna,

« Sua diferença » faz sua arrogância e seu mêdo.

O mêdo que te encarcera no seu caracol,

« Sua diferença » que te isola no seu mundo.

   

E a solidão nos corrompe et nos rói as almas.

E seu espírito se lembrando aínda do meu,

Se encosta na minha alma e a torna nostálgica e frágil.

E meu espírito se lembrando aínda do seu,

Se encosta na sua alma e a torna nostálgica e frágil.

Eu sei … seu berço diferente do meu,

Eu sei … seu ser prisoneiro na profundeza de sua criação.

E seus desejos  no seu espírito confuso, turbilhonando no seu coração …

E o mêdo … encrustado em voce lhe tornando receioso e indeciso.

Sua alma eu a penetrei …

Se seu coração tivesse se abrido,

O tempo sería nosso,

Sua  diferença seria minha,

E nós seríamos felizes … "
"Souvenir d’enfance
 
J’entendais en pleine nuit,
Un son régulier,
Comme une chanson dans le noir,
Coupant le silence de la nuit.
Je me paniquais, je criais maman.
Mon petit frère se réveillait,
Entendait la chanson dans le noir.
Mon petit frère se paniquait,
Et criait maman aussi.
La voix de maman,
Magie, splendeur, douceur dans la nuit.
Elle nous assurait que ce son,
N’était que papa en train de ronfler.
Mais ce son ainsi insistant,
Ouvrait les ailes de l’imagination,
La peur nous envahissait,
Et voilà que tout à coup, ups !
Quatre petites jambes pardessus le barreau,
Du berceau où nous dormions.
Et ainsi bien collés,
Au chaud entre papa et maman,
Mon petit frère et moi,
Nous dormions comme si on était,
Dans le ciel, dans les bras de Dieu …","Lembrança de infancia
 
Eu ouvia em plena madrugada,
Um som regular,
Como uma canção na escuridão,
Cortando o silencio da noite.
Em pânico, eu gritava mamãe.
Meu irmãozinho se acordava,
Escutava a canção na escuridão.
Meu irmãozinho em pânico,
Gritava mamãe tambem.
A voz de mamãe …
Magia, esplendor e brandura na escuridão.
Ela nos assegurava que este som,
Era so papai roncando no seu sono.
Mas esse som assim persistente,
Abria as asas da imaginação,
O mêdo nos invadia,
E eis que de repente, ups !
Quatro perninhas por cima da barra,
Do berço onde dormíamos.
E assim bem agarradinhos,
No quentinho entre papai e mamãe,
Meu irmãozinho e eu,
Nós dormíamos como si estivéssemos,
No céu, nos braços de Deus …"
"Solitude

Sur un banc où deux êtres, assis côte à côte, ne faisaient qu’une tache noire.
– Pauvres gens ! Ce n’est pas du dégoût qu’ils m’inspirent, mais une immense pitié. Parmi tous les mystères de la vie humaine, il en est un que j’ai pénétré : notre grand tourment dans l’existence vient de ce que nous sommes éternellement seuls, et tous nos efforts, tous nos actes ne tendent qu’à fuir cette solitude. Ceux-là, ces amoureux des bancs en plein air, cherchent, comme nous, comme toutes les créatures, à faire cesser leur isolement, rien que pendant une minute au moins ; mais ils demeurent, ils demeureront toujours seuls ; et nous aussi.
Depuis quelque temps j’endure cet abominable supplice d’avoir compris, d’avoir découvert l’affreuse solitude où je vis, et je sais que rien ne peut la faire cesser, rien, entends-tu ! Quoi que nous tentions, quoi que nous fassions, quels que soient l’élan de nos cœurs, l’appel de nos lèvres et l’étreinte de nos bras, nous sommes toujours seuls.
Je t’ai entraîné ce soir, à cette promenade, pour ne pas rentrer chez moi, parce que je souffre horriblement, maintenant, de la solitude de mon logement. A quoi cela me servira-t-il ? Je te parle, tu m’écoutes, et nous sommes seuls tous deux, côte à côte, mais seuls.
Me comprends-tu ?
Bienheureux les simples d’esprit, dit l’Écriture. Ils ont l’illusion du bonheur. Ils ne sentent pas, ceux-là, notre misère solitaire, ils n’errent pas, comme moi, dans la vie, sans autre contact que celui des coudes, sans autre joie que l’égoïste satisfaction de comprendre, de voir, de deviner et de souffrir sans fin de la connaissance de notre éternel isolement.
Tu me trouves un peu fou, n’est-ce pas ?
Écoute-moi. Depuis que j’ai senti la solitude de mon être, il me semble que je m’enfonce, chaque jour davantage, dans un souterrain sombre, dont je ne trouve pas les bords, dont je ne connais pas la fin, et qui n’a point de bout, peut-être ! J’y vais sans personne avec moi, sans personne autour de moi, sans personne de vivant faisant cette même route ténébreuse. Ce souterrain, c’est la vie. Parfois j’entends des bruits, des voix, des cris… je m’avance à tâtons vers ces rumeurs confuses. Mais je ne sais jamais au juste d’où elles partent ; je ne rencontre jamais personne, je ne trouve jamais une autre main dans ce noir qui m’entoure.  Me comprends-tu ?
Quelques hommes ont parfois deviné cette souffrance atroce.
Musset s’est écrié :
Qui vient ? Qui m’appelle ? Personne. Je suis seul. – C’est l’heure qui sonne. O solitude ! – O pauvreté !
Mais, chez lui, ce n’était là qu’un doute passager, et non pas une certitude définitive, comme chez moi. Il était poète ; il peuplait la vie de fantômes, de rêves. Il n’était jamais vraiment seul. – Moi, je suis seul !
Gustave Flaubert, un des grands malheureux de ce monde, parce qu’il était un des grands lucides, n’écrivait-il pas à une amie cette phrase désespérante : « Nous sommes tous dans un désert. Personne ne comprend personne. »
Non, personne ne comprend personne, quoi qu’on pense, quoi qu’on dise, quoi qu’on tente.    Eh bien, l’homme ne sait pas davantage ce qui se passe dans un autre homme.
Sais-tu quelque chose de plus affreux que ce constant frôlement des êtres que nous ne pouvons pénétrer ! Nous nous aimons les uns les autres comme si nous étions enchaînés, tout près, les bras tendus, sans parvenir à nous joindre. Un torturant besoin d’union nous travaille, mais tous nos efforts restent stériles, nos abandons inutiles, nos confidences infructueuses, nos étreintes impuissantes, nos caresses vaines. Quand nous voulons nous mêler, nos élans de l’un vers l’autre ne font que nous heurter l’un à l’autre.
Je ne me sens jamais plus seul que lorsque je livre mon cœur à quelque ami, parce que je comprends mieux alors l’infranchissable obstacle. Il est là, cet homme ; je vois ses yeux clairs sur moi ; mais son âme, derrière eux, je ne la connais point. Il m’écoute. Que pense-t-il ? Oui, que pense-t-il ? Tu ne comprends pas ce tourment ? Il me hait peut-être ? ou me méprise ? ou se moque de moi ? Il réfléchit à ce que je dis, il me juge, il me raille, il me condamne, m’estime médiocre ou sotte. Comment savoir ce qu’il pense ? Comment savoir s’il m’aime comme je l’aime ? et ce qui s’agite dans cette petite tête ronde ? Quel mystère que la pensée inconnue d’un être, la pensée cachée et libre, que nous ne pouvons ni connaître, ni conduire, ni dominer, ni vaincre !
Et moi, j’ai beau vouloir me donner toute entière, ouvrir toutes les portes de mon âme, je ne parviens point à me livrer. Je garde au fond, tout au fond, ce lieu secret du Moi où personne ne pénètre. Personne ne peut le découvrir, y entrer, parce que personne ne me ressemble, parce que personne ne comprend personne.
Me comprends-tu, au moins, en ce moment, toi ?
Non, tu me juges fou! tu m’examines, tu te gardes de moi ! Tu te demandes : « Qu’est-ce qu’il a, ce soir ? » Mais si tu parviens à saisir un jour, à bien deviner mon horrible et subtile souffrance, viens-t’en me dire seulement : Je t’ai compris ! et tu me rendras heureux, une seconde, peut-être.
Ce sont les femmes qui me font encore le mieux apercevoir ma solitude.
Misère ! Misère ! Comme j’ai souffert par elles, parce qu’elles m’ont donné, plus que les hommes, l’illusion de n’être pas seul !
Quand on entre dans l’Amour, il semble qu’on s’élargit. Une félicité surhumaine vous envahit. Sais-tu pourquoi ? Sais-tu d’où vient cette sensation d’immense bonheur ? C’est uniquement parce qu’on s’imagine n’être plus seul. L’isolement, l’abandon de l’être humain paraît cesser. Quelle erreur !
Plus tourmentée encore que nous par cet éternel besoin d’amour qui ronge notre cœur solitaire, la femme est le grand mensonge du Rêve.
Tu connais ces heures délicieuses passées face à face avec cet être aux traits charmeurs et dont le regard nous affole. Quel délire égare notre esprit ! Quelle illusion nous emporte !
Elle et moi, nous n’allons plus faire qu’un, tout à l’heure, semble-t-il ? Mais ce tout à l’heure n’arrive jamais, et, après des semaines d’attente, d’espérance et de joie trompeuse, je me retrouve tout à coup, un jour, plus seul que je ne l’avais encore été.
Après chaque baiser, après chaque étreinte, l’isolement s’agrandit. Et comme il est navrant, épouvantable.
Un poète, M. Sully Prudhomme, n’a-t-il pas écrit :
Les caresses ne sont que d’inquiets transports,
Infructueux essais du pauvre amour qui tente
L’impossible union des âmes par les corps…
Et puis, adieu. C’est fini. C’est à peine si on reconnaît cette femme qui a été tout pour nous pendant un moment de la vie, et dont nous n’avons jamais connu la pensée intime et banale sans doute !
Aux heures mêmes où il semblait que, dans un accord mystérieux des êtres, dans un complet emmêlement des désirs et de toutes les aspirations, on était descendu jusqu’au profond de son âme, un mot, un seul mot, parfois, nous révélait notre erreur, nous montrait, comme un éclair dans la nuit, le trou noir entre nous.
Et pourtant, ce qu’il y a encore de meilleur au monde, c’est de passer un soir auprès d’une femme qu’on aime, sans parler, heureux presque complètement par la seule sensation de sa présence. Ne demandons pas plus, car jamais deux êtres ne se mêlent.
Quant à moi, maintenant, j’ai fermé mon âme. Je ne dis plus à personne ce que je crois, ce que je pense et ce que j’aime. Me sachant condamnée à l’horrible solitude, je regarde les choses, sans jamais émettre mon avis. Que m’importent les opinions, les querelles, les plaisirs, les croyances ! Ne pouvant rien partager avec personne, je me suis désintéressée de tout. Ma pensée, invisible, demeure inexplorée. J’ai des phrases banales pour répondre aux interrogations de chaque jour, et un sourire qui dit : « Oui », quand je ne veux même pas prendre la peine de parler.
Me comprends-tu ?","Solidão

Num banco onde dois sêres, assentados lado a lado, pareciam ser, juntos, uma mancha prêta.
_ Coitado deles ! Eles não me inspiram desgosto mas uma imensa piedade. Entre todos os mistérios da vida humana, tem um que eu penetrei : nosso grande tormento vem do fato de que somos eternamente sozinhos, e todos nossos esforços, todos nossos atos vão no sentido de querermos fugir dessa solidão. Aqueles ali, estes amantes de bancos em ar livre, procuram, como nós, como todas as criaturas, a fazer cessar o isolamento deles, nem que fôr pelo menos por um minuto ; mas eles ficam, eles ficarão sempre sozinhos,  e nós tambem.            Ja ha algum tempo, eu passo por esta abominẚvel  súplica de ter compreendido, de ter descoberto esta horrorosa solidão onde eu vivo, e eu sei que nada pode fazê-la cessar, nada, entende ! Seja la o que tentarmos, seja la o que façamos, seja la qual for o impulso de nossos corações, o chamado de nossos lẚbios e a força de nossos abraços, nós estamos sempre sozinhos.            Eu te levei esta noite,  a este passeio, para não entrar na solidão da minha casa, porque eu sofro terrivelmente, agora, da solidão do meu abrigo. Isto me servirẚ para que ? Eu te falo, voce me escuta, e nós somos sozinhos todos dois, lado a lado, mas sozinhos. Voce me entende ?
Felizes os simples de espírito, diz a escritura. Eles têm a ilusão da felicidade. Eles não sentem nossa miséria solidão, eles não vagam como eu na vida, sem outro contato senão aqueles dos cotovelos, sem outra alegria senão a egoísta satistação de compreender, de ver, de adivinhar e de sofrer sem fim do conhecimento de nosso eterno isolamento.
Voce me acha um pouco louco, não é ?
Escuta-me. Depois que sinto a solidão do meu ser, parece que eu mergulho cada dia mais num subterrâneo escuro no qual eu não acho os lados, o qual eu nao conheço o fim, e que nao tem o fim talvez ! Eu vou sem ninguem comigo, sem ninguem ao redor de mim, sem ninguem de vivo fazendo essa mesma estrada tenebrosa. Este subterrâneo, é a vida.
As vezes eu escuto barulhos, vozes, gritos … eu me avanço como quem avança no escuro em direção  a estes rumores confusos. Mas não sei ao justo de onde eles vêm; eu não encontro nunca ninguem, eu não encontro uma outra mão nesta obscuridade que me rodeia. Voce me entende ?
Alguns homens  as vezes entenderam este sofrimento pavoroso.
Musset se exclamou :
Quem vem ? Quem me chama ? Ninguém.
Eu estou sozinho  _ é a hora que estẚ chamando. Oh solidão ! Oh pobreza !
Mas com ele, era apenas uma dúvida passageira, e não a certeza definitiva  como comigo. Ele era poeta; ele povoava a vida de fantasmas, de sonhos. Ele nunca estava realmente sozinho. Eu, eu estou sozinho !
Gustave Flaubert, um dos grandes infelizes desse mundo, porque ele era um dos grandes lúcidos, não escrevia ele, a uma amiga esta frase desesperante ? : “Nós estamos todos num deserto. Ninguem não compreende ninguem.”
Não, ninguem não compreende ninguem, seja la o que se pensa, seja la o que se diga, seja la o que se tente. Assim é, o homem não sabe o que se passa num outro homem. Voce conhece algo de mais horroroso que este constante tocar de sêres que nós não podemos penetrar ! Nós amamos uns aos outros como se estivéssemos acorrentados, pertinhos, com os braços esticados sem conseguirmos nos unir. Uma torturante necessidade de união nos atormenta, mas todos nossos esforços ficam estérios, nossas confidências infrutíferas, nossos abraços impotentes, nossas carícias vãs.
Quando queremos nos envolver, nossos impulsos de um para o outro, so nos faz ofender un ao outro.
Eu não me sinto jamais sozinho quando eu entrego meu coração a algum amigo, porque eu então compreendo melhor o irresistível obstẚculo. Ele estẚ aqui, este homem; eu vejo seus olhos claros sobre mim, mas sua alma atras deles, eu não conheço nada dela. Ele me escuta. Que pensa ele ? Sim, o que pensa ele ? Voce não entende este tormento ? Ele talvez me odeia ? Ou me menospreza ? Ou ri de mim ? Ele reflete sobre o que lhe disse, ele me julga, ele ironiza, ele me condena, me acha medíocre ou bôbo. Como saber o que ele pensa ? Como saber se ele me ama como eu o amo ? e o que se agita nessa pequena cabeça redonda ? Que mistério que é o pensamento desconhecido de um sêr, o pensamento escondido e livre que nós não podemos nem conhecer, nem conduzir, nem dominar, nem vencer !
E eu, por mais que eu queira me dar todo por inteiro, abrir todas as portas da minha alma, eu não consigo de forma alguma  confiar em alguém. Eu guardo no fundo, la no fundinho, este lugar secreto de mim onde ninguem penetra. Ninguem o pode descobrir, entrar nele, porque ninguem se parece comigo, porque ninguem não compreende ninguem.
Voce me entende, pelo menos neste momento, voce ?
Não, voce me julga louco ! Voce me examina, voce se protege de mim ! Voce se pergunta : “Que tem ele hoje ?” Mas se um dia voce conseguir entender,  advinhar bem meu horrível e sútil sofrimento, vem me dizer somente : eu lhe entendi ! e voce me farẚ feliz um segundo talvez.
São as mulheres que me fazem perceber melhor minha solidão.
Miséria ! Miséria ! Como eu sofri através delas, porque elas me deram mais que os homens, a ilusão de não estar so !
Quando se entra no Amor, parece que a gente engrandece. Uma felicidade sobrenatural lhe invade. Sabe voce porque ? Sabe voce de onde vem esta sensação imensa de felicidade ? é unicamente porque  a gente imagina não estar mais sozinho. O isolamento, o abandono do ser humano parece cessar. Como é horrivel !
Mais atormentada que nós ainda, por esta eterna necessidade de amor que roe nosso coração solitẚrio, a mulher é a grande mentira do sonho.
Voce conhece essas horas deliciosas passadas face a face com este sêr de traços charmosos e cujo olhar nos enlouquece. Mas que delírio extravia nosso espírito ! Qual ilusão nos leva à elas !
Ela e eu, nós vamos ser um so daqui a pouco, assim parece ? Mas este daqui a pouco não chega nunca, e , apos semanas de espera, de esperança e de alegria enganadora, eu me encontro de repente, um dia, mais sozinho como nunca havia ficado.
Apos cada beijo, apos cada abraço, o isolamento cresce. Isso é uma aflição, é terrível.
Um poeta, M. Sully Prudhomme, ele, não escreveu isto ? :
Os carinhos são apenas transportes inquietos, infrutuosas experiencias do pobre amor que tenta a impossível união das almas pelos corpos …
E depois, adeus. Acabou. Mal se conhece essa mulher que foi tudo para nós durante um momento da vida, e de quem jamais conhecemos o pensamento íntimo e banal sem duvida !
E mesmo nas horas onde parecia que num acordo misterioso dos sêres, num completo embaraço de desejos e de todas aspirações, et que tínhamos descido até o profundo de sua alma, uma palavra, um so palavra, as vezes, nos revelava nosso erro, nos mostrava como um relâmpago na noite, o buraco negro entre nós.
E no entanto, o que tem de melhor ainda no mundo, é passar uma tarde ao lado de uma mulher que a gente gosta, sem falar, quase completamente felizes simplesmente pela sensação de sua presença. Não peçamos mais, pois jamais dois seres se misturam.
Quanto à mim, agora, eu fechei minha alma. Eu não digo mais a ninguem o que eu acho, o que eu penso e o que eu gosto. Me sabendo condenada à horrivel solidão, eu olho as coisas sem nunca expressar minha opinião. Que me importa as opiniões, as brigas, os prazeres, as crenças ! Não podendo nada compartilhar com ninguem, eu me desinteressei de tudo. Meu pensamento, invisível, fica inexplorado.
Eu tenho frases banais para responder às interrogações de cada dia, e um sorriso que diz : “sim”, quando eu nem sequer quero fazer o esforço de falar.
Você, você me entende ?"
"Vous, mon amour; mon amour des yeux verts.
Vous, mon amour.
Mon amour des yeux verts,
qui j’ai rencontré un jour.
Vous, mon amour.
Mon amour des yeux verts,
tempête, torrent, volcan dans mon âme,
dés les premiers instants.
Vous, les yeux verts, visage brun,
qui je n’ai jamais oublié,
Vous, les yeux verts, visage brun,
Redis-moi ton prénom mon amour,
Pour rêver de vous, vous tenir par la main,
vous embrasser comme jamais,
et vous garder auprès de moi.
Vous, mon amour,
qui m’a tant impressionnée,
vous êtes plus fort que le passé,
plus fort que le  présent,
plus fort que le temps.
Ai … si vous le saviez,
combien mon repenti,
d’être partie sans vous dire combien,
combien je vous désirais …","Voce, meu amor; meu amor dos olhos verdes.
Voce, meu amor.
Meu amor dos olhos verdes,
que eu encontrei um dia.
Voce, meu amor.
Meu amor de olhos verdes,
tempestade,  torrente, vulcão na minha alma,
desde o primeiro instante.
Você, dos olhos verdes, visagem morena,
Que eu nunca esqueci.
Voce, dos olhos verdes, visagem morena,
Repete seu nome pra mim meu amor,
Para eu sonhar com voce,
lhe trazer pela mão,
lhe beijar como nunca,
e lhe guardar junto a mim.
Voce, meu amor,
que tanto me impressionou,
é mais forte que o passado,
é mais forte que o presente
é mais forte que o tempo.
Ai … si voce soubesse,
quanto o meu arrependimento,
ter partido sem lhe dizer o quanto,
o quanto eu lhe queria …"
