original_poem,translated_poem
"My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.","Mes larmes sont comme la douce dérive
Des pétales tombés de quelque rose magique ;
Tout mon chagrin s’écoule de l’abîme
Des cieux et neiges oubliés.

Je crois, si je touchais la terre,
Qu’elle s’effondrerait ;
Elle est si triste et belle,
Si frissonnante comme un rêve."
"My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.","Mes larmes sont telles les discrets détours
De pétales chus d’une rose magique ;
Et toute ma peine se déverse depuis la faille
De cieux et de neiges effacés.

Je pense que, si j’atteignais la terre,
Elle tomberait en morceaux ;
C’est tellement triste et beau,
Tel un rêve qui tremble."
"My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.","Mes larmes sont comme le tracé silencieux
Des pétales tombés d’une rose enchantée ;
Et toute ma douleur s’échappe hors du grand creux
De cieux et de neiges que j’ai occultés.

Je crois, si je touchais la terre,
Qu’elle s’écroulerait ;
Elle est si malheureuse et belle,
Comme un rêve par ses frissons."
"My tears are like the quiet drift
Of petals from some magic rose;
And all my grief flows from the rift
Of unremembered skies and snows.

I think, that if I touched the earth,
It would crumble;
It is so sad and beautiful,
So tremulously like a dream.","Mes larmes dérivent comme
Les pétales d’une rose magique
Et toute ma douleur coule
De la faille des cieux et de neiges sans nombre.

Je pense que si je retombais
Sur terre, je m’effriterais ;
C’est si triste et beau
C’est le tremblement d’un rêve."
"Music, when soft voices die,
Vibrates in the memory;
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heap’d for the belovèd’s bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.","La musique, quand les voix tendres s’éteignent,
Retentit dans la mémoire ;
Les parfums, quand les douces violettes fanent,
Vit encore dans les sensations qu’elles avivent.

Les pétales de rose, quand la rose est morte,
Sont amassés pour le lit de l’être aimé ;
Ainsi donc l’image de toi, quand tu auras disparu,
Sur quoi l’amour même reposera."
"Music, when soft voices die,
Vibrates in the memory;
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heap’d for the belovèd’s bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.","La musique, alors que les voix douces meurent,
Retentit dans la mémoire ;
Les senteurs, alors que les violettes suaves s’altèrent,
Vit encore dans les sens qu’elles exaltent.

Les pétales de rose, alors que la rose est morte,
S’amoncellent pour la couche de l’être aimé ;
Or donc cette impression de toi, au moment de ton départ,
Sur quoi l’amour même trouvera le sommeil."
"Music, when soft voices die,
Vibrates in the memory;
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heap’d for the belovèd’s bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.","La musique, lorsque meurent les douces voix,
Vibre en la mémoire ;
Les odeurs, lorsque dépérissent les suaves violettes,
Se préservent dans la sensation qu’elles attisent.

Les pétales de rose, lorsque est morte la rose,
Sont amoncelés pour le lit de la bien-aimée ;
Ainsi tes pensées, lorsque tu seras partie,
Seront la couche de l’amour."
"Music, when soft voices die,
Vibrates in the memory;
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heap’d for the belovèd’s bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.","La musique, au moment que se taisent les voix douces,
Résonne en la mémoire ;
Les baumes, au moment que s’assèchent les violettes délicates,
Perdurent dans le sens qu’elles exaltent.

Les pétales de rose, une fois que la rose a péri,
S’amoncellent pour former la couche de l’aimé ;
De même la pensée de toi, une fois que tu seras parti,
À quoi l’amour lui-même s’endormira."
"Music, when soft voices die,
Vibrates in the memory;
Odours, when sweet violets sicken,
Live within the sense they quicken.

Rose leaves, when the rose is dead,
Are heap’d for the belovèd’s bed;
And so thy thoughts, when thou art gone,
Love itself shall slumber on.","La Musique, quand les voix s’adoucissent à mourir,
Résonne en souvenir ;
Les fragrances, quand les tendres violettes se gâtent,
Perdurent dans la sensualité qu’elles exaltent.

Les pétales de rose, quand la rose a péri,
Sont ramassés pour le lit de l’être chéri ;
Et donc cette impression de toi, quand tu t’en seras allée,
Sur laquelle l’amour même est voué à reposer."
"Now Lords and Ladies blithe and bold,
To bless you here now am I bound:
I thank you all a thousand-fold,
And Pray God save you whole and sound;
Wherever you go on grass or ground,
May he you guide that nought you grieve,
For friendship that I here have found
Against my will I take my leave.

For friendship and for favours good,
For meat and drink you heaped on me,
The Lord that raised was on the Rood
Now keep you comely company.
On sea or land where’er you be,
May he you guide that nought you grieve.
Such fair delight you laid on me
Against my will I take my leave.

Against my will although I wend,
I may not always tarry here;
For everything must have and end,
And even friends must part, I fear;
Be we beloved however dear
Out of this world death will us reave,
And when we brought are to our bier
Against our will we take our leave.

Now good day to you, goodmen all,
And good day to you, young and old,
And good day to you, great and small,
And gramercy a thousand-fold!
If ought there were that dear ye hold,
Full fain I would the deed achieve –
Now Christ you keep from sorrows cold
For now at last I take my leave.","Seigneurs et dames, allègres et admirables,
Recevez à présent ma bénédiction :
Soyez tous remerciés mille fois,
Et Dieu vous garde sains et saufs ;
Que vos pas mènent sur l’herbe douce ou le sol dur,
Qu’il vous guide afin que rien ne vous afflige,
Puisque ici j’ai trouvé l’amitié
Je prends congé contre mon gré.

Vous m’avez tant couvert d’affection et de faveurs,
Tant pourvu en vivres et en boisson,
Puisse notre seigneur qui fut cloué sur la Croix
Vous tenir une délicate compagnie.
Que vous soyez sur terre ou sur mer,
Qu’il vous guide afin que rien ne vous afflige.
Puisque vous m’avez apporté tant de plaisir
Je prends congé contre mon gré.

Quand bien même je m’en vais malgré moi,
Je ne pourrais demeurer ici pour toujours ;
Car toutes choses doivent finir,
Et même les amis se séparer, je le crains ;
Quelle que soit la force de nos liens
La mort nous arrachera à ce monde,
Et lorsque nous serons mis en bière
Nous prendrons congé contre notre gré.

À présent, salut à vous, tous gens de bien,
Salut à vous, jeunes et vieux,
Salut à vous, petits et grands,
Et mille fois grand merci !
Si quelque dessein vous tenait à cœur,
Je l’accomplirais bien volontiers –
À présent, Christ vous garde des peines cruelles,
Car enfin je prends congé."
