original_poem,translated_poem,translated_by_TA,src_lang,tgt_lang
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme la douce dérive
des pétales tombés de quelque rose magique ;
tout mon chagrin s’écoule de l’abîme
des cieux et neiges oubliés.
je crois, si je touchais la terre,
qu’elle s’effondrerait ;
elle est si triste et belle,
si frissonnante comme un rêve.","mes larmes sont comme le débordement silencieux
de fleurs de rose magique;
et toute ma souffrance s'écoule de la fissure
de skis et de neige inoubliables.
je pense que si je touche la terre,
Elle s'effondrerait.
c'est tellement triste et beau,
si terriblement comme un rêve.",en_XX,fr_XX
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont telles les discrets détours
de pétales chus d’une rose magique ;
et toute ma peine se déverse depuis la faille
de cieux et de neiges effacés.
je pense que, si j’atteignais la terre,
elle tomberait en morceaux ;
c’est tellement triste et beau,
tel un rêve qui tremble.","mes larmes sont comme le débordement silencieux
de fleurs de rose magique;
et toute ma souffrance s'écoule de la fissure
de skis et de neige inoubliables.
je pense que si je touche la terre,
Elle s'effondrerait.
c'est tellement triste et beau,
si terriblement comme un rêve.",en_XX,fr_XX
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes sont comme le tracé silencieux
des pétales tombés d’une rose enchantée ;
et toute ma douleur s’échappe hors du grand creux
de cieux et de neiges que j’ai occultés.
je crois, si je touchais la terre,
qu’elle s’écroulerait ;
elle est si malheureuse et belle,
comme un rêve par ses frissons.","mes larmes sont comme le débordement silencieux
de fleurs de rose magique;
et toute ma souffrance s'écoule de la fissure
de skis et de neige inoubliables.
je pense que si je touche la terre,
Elle s'effondrerait.
c'est tellement triste et beau,
si terriblement comme un rêve.",en_XX,fr_XX
"my tears are like the quiet drift
of petals from some magic rose;
and all my grief flows from the rift
of unremembered skies and snows.
i think, that if i touched the earth,
it would crumble;
it is so sad and beautiful,
so tremulously like a dream.","mes larmes dérivent comme
les pétales d’une rose magique
et toute ma douleur coule
de la faille des cieux et de neiges sans nombre.
je pense que si je retombais
sur terre, je m’effriterais ;
c’est si triste et beau
c’est le tremblement d’un rêve.","mes larmes sont comme le débordement silencieux
de fleurs de rose magique;
et toute ma souffrance s'écoule de la fissure
de skis et de neige inoubliables.
je pense que si je touche la terre,
Elle s'effondrerait.
c'est tellement triste et beau,
si terriblement comme un rêve.",en_XX,fr_XX
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix tendres s’éteignent,
retentit dans la mémoire ;
les parfums, quand les douces violettes fanent,
vit encore dans les sensations qu’elles avivent.
les pétales de rose, quand la rose est morte,
sont amassés pour le lit de l’être aimé ;
ainsi donc l’image de toi, quand tu auras disparu,
sur quoi l’amour même reposera.","la musique, lorsque les voix douces meurent,
les vibrations dans la mémoire;
Des odeurs, lorsque les violettes douces se sentent malades,
vivre dans le sens qu'ils ralentissent.
Les feuilles de rose, lorsque la rose est morte,
sont épuisés pour le lit du bélovèd;
ainsi que vos pensées, lorsque vous êtes absents,
L'amour lui-même restera en sommeil.",en_XX,fr_XX
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, alors que les voix douces meurent,
retentit dans la mémoire ;
les senteurs, alors que les violettes suaves s’altèrent,
vit encore dans les sens qu’elles exaltent.
les pétales de rose, alors que la rose est morte,
s’amoncellent pour la couche de l’être aimé ;
or donc cette impression de toi, au moment de ton départ,
sur quoi l’amour même trouvera le sommeil.","la musique, lorsque les voix douces meurent,
les vibrations dans la mémoire;
Des odeurs, lorsque les violettes douces se sentent malades,
vivre dans le sens qu'ils ralentissent.
Les feuilles de rose, lorsque la rose est morte,
sont épuisés pour le lit du bélovèd;
ainsi que vos pensées, lorsque vous êtes absents,
L'amour lui-même restera en sommeil.",en_XX,fr_XX
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, lorsque meurent les douces voix,
vibre en la mémoire ;
les odeurs, lorsque dépérissent les suaves violettes,
se préservent dans la sensation qu’elles attisent.
les pétales de rose, lorsque est morte la rose,
sont amoncelés pour le lit de la bien-aimée ;
ainsi tes pensées, lorsque tu seras partie,
seront la couche de l’amour.","la musique, lorsque les voix douces meurent,
les vibrations dans la mémoire;
Des odeurs, lorsque les violettes douces se sentent malades,
vivre dans le sens qu'ils ralentissent.
Les feuilles de rose, lorsque la rose est morte,
sont épuisés pour le lit du bélovèd;
ainsi que vos pensées, lorsque vous êtes absents,
L'amour lui-même restera en sommeil.",en_XX,fr_XX
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, au moment que se taisent les voix douces,
résonne en la mémoire ;
les baumes, au moment que s’assèchent les violettes délicates,
perdurent dans le sens qu’elles exaltent.
les pétales de rose, une fois que la rose a péri,
s’amoncellent pour former la couche de l’aimé ;
de même la pensée de toi, une fois que tu seras parti,
à quoi l’amour lui-même s’endormira.","la musique, lorsque les voix douces meurent,
les vibrations dans la mémoire;
Des odeurs, lorsque les violettes douces se sentent malades,
vivre dans le sens qu'ils ralentissent.
Les feuilles de rose, lorsque la rose est morte,
sont épuisés pour le lit du bélovèd;
ainsi que vos pensées, lorsque vous êtes absents,
L'amour lui-même restera en sommeil.",en_XX,fr_XX
"music, when soft voices die,
vibrates in the memory;
odours, when sweet violets sicken,
live within the sense they quicken.
rose leaves, when the rose is dead,
are heap’d for the belovèd’s bed;
and so thy thoughts, when thou art gone,
love itself shall slumber on.","la musique, quand les voix s’adoucissent à mourir,
résonne en souvenir ;
les fragrances, quand les tendres violettes se gâtent,
perdurent dans la sensualité qu’elles exaltent.
les pétales de rose, quand la rose a péri,
sont ramassés pour le lit de l’être chéri ;
et donc cette impression de toi, quand tu t’en seras allée,
sur laquelle l’amour même est voué à reposer.","la musique, lorsque les voix douces meurent,
les vibrations dans la mémoire;
Des odeurs, lorsque les violettes douces se sentent malades,
vivre dans le sens qu'ils ralentissent.
Les feuilles de rose, lorsque la rose est morte,
sont épuisés pour le lit du bélovèd;
ainsi que vos pensées, lorsque vous êtes absents,
L'amour lui-même restera en sommeil.",en_XX,fr_XX
"now lords and ladies blithe and bold,
to bless you here now am i bound:
i thank you all a thousand-fold,
and pray god save you whole and sound;
wherever you go on grass or ground,
may he you guide that nought you grieve,
for friendship that i here have found
against my will i take my leave.
for friendship and for favours good,
for meat and drink you heaped on me,
the lord that raised was on the rood
now keep you comely company.
on sea or land where’er you be,
may he you guide that nought you grieve.
such fair delight you laid on me
against my will i take my leave.
against my will although i wend,
i may not always tarry here;
for everything must have and end,
and even friends must part, i fear;
be we beloved however dear
out of this world death will us reave,
and when we brought are to our bier
against our will we take our leave.
now good day to you, goodmen all,
and good day to you, young and old,
and good day to you, great and small,
and gramercy a thousand-fold!
if ought there were that dear ye hold,
full fain i would the deed achieve –
now christ you keep from sorrows cold
for now at last i take my leave.","seigneurs et dames, allègres et admirables,
recevez à présent ma bénédiction :
soyez tous remerciés mille fois,
et dieu vous garde sains et saufs ;
que vos pas mènent sur l’herbe douce ou le sol dur,
qu’il vous guide afin que rien ne vous afflige,
puisque ici j’ai trouvé l’amitié
je prends congé contre mon gré.
vous m’avez tant couvert d’affection et de faveurs,
tant pourvu en vivres et en boisson,
puisse notre seigneur qui fut cloué sur la croix
vous tenir une délicate compagnie.
que vous soyez sur terre ou sur mer,
qu’il vous guide afin que rien ne vous afflige.
puisque vous m’avez apporté tant de plaisir
je prends congé contre mon gré.
quand bien même je m’en vais malgré moi,
je ne pourrais demeurer ici pour toujours ;
car toutes choses doivent finir,
et même les amis se séparer, je le crains ;
quelle que soit la force de nos liens
la mort nous arrachera à ce monde,
et lorsque nous serons mis en bière
nous prendrons congé contre notre gré.
à présent, salut à vous, tous gens de bien,
salut à vous, jeunes et vieux,
salut à vous, petits et grands,
et mille fois grand merci !
si quelque dessein vous tenait à cœur,
je l’accomplirais bien volontiers –
à présent, christ vous garde des peines cruelles,
car enfin je prends congé.","Mesdames et Messieurs les plus généreux et les plus courageux,
pour vous blesser ici maintenant je suis lié :
Je vous remercie tous mille fois.
Et priez Dieu de vous sauver, sains et sains.
où que vous soyez sur l'herbe ou sur le sol,
Que vous puissiez vous guider et que vous ne souffrez pas.
pour l'amitié que j'ai trouvée ici
contre ma volonté, je prends mon congé.
pour l'amitié et les bienfaits,
pour la viande et la boisson que vous m'avez ensemencées,
le lord qui s'est élevé était sur le red
maintenant, gardez-vous en compagnie.
en mer ou en terre, où que vous soyez,
Qu'il vous guide pour que vous ne souffrez pas.
si juste plaisir que vous m'avez mis sur moi
contre ma volonté, je prends mon congé.
contre ma volonté, même si j'ai eu des difficultés,
Je ne peux pas toujours rester ici;
car tout doit avoir et se terminer,
et même les amis doivent se séparer, je crains;
Bien que nous soyons aimés, chers
De ce monde, la mort nous fera remonter,
et quand nous avons apportés sont à notre bier
contre notre volonté nous prenons notre congé.
bon jour à vous tous, bons hommes,
et bon jour à vous, jeunes et vieux,
et bon jour à vous, grand et petit,
et gramercy mille fois!
S'il y avait ce que vous détenez cher,
Je ne me souviens pas du fait que l'acte soit accompli –
maintenant, chère, gardez-vous des souffrances froides
pour maintenant enfin je prends mon congé.",en_XX,fr_XX
