original_poem,translated_poem,translated_by_mbart,src_lang,tgt_lang
"o mostrengo
o mostrengo que está no fim do mar
na noite de breu ergueu-se a voar
à roda da nau voou três vezes
voou três vezes a chiar
e disse: quem é que ousou entrar
nas minhas cavernas que não desvendo
meus tectos negros do fim do mundo?
e o homem do leme disse
tremendo:
el-rei d. joão segundo!
de quem são as velas onde me roço?
de quem as quilhas que vejo e ouço?
disse o mostrengo
e rodou três vezes
três vezes rodou imundo e grosso.
quem vem poder o que só eu posso
que moro onde nunca ninguém me visse
e escorro os medos do mar sem fundo?
e o homem do leme tremeu
e disse:
el-rei d. joão segundo!
três vezes do leme as mãos ergueu
três vezes ao leme as reprendeu
e disse no fim de tremer três vezes:
aqui ao leme sou mais do que eu:
sou um povo que quer o mar que é teu
e mais que o mostrengo
que me a alma teme
e roda nas trevas do fim do mundo
manda a vontade
que me ata ao leme
d' el-rei d. joão segundo!","l 'horrible monstre
le monstre qui est au bout de l’océan
une nuit de brai se mit à voler
autour du navire il vola trois fois
trois fois il vola en hurlant
et il dit: qui a osé entrer
dans mes cavernes que je ne dévoile pas
mes toits noirs du bout du monde?
et l’homme du gouvernail a dit
en tremblant:
le roi jean le second
a qui sont ces voiles que je frôle
a qui les quilles que je vois et entends?
a dit le monstre
et il tourna trois fois
trois fois il tourna
hideux et gras.
qui a le pouvoir qui n’est qu’à moi
moi qui habite où personne ne me voit
et je distille les peurs de la mer sans fond
et l’homme du gouvernail trembla
et dit:
le roi jean le second!
trois fois du gouvernail les mains il leva
trois fois sur le gouvernail il les remit
et enfin tremblant trois fois il dit
ici au gouvernail je suis plus que moi
je suis un peuple qui veut la mer qui est à toi
et plus que le monstre que mon âme craint
et qui tourne dans les ténèbres du bout du monde
commande la volonté qui m’attache au gouvernail
qui est celle du roi jean le second","Je me suis d'accord.
Je montre que l'on est à l'extrémité de la mer.
Le soir de la breuve, il est arrivé à bord d'un avion.
La nauve a voté trois fois.
Il a voté trois fois à l'évidence.
He ain't eu le temps d'entrer.
Dans les caves, je ne sais pas.
My dark side of the world?
L'homme du Lime a dit :
C'est exhilarating.
El-Rei d'Joan second!
Qui est-ce que je crois?
Qui en est-ce que je vois et que j'entend?
« Je ne sais pas, » a monologue.
Il y a trois heures, il y a trois heures, il y a trois heures.
Trois fois immune et grosse.
Qui est-ce qui aspire à ce que je puisse faire?
J'ai vécu dans un endroit où on n'a jamais vu moi.
et écouler les craintes de la mer sans fond?
L'homme de terre tremblait.
Il y a peu, il y a peu, il y a peu.
El-Rei d'Joan second!
Trois fois que je l'ai, je l'ai.
Trois fois que je l'ai, je l'ai.
J'ai dit trois fois à la fin.
Je suis plus que moi.
Je suis un peuple qui veut la mer.
Less que je montre, ce n'est pas le cas.
J'ai l'honneur de vous remercier.
Il tourne dans les trembles de la fin du monde.
Il y a lieu d'encourager l'esprit d'entreprise.
C'est ce que j'ai apprise.
d'El-Ré d'Joan second!",pt_XX,fr_XX
"fragmento de tempo
enquanto lá fora estoura
o sol do meio-dia
entre as paredes antigas
o tempo desfia sombrio
e lentamente
o seu rosário de horas.
o tempo descansa a cabeça
sobre almofadas de cetim branco
ou de veludo bordado.
o tempo sorri nos móveis enfeitados
com paninhos de organdi
debruados com perlé dourado.
há os tempos que se escondem
nas gavetas misteriosas e secretas
os que cochilam em poltronas de palhinha
vigiados por retratos redondos na parede.
tempos que se diluem na frágil linha
traçada entre o passado e o presente
que vivem nos sonhos
e dormem nas lembranças
enquanto lá fora estoura
o sol do meio-dia.","fragment du temps
alors qu’éclate dehors
le soleil de midi
entre les vieux murs
le temps egrène obscur et lentement
son chapelet des heures.
le temps repose sa tête
sur des coussins de satin blanc
ou de velours brodé.
le temps sourit dans le mobilier garni
de napperons organdi
ourlés de perlé doré.
il y a les temps qui se cachent
dans des tiroirs mystérieux et secrets
ceux qui sommeillent dans des fauteuils paillés
surveillés par les portraits ronds du mur.
les temps qui se diluent dans la ligne fragile
tracée entre le passé et le présent
qui vivent dans les rêves
et dorment dans les pensées
alors qu’éclate dehors
le soleil de midi.","Un peu de temps.
Il y a quelques heures, il y a quelques heures, il y a quelques heures.
Le soleil dans le milieu.
entre les murs d'ancienneté.
Le temps s'effondre.
Il y a peu, il y a peu.
Son rosé.
Le temps repose.
Parmi les autres, c'est ce que j'ai vu.
Or de l'orchestre bordé.
Le temps s'amuse sur les mobiles infectés.
avec des morceaux d'orgi.
Débouchés de perlé douré.
Il y a des temps, il y a des temps, il y a des temps, il y a des temps, il y a des temps, il y a des temps.
Dans les couloirs, dans les couloirs.
C'est ce que je fais, c'est ce que je fais.
Vigoureux portraits sur la pare.
Less de temps s'écoulent sur la ligne fragile.
Tracée entre le passé et le présent.
qui vivent dans les rêves.
et dorment dans les souvenirs.
Il y a quelques heures, il y a quelques heures, il y a quelques heures.
Le sol du jour.",pt_XX,fr_XX
"mar português
ó mar salgado, quanto do teu sal
são lágrimas de portugal!
por te cruzarmos, quantas mães choraram,
quantos filhos em vão rezaram!
quantas noivas ficaram por casar
para que fosses nosso, ó mar!
valeu a pena? tudo vale a pena
se a alma não é pequena.
quem quer passar além do bojador
tem que passar além da dor.
deus ao mar o perigo e o abismo deu,
mas nele é que espelhou o céu.","mer du portugal
oh mer salée, dans ton sel
combien de larmes du portugal!
parce nous t’avons sillonnée, combien de mères ont pleuré,
combien d’enfants ont en vain prié!
combien de fiancées n’ont pu se marier
pour que tu sois à nous, oh mer!
cela a-t-il valu la peine? tout vaut la peine
si l’esprit n’est pas mesquin.
qui veut aller au-delà du bojador
doit dépasser la douleur.
c’est à la mer que dieu a donné le péril et l’abîme,
mais c’est sur elle qu’il fait resplendir le ciel.","La mer d'Angleterre.
Dans l'océan, dans l'océan.
c'est des cris de Portugal!
Pour, pour, pour.
How many children will ye prier?
How many brides ont été mariées?
Que vous soyez chez nous, à la mer!
Il y a lieu d'adopter.
Si le coeur n'est pas petit.
C'est ce qu'il faut faire, c'est ce qu'il faut faire.
Cela va au-delà de la douleur.
Il y a lieu d'encourager les gens.
Il y a tout.",pt_XX,fr_XX
"antes que seja tarde
amigo,
tu que choras uma angústia qualquer
e falas de coisas mansas como o luar
e paradas
como as águas de um lago adormecido,
acorda!
deixa de vez
as margens do regato solitário
onde te miras
como se fosses a tua namorada
abandona o jardim sem flores
desse país inventado
onde tu és o único habitante
deixa os desejos sem rumo
e esse ar de renúncia
às coisas do mundo.
acorda, amigo,
liberta-te dessa paz podre de milagre
que existe
apenas na tua imaginação
abre os olhos e olha,
abre os braços e luta!
amigo,
antes da morte vir
nasce de vez para a vida.","avant qu’il ne soit trop tard
mon ami,
toi qui pleures sur une quelconque angoisse
et qui parles de choses douces comme le clair de lune
et immobiles
comme les eaux d’un lac endormi,
réveille-toi!
laisse une fois pour toutes
les rives du ruisseau solitaire
où tu te contemples
comme si tu étais ta propre fiancée.
abandonne le jardin sans fleurs
de ce pays inventé
où tu est le seul habitant.
laisse les désirs sans orientation
de bateau à la dérive
et cet air de qui renonce
à toutes les choses du monde.
réveille-toi mon ami
libère-toi de cette paix pourrie
qui n’existe
que dans ton imagination.
ouvre les yeux et regarde,
ouvre les bras e lutte!
mon ami,
avant que la mort arrive
renaît pour toujours à la vie.","Less demains.
Je suis un ami.
Vous chantez quelque chose de faux.
Par ailleurs, il y a lieu de parler d'une terreur.
En effet, c'est le moment où vous êtes.
Comme les eaux d'un lac sombre.
Wake up!
Il y a lieu.
Les margins du ruisseau solitaire.
Il y a lieu.
C'est comme s'il s'agissait de votre épouse.
J'ai quit le jardin sans fleurs.
C'est un pays inventé.
où vous êtes le seul occupant.
Il laissez-passer les désirs.
C'est ce que j'ai entendu dire.
aux choses du monde.
Il y a lieu de se réveiller, ami.
C'est le moment de vous débarrasser de cette terre.
Il y a d'autres.
Ce n'est que dans votre imagination.
C'est là, c'est là.
Ouvert les bras et lutte!
Je suis un ami.
Avant la mort.
Elle est née pour la vie.",pt_XX,fr_XX
"o teu retrato
deus fez a noite com o teu olhar,
deus fez as ondas com os teus cabelos;
com a tua coragem fez castelos
que pôs, como defesa, à beira-mar.
com um sorriso teu, fez o luar
(que é sorriso de noite, ao viandante)
e eu que andava pelo mundo, errante,
já não ando perdido em alto-mar!
do céu de portugal fez a tua alma!
e ao ver-te sempre assim, tão pura e calma,
da minha noite, eu fiz a claridade!
ó meu anjo de luz e de esperança,
será em ti afinal que descansa
o triste fim da minha mocidade!","ton portrait
dieu a fait la nuit avec ton regard,
dieu a fait les vagues avec tes cheveux;
avec ton courage il a fait des châteaux
qu’il a posé, en défense, au bord de la mer.
avec un de tes sourires, il a fait le clair de lune
(qui est un sourire de nuit, pour le voyageur)
et moi qui parcourais le monde, en errant,
je ne me retrouve plus perdu en haute mer!
avec le ciel du portugal il a fait ton âme
et en te voyant toujours ainsi, si pure et calme,
de ma nuit, j’en ai fait la clarté!
oh mon ange de lumière et d’espoir,
serait-ce en toi que, en fin de compte, repose
la triste fin de ma jeunesse!","Le portrait de quelqu'un.
Dieu a fait la nuit avec votre regard.
Dieu a fait les ondes avec vos cheveux.
Avec votre courage, j'ai fait des castles.
que j'ai mis à la mer en tant de défense.
avec un sourire, il a fait l'extérieur.
(Laughter) (Applause)
J'ai fait preuve d'une grande prudence.
Je ne suis plus perdu à l'océan!
du Portugal fait votre soul!
C'est ce que je fais, c'est ce que je fais.
de ma nuit, j'ai fait la clarté!
Je me souviens de l'anjo de la lumière et de l'espoir.
sera-t-il possible que vous reposiez?
C'est la mort de ma force!",pt_XX,fr_XX
"se tu viesses ver-me...
se tu viesses ver-me hoje à tardinha,
a essa hora dos mágicos cansaços,
quando a noite de manso se avizinha,
e me prendesses toda nos teus braços...
quando me lembra: esse sabor que tinha
a tua boca... o eco dos teus passos....
o teu riso de fonte... os teus abraços...
os teus beijos... a tua mão na minha...
se tu viesses quando, linda e louca,
traça as linhas dulcíssimas dum beijo
e é de seda vermelha e canta e ri
e é como um cravo ao sol a minha boca...
quando os olhos se me cerram de desejo...
e os meus braços se estendem para ti...","si tu venais me voir...
si tu venais me voir aujourd'hui le soir,
á l'heure des fatigues magiques,
quand la nuit tout doucement s'approche,
et si tu me serrais dans tes bras...
lorsque je me rapelle: cette saveur qu'avait
ta bouche... l'écho de tes pas...
ton rire de source... tes étreintes...
tes baisers... et ta main dans la mienne...
si tu venais quand, belle et folle,
dessinant les lignes très douces d'un baiser
de soie vermeille, en chantant et en riant
ma bouche est comme un oeillet au soleil...
lorsque mes yeux se ferment de désir ...
et mes bras se tendent vers toi...","Si vous me voyez...
Si vous venez à me voir aujourd'hui à la petite.
C'est là l'heure des mages fatigués.
La nuit du mansoil est grand, c'est-à-dire.
et tu me prends dans les bras...
Quand je me souviens, c'est le goût que j'ai eu.
Le tongue... L'écoulement de vos pas...
La laughte de source... Les bras...
Je tesses... Je tesses...
Si vous connaissez quand, beau et fou, vous connaissez quand.
Il traduit les lignes étroites d'un sourire.
It's red, et on et on.
et c'est comme un crabe au soleil dans ma bouche...
Quand les yeux s'ouvrent...
et mes bras s'étendent pour vous...",pt_XX,fr_XX
"amar
eu quero amar, amar perdidamente!
amar só por amar: aqui... além...
mais este e aquele, o outro e toda a gente...
amar! amar! e não amar ninguém!
recordar? esquecer? indiferente!
prender ou desprender? é mal? é bem?
quem disser que se pode amar alguém
durante a vida inteira é porque mente!
há uma primavera em cada vida:
é preciso cantá-la assim florida,
pois se deus nos deu voz, foi pra cantar!
e se um dia hei-de ser pó, cinza e nada
que seja a minha noite uma alvorada,
que me saiba perder ... pra me encontrar..","aimer
je veux aimer, aimer éperdument!
aimer juste pour aimer: ici... lá-bas...
et celui-ci e celui-là, l’autre et tout le monde...
aimer! aimer! et n’aimer personne!
me rappeler? oublier? indifférente!
m’attacher ou delaisser? est-ce mal? est-ce bien?
si quelqu’un dit qu’on peut aimer quelqu’un
pendant toute une vie c’est qu’il ment!
il y a un printemps en chaque vie:
il faut la chanter ainsi fleurie,
car si dieu nous a donné la voix, c’est pour chanter!
et si un jour je serai poussière, cendre et plus rien
que ma nuit soit une aurore,
que je sache me perdre ... pour me retrouver...","Aimer.
Je veux aimer, je veux aimer!
amar pour amar: here... plus...
plus ce dernier et ce dernier et tous les autres...
Aimer! Aimer non-aimer!
Remarque? Forget? Indifférent.
Accepter ou négliger, c'est mal? C'est bien?
On ne peut pas dire que l'on peut aimer quelqu'un.
Tout au long de sa vie, c'est parce qu'il faut!
Il y a spring dans chaque vie.
Il faut qu'elle soit aussi fleur.
Si Dieu nous a dit, c'est pour chanter!
Si, un jour, j'ai de la poussière, de la cinzaine et de tout.
qu'il soit une bonne nuit, que ce soit une bonne nuit.
qui me fait perdre... pour me trouver...",pt_XX,fr_XX
"as duas flores
são duas flores unidas
são duas rosas nascidas
talvez do mesmo arrebol,
vivendo,no mesmo galho,
da mesma gota de orvalho,
do mesmo raio de sol.
unidas, bem como as penas
das duas asas pequenas
de um passarinho do céu...
como um casal de rolinhas,
como a tribo de andorinhas
da tarde no frouxo véu.
unidas, bem como os prantos,
que em parelha descem tantos
das profundezas do olhar...
como o suspiro e o desgosto,
como as covinhas do rosto,
como as estrelas do mar.
unidas... ai quem pudera
numa eterna primavera
viver, qual vive esta flor.
juntar as rosas da vida
na rama verde e florida,
na verde rama do amor!","les deux fleurs
ce sont deux fleurs unies
ce sont deux roses nées
peut-être du même rougeoyant
sur la même branche, vivant,
de la même goutte de rosée,
du même rayon de soleil.
unies, aussi comme les plumes
des deux petites ailes
d’un oiseau du ciel...
comme un couple de tourterelles
comme la tribu d’hirondelles
du soir dans le voile relâché.
unies, aussi comme les sanglots,
qui par paires descendent tant
des profondeurs du regard....
comme le soupir et le chagrin,
comme les petits creux des joues,
comme les étoiles de mer.
unies... heureux celui qui pourrait
dans un éternel printemps
vivre, comme cette fleur.
assembler les roses de la vie
sur le feuillage vert et fleuri
le vert feuillage de l’amour!","Les deux fleurs.
Il s'agit de deux fleurs unifiées.
Il s'agit de deux roses naissantes.
Il s'agit d'un organisme de bienfaisance.
En effet, c'est le casque.
De la même goutte d'orval.
du même rayon de sol.
Les gens d'affaires, les gens d'affaires, les gens d'affaires.
des deux petites axes.
d'un oiseau...
Comme un couple de roulettes.
C'est le tribe des canards.
de l'après-veil.
Les gens d'affaires, les gens d'affaires.
On the wall, on l'autre, on l'autre, on l'autre, on l'autre.
des profondeurs de l'œil...
Comme je l'ai déjà vu, j'ai déjà vu, j'ai déjà vu.
Comme les coups de la face.
Comme les stars de la mer.
Unir... à ceux qui peuvent.
Environment Canada.
vivre, qui vit ce flower.
Unir les roses de la vie
Il y a lieu d'être.
dans la branche verte de l'amour!",pt_XX,fr_XX
"ditoso seja aquele que somente
ditoso seja aquele que somente
se queixa de amorosas esquivanças;
pois por elas não perde as esperanças
de poder nalgum tempo ser contente.
ditoso seja quem, estando ausente,
não sente mais que a pena das lembranças,
porque, inda mais que se tema de mudanças,
menos se teme a dor quando se sente.
ditoso seja, enfim, qualquer estado,
onde enganos, desprezos e isenção
trazem o coração atormentado.
mas triste de quem se sente magoado
de erros em que não pode haver perdão,
sem ficar na alma a mágoa do pecado.","bienheureux soit celui qui seulement
bienheureux soit celui qui seulement
ne se plaint que d’amoureuses irrévérences;
car pour elles il ne perdra les espérances
de pouvoir un jour être content.
bienheureux celui qui, en étant absent,
ne ressent que la peine des souvenirs,
car même si l’on craint les changements,
on craindra moins la douleur lorsqu’on la ressent
bienheureuse soit, enfin, toute situation,
où tromperies, dédains, et exemption
conserveront un coeur tourmenté.
mais malheureux est celui qui se sent offensé
par des erreurs où il ne peut y avoir de pardon
sans qu’en l’âme il ne reste l’angoisse du pêché.","Il n'y a pas d'éthique.
Il n'y a pas d'éthique.
Il y a lieu d'être.
C'est pourquoi ils ne perdent pas l'espoir.
d'être heureux pour un moment.
qui, en l'absence, a besoin d'être.
Il n'y a rien de plus que des souvenirs.
Ce n'est pas qu'il s'agisse de changement.
moins de peur de la douleur.
par exemple, par exemple, par exemple, par exemple.
Il faut que l'on fasse preuve d'honnêteté et d'exception.
Ils ont un coeur atrophié.
C'est triste d'avoir été blessé.
d'erreurs pour lesquelles il n'y a pas de pardon.
Il n'y a pas d'innocence dans l'esprit.",pt_XX,fr_XX
"por receio de quem espia
cheio de inveja a roer
não veio naquele dia,
p'ra assim traída não ser
p'la luz que no rosto esplende,
p'las jóias a tilintar,
e pelo perfume do âmbar
a que o corpo lhe rescende:
é que ao rosto, com o manto,
tapá-lo ainda poderia,
e as jóias, entretanto,
facilmente as tiraria
mas a fragrância do encanto
para ocultá-la, que faria?","par crainte de celui qui guette
plein de l’envie qui ronge
ce jour-là elle n'est pas venue,
pour ne pas être trahie
par le resplendissement de son visage,
par le tintement des bijoux,
et par le parfum de l'ambre
que de son corps s’exhale :
c’est que le visage, avec le voile,
elle pourrait encore le cacher,
et les bijoux, entretemps,
elle pourrait facilement les retirer,
mais la fragrance de la beauté,
comment pourrait-elle l’occulter?","C'est la crainte de ceux qui souffrent.
Je suis enchanté de rire.
Il n'a pas eu ce jour.
Je ne suis pas traitée de ce genre.
Il y a lumière dans la face.
Jeunesses.
Parmi les autres choses, c'est le parfum du sombre.
Il y a lieu d'y réfléchir.
C'est ce qu'il faut faire.
On peut encore le peindre.
Et les jewelry, en attendant.
Je ne sais pas.
Mais la fraction de l'enchantement.
Pour cela, ce que je ferais?",pt_XX,fr_XX
