original_poem,translated_poem,src_lang,tgt_lang,translated_by_TA
"land lies in water; it is shadowed green.
shadows, or are they shallows, at its edges
showing the line of long sea-weeded ledges
where weeds hang to the simple blue from green.
or does the land lean down to lift the sea from under,
drawing it unperturbed around itself?
along the fine tan sandy shelf
is the land tugging at the sea from under?
the shadow of newfoundland lies flat and still.
labrador’s yellow, where the moony eskimo
has oiled it. we can stroke these lovely bays,
under a glass as if they were expected to blossom,
or as if to provide a clean cage for invisible fish.
the names of seashore towns run out to sea,
the names of cities cross the neighboring mountains
— the printer here experiencing the same excitement
as when emotion too far exceeds its cause.
these peninsulas take the water between thumb and finger
like women feeling for the smoothness of yard-goods.
mapped waters are more quiet than the land is,
lending the land their waves’ own corfirmation:
and norway’s hare runs south in agitation,
profiles investigate the sea, where land is.
are they assigned, or can the countries pick their colors?
— what suits the character or the native waters best.
topography displays no favorites; north’s as near as west.
more delicate than the historians’ are the map-makers’ colors.","terra entre águas, sombreada de verde.
sombras, talvez rasos, lhe traçam o contorno,
uma linha de recifes, algas como adorno,
riscando o azul singelo com seu verde.
ou a terra avança sobre o mar e o levanta
e abarca, sem bulir suas águas lentas?
ao longo das praias pardacentas
será que a terra puxa o mar e o levanta?
a sombra da terra nova jaz imóvel.
o labrador é amarelo, onde o esquimó sonhador
o untou de óleo. afagamos essas belas baías,
em vitrines, como se fossem florir, ou como se
para servir de aquário a peixes invisíveis.
os nomes dos portos se espraiam pelo mar,
os nomes das cidades sobem as serras vizinhas
— aqui o impressor experimentou um sentimento semelhante
ao da emoção ultrapassando demais a sua causa.
as penínsulas pegam a água entre polegar e indicador
como mulheres apalpando pano antes de comprar.
as águas mapeadas são mais tranquilas que a terra,
e lhe emprestam sua forma ondulada:
a lebre da noruega corre para o sul, afobada,
perfis investigam o mar, onde há terra.
é compulsório, ou os países escolhem as suas cores?
— as mais condizentes com a nação ou as águas nacionais.
topografia é imparcial; norte e oeste são iguais.
mais sutis que as do historiador são do cartógrafo as cores.",en_XX,pt_XX,"A terra reside em <unk> <unk> é <unk> <unk> <unk> é <unk> <unk> <unk> é <unk> <unk> <unk> <unk> <unk>
<unk> ou são <unk> nas bordas das bordas .
<unk> a linha de <unk> <unk> <unk> <unk> a mostrar a linha de longa <unk> <unk> <unk> .
onde as ervas <unk> para o simples azul da <unk> <unk> de <unk>
ou a terra <unk> para elevar o mar da <unk> <unk> de <unk> .
<unk> <unk> por volta de <unk> <unk> por volta de <unk> <unk> <unk> <unk> <unk> por volta de <unk> <unk>
pela <unk> <unk> <unk> .
é a <unk> <unk> no mar da <unk> <unk> de <unk> .
A sombra de <unk> mentiras é plana e <unk> <unk> .
<unk> <unk> onde os <unk> <unk> <unk> os <unk> <unk> <unk> onde os <unk> <unk> <unk> <unk> o <unk> <unk>
que podemos disparar estes belos <unk> <unk> que podemos <unk> estas belas <unk> <unk> .
sob um copo como se estivessem à espera de <unk> <unk> em <unk> por baixo de um copo como se
ou como se <unk> uma gaiola limpa para a <unk> invisível para a <unk> invisível , para a <unk> invisível
Os nomes de cidades <unk> vão para a <unk> <unk> para <unk> os nomes de cidades <unk> <unk> para <unk>
Os nomes das cidades atravessam as montanhas vizinhas a atravessar as montanhas vizinhas .
A impressora aqui vive a mesma excitação . A impressora aqui vive a mesma excitação .
Quando a emoção também excede demasiado a sua <unk> <unk> o seu <unk> ,
<unk> a água entre o polegar e os dedos .
como as mulheres que sentem pelo <unk> de <unk> <unk> de <unk> <unk> de <unk> de <unk> <unk> de <unk>
As águas <unk> são mais <unk> do que a <unk> <unk> a <unk> <unk> .
<unk> a terra os seus <unk> <unk> <unk> o seu <unk> <unk> <unk> a <unk> a <unk> <unk> a <unk>
A <unk> <unk> corre para sul em <unk> em <unk>
Os perfis <unk> os <unk> onde <unk> <unk> <unk> <unk> <unk> <unk> em terra , onde <unk> <unk> <unk> <unk>
São eles <unk> ou podem escolher os países <unk> os seus <unk> <unk> os seus <unk> <unk> .
O que é que interessa a personagem ou as águas nativas <unk> a <unk> ?
A topografia mostra que não há <unk> <unk> tão próximos como <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> mais <unk> do que os <unk> são os <unk> <unk> <unk> que os <unk> são os <unk> <unk> <unk>"
"we’d rather have the iceberg than the ship,
although it meant the end of travel.
although it stood stock-still like cloudy rock
and all the sea were moving marble.
we’d rather have the iceberg than the ship;
we’d rather own this breathing plain of snow
though the ship’s sails were laid upon the sea
as the snow lies undissolved upon the water.
o solemn, floating field,
are you aware an iceberg takes repose
with you, and when it wakes may pasture on your snows?","o iceberg nos atrai mais que o navio,
mesmo acabando com a viagem.
mesmo pairando imóvel, nuvem pétrea,
e o mar um mármore revolto.
o iceberg nos atrai mais que o navio:
queremos esse chão vivo de neve,
mesmo com as velas do navio tombadas
qual neve indissoluta sobre a água.
ó calmo campo flutuante,
sabes que um iceberg dorme em ti, e em breve
vai despertar e talvez pastar na tua neve?",en_XX,pt_XX,"<unk> em vez de ter o icebergue do que a <unk> do que a <unk> <unk> em vez
Apesar de querer que o fim de <unk> <unk> o fim de <unk> , apesar de termos significado
&quot; <unk> &quot; como &quot; rock <unk> &quot; <unk> como &quot; <unk> &quot; <unk> .
e todo o mar estava a mover-se <unk> <unk> .
<unk> em vez de ter o icebergue do que a <unk> do que a <unk> <unk> em vez
<unk> bastante esta <unk> de neve de neve em vez de uma <unk> em vez de uma <unk>
Mas as velas <unk> foram <unk> no mar do mar .
À medida que a neve está a <unk> sobre o <unk>
♪ <unk> a flutuar ♪ <unk> a flutuar ♪ <unk> a flutuar ♪ <unk> a flutuar ♪ <unk>
Vocês sabem que um icebergue é preciso descanso ao fim de um icebergue que dá descanso ao descanso
com <unk> e quando acordar pode <unk> na vossa <unk> <unk> em <unk> e quando acorda pode <unk>"
"this is a scene a sailor’d give his eyes for
the ship’s ignored. the iceberg rises
and sinks again; its glassy pinnacles
correct elliptics in the sky.
this is a scene where he who treads the boards
is artlessly rhetorical. the curtain
is light enough to rise on finest ropes
that airy twists of snow provide.
the wits of these white peaks
spar with the sun. its weight the iceberg dares
upon a shifting stage and stands and stares.","esta cena um marujo daria os olhos
pra ver. esquece-se o navio. o iceberg
sobe e desce; seus píncaros de vidro
corrigem elípticas no céu.
este cenário empresta a quem o pisa
uma retórica fácil. o pano leve
é levantado por cordas finíssimas
de aéreas espirais de neve.
duelo de argúcia entre as alvas agulhas
e o sol. o seu peso o iceberg enfrenta
no palco instável e incerto onde se assenta.",en_XX,pt_XX,"Isto é uma cena um <unk> a dar aos olhos para os olhos para os olhos para
O <unk> <unk> o icebergue aumenta o icebergue aumenta o <unk> <unk> o <unk> <unk> o <unk>
e <unk> os seus <unk> <unk> <unk> a <unk> <unk> e <unk> <unk> a <unk> <unk> <unk>
<unk> correta no <unk> <unk> na <unk> correta na <unk> correta na <unk> <unk> na <unk> correta
Esta é uma cena onde ele quer que os operadores <unk> os quadros que <unk> os quadros
A <unk> <unk> a cortina é <unk> <unk> a cortina <unk> <unk> a cortina é <unk> <unk>
é a luz suficiente para aumentar as cordas melhores em cordas melhores .
que <unk> de <unk> de <unk> <unk> de <unk> <unk> de <unk> <unk> de <unk> que <unk>
os picos brancos destes picos brancos .
<unk> com o seu peso o <unk> do icebergue a <unk> do icebergue a <unk> com o
Um palco de mudança e <unk> e <unk> <unk> e <unk> ."
"this iceberg cuts its facets from within.
like jewelry from a grave
it saves itself perpetually and adorns
only itself, perhaps the snows
which so surprise us lying on the sea.
good-bye, we say, good-bye, the ship steers off
where waves give in to one another’s waves
and clouds run in a warmer sky.
icebergs behoove the soul
(both being self-made from elements least visible)
to see them so: fleshed, fair, erected indivisible.","é por dentro que o iceberg se faceta.
tal como joias numa tumba
ele se salva para sempre, e adorna
só a si, talvez também as neves
que nos assombram tanto sobre o mar.
adeus, adeus, dizemos, e o navio
segue viagem, e as ondas se sucedem,
e as nuvens buscam um céu mais quente.
o iceberg seduz a alma
(pois os dois se inventam do quase invisível)
a vê-lo assim: concreto, ereto, indivisível.",en_XX,pt_XX,"Este icebergue corta as suas facetas de <unk> <unk> de <unk> <unk> .
como joias de uma sepultura de uma sepultura de uma sepultura de uma sepultura de
<unk> a si mesma <unk> e <unk> ,
Só a <unk> talvez a neve <unk> a neve apenas a <unk> ,
que nos surpreende a mentir no <unk> <unk> que nos <unk> a mentir na <unk>
<unk> <unk> <unk> o navio <unk> <unk> o <unk> <unk> <unk> o <unk> em que
onde as ondas dão uma onda <unk> a uma <unk> de <unk> ?
e as nuvens numa <unk> mais quente e as nuvens <unk> numa <unk> mais quente
icebergues <unk> a alma a alma <unk> a alma <unk> os icebergues <unk> a alma
<unk> ser <unk> de elementos menos <unk> <unk> em menos <unk> <unk> a ser <unk>
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>"
"alone on the railroad track
i walked with pounding heart.
the ties were too close together
or maybe too far apart.
the scenery was impoverished:
scrub-pine and oak; beyond
its mingled gray-green foliage
i saw the little pond
where the dirty hermit lives,
lie like an old tear
holding onto its injuries
lucidly year after year.
the hermit shot off his shot-gun
and the tree by his cabin shook.
over the pond went a ripple.
the pet hen went chook-chook.
“love should be put into action!”
screamed the old hermit.
across the pond an echo
tried and tried to confirm it.","sozinha nos trilhos eu ia,
coração aos saltos no peito.
o espaço entre os dormentes
era excessivo, ou muito estreito.
paisagem empobrecida:
carvalhos, pinheiros franzinos;
e além da folhagem cinzenta
vi luzir ao longe o laguinho
onde vive o eremita sujo,
como uma lágrima translúcida
a conter seus sofrimentos
ao longo dos anos, lúcida.
o eremita deu um tiro
e uma árvore balançou.
o laguinho estremeceu.
sua galinha cacarejou.
bradou o velho eremita:
“amor tem que ser posto em prática!”
ao longe, um eco esboçou
sua adesão, não muito enfática.",en_XX,pt_XX,"Só na linha <unk> na linha de <unk> sozinho na linha da linha
<unk> com a <unk> <unk> <unk>
Os laços estavam demasiado perto de se <unk> em conjunto .
ou talvez demasiado longe demais de <unk> <unk> ou demais demais <unk> demais
O <unk> foi <unk> <unk> .
<unk> e <unk> para além de <unk> e de <unk> para além de
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
&quot; O pequeno lago viu o pequeno lago &quot; .
onde os <unk> <unk> <unk> os <unk> <unk> onde os <unk> <unk> <unk>
<unk> como uma velha lágrima <unk> como uma antiga lágrima <unk> como uma
<unk> os ferimentos para os ferimentos .
<unk> ano após <unk> <unk> após <unk> ano após <unk> ano após <unk>
A <unk> <unk> do seu <unk> <unk> a <unk> <unk> da <unk> <unk>
e a árvore pela sua <unk> <unk> <unk> .
Durante o lago foi uma <unk> de <unk> <unk> por cima do lago
O animal de estimação foi <unk> <unk> <unk> o <unk> .
O <unk> deveria ser posto em <unk> <unk> em <unk> deveria ser posto
gritar os antigos <unk> <unk> o velho <unk> a gritar o velho <unk>
através do lago um eco por um eco .
tentou tentar confirmar <unk> <unk> <unk> <unk> <unk> e tentou confirmar <unk> <unk>"
"which eye’s his eye?
which limb lies
next the mirror?
for neither is clearer
nor a different color
than the other,
nor meets a stranger
in this arrangement
of leg and leg and
arm and so on.
to his mind
it’s the indication
of a mirrored reflection
somewhere along the line
of what we call the spine.","qual olho é o dele?
qual membro é real
e qual está no espelho?
a cor é igual
à esquerda e à direita,
e ninguém suspeita
que esta ou aquela
perna, ou braço, seja
verdade ou impostura
nessa estranha estrutura.
a seu ver,
isso é prova garantida
de uma imagem refletida
ao longo desta linha
que chamamos de espinha.",en_XX,pt_XX,"que <unk> o <unk> o <unk> o <unk> que <unk> o <unk>
que os membros são mentiras que o membro reside que o membro
A seguir o <unk> a seguir ao <unk> a seguir a <unk>
para não é mais clara para não é mais claro por nenhum
ou uma cor diferente de cor diferente ou de uma cor diferente
do que a <unk> <unk> do que a <unk> <unk> do que
ou se <unk> um estranho de estranhos ou de encontrar um estranho
neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo neste arranjo
das pernas e das pernas e das pernas e das pernas e
<unk> e assim tão <unk> , etc .
para a mente da sua mente para a sua mente para a
<unk> a indicação de uma <unk> a indicação de uma <unk> a
de um reflexo <unk> de um reflexo <unk> de um reflexo <unk>
algures ao longo da linha da linha algures ao longo da linha
daquilo a que chamamos o <unk> <unk> do que chamamos <unk> <unk>"
"he felt in modesty
his person was
half looking-glass,
for why should he
be doubled?
the glass must stretch
down his middle,
or rather down the edge.
but he’s in doubt
as to which side’s in or out
of the mirror.
there’s little margin for error,
but there’s no proof, either.
and if half his head’s reflected,
thought, he thinks, might be affected.","modesto, sentia
que sua pessoa
era metade espelho:
pois duplicar-se seria
um total destrambelho.
o vidro se prolonga
por sua mediana,
ou melhor, sua borda.
mas ele não sabe direito
o que está dentro ou fora
da imagem refletida.
não há muita margem de erro,
mas provar é impossível.
e se meio cérebro é reflexo
seu pensamento terá nexo?",en_XX,pt_XX,"Sentia-se em <unk> <unk> em <unk> ele sentiu em <unk> ele sentiu em
era a pessoa dele que era a pessoa dele era a sua pessoa
metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade <unk> metade
porque é que ele devia ter razão para ele ter razão para ele
Sejam <unk> <unk> ser <unk> .
O vidro deve esticar o <unk> tem que esticar o vidro tem que
desce pelo seu <unk> <unk> pela sua <unk> em baixo pela sua <unk>
ou em vez do <unk> <unk> em vez do <unk> <unk> ou em
mas <unk> em duvidar de dúvida ,
como a <unk> ou fora de fora para fora ou fora de fora
do <unk> <unk> do <unk> dos <unk> <unk> do <unk> <unk> do <unk>
<unk> <unk> para <unk> <unk> para <unk> <unk> <unk> <unk> <unk> <unk> <unk>
mas <unk> não <unk> <unk> <unk> não <unk> <unk> mas não <unk> <unk>
e se metade das suas <unk> <unk> <unk> <unk> e se metade das
<unk> que se <unk> pode ser <unk> <unk> pode ser <unk> de <unk>"
"but he’s resigned
to such economical design.
if the glass slips
he’s in a fix —
only one leg etc. but
while it stays put
he can walk and run
and his hands can clasp one
another. the uncertainty
he says he
finds exhilarating. he loves
that sense of constant re-adjustment.
he wishes to be quoted as saying at present:
“half is enough.”","mas ele aceita sem problema
a parcimônia do esquema.
se o espelho escorregar
vai ser de amargar —
só uma perna etc. mas por ora
está apoiado na escora,
e ele anda e corre e pega a mão
com a outra. a sensação
de incerteza o deixa feliz,
ele diz.
afirma também que gosta
de estar sempre a se reajustar.
no momento, eis o que tem a declarar:
“metade basta.”",en_XX,pt_XX,"mas <unk> <unk> <unk> .
para tão <unk> tão <unk> como aquele <unk> tão <unk> para tão <unk> <unk> tão <unk>
se o toque de vidro se <unk> se o toque de vidro o desliza o o
<unk> numa <unk> ,
Só uma perna <unk> mas apenas uma perna <unk> mas apenas uma perna <unk> mas apenas
Embora continue a ser posto , enquanto continua a ser posto , enquanto continua a ser
Ele consegue andar e correr , correr e correr para correr , correr e correr para
e as mãos podem <unk> uma <unk> uma <unk> e as suas mãos <unk> uma <unk>
<unk> a incerteza a incerteza a <unk> a incerteza <unk> a incerteza a <unk> a incerteza
Ele diz que ele diz que ele diz que ele diz que ele diz que ele
<unk> que ele adora que ama que adora <unk> que adora <unk> que adora <unk> que
Esse sentido de constante <unk> constante que esse sentimento de constante <unk> constante de uma <unk>
Ele gostava de ser <unk> como a dizer em <unk> <unk> em <unk> ,
A <unk> é <unk> <unk> <unk> é <unk> <unk> <unk> é <unk> <unk> é <unk> <unk>"
"remembering the strait of belle isle or
some northerly harbor of labrador,
before he became a schoolteacher
a great-uncle painted a big picture.
receding for miles on either side
into a flushed, still sky
are overhanging pale blue cliffs
hundreds of feet high,
their bases fretted by little arches,
the entrances to caves
running in along the level of a bay
masked by perfect waves.
on the middle of that quiet floor
sits a fleet of small black ships,
square-rigged, sails furled, motionless,
their spars like burnt match-sticks.","lembrando o estreito de belle isle, talvez,
ou algum porto em labrador,
antes de virar professor,
meu tio-avô pintou um quadro, uma vez.
dos dois lados, tendo ao fundo
um céu imóvel e rubicundo,
estendem-se barrancos azul-pálido
com uma altura respeitável,
em cuja base há arcos pequenos
que são grutas naturais
ao nível de uma baía onde as ondas
são exatamente iguais.
nesse assoalho tranquilo
barquinhos negros estão ancorados,
com velas redondas, e mastros
que lembram fósforos queimados.",en_XX,pt_XX,"Lembram-se do <unk> de <unk> <unk> ou de <unk> de <unk> <unk> ou de <unk>
Um porto de <unk> de <unk> <unk> de <unk> <unk> de <unk> <unk> de <unk>
antes de ele ser professor professor de professor antes de ser professor de professor antes
Um <unk> pintado uma grande <unk> <unk> uma grande <unk> <unk> uma grande <unk> <unk>
<unk> por quilómetros de ambos os lados em ambos os lados de <unk> km de
num céu ainda <unk> ainda não há um céu <unk> ainda no céu <unk> ainda
<unk> azuis <unk> são <unk> azuis <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
centenas de metros de <unk> <unk> de <unk> centenas de metros de <unk> <unk> de
<unk> pelas suas bases <unk> por pequenas <unk> <unk> por pequenas <unk> <unk> por pequenas
As entradas para grutas para grutas às grutas para grutas para grutas a grutas para
a correr ao longo do nível de uma baía de uma baía de uma baía
<unk> por <unk> perfeita <unk> por perfeita <unk> por <unk> <unk> por perfeito <unk> por
no meio daquele chão silencioso naquele chão silencioso daquele chão silencioso , naquele chão silencioso
<unk> uma frota de pequenos <unk> pretos <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
como <unk> <unk> <unk> como <unk> <unk> <unk> <unk> <unk> <unk> como <unk> <unk> <unk>"
"and high above them, over the tall cliffs’
semi-translucent ranks,
are scribbled hundreds of fine black birds
hanging in n’s in banks.
one can hear their crying, crying,
the only sound there is
except for occasional sighing
as a large aquatic animal breathes.
in the pink light
the small red sun goes rolling, rolling,
round and round and round at the same height
in perpetual sunset, comprehensive, consoling,
while the ships consider it.
apparently they have reached their destination.
it would be hard to say what brought them there,
commerce or contemplation.","lá no alto, acima dos barrancos
diáfanos e solenes,
centenas de gaivotas garatujam-se,
formando fileiras de enes.
elas pipilam, pipilam,
um som triste, mas simpático,
tendo por contraponto o suspiro
de algum mamífero aquático.
na luz rósea
um solzinho vermelho rola, rola,
dá voltas e voltas, na mesma altura,
num crepúsculo eterno, e consola,
enquanto o perscrutam os navios.
chegaram ao porto, pelo visto. mas não
se sabe o que os trouxe até ali,
se comércio ou contemplação.",en_XX,pt_XX,"e alto acima da <unk> sobre o alto <unk> <unk> sobre a <unk> <unk> .
<unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> centenas de pequenas aves pretas são <unk> centenas de pequenas aves pretas .
<unk> em <unk> em <unk> em <unk> <unk> em <unk> <unk> em <unk> em <unk> em <unk>
Uma pode ouvir os seus <unk> <unk> <unk> .
O único som que existe é que há lá o único som que há o único som
exceto o <unk> ocasional , exceto para <unk> ocasionais , exceto para <unk> ocasionais , exceto para
como um grande animal aquática <unk> como grande <unk> de animais aquáticos como um grande animal aquática
na luz rosa cor-de-rosa na luz rosa .
O Sol vermelho vai <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
redondo e redondo à mesma altura à mesma altura , redonda e redondo à mesma altura ,
<unk> em <unk> <unk> <unk> <unk> <unk> <unk> em <unk> <unk> <unk> <unk> <unk> em <unk> <unk>
enquanto os navios consideram <unk> <unk> enquanto os navios consideram <unk> <unk> enquanto os navios consideram <unk>
Aparentemente , eles chegaram a sua <unk> <unk> , aparentemente , que têm chegado à sua <unk>
Seria difícil dizer o que os trouxe <unk> <unk> para o que os trouxe <unk> <unk> para
O comércio ou a <unk> <unk> ou a <unk> ."
