original_poem,translated_poem
"ça ressemble
à un cartoon

tchouri                         comète                             surveillée


pour le bien de l’humanité                                   accueillir la vie

matière    organique                                            accueillir des
                                       champignons non hallucinogènes

                                       japonais

                                       de préférence

                                       ça fait plus sérieux

                                       en terme de cartoons

                                                                               et de micro tchouri  
              tout est véritablement

              un jeu de billes

              des billes à dimensions variables

              sur un tissu à textures variables

              sur une langue infra-silencieuse

              protection non garantie

              des bulles                         et des micro lacs disséminés

              autour desquels les chaises se renversent
              que puissent se lire des lettres cunéiformes
              au gré des branchages

network de bulles aquatiques

                                   forme solide      gazeuse      apparente   sous
ma bassine d’eau isolée      en apparence
le berceau
d’un réseau
sans fil","It seems like
a cartoon

tchouri                    comet                           under surveillance


for the good of humanity                            welcome life

matter    organic                                         welcome
                                       non-hallucinogenic mushrooms

                                       preferably

                                       Japanese

                                       that seems more serious

                                       as far as cartoons are concerned

                                                                        and micro tchouri  

              everything is in fact

              a game of marbles

              marbles of varied size

              on a cloth of varied textures

              on an infra-silent language

              no protection guaranteed

              from bubbles                        and scattered micro-lakes

              around which chairs are overturned
              that can be read as cuneiforms
              depending on the branches

network of aquatic bubbles

                                   a solid      gaseous         visible           under
my bowl of water seemingly      isolated
the cradle
of a wireless
network"
"Kasala pour mon Kaku II
Mvidi Mukulu, l’Esprit Aîné, avait puni mon Kaku d‘une longévité absurde
Kaku vieillissait, pourrissait mais ne trépassait pas pour autant
il se targuait d‘être né en 1667, en 1756 ou 1786
une fois, il mourut même pendant trente minutes
et ressuscita comme si de rien n’était

protestataire de la première pluie, beau gosse
du haut de ses trois siècles d‘âge
mon Kaku avait le sang frais d‘un jeunot","Kasala for my Kaku II
Mvidi Mukulu, the Elder Spirit, punished my Kaku with an absurdly long life
Kaku grew older, he broke down, but did not pass away for all that
he boasted he had been born in 1667, in 1756 or 1786
once, he even died for thirty minutes
and was raised from the dead as if nothing had happened

protester of the first rain, fine looking fellow
from the summit of his three centuries of age
my Kaku had the quick blood of a youngster"
"1
Je ne me souviens de rien.
Rien.

Il y a un avant, noir, vide, silencieux.
Après il y a ma tante qui me donne de la purée en imitant l’avion avec la cuillère à soupe.
À partir de l’avion, à partir de la purée, tout est net.
Chaque souvenir est là, limpide, pur.
Les odeurs des placards, des gens, de la nourriture.
Les bruits, les chansons, les comptines, les voix, les rires, tout est là.
Les couleurs, les imprimés, les fleurs, les pièces de la maison,
les jouets, le jardin d’enfants, tout.
Mais avant ça, rien.

Tout noir.","1
I can’t remember anything.
Nothing.

There’s a before, dark, empty and silent.
Afterwards there’s my aunt feeding me mashed potatoes and
imitating a plane with the tablespoon.
Then, from the plane, from the mashed potatoes, everything is clear.
Every memory is there, limpid, pure.
The smell of closets, of people, of food.
The sounds, the songs, the nursery rhymes, the voices, the smiles,
everything is there.
The colours, the prints, the flowers, every room of the house, the toys,
the kindergarten, everything.
But before that, nothing.

Just darkness."
"A.
En cette journée lézardée de déceptions où le bleu a quitté la mer pour envahir la colline chaînes blindées dans l’amas minuscule Minuit avorte le jour laissant la Casbah à ses débris. J’en appelle à la mémoire d’Alger de ses comptoirs marins aux chars de l’occupation j’en appelle à Hassiba à Djamila à Didouche et à Boudiaf aux ancêtres et aux amnésiques aux violeurs de rêves et aux traîtres de toujours j’en appelle à chaque goutte versée à chaque humiliation que jaillisse enfin la baie et qu’elle nous habite qu’elle ouvre nos paupières assommées que se réveillent Al Anka et les diwans assiégés que s’ouvrent les seuils de nos maisons et que s’élève le chant nouveau. Que se lève le TGV expresse, qu’il ramène la brise de Tanger et qu’il amorce sa course de Tunis à Alexandrie et de Beyrouth à Istanbul. Que s’ouvre un jour nouveau et que Minuit embaume de jasmin.","A.
On this morning cracked with disappointments when blue has left the sea to invade the hill in a uniformed chain tightening on the diminishing crowds. Midnight aborts the day leaving the Casbah to its rubbish and fragments. I appeal to the memory of Algiers from its seaside bars to the tanks of the occupation, I appeal to Hassiba to Djamila to Didouche and to Boudiaf to the ancestors and to the amnesiacs to the rapists of dreams and to the perpetual traitors I appeal to every drop spilled to every humiliation let the bay gush forth at last and let it inhabit us let it open our senseless eyelids let Al Anka and the besieged diwans awaken let the doorways of our houses open and let a new song arise. Let the TGV Express awaken, let it bring back the breeze from Tanger and let it start a new route from Tunis to Alexandria and from Beirut to Istanbul. Let a new day open and let Midnight be fragrant with jasmine."
"'Le livre du large et du long' (fragment)
De ses deux mains, il prit de la cendre poussiéreuse,
Qu’il versa sur sa tête grise en sanglotant très fort.
  -

Bonjour et salut
Depuis toujours je bougeais pour comprendre
Voici parmi les manières de raconter
Une




J'étais jeune au départ
Je ne connaissais pas ma taille
car je ne connaissais ni bien ni mal ni choses ni rien




Car les serpents n'ont pas la connaissance
De la hauteur de la largeur c'est faux
Car je n’étais pas serpent mais j’aurais
Pu car je remarqu’cent fois +
Mille tout est faux mais vrai






Les serpents mesurent ce qu'ils trouv avec leurs corps c'est leur manière
d'être en vie et ce fût ma manière
voulant comprendre le monde avec mon corps écoutez-moi
J’aimais mon existence
et je m’agenouillais pour ainsi dire devant ce sentiment



Il faudrait le comprendre



J’avais le don de moi sur terre



Suppliant donnant détruisant



rendant ordonnant accourant



rencontrant trainant revenant



servant appelant rentrant
protégeant réglant je charbonnais ma
gueule entendant descendant sonnant



ébranlant courant jaillissant décochant
planant écoutant écrivant calculant
j’en ai vu sautillant déplaçant
titubant caressant bondissant parlant
noyant



j’ai reculé frappé flotté
Je jure mes têtes mes morts



balançant écrasant vissant vissant dans quoi vissant



j’ai beaucoup mythonné

j’ai mythonné les jours

j’ai mythonné le corps

j’ai mythonné moi-même



sage gai triste en colère
m'ennuyant ayant froid ayant peur ayant mal faisant mal
vitement calmement vivement




Je ramassais les os de petites créatures
Mortes je calculais
Les kilomètres parcourus par des insectes
Hérissés de cils courts clairsemés
Dans le pourri indéfiniment r’
Résisteraient les fibres les nervures des feuilles
Réduisant par
Cisaille
les résidus en pate dans leurs petits intestins – ces insectes
Que j’imaginais
Et distribuais mes molécul au hasard par ma langue Que je passais sur
les meubles dans la maison et sur les murs
Les rues les bancs le métro sur les écharp des gens Le peupl
Je voulus me répandre

souvent je téléphonais à mes amis pour leur dire – je n'existe pas
Mes amis répondaient tu n'existes pas
Car je n’avais pas d’amis
Au hasard les voix des numéros disaient –qui êtes-vous
Je répondais – je n'existe pas ils répondaient – oui
Je répondais – et dîtes-mois pourquoi je n'existerais pas
Ils répondaient des paroles que je rayais
Je les rayais et je rayais les feuilles sur les arbr
Que je croisais avec une aiguille
Méchante méchante et je classais mes objets par ordre alphabétiqu et
je les détestais
J
Me roulant
À l'intérieur de me longtemps



et il n’y eût ni quête ni marais ni grain
ni inférieurs ni supérieurs ni sommet
ni capitale ni troupes ni majesté
ni zguègues ni balance ni millions
ni kichta ni bombes ni jardin ni religion ni cause





Pour me calmer
J'imaginais des asticots plus longs que vous et me
Dans les zones des aires de la nature
Plus étendus que mon père et mes soeurs
Ma mère et tous les cousinages des périmètres
Il faut me croire à propos de moi je pensais du vide



La route était dure autour de me
Ma main ne possédait ni bien ni mal ni rien
Chaque matin devenait pire car le matin ne possédait ni rien ni rien



Les dimensions deviennent douloureuses


Ceci blesse
Ceci blesse


Comme rien ne ressembl à rien tout ressemble à tout
Exactement exactement je me le dis
La membrane entre la lumière et l'oeil
Une chose sans forme déformée
Je profite de moi comme une sécurité
Profitant du vocabulaire
Profitant de me comme une sécurité
Profitant de me comme un profit
Soudain les angles furent des angles et les pointes des pointes
Je m’endormis
  ...","Le livre du large et du long (fragment)
He took the powdery ash in both hands,
pouring it over his grey head as he wept.

-

Hello and hi there
I always longed to understand                                                                         
So here amongst the many ways of telling is  
One
I was young to begin with
I didn’t know my size
as I didn’t know right or wrong or anything or nothing
As snakes aren’t aware                                                                                         
That height and width is wrong
As I wasn’t a snake but I could
Have because I notice a hundred times +                                                                    
A thousand everything is wrong but right
Snakes measure whatever they find with their bodies it’s their way of       
being alive and that was my way
wanting to understand the world with my body listen to me
  I loved my existence
and I bowed down so to speak before that feeling
  You must understand
I had the gift of myself on Earth
Begging giving destroying
submitting ordering rushing
finding dragging returning
serving calling coming back
protecting resolving I blackened my                                                           
mouth hearing descending resounding
  shaking running spurting shooting                                                                
gliding listening writing calculating                                                                        
I saw some bouncing shifting
staggering stroking leaping speaking                                                        
drowning
  I retreated struck flustered
I swear on my life my death
swinging crushing screwing screwing in what screwing
  I bullshitted a lot
I bullshitted days
I bullshitted bodies
I bullshitted myself
good joyful sad angry
getting bored being cold being afraid being hurt hurting                
quickly calmly deeply
  I collected the bones of little                                                                       
Dead creatures I calculated
The kilometres covered by insects                                                          
Bristling with short thin lashes                                                                               
In the indefinitely rotten air
The leaf’s fibres its veins will resist
Reduction by 
Shears
the pasty residue in their small intestines – these insects
That I imagined
And randomly disbursed my molecules with my tongue Which I passed over                                                                                                                       the furniture in the house and over the walls
The streets the benches the metro on people’s scarves The people
I wanted to spread myself around
I often called my friends to tell them - I don’t exist                                   
My friends responded you don’t exist  
As I didn’t have any friends
The random voices dialled said – who are you                                               
I replied – I don’t exist they replied – yes
I replied – and tell me why I don’t exist
They replied with the words that I scratched out
I scratched them out and I scratched the leaves onto the trees
That I crossed with a needle
Naughty naughty and I arranged my objects in alphabetical order and              
I hated them
I
Turning myself
Within iself for a long time
and there was no quest or marsh or grain                                                    
no lowers or uppers or summit                                                                       
or capital or troops or majesty
or dicks or account or millions                                                                                           
no coin or bombs or garden or religion or cause
  To calm myself
I imagined maggots longer than you or I                                                          
In the airy parts of nature
Stretchier than my father and my sisters                                                    
My mother and all the distant cousins
Believe me when I say I thought of emptiness
  The road was hard around me
My hand held no right or wrong or anything
Every morning got worse because the morning didn’t hold a thing not a thing
Dimensions become painful
That hurts  
That hurts    
                                                                                                                                     As nothing looks like anything everything looks like everything       
Exactly exactly I tell myself 
The membrane between light and eye
A deformed formless thing
I enjoy myself as a safety
Enjoying vocabulary
Enjoying I as a safety
Enjoying I as an enjoyment
Suddenly angles were angles and points were points                                   
I fell asleep"
"TRAINS
Le paysage défile comme un Jackson Pollock, vaches en pointillés, nuages étirés, taches tournesols et rails déformés. La fenêtre froide se colle à mon oreille et j’entends tatactater la bête humaine.

Tatactatoum, tatactatoum, tatactatoum.

Je ne suis pas Eva Marie Saint, je n’ai ni la mort aux trousses ni les baisers de Cary Grant. Il n’y a derrière la vitre que ces paysages de cartes postales, cette campagne d’avant-guerre, ces empreintes ferroviaires : une vache, un château, une église, un âne, une vieille mobylette ou un train à la retraite, de l’herbe à perte de vue, des champs de coquelicots, un village suspendu, la dame-blanche, un mouton ou peut-être une chèvre, un autre coquelicot, une jupe en corolle, une canette de soda, un plastique, une poubelle, un néon, un flash.

Tatactatoum, tatactatoum, tatactatoum.

Je ne suis pas Celia Johnson dans Brève rencontre à attendre jeudi prochain, jeudi prochain, jeudi prochain, les amours interdites dans un petit café. Il n’y a derrière la glace que d’amers paysages qui se répètent et défilent et reviennent et repassent et tournent et recommencent et les vaches se ressemblent et la neige dissimule les pas des loups, des ogres et des sorcières.

Tatactatoum, tatactatoum, tatactatoum.

Je ne suis pas Marilyn Monroe dans Certains l’aiment chaud. Il n’y a devant mes yeux que d’immenses pâtis, rocailles et herbes folles que les cornes ébahies ruminent méthodiquement.

Tatactatoum, tatactatoum, tatactatoum.

Défilent les kilomètres, le nord est encore loin. Cent-cinq virgule huit, nous arriverons demain.","TRAINS
Scenes unravel like a Jackson Pollock, cow dots, stretched clouds, sunflower patches and deformed tracks. The cold window sticks to my ear and I can hear the tactactac of the human beast.

Tatactatum, tatactatum, tatactatum.

I am not Eva Marie Saint, I am not going North by Northwest and Cary Grant is not kissing me. All I can see behind these glass panes are picture postcard scenes, pre-war countryside, railway prints: a cow, a castle, a church, a donkey, an old motorcycle or a disused train, grass as far as the eye can see, poppy fields, a village on the hills, the White Lady, a sheep or maybe a goat, a single poppy, a flared skirt, a can of a fizzy drink, a piece of plastic, a bin, a neon light, a flash.

Tatactatum, tatactatum, tatactatum.

I am not Celia Johnson in Brief Encounter waiting for next Thursday, next Thursday, next Thursday’s forbidden loves in a little café. All I can see behind this window pane are bitter landscapes going round and round and on and on and cows look like cows and the snow hides every trace of wolf, ogre and witch.

Tatactatum, tatactatum, tatactatum.

I am not Marilyn Monroe in Some Like It Hot. All I can see are immense mounds, rock gardens and weeds which astonished horns methodically ruminate.

Tatactatum, tatactatum, tatactatum.

The kilometres add up, the North is still a long way away. A hundred and five point eight, we’ll get there tomorrow."
"Tu n’as pas abandonné la maison
c’est la maison qui t’a abandonné

ton pays
les bâtisses de ton enfance
ton village
ce bleu particulier
aux dernières heures du printemps
la terre de tes ancêtres
si tu t’en souviens
les cailloux placés là
qu’on replace
sans trop savoir pourquoi
et qui apaisent
qui rassurent nos regards pressés

cet arbre solitaire
au sommet de la colline
que tu n’as pas foulée de tes pieds

 

***

 

Tu as habité le sol
sous tes orteils

nul ne prévoit
quand commence le voyage
quand il est temps de quitter
la colline
de cheminer
vers la montagne des autres

nul ne prévoit
où se dessinent les lignes
qui te séparent
de la géographie des autres
de leurs ombres

tu as habité
de tout ton être
la ligne
à traverser
  ***

 

Quand on cherche
c’est avec les mains
qu’on observe
avec le corps ouvert
abandonné
à la montagne

c’est dans le mouvement
que s’enracine
la mémoire
dans le mouvement
que s’habite la courbe

ta maison abandonne
qui l’abandonne
s’émiette sur qui veut
rouiller son souffle

ta maison c’est là où tu transportes
ton enfance.","‘You didn’t leave home’
You didn’t leave home
your home left you
 
your country
the buildings of your childhood
your village
that special blue
of the last hours of spring
land of your ancestors
if you remembered those
pebbles placed just so
and put back
without quite knowing why
that assuage
that reassure our hurried glances
 
that solitary tree
on a hilltop
where you never set foot

 

***

 

You inhabited the ground
under your toes
 
no one foresees
when the journey will begin
when it’s time to leave
the hill
make your way
toward their mountain, the others
 
no one foresees
where the lines will be drawn
that separate you
from the others’ geography
from their shadows
 
you inhabited
with all your being
the line
to be crossed

 

***
 
Whoever searches
observes
with his hands
with the body open
and abandoned
on the mountain
 
it’s in movement
that memory
takes root
in movement
that the curve is at home
 
your house abandons
whoever abandoned it
crumbles on whoever
would rust its breath
 
your house is wherever you carry
your childhood"
"LA POÉSIE NE SERT À RIEN
Quand sonne le réveil, strident, brutal
et qu’il te faut bouger ton corps et ton courage du lit à la douche, au café insipide,
au garage, à la route, au bureau inutile
La poésie ne sert à rien . . .

Quand tu déneiges ton pallier,
quand on te grille la priorité, quand on te raye ta voiture,
quand tu renverses ton café quand tu oublies, quand tu rates,
quand pressent les réunions, quand tombent les deadlines,
quand tu oublies de passer prendre le pain et les enfants
La poésie ne sert à rien?

Quand partent les absents
de nos mémoires vides, de nos images effacées par la distance, le temps et les soucis
Quand leurs visages deviennent flous vagues, pâles ou imprécis
La poésie, sert-elle à quelque chose?

Quand crache la télé, du monde les infamies les guerres, les morts, les dictatures, les peurs, la faim, la haine, le désespoir, la rage, l’horreur, la peine et les tortures

La poésie sert à quelque chose
Quand sonne le réveil, sifflant, jovial
et que tu te sais vivant, présent, debout
dans ton espace peuplé de gens, de sons, de souvenirs
La poésie sert

À savourer ton café, à te foutre
des dates butoir, médiocrités et autres impératifs
Elle t’entoure dans tes rires, tes pleurs et tes orgasmes

La poésie est un orgasme!","POETRY IS USELESS
When the alarm clock rings, strident, brutal
you should move your body and your courage out of bed to the shower,
to the tasteless coffee, to the garage, to the road, to the boring office
Poetry is useless . . .

When you clear snow from your doorstep,
when someone ignores your right of way,
when someone scratches your car,
when you spill your coffee, when you forget, when you miss,
when meetings run, when deadlines fall, when you forget to take home
bread and children
Is poetry useless?

When those absent leave our memories,
cleaned from pictures, deleted by distances, weather and worries
When their faces become blurry,
vague, pale or imprecise
Is poetry useful?

When TV screams out, of the world infamies, wars, death, dictatorships,
fears, hunger, hatred, despair, fury, horror, sorrow and tortures

Poetry is useful
When the alarm clock rings, whistling, jovial
and you know you are alive, present, standing-up
in your living space full of people, sounds and memories
Poetry helps

To enjoy your coffee, not to care
about deadlines, mediocrities and other requirements
It surrounds you when you laugh, when you cry, when you come

Poetry is an orgasm!"
"ce que j’aime de Jésus
ce sont ses pieds délavés
et ceux de ses compagnons
- treize auréoles -
sur les icones abandonnées
du petit mont Athos bulgare
je ne parle pas du figuier
- le figuier que Jésus illumine –
ni de la roche en cascade
- ça ressemble plus au grand Canyon
qu’à la Galilée –
ces pieds finement délavés de Jésus
me font penser aux peintures rupestres
du Tassili
il n’y a aucun pied aussi finement
tracé sur les roches du Hoggar
ce sont des silhouettes longilignes
suspendues
exactement comme le Christ
suspendues figées et dynamiques à la fois
c’est un éclair
une allusion dénuée de logique
en apparence
on trouve ce qu’on trouve
surtout si c’est autre chose qu’on observe
ce que j’aime de l’astrophysicien
ce sont ses pressentiments
quand il dit peut-être
quand il dit que la statistique
a altéré la physique
l’a figée
vidée
désincarnée
quand il dit que la matière
n’est pas matière
que le temps et l’espace
sont hérésie
que nous autres humains
nous prenons trop au sérieux
à nous croire fragiles
à nous inventer puissants
que nous inventons des repères
que nous oublions les avoir inventés
qu’il faut lever le contrôle
quand il dit peut-être
rendre son âme à ton doute","what I like about Jesus
what I like about Jesus
are his faded feet
and those of his companions
-- thirteen haloes –
on the abandoned icons
of the small Bulgarian Mount Athos
I’m not talking about the fig tree
-- the fig tree Jesus illuminates—
nor of the cascade of rocks
-- more like the Grand Canyon than Galilee—
Jesus’ delicately faded feet
made me think of the rock paintings
of Tassili
there is no foot as finely
traced on Hoggar’s boulders
they are long slender figures
suspended
exactly like the Christ
suspended fixed and dynamic at once
it’s a lightning bolt
an allusion stripped of logic
or so it seems
you find what you find
above all when it’s different from what you see
what I like about the astrophysicist
are his premonitions
when he says perhaps
when he says that statistics
have altered physics
fixed it in place
emptied
disembodied
when he says that matter
isn’t matter
that time and space
are heresy
that we humans
take ourselves too seriously
thinking ourselves fragile
inventing ourselves powerful
that we invent landmarks
that we forget having invented them
that we must relinquish control
when he says perhaps
give your doubt back its soul"
"il me semble difficile
qu’un mot-clé
puisse ouvrir quoi que ce soit
qui en vaille la peine
            les mots n’ouvrent rien
véritablement
la fonction paralyse le mot
j’assume         la statistique
paralyse
tout logiciel
par saturation","it seems unlikely to me
It seems unlikely to me
that a key-word
would open anything whatever
worth the bother
                          words don’t open anything
actually
function paralyses words
I acknowledge               the statistic
paralyses
all the software
by saturation"
