original_poem,translated_poem
" Land lies in water; it is shadowed green.
 Shadows, or are they shallows, at its edges
 showing the line of long sea-weeded ledges
 where weeds hang to the simple blue from green.
 Or does the land lean down to lift the sea from under,
 drawing it unperturbed around itself?
 Along the fine tan sandy shelf
 is the land tugging at the sea from under?
 The shadow of Newfoundland lies flat and still.
 Labrador’s yellow, where the moony Eskimo
 has oiled it. We can stroke these lovely bays,
 under a glass as if they were expected to blossom,
 or as if to provide a clean cage for invisible fish.
 The names of seashore towns run out to sea,
 the names of cities cross the neighboring mountains
 — the printer here experiencing the same excitement
 as when emotion too far exceeds its cause.
 These peninsulas take the water between thumb and finger
 like women feeling for the smoothness of yard-goods.
 Mapped waters are more quiet than the land is,
 lending the land their waves’ own corfirmation:
 and Norway’s hare runs south in agitation,
 profiles investigate the sea, where land is.
 Are they assigned, or can the countries pick their colors?
— What suits the character or the native waters best.
 Topography displays no favorites; North’s as near as West.
 More delicate than the historians’ are the map-makers’ colors.","Terra entre águas, sombreada de verde.
 Sombras, talvez rasos, lhe traçam o contorno,
 uma linha de recifes, algas como adorno,
 riscando o azul singelo com seu verde.
 Ou a terra avança sobre o mar e o levanta
 e abarca, sem bulir suas águas lentas?
 Ao longo das praias pardacentas
 será que a terra puxa o mar e o levanta?
 A sombra da Terra Nova jaz imóvel.
 O Labrador é amarelo, onde o esquimó sonhador
 o untou de óleo. Afagamos essas belas baías,
 em vitrines, como se fossem florir, ou como se
 para servir de aquário a peixes invisíveis.
 Os nomes dos portos se espraiam pelo mar,
 os nomes das cidades sobem as serras vizinhas
 — aqui o impressor experimentou um sentimento semelhante
 ao da emoção ultrapassando demais a sua causa.
 As penínsulas pegam a água entre polegar e indicador
 como mulheres apalpando pano antes de comprar.
 As águas mapeadas são mais tranquilas que a terra,
 e lhe emprestam sua forma ondulada:
 a lebre da Noruega corre para o sul, afobada,
 perfis investigam o mar, onde há terra.
 É compulsório, ou os países escolhem as suas cores?
— As mais condizentes com a nação ou as águas nacionais.
 Topografia é imparcial; norte e oeste são iguais.
 Mais sutis que as do historiador são do cartógrafo as cores."
"We’d rather have the iceberg than the ship,
 although it meant the end of travel.
 Although it stood stock-still like cloudy rock
 and all the sea were moving marble.
 We’d rather have the iceberg than the ship;
 we’d rather own this breathing plain of snow
 though the ship’s sails were laid upon the sea
 as the snow lies undissolved upon the water.
 O solemn, floating field,
 are you aware an iceberg takes repose
 with you, and when it wakes may pasture on your snows?","O iceberg nos atrai mais que o navio,
 mesmo acabando com a viagem.
 Mesmo pairando imóvel, nuvem pétrea,
 e o mar um mármore revolto.
 O iceberg nos atrai mais que o navio:
 queremos esse chão vivo de neve,
 mesmo com as velas do navio tombadas
 qual neve indissoluta sobre a água.
 Ó calmo campo flutuante,
 sabes que um iceberg dorme em ti, e em breve
 vai despertar e talvez pastar na tua neve?"
 "This is a scene a sailor’d give his eyes for.
 The ship’s ignored. The iceberg rises
 and sinks again; its glassy pinnacles
 correct elliptics in the sky.
 This is a scene where he who treads the boards
 is artlessly rhetorical. The curtain
 is light enough to rise on finest ropes
 that airy twists of snow provide.
 The wits of these white peaks
 spar with the sun. Its weight the iceberg dares
 upon a shifting stage and stands and stares."," Esta cena um marujo daria os olhos
 pra ver. Esquece-se o navio. O iceberg
 sobe e desce; seus píncaros de vidro
 corrigem elípticas no céu.
 Este cenário empresta a quem o pisa
 uma retórica fácil. O pano leve
 é levantado por cordas finíssimas
 de aéreas espirais de neve.
 Duelo de argúcia entre as alvas agulhas
 e o sol. O seu peso o iceberg enfrenta
 no palco instável e incerto onde se assenta."
"This iceberg cuts its facets from within.
 Like jewelry from a grave
it saves itself perpetually and adorns
 only itself, perhaps the snows
 which so surprise us lying on the sea.
 Good-bye, we say, good-bye, the ship steers off
 where waves give in to one another’s waves
 and clouds run in a warmer sky.
 Icebergs behoove the soul
 (both being self-made from elements least visible)
 to see them so: fleshed, fair, erected indivisible."," É por dentro que o iceberg se faceta.
 Tal como joias numa tumba
ele se salva para sempre, e adorna
 só a si, talvez também as neves
 que nos assombram tanto sobre o mar.
 Adeus, adeus, dizemos, e o navio
 segue viagem, e as ondas se sucedem,
 e as nuvens buscam um céu mais quente.
 O iceberg seduz a alma
 (pois os dois se inventam do quase invisível)
 a vê-lo assim: concreto, ereto, indivisível."
"Alone on the railroad track
 I walked with pounding heart.
 The ties were too close together
 or maybe too far apart.
 The scenery was impoverished:
 scrub-pine and oak; beyond
 its mingled gray-green foliage
 I saw the little pond
 where the dirty hermit lives,
 lie like an old tear
 holding onto its injuries
 lucidly year after year.
 The hermit shot off his shot-gun
 and the tree by his cabin shook.
 Over the pond went a ripple.
 The pet hen went chook-chook.
 “Love should be put into action!”
 screamed the old hermit.
 Across the pond an echo
 tried and tried to confirm it.","Sozinha nos trilhos eu ia,
 coração aos saltos no peito.
 O espaço entre os dormentes
 era excessivo, ou muito estreito.
 Paisagem empobrecida:
 carvalhos, pinheiros franzinos;
 e além da folhagem cinzenta
 vi luzir ao longe o laguinho
 onde vive o eremita sujo,
 como uma lágrima translúcida
 a conter seus sofrimentos
 ao longo dos anos, lúcida.
 O eremita deu um tiro
 e uma árvore balançou.
 O laguinho estremeceu.
 Sua galinha cacarejou.
 Bradou o velho eremita:
 “Amor tem que ser posto em prática!”
 Ao longe, um eco esboçou
 sua adesão, não muito enfática."
" Which eye’s his eye?
 Which limb lies
 next the mirror?
 For neither is clearer
 nor a different color
 than the other,
 nor meets a stranger
 in this arrangement
 of leg and leg and
 arm and so on.
 To his mind
 it’s the indication
 of a mirrored reflection
 somewhere along the line
 of what we call the spine.","Qual olho é o dele?
 Qual membro é real
 e qual está no espelho?
 A cor é igual
 à esquerda e à direita,
 e ninguém suspeita
 que esta ou aquela
 perna, ou braço, seja
 verdade ou impostura
 nessa estranha estrutura.
 A seu ver,
 isso é prova garantida
 de uma imagem refletida
 ao longo desta linha
 que chamamos de espinha."
"He felt in modesty
 his person was
 half looking-glass,
 for why should he
 be doubled?
 The glass must stretch
 down his middle,
 or rather down the edge.
 But he’s in doubt
as to which side’s in or out
 of the mirror.
 There’s little margin for error,
 but there’s no proof, either.
 And if half his head’s reflected,
 thought, he thinks, might be affected.","Modesto, sentia
 que sua pessoa
 era metade espelho:
 pois duplicar-se seria
 um total destrambelho.
 O vidro se prolonga
 por sua mediana,
 ou melhor, sua borda.
 Mas ele não sabe direito
o que está dentro ou fora
 da imagem refletida.
 Não há muita margem de erro,
 mas provar é impossível.
 E se meio cérebro é reflexo
 seu pensamento terá nexo?"
"But he’s resigned
 to such economical design.
 If the glass slips
 he’s in a fix —
 only one leg etc. But
 while it stays put
 he can walk and run
 and his hands can clasp one
 another. The uncertainty
 he says he
 finds exhilarating. He loves
 that sense of constant re-adjustment.
 He wishes to be quoted as saying at present:
 “Half is enough.”"," Mas ele aceita sem problema
 a parcimônia do esquema.
 Se o espelho escorregar
 vai ser de amargar —
 só uma perna etc. Mas por ora
 está apoiado na escora,
 e ele anda e corre e pega a mão
 com a outra. A sensação
 de incerteza o deixa feliz,
 ele diz.
 Afirma também que gosta
 de estar sempre a se reajustar.
 No momento, eis o que tem a declarar:
 “Metade basta.”"
"Remembering the Strait of Belle Isle or
 some northerly harbor of Labrador,
 before he became a schoolteacher
 a great-uncle painted a big picture.
 Receding for miles on either side
 into a flushed, still sky
 are overhanging pale blue cliffs
 hundreds of feet high,
 their bases fretted by little arches,
 the entrances to caves
 running in along the level of a bay
 masked by perfect waves.
 On the middle of that quiet floor
 sits a fleet of small black ships,
 square-rigged, sails furled, motionless,
 their spars like burnt match-sticks.","Lembrando o estreito de Belle Isle, talvez,
 ou algum porto em Labrador,
 antes de virar professor,
 meu tio-avô pintou um quadro, uma vez.
 Dos dois lados, tendo ao fundo
 um céu imóvel e rubicundo,
 estendem-se barrancos azul-pálido
 com uma altura respeitável,
 em cuja base há arcos pequenos
 que são grutas naturais
 ao nível de uma baía onde as ondas
 são exatamente iguais.
 Nesse assoalho tranquilo
 barquinhos negros estão ancorados,
 com velas redondas, e mastros
 que lembram fósforos queimados."
" And high above them, over the tall cliffs’
 semi-translucent ranks,
 are scribbled hundreds of fine black birds
 hanging in n’s in banks.
 One can hear their crying, crying,
 the only sound there is
except for occasional sighing
 as a large aquatic animal breathes.
 In the pink light
 the small red sun goes rolling, rolling,
 round and round and round at the same height
 in perpetual sunset, comprehensive, consoling,
 while the ships consider it.
 Apparently they have reached their destination.
 It would be hard to say what brought them there,
 commerce or contemplation."," Lá no alto, acima dos barrancos
 diáfanos e solenes,
 centenas de gaivotas garatujam-se,
 formando fileiras de enes.
 Elas pipilam, pipilam,
 um som triste, mas simpático,
tendo por contraponto o suspiro
 de algum mamífero aquático.
 Na luz rósea
 um solzinho vermelho rola, rola,
 dá voltas e voltas, na mesma altura,
 num crepúsculo eterno, e consola,
 enquanto o perscrutam os navios.
 Chegaram ao porto, pelo visto. Mas não
 se sabe o que os trouxe até ali,
 se comércio ou contemplação."
"Here, above,
 cracks in the buildings are filled with battered moonlight.
 The whole shadow of Man is only as big as his hat.
 It lies at his feet like a circle for a doll to stand on,
 and he makes an inverted pin, the point magnetized to the moon.
 He does not see the moon; he observes only her vast properties,
 feeling the queer light on his hands, neither warm nor cold,
 of a temperature impossible to record in thermometers."," Aqui no alto
 o luar amassado penetra nas fendas dos prédios.
 A sombra do Homem, pequena como o seu chapéu,
 jaz a seus pés, um disco onde cabe um boneco,
 e ele é um alfinete com a ponta imantada para a lua.
 Ele não vê a lua: observa suas vastas qualidades,
 sente nas mãos a luz estranha, nem quente nem fria,
 de uma temperatura que os termômetros não medem."
