original_poem,translated_poem
"O mostrengo
O mostrengo que está no fim do mar
Na noite de breu ergueu-se a voar;
À roda da nau voou três vezes,
Voou três vezes a chiar,
E disse: Quem é que ousou entrar
Nas minhas cavernas que não desvendo,
Meus tectos negros do fim do mundo?
E o homem do leme disse
tremendo:
El-rei D. João Segundo!

De quem são as velas onde me roço?
De quem as quilhas que vejo e ouço?
Disse o mostrengo 
e rodou três vezes,
Três vezes rodou imundo e grosso.
Quem vem poder o que só eu posso,
Que moro onde nunca ninguém me visse
E escorro os medos do mar sem fundo?
E o homem do leme tremeu
e disse:
El-rei D. João Segundo!

Três vezes do leme as mãos ergueu,
Três vezes ao leme as reprendeu,
E disse no fim de tremer três vezes:
Aqui ao leme sou mais do que eu:
Sou um povo que quer o mar que é teu;
E mais que o mostrengo 
que me a alma teme
E roda nas trevas do fim do mundo,
Manda a vontade 
que me ata ao leme,
D' El-rei D. João Segundo!", "L 'horrible monstre
Le monstre qui est au bout de l’océan
Une nuit de brai se mit à voler;
Autour du navire il vola trois fois,
Trois fois il vola en hurlant
et il dit: Qui a osé entrer
Dans mes cavernes que je ne dévoile pas
Mes toits noirs du bout du monde?
Et l’homme du gouvernail a dit 
en tremblant:
Le roi Jean le Second

A qui sont ces voiles que je frôle
A qui les quilles que je vois et entends?
A dit le monstre
et il tourna trois fois
Trois fois il tourna
hideux et gras.
Qui a le pouvoir qui n’est qu’à moi
Moi qui habite où personne ne me voit
Et je distille les peurs de la mer sans fond
Et l’homme du gouvernail trembla
et dit:
Le roi Jean le Second!

Trois fois du gouvernail les mains il leva
Trois fois sur le gouvernail il les remit
Et enfin tremblant trois fois il dit
Ici au gouvernail je suis plus que moi
Je suis un peuple qui veut la mer qui est à toi
Et plus que le monstre que mon âme craint
Et qui tourne dans les ténèbres du bout du monde,
Commande la volonté qui m’attache au gouvernail
Qui est celle du roi Jean le Second"
"FRAGMENTO DE TEMPO
Enquanto lá fora estoura
o sol do meio-dia,
entre as paredes antigas
o tempo desfia sombrio
e lentamente
o seu rosário de horas.

O tempo descansa a cabeça
sobre almofadas de cetim branco
ou de veludo bordado.

O tempo sorri nos móveis enfeitados
com paninhos de organdi
debruados com perlé dourado.

Há os tempos que se escondem
nas gavetas misteriosas e secretas;
os que cochilam em poltronas de palhinha,
vigiados por retratos redondos na parede.

Tempos que se diluem na frágil linha
traçada entre o passado e o presente,
que vivem nos sonhos
e dormem nas lembranças

enquanto lá fora estoura
o sol do meio-dia.", "FRAGMENT DU TEMPS
Alors qu’éclate dehors
le soleil de midi,
entre les vieux murs
le temps egrène obscur et lentement
son chapelet des heures.
Le temps repose sa tête
sur des coussins de satin blanc
ou de velours brodé.

Le temps sourit dans le mobilier garni
de napperons organdi
ourlés de perlé doré.

Il y a les temps qui se cachent
dans des tiroirs mystérieux et secrets;
ceux qui sommeillent dans des fauteuils paillés,
surveillés par les portraits ronds du mur.

Les temps qui se diluent dans la ligne fragile
tracée entre le passé et le présent,
qui vivent dans les rêves
et dorment dans les pensées

alors qu’éclate dehors
le soleil de midi. "
"Mar Português
Ó mar salgado, quanto do teu sal
São lágrimas de Portugal!
Por te cruzarmos, quantas mães choraram,
Quantos filhos em vão rezaram!
Quantas noivas ficaram por casar
Para que fosses nosso, ó mar!

Valeu a pena? Tudo vale a pena
Se a alma não é pequena.
Quem quer passar além do Bojador
Tem que passar além da dor.
Deus ao mar o perigo e o abismo deu,
Mas nele é que espelhou o céu.","Mer du Portugal
Oh mer salée, dans ton sel
Combien de larmes du Portugal!
Parce nous t’avons sillonnée, combien de mères ont pleuré,
Combien d’enfants ont en vain prié!
Combien de fiancées n’ont pu se marier
Pour que tu sois à nous, oh mer!

Cela a-t-il valu la peine? Tout vaut la peine
Si l’esprit n’est pas mesquin.
Qui veut aller au-delà du Bojador
Doit dépasser la douleur.
C’est à la mer que Dieu a donné le péril et l’abîme,
Mais c’est sur elle qu’il fait resplendir le ciel."
"Antes que Seja Tarde
Amigo, 
tu que choras uma angústia qualquer 
e falas de coisas mansas como o luar 
e paradas 
como as águas de um lago adormecido, 
acorda! 
Deixa de vez 
as margens do regato solitário 
onde te miras 
como se fosses a tua namorada 
Abandona o jardim sem flores 
desse país inventado 
onde tu és o único habitante 
Deixa os desejos sem rumo 
e esse ar de renúncia 
às coisas do mundo. 
Acorda, amigo, 
liberta-te dessa paz podre de milagre 
que existe 
apenas na tua imaginação 
Abre os olhos e olha, 
abre os braços e luta! 
Amigo, 
antes da morte vir 
nasce de vez para a vida.","Avant qu’il ne soit trop tard
Mon ami,
 toi qui pleures sur une quelconque angoisse
 et qui parles de choses douces comme le clair de lune
 et immobiles
comme les eaux d’un lac endormi,
réveille-toi!
Laisse une fois pour toutes
 les rives du ruisseau solitaire
 où tu te contemples
 comme si tu étais ta propre fiancée.
 Abandonne le jardin sans fleurs
 de ce pays inventé
 où tu est le seul habitant.
 Laisse les désirs sans orientation
 de bateau à la dérive
et cet air de qui renonce
 à toutes les choses du monde.
 Réveille-toi mon ami
 libère-toi de cette paix pourrie
 qui n’existe
 que dans ton imagination.
 Ouvre les yeux et regarde,
 ouvre les bras e lutte!
Mon ami,
 avant que la mort arrive
 renaît  pour toujours à la vie."
"O Teu Retrato
Deus fez a noite com o teu olhar,
Deus fez as ondas com os teus cabelos;
Com a tua coragem fez castelos
Que pôs, como defesa, à beira-mar.

Com um sorriso teu, fez o luar
(Que é sorriso de noite, ao viandante)
E eu que andava pelo mundo, errante,
Já não ando perdido em alto-mar!

Do céu de Portugal fez a tua alma!
E ao ver-te sempre assim, tão pura e calma,
Da minha Noite, eu fiz a Claridade!

Ó meu anjo de luz e de esperança,
Será em ti afinal que descansa
O triste fim da minha mocidade!","Ton Portrait
Dieu a fait la nuit avec ton regard,
Dieu a fait les vagues avec tes cheveux;
Avec ton courage il a fait des châteaux
Qu’il a posé, en défense, au bord de la mer.

Avec un de tes sourires, il a fait le clair de lune
(Qui est un sourire de nuit, pour le voyageur)
Et moi qui parcourais le monde, en errant,
Je ne me retrouve plus perdu en haute mer!

Avec le ciel du Portugal il a fait ton âme
Et en te voyant toujours ainsi, si pure et calme,
De ma Nuit, j’en ai fait la Clarté!

Oh mon ange de lumière et d’espoir,
Serait-ce en toi que, en fin de compte, repose
La triste fin de ma jeunesse!"
"Se tu viesses ver-me...

Se tu viesses ver-me hoje à tardinha,
A essa hora dos mágicos cansaços,
Quando a noite de manso se avizinha,
E me prendesses toda nos teus braços...

Quando me lembra: esse sabor que tinha
A tua boca... o eco dos teus passos....
O teu riso de fonte... os teus abraços...
Os teus beijos... a tua mão na minha...

Se tu viesses quando, linda e louca,
Traça as linhas dulcíssimas dum beijo
E é de seda vermelha e canta e ri

E é como um cravo ao sol a minha boca...
Quando os olhos se me cerram de desejo...
E os meus braços se estendem para ti...","Si tu venais me voir...
 

Si tu venais me voir aujourd'hui le soir,

Á l'heure des fatigues magiques,

Quand la nuit tout doucement s'approche,

Et si tu me serrais dans tes bras...
 

Lorsque je me rapelle: cette saveur qu'avait

Ta bouche... l'écho de tes pas...

Ton rire de source... tes étreintes...

Tes baisers... et ta main dans la mienne...
 

Si tu venais quand, belle et folle,

Dessinant les lignes très douces d'un baiser

De soie vermeille, en chantant et en riant
 

Ma bouche est comme un oeillet au soleil...

Lorsque mes yeux se ferment de désir ...
 
Et mes bras se tendent vers toi..."
"Amar
Eu quero amar, amar perdidamente!
Amar só por amar: aqui... além...
Mais Este e Aquele, o Outro e toda a gente...
Amar! Amar! E não amar ninguém!
Recordar? Esquecer? Indiferente!
Prender ou desprender? É mal? É bem?
Quem disser que se pode amar alguém
Durante a vida inteira é porque mente!

Há uma primavera em cada vida:
É preciso cantá-la assim florida,
Pois se Deus nos deu voz, foi pra cantar!

E se um dia hei-de ser pó, cinza e nada
Que seja a minha noite uma alvorada,
Que me saiba perder ... pra me encontrar..","Aimer
Je veux aimer, aimer éperdument!
Aimer juste pour aimer: ici... lá-bas...
Et celui-ci e celui-là, l’autre et tout le monde...
Aimer! Aimer! Et n’aimer personne!

Me rappeler? Oublier? Indifférente!
M’attacher ou delaisser? Est-ce mal? Est-ce bien?
Si quelqu’un dit qu’on peut aimer quelqu’un
Pendant toute une vie c’est qu’il ment!

Il y a un printemps en chaque vie:
Il faut la chanter ainsi fleurie,
Car si Dieu nous a donné la voix, c’est pour chanter!

Et si un jour je serai poussière, cendre et plus rien
Que ma nuit soit une aurore,
Que je sache me perdre ... pour me retrouver..."

"As duas flores
São duas flores unidas
São duas rosas nascidas
Talvez do mesmo arrebol,
Vivendo,no mesmo galho,
Da mesma gota de orvalho,
Do mesmo raio de sol.
Unidas, bem como as penas
das duas asas pequenas
De um passarinho do céu...
Como um casal de rolinhas,
Como a tribo de andorinhas
Da tarde no frouxo véu.
Unidas, bem como os prantos,
Que em parelha descem tantos
Das profundezas do olhar...
Como o suspiro e o desgosto,
Como as covinhas do rosto,
Como as estrelas do mar.
Unidas... Ai quem pudera
Numa eterna primavera
Viver, qual vive esta flor.
Juntar as rosas da vida
Na rama verde e florida,
Na verde rama do amor!
","Les deux fleurs
Ce sont deux fleurs unies
Ce sont deux roses nées
Peut-être du même rougeoyant
Sur la même branche, vivant,
De la même goutte de rosée,
Du même rayon de soleil.
Unies, aussi comme les plumes
des deux petites ailes
D’un oiseau du ciel...
Comme un couple de tourterelles
Comme la tribu d’hirondelles
Du soir dans le voile relâché.
Unies, aussi comme les sanglots,
Qui par paires descendent tant
Des profondeurs du regard....
Comme le soupir et le chagrin,
Comme les petits creux des joues,
Comme les étoiles de mer.
Unies... Heureux celui qui pourrait
Dans un éternel printemps
Vivre, comme cette fleur.
Assembler les roses de la vie
Sur le feuillage vert et fleuri
Le vert feuillage de l’amour!"

