original_poem,translated_poem
"UMA CANÇÃO PÓSTUMA PARA PAUL CELAN
Onde vieres também tu a sussurrar nas valas, nem que faminta esteja a tua voz
e se teus olhos os vir de madrugada, perdidos pelos campos, em sítios que estremecem — eu regresso — «eu
até nas ondas do meio-dia, na linha calma das cerejas, se te vejo, Margarete — eu « escureço — «e escureço
como o cabelo com o tom escuro dos violinos me escurece, como
escurece o vento nos bosques frios em que morremos, escurecem as alamedas
escurece o leite negro que bebemos e bebemos.
 
Onde vieres também tu pelo adordo sublime do infortúnio, nem que franzido seja o teu sangue
e se teus lábios os vir ao entardecer, à hora mágica, lendo os poemas da Galícia — eu regresso — «eu
até nos combóios que cavam um túmulo pelos ares, se te vejo, Sulamith — eu «escureço — «e escureço
como o entardecer nas horas mais pequenas me escurece, como
escurecem as rugas pelos rostos, escurecem os poemas
escurece o leite negro que bebemos e bebemos.","A POSTHUMOUS SONG FOR PAUL CELAN
Where you too will come sighing in the ditches, even if yours is a famished voice
and if I see your eyes at dawn, lost over the fields, in shuddering places — I will return — «I
even on the waves of midday, along the contour of a cherry, if I see you, Margarete — I « darken — «and darken
as the hair of dark-coloured violins darkens me, as
the wind darkens in the cold woods where we die, the alleys darken
the black milk we drink and drink darkens.
 
Whence you too will appear with the sublime finery of misfortune, even if your blood will curdle
and if in the evening, at the magic hour, I can glimpse your eyes reading Galicia’s poems — I will return — «I
even on the trains digging a tunnel through the air, if I see you, Sulamith — I «darken — «and I darken
as the evening  darkens me in the smaller hours, as
lines darken on faces, poems darken
as darkens the black milk we drink and drink."
"CABEÇA, TRONCO E MEMBROS
A camisa branca estendida na corda
do quintal é uma nuvem. Há pouco,
quando a fui pendurar, ainda chovia.

Agora, que o vento sopra forte dentro
dela, vejo de repente o teu tronco a
vesti-la. Porém, se estendo os braços
para ele, só encontro o vazio. Triste,

tento dizer-me que é apenas uma
camisa; mas, sem querer, volto

para casa com a nuvem na cabeça.","HEAD, TORSO, AND LIMBS
The white shirt hanging on the clothesline
in the backyard is a cloud. Earlier,
when I went to hang it, it was still raining.

Now, with the wind billowing inside
of it, I suddenly see your torso
underneath. But if I stretch my arms 
toward it, all I find is emptiness. Distressed,

I try to tell myself it’s only a
shirt; but, without meaning to, I go

back inside with the cloud in my head."
"CARTA AO PAI
Agora que o senhor
mais assemelha pedaço
de carne com dois olhos
dirigidos ao teto escuro
no leito em que provável
só não há-de morrer só
porque nem a própria
saliva poderá engolir
por si na companhia
somente desta sonda
que o alimenta
me pergunto se ainda
em validade a proibição
da mãe em confessar
ao senhor os hábitos
amorosos das mucosas
que são minhas
e se deveras me amaria
tanto menos soubesse
quanta fricção já tiveram
que não lhes cabia
biológica ou religiosa
-mente e se também
pediria para sua filhoa
a morte que desejou
a tantos de minha laia
quando surgiam na tela
da Glboo da Record
da Manchete do SBT
que sempre constituíram
seu cordão umbilical
com a tradição
e se deveras faria
sobrevir a eles
grande destruição
pela violência
com que urrava
seus xingamentos
típicos de macho
nascido no interior
desse pais de machos
interiores e quebrados
em seus orgulhos falhos
de crer que o pai
é o que abarrota
geladeiras e não deixa
que falte à mesa
o alimento que nutre
as mesmas mucosas
em que corre
o seu sangre
mas não seu Deus
e ora neste leito partido
o cérebro em veias
como riachos insistentes
em correr
fora das margens
se o senhor
soubesse o dolo
com que manchei
a mesa
de todos os patriarcas
ainda pergunto-me
se me receberia
com a mansidão
que aceita na testa
o beijo desta sua filhoa
que nada mais é
que a sua imagem
e semelhança invertidas
tal espelho
que refletisse opostos
de gênero e religião
ou o desenho
animado na infância
de uma Sala de Justiça
onde numa tela
podia-se observar
um mundo ao avesso
e se o Pai e o pai
odeiam deveras
o gerado nas normas
da Biologia e Religião
mais tarde porém geridos
na transgressão das leis
que o Pai e o pai
impõem-nos na ciência
de sermos todos falhos
nessa Terra onde procriar
é tão frequente
que gere prazer
nenhum e olho
o senhor
com essas pupilas
que talvez jamais
reflitam o Pai
mas ora veem o pai
eu
mesmo pedaço
de carne
com dois olhos
peço perdão
em silêncio
pois sequer posso
dizer que não
mais há tempo
e mesmo assim
e porém
e no entanto
e contudo
pelo medo adversativo
de talvez abalar
uma sistema rudimentar
de alicerces
sob a casa
sob o quarto
sob esta cama
de hospital
emprestada
escolho
uma vez mais
o silêncio","LETTER TO THE FATHER
Now that my lord
more closely resembles a hunk
of meat with two eyes
turned toward the dark ceiling
from the gurney where likely
you will not die alone
only because not even able
to swallow your saliva
yourself in the company
of this tube alone
that feeds you
I ask myself
if mother's ban
against confessing
to my lord the amorous habits
of my mucous membranes
is still in place
and if indeed you would love me
the less you knew about
how much rubbing they'd already had
that did not befit them
biological or religious
-ly and also if
you would want for your boyess
the death you wished
on so many of my kind
when they appeared on screen
on Globo Record
Manchete or SBT
which always constituted
your umbilical connection
to tradition
and if indeed you would
make come upon them
great destruction
by the violence
of your raging slurs
typical of a macho man
born in a remote town
in this country of machos
remote and broken
in their false pride
believing that a father
is he who crams
refrigerators full and does
not let the table want for
food to nourish
the same mucous membranes
in which your blood
but not your God
runs thick
and now in this broken gurney
your brain all veins
like rivulets bent on
running
outside the lines
if my lord
knew how
I'd stained the patriarchs'
table with deceit
I still ask myself
if you would welcome
me as meekly
as you accept a kiss
on the forehead from
your boyess
who is nothing more
than your own image
and likeness inverted
a mirror such
as reflects opposites
of gender and religion
or the cartoon
from my childhood
of a Hall of Justice
where on a screen
you could watch a world gone wrong
and if the Father and father
indeed scorn
one created by the norms
of Biology and Religion
yet later corrected
after flaunting the laws
the Father and the father
impose on us in the science
of being all of us flawed
on this Earth where procreating
is so common
it brings pleasure
not at all and I look at
my lord
with these pupils
that maybe never
reflect the Father
but now see the father
I
also a hunk
of meat
with two eyes
ask forgiveness
in silence
for at least I can
say there is no more time
and nevertheless
and even still
and although
and yet
for conflicted fear
of possibly shaking
a rudimentary system
of foundation
holding up this house
holding up this room
holding up this borrowed
hospital
bed
I once again
choose
silence"
"MEDITERRÂNEO I
Não há lugares, nunca houve, nem mesmo antigos.
Há o que olhamos neles, a sua marca de pó de tijolo que os faz sumir.
Só assim conseguimos chegar. Só brandamente, para lembrarmos. 
Não para tocar as colunas liláses ou fazer a travessia no veleiro das tangerinas.
Só vagamente andamos. Não caminhamos, debaixo do sol.
Os pés dos nómadas não enegrecem com as areias e as águas de pequenos portos.
São os ulmeiros que nos protegem e não os seus terraços.
A marca de pó fere-nos numa gota desmaiada,
podemos entretê-la mesmo entre os dedos que não petrefica.
Nada mudou desde o primeiro queixume; foi
com os olhos que partimos na linha do Mediterrâneo
e são as oliveiras o seu diurno limite.","MEDITERRANEAN I
Places don’t exist, never existed, not even the ancient ones.
What exists is what we see in them, the brick dust traces making them vanish.
Only thus we’ll land. Lightly, just for the remembrance.
Not in order to touch the lilac columns or go across on the tangerine sailing boat.
Only vaguely we progress. We don’t walk under the sun.
The nomads’ feet are not blackened by the sand and the sea in small ports.
The elms shelter us, not the terraces.
The dust traces bruise us with a faint drop
we can wile between our fingers and still it doesn’t solidify.
Nothing has changed since the first lament; the eyes
taking us along the Mediterranean horizon are our eyes,
and the olive trees its day-long boundary."
"1.
esta perturbação inicial, garfo
que não encaixa na boca
e a comida cai, num prato
assustado; o copo
d’água vai de encontro
ao dente. A garganta
estende as palmas
de vontade.
2.
O algodão úmido
na testa eriça-me
o quebranto; o soluço
acelera o ritmo.
Visto o casaco alheio
e me perco no cheiro,
um instante,
um instante.
O flagrante
do dono
perturba-me
o sono.
3.
Timidez
de pés 
em casa
estranha,
que ao
ensaio
da distribuição nova
do peso descobrem
a levitação.
4.
O chão é um convite
recorrente, constante; 
algo em nós espera 
o reencontro. Até que 
o vento nos disperse
aos quatro cantos.","FEARFUL SKIN HEALS: AND BEGINS AGAIN
1.
this initial disturbance: fork
will not fit mouth
and food falls
onto startled plate; water
glass meets tooth.
Throat stretches
eager palms. 
2.
Damp cotton
on forehead heaves
breakdown; hiccups
quicken their rhythm.
I put on an overcoat not mine
and lose myself in the scent,
for a moment,
a moment.
The owner catches
me red-handed
and it troubles
my sleep.
3.
Reserve
of the feet
in another’s
house,
when, in
pursuit
of a novel distribution
of weight, they discover
levitation. 
4.
The floor is a recurrent,
constant invitation;
something in us awaits
reunion. Till wind scatter
us to the four corners."
"A VIAGEM DE ALEXANDRE À ÍNDIA
Andaste de um ao outro lado da terra na vida interminável,
tiveste degredos, piedosos cíumes, a fé desvanescida,
amantes paradas na lavoura, roubando-te o rosto amado.
Viste vestígios de que foste a sombra de ninguém,
olhos sem pudor, do reflexo dos ferros no tropel,
franjas do domínio pueril de Alexandre, olhando Gaugamela.
Partiste num porto de transição para o Levante,
com vazios para trás, todo o tempo a poder ver,
e ao primeiro Inverno, pelos cardeais das suas cinzas,
começaste a travessia que não termina, a história que não acaba.
Soubeste porque se vislumbra, em lágrimas, o pinheiro da juventude,
o nome quebrado num turvo ar medido sem corda,
e a maresia do vento de feição no segundo Inverno.
Em troca perseguiste o que rege o homem fortuito,
segredando em palácios de mármore que são apenas pedras,
dos fracassos a que jamais alguém ajoelhara.
Ao terceiro Inverno descobriste o hemisfério, e ao quarto,
sem ideia de guerra ou ordem para mudar o reino,
escolheste adornar os aquedutos sob o manto dos regatos,
sentado, na brisa no tanque, ao febril entardecer.
De quem te aproximaste, no seu trajecto interminado,
sem lugar senão o que esfria na mente recortada,
naquilo que se ramifica, tornando-se na própria teia,
contigo propagou o dever de passar em toda a parte.
E quando veio o quinto Inverno, e o sexto, suturaste o sangue,
trouxeste a pele à curva dos rios, acolheste o que de resto se desmorona,
e pudeste enfim, na crença dos migradores furtivos, entender que
tudo se perde noutro lugar ainda, e após esse ainda noutro
e que ao fim de cada manhã noutra manhã
tudo é incerto, tão conforme o dente-de-leão no meio de searas,
tão emudecido como a veia exausta dos não sepultados.
Na mansarda onde vagueia o dia e a noite
o vento responde, cortando o centeio e o calcário, e a vela
que brilha na luz de estrelas veladas, já desaparecidas,
pisadas, mudas, engolidas aos pés do sétimo Inverno,
arpoa o coração e a ruína — os meridianos despem-se, voam
em vinte e cinco anos que há pouco se beijavam, e seja dito ou não dito
o prazer que inflige um pico de tormentos
por lábios que só as mulheres conhecem
no moinho das águas da morte em Varanasi,
sacode a chama de quanto vale, dura e canta
o princípio e o fim do teu poder na terra.","ALEXANDRES`S TRAVEL TO INDIA
You wandered an interminable life across the earth,
suffered exile, piteous jealousy, futile faith,
labour-arrested lovers plundering your beloved’s face.
You saw traces of having been no one’s shadow,
impudent eyes, the reflection of iron on the rampage,
hints of Alexander’s puerile dominance, contemplating Gaugamela.
You set off from a transient port towards the Levant,
leaving emptiness behind, seeing all of time,
and in the first Winter, by the cardinals of its ashes,
you started the endless crossing, the incessant history.
You knew, because the pine tree of youth can be glimpsed through tears,
of the shattered name in a cloudy mood measured without ropes,
and of the favourable sea breeze in the second Winter.
In exchange you pursued that which rules the fortuitous man,
whispering in marble palaces that are but stones,
failures to which no one had ever knelt.
By the third Winter you discovered the hemisphere, and by the fourth,
non intent on war or order to change the kingdom,
you chose to adorn aqueducts with the mantle of streams,
sitting by the pool breeze, in the evening´s lingering fever.
Whomever you approached, in their indefinite path,
without a place except that which fades inside a patchy mind,
in that which branches out and becomes the very web,
has spread with you the duty to pass through everywhere.
And by the fifth Winter, and the sixth, you stitched up the blood,
brought the skin on to the river bends, welcomed that which falls apart,
and were at last capable, with the belief of a stealthy migrant, of understanding
that all is lost yet in another place, and after this in yet another
and that by the end of each morning in another morning
all is uncertain, just like a dandelion in a field of wheat,
as muted as the exhausted vein of the unburied.
In the attic where night and day roam
the wind replies, cutting the chalk and the rye, and the candle,
shimmering in the light of the veiled stars already gone,
trodden, voiceless, swallowed up by the seventh Winter,
spears the heart and the ruin — the meridians undress, fly away
in twenty five years that were just kissing yesterday, and be it told or untold
the pleasure that brings a peak of torment, inflicted
by lips that only women know
in the turmoil of Varanasi´s death waters,
tests the flame of the merit, endurance and song of
the beginning and the end of your power on earth."
"Da Menina e Moça
Pensando-vos estou filha
vossa mãe me está lembrando
enchem-se-me os olhos d’água
nela vos estou lavando:

Nascestes filha antre mágoa
para bem filha vos seja
que no vosso nascimento
vos ouve a fortuna inveja:

Morto era o contentamento
nenhuma alegria ouvistes,
vossa mãe era finada,
nos outras éamos tristes:

Nada em dor em dor crescida
não sei onde isto há de ir ter
vejo-vos filha fermosa
cos olhos verdes crescer:

Não era esta graça vossa
para nascer em desterro
mal haja a desaventura
que pôs mais nisto que o erro:

Tinha aqui sua sepultura
vossa mãe e mágoa a nós
não éreis vos filha não
para morrerem por vós:

Não houve em fados razão
nem se consente rogar
de vosso pai hei mor dó
que de si s’á de queixar:

Eu vos ouvi a vós só
primeiro que outrem ninguém
não fôreis vós seu não fora
não sei se fiz mal se bem:

Mas não pode ser senhora
para mal nenhum nascerdes
com este riso gracioso
que tendes sobr’olhos verdes:

Conforto mais duvidoso
me é este que tomo assi
Deus voos dê milhor ventura
Da que tevestes té ‘qui:

Que a dita e a fermosura
dizem patranhas antigas
que pelejaram um dia
sendo dantes muito amigas:

Muitos hão que é fantasia
eu que vi tempos e anos
nenhuma cousa duvido
como ela é caso de danos:

Mas nenhum mal nom é crido
o bem só é esperado
e na crença e na esperança
em ambas há i mudança
em ambas há i cuidado","From Menina e Moça
I’m thinking of you, dear girl,
your mother’s memory haunts me.
My eyes fill up with tears,
They are bathing you gently.

You were born amid sorrow—
may it yet prove a blessing.
Since Fortune, struck with envy,
singled you out at birth.

Gone forever was contentment,
you heard no joyful voices.
Your mother’s life had ended,
while ours went on in sadness.

In anguish born and raised!
I don’t know where all this is going.
I’ve watched you grow, my girl,
with green eyes so lovely.

Beauty like yours wasn’t meant
to be born in exile. Curses on
Fate!  This was clearly a work  
of malevolence, not a mistake.

Here lies your mother,
and we languish in grief.
You did nothing, my girl,
to incur a loss so great.

The Fates spurn reason,
and will admit no protest.
I pity your poor father,
for the pain he must lament.

I heard you crying, alone,
before anyone else. You’d not
be here, had I not been there.
Still, I ask if I did right.

But surely it can’t be wrong
for you to have been born
with that elegant smile of yours,
those dazzling green eyes.

It’s an unlikely comfort
that I take for myself.
May God grant you the grace
that has eluded you till now.

Beauty and Good Fortune,
or so the old story goes,
were once the best of friends,
but became bitterly opposed.

Many hold that it’s fantasy,
but in my life I’ve seen
enough not to doubt it:
Fate inflicts great damage.

No harm is ever believed;
we always expect the good.
In hoping and believing
lies an element of change,
an element of concern."
"Antre mi mesmo em mim
não sei que se alevantou
que tão meu inimigo sou

Uns tempos com grande engano
vivi eu mesmo comigo
agora no maior perigo
se me descobriu mor dano
caro custou um desengano
e pois m’este não matou
assaz caro me custou

De mim sou feito alheo
Antre cuidado e cuidado
está um mal derramado
que por meu grão mal me veo
Nova dor novo arreceo
foi este que me matou
que tão meu inimigo sou","Between myself and me
Between myself and me
I don’t know what’s emerged
to make me my own enemy.

For a time I lived as a fool,
at peace with myself.
Now I see the great harm
a great danger can wreak.
Disillusion costs dearly:
so costly was my latest
disillusion, it didn’t kill me.

I’m a stranger to myself.
My cruel fate is dispersed
in sorrow after sorrow,
cruelly sent my way.
Fresh pain, fresh fear
have taken ahold of me.
Here I am, trapped."
"INDÚSTRIA CULTURAL
As distrações 
para as famílias do interior
exigem recursos humanos
próprios.
Aqui 
não vêm atuar
os grandes atores,
aqui 
não vêm ler
os grandes poetas,
aqui 
não vêm cantar 
os grandes cantores,
aqui 
não se digna
a interpretações 
a intelligentsia.
Aqui, 
às igrejas evangélicas 
e às academias de ginástica 
pertence a implementação 
do Mens sana in corpore sano.
As visitas à sorveteria
que antes fora uma pizzaria
e antes, uma lanchonete, 
apenas mudam as paredes,
que não trazem 
nem fotografia nem pintura
de tradições centenárias.
O espaço público 
— nem Ágora nem Eclésia —
incita variações 
— agora aos sussurros —
dos ressentimentos velhos,
das irritações pequenas
que se acumulam
e latejam como pústulas. 
As frustrações do pai,
as frustrações da mãe,
e assim, em escadinha,
as frustrações nascentes 
da prole toda, em perdas
crescentes.
À mesa 
reina nossa mesma 
falta de assunto da janta
ou o assunto repetido 
à exaustão. As dívidas 
com Deus e com César.
E sim, o silêncio 
sobre os únicos assuntos
que quiçá nos salvassem.
Quem-nos-dera, num instante 
de lucidez repentina,
aguássemos agora
os sorvetes, as pizzas, os lanches 
com lágrimas, esgoelando juntos
na sarjeta. Mas o que diriam
os vizinhos?
Nas capitais
lacrimeja a intelligentsia 
— o povo! o povo! — 
enquanto o mofo e o musgo
cobrem aos poucos 
a nossa não-boca, a nossa não-alma.","THE CULTURE INDUSTRY
Entertainments
for families in the interior
require their own
human resources.
Here,
great actors
do not come to play;
here,
great poets
do not come to read;
here,
great singers
do not come to sing;
here,
the intelligentsia
does not deign
to interpret. 
Here,
evangelical churches
and fitness centers
administer implementation
of Mens sana in corpore sano.
Visits to the ice cream parlor
which used to be a pizzeria
and before that, a snack bar.
Only the walls have changed;
they bear neither photograph
nor painting from venerable traditions. 
The public space
— neither Agora nor Ecclesia —
incites variations
— now whispered —
on old resentments
and petty irritations
that swell and throb
like carbuncles.
The frustrations of the father,
the frustrations of the mother;
hence the progress
of nascent discontent
in offspring frustrated
over heightened
losses.
At the dinner table
reigns our same
lack of subject matter
or matter repeated
unto exhaustion. The debts
to God and to Caesar. 
And yes, our silence
about the only things
that could possibly save us.
If only, in an instant
of sudden lucidity,
we could drown
ice cream, pizzas and snacks
in tears, blubbering together
in the gutter. But what would
the neighbors say?
In the capitals
the intelligentsia drop their tears
— the people! the people! —
while mold and moss
gradually encroach upon
our non-mouth, our non-soul."
"BRANCO E VERMELHO
A dor, forte e imprevista,
Ferindo-me, imprevista,
De branca e de imprevista
Foi um deslumbramento,
Que me endoidou a vista,
Fez-me perder a vista,
Fez-me fugir a vista,
Num doce esvaimento.

Como um deserto imenso,
Branco deserto imenso,
Resplandecente e imenso,
Fez-se em redor de mim.
Todo o meu ser suspenso,
Não sinto já, não penso,
Pairo na luz, suspenso…
Que delícia sem fim!

Na inundação da luz
Banhando os céus a flux,
No êxtase da luz,
Vejo passar, desfila
(Seus pobres corpos nus
Que a distancia reduz,
Amesquinha e reduz
No fundo da pupila)

Na areia imensa e plana,
Ao longe, a caravana
Sem fim, a caravana
Na linha do horizonte,
Da enorme dor humana,
Da insigne dor humana...  
A inútil dor humana!
Marcha, curvada a fronte.

Até o chão, curvados,
Exaustos e curvados,
Vão um a um, curvados,
Os seus magros perfis;
Escravos condenados,
No poente recortados,
Em negro recortados,
Magros, mesquinhos, vis.

A cada golpe tremem
Os que de medo tremem,
E as pálpebras me tremem
Quando o açoite vibra.
Estala! e apenas gemem,
Pavidamente gemem,
A cada golpe gemem,
Que os desequilibra.

Sob o açoite caem,
A cada golpe caem,
Erguem-se logo. Caem,
Soergue-os o terror...
Até que enfim desmaiem,
Por uma vez desmaiem!
Ei-los que enfim se esvaem
Vencida, enfim, a dor...

E ali fiquem serenos,
De costas e serenos...
Beije-os a luz, serenos,
Nas amplas frontes calmas
Ó céus claros e amenos,
Doces jardins amenos,
Onde se sofre menos,
Onde dormem as almas!

A dor, deserto imenso,
Branco deserto imenso,
Resplandecente e imenso,
Foi um deslumbramento.
Todo o meu ser suspenso,
Não sinto já, não penso,
Pairo na luz, suspenso
Num doce esvaimento.

Ó morte, vem depressa,
Acorda, vem depressa,
Acode-me depressa,
Vem-me enxugar o suor,
Que o estertor começa.
É cumprir a promessa.
Já o sonho começa...
Tudo vermelho em flor...","WHITE AND CRIMSON
The sharp and sudden pain
That stings me all of sudden,                     
Appeared as a sudden flash,
Of dazzling, dizzying white,                    
Deranging what I saw,            
Costing me my vision,        
Causing all in view to flee,
In a gentle fading away.            

It surrounded me
Like a vast desert,
A vast, white desert,
Vast and resplendent.
My whole being suspended,            
I do not feel, I do not think,            
I hover, suspended in the light....        
What endless pleasure!        

In the flood of light
Bathing every corner of sky,        
In the ecstasy of light,                
I watch an endless caravan.    
Poor naked bodies,    
Reduced in the distance,        
Reduced and diminished            
In the depths of my pupils!     
 
On the vast plain of sand    
On the distant horizon
Looms the unending caravan    
Of immense human suffering,   
Eminent human suffering,        
Useless human suffering —           
Advancing with bowed heads!        

Bowed to the ground,                
Bowed and exhausted,                
Bowed in a single file,
March their thin figures.                
Condemned slaves
Outlined in the sunset,        
Outlines of black silhouettes:  
Thin, wretched and vile.    

Those who tremble out of fear
Tremble at every blow,        
And I feel my eyelids tremble
Whenever the whip snaps.        
Crack! They only moan,
Drawn and pale they moan,
Moan with every crack
That knocks them down.            

Under the whip they fall,
With every stroke they fall,
Rise back up, then fall,
Still struggle up, in fear,
Until at last they pass out,     
Finally they’ve passed out!   
Look at them, now fainted,
Their pain now defeated…        


May they lie there, peaceful,   
On their backs and peaceful,    
And may the light caress    
Their broad and peaceful brows,     
O clear and calm skies,
Sweet calm gardens,
Where the suffering is less,            
Where souls can rest!    

The pain, a vast desert,            
A vast, white desert,
Vast and resplendent,
Appeared as a sudden flash.
My whole being suspended,
I do not feel, I do not think,
I hover in the light, suspended
In a gentle fading away.

Come swiftly, O Death,
Awake and come swiftly,    
Come swiftly to my aid,    
Come and wipe my sweat,      
For the agony has begun.        
It’s time to fulfill your promise.    
Soon the dream commences…    
All a blossoming in crimson…"
