original_poem,translated_poem,src_lang,tgt_lang
"va vite, léger peigneur de comètes!
les herbes au vent seront tes cheveux;
de ton œil béant jailliront les feux
follets, prisonniers dans les pauvres têtes…
les fleurs de tombeau qu’on nomme amourettes
foisonneront plein ton rire terreux…
et les myosotis, ces fleurs d’oubliettes…
ne fais pas le lourd: cercueils de poètes
pour les croque-morts sont de simples jeux,
boîtes à violon qui sonnent le creux…
ils te croiront mort — les bourgeois sont bêtes —
va vite, léger peigneur de comètes!","vai depressa, tu que penteias cometas!
teu cabelo será a relva ao vento;
fogos-fátuos escaparão pelas gretas
dos olhos para fora do crânio cinzento…
o amor-perfeito, teu fúnebre ornamrento,
e o miosótis, que em masmorras vegeta,
abundarão em teu sorriso barrento…
não faças de pesado: caixão de poetas
para o papa-defunto é divertimento,
caixas de violino de oco tangimento…
para o burguês – tolo – ficas na valeta…
vai depressa, tu que penteias cometas!",fr_XX,pt_XX
"le travail mène à la richesse.
pauvres poètes, travaillons!
la chenille en peinant sans cesse
devient le riche papillon.","só o trabalho é que enriquece.
pobre poeta, à picareta!
a lagarta sem cessar tece
pra transformar-se em borboleta.",fr_XX,pt_XX
"je pense à la négresse, amaigrie et phthisique,
piétinant dans la boue, et cherchant, l’œil hagard,
les cocotiers absents de la superbe afrique
derrière la muraille immense du brouillard;
a quiconque a perdu ce qui ne se retrouve
jamais, jamais! à ceux qui s’abreuvent de pleurs
et tettent la douleur comme une bonne louve!
aux maigres orphelins séchant comme des fleurs!
ainsi dans la forêt où mon esprit s’exile
un vieux souvenir sonne à plein souffle du cor!
je pense aux matelots oubliés dans une île,
aux captifs, aux vaincus!... à bien d’autres encor!","e penso nessa negra, enferma e emagrecida,
pés sob a lama, procurando, o olhar febril,
os velhos coqueirais de uma áfrica esquecida
por detrás das muralhas do nevoeiro hostil;
em alguém que perdeu o que o tempo não traz
nunca mais, nunca mais! nos que mamam da dor
e das lágrimas bebem qual loba voraz!
nos órfãos que definham mais do que uma flor!
assim, a alma exilada à sombra de uma faia,
uma lembrança antiga me ressoa infinda!
penso em marujos esquecidos numa praia,
nos párias, nos galés, nos vencidos... e em outros
[mais ainda!",fr_XX,pt_XX
"l’enfant chantait; la mère au lit, exténuée,
agonisait, beau front dans l’ombre se penchant;
la mort au-dessus d’elle errait dans la nuée;
et j’écoutais ce râle, et j’entendais ce chant.
l’enfant avait cinq ans, et près de la fenêtre
ses rires et ses jeux faisaient un charmant bruit;
et la mère, à côté de ce pauvre doux être
qui chantait tout le jour, toussait toute la nuit.
la mère alla dormir sous les dalles du cloître;
et le petit enfant se remit à chanter… —
la douleur est un fruit ; dieu ne le fait pas croître
sur la branche trop faible encor pour le porter.","o menino cantava; sua mãe, no leito, agonizava,
extenuada, a sua fronte na sombra pendia;
e sobre ela, a morte numa nuvem vagueava;
e eu ouvia a canção e escutava a agonia.
tinha cinco anos o menino, e junto à janela,
um claro som de riso e de jogos se erguia;
e a mãe, ao lado da criança doce e bela
que todo o dia cantava, toda noite tossia,
a mãe sob as lajes do claustro foi dormir;
e o menino voltou a cantar…
a dor é um fruto que deus não faz surgir
num ramo frágil demais para o suportar.",fr_XX,pt_XX
"aujourd’hui encore …
je voulais t’avoir ici,
bien tout près de moi.
malgré tu sois parti,
sans même me dire adieu.
parfois, ton toi en moi,
si vrai, si tout près de moi,
que ton sourire je le vois
et je finis par sourire aussi.
le temps passe vite,
mais je sens encore,
mes lèvres mouillées
par tes longs baisers …
et le souvenir de toi,
je le garderai toujours,
pour l’ utiliser ainsi,
comme protection pour moi.
et lorsque je pense à toi,
je te souhaite toujours,
d’être bien heureux,
là, où que tu sois …","ainda hoje …
eu queria ter voce aqui,
bem pertinho de mim.
apesar de ter partido,
sem mesmo me dizer adeus.
as vezes, seu eu no meu,
tão verdadeiro, tão perto de mim,
que seu sorriso eu vejo
e acabo por sorrir tambem.
o tempo passa rápido,
mas ainda eu sinto ,
meus lábios molhados
pelos longos beijos seus.
e a lembrança de você,
eu a guardarei sempre,
para utilisá-las assim,
como proteção para mim.
e quando eu penso em voce,
eu lhe desejo sempre,
de estar bem feliz,
la onde voce estiver …",fr_XX,pt_XX
"moment de nostalgie.
oh sentiment profond,
qui pénètre la poitrine et insiste à y rester.
cette chose poignante qui révèle le vide,
paralyse le regard le remplissant de tristesse.
oh, sentiment qui creuse,
qui jette dans le vide,
tout être aimable sans aucune pitié.
obligée je suis de te laisser la place,
si tu insistes à m’y habiter.
voilà, une lueur s’impose !
me dévoile, me secoue, t’arrachant de moi.
je partais fragile, naïve et inerte,
contente je suis de m’être séparée de toi.","momento de nostalgia
oh sentimento profond,
que penetra no peito
e insiste em ali ficar,
esta coisa pungente que revela o vazio,
paralisa o olhar lhe enchendo de tristesa.
oh, sentimento que perfura, que joga no vazio todo ser amável,
sem nenhuma piedade.
obrigada eu sou de me deixar partir,
se tu persistes em dentro morar …
eis que uma luz se impõe,
me desvela, me sacode,
te arrancando de mim.
eu partia frágil, inocente e inerte,
contente estou de ter me separado de ti.",fr_XX,pt_XX
"l’homme de l’art lui dit: – fort bien, restons-en là.
le traitement est fait: vous êtes sourd. voilà
comme quoi vous avez l’organe bien perdu. –
et lui comprit trop bien, n’ayant pas entendu.
– “eh bien, merci monsieur, vous qui daignez me rendre
la tête comme un bon cercueil.
désormais, à crédit, je pourrai tout entendre
avec un légitime orgueil…
à l’oeil – mais gare à l’oeil jaloux, gardant la place
de l’oreille au clou!… – non – à quoi sert de braver?
… si j’ai sifflé trop haut le ridicule en face,
en face, et bassement, il pourra me baver!…
moi, mannequin muet, à fil banal! – demain,
dans la rue, un ami peut me prendre la main,
en me disant: vieux pot…. ou rien, en radouci;
et je lui répondrai – pas mal et vous, merci! –
si l’un me corne un mot, j’enrage de l’entendre;
si quelqu’autre se tait: serait-ce par pitié?…
toujours, comme un rebus, je travaille à surprendre
un mot de travers… – non – on m’a donc oublié!
– ou bien – autre guitare – un officieux être
dont la lippe me fait le mouvement de paître,
croit me parler… et moi je tire, en me rongeant,
un sourire idiot – d’un air intelligent!
– bonnet de laine grise enfoncé sur mon âme!
et – coup de pied de l’âne… hue! – une bonne-femme
vieille limonadière, aussi, de la passion!
peut venir saliver sa sainte compassion
dans ma trompe-d’eustache, à pleins cris, à plein cor,
sans que je puisse au moins lui marcher sur un cor!
– bête comme une vierge et fier comme un lépreux,
je suis là, mais absent… on dit: est-ce un gâteux,
poète muselé, hérisson à rebours?… –
un haussement d’épaule, et ça veut dire: un sourd.
– hystérique tourment d’un tantale acoustique!
je vois voler des mots que je ne puis happer;
gobe-mouche impuissant, mangé par un moustique,
tête-de-truc gratis où chacun peut taper.
ô musique céleste: entendre, sur du plâtre,
gratter un coquillage! un rasoir, un couteau
grinçant dans un bouchon!… un couplet de théâtre!
un os vivant qu’on scie! un monsieur! un rondeau!…
– rien – je parle sous moi… des mots qu’à l’air je jette
de chic, et sans savoir si je parle en indou…
ou peut-être en canard, comme la clarinette
d’un aveugle bouché qui se trompe de trou.
– va donc, balancier soûl affolé dans ma tête!
bats en branle ce bon tam-tam, chaudron fêlé
qui rend la voix de femme ainsi qu’une sonnette,
qu’un coucou!… quelquefois: un moucheron ailé…
– va te coucher, mon cœur! et ne bats plus de l’aile.
dans la lanterne sourde étouffons la chandelle,
et tout ce qui vibrait là – je ne sais plus où –
oubliette où l’on vient de tirer le verrou.
– soyez muette pour moi, contemplative idole,
tous les deux, l’un par l’autre, oubliant la parole,
vous ne me direz mot: je ne répondrai rien…
et rien ne pourra dédorer l’entretien.
le silence est d’or","o homem da arte diz: – já chega, está perfeito.
o senhor está surdo; tratamento feito.
agora, entre os órgãos, tem de menos o ouvido. –
e ele entendeu, sem ter nem ao menos ouvido.
– “muito grato, doutor, pela devolução
da cabeça como um caixão.
a crédito, ouvirei tudo de agora em diante
com um orgulho confiante…
pelos belos olhos – mas o olho tem inveja
da orelha vazada!… – não – por que gritar?
… se contra o ridículo em face se esbraveja,
na face, com certeza, ele vem injuriar! …
eu, manequim mudo, e público! mais tarde,
na rua, um amigo virá dizer, à parte:
– meu velho gagá… ou nada, delicado;
e eu lhe responderei – bem e você, obrigado! –
se alguém me fala aos berros, fico furioso;
se, ao contrário, se cala: seria de dó?…
como em um enigma, eu procuro cauteloso
um jogo de palavras… – não – pois estou só!
– ou alguém – outra viola – de oficiosa casta
cujo beiço faz movimentos de quem pasta,
pensa falar comigo… e eu mostro, entre os dentes,
um sorriso idiota – com ar inteligente!
– gorro de lã cinza que minh`alma aprisiona!
e – belo coice de mula… eia! – uma dona
que também é velha feirante da paixão!
virá salivar sua santa compaixão
na trompa de eustáquio, gritando, com vontade,
sem que seu calo eu possa pisar à vontade!
– tolo como a virgem e altivo como o leproso
estou aqui, ausente… dizem: o cretinoso
é um poeta amordaçado, ouriço às avessas?… –
um dar de ombros diz: é um surdo, esqueça!
– histérico tormento de um tântalo acústico!
palavras voam sem que eu possa abocanhar;
papa-mosca na boca aberta de um mosquito,
bode expiatório espiando a culpa lhe pesar.
ó música celeste: o gesso arranhado
por uma concha! a faca fazendo estridor
numa rolha!… um osso vivo sendo serrado!
um refrão de teatro! um rondó! um senhor!…
– nada – falo pelos fundos… frases que ao ar
vou soltando de chic, sem saber se falo grego…
ou talvez com o clarinete a gaitear
de um cego tapado que se engana de dedo.
– vai, pêndulo bêbado, alterar o meu juízo!
bate a toda o tambor surdo, taquara rachada
que vem dar à voz feminina um quê de guizo,
um quê de cuco!… e às vezes: uma mosca alada…
– repousa, peito meu! e só do repouso vela.
na lanterna furta-fogo abafa a vela
e tudo o que aí – já não sei onde – vibrava,
masmorra onde se acaba de por uma trava.
– cala-te por mim, ídolo contemplativo,
esquecendo a palavra, ambos compreensivos,
não me dirás nada: eu não farei objeção…
e nada poderá desdourar tal relação.
o silêncio é de ouro",fr_XX,pt_XX
"le résultat de l’investigations était celui-ci : le précipité des ressemblances. la toile de la ressemblance, ses fils croisés e recroisés.
parfois la ressemblance de partout. parfois la ressemblance là.
ensuite que toi et ta mort n’avaient aucun air de famille.
cela semble simple. alors : il n’y avait plus lieu d’une réquisition difficile. d’aucune interrogations rude. simplement le bavardage douloureux. inutile. superficiel et trivial.
« un chien ne peut pas simuler la douleur, est-ce parce qu’il est trop honnête? »
il fallait faire connaissance avec la description.
en quelques mots ce qui ne se bougeait pas.
car cela m’avait été envoyé reconnu. alors que rien ne s’en déduisait de mon expérience.
tu étais morte. et cela ne mentait pas.","o resultado da investigação era esse: o precipitado das semelhanças. a tela da semelhança. seus fios cruzados e recruzados.
por vezes a semelhança em toda a parte. por vezes a semelhança aqui.
e também que tu e tua morte não tinham nenhum parentesco.
parece simples. então: não havia mais lugar para uma requisição difícil. para nenhuma interrogação rude. simplesmente o palavrio doloroso. inútil. superficial e trivial.
“um cão não pode simular a dor. será por ser honesto demais?”
era preciso aprender a descrição.
em poucas palavras o que não mais se mexia.
pois isso tinha-me sido remetido reconhecido. ao passo que nada se deduzia de minha experiência.
estava morta. e isso não mentia.",fr_XX,pt_XX
"réalisation. pas trop. seulement ce qu’il faut pour qu’on te laisse la paix avec les réalisations, de façon que tu puisses, en rêvant, pour toi seul, bientôt rentrer dans l’irréel, l’irréalisable, l’indifférence à la réalisation.","realização. não demais. apenas o necessário para que te deixem em paz com as realizações de modo que possas, sonhando, só para ti, logo entrar no irreal, no irrealizável, na indiferença à realização.",fr_XX,pt_XX
"paris change! mais rien dans ma mélancolie
n’a bougé! palais neufs, échafaudages, blocs,
vieux faubourgs, tout pour moi devient allégorie,
et mes chers souvenirs sont plus lourds que des rocs.
aussi devant ce louvre une image m’opprime:
je pense à mon grand cygne, avec ses gestes fous,
comme les exilés, ridicule et sublime,
et rongé d’un désir sans trêve! et puis à vous,
andromaque, des bras d’un grand époux tombée,
vil bétail, sous la main du superbe pyrrhus,
auprès d’un tombeau vide en extase courbée;
veuve d’hector, hélas! et femme d’hélénus!","paris muda! mas nada em minha nostalgia
mudou! novos palácios, andaimes, lajedos,
velhos subúrbios, tudo em mim é alegoria,
e essas lembranças pesam mais do que rochedos.
também diante do louvre uma imagem me oprime:
penso em meu grande cisne, quando em fúria o vi,
qual exilado, tão ridículo e sublime,
roído de um desejo infindo! e logo em ti,
andrômaca, às carícias do esposo arrancada,
de pirro a escrava, gado vil, trapo terreno,
ao pé de ermo sepulcro em êxtase curvada,
triste viúva de heitor e, após, mulher de heleno!",fr_XX,pt_XX
