original_poem,translated_poem,src_lang,tgt_lang
"a sudden blow: the great wings beating still
above the staggering girl, her thighs caressed
by the dark webs, her nape caught in his bill,
he holds her helpless breast upon his breast.
how can those terrified vague fingers push
the feathered glory from her loosening thighs ?
and how can body, laid in that white rush,
but feel the strange heart beating where it lies ?
a shudder in the loins engenders there
the broken wall, the burning roof and tower
and agamemnon dead.
being so caught up,
so mastered by the brute blood of the air,
did she put on his knowledge with his power
before the indifferent beak could let her drop?","un choc soudain : les grandes ailes battent encore
sur la fille hébétée, cuisses caressées
par la palmure noire, nuque prise au bec,
il la tient impuissante, sein contre jabot.
comment chasser d’une main incertaine, transie,
la gloire plumeuse loin des cuisses ouvertes ?
comment le corps, couché dans cette nuée blanche,
ne peut-il sentir ce cœur étrange, là battant ?
un frémissement dans les reins engendre ainsi
le mur brisé, le toit et la tour incendiés,
la mort d’agamemnon.
prise au vol,
dominée par la violence du sang aérien,
subit-elle son savoir avec sa puissance
avant qu’un bec indifférent la laissât choir ?",en_XX,fr_XX
"dear love, for nothing less than thee would i have broke this happy dream; it was a theme for reason, much too strong for fantasy, therefore thou wak’d’st me wisely; yet my dream thou brok’st not, but continued’st it. thou art so true that thoughts of thee suffice to make dreams truths, and fables histories; enter these arms, for since thou thought’st it best, not to dream all my dream, let’s act the rest. as lightning, or a taper’s light, thine eyes, and not thy noise wak’d me; yet i thought thee (for thou lovest truth) an angel, at first sight; but when i saw thou sawest my heart, and knew’st my thoughts, beyond an angel’s art, when thou knew’st what i dreamt, when thou knew’st when excess of joy would wake me, and cam’st then, i must confess, it could not choose but be profane, to think thee any thing but thee. coming and staying show’d thee, thee, but rising makes me doubt, that now thou art not thou. that love is weak where fear’s as strong as he; ‘tis not all spirit, pure and brave, if mixture it of fear, shame, honour have; perchance as torches, which must ready be, men light and put out, so thou deal’st with me; thou cam’st to kindle, goest to come; then i will dream that hope again, but else would die.","cher amour, pour rien de moins que toi j’aurais brisé ce rêve heureux ; c’était un thème pour la raison, bien trop fort pour la fantaisie, c’est pourquoi tu m’as réveillé sagement ; cependant. mon rêve, tu ne l’as pas brisé, mais tu l’as poursuivi. tu es si vrai qu’il suffit de penser à toi pour faire des rêves des vérités, et des fables des histoires ; prends ces armes, puisque tu as jugé bon de le faire, de ne pas rêver tout mon rêve, jouons le reste. comme un éclair, ou la lumière d’une torche, tes yeux, et non ton bruit, m’ont réveillé ; et pourtant je t’ai cru (car tu aimes la vérité) un ange, à première vue ; mais quand je t’ai vu, tu as vu mon coeur, et tu connaissais mes pensées, au-delà de l’art d’un ange, quand tu as su ce dont je rêvais, quand tu as su quand… l’excès de joie me réveillerait, et c’est alors que tu es venu, je dois avouer qu’il ne pourrait être que profane profane, de penser que tu es autre chose que toi. en venant et en restant, tu as montré que tu étais toi, toi, mais le lever me fait douter que maintenant tu n’es pas toi. l’amour est faible là où la peur est aussi forte que lui ; ce n’est pas tout l’esprit, pur et brave, si la peur se mêle à la honte et à l’honneur ; peut-être comme des torches, qui doivent bientôt s’éteindre, les hommes les allument et les éteignent, ainsi tu t’y prends avec moi ; tu es venu pour allumer, tu vas venir ; alors je… je rêverai encore de cet espoir, sinon je mourrais.",en_XX,fr_XX
"fade far away, dissolve, and quite forget
what thou among the leaves hast never known,
the weariness, the fever, and the fret
here, where men sit and hear each other groan;
where palsy shakes a few, sad, last gray hairs,
where youth grows pale, and spectre-thin, and dies;
where but to think is to be full of sorrow
and leaden-eyed despairs,
where beauty cannot keep her lustrous eyes,
or new love pine at them beyond to-morrow.","disparaître dans l'espace, me dissoudre, oublier
ce qu'au milieu des bois tu n'as jamais connu,
le dégoût, la fièvre et l'agitation,
parmi les hommes qui s'écoutent gémir les uns les autres;
où le tremblement secoue les vieux aux rares cheveux gris,
où la jeunesse devient blême, puis spectrale, et meurt;
où rien que de penser remplit de tristesse
et sur les paupières pèse d'un poids de plomb,
où la beauté ne peut conserver un jour ses yeux lumineux,
sans qu'un nouvel amour le lendemain en ternisse l'éclat!",en_XX,fr_XX
"did you hear about the rose that grew from a crack in the concrete? proving nature’s law is wrong it learned to walk with out having feet. funny it seems, but by keeping its dreams, it learned to breathe fresh air. long live the rose that grew from concrete when no one else ever cared.","as-tu entendu parler de la rose qui a poussé à partir d’une fissure dans le béton ? prouvant que la loi de la nature est fausse, elle a appris à marcher sans avoir de pieds. cela peut paraître drôle, mais en gardant ses rêves, elle a appris à respirer de l’air frais. longue vie à la rose qui a poussé dans le béton quand personne d’autre ne s’en souciait.",en_XX,fr_XX
"all was gloom, and silent all,
save now and then the still foot-fall
of one returning homewards late,
past the echoing minster-gate.
the clamorous daws, that all the day
above tree-tops and towers play,
pair by pair had gone to rest,
each in its ancient belfry-nest,
where asleep they fall betimes,
to music of the drowsy chimes.","tout était sombre et silencieux,
sauf de temps à autre le bruit des pas
d'un retardataire rentrant chez lui,
dont l'écho en passant résonnait devant le parvis de l'église.
les bruyantes corneilles qui tout le jour
croassent du sommet des arbres et des tours,
par couples étaient revenues à leur nid,
ayant toutes élu domicile dans l'ancien beffroi
où elles s'endormaient parfois
au son des musiques et des carillons berceurs.",en_XX,fr_XX
"with duller steel than the persèan sword
they cut away no formless monster’s head,
but one, whose gentleness did well accord
with death, as life. the ancient harps have said,
love never dies, but lives, immortal lord:
if love impersonate was ever dead,
pale isabella kiss’d it, and low moan’d.
’twas love; cold, - dead indeed, but not dethroned.","d'un stylet plus émoussé que le glaive de persée
elles tranchèrent, non la tête d'un monstre informe,
mais une tête, dont la beauté s'harmonisait merveilleusement
avec la mort comme avec la vie. les anciens bardes ont dit:
l'amour ne meurt jamais, mais vit, dieu immortel:
si l'amour personnifié est jamais mort,
isabelle l'embrassa et gémit à voix basse.
c'était l'amour; froid—mort, c'est vrai; mais toujours dieu.",en_XX,fr_XX
"the bugler sent a call of high romance—
lights out! lights out!—to the deserted square:
on the thin brazen notes he threw a prayer.
god, if it’s this for me next time in france
spare me the phantom bugle as i lie
dead in the gas and smoke and roar of guns,
dead in a row with the other shattered ones,
lying so stiff and still under the sky—
jolly young fusiliers, too good to die.
the music ceased, and the red sunset flare
was blood about his head as he stood there.","le clairon fit sonner sa fort belle romance —
extinction des feux ! des feux ! — pour la place vide :
une prière allait sur les notes timides.
dieu, si c’est ça pour moi, la fois prochaine en france
qu’au moins le clairon spectral me soit épargné
tandis que mort je gis dans le gaz, le vacarme,
parmi les morts en rang déchirés par les armes,
allongés sous le ciel, tout raides et muets —
trop jeunes pour mourir, les joyeux fusiliers.
la musique cessa ; le soleil en retraite
comme il se tenait là ensanglantait sa tête.",en_XX,fr_XX
"mother of hermes! and still youthful maia!
may i sing to thee
as thou wast hymned on the shores of baiae?
or may i woo thee
in earlier sicilian? or thy smiles
seek as they once were sought, in grecian isles,
by bards who died content on pleasant sward,
leaving great verse unto a little clan?
o give me their old vigour! and unheard
save of the quiet primrose, and the span
of heaven, and few ears,
rounded by thee, my song should die away
content as theirs,
rich in the simple worship of a day.","mère d'hermès! o maïa toujours jeune!
puissé-je te dédier un chant
digne des hymnes qu'on t'a chantés sur les grèves de baïes?
ou puissé-je t'invoquer
en vieil idiome sicilien? ou tes sourires
quêter comme naguère ils le furent, dans les îles grecques,
par des bardes qui moururent heureux sur une riante pelouse,
laissant des vers grandioses à un petit clan?
oh! donne-moi leur antique vigueur, n'ayant pour auditeur
que la paisible primerose, et l'espace
du ciel et quelques oreilles!
murmuré par toi, mon chant se mourrait
heureux comme les leurs,
riche d'avoir glorifié un seul jour.",en_XX,fr_XX
"as hermes once took to his feathers light,
when lulled argus, baffled, swoon’d and slept,
so on a delphic reed, my idle spright
so play’d, so charm’d, so conquer’d, so bereft
the dragon-world of all its hundred eyes;
and seeing it asleep, so fled away,
not to pure ida with its snow-cold skies,
nor unto tempe where jove griev’d that day;
but to that second circle of sad hell,
where in the gust, the whirlwind, and the flaw
of rain and hail-stones, lovers need not tell
their sorrows—pale were the sweet lips i saw,
pale were the lips i kiss’d, and fair the form
i floated with, about that melancholy storm.","de même qu'autrefois hermès emprunta la légèreté de ses plumes
lorsqu'il berçait argus déjoué, pâmé, endormi;
de même sur un chalumeau delphique mon esprit oisif
amusa, charma, conquit, priva
de ses cent yeux, le dragon monde;
et le voyant assoupi, s'envola de même—
non vers le mont ida, avec ses nuages chargés de neige,
non vers tempé où jupiter un jour se lamenta—
mais vers ce second cercle du sombre enfer,
où parmi les rafales, les tourbillons et les averses
de pluie et de grêle, les amoureux n'ont pas besoin de dire
leurs tourments. pâles étaient les douces lèvres que je vis,
pâles les lèvres que je baisai, et enchanteresse la forme
que j'étreignis en flottant au milieu de cette lugubre tempête.",en_XX,fr_XX
"they faded, and, forsooth! i wanted wings:
o folly! what is love? and where is it?
and for that poor ambition! it springs
from a man’s little heart’s short fever-fit;
for poesy!—no,—she has not a joy,—
at least for me,—so sweet as drowsy noons,
and evenings steep’d in honey’d indolence;
o, for an age so shelter’d from annoy,
that i may never know how change the moons,
or hear the voice of busy common-sense!","elles disparurent, et en vérité! je n'avais pas d'ailes:
o folie! qu'est l'amour? et où est-il?
et quant à cette pauvre ambition! elle fait naître
dans le cœur de l'homme un court accès de fièvre.
mais la poésie!—non—elle n'offre pas une joie—
du moins pour moi—aussi attrayante que les après-midi assoupissantes,
et les soirées plongées dans une indolence aussi suave que le miel;
oh! pour un temps ainsi abrité contre l'ennui,
puissé-je ne jamais savoir comment changent les lunes,
ou entendre la voix du bon sens affairé!",en_XX,fr_XX
"the bells had ceas'd, the prayers begun,
and bertha had not yet half done
a curious volume, patch'd and torn,
that all day long, from earliest morn,
had taken captive her two eyes,
among its golden broideries;
perplex'd her with a thousand things, -
the stars of heaven, and angels' wings,
martyrs in a fiery blaze,
azure saints in silver rays,
moses' breastplate, and the seven
candlesticks john saw in heaven,
the winged lion of saint mark,
and the covenantal ark,
with its many mysteries,
cherubim and golden mice.","les cloches avaient cessé, les prières commençaient,
et bertha n'avait pas même lu la moitié
d'un curieux volume rapiécé et déchiré,
qui, tout le long du jour, depuis la première heure,
avait retenu captifs ses deux yeux,
au milieu de ses broderies d'or.
une multitude de choses l'avaient rendue perplexe:—
les étoiles du ciel, les ailes des anges,
les martyrs dans des torrents de flammes,
les saints azurés et les rayons argentés,
les tables sur la poitrine de moïse, et les sept
candélabres que jean vit dans le ciel,
le lion ailé de saint-marc,
et l'arche d'alliance,
avec ses nombreux mystères,
le chérubin et la souris d'or.",en_XX,fr_XX
