original_poem,translated_poem,src_lang,tgt_lang
"babies with pointed heads
wound round and round with string;
black, naked women with necks
wound round and round with wire
like the necks of light bulbs.
their breasts were horrifying.
i read it right straight through.
i was too shy to stop.
and then i looked at the cover:
the yellow margins; the date.
suddenly, from inside,
came an oh! of pain
— aunt consuelo’s voice —
not very loud or long.
i wasn’t at all surprised;
even then i knew she was
a foolish, timid woman.
i might have been embarrassed,
but wasn’t. what took me
completely by surprise
was that it was me:
my voice, in my mouth.
without thinking at all
i was my foolish aunt,
i — we — were falling, falling,
our eyes glued to the cover
of the national geographic,
february, 1918.","bebês com cabeças pontudas
com espirais de barbante;
mulheres negras e nuas
com espirais no pescoço
tal como se fossem lâmpadas.
seus peitos eram medonhos.
li a revista todinha,
sem coragem de parar.
então olhei para a capa:
a borda amarela, a data.
de repente, lá de dentro
veio um grito, ai!, de dor
— voz da tia consuelo —
não muito alto, nem comprido.
eu não me surpreendi:
já sabia que ela era
uma mulher boba e medrosa.
não senti vergonha alguma,
embora tivesse motivo.
o que me espantou por completo
foi sentir que era eu:
minha voz, na minha boca.
sem pensar, eu era agora
a boboca da minha tia,
eu — nós — caíamos, olhando
a capa da national geographic
de fevereiro de mil
novecentos e dezoito.",en_XX,pt_XX
"iv / o breath
beneath that loved and celebrated breast;
silent, bored really blindly veined,
grieves, maybe lives and lets
live, passes bets,
something moving but invisibly,
and with what clamor why restrained
i cannot fathom even a ripple.
(see the thin flying of nine black hairs
four around one five the other nipple,
flying almost intolerably on your own breath.)
equivocal, but what we have in common’s bound to be there,
whatever we must own equivalents for,
something that maybe i could bargain with
and make a separate peace beneath
within if never with.","iv / fôlego
sob aquele peito amado e célebre,
calado, no fundo entediado com veias cegas,
sofre, talvez viva e deixe correr
o barco, sem pagar para ver,
algo a mover-se mas invisível,
e com clamor só que contido
nenhum tremor tudo tranquilo.
(vê o voo fino de nove pelos negros
quatro em torno de um cinco do outro mamilo,
voo quase insuportável no vento do teu próprio hálito.)
ambíguo, mas o que temos em comum tem que estar lá,
seja lá o que havemos de ter de equivalente,
algo com que eu talvez possa entrar num acordo
um tratado de paz debaixo
dentro dele já que jamais com ele.",en_XX,pt_XX
"if you catch him,
hold up a flashlight to his eye. it’s all dark pupil,
an entire night itself, whose haired horizon tightens
as he stares back, and closes up the eye. then from the lids
one tear, his only possession, like the bee’s sting, slips.
slyly he palms it, and if you’re not paying attention
he’ll swallow it. however, if you watch, he’ll hand it over,
cool as from underground springs and pure enough to drink.","se você o pegar,
aponte uma lanterna para o seu olho. é só pupila,
uma pequena noite, cujo horizonte estreito
se aperta quando ele olha, e fecha-se. então uma só lágrima,
seu único pertence, como o ferrão da abelha, brota.
discreto, ele a colhe e, se você se distrair,
engole. mas se você olhar, ele a entrega,
fresca como água de fonte, potável de tão pura.",en_XX,pt_XX
"here, above,
cracks in the buildings are filled with battered moonlight.
the whole shadow of man is only as big as his hat.
it lies at his feet like a circle for a doll to stand on,
and he makes an inverted pin, the point magnetized to the moon.
he does not see the moon; he observes only her vast properties,
feeling the queer light on his hands, neither warm nor cold,
of a temperature impossible to record in thermometers.","aqui no alto
o luar amassado penetra nas fendas dos prédios.
a sombra do homem, pequena como o seu chapéu,
jaz a seus pés, um disco onde cabe um boneco,
e ele é um alfinete com a ponta imantada para a lua.
ele não vê a lua: observa suas vastas qualidades,
sente nas mãos a luz estranha, nem quente nem fria,
de uma temperatura que os termômetros não medem.",en_XX,pt_XX
"caught — the bubble
in the spirit-level,
a creature divided;
and the compass needle
wobbling and wavering,
undecided.
freed — the broken
thermometer’s mercury
running away;
and the rainbow-bird
from the narrow bevel
of the empty mirror,
flying wherever
it feels like, gay!","cativas — a bolha
no interior do nível,
um ser dividido;
na bússola, a agulha
oscila, em terrível
irresolução.
libertos — o azougue,
quebrado o termômetro,
escorre no chão;
o pássaro-íris
pula do bisel
do espelho vazio,
e voa no céu
sem rumo, feliz!",en_XX,pt_XX
"in front of the church, the cathedral, rather,
there was a modest promenade and a belvedere
about to fall into the river,
stubby palms, flamboyants like pans of embers,
buildings one story high, stucco, blue or yellow,
and one house faced with azulejos, buttercup yellow.
the street was deep in dark-gold river sand
damp from the ritual afternoon rain,
and teams of zebus plodded, gentle, proud,
and blue, with down-curved horns and hanging ears,
pulling carts with solid wheels.
the zebus’ hooves, the people’s feet
waded in golden sand,
dampered by golden sand,
so that almost the only sounds
were creaks and shush, shush, shush.","à frente da igreja, aliás catedral, havia
um passeio modesto, e um belveder
quase despencando no rio,
palmeiras cotós, flamboiãs em brasa viva,
prédios de um só andar, rebocados, azuis ou amarelos,
e uma casa com fachada de azulejos, de um amarelo esmaecido.
uma camada espessa de areia ouro-escuro recobria a rua,
areia ainda úmida da chuva ritual de toda tarde,
e parelhas de zebus passavam, mansos, orgulhosos
e azuis, chifres virados pra baixo e orelhas pendentes,
puxando carros com rodas de madeira maciça.
os cascos dos zebus, os pés das pessoas
afundavam na areia dourada,
amortecidos pela areia dourada,
e quase não se ouvia outro som
que não rangidos e xof, xof, xof.",en_XX,pt_XX
"three times now i’ve been there.
i don’t eat fish any more.
there is fine mud on my scalp
and i know from smelling my comb
that the river smells in my hair.
my hands and feet are cold.
i look yellow, my wife says,
and she brews me stinking teas
i throw out, behind her back.
every moonlit night
i’m to go back again.
i know some things already,
but it will take years of study,
it is all so difficult.
they gave me a mottled rattle
and a pale-green coral twig
and some special weeds like smoke.","três vezes já estive lá.
eu parei de comer peixe.
tenho lama na cabeça
e quando cheiro meu pente
sinto os odores do rio.
meus pés e mãos estão frios.
minha mulher me acha amarelo,
me dá uns chás fedorentos
que eu jogo fora escondido.
toda noite de luar
eu volto lá outra vez.
tem coisas que já aprendi,
mas vou ter que estudar anos,
que é tudo muito difícil.
me deram um chocalho mosqueado
e um galho de coral verde
e umas ervas feito fumo.",en_XX,pt_XX
"at night the factories
struggle awake,
wretched uneasy buildings
veined with pipes
attempt their work.
trying to breathe,
the elongated nostrils
haired with spikes
give off such stenches, too.
and i shall sell you sell you
sell you of course, my dear, and you’ll sell me.
on certain floors
certain wonders.
pale dirty light,
some captured iceberg
being prevented from melting.
see the mechanical moons,
sick, being made
to wax and wane
at somebody’s instigation.
and i shall sell you sell you
sell you of course, my dear, and you’ll sell me.
lights music of love
work on. the presses
print calendars
i suppose; the moons
make medicine
or confectionery. our bed
shrinks from the soot
and hapless odors
hold us close.
and i shall sell you sell you
sell you of course, my dear, and you’ll sell me.","à noite as fábricas
despertam com esforço,
prédios inquietos infelizes
com veias de canos
tentam trabalhar.
tomando fôlego,
as narinas alongadas
com pelos de ferro
ainda por cima fedem tanto.
e eu vou te vender te vender
é claro, meu bem, e tu vais me vender também.
em certos andares
certas maravilhas.
luz suja mortiça,
um iceberg capturado
impedido de derreter.
veja as luas mecânicas,
mórbidas, obrigadas
a crescer e minguar
a mando de alguém.
e eu vou te vender te vender
é claro, meu bem, e tu vais me vender também.
luzes em que atua
a música do amor. as prensas
imprimem calendários,
imagino; as luas
fazem lenitivos
ou confeitos. nossa cama
recua da fuligem
e os cheiros infaustos
nos estreitam.
e eu vou te vender te vender
é claro, meu bem, e tu vais me vender também.",en_XX,pt_XX
"now is she issued. list how all speech pines
then bursts into a wave of speech again!
now is she issued out to where the guests
look on her daring not to look at them.
the hot sun outside shines.
a sweaty oiliness of hot life rests
on the day's face this hour.
a mad joy's pent in each warm thing's hushed power.","agora ela surgiu. escutai, todo o falar falece
e logo estala em nova onda de fala!
agora ela surgiu, lá onde os convidados
admiram seu não ousar mirá-los.
quente o sol lá fora luz.
o oleoso suor da quente vida jaz
na face do dia esta hora.
louca alegria se contem no poder calado de cada cálida coisa.",en_XX,pt_XX
"think of the storm roaming the sky uneasily
like a dog looking for a place to sleep in,
listen to it growling.
think how they must look now, the mangrove keys
lying out there unresponsive to the lightning
in dark, coarse-fibred families,
where occasionally a heron may undo his head,
shake up his feathers, make an uncertain comment
when the surrounding water shines.
think of the boulevard and the little palm trees
all stuck in rows, suddenly revealed
as fistfuls of limp fish-skeletons.
it is raining there. the boulevard
and its broken sidewalks with weeds in every crack
are relieved to be wet, the sea to be freshened.
now the storm goes away again in a series
of small, badly lit battle-scenes,
each in “another part of the field.”
think of someone sleeping in the bottom of a row-boat
tied to a mangrove root or the pile of a bridge;
think of him as uninjured, barely disturbed.","pense na tempestade vagando no céu, inquieta,
como um cão procurando um lugar para dormir,
ouça o rugido dela.
pense como devem estar agora as ilhotas no mangue,
lá longe, indiferentes aos relâmpagos,
formando famílias escuras, de fibras grosseiras,
onde uma garça vez por outra despenteia-se,
arrufa as penas, faz um vago comentário
quando reluz a água a seu redor.
pense na avenida e nas palmeirinhas todas
enfileiradas, reveladas de repente
como punhados de esqueletos de peixes.
lá está chovendo. a avenida
e as calçadas quebradas, com capim nas rachaduras,
estão aliviadas por molhar-se, e o mar por dessalgar-se.
agora a tempestade vai embora numa série
de cenas curtas de batalha, mal iluminadas,
cada uma delas “numa outra parte do campo”.
pense em alguém dormindo no fundo de um barco a remo
atado a uma raiz de mangue ou uma ponte,
alguém ileso, quase imperturbado.",en_XX,pt_XX
